datevalue,area,areatype,unvaccinatedcases,vaccinatedcases,unvaccinatedhosp,vaccinatedhosp,unvaccinateddeaths,vaccinateddeaths,populationunvaccinated,populationvaccinated,unvaccinatedcasesperonezerozerok,vaccinatedcasesperonezerozerok,unvaccinatedhospperonezerozerok,vaccinatedhospperonezerozerok,unvaccinateddeathsperonezerozerok,vaccinateddeathsperonezerozerok
2021-08-31,California,State,6559,2543,561,89,102,23,7920689,21566978,75.32533741,10.50879067,6.89153611,0.47956914,1.2715344,0.08743526
2021-09-16,California,State,4228,1782,319,91,98,18,7323519,22141686,59.96726827,8.12817184,4.98394283,0.39292401,1.34205584,0.08710138
2021-09-18,California,State,2591,1213,256,68,108,13,7262994,22215485,56.78689217,7.70440721,4.76780945,0.37168411,1.34733889,0.07266489
2021-09-29,California,State,3174,1469,243,63,83,15,6994948,22576637,43.44359876,6.27893086,3.60464234,0.28094783,1.1763592,0.06517483
2021-11-07,California,State,1596,945,106,39,34,12,6162931,23521193,42.41024742,6.17315627,2.40377277,0.18402857,0.56559359,0.0364413
2021-11-10,California,State,2556,1347,62,23,19,5,6087103,23591254,40.07536215,5.68975992,1.64281761,0.13867125,0.49988593,0.03572753
2021-04-21,California,State,1547,78,93,6,27,1,17331400,9230638,8.69767342,0.73358186,0.65611714,0.06964385,0.13847698,0.01083349
2021-05-01,California,State,963,80,83,10,18,0,14905563,11358596,8.35258621,0.74330112,0.63063703,0.07043124,0.12076028,0.0062885
2021-05-02,California,State,855,57,58,6,16,1,14820765,11441175,8.32037251,0.74542793,0.60340051,0.06992289,0.11952342,0.00499449
2021-05-03,California,State,1467,106,116,9,18,1,14667474,11617249,8.25538973,0.74150823,0.60288889,0.06763342,0.11882463,0.00614849
2021-05-23,California,State,485,40,59,8,19,1,12042952,15658659,6.04028457,0.48991606,0.5444797,0.05017762,0.12811287,0.00547392
2021-05-25,California,State,776,87,72,7,13,2,11899280,16030268,5.85629671,0.46073555,0.56786149,0.04544973,0.13326136,0.0062382
2021-05-28,California,State,624,67,57,6,10,0,11650988,16656459,5.68805226,0.42711874,0.52969144,0.0377374,0.12261376,0.00514601
2021-06-03,California,State,706,102,62,15,10,0,11242865,17580487,5.51333795,0.42010863,0.5794151,0.04794276,0.09911048,0.00568812
2021-06-07,California,State,724,106,60,8,11,1,11006214,18047121,5.98233481,0.48365451,0.58797953,0.04986945,0.09994354,0.00474947
2021-06-15,California,State,742,120,63,9,13,1,10615410,18713519,5.96572072,0.51834185,0.60289711,0.04504001,0.08074515,0.00305356
2021-06-17,California,State,728,124,74,10,9,2,10514878,18883408,6.38007538,0.54847848,0.65213718,0.05371306,0.08423439,0.00378261
2021-06-19,California,State,533,94,62,10,5,2,10423174,19043228,6.55544764,0.57688299,0.67020989,0.05776332,0.08497549,0.00450104
2021-06-20,California,State,545,129,67,9,3,0,10407704,19067375,6.61735082,0.61735968,0.67395131,0.05694094,0.07823875,0.00449534
2021-06-21,California,State,989,205,105,12,8,0,10369726,19129496,6.83996582,0.68107238,0.69708413,0.05750282,0.07439238,0.00373395
2021-07-01,California,State,1443,358,141,15,13,0,9984814,19768063,11.24421833,1.36728477,1.05588919,0.06287197,0.10873656,0.00578133
2021-07-12,California,State,3505,1080,268,27,16,0,9630078,20190964,25.71111054,3.59142266,2.25632351,0.14787379,0.13351027,0.00849036
2021-07-14,California,State,3575,1134,267,54,15,0,9560652,20267464,29.01924023,4.20589656,2.42810697,0.17621487,0.14792775,0.00634374
2021-07-15,California,State,3689,1259,280,56,16,2,9528219,20302120,31.08660706,4.61105962,2.58180464,0.18646891,0.14993058,0.00774022
2021-07-18,California,State,3060,1043,296,41,10,0,9470154,20364304,36.0847956,5.5566418,2.93101283,0.22798997,0.16291785,0.00491055
2021-07-25,California,State,3955,1483,417,71,23,4,9291902,20575078,52.41122862,8.4283659,4.36478375,0.33466285,0.23369043,0.02013532
2021-08-06,California,State,7652,2745,619,102,48,9,8917359,20934446,82.81119363,12.99908158,6.8598145,0.48928246,0.48540957,0.03207291
2021-08-08,California,State,5069,2075,522,102,58,10,8872565,20961036,84.17762266,13.26542938,7.0796084,0.50365559,0.5409935,0.03680298
2021-08-10,California,State,9356,3488,751,118,63,10,8788137,21013771,87.93835209,13.56797339,7.35894634,0.52754521,0.59333232,0.03739045
2021-08-12,California,State,8115,3138,641,109,69,13,8699217,21069407,89.37914429,13.67792242,7.3947542,0.51598171,0.68150633,0.04000384
2021-08-13,California,State,7779,2757,673,117,103,10,8648000,21101807,90.11827673,13.66504503,7.52775208,0.52534431,0.77639752,0.04061941
2021-08-16,California,State,9074,3321,694,154,92,17,8554348,21153819,89.49500635,13.33362751,7.53501528,0.5260786,0.88008711,0.04457149
2021-08-18,California,State,8272,3115,635,127,73,17,8459364,21208635,88.25553721,13.03848981,7.53180567,0.55772432,0.95920754,0.05523357
2021-08-21,California,State,4975,1905,510,102,88,16,8323125,21288924,87.63192053,12.54777233,7.60531651,0.5536078,1.00923631,0.06173566
2021-08-22,California,State,4176,1723,490,88,82,15,8303889,21299581,86.74420934,12.48515506,7.53519569,0.55534292,1.0459815,0.0677411
2021-08-29,California,State,3698,1456,468,82,89,14,8012656,21495510,78.74863395,11.07075052,7.02995005,0.50708264,1.24624273,0.08639678
2021-08-30,California,State,7057,2659,581,128,87,22,7966956,21529792,76.69894786,10.81093319,6.94654987,0.51689173,1.25697766,0.08758628
2021-09-01,California,State,6957,2674,556,122,104,16,7875881,21604027,74.82881688,10.43324006,6.82372641,0.484698,1.27695465,0.08530156
2021-09-02,California,State,5843,2200,498,105,127,15,7830904,21640330,73.78276049,10.23221787,6.73157093,0.48586531,1.32077435,0.08317803
2021-09-03,California,State,5346,2185,493,109,112,19,7779727,21685595,73.04332695,10.13773692,6.69872937,0.4782635,1.34782548,0.08563947
2021-09-06,California,State,3702,1585,401,80,107,22,7688983,21767438,65.10428158,9.11321895,6.09034659,0.43052511,1.41203887,0.08269232
2021-09-08,California,State,5938,2327,451,97,111,12,7603272,21847600,63.83717807,8.93004266,5.88656342,0.42698381,1.42983555,0.07519623
2021-09-10,California,State,5001,1946,423,97,114,24,7513618,21936853,63.30220294,8.71136803,5.65259354,0.40570997,1.41837699,0.08465858
2021-09-15,California,State,4642,1913,363,88,90,20,7358086,22104160,62.16678786,8.38562256,5.13332252,0.39100591,1.35904908,0.09177329
2021-09-20,California,State,4697,1943,357,74,95,16,7241840,22239265,53.91486931,7.4218794,4.58052492,0.35137338,1.28223135,0.068733
2021-09-22,California,State,3871,1688,299,59,110,13,7178557,22326788,50.75831098,7.06582348,4.32239675,0.33016073,1.30547526,0.06270494
2021-09-25,California,State,2132,1137,237,70,95,13,7090779,22441048,47.46002822,6.71600924,3.97901073,0.31320157,1.23298965,0.06875156
2021-09-30,California,State,2949,1356,233,52,63,18,6966712,22616470,42.72562765,6.16870297,3.57618999,0.2728732,1.13601448,0.06253344
2021-10-04,California,State,3368,1753,273,86,58,9,6880688,22740003,40.6167855,5.89584041,3.43404198,0.26950618,1.03394976,0.06470661
2021-10-06,California,State,3002,1482,242,68,88,11,6830146,22806199,39.74606525,5.88123306,3.41343885,0.27937266,1.04787553,0.06263961
2021-10-08,California,State,2565,1376,211,61,67,7,6776685,22873715,38.86223764,5.85887713,3.31599131,0.28791625,1.06668252,0.05683379
2021-10-09,California,State,1727,1005,194,54,52,12,6759722,22894010,38.52440762,5.89424295,3.29472552,0.28142109,0.99116502,0.05366344
2021-10-14,California,State,2658,1274,214,71,48,12,6639414,23022221,36.83629739,5.61755408,3.08331858,0.27551022,0.7853533,0.0403337
2021-10-19,California,State,3108,1718,227,77,38,13,6536987,23135058,39.93976342,5.99708275,3.28897702,0.29639618,0.72554177,0.04198946
2021-10-27,California,State,3137,1780,220,78,36,7,6362461,23312980,44.32920801,6.63027329,3.41287526,0.30884083,0.71176412,0.04044344
2021-10-29,California,State,2618,1416,196,55,35,10,6314362,23362889,43.99041876,6.46324177,3.31896443,0.27699608,0.60858993,0.03974557
2021-11-02,California,State,3085,1676,169,44,40,6,6250407,23429983,43.1377623,6.28620662,2.96437839,0.2268156,0.61481711,0.03841232
2021-11-03,California,State,2940,1696,191,65,31,11,6231265,23451209,42.81863887,6.22934682,2.90699974,0.21869113,0.60524285,0.04081422
2021-11-09,California,State,2803,1468,70,21,28,11,6112092,23568204,40.80903419,5.90686867,1.93761107,0.1642649,0.52588962,0.03939933
2021-11-11,California,State,1969,1076,52,17,29,6,6063255,23615114,38.09363594,5.42449213,1.45607787,0.11796319,0.49007152,0.03508649
2021-11-12,California,State,2201,1179,54,24,19,4,6035708,23642358,37.42489105,5.26838917,1.27810784,0.11601453,0.45917208,0.03262909
2021-07-02,California,State,1321,368,123,17,11,1,9937898,19833549,11.89673827,1.49170047,1.1169364,0.06914691,0.11212489,0.00576224
2021-07-23,California,State,5032,1677,431,70,26,7,9324227,20539601,48.83744557,7.85868653,3.87929515,0.30950664,0.20836656,0.01738801
2021-08-05,California,State,8320,2975,633,119,43,6,8962443,20899715,80.89471651,12.77187614,6.69300929,0.48052603,0.43355526,0.03144267
2021-08-11,California,State,8991,3169,654,97,66,4,8743158,21042499,89.26490209,13.58475259,7.3445185,0.5234305,0.63559904,0.03530271
2021-09-07,California,State,6513,2661,521,111,96,16,7645285,21808546,65.39044279,9.17333704,6.05041445,0.44412472,1.40889824,0.07795109
2021-10-07,California,State,2715,1325,220,70,72,15,6805903,22836337,39.39647265,5.85407871,3.39831047,0.29026421,1.07049928,0.06068023
2021-03-16,California,State,2098,45,146,4,62,1,25010127,3580644,7.97277039,1.07323072,0.54206613,0.11969116,0.24218761,0.00797941
2021-05-20,California,State,707,80,75,5,17,1,12253553,15143733,6.40747102,0.52827133,0.53395592,0.04433706,0.125911,0.00471671
2021-08-09,California,State,9536,3422,733,146,62,5,8832221,20984110,86.13429656,13.48775676,7.22840349,0.52965247,0.55963921,0.03608172
2021-07-13,California,State,3482,1124,279,41,16,1,9595088,20231066,27.32648205,3.90982858,2.35090526,0.15676033,0.14293028,0.0077674
2021-07-20,California,State,5230,1818,357,68,22,4,9419013,20427454,41.43139596,6.5835769,3.23813121,0.27064417,0.17745262,0.00839207
2021-07-26,California,State,7216,2547,550,102,21,3,9264885,20607611,55.74504471,8.87813453,4.63655435,0.36186353,0.23745573,0.02079675
2021-09-09,California,State,5506,2159,408,87,110,25,7560926,21887349,63.55797463,8.88706466,5.74948473,0.4144599,1.40572351,0.0815866
2021-09-11,California,State,3352,1482,320,68,97,23,7486594,21966884,62.93916833,8.7150666,5.54705804,0.40190368,1.4330377,0.0923468
2021-10-11,California,State,2883,1507,228,78,47,14,6723073,22928363,37.49773355,5.73151628,3.20644188,0.27975332,0.96469491,0.05109081
2021-10-21,California,State,2937,1551,219,97,75,10,6488532,23184816,41.40712084,6.30646738,3.27831142,0.30931574,0.77279201,0.04436401
2021-09-19,California,State,2233,1080,268,64,71,12,7249102,22230603,55.64433065,7.5468681,4.67447062,0.36564782,1.30853646,0.07133024
2021-09-24,California,State,3244,1450,243,67,82,18,7111025,22413483,48.24701281,6.77270909,4.00585208,0.31231201,1.25559556,0.06883612
2021-10-13,California,State,2816,1431,226,62,48,5,6667023,22990169,36.80588987,5.65707642,3.08340662,0.27527294,0.83352688,0.04225409
2021-10-24,California,State,1778,1078,170,53,38,6,6432783,23241521,42.96962694,6.50129568,3.34891712,0.30179977,0.72619091,0.0454851
2021-10-28,California,State,2928,1470,202,61,41,13,6340511,23335849,44.46239202,6.57418917,3.38638772,0.28649972,0.63762324,0.04224034
2021-11-01,California,State,3543,1894,202,49,41,8,6269749,23408614,43.69507342,6.3352747,3.06004503,0.23678707,0.61519893,0.04088849
2021-07-30,California,State,6711,2381,536,88,17,8,9139526,20741580,67.7997024,10.71897953,5.62392404,0.42082481,0.25478033,0.02341742
2021-10-22,California,State,2908,1585,232,70,49,14,6457990,23215403,42.32188122,6.42430619,3.31814875,0.29844717,0.7875073,0.04676698
