HCPCS_Cd,RBCS_ID,RBCS_Cat,RBCS_Cat_Desc,RBCS_Cat_Subcat,RBCS_Subcat_Desc,RBCS_FamNumb,RBCS_Family_Desc,RBCS_Major_Ind,HCPCS_Cd_Add_Dt,HCPCS_Cd_End_Dt,RBCS_Assignment_Eff_Dt
42330,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42335,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42335,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42340,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42340,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42400,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42400,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42405,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42405,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42408,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42408,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42409,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42409,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42410,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42410,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42415,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42415,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42420,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42420,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42425,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42425,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42426,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42426,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42440,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42440,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42450,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42450,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42500,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42500,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42505,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42505,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42507,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42507,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42508,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/2014,01/01/2014
42509,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42509,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42510,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42510,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42550,IS000N,I,Imaging,IS,Standard X-ray,000,No RBCS Family,N,01/01/1984,12/31/9999,01/01/2014
42600,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42600,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42650,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42650,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42660,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42660,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42665,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42665,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42699,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42699,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42700,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42700,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42720,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42720,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42725,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42725,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42800,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42800,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42804,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42804,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42806,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42806,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42808,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42808,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42809,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42809,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42810,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42810,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42815,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42815,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42820,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2014
42820,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2015
42821,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2014
42821,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2015
42825,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2014
42825,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2015
42826,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2014
42826,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2015
42830,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2014
42830,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2015
42831,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2014
42831,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2015
42835,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2014
42835,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2015
42836,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2014
42836,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1985,12/31/9999,01/01/2015
42842,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42842,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42844,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42844,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42845,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42845,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42860,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42860,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42870,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42870,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42890,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42890,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42892,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42892,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42894,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42894,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42900,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42900,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42950,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42950,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42953,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1985,12/31/9999,01/01/2014
42953,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1985,12/31/9999,01/01/2015
42955,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42955,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42960,PG000O,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2014
42960,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/1984,12/31/9999,01/01/2015
42961,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42961,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42962,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42962,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42970,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42970,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42971,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42971,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42972,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42972,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
42975,PO000O,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,O,01/01/2022,12/31/9999,01/01/2017
42999,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
42999,PO000M,P,Procedure,PO,Other Organ Systems,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2015
43020,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
43030,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
43045,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
43100,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
43101,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
43107,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43108,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43112,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43113,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43116,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43117,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43118,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43121,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43122,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43123,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43124,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1995,12/31/9999,01/01/2014
43130,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
43135,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/1984,12/31/9999,01/01/2014
43180,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/2015,12/31/9999,01/01/2014
43191,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43192,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43193,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43194,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43195,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43196,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43197,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43198,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43200,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43201,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2003,12/31/9999,01/01/2014
43202,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43204,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1982,12/31/9999,01/01/2014
43205,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1994,12/31/9999,01/01/2014
43206,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2013,12/31/9999,01/01/2014
43210,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/2016,12/31/9999,01/01/2014
43211,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43212,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43213,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43214,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43215,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43216,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1994,12/31/9999,01/01/2014
43217,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43220,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43226,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43227,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43229,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43231,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2001,12/31/9999,01/01/2014
43232,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2001,12/31/9999,01/01/2014
43233,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43235,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43236,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2003,12/31/9999,01/01/2014
43237,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2004,12/31/9999,01/01/2014
43238,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2004,12/31/9999,01/01/2014
43239,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43240,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/2001,12/31/9999,01/01/2014
43241,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1986,12/31/9999,01/01/2014
43242,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2001,12/31/9999,01/01/2014
43243,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1989,12/31/9999,01/01/2014
43244,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1994,12/31/9999,01/01/2014
43245,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1985,12/31/9999,01/01/2014
43246,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1985,12/31/9999,01/01/2014
43247,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43248,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1994,12/31/9999,01/01/2014
43249,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1995,12/31/9999,01/01/2014
43250,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1994,12/31/9999,01/01/2014
43251,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43252,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2013,12/31/9999,01/01/2014
43253,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43254,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43255,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1984,12/31/9999,01/01/2014
43257,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2005,12/31/9999,01/01/2014
43259,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/1994,12/31/9999,01/01/2014
43260,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/1984,12/31/9999,01/01/2014
43261,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/1994,12/31/9999,01/01/2014
43262,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/1984,12/31/9999,01/01/2014
43263,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/1984,12/31/9999,01/01/2014
43264,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/1984,12/31/9999,01/01/2014
43265,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/1989,12/31/9999,01/01/2014
43266,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43270,PG006O,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,O,01/01/2014,12/31/9999,01/01/2014
43273,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/2009,12/31/9999,01/01/2014
43274,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/2014,12/31/9999,01/01/2014
43275,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/2014,12/31/9999,01/01/2014
43276,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/2014,12/31/9999,01/01/2014
43277,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/2014,12/31/9999,01/01/2014
43278,PG006M,P,Procedure,PG,Digestive/Gastrointestinal,006,Upper GI Endoscopy,M,01/01/2014,12/31/9999,01/01/2014
43279,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/2009,12/31/9999,01/01/2014
43280,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/2000,12/31/9999,01/01/2014
43281,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/2010,12/31/9999,01/01/2014
43282,PG000M,P,Procedure,PG,Digestive/Gastrointestinal,000,No RBCS Family,M,01/01/2010,12/31/9999,01/01/2014
