characteristic,sex,raceethnicity,familystructure,year,percentage,marginoferror
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2003,77.4%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2004,77%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2005,76%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2006,76%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2007,76.3%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2008,75.1%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2009,75.9%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2010,75.1%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2011,74.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2012,74%,0.9%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2013,74.7%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2001,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2002,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2003,16%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2004,16.3%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2005,16.8%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2006,16.4%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2007,15.4%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2008,15.9%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2009,15.5%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2010,15.7%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2011,16.3%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2012,16.7%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2013,15.4%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2001,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2002,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2003,3.9%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2004,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2005,4.4%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2006,4.4%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2007,3.3%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2008,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2009,3.5%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2010,3.4%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2011,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2012,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2013,4.1%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2001,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2002,NULL,NULL
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2003,2.7%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2004,2.9%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2005,2.8%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2006,3.2%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2007,2.5%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2008,2.7%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2009,3%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2010,3.3%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2011,2.9%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2012,3%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2013,3%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2001,36%,2%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2002,37.7%,2.1%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2003,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2004,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2005,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2006,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2007,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2008,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2009,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2010,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2011,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2012,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2013,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2001,48.6%,2.1%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2002,47.8%,2.1%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2003,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2004,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2005,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2006,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2007,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2008,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2009,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2010,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2011,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2012,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2013,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2001,5.5%,1%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2002,6%,1%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2003,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2004,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2005,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2006,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2007,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2008,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2009,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2010,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2011,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2012,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2013,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2001,9.9%,1.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2002,8.5%,1.2%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2003,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2004,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2005,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2006,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2007,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2008,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2009,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2010,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2011,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2012,NULL,NULL
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2013,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2001,38.6%,2.1%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2002,38.6%,2.1%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2003,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2004,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2005,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2006,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2007,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2008,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2009,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2010,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2011,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2012,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2013,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2001,48.1%,2.2%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2002,48.9%,2.2%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2003,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2004,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2005,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2006,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2007,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2008,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2009,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2010,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2011,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2012,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2013,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2001,4%,0.9%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2002,4.7%,0.9%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2003,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2004,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2005,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2006,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2007,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2008,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2009,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2010,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2011,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2012,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2013,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2001,9.3%,1.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2002,7.9%,1.2%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2003,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2004,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2005,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2006,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2007,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2008,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2009,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2010,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2011,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2012,NULL,NULL
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2013,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2001,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2002,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2003,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2004,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2005,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2006,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2007,39.9%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2008,37.7%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2009,37%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2010,38.9%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2011,37.2%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2012,37.6%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2013,37.7%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2001,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2002,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2003,35.6%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2004,34.9%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2005,35.5%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2006,35.4%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2007,36.8%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2008,34.8%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2009,34.4%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2010,34.5%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2011,32%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2012,33.8%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2013,33.7%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2001,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2002,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2003,51%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2004,50.5%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2005,50.5%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2006,50.4%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2007,49.4%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2008,49.8%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2009,50.5%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2010,48.8%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2011,51.6%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2012,50.8%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2013,50.3%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2001,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2002,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2003,4.9%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2004,5.8%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2005,4.8%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2006,5%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2007,4.1%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2008,4.4%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2009,4%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2010,4.1%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2011,4.4%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2012,4.8%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2013,5%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2001,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2002,NULL,NULL
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2003,8.5%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2004,8.8%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2005,9.3%,1.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2006,9.2%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2007,6.6%,1.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2008,8.1%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2009,8.4%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2010,8.2%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2011,6.9%,1.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2012,6.8%,1.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2013,7%,1.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2001,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2002,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2003,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2004,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2005,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2006,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2007,38.9%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2008,36.9%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2009,38.3%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2010,38.1%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2011,36.3%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2012,36.1%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2013,38.7%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2001,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2002,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2003,35.6%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2004,34.4%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2005,33.8%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2006,33.7%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2007,36.3%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2008,34.1%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2009,34.6%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2010,33.9%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2011,32.5%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2012,32%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2013,34.7%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2001,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2002,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2003,51.7%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2004,51.2%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2005,50.9%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2006,52.4%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2007,51%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2008,52.6%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2009,50.3%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2010,51.6%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2011,52.9%,2.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2012,52.7%,2.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Mother only,2013,51.5%,2.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2001,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2002,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2003,4.1%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2004,5.1%,1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2005,4.8%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2006,4.3%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2007,3%,0.8%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2008,2.4%,0.7%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2009,2.8%,0.7%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2010,3.2%,0.8%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2011,2.9%,0.8%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2012,4.1%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Father only,2013,4%,0.9%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2001,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2002,NULL,NULL
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2003,8.6%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2004,9.3%,1.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2005,10.5%,1.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2006,9.6%,1.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2007,7%,1.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2008,8.1%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2009,8.7%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2010,7.2%,1.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2011,8%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2012,7.2%,1.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",No parent,2013,5.7%,1.1%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2001,83.2%,3%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2002,82.5%,3.1%
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2003,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2004,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2005,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2006,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2007,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2008,NULL,NULL
"Asian and Pacific Islander, non-Hispanic",Male,"Asian and Pacific Islander, non-Hispanic",Two married parents,2009,NULL,NULL
