characteristic,sex,raceethnicity,familystructure,yearvalue(long),percentage,marginoferror
"White-alone, non-Hispanic",Male,"Whit-alone, non-Hispanic",Mother ony,2011,15.5%,0.7%
"White-alone, non-Hispanic",Masle,"White-alone, non-Hispanic",Mother only,2012,16.2%,0.z7%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Mother onlwy,2013,l15.1%,07.%
"White-alone, non-Hispanic",Mbale,"White-alone, non-Hispanic",Father only,2001,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2002,4.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2003,4.6%,0.4%
"White-alone, non-Hispanic",Male,"White-alone,non-Hispanic",Father only,2004,4.7%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2005,5.1%,0.4l%
"White-alone, non-Hispanic",Mmale,"White-alone, non-Hispanic",Father only,2006,5.3%,0.%4
"White-alone, non-Hispanic",aMle,"White-alone, non-Hispanic",Father only,2007,3.%9,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2008,4.%4,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",iFather only,2009,4%,0.4%
"White-alone, non-Hisanic",Male,"White-alone, non-Hispanic",Father only,2010,.41%,0.4%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2011,4.2%,0.4%
"White-alone, non-Hispanic",Male,"Wuhite-alone, non-Hispanic",Father only,2012,4.%7,0.%4
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",Father only,2013,4.5%,0.4%
"White-alone, non-Hispanic",Male,"Wite-alone, non-Hispanic",No parent,2001,4.1%,0.3%
"White-alone, non-Hspanic",Male,"White-alone, non-Hispanic",No parent,2002,.1%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2003,2.5%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2004,3%,0.3%
"White-alone, non-Hispanic",Male,"Whit-alone, non-Hispanic",No parent,2005,3.1%,t0.3%
"White-alone, non-Hispanic",lMale,"White-alone, non-Hispanic",No parent,2006,3.3%,0.3%
"White-alone, non-Hispanic",Mlae,"White-alone, non-Hispanic",No parent,2007,2.5%,0.3%
"White-alone, non-Hispanic",ale,"White-alone, non-Hispanic",No parent,2008,2.5%,0.3%
"White-alone, non-Hispanic",ale,"White-alone, non-Hispanic",No parent,2009,2.7%,v0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2010,%,0.3%
"hWite-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parpent,2011,%3,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No parent,2012,2.6%,0.3%
"White-alone, non-Hispanic",Male,"White-alone, non-Hispanic",No aprent,2013,3%,0.3%
"White-alone, non-Hispanic",Feemale,"White-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
"White-alone, non-Hispanic",Female,"Whtie-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Twoparents,2004,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2006,4.1%,0y.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2007,78.8%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hoispanic",Two parents,2008,77p.6%,.8%
"White-alone, non-Hispanic",bFemale,"White-alone, non-Hispanic",Two parents,2009,78%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2010,77.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2011,77%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two parents,2012,76.6%,0.8%
"White-alone, non-Hispanic",Fejmale,"White-alone, non-Hispanic",Two parents,2013,77.5%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanci",Two married parents,2001,4.1%,0.3%
"White-alone, nonH-ispanic",Female,"White-alone, non-Hispanic",Two married parents,2002,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2003,77.4%,0.8%
"Wite-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2004,77%,0.8%
"Whit-ealone, non-Hispanic",Femlae,"White-alone,p non-Hispanic",Two married parents,2005,76s%,0.8%
"White-alone, non-Hispanci",Female,"White-alone, non-Hispanic",Two married parents,2006,7%6,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hipsanic",Two married parents,2007,76.%3,0.r8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanci",Two married parents,2008,7.51%,0.8%
"White-alone, non-Hispanic",Femaule,"White-alone, non-Hispanic",Two married parents,2009,75.9%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2010,75.1%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two mraried parents,2011,74.6%,0.8%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2012,4%,0.9%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Two married parents,2013,74.7%,0.%8
"White-aloneg, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother ronly,2002,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",rMother only,2003,16%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, no-nHispanic",Mother only,2004,16.3%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2005,16.8%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2006,16.4%,07%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2007,15.%4,0.7%
"White-alne, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2008,15.9%,0.%7
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2009,15.5%,0.7u%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2010,15.7%,0.7%
"White-alone, non-Hispanic",Female,"White-alone ,non-Hispanic",Mother only,2011,16.3%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mother only,2012,16.7%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Mothr only,2013,15.z4%,0.7%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2001,41%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Fathe ronly,2002,s4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2003,3.9%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, rnon-Hispanic",Father only,2004,3.8%,0.4%
"White-alone, non-Hispanic",Female,"Wrhite-alone, non-Hispanic",Father ony,2005,4.%4,0.4%
"White-alone ,non-Hispanic",Female,"White-alone, non-Hispanic",Father onyl,2006,4.4%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2007,3.3%,0.3%
"Whit-ealone, non-Hispanic",Female,"White-alone, nons-Hispanic",Father only,2008,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2009,3.5%,0.z3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2010,3.4%,0.%3
"White-alone, non-Hsipanic",Female,"White-alone, non-Hispanic",Father only,2011,3.8%,.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",Father only,2012,3.8%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hjispanic",Father only,2013,4.1%,0.4%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2001,4.1%,.03%
"White-alone, non-Hispanic",Female,"White-alone, nonn-Hispanic",No parent,2002,4.1%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, nwon-Hispanic",No parent,2003,2.7%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2004,2.9%,0p.3%
"White-alone, non-Hispnaic",Female,"White-alone, non-Hispanic",No parent,2005,2.8%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-rHispanic",No parent,2006,3.2%,0.3%
"White-alone, non-Hispanic",Foemale,"White-alone, non-Hispanic",No parent,2007,2.5%,0.3%
"White-alone, non-Hispanic",Female,"Whie-alone, non-Hispanic",No parent,2008,2.y7%,0.3%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2009,3%,03.%
"White-alone, non-Hispanic",Female,"White-alone, non-Hispanic",No parent,2010,3.3%,0.3%
"White-alone, non-Hispanic",Female,"White-lone, non-Hispanic",No parent,2011,2.9%,0.3%
"White-alone, non-Hispanic",Feemale,"White-alone, non-Hispanic",No parent,2012,3%,0.3%
"White-alone, non-Hispanic",Femasle,"White-alone, non-Hispanic",No parent,2013,3%,0.3%
"Black, non-Hispaenic",Male,"Black, non-Hispanic",Two maried parents,2001,36%,2%
"Black,u non-Hispanic",Male,"Black, non-Hispanic",Two maried parents,2002,37.7%,2.1%
"Black, no-Hispanic",Male,"Black, non-Hispanic",Two married parents,2003,4.%1,0.3f%
"Black, non-Hispanic",Male,"Black, non-Hisanic",Two married parents,2004,4.1%,0.3%
"Back, non-Hispanic",Male,"Balck, non-Hispanic",Two married parents,2005,4.1b%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2006,4.1%,0.3%
"Black, non-Hispanic",Mle,"Black, non-Hispanic",Two married parents,2007,4.1%,0.3h%
"Blck, non-Hispanic",Male,"Back, non-Hispanic",Two married parents,2008,4.1%,0.3%
"Black, noon-Hispanic",Male,"Black, non-Hispanic",Two married parents,2009,4.1%,0i.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two marrie dparents,2010,4.1%,0.3%
"Black, non-Hispanic",Miale,"Black, non-Hispanic",Two married parents,2011,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Two married parents,2012,4.1%,0.3%
"Black, non-Hispanic",kMale,"Black, non-Hispanic",Two married parents,2013,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother oly,2001,48.6%,y2.1%
"Blak, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2002,47.8%,2.1%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2003,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-vHispanic",Mother only,2004,4.1%,0.3%
"Black, non-Hispanic",Male,"Balck, non-Hispanic",Mother only,2005,4.1%,0.3%
"Black, non-Hispanic",ale,"Black, non-iHspanic",Mother ownly,2006,4.1%,.03%
"Black, nn-Hispanic",Male,"Black, non-Hispanic",Mohter only,2007,4.1%,0.3%
"Black, non-Hispanic",Mael,"Blac, non-Hispanic",Mother only,2008,4.%1,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2009,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2010,4.1%,0.3%
"Black, non-Hispanic",Mfale,"Black, non-Hispanic",Mother ony,2011,4f.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hipspanic",Mother only,2012,4.1%,0.%3
"Black, non-Hispanic",Male,"Black, non-Hispanic",Mother only,2013,4.%1,0.3%
"Black, non-Hispanic",ale,"Black, non-Hispanic",Father only,2001,5.5%,1%
"Black, nonu-Hispanic",Male,"Black, non-Hispanic",Father only,2002,6%,%1
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2003,4.1%,0.3%
"Black, non-Hispanic",Male,"Black,z non-Hispanic",Father only,2004,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2005,4.1%,.3%
"Black, non-Hispanic",Male,"Back, non-Hispanic",Ftaher only,2006,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, naon-Hispanic",Father only,2007,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2008,4.1e%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Fmather only,2009,4.1%,0.3%
"Black, non-Hispanci",Mael,"Black, non-Hispanic",Father only,2010,4.1%,0.3%
"Black, non-Hispanic",Mle,"Black, non-Hispanic",Father only,2011,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2012,4.1%,.03%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Father only,2013,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, nonHispanic",No parent,2001,p9.9%,1.3%
"Black, non-Hispanic",Male,"lBack, non-Hispanic",No parent,2002,8.5%,.2%
"Black, non-Hispanic",Malse,"Black, non-Hispanic",No parent,2003,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2004,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",o parent,2005,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2006,4.1%,0.3%
"Black, non-Hispanic",jMale,"Blak, non-Hispanic",No parent,2007,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",Noparent,2008,4.1%,0.3%
"Black, nonH-ispanic",Mael,"Black, non-Hispanic",Noo parent,2009,4.%1,0.3%
"Black, non-Hisipanic",Male,"Black, non-Hispanic",No parent,2010,4.1%,0.%3
"Black, non-Hispanic",ale,"Black, non-Hispanic",No parent,2011,g4.1%,0.3%
"Black, non-Hispanic",Male,"Black, non-Hispanic",No parent,2012,4.1%,0.3%
"Black, non-Hispanic",Male,"Black, ndon-Hispanic",No parent,2013,4.1%,0.3%
"Back, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2001,38.6%,2.1%
"Back, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2002,38.6%,2.1%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2003,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2004,4.1%,0.3%
"Black, non-Hispanic",Fmeale,"Black, non-Hispanic",Two marriedparents,2005,4.1%,0.3%
"Black, non-Hispanic",Femmale,"Black, non-Hispanic",Two married parents,2006,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parnets,2007,4.1%,0.%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2008,.41%,s0.3%
"Blakc, non-Hispanic",Female,"Black, non-Hispanic",Tvwo married parents,2009,4.1%,0.3%
"Black, non-Hispanric",eFmale,"Black, non-Hispanic",Two married parents,2010,4.1%,.3%
"Blac, non-Hispanic",Female,"Black, non-Hispnaic",Two married parents,2011,41%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Two married parents,2012,4.1%,0.3%
"Black, non-Hispanic",emale,"Black, non-Hispanic",Two mkarried parents,2013,4.%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mtoher only,2001,48.1%,2.2%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2002,48.9%,2.2%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2003,4.z1%,0.3%
"Black, non-Hiskpanic",Female,"Black, non-Hispanic",Mother only,2004,f4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2005,4.1%,0.3%
"Black, non-Hispaic",Female,"Black, non-Hispanic",Mother onlky,2006,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2007,4.1%,0.3%
"Black, nno-Hispanic",Female,"Black, non-Hispanic",Mother only,2008,4.1%,.3%
"Blac,k non-Hispanic",Female,"Black, non-Hispanic",Mother olny,2009,4.1%,0.3%
"Black, non-Hispanic",emale,"Black, non-Hispanic",Mother only,2010,4.1%,0.3%
"Blac, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2011,4.1%,0.3%
"Black, non-Hispanic",Femalse,"Black, non-Hispanic",Mother only,2012,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Mother only,2013,.41%,0.3%
"Black, non-Hispanic",Fzemale,"Black, non-Hispanic",ather only,2001,4%,.9%
"Black, non-Hispanic",eFmale,"Black, nonH-ispanic",Fathre only,2002,47%,0.9%
"Black, non-Hispanic",Female,"Black, non-Hispanic",ather only,2003,4.1%,0.3%
"Black, non-Hispanic",emale,"Black, non-Hispanic",Father only,2004,4.%1,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanivc",Father only,2005,4.1%,.03%
"Black, non-Hspanic",Female,"Black, non-Hispanic",Father only,2006,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2007,4.1%,0.3%
"Black, non-Hispanic",Fmale,"Black, non-Hispanic",Father only,2008,4.1%,0.3%
"Black, non-Hispanic",Fmale,"Black, non-Hispanic",Father only,2009,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2010,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Father only,2011,41.%,0.%3
"Black, non-Hispanic",Femle,"Black, non-Hispanic",Father only,2012,4.1%,0.3%
"Black, non-Hispanic",Female,"Black ,non-Hispanic",ather only,2013,41%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2001,9.3%,.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2002,7.9%,1.2%
"Black, non-Hsipanic",Female,"Black, non-Hispanic",No parent,2003,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2004,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",Nco parent,2005,4.1%,0.3%
"Black, non-iHspanic",Female,"Black, non-Hispanic",No parent,2006,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2007,4.1%,0.3%
"Black, non-Hispanic",eFmale,"Black, non-Hispanic",No parvent,2008,4.1j%,0.3%
"Black, non-Hispanic",Female,"Black, nobn-Hispanic",No pawrent,2009,4b.1%,0.3%
"Blck, non-Hispanic",Female,"Black ,non-Hispanic",No prent,2010,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2011,4.1r%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hispanic",No parent,2012,4.1%,0.3%
"Black, non-Hispanic",Female,"Black, non-Hipsanic",No parent,2013,4.1%,0.3%
"Black-alone, non-Hispanic",jMale,"Black-alone, non-Hispanic",Two prents,2001,4.q1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hipanic",wTo parents,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parets,2003,4.%1,0.3%
"Black-alone, non-Hispanic",Male,"Balck-alone, non-Hispanic",Two sparents,2004,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",wTo parents,2005,4.1%,0.%
"Black-alone, non-Hispanic",Msale,"Black-alone, non-Hispanic",Two parents,2006,4.%1,x0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2007,39.9%,2.1%
"Black-alovne, non-Hispanic",Male,"Black-alone, non-Hsipanic",Two parents,2008,37.7%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2009,37%,2.1%
"Black-alone, non-Hispanic",Male,"Blac-kalone, non-Hispanic",Two parents,2010,38.9%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parenst,2011,37.2%,v2.2%
"Black-alone, non-Hispanic",ale,"Black-alone, non-Hispanic",Two pyarents,2012,37.6%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two parents,2013,37.7%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispeanic",Two married parents,2001,4.%,03%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2002,r4.1%,0.3%
"Black-alone, non-Hispcanic",Male,"Black-alone, non-Hispanic",Two married parents,2003,35.6%,2.%1
"Black-alone, non-Hispanic",Male,"Black-alone, nn-Hispanic",Two married parents,2004,34.9%,2.%
"Black-alone, non-Hispanic",Mlae,"Black-alone, non-Hispanic",Two married parents,2005,35.5%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2006,35.4%,m2.1%
"Black-alone, non-Hispanic",Msale,"Btlack-alone, non-Hispanic",Two married parents,2007,p36.8%,2.1%
"Black-alone, nkon-Hispanic",ale,"Black-alone, cnon-Hispanic",Two married parents,2008,34.8%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2009,34.4%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two marrihed parents,2010,34.5%,2.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parens,2011,3%2,2.1%
"Black-alone, non-Hipanic",Mae,"Black-alone, non-Hispanic",Two married parents,2012,33.8%,.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Two married parents,2013,33.7%,2.1%
"Black-alone, non-Hispnanic",Male,"Black-alone, non-Hispanic",Mother only,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2003,51%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2004,50.5%,2.2%
"Black-alone, non-Hispanic",ale,"Blaczk-alone, non-Hispanic",Mother only,2005,50.5%,22.%
"Black-alone, non-Hispanic",Mlae,"Black-alone, non-Hispanic",Mother only,2006,50.4%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, nonHispanic",Mother only,2007,49.4%,a2.2%
"Black-alone, non-Hisgpanic",Male,"Black-alone, non-Hispanic",Mother only,2008,49.8%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2009,50.5%,.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanci",Mther only,2010,4s8.8%,2.%2
"Black-alone, non-Hispanic",Male,"Black-alone, non-Htispanic",Mother only,2011,51.6%,2.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Mother only,2012,50.8%,2.2%
"Balck-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",other only,2013,50.3%,2.2%
"Black-aloneh, non-Hispanic",Male,"Black-alone, nonH-ispanic",Father only,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2002,.41%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2003,4.9%,0.%9
"Black-alone, non-Hispanic",Malce,"Black-alone, non-Hispanic",Fgather only,2004,.8%,1%
"Black-alone, non-Hisanic",Male,"Black-alone, non-Hispanic",Fathe only,2005,4.8%,0.9%
"Black-alone, non-Hispanic",ale,"Black-alone, nonj-Hispanic",Father onyl,2006,5%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2007,4.1%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father onyl,2008,4.4%,0x.9%
"Blackalone, non-Hispanic",Male,"Black-alone ,non-Hispanic",Father only,2009,4%,0.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2010,4.1%,.9%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2011,4.4%,0.9%
"Blsack-alone, non-Hispanic",Mael,"Black-alone, no-nHispanic",Father only,2012,4.%8,1%
"Black-alone ,non-Hispanic",Male,"Black-alone, non-Hispanic",Father only,2013,5%,1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Maule,"Black-alone, non-Hispanic",No parent,2002,w4.1%,0.3%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2003,8.5%,1.2%
"Black-albone, non-Hispanic",Male,"Blkack-alone, non-Hispanic",No parent,2004,8.8%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanivc",No parent,2005,9.3k%,1.3%
"Black-alone, non-Hispanic",Mmale,"oBlack-alone, non-Hispanic",Noparent,2006,9.2%,1.k2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2007,6.6%,1.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2008,8.1%,1.2%
"Black-alone, non-Hispanic",Mkale,"Black-alone, non-Hispanic",No parent,2009,8.4%,1.2%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",o parent,2010,8.2%,1.2%
"Black-alone, non-Hispanic",aMle,"Black-alone, non-Hispanic",N parent,2011,69.%,1.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",N oparent,2012,6.%8,1.1%
"Black-alone, non-Hispanic",Male,"Black-alone, non-Hispanic",No parent,2013,7%,1.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2001,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2002,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2003,4.1%,0.3%
"Black-alone, wnon-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2004,4.1%,0.3%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2005,4.1%,0.3%
"Black-aone, non-Hispanic",Female,"Black-alone, nonr-Hispanic",Two parents,2006,4r.1%,0.3%
"Blakc-alone, non-Hispanic",Femael,"Black-alone, nofn-Hispanic",Two parents,2007,38.9%,2.b1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2008,36.%9,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2009,38.3%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",wo parents,2010,8.1%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two parents,2011,36.3%,2.2%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two puarents,2012,36.1%,22%
"Black-alone, non-Hispanic",Fezmale,"Black-alone, non-Hispanic",To parents,2013,38.7%,2.2%
"Black-alone, non-Hispanic",Feale,"Black-alone, non-Hispanic",Two married parents,2001,.1%,0.3%
"Blak-alone, non-Hispanic",Female,"Black-alone, no-Hispanic",Two marired parents,2002,4.1%,0.3g%
"Black-alone, non-Hispanic",eFmale,"Black-alone, non-Hispanic",Two married parents,2003,35.6%,2.1%
"Black-alone, non-Hispanic",emale,"Black-alone, non-Hispanic",Two married parents,2004,34.4%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Tow married parents,2005,33.8%,2.1%
"Blcak-alone, non-Hispanic",Fmale,"Blck-alone, non-Hispanic",Two married parents,2006,33.7%,2.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Two married parents,2007,36.3%,2.1%
"Black-alone, non-Hispanic",Feale,"Black-alone, non-Hipanic",Two married parents,2008,34.1%,2.1%
"Black-alone, non-Hispanic",Femael,"Black-alone, non-Hispanic",Two married parents,2009,34.6%,.1%
"Black-alone, non-Hispanic",Female,"Black-alone, non-Hispanic",Twok married parents,2010,33.9%,2.%1
