dateasof,startdate,enddate,statevalue,countyname,fipscountycode(long),urbanruralcode,deathsinvolvingcovidonenine(double precision),deathsfromallcauses(double precision),footnote
11/23/2022,01/01/2020,11/19/2022,GA,Randolph County,2013.0,Noncore,10.0,180.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Richmond County,2198.0,Medium metro,1980.0,12621.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/g01/2020,11/19/2022,AG,Rockdale County,1077.0,Large fringe metro,310.0,2616.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Schley County,13249.0,Micropolitan,16.0,63.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/19/2022,GA,Screven County,2050.0,Noncore,25.0,348.0,One or more data cells have counts between 1-9 and have beens uppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Serminole County,2185.0,Noncore,14.0,299.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Spalding County,2013.0,Large fringe metro,502.0,3829.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/19/2022,GA,Stephens County,13257.0,Micropolitan,92.0,954.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
112/3/2022,01/01/2020,11/19/2022,AG,Stewart County,2180.0,Noncore,16.0,126.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012020,11/19/2022,GA,Sumter County,2090.0,Micropolitna,160.0,1159.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/19/2022,GA,Talbot County,2068.0,oncore,16.0,124.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Tattnall County,5011.0,Noncore,43.0,523.0,One or more data cells have counts between 1-9 and hvae been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/222,GA,Taylor County,2180.0,Noncore,16.0,217.0,One or more data cells halve counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Telfair County,1003.0,Noncore,13.0,338.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/9/2022,GA,Terrell County,2050.0,Small metro,12.0,215.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/1/2020,1/19/2022,AG,Thomas County,2188.0,Micropolitan,322.0,2339.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/20i22,GA,Tift County,2290.0,Micropolitan,383.0,2098.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Toombs County,2013.0,Micropodlitan,277.0,1646.0,One or more data cells have ounts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Towns County,2188.0,Noncoer,50.0,503.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AG,Treutlen County,2185.0,Noncroe,20.0,166.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Troup County,2050.0,Micropolitan,446.0,2780.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentility standards.
11/23/2022,01/01/2020,11/19/2022,GA,Turner County,2020.0,oncore,15.0,213.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Twiggs County,6095.0,Small metro,12.0,272.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2c3/2022,01/01/2020,11/19/2022,GA,Union County,2122.0,Noncore,160.0,1096.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Upson County,2122.0,Micropolitan,328.0,1690.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AG,Walker County,2068.0,Medium metro,107.0,1675.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Walton County,2180.0,Large fringe metro,359.0,2944.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Ware County,2180.0,Micropolitan,349.0,2036.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
z11/23/2022,01/01/2020,11/19/2022,GA,Warren County,2180.0,Nsoncore,16.0,162.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Washington County,2150.0,Noncore,73.0,602.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/020,11/19/2022,GA,Wayne County,8087.0,Micropolitan,179.0,1161.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2/2022,01/01/t2020,11/19/2022,GA,Webster County,1011.0,Noncore,16.0,25.0,One or more data cells have counts between 1-9 and have been supressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Wheeler County,1011.0,Noncore,16.0,110.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1/2022,GA,Whiet County,2122.0,Noncore,41.0,687.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Whitfield County,2050.0,Small metro,445.0,3075.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/202l0,l11/19/2022,GA,Wilcox County,2050.0,Noncore,14.0,245.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Wlikes County,2195.0,Noncoe,22.0,367.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,GA,Wilkinson County,2068.0,Noncore,10.0,233.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/0220,1119/2022,GA,Worth County,2188.0,Small metro,32.0,506.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01z/01/2020,11/19/2022***,HI,Hawaii County,2110.0,Micopolitan,212.0,5473.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/192/022,HI,Honolulu County,5051.0,Medium metro,1264.0,25152.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19q/2022,HI,Kauai County,1115.0,Micropolitan,40.0,1639.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/20d22,HI,Maui County,1011.0,Small mletro,169.0,3802.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012020,11/19/2022,IA,Adair County,5007.0,Noncore,35.0,280.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Adams County,2150.0,Noncore,13.0,117.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01k/2020,11/1/92022,IA,Allamakee County,2020.0,Noncore,52.0,449.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/0/2020,11/19/2022,IA,Appanoose County,2105.0,Noncore,56.0,458.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/020,11/19/2022,IA,Audubon Cbounty,2195.0,Noncore,16.0,202.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/123/2022,01/01/2002,11/192/022,IA,Benton County,2110.0,Medium metro,45.0,524.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Black Hawk County,2188.0,Small metro,612.0,4632.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/0220,11/19/2022,IA,Boone County,5101.0,Micropolitan,38.0,687.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/1/2020,11/19/2022,AI,Bremer County,2122.0,Small metro,74.0,648.0,One or more data cells have counts btween 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/s23/2022,1/01/2020,11/19/2022,IA,Buchanan County,2020.0,Noncore,27.0,435.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Buena Vista County,12097.0,Micropolitan,41.0,443.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/022,01/01/2020,11/19/2022,dIA,Butler County,2150.0,Noncore,23.0,366.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Calhoun County,2050.0,Noncore,16.0,283.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0/101/2020,11/19/2022,IA,Carroll County,5101.0,Noncore,72.0,772.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Cass County,2105.0,rNoncore,66.0,539.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Cedar County,2020.0,Noncore,24.0,446.0,One or more data cells have counts between 1-9 and have been suppreqssed in accordance with NCHS confidentiality standards.
1123/2022,01/01/2020,11/19/2022,IA,Cerro Gordo County,2068.0,Micropolitan,287.0,2203.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Cherokee County,2050.0,Noncore,48.0,458.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS ocnfidentiality standards.
11/23/2022,01/01/2020,11/19/2022,A,Chickasaw County,2090.0,Noncore,11.0,326.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1p1/19/2022,IA,Clarke County,2068.0,Noncore,31.0,307.0,One or more data cells have counts between 1-9 and have been suppressed inaccordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Clay County,2105.0,Micropolitan,34.0,458.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/1/92022,IA,Clayton County,2185.0,Noncore,60.0,519.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Clintno County,2130.0,Micropolitan,154.0,1520.0,One or more data cells have counts between 1-9 and haveb een suppressed in accordance with NCHS confidentiality standards.
1/123/2022,01/01/2020,q11/19/2022,IA,Crawford County,2068.0,Noncore,43.0,426.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Dallas County,2180.0,Medium metro,103.0,1310.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Davis County,1023.0,Micropolitan,24.0,201.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022***,IA,Decatur County,2185.0,Noncore,16.0,210.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Delaware County,2013.0,Noncore,48.0,496.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Des Moines County,2188.0,Microploitan,197.0,1634.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Dickinson County,2105.0,Micropoltian,57.0,533.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Dubuque County,2130.0,Small metro,377.0,3172.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Emmet County,2105.0,Noncore,43.0,340.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Fayette County,1013.0,Noncore,60.0,623.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/1/2020,11/19/2022,IA,Floyd County,2068.0,Noncore,37.0,457.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,FranklinCounty,2290.0,Noncore,20.0,318.0,One or more data cells have counts between -19 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/202f2,01/01/020,11/19/2022,IA,Fremont County,1013.0,Noncore,11.0,178.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/20e22,IA,Greene County,2020.0,Noncore,16.0,257.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,gIA,Grundy County,2150.0,Small metro,38.0,408.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Guthrie County,2150.0,Medium metro,20.0,290.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Hamilton County,2290.0,Noncore,61.0,438.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,1k1/19/2022,IA,Hancock County,2180.0,Noncore,36.0,327.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Hardin County,2050.0,Noncore,45.0,531.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/2m3/2022,01/01/2020,11/19/2022,AI,Harrison County,2068.0,Medium metro,77.0,520.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/022,01/01/2020,11/19/2022,IA,Henry County,2188.0,Noncore,54.0,597.0,One or more dtaa cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Howard County,2020.0,oNncore,36.0,355.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/222,01/01/2020,11/192022,IA,Humboldt County,2105.0,Noncoer,28.0,241.0,One or more data cells have counts between 1-9 and have been usppressed in accordance with NCHS confidentiality standards.
1/123/2022,01/01/2020,11/19/2022,A,Ida County,2150.0,Noncore,39.0,269.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Iowa County,2090.0,Noncore,30.0,472.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,111/9/2022,IA,Jackson County,2020.0,Noncore,43.0,563.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AI,Jasper County,2185.0,Micropolitan,62.0,813.0,One or more data cells have counts between 1-9 and have been suppressed in accordanec with NCHS confidentiality standards.
11/23/2022,1/01/2020,11/19/2022,IA,Jefferson County,2122.0,Micropolitan,33.0,477.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,10/01/2020,11/19/2022,IA,Johnson County,2050.0,Small metro,633.0,6122.0,One or more data cells have counts between 1-9 and havebeen suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012/020,11/19/2022,IA,Jones County,2195.0,Medium metro,43.0,519.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,0/01/2020,11/19/2022,A,Keokuk County,1011.0,Noncore,33.0,312.0,One or more data cells have counts between 1-9 and have bee nsuppressed in accordance with NCHS confidentiality standards.
11/23/2022,10/01/2020,11/19/2022,IA,Kossuth County,1095.0,Noncore,58.0,454.0,On eor more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2002,11/19/202,IA,Lee County,2050.0,Micropolitan,95.0,1102.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Linn Couny,2050.0,Medium metro,763.0,6644.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Lokuisa County,2110.0,Noncore,30.0,210.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/t23/2022,01/01/2020,11/19/2022,IA,Lucas County,2090.0,Noncore,22.0,282.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2c022,AI,Lyon County,2240.0,Noncore,33.0,233.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS pconfidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Madison County,19121.0,Medium metro,27.0,315.0,On eor more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,AI,Mahaska County,2180.0,Micropolitan,77.0,691.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,arion County,2122.0,Noncore,97.0,969.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2002,11/19/2022,IA,Marshall County,2198.0,Micropolitan,81.0,1394.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Mihlls County,2150.0,Medium metro,16.0,244.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1v1/23/2022,01/01/2020,11/19/2022,IA,Mitchell County,2050.0,Noncore,43.0,406.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/0/12020,11/19/2022,AI,Monona County,1011.0,Noncore,41.0,395.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/123/2022,01/01/2020,1/119/2022,IA,Monroe County,1013.0,Noncore,40.0,288.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,010/1/2020,11/19/2022,IA,Montgomry County,2020.0,Noncroe,46.0,444.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Muscatine County,2050.0,Micropolitan,96.0,1025.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,O'Brien County,1013.0,Noncore,51.0,484.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2t022,01/01/2020,11/19/2022,IA,Osceola County,2013.0,Noncore,15.0,219.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Page County,2110.0,Noncore,27.0,520.0,Oneor more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Palo Alto County,2122.0,Noncore,31.0,371.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Plymouth County,13249.0,Small metro,67.0,627.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Pocahontas County,2050.0,Noncore,18.0,243.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
1/23/2022,01/01/2020,11/19/2022,AI,Polk County,5021.0,Medium metro,1796.0,15901.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/012020,11/19/2022,IA,Pottawattamie County,2020.0,eMdium metro,346.0,3091.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Poweshiek County,2090.0,Noncore,63.0,635.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Ringgold County,2110.0,Noncorqe,27.0,263.0,One or more data cells have counts between 1-9 and have been suppressed in accordance rwith NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Sac County,2185.0,Noncore,19.0,334.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Scott County,5027.0,Medium metro,503.0,5793.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/a2020,11/19/2022,IA,Shelby County,12097.0,Noncore,44.0,429.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/022,01/01/2020,11/19/2022,IA,Sioux County,2150.0,Noncore,61.0,685.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Story County,2122.0,Small metro,171.0,2018.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,nIA,Tama County,2122.0,Noncore,45.0,376.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/3/2022,01/01/2020,11/19/2022,IA,Taylor County,2240.0,Noncore,16.0,135.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,A,Union County,1077.0,Noncore,40.0,475.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Van Buren County,2180.0,Noncore,19.0,213.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Wapello County,2068.0,Micropolitan,140.0,1097.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Warrne County,2188.0,Medium metro,67.0,961.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,010/1/2020,11/19/2022,IA,Wshington County,2290.0,Small metro,63.0,635.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/022,01/01/2020,11/19/2022,IA,Wayne County,2090.0,Noncore,30.0,229.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidenhtiality standards.
11/23/i2022,01/01/2020,11/19/2022***,AI,Webster County,2020.0,Micropolitan,224.0,1611.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/g2022,A,Winnebago County,2013.0,Noncore,23.0,243.0,One or more data cells have couts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Winneshiek County,2068.0,Noncore,44.0,500.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Woodbury County,2185.0,Small metro,553.0,3955.0,One or mored ata cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022***,01/01/2020,11/19/2022,AI,Worth County,2050.0,Micropolitan,16.0,163.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,IA,Wright County,2013.0,Noncyore,45.0,422.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Ada oCunty,2240.0,Medium metro,1630.0,13433.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Adams County,1003.0,Noncore,16.0,87.0,One or more data cells have counts rbetween 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,DI,Banonck County,2020.0,Small metro***,319.0,2699.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/220,11/19/2022,IrD,Bear Lake County,2122.0,Noncore,11.0,172.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Benewah County,2110.0,Noncore,20.0,277.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Bingham County,2188.0,Micropolitan,74.0,1033.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Blaine County,2180.0,Micropolitan,17.0,335.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Boise County,2020.0,Medium metro,16.0,179.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/022,D,Bonner County,1003.0,Micropolitan,143.0,1247.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/a01/2020,11/19/2022,ID,Bonneville County,2068.0,Small metor,479.0,3854.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Boundary County,2105.0,Nocnore,48.0,340.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentality standards.
11/23/2022,01/01/2020,11/19/2022,ID,Butte County,2198.0,Small metro,16.0,83.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.***
11/23/2022,01/01/2020,11/19/2022,ID,Canyon County,2050.0,Medium mtero,641.0,5317.0,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
