4721.zip,744471217,74447-1217
351.city,akland,Oakland
5869.stfip,h36,36
4193.nmcbsa,"Lansing-East Lansing, aMI","Lansing-East Lansing, MI"
138.nmcbsa,"Searcyr, AR","Searcy, AR"
5868.necta,,N
1199.sldl,18707,18077
6584.statevalue,qPR,PR
6552.city,eedley,Reedley
2268.cbsa,1580,17580
4610.stfip,6,36
6491.city,Somerseyt,Somerset
6226.sldu,09061,09016
6150.sldl,90106,09106
4403.cd,904,4904
3130.namevalue,Jolie Hir and Beauty Academy-Wilkes-Barre,Jolie Hair and Beauty Academy-Wilkes-Barre
2173.necta,37900,73900
3372.city,iMlan,Milan
352.nmnecta,,N
6623.nmcbsa,"Newf York-Newark-Jersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
3200.cd,2415,4215
6841.city,Glenadle,Glendale
83.cnty,04091,04019
1821.nmnecta,***,N
2288.sldl,3045,35045
4355.nmcsa,,N
546.cnty,06v085,06085
3158.city,Jenintown,Jenkintown
5080.namevalue,Mountwest Community and Technical Colelge,Mountwest Community and Technical College
520.necta,xN,N
3087.nmnecta,uN,N
957.nmcsa,"Boise CityMountain Home-Ontario, ID-OR","Boise City-Mountain Home-Ontario, ID-OR"
5300.city,Ricmhond,Richmond
4415.zip,1879,01879
5685.nmcnty,St. Joseph Conuty,St. Joseph County
6153.nmcsa,"Cape Cral-Fort Myers-Naples, FL","Cape Coral-Fort Myers-Naples, FL"
4631.cd,003,4003
6689.nmnecta,***,N
3931.sldu,5006,55006
2546.cnty,36076,36067
4094.nmcbsa,"eLafayette-West Lafayette, IN","Lafayette-West Lafayette, IN"
2911.city,Tffin,Tiffin
2325.nmcbsa,"New York-Newark-Jersey Ctiy, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
561.zip,9558,95358
3131.nmcbsa,"Scranton--Wilkes-Brre, PA","Scranton--Wilkes-Barre, PA"
679.street,"252 Chapman Roiad, Suite 100","252 Chapman Road, Suite 100"
830.schoolyear,2021-2202,2021-2022
963.cd,7109,1709
882.cd,1340,1304
5304.cbsa,81180,18180
2086.nmnecta,,N
2626.csa,1s72,172
1269.nmnecta,,N
1371.namevalue,Elizabethtown Commuity and Technical College,Elizabethtown Community and Technical College
110.statevalue,Z,AZ
4700.cnty,0609,06019
211.locale,1,11
2746.necta,***,N
4287.necta,,N
3923.csa,18,118
1775.cnty,2625,26125
5246.namevalue,Academy Di cCapelli -,Academy Di Capelli -
2910.locale,x41,41
1683.nmcsa,"Detroit-Waren-Ann Arbor, MI","Detroit-Warren-Ann Arbor, MI"
1541.namevalue,aFortis Institute-Towson,Fortis Institute-Towson
6412.sldl,45117***,45117
4062.nmcsa,***,N
5693.statevalue,XT,TX
1942.cbsa,5620,25620
5221.schoolyear,2021-2022***,2021-2022
5070.stfip,27,72
2178.statevalue,HN,NH
4477.zip,60452-2051,60452-2501
90.necta,***,N
3030.nmcbsa,"rGants Pass, OR","Grants Pass, OR"
5062.nmcsa,"San Juan-Buayamón, PR","San Juan-Bayamón, PR"
1420.stfip,2,22
6824.city,Spokxane,Spokane
4615.nmcbsa,"Albany-Schencetady-Troy, NY","Albany-Schenectady-Troy, NY"
1136.nmcnty,Marion Coiunty,Marion County
3721.nmnecta,***,N
4452.zip,7036-3211,77036-3211
1346.namevalue,Wichtia State University,Wichita State University
3539.nmcnty,Jefferson Counyt,Jefferson County
5054.cnty,0097,01097
6735.csa,76,276
2206.cnty,3401a3,34013
6702.namevalue,Professional Cluinary Academy,Professional Culinary Academy
3525.csa,288***,288
2796.stfip,m39,39
6059.city,hPhoenix,Phoenix
1585.cbsa,39030,39300
6491.namevalue,American Intsitute-Somerset,American Institute-Somerset
5165.nmcnty,Los Ancgeles County,Los Angeles County
2709.street,200 Community College Roaqd,200 Community College Road
3819.necta,,N
2276.nmcbsa,***,N
2278.locale,1,11
5413.cnty,0801o3,08013
628.schoolyear,2021-022,2021-2022
4724.csa,***,N
3078.cbsa,38300***,38300
470.cbsa,31008,31080
850.city,Dave,Davie
1013.nmcnty,Wil County,Will County
3311.sldl,4503,45083
6615.cnty,1206,12086
1885.sldl,273q9B,2739B
1258.sldl,06i077,06077
4952.cbsa,3710f0,37100
3005.nmnecta,,N
6786.statevalue,MmI,MI
3559.csa,f206,206
997.zip,60061,60601
1951.statevalue,OM,MO
5819.cd,25z06,2506
4535.nmcsa,"Miami-Port St. Lucie-Fort Lhauderdale, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
2787.sldu,9021,39021
3255.schoolyear,2021-w2022,2021-2022
5904.zip,11d550-6317,11550-6317
730.street,7259 Salisbury yRoad,7259 Salisbury Road
5721.necta,rN,N
5803.statevalue,T,UT
3608.nmcsa,"Dallas-Fort Worth, T-OK","Dallas-Fort Worth, TX-OK"
4499.locale,1,11
495.csa,848,488
6438.street,16926 Sticoy Street,16926 Saticoy Street
2236.nmcbsa,"New York-Newark-Jersey Ciyt, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
3042.locale,s31,31
4904.nmnecta,,N
1689.namevalue,Baker Collge of Owosso,Baker College of Owosso
3710.cbsa,7260,47260
831.zip,33104-3854,33140-3854
3964.nmcsa,yN,N
6697.stfip,0n6,06
3518.nmcsa,"Amarillo-Pampa-Borgeqr, TX","Amarillo-Pampa-Borger, TX"
3489.street,1800 Eastgatle Dr,1800 Eastgate Dr
4420.namevalue,Midwest College of Oriental Medicine-Racien,Midwest College of Oriental Medicine-Racine
3589.nmnecta,,N
574.locale,1h1,11
1419.cbsa,4r3340,43340
1407.zip,40208-0001,40280-0001
6838.necta,xN,N
5924.sldu,0021,20021
1973.nmnecta,***,N
1138.locale,1k1,11
3747.stfip,1,51
4073.necta,,N
544.street,1836 Phantom West,18368 Phantom West
187.stfip,5,05
5153.namevalue,Miller-Motte College Plat College-Moore,Miller-Motte College Platt College-Moore
3829.cnty,5353,53053
2049.schoolyear,2021-202,2021-2022
4171.csa,844,484
5663.zip,100114552,10011-4552
4412.nmnecta,***,N
5139.street,802 North 30th Street,8702 North 30th Street
1253.statevalue,AI,IA
2573.city,Bufflao,Buffalo
4184.zip,15b370-8281,15370-8281
1909.namevalue,East Central CommunityC ollege,East Central Community College
6251.namevalue,San Ignacio Univerity,San Ignacio University
5990.street,35c35 Fort Meade Road,3535 Fort Meade Road
2983.statevalue,eOK,OK
3697.sldu,1021,51021
1077.statevalue,IkL,IL
503.city,Pasadna,Pasadena
2027.zip,6t3017,63017
4524.city,Warrne,Warren
2607.stfip,73,37
1194.namevalue,aUniversity of Notre Dame,University of Notre Dame
1837.nmcnty,Ramey County,Ramsey County
5254.nmnecta,gN,N
6439.street,"1777 Von Karman Ave, Suite 400","17877 Von Karman Ave, Suite 400"
1295.cbsa,1700,17700
4512.city,Oqmaha,Omaha
1256.sldl,19h006,19006
1516.nmnecta,iN,N
5913.cnty,04109,04019
1371.city,Elizabethhtown,Elizabethtown
6076.csa,***,N
3969.cnty,5093,55093
1177.street,1700 Mishawakad Ave,1700 Mishawaka Ave
3227.zip,1148,16148
2183.necta,7270,72700
1155.locale,1e1,11
2089.namevalue,Cty College Montana State University Billings,City College Montana State University Billings
3742.cd,g5103,5103
4079.cnty,7209q7,72097
3248.cbsa,3980,37980
3293.cnty,4501d9,45019
5976.namevalue,The College of Health Caare Professions-Dallas,The College of Health Care Professions-Dallas
1339.sldu,20w024,20024
4029.schoolyear,201-2022,2021-2022
1601.sldl,25910,25190
2896.city,Mraumee,Maumee
2479.cd,36d27,3627
2744.statevalue,DN,ND
1560.nmcnty,Kent Coutny,Kent County
416.cnty,0053,06053
3878.nmcbsa,"Elkins, WzV","Elkins, WV"
2228.namevalue,Montclai rState University,Montclair State University
78.statevalue,ArZ,AZ
3106.nmcsa,"Harrisburg-Yrok-Lebanon, PA","Harrisburg-York-Lebanon, PA"
526.schoolyear,2021-202,2021-2022
3252.nmnecta,,N
1061.sldl,1114,17114
6079.cnty,3402f9,34029
5280.stfip,21,12
6826.cnty,2189,29189
1100.schoolyear,021-2022,2021-2022
1704.nmcnty,Gemnesee County,Genesee County
4210.nmnecta,"oston-Cambridge-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH"
949.cd,102,1602
4016.city,Guaayma,Guayama
2405.necta,rN,N
1926.sldl,28065,28056
6638.cbsa,p35620,35620
5498.namevalue,Mille-rMotte College-Raleigh,Miller-Motte College-Raleigh
4646.namevalue,Hazlelton Area Career Center,Hazleton Area Career Center
3322.namevalue,Presbyetrian College,Presbyterian College
6835.sldl,5303,53003
4828.schoolyear,2021-2022***,2021-2022
977.stfip,7,17
5932.nmcnty,Livinsgton County,Livingston County
5364.statevalue,NpD,ND
6797.zip,f33025-7000,33025-7000
6422.csa,***,N
2428.statevalue,YN,NY
1175.cbsa,454j60,45460
2476.nmcsa,"Spkoane-Spokane Valley-Coeur d'Alene, WA-ID","Spokane-Spokane Valley-Coeur d'Alene, WA-ID"
6758.csa,28,288
1248.nmcbsa,"Des Moinse-West Des Moines, IA","Des Moines-West Des Moines, IA"
3367.locale,j41,41
5265.city,Tulas,Tulsa
3469.sldu,48206,48026
1490.sldu,23q005,23005
2651.zip,f28504,28504
5959.csa,438,348
6454.namevalue,"Elite Cosmetology, Barbr & Spa Academy","Elite Cosmetology, Barber & Spa Academy"
1648.namevalue,North ShoreCommunity College,North Shore Community College
5678.street,450 N Sam Houston Pkw yE Ste 200,450 N Sam Houston Pkwy E Ste 200
2525.nmnecta,yN,N
6678.csa,cN,N
2105.stfip,3e0,30
6110.locale,31,13
1589.street,2240 Iyannaough Rd,2240 Iyannough Rd
48.locale,3r2,32
3072.cbsa,379n80,37980
2443.statevalue,YN,NY
3564.sldu,4826,48026
411.cnty,06x085,06085
220.cbsa,42i100,42100
6367.nmcnty,Nw York County,New York County
1414.nmcsa,"BowlingGreen-Glasgow, KY","Bowling Green-Glasgow, KY"
6583.cd,0560,0650
2918.sldl,0v6062,06062
6033.schoolyear,2021-2t022,2021-2022
4572.street,110 William St. 91th Fl,110 William St. 19th Fl
4114.city,Oklahom aCity,Oklahoma City
3701.necta,***,N
741.sldu,12202,12022
3056.nmcnty,Philadelphi aCounty,Philadelphia County
6686.csa,08,408
2385.nmcsa,"New York-Newbark, NY-NJ-CT-PA","New York-Newark, NY-NJ-CT-PA"
4439.locale,11***,11
2408.cbsa,5620,35620
3361.cnty,64103,46103
2805.necta,,N
3611.city,San Atnonio,San Antonio
2585.nmnecta,pN,N
4775.nmnecta,cN,N
638.nmcbsa,"Hatford-East Hartford-Middletown, CT","Hartford-East Hartford-Middletown, CT"
5927.stfip,61,16
1032.cnty,71099,17099
5241.locale,1,11
2725.cd,3080,3800
1476.statevalue,EM,ME
1825.nmcbsa,,N
932.statevalue,AG,GA
4723.cnty,6037,06037
3402.necta,lN,N
3607.cnty,48134,48143
6370.cbsa,36p740,36740
231.namevalue,Alliant Interpnational University-Irvine,Alliant International University-Irvine
4919.necta,,N
5141.cd,406,4506
4213.cbsa,1940,15940
5007.cbsa,12900,21900
5272.stfip,15,51
5146.statevalue,SM,MS
6248.cd,2o104,2104
6615.zip,3161-0000,33161-0000
2233.stfip,3z4,34
719.nmcsa,"Orlando-Lakeland-Delona, FL","Orlando-Lakeland-Deltona, FL"
2201.sldu,4025,34025
971.cd,1781,1718
6023.cnty,49501,49051
1938.statevalue,MjS,MS
4346.csa,16u0,160
3348.street,802 N Washington Ave,820 N Washington Ave
4565.cd,306,1306
151.schoolyear,202d1-2022,2021-2022
5708.statevalue,IH,HI
5733.zip,1e5235-3718,15235-3718
4020.nmnecta,,N
4916.schoolyear,2021-022,2021-2022
4855.stfip,6,06
4276.cd,416,4216
2171.zip,03507,03570
5008.cbsa,1980,41980
2125.nmcsa,,N
1264.city,Desh Moines,Des Moines
1641.nmcbsa,"Providene-Warwick, RI-MA","Providence-Warwick, RI-MA"
3818.sldu,5o3019,53019
4804.sldl,4507,45107
1870.necta,,N
1100.city,Sprinfgield,Springfield
1586.namevalue,Signature Healthcare Brockton Hospital Schoo of Nursing,Signature Healthcare Brockton Hospital School of Nursing
1150.cbsa,l31140,31140
5239.cnty,0605,06065
3034.sldu,4100c4,41004
4773.nmcnty,Orange Coutny,Orange County
1346.nmnecta,vN,N
5262.statevalue,H,OH
1707.locale,21,12
4615.cd,36k20,3620
6214.zip,9826,95826
4370.stfip,8,48
5824.csa,,N
3295.sldl,z45053,45053
6605.sldu,2903q0,29030
3410.nmnecta,gN,N
1168.statevalue,ItN,IN
3260.nmcbsa,New Castle PA,"New Castle, PA"
5414.statevalue,CaO,CO
4591.nmcbsa,"Bridgpeort-Stamford-Norwalk, CT","Bridgeport-Stamford-Norwalk, CT"
1171.city,Indianaypolis,Indianapolis
1120.sldl,17k078,17078
5557.namevalue,Southern Wrocester County Regional Vocational School District,Southern Worcester County Regional Vocational School District
5529.sldu,00626,06026
3661.nmcbsa,"Cedar Cty, UT","Cedar City, UT"
5829.cnty,8469,48469
3754.stfip,1,51
3369.schoolyear,201-2022,2021-2022
1941.namevalue,Weley Biblical Seminary,Wesley Biblical Seminary
3931.necta,,N
2464.namevalue,Montefiore Scool of Nursing,Montefiore School of Nursing
3325.locale,2,12
2271.city,SantaFe,Santa Fe
1550.stfip,2c4,24
1984.sldl,06087,06078
3172.cd,215,4215
2726.zip,58601v-4896,58601-4896
4981.csa,160,106
5811.sldl,45001,45010
685.street,104 Hullihen Halil,104 Hullihen Hall
4320.cd,06g47,0647
3979.zip,82070-9159,82070-9519
2471.necta,iN,N
4641.locale,33***,33
1109.sldu,17304,17034
3719.necta,tN,N
1050.nmcnty,Logan Couny,Logan County
5221.namevalue,Milan Institute-Clovwis,Milan Institute-Clovis
725.csa,lN,N
4920.cbsa,1860,16860
5426.sldl,1700,17020
5559.city,Roal Oak,Royal Oak
3381.locale,11***,11
4811.nmcsa,"New Orleans-Metiarie-Hammond, LA-MS","New Orleans-Metairie-Hammond, LA-MS"
2729.statevalue,D,ND
3907.nmcsa,***,N
4765.csa,***,N
127.cd,05r02,0502
5893.nmcbsa,"Moprgantown, WV","Morgantown, WV"
5556.sldl,2211,25211
4212.statevalue,J,NJ
4552.sldu,30925,39025
2873.cd,312,3912
275.nmcsa,,N
2390.necta,***,N
4714.locale,12,21
3821.sldu,5014,53014
4519.nmcsa,"Youngstown-Warren, OHk-PA","Youngstown-Warren, OH-PA"
6810.locale,2,12
1458.cnty,21209,22109
4427.namevalue,Sandusky Caree Center,Sandusky Career Center
5707.cbsa,35030,35300
2373.namevalue,CUNY Boroug of Manhattan Community College,CUNY Borough of Manhattan Community College
5096.stfip,5,25
1471.locale,21,12
5286.csa,19m8,198
2049.nmnecta,,N
1766.nmcnty,Gecnesee County,Genesee County
68.zip,9664-0889,99664-0889
6702.nmcsa,"Buffalo-heektowaga-Olean, NY","Buffalo-Cheektowaga-Olean, NY"
3021.nmcbsa,"Crovallis, OR","Corvallis, OR"
2229.city,Palinfield,Plainfield
3057.namevalue,American College of Finanical Services,American College of Financial Services
2254.city,orristown,Morristown
5339.sldl,360f48,36048
2988.statevalue,K,OK
1572.nmcnty,Hampden Counyt,Hampden County
2608.sldu,37084,37048
4734.locale,1,11
1058.nmcbsa,"Chicago-Naperville-Elgin,IL-IN-WI","Chicago-Naperville-Elgin, IL-IN-WI"
4546.nmcnty,Loraint County,Lorain County
3570.zip,8539-2999,78539-2999
1975.street,Buildring 5700  at Cuesta College,Building 5700  at Cuesta College
5000.sldu,4803,48013
2622.csa,g172,172
5677.cbsa,1700,41700
126.city,Precsott,Prescott
611.necta,,N
640.statevalue,T,CT
4442.nmcsa,"New York-Newark, NY-NJ-CT-AP","New York-Newark, NY-NJ-CT-PA"
1443.cd,2210,2201
3767.nmnecta,***,N
3189.namevalue,Pennsylvania zGunsmith School,Pennsylvania Gunsmith School
674.street,15 Mohega nAvenue,15 Mohegan Avenue
2862.csa,,N
645.sldu,09009***,09009
3888.namevalue,Morgantown Beaumty College Inc,Morgantown Beauty College Inc
4059.nmcsa,"Orlando-Laskeland-Deltona, FL","Orlando-Lakeland-Deltona, FL"
1474.cd,2210,2201
160.necta,,N
5139.sldl,dN,N
2908.nmcbsa,"Weirton-Steubeville, WV-OH","Weirton-Steubenville, WV-OH"
1344.namevalue,Wayshburn University,Washburn University
3332.street,800University Way,800 University Way
2441.sldl,3069,36069
20.namevalue,George C Wallace Community CollegeD-othan,George C Wallace Community College-Dothan
162.cd,0h503,0503
4255.nmcsa,"Gran dRapids-Kentwood-Muskegon, MI","Grand Rapids-Kentwood-Muskegon, MI"
2313.city,Hgolyoke,Holyoke
3164.namevalue,Mercyhurst University-North East Campsu,Mercyhurst University-North East Campus
5969.sldl,2016,20016
3993.nmcnty,Bayamón Municiupio,Bayamón Municipio
3930.necta,***,N
6375.cd,3440,3404
4729.namevalue,San Bernardino Community Clolege District,San Bernardino Community College District
4834.nmcbsa,"Providenec-Warwick, RI-MA","Providence-Warwick, RI-MA"
1272.cnty,9057,19057
4451.namevalue,Cortiva Institugte,Cortiva Institute
3849.namevalue,Spokane Flals Community College,Spokane Falls Community College
2921.necta,,N
6687.nmnecta,,N
3750.schoolyear,2201-2022,2021-2022
5889.nmcnty,allas County,Dallas County
3670.stfip,x49,49
4995.cbsa,35602,35620
1217.csa,28,218
621.statevalue,T,CT
6161.cnty,06509,06059
5885.sldu,12004,12040
3171.namevalue,Moravwian University,Moravian University
244.cnty,6037,06037
737.cbsa,28v580,28580
6603.csa,***,N
6745.cd,4290,4209
3573.statevalue,X,TX
3332.cnty,45038,45083
5650.nmcbsa,"Virgkinia Beach-Norfolk-Newport News, VA-NC","Virginia Beach-Norfolk-Newport News, VA-NC"
1632.nmnecta,"Boston-Cambrige-Newton, MA-NH","Boston-Cambridge-Newton, MA-NH"
2048.cbsa,3234o0,32340
1645.sldl,25028,25208
4595.sldu,20754,27054
4625.sldl,9031,39031
6277.nmcsa,"Atlanta--Athens-Clarke County--Sandy Szprings, GA-AL","Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
3360.cd,460q0,4600
2238.zip,n08012,08012
2737.nmcsa,***,N
3930.statevalue,I,WI
4612.cd,624,3624
4322.nmcsa,"Sacramento-Rosevillel, CA","Sacramento-Roseville, CA"
6141.locale,c22,22
4752.nmnecta,,N
1151.city,Brownnsburg,Brownsburg
2206.zip,0702,07102
5738.nmcsa,"Miami-Pot St. Lucie-Fort Lauderdale, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
6160.stfip,4y7,47
813.sldl,1l2017,12017
2221.schoolyear,2021-20y22,2021-2022
2579.csa,480,408
2872.nmcnty,Allen County***,Allen County
5263.sldl,390n21,39021
3904.csa,10,170
3025.necta,***,N
730.csa,30,300
3436.nmcbsa,,N
1431.cbsa,5380,35380
4317.nmnecta,qN,N
3795.nmnecta,zN,N
3882.cbsa,2518q0,25180
2061.namevalue,Saint Louis Christian Collgee,Saint Louis Christian College
853.nmcbsa,"Tifton ,GA","Tifton, GA"
2839.locale,b13,13
5888.sldl,18078,18087
3276.csa,14x8,148
5269.namevalue,Chmapion Beauty College,Champion Beauty College
3119.zip,17042d-5235,17042-5235
6442.city,Sacrameno,Sacramento
3532.nmcnty,Brown Counthy,Brown County
700.sldl,,N
4944.statevalue,PaR,PR
2305.schoolyear,2021-0222,2021-2022
4612.sldl,3130,36130
3632.cd,481l9,4819
5861.statevalue,A,CA
6450.statevalue,A,PA
2526.sldu,3602g5,36025
725.cbsa,54220,45220
892.city,Atlnta,Atlanta
3994.necta,,N
2335.schoolyear,2021-2022***,2021-2022
5262.nmcbsa,"Clveland-Elyria, OH","Cleveland-Elyria, OH"
1206.nmcbsa,"Macrion, IN","Marion, IN"
1969.zip,9271-7854,98271-7854
6566.schoolyear,0221-2022,2021-2022
4447.stfip,21,12
5183.cnty,12111,21111
1952.nmcsa,"Kansas City-Overland Park-Kansa sCity, MO-KS","Kansas City-Overland Park-Kansas City, MO-KS"
465.csa,34u8,348
2508.cbsa,4038g0,40380
1464.sldu,2212,22012
6361.city,Kansaus City,Kansas City
2632.schoolyear,201-2022,2021-2022
5067.sldu,5013,15013
4366.street,170 S Willow ve,170 S Willow Ave
3774.stfip,1,51
5215.csa,716,176
3022.csa,40,140
5514.statevalue,XT,TX
6485.nmcsa,"ittle Rock-North Little Rock, AR","Little Rock-North Little Rock, AR"
3400.csa,15,315
363.cnty,6073,06073
3802.cbsa,16050,16500
814.sldu,120n20,12020
3976.schoolyear,2021-20o22,2021-2022
5196.nmnecta,***,N
6373.cd,404,3404
4587.nmcsa,"Los Angles-Long Beach, CA","Los Angeles-Long Beach, CA"
2877.sldl,3902a0,39020
1728.namevalue,MIAT College of eTchnology,MIAT College of Technology
4241.schoolyear,202-2022,2021-2022
2736.sldl,x38025,38025
548.nmnecta,***,N
1476.nmcbsa,rN,N
3585.cnty,4201,48201
2120.necta,,N
1567.statevalue,A,MA
6123.namevalue,Grace Internationla Beauty School,Grace International Beauty School
4744.necta,mN,N
553.statevalue,CsA,CA
4836.schoolyear,202-12022,2021-2022
6709.sldu,13062,13026
4359.sldu,720r07,72007
4485.street,500 Jhon Will Harris Avenue,500 John Will Harris Avenue
6159.nmcsa,,N
6684.csa,466***,466
1252.statevalue,IbA,IA
5388.nmcbsa,"New York-Newark-Jersey Cdity, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
4155.nmcbsa,"Greensboro-Higyh Point, NC","Greensboro-High Point, NC"
1022.csa,1b76,176
2819.nmcbsa,"Cleveland-Eclyria, OH","Cleveland-Elyria, OH"
1867.namevalue,Rainy River CommunityCollege,Rainy River Community College
4263.nmcbsa,"Lo Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA"
3939.csa,736,376
1927.locale,2,32
1530.nmcsa,"Washington-Baltimore-Arilngton, DC-MD-VA-WV-PA","Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
3756.nmcsa,oN,N
2802.nmcsa,"Colubus-Marion-Zanesville, OH","Columbus-Marion-Zanesville, OH"
5048.statevalue,iCA,CA
723.nmcnty,uDval County,Duval County
2173.csa,p148,148
3031.nmcnty,Jackson Conty,Jackson County
5739.street,81 Second Street,981 Second Street
2294.csa,08,408
5852.nmcbsa,"Atlanta-Sandy Springs-Alphazretta, GA","Atlanta-Sandy Springs-Alpharetta, GA"
5940.csa,,N
5724.cnty,04031,04013
4344.cbsa,39780,37980
330.zip,955g01,95501
1983.cd,404,4004
4747.sldu,c12037,12037
5456.csa,06,206
583.nmcbsa,***,N
6615.csa,70,370
3259.sldu,420x42,42042
450.namevalue,Palofmar College,Palomar College
6791.city,Miagmi Lakes,Miami Lakes
1294.namevalue,Cloud Conunty Community College,Cloud County Community College
478.street,5500 Campanil eDr,5500 Campanile Dr
1872.street,2850 Abbpey Plaza,2850 Abbey Plaza
6666.city,Tampua,Tampa
3363.statevalue,DS,SD
6322.city,Maidison,Madison
1995.cd,1051,1501
5454.cbsa,11740,17140
5998.necta,***,N
1801.csa,301,310
4718.cnty,1207,12097
781.schoolyear,20212-022,2021-2022
4457.sldl,2099,12099
1574.nmcbsa,"Worcegster, MA-CT","Worcester, MA-CT"
5250.cbsa,3100,33100
2466.nmcbsa,"New York-NewarkJ-ersey City, NY-NJ-PA","New York-Newark-Jersey City, NY-NJ-PA"
6451.nmcnty,Wilson Counyt,Wilson County
3289.nmcnty,Richland Counyt,Richland County
5682.cnty,5041,45041
3067.nmcnty,ucks County,Bucks County
1880.nmnecta,,N
3927.schoolyear,2021-2022***,2021-2022
817.nmnecta,***,N
3469.sldl,8123,48123
6550.street,166t40 San Pedro Avenue,16640 San Pedro Avenue
4049.nmcbsa,"San Juan-Bayamónj-Caguas, PR","San Juan-Bayamón-Caguas, PR"
385.cbsa,1080,31080
3265.namevalue,Williamson College fo the Trades,Williamson College of the Trades
2839.zip,4035-1691,44035-1691
4832.street,"1901 Fogrt Myer Drive, Suite 700","1901 Fort Myer Drive, Suite 700"
1491.namevalue,nUiversity of Maine - Machias,University of Maine - Machias
4389.street,13266 Pway Rd,13266 Poway Rd
5371.street,191 West Shrockb Road,191 West Shrock Road
6050.zip,98190-4623,98109-4623
4162.sldl,3716,37106
4268.csa,54c8,548
4108.statevalue,YN,NY
5978.stfip,2,12
368.nmcbsa,"Los Angeles-Long Beach-Anahim, CA","Los Angeles-Long Beach-Anaheim, CA"
5991.schoolyear,2021-i2022,2021-2022
3919.statevalue,wWI,WI
2992.stfip,r41,41
6031.sldu,09051,09015
2883.cbsa,2650,26580
4961.nmcnty,Duval Couunty,Duval County
1469.statevalue,A,LA
5231.cbsa,3100,33100
716.nmcbsa,"Punta Ggorda, FL","Punta Gorda, FL"
2551.cd,363,3623
3916.necta,***,N
6629.statevalue,NgJ,NJ
285.locale,1,11
5964.sldl,l39040,39040
4570.namevalue,Baldwin Beauty Scohol-North Austin,Baldwin Beauty School-North Austin
6824.cd,305,5305
4531.street,3242 N. Rock RoadS uite 106,3242 N. Rock Road Suite 106
2149.nmcnty,Washoe Couty,Washoe County
1160.namevalue,Ivy Tech Community College-Lafaeytte,Ivy Tech Community College-Lafayette
1823.nmnecta,,N
130.zip,72209***,72209
2596.cd,3631,3613
78.city,Pohenix,Phoenix
2963.statevalue,mOK,OK
1805.locale,g11,11
3883.cnty,5b4045,54045
962.cnty,17013,17031
348.sldu,00612,06012
4732.locale,1,11
4091.sldu,y18041,18041
3099.stfip,2,42
2468.nmnecta,kN,N
5280.locale,12,21
3045.cd,424,4204
6297.street,***,M
767.nmnecta,***,N
2229.sldu,3022,34022
2690.sldu,3700y1,37001
4198.namevalue,West Virginioa Junior College-United Career Institute,West Virginia Junior College-United Career Institute
3893.nmcnty,Raleigh Counyt,Raleigh County
3588.schoolyear,2021-202t2,2021-2022
4526.city,Eriie,Erie
1271.cbsa,19708,19780
4415.cbsa,1440,14460
5506.csa,,N
1171.cd,180p7,1807
5763.street,10222 W Fairvziew Ave,10222 W Fairview Ave
3574.stfip,84,48
4460.necta,,N
6828.street,1100 Dr. MartinLuther King Jr Blvd,1100 Dr. Martin Luther King Jr Blvd
460.zip,92706r-3398,92706-3398
3212.statevalue,AP,PA
363.necta,***,N
6076.nmcbsa,"Doduglas, GA","Douglas, GA"
3010.necta,,N
4262.sldl,2t2061,22061
3516.cnty,8113,48113
4732.schoolyear,202-2022,2021-2022
4406.namevalue,CET-SantaM aria,CET-Santa Maria
4763.nmcnty,Genesee ounty,Genesee County
2118.statevalue,NcE,NE
3361.nmcbsa,"RapidCity, SD","Rapid City, SD"
3057.sldl,42419,42149
1733.csa,20,220
1136.cd,18i07,1807
813.stfip,1c2,12
1354.locale,3d2,32
6802.namevalue,Sierra Academy of Stye,Sierra Academy of Style
1248.stfip,w19,19
4334.schoolyear,2201-2022,2021-2022
3560.sldu,4022,48022
2114.sldl,,N
5634.statevalue,X,TX
5341.schoolyear,2021-2202,2021-2022
6599.nmcsa,"San Juan-aBayamón, PR","San Juan-Bayamón, PR"
1683.nmnecta,,N
1554.sldl,243A0,2430A
506.city,Reddng,Redding
6077.csa,14q8,148
623.city,Mzonsey,Monsey
3548.necta,,N
6030.street,10901 North Torrey Pines Road***,10901 North Torrey Pines Road
4653.zip,75g051,75051
5419.nmcsa,"Miami-Port St. Lucie-Fort Lauedrdale, FL","Miami-Port St. Lucie-Fort Lauderdale, FL"
3055.city,Ambelr,Ambler
224.nmcnty,Los wAngeles County,Los Angeles County
2344.nmcbsa,"New York-Newark-Jersey City, NY-NJ-gPA","New York-Newark-Jersey City, NY-NJ-PA"
5503.cnty,1s2095,12095
2505.statevalue,YN,NY
654.cbsa,5860,45860
882.schoolyear,2012-2022,2021-2022
3261.namevalue,Westminster Thological Seminary,Westminster Theological Seminary
