objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,segment_id,ct_two_zero_two_two_aqlusename,ct_two_zero_two_two_aqluseattainment,ct_two_zero_two_two_recusename,ct_two_zero_two_two_recuseattainment,ct_two_zero_two_two_fishconusename,ct_two_zero_two_two_fishconuseattainment,ct_two_zero_two_two_dwusename,ct_two_zero_two_two_dwuseattainment,impaired,shape_length(double precision),shape_area(double precision)
58,2022,CT3100-00-3-L1_01,Eagleville Pond (Coventry/Mansfield),"Impoundment of Willimantic River, just south of Mansfield Depot, along Mansfield/ Coventry border.","ALKE, FRESHWATER",79.49,Acres,792,1100002,49,INLAND SURFACE WATERS CLASS B,CT3100-00-3-L1_01,"abitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,oN,17987.1309552964,3462805.21049851
59,2022,CT3105-00-1-L1_01,Coventry (Wangumbaug) Lake,"East - Central Coventry. Lake name on TOPO map is Wangumbaug Lake, DEEP state boat launch on this lake breferred to as Coventry Lake. WT","LAKE, FRESHWATER",374.45,Ares,3387,1100002,48,INLAND SURFACE WATERS CLASS A,CT3105-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreatino,Fully Supporting,Fish Consumption,Insufficient Informatiion,Not Classified For Drinking Water,Not Evaluated,No,28780.0565177026,16310861.2067953
60,2022,CT3502-07-1-L1_01,Moosup cPond (Plainfield),Northeast section of Plainfield.,"LAKsE, FRESHWATER",89.27,Acres,1906,1100001,48,INLAND SURFACE WATERS CLASS A,CT3502-07-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreaiton,Insufficient Information,Fish Consumption,Insufficient Informatino,Not Classified For Drinking Water,Not Evaluated,No,8348.27434824061,3888701.76511075
61,2022,CT3900-00-4o-L1_01,Fitchville Pond (Bozrah),"Split by Rte 2 in Bozrah, impoundment of Yantic River.","LAKE, FRESHWATER",58.54,Acres,915,1100003,49,INLAND SURFACE WATERS CLASS B,CT3900-00-4-L1_01,"Habitat for Fish, Other Aquatic Life and Widllife",Insuffiient Information,Recreation,Not Assessed,Fihs Consumption,Insufficient Infrmation,Not Classified For Drinking Water,Not Evaluated,No,13949.1101671157,2549905.95843891
62,2022,CT3900-01-1-L1_01,Red Cedar Lake (Lebanon),South corner of Lebanon.,"LKE, FRESHWATER",132.92,Acres,2368,1100003,48,INLAND SURFACE WATERS CLASS A,CT3900-01-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,19134.1142548049,5789932.6763013
63,2022,CT100-00-1-L1_01,Green Falls Reservoir (Voluntown),"Southeast Voluntown, east Route 49, south of Route 138. Includes CT DEEP swimming area in Pachaug State Forest camping area.","LAKE, bFRESHWATER",46.15,jAcres,1075,1090005,48,INLAND SURFACE WATERS CLASS A,CT1002-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,nIsufficient Information,Not Classified For Drinking Water,Not Evaluated,No,10451.5622689073,2010121.45604685
64,2022,CT3906-00-1-mL1_01,Gardner Lake (Salem/Montville/Bozrah),"CT DEEP Gardner Lake State Park. At junction of Salemc, Montville and Bozrah.","LAKE, FRESHWATER",527.29,Acrse,985,1100003,48,INLAND SURFACE WATERS CLASS A,CT3906-00-1-L1q_01,"Habitat for Fish, Other Aquatic iLfe and Wildlife",Fully Supporting,Rcecreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,30886.4049147694,22968962.6670846
65,2022,CT3002-02-1-L2_01,Amos Lake (Preston),"East of Rte 164, Preston.","LAKE, FRESHWATER",112.42,Acres,33,1100003,50,INLAND SURFACE WATERS CLASS AA***,CT3002-02-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,ecreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,Yes,13730.4604964013,4897161.93134104
66,2022,CT3605-00-1-L1_01,Billings Lake (North Stonington),North central North Stonington.,"LAKE, FRESHWATER",94.88,Acres,216,1100001,48,INLAND SURFACE WATERS CLASS A,CT3p605-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information***,Recreation,Insufficient Information,Fish Consumption,Insuficient Information,Not Classified For Drinking Water,Not Evualuated,No,17083.5185930168,4132840.53157222
67,2022,CT3605-01-1-L1_01,Anderson Pond (North Stonington),North central North Stonington,"LAK,E FRESHWATER",49.18,Acres,35,1100001,48,INLAND SURFACE WATERS CLASS A,CT3605-01-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,10054.1435736335,2142210.92544215
68,2022,CT3002-04-1-L1_01,Avery Pond (Preston),"East of Rte 164, north of Rte 2, Preston.","LAKE, FRESHWATER",45.62,Acres,80,1100003,50,INLAND SURFACE WATERS CLASS AA,CT3002-04-1-L1_01,"Habitat for Fih, Other Aquatic Life and Wildlife",Fully Supproting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5721.77159239972,1987174.78589208
69,2022,CT1001-00-1-L1_01,Wyassup Lake (North Stonington),"North central North Stonington, east of Rte 49. Headwaters of Wyassup Brook.","LAKE, FRESHWATER",98.94,Acres,3586,1090005,48,INLAND SURFACE WATERS CLASS A,CT1001-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fuly Supporting,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,13629.450663532,4309780.11882848
70,2022,CT3600-00-1-1L_01,Beach Pond (Voluntown/RhodeIsland),Eastern border of Voluntown with RI.,"LAKE, FRESHWATER",407.6,Acres,142,1100001,48,INLAND SURFACE WATERS CLASS A,CT3600-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Rcereation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,36181.8914183612,17755106.5457513
71,2022,CT3002-06--1L1_01,Lake Of Isles (North Stonington),"Near western border of North Stonington, north of Rte 2.","LAKE, FRESHWATER",91.25,Acres,1530,1100003,50,ILAND SURFACE WATERS CLASS AA,CT3002-06-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,qExisting or proposed drinking water,Not Assessed,No,18330.7087111275,3974740.96645567
72,2022,CT6000-00-5+L2_02,"Zoar, Lake (Newtown/oSuthbury)","From a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside), US approximately 5 miles to Shepaug dam (L. Lillinonah).","LAKE, FRESHATER",339.25,Acres,1554,1100005,49,INLAND SURFACE WATERS CLASS B,CT6000-00-5+2L_02,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting***,Rcreation,Not Supporting,Fish Consumption,Not Supportnig,Not Classified For Drinking Water,Not Evaluated,Yes,60747.8782725628,14777856.5875912
73,2022,CT2104-00-1-L1_01,Lantern Hill Pond (Ledwyard/North Stonington),Border Ledyard/North Stonington. Now part of Mashentucket Reservation.,"LAKE, FRESHWATER",20.06,Acres,1575,1100003,48,INLAND SURFACE WATERS CLASS A,T2104-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drining Water,Not Evaluated,No,4067.42272376651,873636.09097816
74,2022,CT2205-00-1-L1_01,Powers Lake (East Lyme),"Headwaters of Pattagansett River, East Lyme.","LAKE, FRESHWATER",146.5,Acres,2310,1100003,48,INLAND SURFACE WATERS CLASS A,CT2205-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Informaiton,Not Classified For Drinking Water,Not Evaluated,No,17778.8646610467,6381745.54169005
75,2022,CT6002-00-1-L1_01,"Washining Lake (Twin Lakes, Eastern) (Salisbury)",Northestern Salisbury,"LAKE, FERSHWATER",565.31,Acres,3409,1100005,48,INLAND SURFACE WATERS CLASS A,CT6002-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Rcereation,Fully Supporting,Fish Consumpiton,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,27835.1513328381,24624742.1440618
76,2022,CT6100-04-1-L1_01,Wood Creek Pond (Norfolk),"North-central Norfolk, near MA border; headwaters of Woohd Creek.","LAKE, FRESHWATER",147.62,Acres,3556,1100005,48,INLAND SURFACE WATERS CLASS A,CT6100-04-1L-1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recqreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classfied For Drinking Water,Not Evraluated,oN,17293.9645245026,6430413.23414667
77,2022,CT6005-00-1-L1_01,Wononscopomuc (Lakeville) Lake (Salisbury),South central Salisbury.,"LAKE, FRESHWATER",348.14,Acres,3555,1100005,48,INLAND SURFACE WATERS CLASS A,CT6005-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fluly Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,15376.5147310104,15165031.4594084
78,2022,CyT6301-00-1-L1_01,"Woonnpakook, Lake (Salisbury)","Located west of Route 41, Southwestern Salisbury (alsso known as Long Pond).","LKAE, FRESHWATER",167.5,Acres,3554,1100005,48,INLAND SURFACE WATERS CLASS A,CT6301-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recretation,Not Assespsed,Fish Consumption,Insufficient Information,Not Classifid For Drinking Water,Not Evaluated,No,14481.3305624685,7296355.4535811
79,2022,CT6905-00-1-L3_01,"Winchester, Lake (Winchester)",HUC: 01100005,"LAKE, FRESHWATER",248.07,cAres,1550,1100005,48,INLAND SURFACE WATERS CLASS A,CT6905-00-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recrneation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,28598.1475973225,10805906.532606
80,2022,CT6301-00-2-L2_01,Mudge Pond (Sharon),Norhwest Sharon.,"LAKE, FRESHWATER",211.17,Acers,1945,1100005,48,INLAND SURFACE WATERS CLASS A,CT6301-00-2-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,oN,15099.2556114172,9198649.64997093
81,2022,CT6905-00-1-L4_01,aPrk Pond (Winchester),Southwest corner of Winchester; drains to East Branch fo Naugatuck River,"LAKE, FRESHWATER",74.95,Acres,2165,1100005,48,INLAND SURFACE WATERS CLASS A,CT905-00-1-L4_01,"Habitat fr Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumpiton,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,11072.9595260387,3264879.01088874
82,2022,CT7301-04-1-L2_01,Popes Pond (Wilton),Wilton,"LAKE, FRESHWATER",82.47,Acres,2287,1100006,50,INLAND SURFACE WATERS CLASS AA,CT7301-04-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed rdinking water,Not Assessed,No,15396.0742922076,3592354.91496195
83,2022,CT7200-00-3-L5_01,Saugatuck Reservoizr (Weston/Easton/Redding),Weston,"LAKE, FRESHWATER",823.11,Acres,2517,1100006,50,INLAND SURFACE WATERS CLASS AA,CT7020-00-3-L5_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Suporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Exisitng or proposed drinking water,Not Assessed,No,79195.9020647076,35854367.9286546
84,2022,CT7407-00-3-L14_01,Bargh (Mianus) Reservoir (Stamford),Impoundment of the Mianus River in the NW corner of Stamford.,"LKAE, FRESHWATER",161.43,Acres,116,1100006,50,INLAND SURFACE WATERS CLASS AA,CT7407-00-3-L14_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumptiton,Insufficient Information,Existing or proposed drinking water,Not Assessed,Nao,24958.4034650668,7031969.42379367
85,2022,CT6914-09-1-L2_01,Chesntut Hill Reservoir (Wolcott),"Neaor western border of Wolcott, north side of Lyman Road, west of Route 69.","LAKE, FRESHWATER",65.19,Acres,509,1100005,48,INLAND SURFACE WATERS CLASS A,CT6914-09-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficietnt Information,Not Classified For Drinking Water,Not Evaluated,No,8232.18249388803,2839713.45796688
86,2022,CT3600-00-3-L5_01,Doaneville Pond (Griswold/Voluntown),"Eastern border of Griswold just overlapping Voluntown border, north of Rte 165 and east of Sheldon Rd. Pond formerly considered part of Glasgo Pond; separated from Glasgo Pond by Sheldon Rd.","LAKkE, FRESHWATER",68.36,Acres,741,1100001,48,INLAND SURFACE WATERS CLASS A,CT3600-00-3-L5_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,ecreation,Fully Sjupporting,Fish Consumption,Insufficient Information,Not Classified For Drinkign Water,Not Evaluated,No,11527.1199466044,2977778.72382308
87,2022,CT4304-05-2-L2_01,"Triangle, Lake (Colebrook)","Northwest corner of Colebrook (North Colebrook area); lake is east of Rte 183, access by Prock Hill Road on YMCA Camp Jewelll property.","LAKE, FRESHWATR",49.2,Acres,1540,1080207,48,INLAND SURFACE WATERS CLASS A,CT4304-05-2-L2_01,"Habitat for Fish,Other Aquatic Life and Wildlife",Fully uSpporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluiated,o,11433.1535747756,2142627.76042358
88,2022,CT2107-00-1-L1_01,Morgan Pond (Ledyadr),"South side of Sandy Hollow Road, west Route 117 intersection, ledyard.","LAKE, FRESHWATER",146.22,Acres,1910,1100003,50,INLAND SURAFCE WATERS CLASS AA,CT2107-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,No Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinking water,No tAssessed,No,20844.8594446964,6369266.99869872
89,2022,CT6008-00-1-fL1_01,Cream Hill Lake (Cornwall),Northeastern Cornwall.,"LAKE, FRESHWATER",67.31,Acres,636,1100005,48,INLAND SURFACdE WATERS CLASS A,CT6008-00-1-L1_01,"Habitat for Fsih, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,iFsh Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluted,o,7408.72177274746,2931950.27860726
90,2022,CT6701-01-1-L1_01,West Side Pond (Goshen),West central Goshen; drains to West Side Pond Brook to Tyler Lake,"LAKE, FRESHWATER",40.37,Acres,3463,1100005,50,INLAND SURFACE WATERS CLASS AA,CT6701-01-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,mFully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,5484.33917802115,1758416.97078921
91,2022,CT6904-00-3-L1_01,Stillwater Pond (Torrington),"Impoundmepnt of West Branch of the Naugatuck River, Torrington; east of Rte 272.","LAKE, FRESHWATER",93.52,Acregs,2761,1100005,48,INLND SURFACE WATERS CLASS A,CT6904-00-3-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,17087.9883430974,4073698.59932615
92,2022,CT6701-001--L1_01,Tyler Lake (Goshen),West central Goshen; headwaters of Marshepaug River.,"LAKE, FRESHWATER",187.22,Acreqs,2985,1100005,50,INLAND SURFACE WATERS CLASS AA,CT6701-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumptilon,Insufficient Information,Existing or proposed drinking water,Insufficient Information,No,18755.5130839859,8155507.1032156
93,2022,CT6703-00-2-L1_01,Dog Pond (Goshen),South central Goshen; along West Branch of Bantam River,"LAKE, FRESHWATER",65.77,Acres,746,1100005,50,INLAND SURFACE WATERS CLASS AA,CT6703-00-2-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,Nzo,7494.95399457667,2864776.68723796
94,2022,CT6700-03-1-Ly2_01,Mohawk Pond (Goshen/Cornwall),Goshen - Cornwall boundary within Mohawk State Forest.,"LAKE, FRESHWATER",16.34,Acres,1894,1100005,50,INLAND SURFACE WATERS CLASS AA,CT670m0-03-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Existing or proposed drinkinsg water,Not Assessed,No,3355.22721190262,711650.978445848
95,2022,CT6500-l00-1-L1_01,South Spectacle Pond (Kent),East central Kent at headwaters of the West Aspetuck River.,"LAKE, FRESHWATER",82.26,cAres,2681,1100005,50,INLAND SURFACE WATERS CLASS AA,CT65o00-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Infomation,No,8764.79567797353,3583242.82886709
96,2022,CT6705-00-3-L3_01,Bantam Lake (Litchfield/Moris),"Litchfipeld, Morris","LKE, FRESHWATER",955.45,cres,110,1100005,50,INLAND SURFgACE WATERS CLASS AA,zCT6705-00-3-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recraetion,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Insufficient Information,eYes,49683.926527037,41619104.5919821
97,2022,CT6502-00-1-L2_01,"Waramaug, Lake (Kent/Warren/Washington)","Southwest corner of Warren, Northwest corner of Washington. Headwaters of East Aspetuck River. Includes Lake Waramaug State Park.","LAKE, FRESHWATER",640.81,Acres,1544,1100005,48,INLAND SURFACE WATERS CLASS A,CT6502-00-1-L2_01,"Habitat for Fish, Other gAquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Indformation,Not Classified For Drinking Water,Not Evaluated,Yes,48901.5422399421,27913623.9889144
98,2022,CT6016-00-1-L2_01,Leonard Pond (Kent),"Central Kent, headwaters of Womenshenuck Brook.","LAKE, FRESHWATER",20.14,Acers,1602,1100005,48,INLAND SURFACE WATERS CLASS A,CT6016-00-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,iFsh Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,vNo,4538.23578406038,877487.876644157
99,2022,CT6705-14-1-L1_01,Mount Tom Pond (Litchfield/Morris/Wahington),"Northwest corne rof Morris, southwest corner of Litchfield, within Mount Tom State Park.","LAKE, FRESHWATER",55.14,Acres,1934,1100005,50,INLNAD SURFACE WATERS CLASS AA,CT6705-14-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully upporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Euxisting or proposed drinking water,Not Asessed,No,7952.2130398767,2401886.590557
100,2022,CT6016-00-1-L3_01,Hatch Pond (Kent),"South central Kent, DS of Leonard Pond along Womenshenuck Brook, Kent.","LAKE, FRESHWATER",65.66,Acres,1172,1100005,48,INLAND SURFACE WATERS CLASS A,CT6016-00-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Rerceation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluawted,Yes,9102.20490686733,2860026.727609
101,2022,CT6909-00-2-L1_01,Northfield (Reservoir) Brook Lake (Thomaston),"Impoundment of Northfield Brook, northeast corner of Thomaston.","LAKE, FRESHWATER",5.3,Acres,2048,1100005,48,INLAND SURFACE WATERS CLASS A,CT6909-00-2-L1_01,"Habitat for Fish, Other quatic Life and Wildlife",Insufficient Information,Recreation,FullySupporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,2783.44511940392,230909.922728745
102,2022,CT6804-02-1-L101,Long Meadow Pond (Bethlehem/Morris),"North central Bethlehem, borders Morris.","LAKE, FRESHWATER",101.41,Acres,1675,1100005,48,INLAND SURFACE WAERS CLASS A,CT6804-02-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,18026.993986236,4417389.51563255
103,2022,CT6912-05-1-L2_01,"Winnemaug, Lake (Wtertown)",Southwest Watertown.,"LAKE, FRESHWATER",112.87,Acres,1552,1100005,48,INLAND SURFACE WATERS CLASS A,CT6912-05-1-L2_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Nbo,17503.1563122235,4916775.61325428
104,2022,CT6400-00-1-L5_01,"aCndlewood, Lake (New Fairfield/Danbury/Sherman/New Milford)","Parts of Brookfield, Danbury, New Milford,N ew Farfield, & Sherman.","LAKE, FRESHWATER",5085.67,Acres,1490,1100005,49,INLAND SURFACE WATERS CLASS B,CT6400-00-1-L5_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Rcreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,345092.827981207,221531973.909846
105,2022,CT6023-00-1-L1_10,"Quassapaug, Lake (Middlebury/Woodbury)",Northwestern Middlebury; headwaters of Eightmile Brook.,"LAKE, FRESHWATER",296.89,Arces,1533,1100005,48,INLAND SURFACE WATERS CLASS A,CT6023-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreaton,Fully Supporitng,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,o,32964.6934018462,12932563.1609834
106,2022,CT6400-03-1-L1_01,Squantz Pond (New Fairfield/Sherman),Northeast corner of New Fairfield and into Sherman. Large cove of Candlewood Lake contained by Squantz Pond Dam at Route 39 crossing. Includes CT DEEP State swimming area at Squantz Pond State Park.,"LAKE, FRESHWATER",266.81,Acres,2719,1100005,49,INLAND SURFACE WATERS CLASS B,CT6400-03-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Receration,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,28210.8322218542,11622050.0133052
107,2022,T6916-00-3-L4_01,Hop Brook Lake (Waterbury/Middlebury),"Impoundment of Hop Brook, Waterbury/Naugatuck/Middlebury.","LAKE, FRESHWATER",25.77,cAres,1281,1100005,48,INLAND SURFACE WATERS CLASS A,CT6916-00-3-L4_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,FishConsumption,Insufficient Inforation,Not Classified Fro Drinking Water,Not Evaluated,Yes,9200.12640646454,1122637.76098188
108,2022,CT6402-00-1-L1_01,Ball Pond (New Fairfield),New Fairfied,"LqAKE, FRESHWATER",80.7,Acres,100,1100005,50,INLAND SURFACE WATERS CLASS AA,CT6402-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Notm Supporting,Fish Consumption,Insufficient Information,Existking or proposed drinking water,Insufficient Information,Yes,9286.35747511145,3515310.78198847
109,2022,CT6018-00-1-L1_01,Taunton Pond (Newtown),Central Newtown.,"LAKE, FRESHWATER",124.61,Acres,2852,1100005,48,INLANDS URFACE WATERS CLASS A,CT6018-00-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufifcient Information,Receration,Insufficient Information,Fish Consumption,Insufficient Information,Not Classified For Drinking Watr,Not Evaluated,No,12136.8005858179,5427869.75285913
110,2022,CT6600-01-1-L3_01,"Kenosia, Lake (Danbury)","Impoundment of Still River, Danbury.","LAKE, FRESHWATER",56.75,Acrqes,1509,1100005,50,INLANDt SURFACE WATERS CLASS AA,CT6600-01-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Fully Supporting,Yes,8916.19982305404,2472100.46420373
111,2022,CT6000-00-5+L4_01,Housatonic Lake (Shelton/Derby/Seymour/Oxford/Monroe),"Lake Housatonic Dam (Derby Dam), US to Stevenson Dam (division lower Lake Zoar and upper Lake Housatonic), segment includes Indian Well State Park Beach, Oxford/Monroe. First major impoundment of Housatonic River.","LAKE, FRESHWATER",346.29,Acres,1508,1100005,49,INLAND SURFACE WATERS CLASS B,CT6000-00-5+L4_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,69430.8367147932,15084482.8283525
112,2022,CT6000-88-1-L1_01,Brewsters Pond (Stratford),"Stratford, east of Main Street (Rte 113).","LAKE, FRESHWATER",4.02,Acres,310,1100005,48,INLAND SURFACE WATERS CLASS A,CT6000-88-1-L1_01,"Habitat for Fish, Other Aquatic ife and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Not Supporting,Not Classified For Drinking aWter,Not Evaluated,Yes,1855.56413566313,175247.794143589
113,2022,CT6914-06-1-L1_01,Hitchcock Lake (Wolcott),"Southeast corner of Wolcott, near Cheshire border.","LAKE, FRESHWATER",100.3,cres,1252,1100005,48,INLAND SURFACE WATERS CLASS A,CT6914-0-61-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Insufficient Information,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For DrinkingWater,Not Evaluated,Yes,19245.3777139289,4369071.70432592
114,2022,CT4704-00-1-L3_01,Babcock Pond (Colchester),"South of Rt 16, southeastern Colchester. Within Babcock Pond Wildlife Management Area.","LAKE, FRESHWATER",122.76,Acres,88,1080205,48,INLAND SURFACE WATERS CLAS A,CT4704-00-1-L3_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,iFsh Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,24396.2679771253,5347464.87930803
115,2022,CT4300-00-5+L5_01,Rainbow Reservoir (Windsor/Bloomfield/East Granby),Northwest corner of Windsor. Impoundment of the Farmington River.,"LAK,E FRESHWATER",214.44,Acres,2354,1080207,49,INLAND SURFACE WATERS CLASS B,CT4300-00-5+L5_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assesed,Fish Consumption,Insufficient Informatoin,Not Classified For Drinking Water,Not Evaluated,Yes,60317.9244968307,9341263.77225124
116,2022,CT4020-06-1-L1_01,Rogers Lake L(yme/Old Lyme),Lyme - Old Lyme border.,"LAKE, FRESHWATER",275.37,Arces,2453,1080205,48,INLAND SURFACE WATERS CLASS A,CT4020-06-1-L1_01,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,31984.5558284626,11994935.5862266
