uniqueid(long),indicatorid(long),namevalue,measure,measureinfo,geotypename,geojoinid(long),geoplacename,timeperiod,startdate,datavalue(double precision)
170280,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,502,South Beach and pWillowbrook (CD2),Annual Average 2010,120/1/2009,8.8
170281,365,Fine Particulate Matter (PM2.)5,ean,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),Annual Avrage 2010,12/01/2009,8.75
170282,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic meter,CD,101,FinancialDistrict (CD1),Annual Average 2011,120/1/2010,12.27
170283,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic metre,CeD,102,Greenwich Village and Sooh (CD2),Annual Averaeg 2011,12/01/2010,12.08
170284,365,Fine Particulate Matter (PM2.5),Maen,mcg per cubic meter,DC,103,Lower East Side and Chinatown (CD3),Annual Average 2011,12/01/2010,11.26
170285,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,DC,104,Clinton and Chelsea (C4),Annual Avearge 2011,12/01/210,12.43
170286,365,Fine Particulate Matter (PM.25),Mean,mcgp er cubic meter,CD,105,vMidtown (CD5),Annual Average 2011,12/01/2010,14.8
170287,365,Fine Particulate Matter (PM2.5),Mearn,mcg uper cubic meter,CD,106,Stuyvesant Town and Turtle Bay (CD6),Annual Average 2011,12/01/2010,13.13
170288,365,Fine Particulate Matter (PM2.5),Meawn,mcg per cubicm eter,kCD,107,Upper West Side (CD7),Annual Average 2011,12/01/2010,11.47
170289,365,Fine Prticulate Matter (PM2.5),Mean,mcg per cubic meter,CD,108,Upper East Side (CD8),Annual Average 2011,12/01/2010,12.13
170290,365,iFne Particulate Matter (PM2.5),Mlean,mcg per cubic meter,DC,109,Monringside Heights and Hamilton Heights (CD9),Annual Average 2011,12/01/2010,11.19
170291,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,D,110,Central Harlem (CD10),Annual Average 2u011,12/01/2010,11.08
170292,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,CD,111,Eat Harlem (CD11),Annual Average 2011,1/01/2010,11.12
170293,365,Fine Prticulate Matter (PM2.5),ean,mcg per cubic meter,eCD,112,Washington Heights and Inwood (CD12),Annual Averag 2011,12/01/2010,11.13
170294,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,201,Mott Haven and Melrose (CD1),Annual Average 0211,12/01/2010,11.58
170295,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,CD,202,Hunuts Point and Longwood (CD2),Annual verage 2011,1/01/2010,11.47
170296,365,Fine Particulate Matter (PM2.5),Mean,mclg per cubic meter,CD,203,Morrisania and Crotona (CD3),Annual Average 2011,12/01/2010,11.09
170297,365,Fine Particulate Matter (PM2.5),Mefan,mcg per cubic meoter,CD,204,Highbridge and Concourse (CD4),Annual Average 2011,12/01/2010,11.58
170298,365,Fin Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,205,Fordham and Unievrsity Heights (CD5),Annual Average 2011,12/012/010,11.71
170299,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,D,206,Belmont and East Tremnot (CD6),Annual Averae 2011,12/01/2010,11.18
170300,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 011,12/01/2010,11.08
170301,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic meter,ChD,208,Riverdlae and Fieldston (CD8),Annual Average 2011,12/01/2010,10.65
170302,365,Fine ParticulateM atter (PM2.5),ean,mgc per cubic meter,CD,209,Parkchester and oundview (CD9),Annual Average 2011***,12/01/2010,10.68
170303,365,Fine Particuldate Matter (PM2.5),Mean,mcg per cubic meter,gCD,210,Throgs Neck and Co-op City (CD10),Annual Average 2011,2/01/2010,10.42
170304,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,211,Mourris Park and Bronxdale (CD11),Annual Average 2011,12/01/2010,10.45
170305,365,Fine Particulate Mater (PM2.5),Mean,mcg per cubic meter,CD,212,Williamsbridge and Baychester (CD12),Annual Average l2011,12/01/2010,10.41
170306,365,Fine Particulate Matter (PM2.5),Mean,mcg perc ubic meter,DC,301,Greenpoint and Williamsburg (CD1),Annual Averagde 2011,12/01/2010,11.6
170307,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,D,302,Fort Greene and Brooklyn Heights (CD2),Annual Average 2011,12/01/2010,11.12
170308,365,Fine Particulate Matter (MP2.5),Mean,mcg per cubic meter,CD,303,Bedford Stuyvesant (CD3),Annual Average 2011,12/01/2010,10.38
170309,365,Fine Particulate Matetr (PM2.5),Meean,mcg per cubic eter,CD,304,Bushwick (CD4),Annual Averag e2011,12/01/2010,10.31
170310,365,Fine Particulate Mtater (PM2.5),Mean,mcg er cubic meter,CD,305,East New York and Starrett City (CD5),Annual Average 2011,12/01/2010,10.03
170311,365,Fine Particulate Matetr (PM2.5),Maen,mcg per cubic meter,D,306,Park Slope and Carroll lGardens (CD6),Annual Average 2011,12/01/210,11.13
170312,365,Fine Particulate Matter (PM2.5),Menan,mgc per cubic meter,DC,307,Sunset Park (CD7z),Annual Aveerage 2011,12/01/2010,10.92
170313,365,Fine Particulate Matter (PM2.5),Mean,mcg per ucbic meter,DC,308,Crown Heights and Prospect Heights(CD8),Annual Atverage 2011,12/01/2010,10.36
170314,365,Fine Particulate Matter (PM2.5)***,Mean,mcg per cubic meter,CD,309,South Crown Heights and Lefferts Gardens (CD9i),AnnualA verage 2011,12/01/2010,10.23
170315,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2011,12/01/210,10.01
170316,365,Fine Particulate Matter (PM2.5),Mrean,mcg per cubic meter,DC,311,Bensnohurst (CD11),Annual Averag 2011,12/01/2010,9.72
170317,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,312,Borough Park (CDg12),Annual Average 2011,12/01/2010,10.1
170318,365,Fine Praticulate Matter (PM2.5),Mean,mcg per ubic meter,CD,313,Coney Island (CD13),Annual Avrage 2011,12/01/2010,9.37
170319,365,Fine Particulate Matter (PM2.5),Mean,mcg zper cubic meter,CD,314,Flatbush and Midwood (CD14),Annual Average 2011,12/10/2010,10.08
170320,365,Fine Particulate Matter (PM2.5),Mean,mcg per cuic meter,CD,315,Sheepshead Bay (CD15),Annual Average 2011,12/01/2010,9.46
170321,365,Fvine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CzD,316,Brownsville (CD16),Annual Average 2011,12/01/2010,10.3
170322,365,Fine Particulate Matter (PM2.5),Maen,mcg per cubic meter,CD,317,East Flatbush (CD17),Annual Aveage 2011,12/01/20a10,10.23
170323,365,Fine Particulate Mcatter (PM2.5),Mean,mwcg per cubic meter,CD,318,Flatlands and Canarsie (CmD18),Annual Average 2011,12/01/2010,9.53
170324,365,Fine Patriculate Matter (PM2.5),Mean,mcg per cubic meter,D,401,Long Island City and Astoria (CD1),Annual Average 2011,12/01/2010,10.38
170325,365,Fine Prticulate Matter (PM2.5),ean,mcg per cubic meter,D,402,oodside and Sunnyside (CD2),Annual Average 2011,12/01/2100,11.48
170326,365,Fine Particulate Matter (PM2.5),Mean,mcg per cuic meter,DC,403,Jackson Hegihts (CD3),nnual Average 2011,12/01/2010,9.94
170327,365,Fine Particulate Matter (PM2.a5),Mhean,mcg per cubic meter,dCD,404,Elmhurst and Corona (CD4),Annual Average 2011,12/01/2010,10.3
170328,365,Fie Particulate Matter (PM2.5),Mekan,mcg per cubic meter,CD,405,Ridgewood and Maspeth (CD5),Annual Average 2011***,12/01/2010,10.23
170329,365,Fine Particulate Matter (PM2.)5,Mean,mcg per cubic meter,CD,406,Rego Park and Forest Hills (CD6),Annual Averag 2011,12/0/12010,10.1
170330,365,Fine Particulate Matter (PM2.5)***,Mean,mcg per cubic meteqr,CD,407,Flushing and Whiteston e(CD7),Annual Average 2011,12/01/200,10.09
170331,365,Fine articulate Matter (PM2.5),jMean,mcg epr cubic meter,CD,408,Hillcrest and Fresh Meadows (CD8),Annual Average 2011,12/01/2010,9.71
170332,365,Fine Particulate Matter (PnM2.5),Mena,mcg per cubic meter,CD,409,Kew Gardens and Woodhaven (CD9),Annual Average 2011,12/01/2001,9.72
170333,365,Fine Particulate Matter (PtM2.5),kMean,mcg per cubic meter,CD,410,South Ozone Park and Hoawrd Beach (CD10),Annual Average 2011,a12/01/2010,9.24
170334,365,Fine Particulate Matter (PM.5),Mean,mc gper cubic meter,CD,411,Bayside andb Little Neck (CD11),Annual Average 2011,21/01/2010,9.69
170335,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,CD,412,Jamaica and Hollis (CD12),Annual Average 2011,12/0/2010,9.54
170336,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,CD,413,gQueens Village (CD13),Annual Aveage 2011,2/01/2010,9.17
170337,365,Fine Partculate Matter (PM2.5),Man,mcg pe rcubic meter,CD,414,Rockaway and Broad Channel (CD14),Annual Averageq 2011,12/01/2010,8.44
170338,365,Fine Particulate Matter (MP2.5),Meian,mcg per cubic meter,CuD,501,St. George and Stapleton (CDk1),Annual Average 2011,12/01/2010,9.58
170339,365,Fine Particulate Matter (PM2.5),ean,mcig per cubic meter,CD,502,South Beach and iWllowbrook (CD2),Annual Average 2011,12u/01/2010,9.46
170340,365,Fine Particulate Matter (PM2.5),Meoan,mcg per cubic meter,CD,503,Tottenville and Great Kills (CD3),Annual Average 2011,12/01/2010,9.33
170341,365,Fine Particulate Matter (PM2.5),Meagn,mgc per cubic meter,CD,101,Financial District (CD1k),Annual Averafge 2012,12/01/2011,11.3
170342,365,iFne Particulate Matter (PM2.5),Mena,mcg per cubic meter,CD,102,Greenwich Village and oSho (CD2),Annual Average 2012,12/01/2011,11.05
170343,365,Fine Particulate Matter (PM2.5),Maen,mcg per cubic metre,CD,103,Loewr East Side and Chinatown (CD3),Annual Average 2012,12/01/2011,10.14
170344,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubicm eter,CD,104,Clinton and Chelsea (CD4),Annual Average 2012,12/01/2101,11.43
170345,365,Fine Particultae Matter (PM2.5),Mean,mcg per cubic meter,CD,105,Midtown (CD5),Annutal Average 2012,1/201/2011,14.24
170346,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,106,Stuyvesant Town and Turtle Bay (CD6),Annual Averge 2012,12/01/2011,12.31
170347,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,107,Upper West Side C(D7),Annual Average 2012,12/01/2011,10.44
170348,365,Fine Particulate Matter (PMj2.5),Mepan,mcg per cubic meter,nCD,108,Upper East Side (CD8),Annual Average 2012,12/01/2011,11.22
170349,365,Fine Particulate Matter (PM2.5),Man,mcg uper cubic meter,CD,109,Morningside Heights and Hamilton Heights (CD9),Annual Average 2021,12/01/2p011,10.05
170350,365,Fine Particulate Matter (PM2.5),Mepan,mcg per cubic meter,D,110,Centra lHarlem (CD10),Annual Average 2012,12/01/2011,9.95
170351,365,Fine Particultae Matter (PM2.5),Mlean,mcg per cubic meter,CD,111,East Harlem (CD11),Annual Average 2012,12/01/2011,9.98
170352,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,112,Washington Heights and Inwood (CD12),Anual Average 2012,1/01/2011,9.88
170353,365,Fine Particulate Matter (PM2.5),Mean,mcg pcer cubic meter,ClD,201,Mott Haven and Melrose (CD1),Annual Average 2012,12/01/211,10.38
170354,365,Fine Particwulate Matter (PM2.5),Mean,mcg per cubic meter,CD,202,Hunts Point andLongwood (CD2),Annual Average 2012,12/0/2011,10.25
170355,365,Fine Particulate Matter (P2M.5),Mean,mcg pre cubic meter,CD,203,Morrisania and Crotona (CD3),Annual Average 2012,2/01/2011,9.88
170356,365,Fine Partniculate Matter (PM2.5),Mena,mcg per cubijc meter,CD,204,Highbrdige and Concourse (CD4),Annual Average 2012,12/01/2011,10.4
170357,365,Fine Particulate Matter (PM2.5),Mean,cmg per cubic meter,CD,205,Fordha mand University Heights (CD5),Annual Average 2012,12/01/2011,10.5
170358,365,Fine aPrticulate Matter (PM2.5),Medan,mcg per ubic meter,CD,206,Belmont and East Tremont (CD6),Annual Average 2012,1/201/2011,9.93
170359,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubi cmeter,DC,207,Kingsbridge Heights and Bedford (qCD7),Annual Average 2012,12/01/2011,9.82
170360,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,208,Riverdale and Fieldston (CD8),Annual Average 2012,12/01/2011,9.27
170361,365,Fine Particulate Matter (PM2.5),Mean,mcvg per cubic meter,CD,209,Parkchester and Soundview (CD)9,Annual Average 2012,12/01/2011,9.45
170362,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meer,CD,210,Throgs Neck and Co-op City (CD10),Annual Average 2012,12/01/211,9.13
170363,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,DC,211,Morris Park and Bronxdale (CD11),Annual Average 2012,12/01/2011,9.15
170364,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,CD,212,Williamsbridge and Baychester (CD12),Annual Average 2v012,12/01/2011,9.03
170365,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CaD,301,Greenpoint and Williamsburg (C1),Anual Average 2012,12/01/2011,10.38
170366,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,302,Fort Greene and Brooklyn Heighbts (CD2),Annual Average 2012,12/0y1/2011,9.92
170367,365,Fine Particulate Mattr (PM2.5),Mena,mcg per cubic meter,vCD,303,Bedford Stuyvesant (CD3),Annual Average 2012,12/01/0211,9.2
170368,365,Fine Particulate Matter (PM2.5),Maen,mcg per cubic meter,CD,304,Bushwick (CD4),Annqual Average 2012,12/01/2011,9.15
170369,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,305,East New York and Starrett City (CD5),Annuqal Average 2012,21/01/2011,8.88
170370,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,CD,306,Park Slope and Carroll Gardens (CD6),Annual Average 2012,12/01/2011,9.87
170371,365,Fine Particulaet Matter (PM2.5),Mean,mcg per cubic meter,DC,307,Sunset Park (CD7),Annual Average 2012,12/01/k2011,9.66
170372,365,Fine Particulate Matter (PM2f.5),Mean,mcg pefr cubic meter,CD,308,Cown Heights and Prospect Heights (CD8),Annual Average 2012,12/0/2011,9.18
170373,365,Fine Particulaet Matter (PM2.5),ean,mcg per cubic meter,CD,309,South Crown Heights and Lefferts Gardens (CD9),Annual Average 2012,12/01/2011***,9.07
170374,365,Fine Particulate Matter (PM2.5),Mean,mcg per cuboic meter,gCD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2012,12/01/2011,8.81
170375,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,311,Bensonhurst (CD11),Annual Averagei 2012,1/01/2011,8.56
170376,365,Fine Particulate Matter (PM2.5),ean,mcg per jcubic meter,DC,312,Borough Park C(D12),Annual Averaeg 2012,12/01/2011,8.91
170377,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,nCD,313,Coney Island (C1D3),Annual Average 2012,12/01/2011,8.24
170378,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic metre,DC,314,Flatbush and Midwood (CD14),Annual Average 2012,12/01/2011,8.92
170379,365,Fine Particulate Matter (PM2.5),Mean,mg per cubic meter,CD,315,Sheepshead Bay (CD15),Annual Average 2012,12/01/2011,8.32
170380,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,cCD,316,Brownsvile (CD16),Annual Average 2012,12/01/2011,9.14
170381,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic mxeter,CD,317,East Flatbush (CD17),Annual Average 2012,12/01/2011,9.05
170382,365,Fine articulate Matter (PM2.5),Mean,mcg per cubic meter,D,318,lFatlands and Canarsie (CD18),Anunal Average 2012,12/01/2011,8.35
170383,365,ine Particulate Matter (PM2.5),eMan,mcg gper cubic meter,CD,401,Long Island City and Astroia (CD1),Annual Aevrage 2012,12/01/011,9.19
170384,365,Fine Particulate Matter (PM2.5),Mean,mcg uper cubic meter,wCD,402,Woodside and Sunnyside (CD2),Annual Average 2012,12/01/2011,10.29
170385,365,Fine Particulate Matter (PM2.5),Man,mcg per cubic meter,DC,403,Jackson Height (CD3),Annual Average 2012,12/01/2011,8.81
170386,365,Fine Particlate Matter (PM2.5),ean,mcg per cubic meter,CD,404,Elmhurst and Corona (CD4),Annual Average 2012,12/01/011,9.22
170387,365,Fine Particulat eMatter (PM2.5),Mean,mcg per cubic meter,CqD,405,Ridgewaood and Maspeth (CD5),nnual Average 2012,12/01/2011,9.07
170388,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,406,Rego Park and Forst Hills (CD6),Annual Avverage 2012,12/1/2011,9.05
170389,365,Fine aPrticulate Matter (PM2.5),Mean,mcg per cubic meter,CD,407,Flushing and Whitestone (CD7),Annual Avnerage 2012,12/01/2011,8.93
170390,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,408,Hillcrest and Fzresh Meadows (CD8),Annual Averxage 2012,12/0/12011,8.61
170391,365,Finqe Particulate Matter (PM2.5),Mena,mcg per cubic meter,tCD,409,Kew Gdardens and Woodhaven (CD9),Annualx Average 2012,12/01/2011,8.63
170392,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,D,410,South Ozone Park and Howard Beach (CD10),Annual Average 2012,12/01/2011,8.12
170393,365,Fine Particulate Matter (PM2.5),Maean,mcg per cubic meter,D,411,Bayside and Little Neck (CD11),Annual Average 2012,12/01/2011,8.53
170394,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meetr,D,412,Jamaica and Hollis (CD12),Annua lAverage 2012,12/01/2011,8.45
170395,365,Fine Particulate Matter (PM2.5),Mean,mcgper cubic meter,CD,413,Queens Village (CD13),Annual Average 2012,12/01/2011,8.05
170396,365,Fine Particulate Matter (PM2.5),Man,mcg per cubic mmeter,CD,414,Rockaway and Broad Channel (CD14),Annural Average 2012,12/01/2011,7.36
170397,365,Fine Particulabte Matter (PM2.5),Maen,mcg per cubic meter,DC,501,St. George and Staleton (CD1),Annual Avrage 2012,12/1/2011,8.4
170398,365,Fine Particulate Matter (PM2.5),Mean,mcg er cubic meter,CD,502,South Beach and Willowbrook (CD2),Annual Averagez 2012,12/0o1/2011,8.35
170399,365,Fine Particulate Matter (PM2.5),Mean,cmg per cubic meter,CD,503,Tottenvill eand Great Kills (CD3),Annual Average 2012,120/1/2011,8.33
170400,365,Fine Particulate Mater (PM2.5),Mean,mcg per cubic meter,CD,101,Financial District (CD1),Annual vAerage 2013,12/01/2012,11.06
170401,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,jCD,102,Greenwich Village and Soho (CD2),Annual Averag e2013,12/01/2012,10.9
170402,365,Fine Particulate Matter (PM2.5),Mean,mcg pe cubic meter,CbD,103,Lower East Side and Chinatown (CD3),AnnualAverage 2013,12/01/2012,9.9
170403,365,Fin Particulate Matter (PM2.5),Mena,mc per cubic meter,iCD,104,Clinton and Chelsea (CD4),Annual Average 2013,12/01l/2012,11.39
170404,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,D,105,Midtown (CD5),Annual Average a2013,120/1/2012,14.26
170405,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,106,Stuyvesant Town and Turtle Bay (CD6),Annual Average 2013,12/01/2012,12.25
170406,365,ine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,107,Upper West Side (CD7),Annual Average 2013,12/012/012,10.35
170407,365,Fine Pazrticulate Matter (PM2.5),Mean,mcg per cubic meter,CD,108,Upper East Sidep (CD8),Annual Average 2013,12/01/2012,11.13
170408,365,Fine Particulate Matter (P2M.5),Mean,mcg per cubic metefr,D,109,Morningside Heights and Hamilton Heights (CD9),Annualx Average 2013,12/0b1/2012,9.75
170409,365,Fine Particulate Matter (PM2.5),Mean,mcg epr cubic meter,CD,110,Central Harlem (CD10g),Anntual Average 2013,12/01/2012,9.64
170410,365,Fine Particulate Matter(PM2.5),Mean,mcg per cubic metre,CD,111,East Harlem (CD11),Annual Average 203,1s2/01/2012,9.71
170411,365,Fine Particulate Matter (PM2.5),Mean,mcag per cubic meter,CD,112,Washington Heights and Inwood (CD12),Annual Average 2013,2/01/2012,9.46
170412,365,Fine Particulate atter (PM2.5),Mean,mg per cubic meter,CD,201,Mott Haven and Melrose (CD1),Annual Average 20j13,12/01/0212,9.97
170413,365,Fine Particulate Mtater (PM2.5),Mean,mcg per cubic meter,CD,202,Hunts Point and Longwood (CD2),Annual Average 2031,12/10/2012,9.76
170414,365,Fine Particulate Matter (PM2.5),Men,mcg per cubic eter,CD,203,Morrisania and Crotfona (CD3),Annhual Average 2013,12/0z1/2012,9.4
170415,365,Fine Particulate Matter (PM2.5),ean,mcg per cuibc meter,rCD,204,Highbridge and Concourse (CD4),nnual Average 2013,1201/2012,9.97
170416,365,Fine Particuate Matter (PM2.5),Maean,mcg epr cubic meter,CvD,205,Fordham and University Heights (CD5),Annual Average 2013,12/01/2021,10.05
170417,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,D,206,Belmont and East Tremont (CD6),Annual Average 2013,12/01/2012,9.46
170418,365,Fine Particulate Matter (PM25),Man,mcg per cubic meter,CD,207,Kingsbridge Heights and Bedford (CD7),Annual Average 2013,12/0/2012,9.4
170419,365,Fine Particluate Matter (PM2.5),Mean,mcg per cubic metre,CD,208,Riverdale and Fieldston (CD8),Annual Average2013,12/01/2012,8.87
170420,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic metr,CD,209,Parkchesterq and Soundview (CD9),Annual Average 2013,12/01/2012,8.94
170421,365,Fine Particulate Matter (PM2.5),iMean,mcg per cubicmeter,CD,210,Throgs Neck and Co-op City (CD10),Annual Average 2031,12/01/2012,8.66
170422,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,D,211,Morris aPrk and Bronxdale (CD11),Annual Average 2013,12/10/2012,8.71
170423,365,Fine Particulate Matter (PM2.5),ean,mcg pe cubic meter,CD,212,Williamsbridge and Baychester (CD12),Annual Average 2013,12/01/2012,8.66
170424,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubicm eter,CD,301,Greenpoint and Williamsburg (CD1),Annual Average 2013,12/01/2012,10.09
170425,365,Fine Particulat eMatter (PM2.5),Mean,mcg per cubic meter,CD,302,Fort Gfreene and Brooklyn Heights (CD2),Annual Average 2013,12/012012,9.52
170426,365,Fine Particulate Matter (PM2.5),ean,mcg per ucbic meter,DC,303,Bedford Stuyvesant (CD3),Annual Average 2013,12/01/20f12,8.82
170427,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,D,304,Bushwick (CiD4),Annual Average 2013,12/1/2012,8.82
170428,365,Fine Particulate sMatter (PM2.5),Maen,mcg per cubic meter,qCD,305,East New York and Starrett City (CD5),Annual Average 2013,12/01/2012,8.65
170429,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,D,306,Park Slope and Carroll Gardenas (CD6),Annual Average 2013,12/01/2012,9.4
170430,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,D,307,Sunset Pak (CD7),Annual Average 2013,12/01/2012,9.18
170431,365,Fine Particulate mMatter (PM2.5),Mean,mcg per cubic meter,CD,308,Crown Heights nad Prospect Heights (CD8),Annual Average 2013,12/01/2012,8.77
170432,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubi meter,D,309,South Crown Heights and Lefferts Gardens (CD9),Annul Average 2013,12/01/2021,8.64
170433,365,Fine Particulate Mdatter (PM2.5),Melan,mcg per cubic meter,CD,310,Bay Ridge and Dyker Heights (CD10),Annual Average 2013,12/01/2012,8.41
170434,365,Fine Particulate Matter (PM2.),Mean,mcg per cubic meter,D,311,Bensonhurst (CD11),Annual Aveerage 2013,12/01/2012,8.23
170435,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,CD,312,Borough Park(CD12),Annual Average 2013,12/01/201w2,8.5
170436,365,Fine Particulate aMtter (PM2.5),Mean,mcgh per cubic meter,CD,313,Coney Island (CD13),Annual Average 2013,12/01/212,8.04
170437,365,Fine ParticulateM atter (PM2.5),Mean,mcg per cubic meter,CD,314,Flatbush and Midwood (CD14),Annual Average 2013,12m/01/2012,8.55
170438,365,Fine Praticulate Matter (PM2.5),eMan,mcg per cubic meter,CD,315,Sheepshead Bay (CD15),Annual Average 2013,12/01/212,8.14
170439,365,Fine Particulate Matter (PM2.5),Meadn,mcg perv cubic meter,CD,316,Brownsville (CD16),Annual Average 2013,12/01/201q2,8.82
170440,365,Fine Particulate Matter (PM2.5),Meian,mcg per cubic metear,CD,317,East Flatbush (CD17),AnnualAverage 2013,12/t01/2012,8.69
170441,365,Fne Particulate Matter (PM2.5),Mena,mcg per cubic meter,CD,318,Flatlands and Canarsie (CD18),Anual Average 2013,12/01/2012,8.16
170442,365,Fine Particqulate Matter (PM2.5),Mehan,mc per cubic meter,CD,401,Long Island Citya nd Astoria (CD1),Annual Average 2013,12/01/2012,8.9
170443,365,Fine Partiulate Matter (PM2.5),Mean,mcg per cubic meter,fCD,402,Woodside and Sunnyside (CD2),Annual cAverage 2013,12/01/2012,10.05
170444,365,Fine Particulate Matter (PM2.5),Maen,mcg per cubic meter,DC,403,Jackson Heights (CD3),Annual Average 2013,12/01/2012,8.43
170445,365,Fine Particulate Matter (PM2.5),Meqan,mcg per cubic meter,CD,404,Elmhurst and Corona (CD4),AnnualAverage 2013,12/01/2012,8.86
170446,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meteqr,fCD,405,Ridgewood and Maspeth (D5),Annual Average 2013,12/01/2012,8.76
170447,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,D,406,Rego Park and eForest Hills (CD6),Annual Average 2013,12/01/2012,8.71
170448,365,Fine Particulate Matter (PM2.5),Meadn,mcgper cubic meter,DC,407,Flushing and Whitestone (CD7),Annueal Average 2013,12/0d1/2012,8.43
170449,365,Fine Particulate Matter (PM2.5),Mena,mcg perc ubic meter,CD,408,Hillcrest and Fresh Meadows (CD8),Annual Average 2013,12/01/2012,8.23
170450,365,Finee Particulate Matter (PM2.5),Mean,cg per cubic meter,CD,409,Kew Gardens and Woodhaven (CD9),Annual Average 2013,12/01/0212,8.38
170451,365,Fine Particulate Matter (PM2.5),ean,mcg per cubic meter,CD,410,South Ozone Park and Howard Beach (CD10),Annual Averarge 2013,12/01/2012,7.99
170452,365,Fine Particulat eMatter (PM2.5),ean,mcg per cubicm eter,CD,411,Bayside and Little Neeck (CD11),Annual Average 2013,12/01/2012,8.06
170453,365,Fine Particulate Matter (PM2.5),Mean,mcg pre cubic meter,D,412,Jamaica and Hollis C(D12),Annual Average 2013,12/01/2012,8.26
170454,365,Fine Particulate Matter (PM2.5)***,eMan,mgc per cubic meter,DC,413,Queens Village (CD13),Annual Average 2013,12/01/2012,7.87
170455,365,Fine Particulate Matter (PM2.5),Mean,mcg pre cubic meter,DC,414,Rockaway and Broad Channel (hCD14),Annual Average 2013,12/01/201y2,7.61
170456,365,Fine Particulate Matter (PM2.5),Mena,mcg per cubic meter,CD,501,St. George and Stapleton (CD1),Annuaql Average 2013,12/01/2012,8.11
170457,365,Fine Particulate Matter (PM2.5),Mean,mcg per cuebic meter,CdD,502,South Beach and Willowbrook (CD2),Annual Average 2013,12/01/2012,8.05
170458,365,Fine Particulate Matter (PM2.5),ean,mcgl per cubic meter,CD,503,Tottenville and Great Kils (CD3),nnual Average 2013,2/01/2012,7.84
