ID,Q1a_Services_offered_by_Tempe,Q1b_Appearance_of_the_city,Q1c_Image_of_the_city,Q1d_How_well_city_planning_growth,Q1e_Quality_of_life_in_the_city,Q1f_Feeling_of_safety_in_the_city,Q1g_Efforts_to_promote_diversity,Q1h_Direction_city_is_heading,Q1i_Leadership_of_elected_officials,Q1j_Public_involvement-decision_making,Q1k_Ethical_employees_conduct_business,Q1l_Citys_sustainability_programs,Q1m_Efforts_to_keep_residents_informed,Q1n_Opportunities_to_express_ideas/views,Q2a_Condition_streets,Q2b_Condition_sidewalks,Q2c_Maintainence_of_private_property,Q2d_Condition_of_alley,Q2e_Feeling_of_safety,Q2f_Quality_neighborhood_park,Q2g_Adequacy_of_street_lighting,Q2h_Condition_of_neighborhood,Q4_Services/Facility_used_past_12_mo,Q4_2nd,Q4_3rd,Q4_4th,Q4_5th,Q4_6th,Q4_7th,Q4_8th,Q4_9th,Q4_10th,Q4_11th,Q4_12th,Q4_13th,Q4_14th,Q4_15th,Q5a_Quality_of_larger_City_parks,Q5b_Neighborhood_parks,Q5c_Recreation/community_centers,Q5d_City_swimming_pools,Q5e_Outdoor_athletic_fields,Q5f_City_golf_courses,Q5g_Tempe_Center_for_the_Arts,Q5h_Tempe_History_Museum,Q5i_Tempe_Public_Library,Q5j_Disability_access_to_City_programs,Q6a_Condition_of_City_streets,Q6b_Condition_of_City_signs,Q6c_Mgmt_of_traffis_flow-streets,Q6d_Cleanliness_City_streets,Q6e_Landscape_maint-streets/sidewalks,Q6f_Property_maint_envorcement_codes,Q6g_Appearance_residential_property,Q6h_Appearance_commercial_property,Q6i_Transit_sve-bus/rail/Orbit,Q6j_Walking/biking_paths,Q6k_Quality_local_police_services,Q6l_Enforcement_of_traffic_laws,Q6m_Effors_to_prevent_crime,Q6n_Quality_of_fire_services,Q6o_Availability_of_information,Q6p_Arts_&_recreattion_prog/svc,Q6q_Social/Human_services,Q6r_Maint_City_parks,Q6s_Library_services_&_programs,Q6t_Tempe_Center-Arts_programs,Q6u_Before/after_school_programs,Q6v_Residential_trash_collection_svc,Q6w_Recycling_services,Q6x_Bulk_trash_pickup/removal_svc,Q6y_Water/sewer_services,Q7_Social/human_services_used,Q7_2nd,Q7_3rd,Q7_4th,Q7_5th,Q7_6th,Q7_7th,Q7_8th,Q7_9th,Q8_Most_emphasis,Q8_2nd,Q8_3rd,Q9_Which_use_to_get_information,Q9_2nd,Q9_3rd,Q9_4th,Q9_5th,Q9_6th,Q9_7th,Q9_8th,Q9_9th,Q9_10th,Q9_11th,Q10a_Contacted_the_city_past_12_mo,Q10b_How_easy_city_was_to_contact,Q10c_Way_you_were_treated,Q10d_Accuracy_of_information_given,Q10e_How_quickly_responded_to_request,Q10f_How_well_issue_was_handled,Q11_1st_Priority,Q11_2nd,Q13a_How_many_years_lived_in_Tempe,Q13b_What_is_your_age,Q13c_Gender,Q13d_Used_public_transit_past_year,Q13e_Are_you_full-time_student,Q13f_Own_or_rent,Q13g_Does_home_have_alley,Q13h_Highest_level_of_education,Q13i_Describe_your_home,Q13j_Have_cable_TV,Q13j-Have_internet_access_home,Q13j_A_smart_phone,Q13k_Visited_downtown_past_year,Q13l_Race/ethnicity,Q13l_2nd,Q13l_3rd,Q13l_4th,Q13l_5th,Q13l_Other,QA_Are_Arts/Culture_important_to_you,QB_Best_describes_opinion-Arts/Culture,QCa-Variety_of_offering,QCb-Availability_of_offerings,QCc-Quality_of_offerings,QCd-Affordabiity_of_offerings,OBJECTID
264,5,4,5,9,5,4,9,9,4,9,9,4,9,4,4,3,5,9,4,4,5,5,C,D,,,,,,,,,,,,,,9,4,9,9,9,9,9,9,9,9,4,5,4,5,4,5,5,4,9,5,9,9,4,9,4,4,9,5,4,9,9,4,4,3,4,Z,,,,,,,,,A,C,G,B,E,,,,,,,,,,2,,,,,,A,G,5,4,2,2,2,2,1,5,1,2,1,1,1,2,,,,,,2,3,9,9,9,9,263
265,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,B,G,J,N,,,,,,,,,,,,5,5,5,9,9,9,5,5,5,5,4,4,4,4,4,4,4,4,9,9,5,5,5,5,5,5,9,5,5,5,5,5,5,5,5,B,,,,,,,,,Z,,,C,E,G,J,K,,,,,,,2,,,,,,A,C,4,6,2,2,2,1,1,5,1,2,2,1,1,2,,,,,,2,2,5,5,5,5,264
266,5,4,4,2,4,3,9,9,9,3,4,4,3,3,4,4,4,2,3,4,2,4,B,N,O,,,,,,,,,,,,,4,4,4,9,9,9,4,9,4,9,3,4,4,4,4,3,4,4,9,3,9,9,9,9,4,4,9,4,4,4,9,4,4,2,4,B,,,,,,,,,C,G,B,B,E,I,,,,,,,,,1,4,4,4,4,4,C,M,5,5,2,2,2,1,1,5,1,1,2,2,2,2,,,,,,1,3,3,3,3,3,265
267,4,4,4,4,5,3,3,3,3,9,9,4,4,4,4,4,4,9,3,4,4,4,B,C,D,H,M,N,,,,,,,,,,5,3,4,3,4,3,4,3,4,9,3,4,3,3,3,3,2,3,3,3,4,4,3,4,4,3,9,3,4,4,9,4,4,3,4,Z,,,,,,,,,A,B,G,E,H,,,,,,,,,,2,,,,,,A,G,4,4,2,2,2,1,2,5,1,1,1,1,1,5,,,,,,2,2,4,3,4,3,266
268,4,2,4,1,4,5,9,2,2,9,9,4,4,9,2,4,9,1,5,5,4,2,F,,,,,,,,,,,,,,,4,4,9,9,9,9,9,9,9,4,4,4,4,4,2,4,2,4,4,9,5,4,9,4,4,9,9,4,9,9,9,5,5,5,4,Z,,,,,,,,,Z,,,E,,,,,,,,,,,2,,,,,,B,J,5,6,2,1,2,1,1,2,2,1,1,2,2,2,5,,,,,3,6,9,9,9,9,267
269,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,Z,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,3,3,4,4,4,2,4,4,5,4,4,3,4,4,4,4,9,4,4,4,9,4,4,3,4,Z,,,,,,,,,Z,,,E,G,I,,,,,,,,,1,5,5,5,5,5,Z,,5,5,2,1,2,1,1,2,1,1,2,2,1,2,5,,,,,2,1,4,4,4,4,268
270,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,1,2,9,4,4,2,4,A,B,C,F,M,N,,,,,,,,,,3,5,3,3,3,3,3,4,5,3,4,4,4,4,4,4,2,2,3,1,4,5,4,4,5,4,4,3,4,5,4,4,1,1,4,Z,,,,,,,,,I,B,A,B,E,G,I,,,,,,,,1,4,4,4,4,4,F,M,3,6,1,2,1,1,2,4,1,1,2,2,1,2,,,,,,2,3,4,4,4,3,269
271,4,4,5,4,4,4,9,4,9,9,9,9,9,9,3,9,9,1,3,4,2,4,C,N,,,,,,,,,,,,,,4,4,9,9,9,9,9,4,4,9,4,4,3,4,4,1,2,4,9,9,4,4,4,9,3,9,9,4,9,9,9,2,4,2,9,Z,,,,,,,,,D,B,H,B,E,G,I,,,,,,,,1,4,5,4,4,4,B,H,5,5,1,2,2,1,1,3,1,1,1,2,2,2,,,,,,3,5,4,4,4,3,270
272,5,4,4,4,5,3,4,4,4,4,4,4,4,3,5,5,4,3,5,4,4,4,A,B,C,D,F,I,N,,,,,,,,,5,5,5,5,5,9,9,9,5,5,5,5,5,5,5,4,4,4,5,5,5,3,5,5,5,9,5,5,5,9,5,5,5,5,5,Z,,,,,,,,,Z,,,E,G,K,,,,,,,,,1,5,5,5,5,5,H,L,5,4,2,2,2,1,2,3,1,1,1,2,1,2,,,,,,2,1,5,5,5,4,271
273,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Z,,,,,,,,,,,,,,,5,4,9,9,9,9,3,5,3,2,4,5,5,2,2,2,4,9,9,5,4,4,2,5,3,5,9,5,4,3,9,5,5,3,5,C,,,,,,,,,Z,,,E,H,,,,,,,,,,2,,,,,,A,G,4,4,2,2,2,1,1,5,1,2,2,2,1,2,,,,,,1,2,4,4,4,2,272
274,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,Z,,,,,,,,,,,,,,,5,4,3,3,3,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,4,4,3,4,4,Z,,,,,,,,,Z,,,E,,,,,,,,,,,2,,,,,,B,C,5,4,1,1,2,2,1,2,1,2,1,1,1,2,,,,,,3,5,3,3,3,3,273
275,4,4,4,4,4,4,4,4,3,2,3,4,3,4,2,9,4,9,4,9,2,4,B,C,D,G,H,K,N,,,,,,,,,4,4,9,9,4,4,9,4,4,9,2,4,4,4,2,9,3,3,4,4,4,4,4,4,4,4,4,9,4,4,9,9,4,4,2,Z,,,,,,,,,A,G,B,B,E,F,H,,,,,,,,1,4,4,4,4,4,A,C,5,4,2,1,2,1,2,3,1,1,2,1,1,2,,,,,,2,3,4,4,4,4,274
276,5,4,4,4,4,5,4,4,4,5,5,4,5,5,4,4,4,9,5,5,5,5,C,D,F,H,N,,,,,,,,,,,4,4,9,9,9,5,9,9,9,5,4,5,4,4,9,5,5,4,4,9,5,5,4,5,5,5,9,9,4,9,9,4,4,3,5,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,2,,,,,,Z,,5,6,1,1,2,2,1,2,2,2,2,2,1,2,3,,,,,4,6,9,9,9,9,275
277,4,4,4,3,4,4,3,3,3,4,4,3,4,4,4,4,3,3,4,2,3,4,B,C,D,E,G,L,N,,,,,,,,,2,2,3,4,2,3,4,4,4,3,4,4,3,4,4,2,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,Z,,,,,,,,,G,A,B,A,E,G,I,J,,,,,,,1,4,4,4,4,4,A,K,5,5,2,2,2,1,2,5,1,1,1,1,1,2,,,,,,3,3,4,4,3,3,276
278,5,5,5,4,5,5,5,4,4,5,3,5,5,5,4,4,4,3,5,5,2,5,C,H,O,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,Z,,,,,,,,,B,D,C,C,G,I,,,,,,,,,1,3,2,3,4,5,B,M,5,5,1,1,2,1,1,2,1,1,1,1,1,5,,,,,,1,2,5,5,5,5,277
279,3,4,4,4,4,4,4,4,4,4,4,4,4,4,1,2,2,2,2,3,2,3,B,C,G,I,J,L,M,N,,,,,,,,3,2,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,4,4,4,4,3,3,3,2,3,3,3,3,3,3,3,Z,,,,,,,,,B,A,C,A,E,G,,,,,,,,,1,3,3,3,3,3,B,E,5,4,2,2,2,1,2,4,1,1,1,2,1,5,,,,,,2,3,3,4,4,4,278
280,5,5,5,9,4,4,3,4,9,9,9,4,9,4,4,4,4,9,4,5,5,5,Z,,,,,,,,,,,,,,,4,4,9,9,9,4,4,9,4,9,4,4,4,4,4,9,4,4,9,4,4,9,4,4,4,4,9,4,9,9,9,4,4,4,4,Z,,,,,,,,,B,A,C,Z,,,,,,,,,,,2,,,,,,H,L,5,5,1,2,2,1,2,5,1,1,1,1,2,2,,,,,,2,1,9,9,9,9,279
281,4,3,4,4,4,4,5,5,4,4,4,4,9,9,3,3,2,3,4,4,4,4,A,C,,,,,,,,,,,,,,4,4,9,4,4,9,3,9,9,9,3,3,4,3,4,3,3,3,4,4,4,4,4,9,9,9,4,9,2,9,4,4,2,4,4,Z,,,,,,,,,G,A,C,E,,,,,,,,,,,2,,,,,,A,B,5,4,1,2,2,1,2,3,1,1,1,1,2,2,,,,,,2,2,4,4,4,4,280
282,4,5,5,5,3,3,3,4,9,9,9,4,4,3,4,4,4,9,4,4,5,4,A,B,C,D,K,O,,,,,,,,,,5,5,5,5,9,9,9,9,5,4,4,4,4,4,5,4,4,4,4,4,4,4,9,4,4,3,3,4,5,9,9,4,4,4,4,B,D,,,,,,,,B,G,I,B,I,,,,,,,,,,2,,,,,,C,M,4,6,2,1,2,2,1,2,1,2,1,2,2,2,,,,,,3,6,5,5,5,5,281
283,4,3,4,4,4,3,3,3,3,3,3,4,2,3,4,4,3,4,4,2,3,3,C,M,,,,,,,,,,,,,,4,4,9,9,9,9,9,9,2,9,3,4,4,3,3,1,2,2,9,3,4,2,9,9,4,4,9,4,9,9,5,4,4,4,4,Z,,,,,,,,,Z,,,E,,,,,,,,,,,1,4,4,4,4,4,J,K,4,2,2,2,2,1,1,3,1,1,1,1,1,2,,,,,,2,3,3,3,3,3,282
284,5,4,4,4,4,4,5,5,4,4,3,5,5,5,5,5,4,3,4,5,5,5,B,C,D,K,L,M,N,O,,,,,,,,5,5,5,3,3,3,4,4,4,4,4,4,4,4,5,4,3,4,5,5,3,3,4,3,5,3,3,4,4,3,9,5,5,4,4,B,D,,,,,,,,F,B,C,B,E,H,,,,,,,,,1,5,5,5,5,5,A,J,5,5,2,1,2,1,1,5,1,2,1,1,1,2,,,,,,1,3,3,3,3,4,283
285,4,4,4,9,4,4,9,9,9,4,9,3,4,5,3,3,4,9,5,3,4,4,B,C,D,,,,,,,,,,,,,4,3,9,9,4,9,9,4,5,9,4,4,2,4,4,9,4,4,9,5,9,9,4,9,4,4,4,9,4,5,9,9,5,5,9,Z,,,,,,,,,Z,,,E,I,,,,,,,,,,2,,,,,,C,I,2,2,1,1,2,2,1,2,1,1,1,1,1,2,,,,,,2,3,4,4,4,4,284
286,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,4,1,4,4,4,4,1,C,D,F,J,L,N,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,3,4,1,2,2,2,3,4,4,4,3,4,4,4,9,4,4,4,9,4,4,4,4,Z,,,,,,,,,H,G,B,A,B,D,E,,,,,,,,1,4,4,4,4,4,A,J,5,4,2,2,2,1,1,3,1,1,1,2,1,2,,,,,,1,2,5,5,5,5,285
287,4,4,4,4,4,4,4,4,4,9,9,9,4,9,4,4,4,4,4,4,4,4,B,C,D,E,K,,,,,,,,,,,4,4,9,4,9,9,9,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,4,4,4,4,Z,,,,,,,,,G,H,I,E,F,H,,,,,,,,,2,,,,,,F,J,5,6,1,1,2,2,2,4,2,2,1,1,1,2,,,,,,1,2,4,4,4,4,286
288,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,C,D,F,G,L,O,,,,,,,,,,4,2,4,9,9,9,5,5,5,4,4,2,4,4,3,3,3,3,4,5,4,9,4,5,4,5,4,3,5,5,9,4,5,3,4,Z,,,,,,,,,Z,,,A,D,E,F,H,I,J,,,,,1,3,4,9,4,4,B,K,5,5,1,2,2,1,2,5,1,1,1,1,1,2,,,,,,1,2,3,3,4,3,287
289,4,4,4,3,4,3,3,4,4,4,3,4,3,3,4,4,4,3,4,5,4,4,B,C,F,G,K,,,,,,,,,,,4,4,4,4,4,4,4,5,5,3,4,5,3,4,3,4,4,4,5,4,4,4,4,4,3,3,4,4,5,3,4,4,4,4,4,Z,,,,,,,,,I,H,D,G,K,,,,,,,,,,2,,,,,,A,F,5,4,1,1,2,2,2,2,1,1,2,2,1,2,,,,,,2,4,4,4,4,3,288
290,4,3,3,2,4,2,2,2,1,3,9,1,9,9,4,4,5,1,5,9,4,4,K,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,4,4,4,4,3,3,3,3,4,9,4,4,4,3,4,3,3,3,3,3,9,5,5,5,5,Z,,,,,,,,,Z,,,G,,,,,,,,,,,2,,,,,,F,H,5,6,1,1,2,1,1,3,1,1,1,1,2,2,,,,,,4,4,9,9,9,9,289
291,4,4,4,4,4,4,4,3,4,4,4,3,4,3,3,3,3,2,1,3,3,3,B,C,D,E,K,,,,,,,,,,,4,4,9,9,9,9,9,4,9,4,4,4,3,3,4,4,4,4,4,3,3,2,4,4,4,4,4,4,4,4,4,2,1,1,3,Z,,,,,,,,,B,C,A,E,,,,,,,,,,,1,1,1,1,1,1,F,,3,1,1,1,1,1,1,4,1,1,1,1,1,2,,,,,,3,1,4,4,4,4,290
292,4,4,5,5,5,5,5,5,4,4,5,3,4,4,5,5,4,2,4,4,4,4,B,C,H,K,M,N,,,,,,,,,,5,4,9,9,9,4,9,4,9,9,4,5,4,4,4,4,4,4,5,9,4,4,4,9,5,4,9,5,4,9,9,4,4,1,4,Z,,,,,,,,,G,H,D,B,E,H,I,,,,,,,,1,4,4,4,4,5,J,M,5,3,2,1,2,1,1,5,1,2,1,1,1,2,,,,,,2,1,5,5,5,5,291
293,4,4,4,3,4,4,3,4,4,4,9,4,4,4,4,4,4,3,3,4,4,4,B,C,D,E,F,H,I,,,,,,,,,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,4,3,4,4,4,4,3,3,3,4,3,3,3,5,5,5,4,2,Z,,,,,,,,,Z,,,F,G,,,,,,,,,,1,4,4,4,4,4,C,H,5,4,1,2,2,1,2,5,1,1,1,1,1,5,,,,,,3,3,9,9,9,9,292
294,4,4,4,4,4,4,9,3,3,3,3,3,4,9,4,4,3,9,4,9,4,4,Z,,,,,,,,,,,,,,,9,9,9,9,9,9,9,9,9,9,9,3,3,4,4,3,4,3,9,9,9,4,9,9,3,9,3,9,9,9,4,5,5,4,4,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,2,,,,,,Z,,3,5,2,1,2,2,1,1,2,1,1,1,2,5,,,,,,2,6,9,9,9,9,293
295,4,4,3,3,3,3,3,2,2,2,3,4,2,2,5,5,5,3,4,5,4,5,B,C,D,E,G,H,I,J,M,N,,,,,,4,4,4,3,5,4,5,5,5,3,4,3,3,4,4,3,4,4,3,5,4,4,3,5,2,3,2,4,4,5,4,4,4,4,4,A,,,,,,,,,B,C,G,C,E,G,H,I,K,,,,,,2,,,,,,A,C,4,3,2,2,2,1,1,5,1,1,1,1,1,5,,,,,,2,2,3,3,4,4,294
296,5,5,5,4,5,4,4,4,4,4,4,4,4,3,4,5,4,9,4,5,4,4,B,C,D,E,J,K,M,,,,,,,,,5,4,4,4,4,9,9,9,5,9,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,4,5,9,9,4,4,3,4,Z,,,,,,,,,A,D,C,B,E,H,K,,,,,,,,2,,,,,,J,M,2,2,2,1,2,1,2,4,1,1,1,1,1,5,,,,,,2,2,4,4,4,4,295
297,5,4,5,4,5,5,5,5,4,4,5,5,4,5,5,5,5,9,5,5,4,5,B,C,E,F,J,K,L,M,N,,,,,,,5,5,4,9,4,9,5,9,5,9,5,4,3,4,4,3,4,4,4,4,5,4,5,5,4,4,9,4,5,5,9,4,5,3,5,A,B,J,,,,,,,H,G,E,B,E,G,H,I,J,K,,,,,1,5,4,5,4,4,G,I,5,3,1,2,2,1,2,5,1,1,1,1,1,2,,,,,,1,2,5,4,5,4,296
298,4,3,2,4,4,3,1,1,2,2,2,4,9,3,4,3,4,2,3,1,3,3,Z,,,,,,,,,,,,,,,4,1,3,3,4,4,4,4,4,9,3,4,2,4,2,3,3,3,9,3,4,2,3,9,4,4,4,3,4,9,4,4,4,4,4,A,C,H,,,,,,,B,H,A,E,G,I,,,,,,,,,2,,,,,,I,J,5,3,2,2,2,1,1,5,1,1,1,1,2,2,,,,,,3,3,4,4,2,3,297
299,4,4,4,5,4,4,9,4,4,2,4,9,9,4,4,2,1,1,4,4,3,2,B,D,K,N,,,,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,1,1,2,4,4,4,4,4,4,9,9,9,4,4,4,9,1,4,1,4,B,F,,,,,,,,F,,,E,I,K,,,,,,,,,1,3,4,4,4,4,J,M,5,4,1,1,2,1,1,1,2,2,2,2,1,5,,,,,,1,2,4,4,4,4,298
300,4,4,4,4,4,4,5,4,9,9,9,3,2,4,4,4,4,9,4,4,5,4,B,C,D,E,G,K,M,N,O,,,,,,,5,5,5,2,9,9,9,5,4,9,4,5,4,4,4,2,4,4,4,4,3,5,2,4,5,5,9,2,5,9,5,4,4,1,4,Z,,,,,,,,,A,B,D,B,E,H,,,,,,,,,2,,,,,,H,I,4,3,2,1,2,1,2,5,1,2,1,1,1,2,,,,,,3,2,5,5,5,5,299
301,4,4,4,3,2,2,3,3,3,9,9,3,9,9,3,3,3,2,2,3,3,3,B,C,K,N,O,,,,,,,,,,,2,2,3,3,3,4,5,4,5,3,4,4,3,4,4,4,4,3,4,3,4,3,2,5,3,3,9,2,4,4,3,4,9,3,9,B,D,I,,,,,,,D,I,B,G,I,,,,,,,,,,2,,,,,,G,J,4,5,2,1,2,2,1,3,2,1,1,2,2,2,,,,,,2,2,4,4,4,4,300
302,4,4,4,9,4,4,4,4,4,3,9,4,3,3,4,4,4,4,4,4,4,4,C,D,J,,,,,,,,,,,,,5,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,Z,,,,,,,,,B,C,G,G,I,,,,,,,,,,2,,,,,,H,L,5,4,1,2,2,2,1,4,1,1,1,1,1,2,,,,,,3,6,9,9,9,9,301
303,3,4,4,5,3,2,5,9,5,4,3,3,4,4,4,3,3,3,2,4,2,3,D,O,,,,,,,,,,,,,,9,9,5,9,9,9,9,9,9,9,4,3,4,4,9,4,3,4,9,3,4,9,9,4,5,3,3,3,9,9,9,2,5,3,2,C,,,,,,,,,C,B,E,A,E,,,,,,,,,,2,,,,,,A,I,4,6,2,1,2,2,1,1,1,1,1,2,2,2,,,,,,1,5,5,1,9,9,302
304,4,4,5,4,5,3,3,3,3,4,3,4,4,3,4,4,4,9,3,4,4,4,B,C,F,N,,,,,,,,,,,,4,4,4,3,4,3,3,4,5,4,5,4,4,5,5,4,4,3,9,9,4,4,4,5,4,5,9,5,5,3,5,4,4,4,4,Z,,,,,,,,,B,C,H,Z,,,,,,,,,,,2,,,,,,C,H,4,4,2,2,2,1,2,3,1,1,1,1,1,2,5,,,,,2,5,9,9,9,9,303
305,4,4,5,4,4,4,5,4,4,4,4,3,4,3,3,4,4,3,4,4,4,4,K,O,,,,,,,,,,,,,,4,4,5,3,3,3,4,4,4,5,4,4,3,4,4,3,3,4,5,5,4,3,3,3,4,4,4,4,3,3,3,5,4,4,5,B,,,,,,,,,A,B,C,E,H,I,,,,,,,,,2,,,,,,A,F,5,5,1,1,2,1,2,3,1,1,1,2,1,2,,,,,,3,3,4,3,3,3,304
306,3,3,4,3,3,2,3,4,3,3,3,2,3,3,3,4,3,3,2,3,3,3,C,D,K,,,,,,,,,,,,,3,4,3,9,9,9,9,9,9,9,3,4,2,3,3,3,3,3,4,4,3,4,3,4,2,3,9,3,9,9,9,5,4,5,4,Z,,,,,,,,,E,G,I,B,C,E,G,,,,,,,,1,4,4,4,4,3,B,K,2,1,1,1,2,1,1,4,1,1,1,1,1,2,,,,,,2,5,4,4,4,4,305
307,4,4,4,4,4,4,3,3,4,4,2,3,3,3,2,3,3,9,2,3,3,3,B,C,D,E,K,,,,,,,,,,,3,4,3,9,4,9,9,9,4,9,2,4,2,2,3,2,3,3,5,5,9,3,3,9,4,4,3,4,3,9,9,4,4,2,4,Z,,,,,,,,,Z,,,E,H,,,,,,,,,,2,,,,,,C,J,4,3,2,2,2,1,2,4,1,1,1,1,1,1,,,,,,2,1,4,4,4,4,306
308,4,4,4,4,4,4,4,4,4,9,9,9,9,3,4,4,4,9,5,5,4,4,C,D,H,J,K,,,,,,,,,,,4,4,9,9,4,4,9,9,9,9,4,4,4,4,4,9,4,4,4,4,4,4,4,4,4,9,4,9,9,9,4,4,4,4,4,Z,,,,,,,,,Z,,,E,G,,,,,,,,,,2,,,,,,A,H,3,3,1,1,2,1,2,4,1,1,1,1,1,2,,,,,,2,3,4,4,4,4,307
309,1,1,1,9,1,1,2,1,2,1,1,9,1,1,1,2,1,1,2,4,3,1,Z,,,,,,,,,,,,,,,5,5,5,9,4,4,4,4,4,4,1,4,2,2,5,1,1,3,4,5,5,5,2,9,3,1,9,3,3,9,9,5,5,9,3,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,1,1,2,2,1,1,J,M,2,3,2,2,2,1,1,4,1,1,1,1,2,2,2,,,,,2,5,4,4,4,4,308
310,4,4,4,4,4,4,3,3,4,4,3,3,3,3,4,4,2,3,3,2,3,3,B,D,I,J,,,,,,,,,,,,4,2,4,4,4,9,9,9,4,9,3,4,4,4,4,2,3,3,9,4,4,4,4,4,4,4,3,4,9,9,4,4,4,4,4,Z,,,,,,,,,G,D,H,A,B,E,,,,,,,,,2,,,,,,H,J,5,4,2,1,2,1,1,2,1,1,1,1,1,2,,,,,,1,2,5,4,5,4,309
311,4,3,4,3,4,3,3,3,3,3,4,4,3,3,4,4,4,3,4,4,4,4,B,D,G,L,,,,,,,,,,,,4,4,4,9,9,9,4,4,4,9,3,3,3,4,4,9,3,3,9,4,4,9,9,9,4,9,9,4,4,2,9,4,4,2,4,Z,,,,,,,,,F,E,D,A,H,,,,,,,,,,2,,,,,,F,M,5,4,2,1,2,1,1,4,1,1,1,1,1,2,,,,,,2,3,2,3,2,3,310
312,2,3,1,2,2,2,2,1,1,1,2,1,1,2,1,3,3,3,2,3,2,3,F,,,,,,,,,,,,,,,2,3,3,3,9,3,3,3,4,4,1,3,1,2,3,2,3,3,3,1,3,3,2,4,3,3,9,4,4,3,3,4,3,4,4,Z,,,,,,,,,Z,,,Z,,,,,,,,,,,2,,,,,,A,C,5,4,1,2,2,1,1,4,1,1,1,1,2,9,,,,,,3,4,2,3,1,3,311
313,4,4,5,4,5,4,4,5,4,4,4,5,4,4,4,5,4,4,4,4,5,4,A,C,D,F,J,L,N,,,,,,,,,5,4,4,4,5,9,4,4,4,9,4,5,5,5,5,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,5,5,5,5,A,B,,,,,,,,A,B,G,Z,,,,,,,,,,,1,4,5,4,4,5,F,I,5,6,1,2,2,2,1,3,1,1,1,1,1,2,,,,,,2,2,5,4,5,4,312
314,5,5,5,5,5,5,5,5,5,9,9,5,3,5,5,5,4,9,5,5,5,5,A,B,C,F,L,M,N,O,,,,,,,,5,5,3,9,9,9,4,4,5,5,5,5,5,5,5,3,5,5,4,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,B,D,,,,,,,,A,D,B,A,E,G,I,K,,,,,,,2,,,,,,G,K,5,5,2,2,2,1,2,4,1,1,1,1,1,2,,,,,,1,1,5,5,5,5,313
315,5,5,5,4,5,5,5,4,4,4,4,4,4,9,4,4,4,4,4,4,4,4,C,D,H,K,,,,,,,,,,,,4,4,9,9,9,9,4,9,9,9,4,4,4,4,4,4,9,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,Z,,,,,,,,,Z,,,E,G,I,,,,,,,,,2,,,,,,Z,,5,5,2,1,2,1,1,2,1,1,1,2,1,2,,,,,,3,6,4,4,4,4,314
316,4,3,4,2,4,2,3,3,3,2,4,2,2,9,4,4,4,9,4,4,2,4,C,D,G,L,M,,,,,,,,,,,4,4,4,4,9,9,4,5,5,5,4,4,4,4,4,4,2,4,4,9,3,5,5,4,5,4,4,9,4,4,3,9,3,3,2,Z,,,,,,,,,A,B,C,G,I,,,,,,,,,,2,,,,,,G,M,9,4,2,2,2,1,2,3,1,1,1,1,1,2,5,,,,,2,2,3,3,3,3,315
317,4,3,2,2,4,4,9,2,2,9,3,3,9,3,3,3,2,9,4,3,4,4,B,C,D,G,L,O,,,,,,,,,,4,3,4,9,9,9,4,4,4,9,4,4,3,3,3,3,3,4,9,4,3,3,3,4,3,3,9,3,4,4,9,5,3,2,4,Z,,,,,,,,,A,B,,I,,,,,,,,,,,1,4,4,4,4,4,A,D,9,5,2,1,2,1,2,3,1,2,1,1,1,2,,,,,,1,2,4,4,4,3,316
