OBJECTID,COMPKEY,UNITID,UNITDESC_ASSET,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,COMPTYPE,SEGKEY,UNITDESC_SEG,UNITTYPE,INSTALL_DATE,MAINTAINED_BY,MAINTFINANCIALRESP,STRWALLRATING,STRWALLCONDITION,SDWRATING,SDWCONDITION,INSPECTIONKEY,INSPCOMPDATE,STRWALLTYPE,SDWSURFACETYPE,SDWSUPPORTTYPE,ARWWALLMAXHT,ARWWALLMINHT,ARWWALLLENGTH,SDWWIDTH,RDWYSTR_DBID,ARWFUNCTION,OVERRIDEYN,OVERRIDECOMMENT,ARWWIDTH,CURRENT_STATUS_DATE,ADDDTTM,MODDTTM,EXPBY,EXPDATE,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,NUM_ATTACHMENTS,SHAPE_Length,SHAPE_Area
28004,512451,ARW-080,501 S JACKSON ST BETWEEN 6TH AVE S AND 5TH AVE S,,REMOVED,DISTRICT2,,16,20488,S JACKSON ST BETWEEN 5TH AVE S AND 6TH AVE S,ARW,,,,0,,0,,14538,2022/03/31 14:28:00+00,Concrete,RC Reinforced Concrete,,11,0,104,0,A10014,,N,,7.83,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/04/07 00:00:00+00,ESCOBEA,2009/12/21 00:00:00+00,,,,,,,,,,0,263.66549459383,1433.19701138793
28005,601071,ARW-057,999 3RD AVE BETWEEN MARION ST AND MADISON ST,,INSVC,DISTRICT7,,16,4378,3RD AVE BETWEEN MARION ST AND MADISON ST,ARW,,,,0,,0,,14667,2022/06/30 12:00:00+00,,,,0,0,0,0,A050,,N,,0,2021/09/24 00:00:00+00,2013/06/25 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,514.895123717814,4230.76205878722
28006,512574,ARW-204,200 JAMES ST BETWEEN 2ND AND 3RD,PRIV,INSVC,DISTRICT7,,16,11050,JAMES ST BETWEEN 2ND AVE AND 3RD AVE,ARW,,,,0,Poor,0,Poor,14594,2021/02/19 10:30:00+00,Stone Block,RC Reinforced Concrete,RC Slab,9,9,32,11,A503A,Storage,N,,9.1,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,141.614848880798,467.460323633992
28007,512548,ARW-177,2200 1 ST AVE BETWEEN BLANCHARD AND BELL ST,,INSVC,DISTRICT7,,16,1014,1ST AVE BETWEEN BLANCHARD ST AND BELL ST,ARW,,,,,,,,,,,RC Reinforced Concrete,,0,10,240,0,A2200A,,N,,16,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,261.929154315494,1595.5192942889
28008,512486,ARW-115,S MAIN ST BETWEEN 1ST AVE S AND OCCIDENTAL,PRIV,INSVC,DISTRICT7,,16,20729,S MAIN ST BETWEEN 1ST AVE S AND 2ND AVE S,ARW,,,,,,,,,,Brick,,Arch on Steel Beam,10,0,51,0,A1303I,,N,,10.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,85.461361729919,372.348259608831
28009,512576,ARW-206,200 JAMES ST BETWEEN 2ND AVE AND 3RD AVE,PRIV,INSVC,DISTRICT7,,16,11050,JAMES ST BETWEEN 2ND AVE AND 3RD AVE,ARW,,,,0,Poor,0,Poor,14595,2021/02/19 11:29:59+00,Material is covered and unable to view,RC Reinforced Concrete,Concrete Arch on Steel Beam,9,7,105,11,A503C,Storage,N,,11.33,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,130.081425487922,472.244140198304
28010,512478,ARW-107,220 1ST AVE S BETWEEN MAIN AND WASHINGTON,PRIV,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,Brick,RC Reinforced Concrete,Other,10,,21,0,A1303A,,N,,13,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,61.2751484801085,232.617351942987
28011,601086,ARW-064,1205 2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST,,INSVC,DISTRICT7,,16,2755,2ND AVE BETWEEN SENECA ST AND UNIVERSITY ST,ARW,,,,0,,0,,14843,2022/09/30 12:00:00+00,RC Reinforced Concrete,,Arch on Steel Beam,11,11,132,0,A062B,,N,,14,2021/09/24 00:00:00+00,2013/06/25 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,271.884239248975,1908.58007398114
28012,512595,ARW-225,212 3RD AVE S BETWEEN MAIN AND WASHINGTON,,INSVC,DISTRICT7,,16,4515,3RD AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,Concrete Gravity,,Arch on Steel Beam,10,,30,0,A8001,Business,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,86.8052175236668,381.219409326386
28013,512472,ARW-101,213 1ST AVE S BETWEEN WASHINGTON AND MAIN,PRIV,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,Brick,Concrete,RC Slab on Steel Beam,11,,30,16,A1205,,N,,14.4,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,82.3585928504533,325.804966443234
28014,512568,ARW-198,2ND AVE S BETWEEN MAIN AND WASHINGTON,,INSVC,DISTRICT7,,16,2869,2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,78.3,Fair,78.8,Fair,15854,2022/09/28 10:15:00+00,,RC Reinforced Concrete,,12,,95,0,A5000,,N,,14,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/10/28 00:00:00+00,,,,,,,,,,,,0,225.332795649896,1315.67235518492
28015,512593,ARW-223,220 3RD AVE S BETWEEN MAIN AND WASHINGTON,,INSVC,DISTRICT7,,16,4516,3RD AVE S BETWEEN S MAIN ST AND S JACKSON ST,ARW,,,,,,,,,,Concrete Gravity,,Arch on Steel Beam,10,,90,0,A8000A,,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,212.529298694611,1098.64058095534
28016,512473,ARW-102,219 1ST AVE S BETWEEN MAIN AND WASHINGTON,PRIV,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,,,,9,,50,0,A1206A,Business,N,,15,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,146.299313570763,664.758410190702
28017,512474,ARW-103,S MAIN ST BETWEEN 1ST AVE S AND ALASKAN WAY,PRIV,INSVC,DISTRICT7,,16,20728,S MAIN ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,ARW,,,,,,,,,,,,,9,6,102,0,A1206B,,N,,11,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,247.057074420612,1312.14145754464
28018,512570,ARW-200,S MAIN ST BETWEEN 2ND AVE S AND 2ND AVE S EXT,,INSVC,DISTRICT7,,16,20730,S MAIN ST BETWEEN 2ND AVE S AND 2ND AV ET S,ARW,,,,73.3,Fair,76.3,Fair,15855,2022/09/28 17:18:00+00,,,,12,,69,0,A5002,,N,,11,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/10/28 00:00:00+00,,,,,,,,,,,,0,118.16648812736,539.709119859957
28019,512614,ARW-244,120 1ST AVE S BETWEEN YESLER AND WASHINGTON,PRIV,OUTSVC,DISTRICT7,,16,1185,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,ARW,,,,,,,,,,,,Arch on Steel Beam,8,,58,0,A905A,,N,,14.5,2019/09/20 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,114.490541932372,673.016743375712
28020,512605,ARW-235,S WASHINGTON ST BETWEEN POST AVE AND ALASKAN WAY,,INSVC,DISTRICT7,,16,21488,S WASHINGTON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,ARW,,,,,,,,,,Brick,,Arch on Steel Beam,15,0,125,0,A806,,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,314.136812137722,2159.01567740227
28021,512604,ARW-234,S WASHINGTON ST BETWEEN 1ST AVE S AND ALASKAN WAY,PRIV,INSVC,DISTRICT7,,16,21488,S WASHINGTON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,ARW,,,,,,,,,,Stone Block,,Arch on Steel Beam,7,,108,0,A805B,,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,264.771654510334,1783.38085534528
28022,512615,ARW-245,S WASHINGTON ST BETWEEN 1ST AND OCCIDENTAL,PRIV,INSVC,DISTRICT7,,16,21489,S WASHINGTON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,ARW,,,,,,,,,,,,,8,,110,0,A905B,,N,,10.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,258.703264264902,1365.73178649488
28023,512616,ARW-246,116 S WASHINGTON BETWEEN 1ST AVE AND OCCIDENTAL,PRIV,OUTSVC,DISTRICT7,,16,21489,S WASHINGTON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,ARW,,,,,,,,,,Brick,Concrete,Concrete Arch on Steel Beam,11,10,26,0,A906,None,N,,11,2022/11/22 00:00:00+00,2009/12/21 00:00:00+00,2022/11/22 00:00:00+00,,,,,,,,,,,,0,80.9212029313666,344.713869243858
28024,512619,ARW-249,S WASHINGTON ST BETWEEN 1ST AVE S AND OCCIDENTAL,PRIV,INSVC,DISTRICT7,,16,21489,S WASHINGTON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,ARW,,,,,,,,,,,,,11,,66,0,A908B,,N,,10.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,156.37209530199,759.953553350282
28025,512457,ARW-086,S WASHINGTON ST BETWEEN OCCIDENTAL AND 2ND,PRIV,INSVC,DISTRICT7,,16,21490,S WASHINGTON ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S,ARW,,,,,,,,,,,,,9,,107,0,A1002B,,N,,10.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,242.583619855675,1059.00805884882
28026,512465,ARW-094,208 S WASHINGTON ST BETWEEN 2ND AVE S EXT AND 3RD AVE S,,INSVC,DISTRICT7,,16,21492,S WASHINGTON ST BETWEEN 2ND AV ET S AND 3RD AVE S,ARW,,,,,,,,,,Rubble,RC Reinforced Concrete,,10,,38,0,A1103,,N,,9,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,93.7630324294296,445.049847657514
28027,512437,ARW-066,300 S WASHINGTON ST BETWEEN 3RD AND 4TH,,INSVC,DISTRICT7,,16,21493,S WASHINGTON ST BETWEEN 3RD AVE S AND 4TH AVE S,ARW,,,,71.7,Fair,48.9,Poor,16734,2023/03/09 08:42:00+00,Concrete Gravity,RC Reinforced Concrete,RC Slab on Reinf Concr Beam,11,8,65,13,A10000A,Unknown,N,,10.7,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2023/03/14 00:00:00+00,,,,,,,,,,,,0,252.979214376603,864.397353626325
28028,512468,ARW-097,S WSAHINGTON ST BETWEEN 1ST AVE S AND ALASKAN WAY,PRIV,INSVC,DISTRICT7,,16,21488,S WASHINGTON ST BETWEEN ALASKAN E RDWY WAY S AND 1ST AVE S,ARW,,,,0,Poor,0,Poor,12861,2020/12/02 14:00:00+00,Stone Block,Concrete,Arch on Steel Beam,12,10,126,16,A1201B,None,N,,9.66,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,266.268152537677,2119.84524552927
28029,512467,ARW-096,201-5 1ST AVE S BETWEEN WASHINGTON AND MAIN,PRIV,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,0,Poor,0,Poor,12860,2020/12/02 02:29:59+00,Concrete,Concrete,Brick Arch on Steel Beam,13,12,69,16,A1201A,Utility,N,,13.3,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,162.659686892,752.10809715878
28030,512476,ARW-105,S WASINGTON ST BETWEEN 1ST AVE S AND OCCIDENTAL,PRIV,INSVC,DISTRICT7,,16,21489,S WASHINGTON ST BETWEEN 1ST AVE S AND OCCIDENTAL AVE S,ARW,,,,,,,,,,Stone Block,RC Reinforced Concrete,Arch on Steel Beam,9,,121,12,A1301B,,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,265.585999854102,1712.00692115933
28031,512475,ARW-104,204 1ST AVE S BETWEEN 1ST AVE S AND OCCIDENTAL,PRIV,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,Stone Block,Concrete,RC Slab,9,,56,0,A1301A,,N,,14.3,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,163.736065053973,987.611486546833
28032,512491,ARW-120,173 S WASHINGTON ST BETWEEN OCCIDENTAL AND 2ND AVE S,PRIV,INSVC,DISTRICT7,,16,21490,S WASHINGTON ST BETWEEN OCCIDENTAL AVE S AND 2ND AVE S,ARW,,,,,,,,,,,,,9,,49,0,A1403A,,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,93.5820975730805,351.528886199014
28033,512500,ARW-129,S WASHINGTON ST BETWEEN 2ND AVE S EXT AND 3RD AVE S,PRIV,INSVC,DISTRICT7,,16,21492,S WASHINGTON ST BETWEEN 2ND AV ET S AND 3RD AVE S,ARW,,,,0,Poor,0,Poor,13315,2021/02/12 09:45:00+00,Stone Block,Concrete,Concrete Arch on Steel Beam,11,9,50,11,A1603B,Utility,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/04/28 00:00:00+00,,,,,,,,,,,,0,121.711915464622,580.075551770992
28034,512501,ARW-130,219 S WASHINGTON ST BETWEEN 2ND AVE S EXT AND 3RD AVE S,,INSVC,DISTRICT7,,16,21492,S WASHINGTON ST BETWEEN 2ND AV ET S AND 3RD AVE S,ARW,,,,0,Poor,0,Poor,13323,2021/02/12 10:30:00+00,Rubble,Concrete Slabs,Arch on Steel Beam,12,11,57,12,A1604,Storage,N,,11,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,63.9272786986292,252.676035230926
28035,512497,ARW-126,200 S WASHINGTON ST BETWEEN 2ND AVE S EXT AND 3RD AVE S,,INSVC,DISTRICT7,,16,21492,S WASHINGTON ST BETWEEN 2ND AV ET S AND 3RD AVE S,ARW,,,,0,Poor,0,Poor,13324,2021/02/12 11:00:00+00,Rubble,Concrete,Arch on Steel Beam,12,11,21,0,A1601,Storage,N,,12,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,149.324240900791,764.435745572886
28036,512499,ARW-128,201 3RD AVE S BETWEEN WASHINGTON AND MAIN,PRIV,INSVC,DISTRICT7,,16,4515,3RD AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,0,Not Rated,0,Poor,14134,2021/10/21 10:30:00+00,Stone Block,Concrete,Concrete Arch on Steel Beam,11,0,68,0,A1603A,Storage,N,,10.2,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/04/28 00:00:00+00,,,,,,,,,,,,0,166.776076120362,1156.92980775021
28037,512469,ARW-098,207 1ST AVE S BETWEEN WASHINGTON AND MAIN,PRIV,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,Brick,Concrete,Brick Arch on Steel Beam,13,,29,16,A1202,Storage,N,,13.3,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,83.3083285189786,333.418470300946
28038,512477,ARW-106,206 1ST AVE S BETWEEN WASHINGTON AND MAIN,PRIV,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,Concrete,Concrete,Concrete Arch on Steel Beam,10,,29,0,A1302,,N,,13.3,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,90.6895587718034,442.484010679169
28039,512498,ARW-127,318 2ND AVE S EXT AVE S BETWEEN WASHINGTON AND MAIN,PRIV,INSVC,DISTRICT7,,16,2925,2ND AV ET S BETWEEN S MAIN ST AND S WASHINGTON ST,ARW,,,,0,Poor,0,Poor,13115,2021/02/12 09:59:59+00,Concrete Gravity,RC Reinforced Concrete,Concrete Arch on RC or CR Beam,8,0,61,18,A1602,Business,N,,12.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,166.170805984436,765.853744393619
28040,512470,ARW-099,209 1ST AVE S BETWEEN WASHINGTON AND MAIN,PRIV,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,Brick,Concrete,Brick Arch on Steel Beam,11,,28,16,A1203,,N,,14.3,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,79.9073347967413,314.244144238703
28041,512596,ARW-226,218 3RD AVE S BETWEEN MAIN AND WASHINGTON,,INSVC,DISTRICT7,,16,4515,3RD AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,Concrete Gravity,,Arch on Steel Beam,10,,30,0,A8002,Business,N,,10,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,82.1339787808969,357.4437905681
28042,512471,ARW-100,211 1ST AVE S BETWEEN WASHINGTON AND MAIN,PRIV,INSVC,DISTRICT7,,16,1186,1ST AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,58.8,Fair,58.8,Fair,14494,2021/12/20 11:29:59+00,Stone Block,Concrete,Brick Arch on Steel Beam,12,12,29,16,A1204,Utility,N,,13.8,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,83.7144870118813,333.90822806055
28043,512489,ARW-118,215 2ND AVE S BETWEEN WASHINGTON AND MAIN,PRIV,OUTSVC,DISTRICT7,,16,2869,2ND AVE S BETWEEN S WASHINGTON ST AND S MAIN ST,ARW,,,,,,,,,,,,,10,,65,0,A1401,,N,,15,2019/09/20 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,142.929850984599,597.378998925913
28044,512622,ARW-252,117 YESLER WAY BETWEEN 1ST AVE AND OCCIDENTAL,PRIV,INSVC,DISTRICT7,,16,13761,YESLER WAY BETWEEN 1ST AVE AND JAMES ST,ARW,,,,,,,,,,,,,11,,59,0,A911A,,N,,7.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,181.200295543667,1086.06790313398
28045,512454,ARW-083,102-08 OCCIDENTAL AVE S BETWEEN YESLER AND WASHINGTON,PRIV,INSVC,DISTRICT7,,16,12022,OCCIDENTAL AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,ARW,,,,,,,,,,Rubble,,Arch on Steel Beam,9,,127,0,A1001A,,N,,15.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,278.700230161539,1026.3311622492
28046,512623,ARW-253,OCCIDENTAL AVE S BETWEEN WASHINGTON AND YESLER,PRIV,INSVC,DISTRICT7,,16,12022,OCCIDENTAL AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,ARW,,,,,,,,,,Concrete,,Concrete Arch on Steel Beam,12,,58,0,A911B,,N,,14,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,171.084839698826,1292.43280905497
28047,512460,ARW-089,423 2ND AVE S. EXT. AVE S BETWEEN YESLER WAY AND WASHINGTON,PRIV,UNDERCONS,DISTRICT7,,16,2926,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,ARW,,,,,,,,,,Stone Block,Concrete,Brick Arch on Steel Beam,12,0,130,16,A1005,,N,,0,2019/01/22 00:00:00+00,2009/12/21 00:00:00+00,2022/07/01 00:00:00+00,,,,,,,,,,,,0,318.403007459634,2361.42271963463
28048,512556,ARW-186,223 YESLER WAY BETWEEN 2ND AVE S EXT AND 3RD AVE S,,INSVC,DISTRICT7,,16,13764,YESLER WAY BETWEEN 2ND AVE AND 3RD AVE,ARW,,,,,,,,,,Concrete Gravity,RC Reinforced Concrete,,11,,135,0,A4000A,Storage,N,,7,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,271.280296991457,1582.45938476924
28049,512557,ARW-187,3RD AVE S BETWEEN YESLER WAY AND WASHINGTON,,INSVC,DISTRICT7,,16,4514,3RD AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,ARW,,,,,,,,,,Concrete Gravity,RC Reinforced Concrete,,14,,46,0,A4000B,,N,,3,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,50.7149758731994,118.239355081465
28050,512606,ARW-236,YESLER WAY BETWEEN PREFONTAINE AND 4TH AVE S,,INSVC,DISTRICT7,,16,12259,PREFONTAINE PL S BETWEEN 3RD AVE S AND 4TH AVE S,ARW,,,,0,Poor,0,Poor,13114,2021/03/22 14:29:59+00,Concrete Gravity,RC Reinforced Concrete,RC Slab on Reinf Concr Beam,20,10,134,16,A9000,Storage,N,,15,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,309.847757779905,1975.26688431684
28051,512463,ARW-092,201 YESLER WAY BETWEEN 2ND AVE S EXT AND 3RD AVE S,PRIV,OUTSVC,DISTRICT7,,16,13764,YESLER WAY BETWEEN 2ND AVE AND 3RD AVE,ARW,,,,,,,,,,,,,6,0,58,0,A1101,,N,Areaway filled in 2007. See plan # 774-347 and copy in file.,14.5,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,172.724813797302,1291.08089173328
28052,512601,ARW-231,107 1ST AVE S BETWEEN YESLER AND WASHINGTON,PRIV,INSVC,DISTRICT7,,16,1185,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,ARW,,PRIV,,0,Not Rated,0,Not Rated,14355,2021/12/01 09:59:59+00,Brick,Concrete,Brick Arch on Steel Beam,11,,52,0,A803,,N,,9.8,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,133.294224201582,656.90611955289
28053,512607,ARW-237,4TH AVE S BETWEEN YESLER WAY AND WASHINGTON,,INSVC,DISTRICT2,DISTRICT7,16,6226,4TH AVE S BETWEEN 4TH AVE AND S WASHINGTON ST,ARW,,,,0,Poor,0,Poor,12976,2021/02/22 14:00:00+00,Concrete Gravity,RC Reinforced Concrete,RC Slab on Reinf Concr Beam,14,9,162,12,A9001,Mechanical Room,N,,7.7,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,310.843419145677,2026.28181099001
28054,512608,ARW-238,110 PREFONTAINE PL BETWEEN YESLER WAY AND WASHINGTON,,INSVC,DISTRICT7,,16,12259,PREFONTAINE PL S BETWEEN 3RD AVE S AND 4TH AVE S,ARW,,,,0,Poor,0,Poor,12975,2021/01/06 14:00:00+00,Concrete Gravity,RC Reinforced Concrete,RC Slab on Reinf Concr Beam,12,7,170,0,A9002,Mechanical Room,N,,11.9,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,336.356740607178,1571.80410351013
28055,512621,ARW-251,107 OCCIDENTAL AVE S BETWEEN YESLER AND WASHINGTON,PRIV,INSVC,DISTRICT7,,16,12022,OCCIDENTAL AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,ARW,,,,,,,,,,Stone Block,Brick,Brick Arch on Steel Beam,11,,85,0,A910,,N,,12.6,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,217.873389458429,1792.59927650253
28056,512611,ARW-241,106 1ST AVE S BETWEEN YESLER AND WASHINGTON,PRIV,INSVC,DISTRICT7,,16,1185,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,ARW,,,,,,,,,,Stone Block,Concrete,Concrete Arch on Steel Beam,11,,39,15,A902,,N,,13.8,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,139.955319778498,939.148009341973
28057,512602,ARW-232,109-15 1ST AVE S BETWEEN YESLER AND WASHINGTON,PRIV,INSVC,DISTRICT7,,16,1185,1ST AVE S BETWEEN YESLER WAY AND S WASHINGTON ST,ARW,,,,0,Not Rated,0,Not Rated,14354,2021/12/01 12:00:00+00,Brick,Concrete,Brick Arch on Steel Beam,10,,51,16,A804,Storage,N,,14,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,232.481760217003,1484.98173485841
28058,512459,ARW-088,417 2ND AVE S EXT. BETWEEN WASHINGTON AND YESLER WAY,,INSVC,DISTRICT7,,16,2926,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,ARW,,,,,,,,,,Concrete Gravity,,Arch on Steel Beam,12,,30,0,A1004,,N,,12,2009/12/21 00:00:00+00,2009/12/21 00:00:00+00,2022/01/06 00:00:00+00,,,,,,,,,,,,0,83.9016333825597,437.98007193117
28059,512458,ARW-087,411 2ND AVE S. EXT. BETWEEN WASHINGTON AND YESLER,PRIV,INSVC,DISTRICT7,,16,2926,2ND AV ET S BETWEEN S WASHINGTON ST AND YESLER WAY,ARW,,,,,,,,,,Concrete,Concrete,Concrete Arch on Steel Beam,11,10,31,0,A1003,Utility,N,,3,2019/09/20 00:00:00+00,2009/12/21 00:00:00+00,2022/11/22 00:00:00+00,,,,,,,,,,,,0,105.915013623589,681.575195241177
