1823.fipstwo,31011,f31011
2041.statevalue,Y,NY
2074.statecounty,HO_Delaware,OH_Delaware
188.county,Bethel Census Area,Pinal 
410.fipstwo,f02230,f13035
2433.fipstwo,45057,f45057
215.statefips,2.0,6
2974.statevalue,AV,VA
178.statecounty,AK_Bethel Census Area,AZ_Cochise
2949.fipstwo,fp51079,f51079
2240.statevalue,OkR,OR
268.statefips,2.0,8
2397.statevalue,zPR,PR
2827.county,Sterlig ,Sterling 
3062.countytwo,Jeferson ,Jefferson 
365.fipstwo,f01005,f12081
66.statevalue,AR,AL
313.fips,2282.0,8125
378.fipstwo,f02070,f12105
294.fips,2068.0,8087
1165.county,St. Helena Paish,St. Helena Parish
479.statevalue,GgA,GA
819.countytwo,DeKalbc ,DeKalb 
2128.statecounty,OH_Shelbby,OH_Shelby
2459.county,Butte ***,Butte 
2019.county,Monore ,Monroe 
2997.county,Prince Willam ,Prince William 
1073.countytwo,Maoffin ,Magoffin 
2177.county,Ky ,Kay 
974.county,Rcie ,Rice 
1037.countytwo,Futlon ,Fulton 
688.county,Lincol ,Lincoln 
196.county,Matanuska-Susitna Borough,Calaveras 
60.statefips,2.0,1
1608.statecounty,MS_Ycazoo,MS_Yazoo
2195.county,Ofuskee ,Okfuskee 
688.fipstwo,f160e63,f16063
309.fips,2105.0,8117
2567.fipstwo,f7101,f47101
281.county,Bristol Bay Borough,Kiowa 
2093.statevalue,H,OH
653.statecounty,IiA_Winneshiek,IA_Winneshiek
270.fips,1013.0,8041
1782.statecounty,ND_Gran Forks,ND_Grand Forks
3124.county,Marquett ,Marquette 
222.fips,2105.0,6061
591.statefips,92,19
182.statefips,2.0,4
340.fipstwo,f02170,f12031
2671.statevalue,vTX,TX
104.statecounty,AL_Escambia,AR_Carroll
292.fips,2090.0,8083
3118.statecounty,WI_Lfayette,WI_Lafayette
1350.statecounty,N_Isanti,MN_Isanti
16.fips,2050.0,2170
383.fips,1013.0,12109
1044.countytwo,Gerenup ,Greenup 
223.statecounty,AK_Fairbanks North Star Borough,CA_Plumas
180.fips,2090.0,4007
1652.statecounty,MT_Rosebdu,MT_Rosebud
259.fips,2050.0,8017
60.county,Juneau City and Borough,Geneva 
3114.statevalue,IW,WI
565.statefips,88,19
172.county,Aleutians East Borough,Eastern District
40.fips,2290.0,1021
1415.statevalue,OM,MO
1215.statecounty,MD_Quen Anne's,MD_Queen Anne's
1397.countytwo,cTodd ,Todd 
607.statefips,40,19
2526.statecounty,TN_Cater,TN_Carter
399.fipstwo,f01069,f13013
2632.county,Braozs ,Brazos 
1452.statecounty,OM_Howard,MO_Howard
566.countytwo,Bremre ,Bremer 
3188.county,Monongalyia ,Monongalia 
348.fipstwo,f01013,f12047
406.fipstwo,f02070,f13027
1248.countytwo,Berriesn ,Berrien 
539.statefips,38,13
1992.statevalue,YN,NY
160.statevalue,AzR,AR
168.fips,2068.0,5143
1083.fipstwo,21167,f21167
2284.fipstwo,f4205c9,f42059
395.fips,2060.0,13005
2476.countytwo,Grgory ,Gregory 
117.fips,5079.0,5041
1683.statevalue,CN,NC
817.county,eDarborn ,Dearborn 
208.fips,2110.0,6033
258.county,Dillingham Census Area,Chaffee 
1943.fipstwo,f3l5003,f35003
386.fips,2068.0,12121
1554.statevalue,MjS,MS
380.fips,1013.0,12113
2044.statevalue,Y,NY
2437.county,Maron ,Marion 
2004.statecounty,NY_Dlaware,NY_Delaware
333.fips,2060.0,12015
429.statefips,97,13
194.statecounty,AK_Hoonah-Angoon Census Area,CA_Amador
938.fipstwo,f20078,f20087
2029.fipstwo,f3075,f36075
62.fips,2185.0,1065
1873.statevalue,E,NE
351.fipstwo,f02070,f12053
655.statecounty,A_Worth,IA_Worth
404.statecounty,AK_Aleutians East Borough,GA_Bleckley
217.county,Ketchikan Gateway Borough,Mono 
118.county,Haines Borough,Drew 
1695.fipstwo,f37v061,f37061
2156.fipstwo,f04029,f40029
426.statevalue,oGA,GA
2274.county,Crawfor ,Crawford 
289.statevalue,O,CO
2300.county,Montgomfery ,Montgomery 
835.fipstwo,f18056,f18065
574.statecounty,IA_Cerro Gorod,IA_Cerro Gordo
3131.countytwo,Ozaueke ,Ozaukee 
265.county,Delrta ,Delta 
243.statefips,2.0,6
316.statevalue,sCT,CT
823.statecounty,IN_Fayettne,IN_Fayette
961.statevalue,aKS,KS
237.county,Fairbanks North Star Borough,Sierra 
192.statecounty,AL_Choctaw,CA_Alameda
2780.fipstwo,f48337***,f48337
359.fipstwo,f02220,f12069
941.fipstwo,2f0093,f20093
3045.statevalue,T,VT
220.fips,2016.0,6057
1996.statecounty,NiY_Cattaraugus,NY_Cattaraugus
2731.countytwo,Jaackson ,Jackson 
764.statecounty,IL_MclLean,IL_McLean
476.statefips,51,13
2913.statecounty,A_Buckingham,VA_Buckingham
892.statevalue,IcN,IN
1922.statevalue,JN,NJ
98.county,Ahley ,Ashley 
1209.countytwo,Garrtt ,Garrett 
1211.statevalue,oMD,MD
261.fipstwo,f02261,f08021
391.fipstwo,f02195,f12131
224.statefips,2.0,6
317.fips,2016.0,9007
2030.statevalue,tNY,NY
1438.countytwo,Daviesis ,Daviess 
27.statevalue,K,AK
223.statefips,2.0,6
1516.statecounty,MO_Veronn,MO_Vernon
557.fipstwo,f1509,f15009
1741.county,Rihcmond ,Richmond 
95.county,Petersburg Census Area,Wilcox 
654.statefips,56,19
1924.countytwo,amden ,Camden 
292.statecounty,AK_Yakutat City and Borough,CO_Montezuma
1928.county,Gloucestebr ,Gloucester 
1054.county,Jacpkson ,Jackson 
474.county,Jenins ,Jenkins 
1874.fipstwo,f311e13,f31113
2521.statevalue,vTN,TN
795.county,Washingto ,Washington 
1774.statevalue,DN,ND
2823.statevalue,X,TX
3010.statevalue,dVA,VA
2457.county,rule ,Brule 
1724.countytwo,Mecklenburgw ,Mecklenburg 
936.fipstwo,f20803,f20083
292.statevalue,O,CO
3127.statecounty,WI_dMonroe,WI_Monroe
280.fipstwo,f02122,f08059
1417.countytwo,Boonet ,Boone 
1762.statevalue,NsC,NC
1333.countytwo,hisago ,Chisago 
205.statefips,2.0,6
1712.statevalue,C,NC
293.fips,2105.0,8085
278.fips,6013.0,8055
1979.countytwo,lEko ,Elko 
52.fips,2180.0,1045
2229.county,tGilliam ,Gilliam 
2065.countytwo,Clrk ,Clark 
3203.statevalue,VW,WV
3050.fipstwo,f53v007,f53007
1456.statevalue,O,MO
2230.countytwo,Gran t,Grant 
79.fipstwo,f01005,f01099
2624.statecounty,TX_Bvee,TX_Bee
1331.countytwo,Csas ,Cass 
747.fipstwo,1f7093,f17093
303.fips,2050.0,8105
1864.countytwo,Howadr ,Howard 
854.statecounty,IN_iMami,IN_Miami
2305.statevalue,mPA,PA
421.fipstwo,f02070,f13059
412.fipstwo,f02105,f13039
103.county,Bristol Bay Borough,Calhoun 
1098.statecounty,KY_Powell***,KY_Powell
2073.statevalue,oOH,OH
416.statecounty,AL_Greene,GA_Charlton
375.statevalue,iFL,FL
321.statevalue,CuT,CT
41.statefips,2.0,1
2699.countytwo,Gloiad ,Goliad 
2836.statevalue,XT,TX
1898.statecounty,NE_Sherdan,NE_Sheridan
105.fipstwo,f02185,f05017
387.fipstwo,f02016,f12123
938.statevalue,SK,KS
420.statefips,79,13
2111.countytwo,Morganq ,Morgan 
48.statefips,2.0,1
190.county,Lake and Peninsula Borough,Yavapai 
165.statecounty,AK_Hoonah-Angoon Census Area,AR_Stone
338.fips,5137.0,12027
106.statefips,2.0,5
1976.countytwo,Churhcill ,Churchill 
1161.countytwo,ichland ,Richland 
1821.fipstwo,f3007,f31007
851.statecounty,IN_Mairon,IN_Marion
2203.countytwo,ontotoc ,Pontotoc 
2739.statevalue,X,TX
1001.statevalue,YK,KY
2869.statecounty,UT_Cqache,UT_Cache
1435.countytwo,Crawfod ,Crawford 
3161.countytwo,raxton ,Braxton 
184.fips,2105.0,4013
1845.statevalue,EN,NE
2447.countytwo,Sumtre ,Sumter 
382.statevalue,FfL,FL
754.county,ogan ,Logan 
283.fips,2100.0,8067
990.statevalue,SK,KS
336.statevalue,LF,FL
2039.county,Schyuler ,Schuyler 
30.fips,2130.0,1001
3046.countytwo,Windsro ,Windsor 
771.fipstwo,fx17141,f17141
2739.countytwo,Krnes ,Karnes 
39.county,Bristol Bay Borough,Cherokee 
1626.statecounty,oMT_Glacier,MT_Glacier
194.countytwo,Amado ,Amador 
331.fips,2060.0,12011
2073.fipstwo,f3039,f39039
45.fipstwo,f01001,f01031
183.fips,2282.0,4012
576.statefips,69,19
199.county,Hoonah-Angoon Census Area,Del Norte 
317.fipstwo,f02270,f09007
3179.statevalue,V,WV
195.county,Hoonah-Angoon Census Area,Butte 
3078.fipstwo,53063,f53063
334.county,Aleutians West Census Area,Citrus 
492.statevalue,AG,GA
702.statevalue,yIL,IL
1960.county,Mra ,Mora 
2222.county,Clatso p,Clatsop 
1716.countytwo,Joes ,Jones 
1142.county,Iberia Parihs,Iberia Parish
2313.countytwo,Tigoa ,Tioga 
1172.countytwo,Tangiaphoa ,Tangipahoa 
1432.statecounty,MO_Clkinton,MO_Clinton
224.fipstwo,f02100,f06065
412.statecounty,AK_Aleutians West Census Area,GA_Camden
163.statefips,2.0,5
1787.fipstwo,f38405,f38045
2461.countytwo,Charle Mix ,Charles Mix 
1723.statevalue,C,NC
784.statevalue,IxL,IL
1066.county,Letchr ,Letcher 
2697.statevalue,XT,TX
694.statevalue,rID,ID
532.statefips,75,13
454.statevalue,AG,GA
377.fips,12047.0,12103
1628.statevalue,T,MT
119.county,Aleutians East Borough,Faulkner 
2860.county,kWise ,Wise 
43.fips,2020.0,1027
1380.countytwo,oPlk ,Polk 
176.fips,2282.0,60050
350.fips,5137.0,12051
417.statefips,35,13
248.statecounty,AK_Juneau City and Borough,CA_Yolo
380.fipstwo,f02282,f12113
1731.statevalue,C,NC
58.fipstwo,f02164,f01057
2713.statevalue,TzX,TX
521.statefips,90,13
2946.statecounty,VA_Gloucestegr,VA_Gloucester
2638.statecounty,TXBurnet,TX_Burnet
2157.fipstwo,f40013,f40031
72.statefips,2.0,1
3165.fipstwo,f540b15,f54015
2759.statecounty,TXLipscomb,TX_Lipscomb
1670.countytwo,Aery ,Avery 
1435.fipstwo,f9055,f29055
1942.county,ernalillo ,Bernalillo 
79.fips,1007.0,1099
142.statecounty,AK_Juneau City and Borough,AR_Miller
457.statevalue,jGA,GA
2653.statecounty,TX_Cotleman,TX_Coleman
2094.statecounty,OH_Jefferson***,OH_Jefferson
289.fips,2100.0,8077
341.fips,2105.0,12033
2183.county,Loga n,Logan 
1118.statevalue,KhY,KY
251.statefips,2.0,8
483.statevalue,AG,GA
2890.statevalue,T,UT
2551.statevalue,N,TN
330.fips,6075.0,12009
2022.statevalue,Y,NY
417.statecounty,AL_Covington,GA_Chatham
1602.county,Washinton ,Washington 
137.statevalue,lAR,AR
685.statecounty,ID_Laah,ID_Latah
1589.countytwo,hSarkey ,Sharkey 
130.statefips,2.0,5
844.county,nox ,Knox 
529.statevalue,GvA,GA
620.statefips,21,19
673.fipstwo,16033,f16033
2957.statecounty,VA_Highkland,VA_Highland
221.fipstwo,f01117,f06059
441.county,Earl y,Early 
285.fips,2100.0,8069
1613.statecounty,MT_Carbn,MT_Carbon
55.countytwo,lEmore ,Elmore 
496.statefips,99,13
3198.statevalue,WsV,WV
123.statecounty,AL_Sumter,AR_Grant
1541.statevalue,MtS,MS
1358.statevalue,rMN,MN
746.county,Knkakee ,Kankakee 
413.fipstwo,f02060,f13043
25.fips,2185.0,2261
510.statefips,103,13
1057.fipstwo,f2j1115,f21115
3035.countytwo,Caleonia ,Caledonia 
1478.statevalue,O,MO
2233.countytwo,Jacskon ,Jackson 
240.fips,2100.0,6097
314.fips,1053.0,9001
468.statecounty,GA_Houstson,GA_Houston
1144.county,Jcakson Parish,Jackson Parish
320.county,Fairbanks North Star Borough,Tolland 
3049.countytwo,enton ,Benton 
233.fipstwo,f02220,f06083
1572.county,Mnarion ,Marion 
351.fips,2110.0,12053
171.county,Denali Borough,Yell 
2878.countytwo,Juba ,Juab 
170.county,Nome Census Area,Woodruff 
985.statecounty,KS_Shemran,KS_Sherman
901.countytwo,rBown ,Brown 
2551.statecounty,TN_Huardeman,TN_Hardeman
3044.statevalue,TV,VT
288.statecounty,AK_Sitka City and Borough,CO_Logan
90.fips,2105.0,1121
2953.fipstwo,fp51085,f51085
411.statecounty,AK_Dillingham Census Area,GA_Calhoun
1035.countytwo,Folyd ,Floyd 
71.fips,2130.0,1083
2661.countytwo,Corylel ,Coryell 
929.fipstwo,f2069,f20069
181.statecounty,AL_Choctaw,AZ_Graham
445.statecounty,GA_Emanel,GA_Emanuel
304.statecounty,AK_Sitka City and Borough,CO_Routt
2724.countytwo,Hoston ,Houston 
495.statefips,50,13
2276.fipstwo,f4204x3,f42043
2591.county,Rutherfrod ,Rutherford 
289.statecounty,AK_North Slope Borough,CO_Mesa
2652.statecounty,TX_Coe,TX_Coke
330.statevalue,FiL,FL
2976.county,Mecklenbrg ,Mecklenburg 
334.fips,2185.0,12017
394.statecounty,AK_Northwest Arctic Borough,GA_Atkinson
2269.statecounty,PA_Cehster,PA_Chester
642.statefips,90,19
1989.statevalue,V,NV
279.statefips,2.0,8
1362.countytwo,rLyon ,Lyon 
327.fipstwo,f02164,f12003
1358.fipstwo,f27057,f27075
453.statefips,52,13
243.fipstwo,f02290,f06103
2452.county,Beadel ,Beadle 
323.fipstwo,f02170,f10001
431.statefips,77,13
1709.county,Hendrson ,Henderson 
1966.statevalue,M,NM
2261.statevalue,A,PA
1550.statecounty,MS_Harrwison,MS_Harrison
1981.countytwo,wEureka ,Eureka 
155.county,Bristol Bay Borough,Prairie 
913.countytwo,Cawford ,Crawford 
3169.countytwo,Ggrant ,Grant 
2922.countytwo,Chesterfielde ,Chesterfield 
1634.statecounty,MT_Libeurty,MT_Liberty
3157.statecounty,WI_ood,WI_Wood
2649.county,Chilress ,Childress 
295.statecounty,AL_Macon,CO_Otero
1336.countytwo,qCook ,Cook 
3140.countytwo,Rusko ,Rusk 
295.statevalue,O,CO
2710.fipstwo,f4i8197,f48197
1885.statevalue,E,NE
3217.county,Conevrse ,Converse 
2246.fipstwo,f41055***,f41055
2945.county,Giels ,Giles 
369.statecounty,CO_Archuleta,FL_Monroe
509.statefips,32,13
198.statecounty,AL_Escambia,CA_Contra Costa
170.statefips,2.0,5
255.fipstwo,f02090,f08011
2429.county,mHampton ,Hampton 
211.fips,2013.0,6039
2806.statecounty,TX_Reees,TX_Reeves
1527.county,Admas ,Adams 
228.fips,5017.0,6073
2220.statevalue,R,OR
1021.statecounty,KY_aCrter,KY_Carter
3216.countytwo,Carbjon ,Carbon 
177.fips,2068.0,4001
1870.statevalue,EN,NE
475.statefips,94,13
1140.county,Franklin Parsih,Franklin Parish
508.statefips,99,13
1146.fipstwo,f22035,f22053
504.fipstwo,f31227,f13227
517.fipstwo,fq13253,f13253
909.fipstwo,f200d29,f20029
3004.statevalue,VrA,VA
1697.fipstwo,f3h7065,f37065
51.statefips,2.0,1
805.countytwo,Bartnholomew ,Bartholomew 
2490.statecounty,SD_Lawrenec,SD_Lawrence
1255.county,Cliare ,Clare 
238.fipstwo,f02180,f06093
1234.statecounty,MEj_Somerset,ME_Somerset
1011.fipstwo,21023,f21023
37.fips,2090.0,1015
285.statevalue,CgO,CO
258.statevalue,CaO,CO
1379.countytwo,Pipetone ,Pipestone 
2837.statevalue,XT,TX
379.statecounty,CO_Rio Grande,FL_Putnam
1781.county,GoldenV alley ,Golden Valley 
3058.statevalue,AW,WA
424.countytwo,Cinch ,Clinch 
362.fips,2090.0,12075
599.statefips,106,19
1742.county,Robeso ,Robeson 
85.statefips,2.0,1
334.statevalue,L,FL
869.countytwo,Puntam ,Putnam 
964.statevalue,S,KS
2534.statecounty,TN_Cumbermland,TN_Cumberland
3207.county,ayne ,Wayne 
1562.countytwo,Lafayett e,Lafayette 
2199.statecounty,OK_Ottaaw,OK_Ottawa
91.statefips,2.0,1
270.statefips,2.0,8
2743.statecounty,TXK_ent,TX_Kent
74.county,Matanuska-Susitna Borough,Madison 
564.county,BlackH awk ,Black Hawk 
93.statefips,2.0,1
2846.countytwo,Victorioa ,Victoria 
616.fipstwo,f19171,f19117
2255.statevalue,AP,PA
2481.statevalue,ScD,SD
119.fips,2020.0,5045
1198.fipstwo,f24010,f24001
2297.county,Merce r,Mercer 
1058.statecounty,KYk_Kenton,KY_Kenton
2288.fipstwo,f4206c7,f42067
636.statecounty,IA_Poweshek,IA_Poweshiek
2176.fipstwo,f4009,f40069
1269.statevalue,IM,MI
2984.statecounty,VA_Northumerland,VA_Northumberland
430.statefips,58,13
1798.statecounty,ND_Pemina,ND_Pembina
2452.statevalue,D,SD
212.fipstwo,f01013,f06041
2414.statecounty,SC_Charleson,SC_Charleston
2113.county,Msukingum ,Muskingum 
1012.statevalue,YK,KY
778.fipstwo,f71155,f17155
1781.fipstwo,f3833,f38033
55.county,Emore ,Elmore 
2008.countytwo,Fraklin ,Franklin 
111.statefips,2.0,5
356.statevalue,L,FL
974.statecounty,KSR_ice,KS_Rice
648.statecounty,IA_arren,IA_Warren
2377.statevalue,lPR,PR
32.statefips,2.0,1
34.statefips,2.0,1
337.fips,2013.0,12023
193.fips,2282.0,6003
734.statevalue,L,IL
715.statecounty,IL_Colges,IL_Coles
143.statefips,2.0,5
2650.countytwo,lay ,Clay 
389.statecounty,AK_Juneau City and Borough,FL_Volusia
396.statecounty,AK_Anchorage Municipality,GA_Baker
1926.countytwo,Cumbrland ,Cumberland 
297.statecounty,AL_Baldwin,CO_Park
145.fips,2198.0,5097
1985.fipstwo,wf32019,f32019
2906.countytwo,Bedfod ,Bedford 
215.fipstwo,f01131,f06047
2471.countytwo,Deouglas ,Douglas 
1835.statecounty,NE_Cay,NE_Clay
1135.county,De Soto Praish,De Soto Parish
2395.county,Vegay Baja Municipio,Vega Baja Municipio
3131.county,Ozaqukee ,Ozaukee 
2383.fipstwo,f721n21,f72121
3175.fipstwo,f4035,f54035
815.countytwo,Craford ,Crawford 
2597.fipstwo,fe47161,f47161
1997.county,Cayugap ,Cayuga 
108.statecounty,AK_Haines Borough,AR_Cleburne
391.statecounty,AK_Haines Borough,FL_Walton
2926.county,Craixg ,Craig 
1936.countytwo,Pasnsaic ,Passaic 
3196.statecounty,WV_Prston,WV_Preston
310.fips,2110.0,8119
1801.fipstwo,f8073,f38073
535.countytwo,wiggs ,Twiggs 
1700.statecounty,NC_aGston,NC_Gaston
2343.statecounty,lPR_Coamo Municipio,PR_Coamo Municipio
70.statefips,2.0,1
386.statecounty,AL_Clay,FL_Suwannee
952.countytwo,Marshall ***,Marshall 
1594.county,Tallahautchie ,Tallahatchie 
3152.fipstwo,f55c131,f55131
53.statefips,2.0,1
837.countytwo,Huntinzgton ,Huntington 
155.statecounty,AK_Fairbanks North Star Borough,AR_Prairie
232.statefips,2.0,6
545.statecounty,GA_Wheeer,GA_Wheeler
2874.statecounty,U_Emery,UT_Emery
2364.countytwo,Las Marias Municcipio,Las Marias Municipio
429.statecounty,GA_Cook***,GA_Cook
550.countytwo,Wfilkinson ,Wilkinson 
1710.fipstwo,3f7091,f37091
660.statevalue,D,ID
2962.statecounty,VA_ing George,VA_King George
207.fips,1007.0,6031
2458.fipstwo,f46071,f46017
2414.statevalue,qSC,SC
344.county,Dillingham Census Area,Gadsden 
2731.fipstwo,4f8239,f48239
329.county,Hoonah-Angoon Census Area,Bradford 
101.statecounty,AK_Kenai Peninsula Borough,AR_Boone
81.statecounty,AK_Anchorage Municipality,AL_Morgan
264.statecounty,AK_Juneau City and Borough,CO_Custer
2257.statecounty,PA_Armjstrong,PA_Armstrong
157.county,North Slope Borough,Randolph 
3137.county,Racnie ,Racine 
304.fips,2016.0,8107
944.county,Lahbette ,Labette 
2976.countytwo,Meklenburg ,Mecklenburg 
699.fipstwo,f1605,f16085
639.statecounty,IA_Spcott,IA_Scott
2456.fipstwo,f4h6013,f46013
2567.countytwo,ewis ,Lewis 
303.fipstwo,f02130,f08105
2208.statecounty,OK_Seminodle,OK_Seminole
1293.statevalue,I,MI
2099.statevalue,H,OH
2675.countytwo,Dimit ,Dimmit 
361.fips,2016.0,12073
165.fipstwo,f02105,f05137
2162.statevalue,KO,OK
2912.fipstwo,f5127,f51027
164.statevalue,R,AR
74.statefips,2.0,1
382.fips,2282.0,12117
195.statecounty,AL_Butler,CA_Butte
597.statecounty,IA_Hamiltohn,IA_Hamilton
1520.county,Webste r,Webster 
2799.county,Ptoter ,Potter 
1612.statevalue,TM,MT
2946.county,Gloucestre ,Gloucester 
113.statefips,2.0,5
380.statecounty,CA_San Mateo,FL_Santa Rosa
150.fips,2013.0,5107
231.fips,1007.0,6079
2030.county,Ostego ,Otsego 
1033.fipstwo,21067,f21067
2606.countytwo,Washignton ,Washington 
2500.statevalue,D,SD
1242.county,Antri m,Antrim 
2153.countytwo,hCoctaw ,Choctaw 
275.county,Dillingham Census Area,Grand 
68.county,Hoonah-Angoon Census Area,Lauderdale 
2825.fipstwo,f4847,f48427
2036.countytwo,Saratgoa ,Saratoga 
2845.county,Van yZandt ,Van Zandt 
174.fips,2050.0,60030
2866.fipstwo,fu74300,f74300
400.statecounty,AK_Valdez-Cordova Census Area,GA_Bartow
975.statecounty,KSR_iley,KS_Riley
356.fips,5035.0,12063
1512.county,Staone ,Stone 
1625.statevalue,oMT,MT
296.statevalue,OC,CO
259.county,Aleutians West Census Area,Cheyenne 
456.statevalue,A,GA
676.county,Emlore ,Elmore 
132.statefips,2.0,5
3070.county,Okanoagn ,Okanogan 
298.fipstwo,f01011,f08095
2106.statevalue,H,OH
333.fipstwo,f02100,f12015
827.countytwo,Fulon ,Fulton 
3106.county,Fhorest ,Forest 
353.fips,5069.0,12057
1429.countytwo,Chritsian ,Christian 
361.statecounty,AK_Anchorage Municipality,FL_Leon
2986.fipstwo,ft51135,f51135
1534.countytwo,Craroll ,Carroll 
307.statevalue,jCO,CO
2042.countytwo,Steuyben ,Steuben 
437.statevalue,GhA,GA
230.fips,2090.0,6077
1553.statecounty,MS_Humphresy,MS_Humphreys
1998.statecounty,NY_Chautauuqa,NY_Chautauqua
899.countytwo,Bartno ,Barton 
348.statecounty,AK_Yukon-Koyukuk Census Area,FL_Hamilton
3081.statevalue,AW,WA
389.fips,2110.0,12127
287.fips,2185.0,8073
217.statecounty,AK_Aleutians West Census Area,CA_Mono
1299.county,Newago ,Newaygo 
2063.countytwo,Carrol l,Carroll 
508.statecounty,GA_Pualski,GA_Pulaski
252.fipstwo,f02060,f08005
322.fips,6029.0,11001
1424.countytwo,Carrol ,Carroll 
1261.countytwo,mmet ,Emmet 
250.county,Nome Census Area,Adams 
1921.fipstwo,f4001,f34001
2350.county,Guanica Muniipio,Guanica Municipio
480.statefips,36,13
3176.countytwo,Jefferosn ,Jefferson 
78.fips,2290.0,1097
2263.statecounty,tPA_Bucks,PA_Bucks
2312.countytwo,Susqeuhanna ,Susquehanna 
367.statevalue,LF,FL
179.fipstwo,f02150,f04005
1443.countytwo,Franklvin ,Franklin 
911.statecounty,KS_Comanchje,KS_Comanche
309.statevalue,CxO,CO
638.statefips,107,19
451.statefips,92,13
80.statefips,2.0,1
881.county,Tippcanoe ,Tippecanoe 
2763.fipstwo,f43803,f48303
876.countytwo,St. Josexph ,St. Joseph 
174.statecounty,AL_Butler,AS_Rose Island
1899.statecounty,NE_Shermna,NE_Sherman
2941.countytwo,Fkranklin city,Franklin city
1464.county,gLincoln ,Lincoln 
1097.county,Pkie ,Pike 
667.statevalue,zID,ID
3117.countytwo,La Cross e,La Crosse 
729.statevalue,L,IL
753.statecounty,hIL_Livingston,IL_Livingston
184.statecounty,AK_Dillingham Census Area,AZ_Maricopa
1147.statevalue,LdA,LA
2005.countytwo,Dutches ,Dutchess 
2627.statevalue,X,TX
1892.statevalue,EN,NE
169.fips,2198.0,5145
1600.countytwo,Walthhall ,Walthall 
1858.statevalue,E,NE
1484.statecounty,M_Ozark,MO_Ozark
3105.county,Fond duL ac ,Fond du Lac 
2434.countytwo,aLurens ,Laurens 
1542.countytwo,Covingtno ,Covington 
311.statevalue,O,CO
864.countytwo,Pery ,Perry 
2095.statevalue,HO,OH
3145.statevalue,IW,WI
1215.fipstwo,f2435,f24035
2843.county,Uvaldef ,Uvalde 
1872.countytwo,Lanwcaster ,Lancaster 
178.fips,2290.0,4003
2295.fipstwo,f42v081,f42081
581.statefips,65,19
395.fipstwo,f02110,f13005
311.fipstwo,f01051,f08121
682.statevalue,wID,ID
1919.countytwo,Strcafford ,Strafford 
96.statecounty,AL_Lee,AL_Winston
203.statefips,2.0,6
928.statecounty,KS_Gant,KS_Grant
563.statefips,88,19
1953.countytwo,Haridng ,Harding 
399.countytwo,Bsarrow ,Barrow 
70.county,Anchorage Municipality,Lee 
473.statefips,19,13
1787.countytwo,LaMogure ,LaMoure 
369.fips,2020.0,12087
1584.county,oPntotoc ,Pontotoc 
233.fips,2105.0,6083
1708.statevalue,C,NC
2785.countytwo,Nacogdochesw ,Nacogdoches 
2599.statevalue,NT,TN
272.county,Denali Borough,Fremont 
280.fips,5029.0,8059
394.fipstwo,f02130,f13003
262.statecounty,AK_Aleutians West Census Area,CO_Costilla
167.fips,2130.0,5141
1519.county,Wayn e,Wayne 
153.county,Denali Borough,Polk 
183.statecounty,AL_Butler,AZ_La Paz
180.statecounty,AK_Yukon-Koyukuk Census Area,AZ_Gila
641.statefips,27,19
2295.statevalue,jPA,PA
595.countytwo,Gruny ,Grundy 
257.statecounty,AK_Wrangell City and Borough,CO_Broomfield
202.statecounty,AK_Denali Borough,CA_Glenn
3095.countytwo,Calrk ,Clark 
1133.countytwo,Clayiborne ,Claiborne 
2854.countytwo,Wichit a,Wichita 
312.fips,5069.0,8123
973.countytwo,Raepublic ,Republic 
2405.statevalue,CS,SC
1339.countytwo,Dakotam ,Dakota 
395.statefips,62,13
572.county,Cadss ,Cass 
1917.fipstwo,3f3013,f33013
1290.statevalue,I,MI
619.fipstwo,fa19123,f19123
387.fips,6029.0,12123
2138.countytwo,Waywne ,Wayne 
2644.statecounty,TX_Cason,TX_Carson
2865.county,avala ,Zavala 
1019.countytwo,Carlisl ,Carlisle 
2061.countytwo,Brow ,Brown 
950.statecounty,KS_rLyon,KS_Lyon
147.fipstwo,f02230,f05101
352.county,Juneau City and Borough,Highlands 
1385.countytwo,Renvillec ,Renville 
1905.county,oValley ,Valley 
3171.county,Hamshire ,Hampshire 
468.county,Houstont ,Houston 
177.county,Lake and Peninsula Borough,Apache 
760.statecounty,IL_Maosn,IL_Mason
187.fips,2068.0,4019
124.fips,2180.0,5055
313.county,Dillingham Census Area,Yuma 
193.statecounty,AK_Aleutians West Census Area,CA_Alpine
379.fips,12047.0,12107
282.county,Kit Carsonw ,Kit Carson 
2787.statecounty,TX_Nweton,TX_Newton
1836.statevalue,uNE,NE
835.countytwo,Henroy ,Henry 
2153.fipstwo,f4023,f40023
3125.county,Menomirnee ,Menominee 
2562.statevalue,TtN,TN
628.fipstwo,f19114,f19141
574.statefips,50,19
1694.statecounty,nNC_Davie,NC_Davie
2645.countytwo,Cass ***,Cass 
2333.county,Cabo Rojco Municipio,Cabo Rojo Municipio
499.countytwo,Newtoen ,Newton 
3109.statecounty,WI_Geren Lake,WI_Green Lake
1677.fipstwo,fa37025,f37025
1235.fipstwo,f23207,f23027
2837.county,Tom Gree n,Tom Green 
2187.statevalue,KO,OK
110.fips,2275.0,5027
460.statefips,42,13
76.statecounty,AK_Northwest Arctic Borough,AL_Marion
236.statevalue,iCA,CA
1265.countytwo,Granda Traverse ,Grand Traverse 
267.county,Denali Borough,Dolores 
82.statefips,2.0,1
736.statevalue,LI,IL
