1125.address,z2655 Iberville St,2655 Iberville St
1958.expirationdate,30/01/2023 12:00:00 AM,03/01/2023 12:00:00 AM
679.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9663962182281, -90.0733986446834)"
1016.address,4435 Anngette St,4435 Annette St
2718.expirationdate,03/01/2203 12:00:00 AM,03/01/2023 12:00:00 AM
1055.type,Short Term RentalResidential Owner,Short Term Rental Residential Owner
1755.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9663160725203, -90.0590314613205)"
1281.x,40.0,-1.0
611.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9755712719366, -90.0746766809483)"
513.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.953521454626, -90.0417129315065)"
1548.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9637286008671, -90.03640507664)"
1684.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9804800348827, -90.0718255131242)"
980.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9680216171076, -90.0590312803019)"
1583.type,hort Term Rental Commercial Owner,Short Term Rental Commercial Owner
259.address,828 Girod StA pt 403,828 Girod St Apt 403
877.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9415599746067, -90.0925001130709)"
2048.address,16 S Lopez St,616 S Lopez St
1480.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9635975918898, -90.096676451357)"
2773.expirationdate,10/0/42023 11:59:59 PM,10/04/2023 11:59:59 PM
752.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9626482321188, -90.0939890594771)"
1461.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.969390953609, -90.0578789201347)"
1409.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9497948404032, -90.0662661592716)"
1040.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9351963083802, -90.0720910518979)"
685.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9554921016183, -90.1169226199671)"
1723.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9640294647124, -90.0552675337646)"
1473.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9513385898562, -90.0673163147529)"
1235.type,Shorts Term Rental Residential Owner,Short Term Rental Residential Owner
1749.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9666084335212, -90.0724882798849)"
1488.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9802138031161, -90.0849421097848)"
452.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9446936857202, -90.0501524361267)"
128.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9497416421647, -90.1280336736565)"
2020.locationvalue,"(29.951k895231975, -90.0714791786972)","(29.951895231975, -90.0714791786972)"
1105.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9457097938119, -90.0715015347987)"
1808.expirationdate,07/10/2023 11:5959 PM,07/10/2023 11:59:59 PM
1639.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9636588712309, -90.0361131779111)"
1178.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9456912578999, -90.0713924807921)"
2014.address,1861 N Claiborne Ave,1816 N Claiborne Ave
62.namevalue,"1817 Martin Luther King, Jr Bldv","1817 Martin Luther King, Jr Blvd"
1605.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9792181762124, -90.0464084243074)"
216.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9390105087043, -90.0709530046109)"
1154.locationvalue,"(28.0988907068706, -101.517799134252)","(30.0250671223013, -90.035040139532)"
686.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9636391548347, -90.0590978029358)"
1831.address,3219 St Claude vAe,3219 St Claude Ave
779.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9649150954578, -90.0649958767637)"
964.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9180870069954, -90.0940411595636)"
730.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9737401738273, -90.058673675384)"
903.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9501534707039, -90.0689444173259)"
1021.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9564636576692, -90.1086820603473)"
2284.address,809 OpelousasA ve,809 Opelousas Ave
1962.type,4701 - HOTELS (EXC CSAINO HOTELS) & MOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
246.expirationdate,05/12/2023 11:5:959 PM,05/12/2023 11:59:59 PM
1998.expirationdate,06/17/2023 11:q59:59 PM,06/17/2023 11:59:59 PM
157.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9475885418686, -90.0736170728614)"
1009.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9349677240785, -90.0876650771416)"
1809.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9338499593665, -90.1005689227723)"
557.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9778812735352, -90.0954941804717)"
1263.locationvalue,"(29.9627907980921, -90.0576065708806)","(29.9636411834197, -90.0361572765411)"
354.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9719596386948, -90.0488056524041)"
707.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.974406212346, -90.0870678226231)"
680.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9351685029836, -90.0723432042102)"
809.namevalue,2018N Broad St,2018 N Broad St
1159.locationvalue,"(29.9409105746801, -90.0673505685156)","(30.0158117790327, -89.9770361297319)"
339.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9191640456755, -90.1086040670054)"
928.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9504969115344, -90.1200491217765)"
213.locationvalue,"(29.9436221825203, -90.0784593414273)","(30.0473009052229, -89.96887668026)"
1431.address,270 3Baronne St,2703 Baronne St
1130.locationvalue,"(29.9453933043394, -90.049996322177)","(29.934418707335, -90.0831620649012)"
464.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9775511589719, -90.0826826452447)"
298.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9839787911447, -90.0587241322749)"
2477.y,539686.06,539607.06
2254.type,ShortT erm Rental Residential Owner,Short Term Rental Residential Owner
1854.address,7700 CEHF MENTEUR HWY,7700 CHEF MENTEUR HWY
854.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9759082540301, -90.0827308486612)"
944.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.965462822812, -90.0818464403808)"
1302.locationvalue,"(29.9744625699782, -90.0501922802849)","(30.0369368886312, -90.0042975480874)"
861.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9476657829638, -90.108131923708)"
1657.expirationdate,03/01/2023 12:00:0 AM,03/01/2023 12:00:00 AM
816.namevalue,628 Oragne St,628 Orange St
1292.namevalue,2120 N Brad St,2120 N Broad St
297.locationvalue,"(29.94521586214, -90.0748345709834)","(29.9770874584952, -90.0578528834879)"
1503.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9660132588512, -90.0708280955683)"
39.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9866862216343, -90.0740679473453)"
1340.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9636944466318, -90.0962990372908)"
1909.namevalue,HYATT PLACE NEW ORLEANS CONVENTIOcN CENTER,HYATT PLACE NEW ORLEANS CONVENTION CENTER
1027.locationvalue,"(29.9606030466068, -90.0892656704537)","(30.0690409242401, -89.8115265449699)"
1056.locationvalue,"(29.9647071287253, -90.0837190697134)","(29.9774301757647, -90.0808971201722)"
932.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9502132069225, -90.0689193133342)"
79.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9167336138687, -90.1072363155933)"
390.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9436846733591, -90.0357505500595)"
659.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9510368745032, -90.0712124240876)"
1896.locationvalue,"(30.0946255291455, -89.7670573024888)","(30.0334319781166, -89.9472608150118)"
1295.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9524425234225, -90.0685047866043)"
337.address,932 Lapeyrouse St,1932 Lapeyrouse St
531.locationvalue,"(29.9419771752916, -90.0721996382078)","(29.9690365085451, -90.0632364632929)"
1734.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9873069105733, -90.0870518271542)"
744.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9004583914424, -89.993839079708)"
649.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9203935994188, -90.1163701679677)"
126.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9726291155319, -90.08829371808)"
1170.namevalue,2646 St hPilip St,2646 St Philip St
797.address,6612 Cnal Blvd,6612 Canal Blvd
1937.address,730 IENVILLE ST,730 BIENVILLE ST
1722.namevalue,339 Carondeelt St Apt 3B,339 Carondelet St Apt 3B
2577.address,1663 N Vilere St,1663 N Villere St
599.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9670071107294, -90.0635172121727)"
431.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9351768759875, -90.1092055854801)"
1014.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9402769450353, -90.1117162537538)"
439.locationvalue,"(29.94521586214, -90.0748345709834)","(29.9429389576808, -90.1156790242034)"
2148.locationvalue,"(29.9516904453473, -90.048138567k5915)","(29.9516904453473, -90.0481385675915)"
1664.locationvalue,"(29.9614736430167, -90.0345747956616)","(28.0988907068706, -101.517799134252)"
162.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9476686570945, -90.0733220727844)"
142.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9717418191606, -90.0883823650299)"
480.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9238711527892, -90.0829069682814)"
2722.x,3680105.68,3680096.68
469.type,Short Term Rntal Residential Owner,Short Term Rental Residential Owner
2183.type,Short Term Rental Residentila Owner,Short Term Rental Residential Owner
1687.expirationdate,03/01/2023 12:00:0 0AM,03/01/2023 12:00:00 AM
1294.locationvalue,"(29.9627907980921, -90.0576065708806)","(29.9423948643329, -90.0760720264953)"
1576.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9719529928893, -90.087905949131)"
1182.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9726415477961, -90.098381080692)"
1485.namevalue,637 Gllier St,637 Gallier St
1059.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9302528669116, -90.1020766585802)"
1223.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9668239095322, -90.0564322255128)"
1510.locationvalue,"(29.9627907980921, -90.0576065708806)","(29.9672514597241, -90.0414206232016)"
494.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9482085191864, -90.073328866005)"
875.namevalue,1719 St AndrewSt,1719 St Andrew St
984.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9511876529777, -90.0710887488945)"
924.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9692367729003, -90.0922457102822)"
362.locationvalue,"(29.9295658135833, -90.1043947464636)","(30.0153848761426, -90.0499971216042)"
1881.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9636870624658, -90.0363562840833)"
114.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9771241994762, -90.0578615108104)"
536.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9345689903953, -90.1074720165193)"
1788.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9673444996746, -90.0382039079548)"
1560.expirationdate,03/01/2023 12:00:m00 AM,03/01/2023 12:00:00 AM
1172.locationvalue,"(29.9580154964913, -90.0871467011987)","(30.1397141248302, -89.7524039396849)"
148.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9477025588808, -90.0733099925197)"
2602.address,623 Broadway tS,623 Broadway St
399.locationvalue,"(29.9453933043394, -90.049996322177)","(29.968107338184, -90.0623816208588)"
18.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9327171725867, -90.072623855756)"
281.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9678787845037, -90.0870785818301)"
1560.namevalue,HARRAH'S PYODRAS HOTEL,HARRAH'S POYDRAS HOTEL
1495.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9701055472142, -90.0999681170342)"
1465.locationvalue,"(29.9627907980921, -90.0576065708806)","(29.954139158462, -90.0748011227687)"
215.namevalue,7r810 Spruce St,7810 Spruce St
702.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9545867971909, -90.1171655152437)"
2570.x,3672237.06,3672228.06
1988.namevalue,GRDEN DISTRICT B & B,GARDEN DISTRICT B & B
1834.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9637048049069, -90.0361503222757)"
218.address,334 Carodnelet St Unit 201,334 Carondelet St Unit 201
866.namevalue,242 Soniat St,2420 Soniat St
1701.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9411693081671, -90.0700670268632)"
2084.address,1207 Carondelext St Unit D,1207 Carondelet St Unit D
615.type,Short Termi Rental Residential Owner,Short Term Rental Residential Owner
16.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9327212215258, -90.072647484365)"
1093.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9168938170886, -90.1083005219003)"
1757.namevalue,HOTEL PROVNCIAL,HOTEL PROVINCIAL
911.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9681200853784, -90.0633744669423)"
1142.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9456875198208, -90.0715073740242)"
1701.expirationdate,10/25/2023 11:5959 PM,10/25/2023 11:59:59 PM
2127.type,Short Term Retnal Residential Owner,Short Term Rental Residential Owner
1024.expirationdate,07/12/2023 11:595:9 PM,07/12/2023 11:59:59 PM
537.type,Shor tTerm Rental Commercial Owner,Short Term Rental Commercial Owner
1359.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9510560784958, -90.0716721581592)"
420.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9776353636583, -90.0885858973275)"
1853.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9731160637613, -90.0989973820183)"
117.namevalue,334 Carondelet St Uni 204,334 Carondelet St Unit 204
467.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9469929394746, -90.0703747276164)"
1763.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9515962984836, -90.0728784025662)"
1747.type,Short Term Rental Residential wner,Short Term Rental Residential Owner
387.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9680408302824, -90.0623745720656)"
654.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9718453727797, -90.1051841766815)"
1823.locationvalue,"(29.9662728133743, -90.0590256023681)","(30.002082539245, -90.1027831799391)"
2244.namevalue,13b0 S Scott St,130 S Scott St
2612.namevalue,1404 Magazine Swt Apt 2A,1404 Magazine St Apt 2A
641.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9372018777808, -90.0825117204295)"
1075.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9487956957218, -90.0460076933042)"
1083.address,7516 Wijllow St,7516 Willow St
1134.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9791437299255, -90.0936763141655)"
1301.address,122 Winthro Pl,122 Winthrop Pl
1891.type,4701 - HOTELS (EXC CASINO HOTELS) & MOTESL,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
831.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9717800982758, -90.098004129756)"
521.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9743927335736, -90.0879244178875)"
858.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9949818679503, -90.0513357907694)"
544.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9750553723491, -90.0990026673118)"
544.namevalue,40j19 Iberville St,4019 Iberville St
1226.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9683726255635, -90.061968339967)"
1631.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9654718363194, -90.0602688642412)"
1006.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.946095177903, -90.0818003737084)"
907.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9501345666347, -90.0688545001648)"
320.locationvalue,"(29.9627907980921, -90.0576065708806)","(30.0419119248886, -89.9759398624849)"
630.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.963716922785, -90.0558838852005)"
1007.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9518495579981, -90.0714967458248)"
1712.locationvalue,"(29.9419771752916, -90.0721996382078)","(29.9520868739067, -90.0726278141096)"
324.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9194187379123, -90.0931323663497)"
925.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.968095404835, -90.0634101554456)"
273.address,28 Girod St Apt 302,828 Girod St Apt 302
437.namevalue,159 Louisa St,1529 Louisa St
2757.namevalue,4835 Perriier St,4835 Perrier St
868.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9294840698467, -90.103981214099)"
645.locationvalue,"(29.9314269620729, -90.0734543476571)","(29.9348670268417, -90.1089092791595)"
2701.namevalue,919 BartholomewS t,919 Bartholomew St
1619.expirationdate,04/25/0223 11:59:59 PM,04/25/2023 11:59:59 PM
1319.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9524268080906, -90.0684920067359)"
811.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9345017424027, -90.0858140857151)"
965.locationvalue,"(29.9744625699782, -90.0501922802849)","(29.9501479278694, -90.0689142037477)"
1087.locationvalue,"(29.9631985868449, -90.0308718428603)","(29.9760113686255, -90.0577658487023)"
1782.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9443943986815, -90.1050029665776)"
576.address,309 Lowerline Stg Apt A,309 Lowerline St Apt A
1857.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9539374097094, -90.071655182224)"
1464.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.95085151408, -90.0682189596129)"
1284.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9524322232006, -90.0685432543855)"
104.expirationdate,1217/2022 11:59:59 PM,12/17/2022 11:59:59 PM
443.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.9702268378075, -90.0685099159636)"
714.locationvalue,"(29.9342046282006, -90.0904361083713)","(29.9458118434045, -90.0660733620094)"
1949.namevalue,THE QUEEN ANNE OTEL,THE QUEEN ANNE HOTEL
1312.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9524692187072, -90.0685183430965)"
583.locationvalue,"(29.9662728133743, -90.0590256023681)","(29.9762656669112, -90.1104593469301)"
2470.locationvalue,"(30.0193003021028, -9.00492253220892)","(30.0193003021028, -90.0492253220892)"
1273.type,Short Term Rental Resipdential Owner,Short Term Rental Residential Owner
1355.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9524348108107, -90.0685835798767)"
393.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9637406451085, -90.0555627626242)"
817.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9205900939023, -90.1030031056976)"
1617.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.938003354566, -90.071251779625)"
1663.type,4703 - BED & BREAKFAT INNS,4703 - BED & BREAKFAST INNS
29.type,Sort Term Rental Commercial Owner,Short Term Rental Commercial Owner
168.locationvalue,"(29.9683446718947, -90.0556404613279)","(29.9477188031456, -90.0733234921454)"
1866.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9477369305066, -90.0710434565838)"
2432.locationvalue,"(29.9468880675529, -90.068260678233)1","(29.9468880675529, -90.0682606782331)"
711.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9778651799274, -90.0472777903124)"
48.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9638868266176, -90.0966842992805)"
435.locationvalue,"(29.9616228114612, -90.0334810547912)","(29.9242494609078, -90.0979765610537)"
754.address,2455 Lahbarpe St,2455 Laharpe St
1475.expirationdate,03/01/2023 12:00:00 AM***,03/01/2023 12:00:00 AM
1368.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.945611962483, -90.0648823536018)"
741.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.978727665273, -90.0904841337084)"
1083.locationvalue,"(29.9684668112717, -90.074357136476)","(29.9449165517956, -90.1237938259152)"
1627.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9282835433775, -90.0927077915448)"
1654.locationvalue,"(29.9298825295208, -90.0755864593125)","(29.970065165424, -90.0367637223683)"
2130.namevalue,121 St Roch Ave,1231 St Roch Ave
26.locationvalue,"(29.9327357007606, -90.0727235818619)","(29.950500721834, -90.1329010717728)"
2559.address,9v520 Palm St,9520 Palm St
882.expirationdate,03/01/203 12:00:00 AM,03/01/2023 12:00:00 AM
2624.expirationdate,03/01/2023 21:00:00 AM,03/01/2023 12:00:00 AM
617.locationvalue,"(29.9397085402145, -90.0769715356914)","(29.9756763837015, -90.0553837605415)"
2299.locationvalue,"(29.9645663470612, -90.066241115r7314)","(29.9645663470612, -90.0662411157314)"
1079.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.976398947661, -90.0349185971235)"
1451.type,Short Term Rental oCmmercial Owner,Short Term Rental Commercial Owner
167.locationvalue,"(29.935070719781, -90.1066658406292)","(29.9475841852321, -90.0735986233234)"
1457.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9374731911349, -90.0714088532692)"
533.expirationdate,04/26/2023 11:59:59 MP,04/26/2023 11:59:59 PM
372.address,501 N Salcedjo St,501 N Salcedo St
1375.locationvalue,"(29.9337663755801, -90.0882303310459)","(30.1382641412365, -89.7543530283708)"
294.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9726738956971, -90.0526574622485)"
1425.locationvalue,"(29.9280167627574, -90.0751408186039)","(29.9547126434303, -90.0693107509001)"
1354.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9290813721318, -90.1053398134805)"
2101.locationvalue,"(9.9464632228204, -90.1262129648475)","(29.9464632228204, -90.1262129648475)"
1553.locationvalue,"(29.9477068959041, -90.0733263897616)","(29.9508982340391, -90.0713372085431)"
2164.type,Short Term Rental Resdidential Owner,Short Term Rental Residential Owner
61.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9398435443459, -90.0781160174843)"
2629.locationvalue,"(29.956410991359, -90.1171260063338)","(29.9564109910359, -90.1171260063338)"
2094.namevalue,336 BellevilleS t,336 Belleville St
140.locationvalue,"(29.9327405195896, -90.0727472007548)","(29.9489492606497, -90.0513173889839)"
1403.expirationdate,03/01/2023 12:000:0 AM,03/01/2023 12:00:00 AM
1529.address,1020 Rac St Apt 3,1020 Race St Apt 3
662.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9488106017053, -90.1014255414927)"
672.address,840 Valenc St,840 Valence St
218.expirationdate,08/02/2023 11:59:59 aPM,08/02/2023 11:59:59 PM
2266.y,530503.6,530409.6
585.locationvalue,"(29.9717143374146, -90.0884046281747)","(29.9524269042152, -90.0498298175783)"
1467.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.963663947066, -90.0362403278799)"
2670.namevalue,3339 Dauphne St,3339 Dauphine St
1536.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9644165808961, -90.0581668481202)"
447.address,1v726 Clio St,1726 Clio St
1651.namevalue,MONTELEONE OHTEL,MONTELEONE HOTEL
1053.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9680905124806, -90.0623792137146)"
1522.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9701827447005, -90.1028271325458)"
564.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.9612262519371, -90.0605305332607)"
383.locationvalue,"(29.9337663755801, -90.0882303310459)","(29.9530744008438, -90.0683228057203)"
623.locationvalue,"(29.9477103063624, -90.0733695134786)","(29.9341443607649, -90.0719659910585)"
1438.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9636563084465, -90.0363358391526)"
1123.expirationdate,08/24/2023 1:59:59 PM,08/24/2023 11:59:59 PM
1192.locationvalue,"(29.9627907980921, -90.0576065708806)","(29.9545191520923, -90.0446743784452)"
1424.locationvalue,"(29.9606030466068, -90.0892656704537)","(29.922508102827, -90.0893621866867)"
1331.expirationdate,03/01/2023 12:00:m00 AM,03/01/2023 12:00:00 AM
1405.address,2t466 BURGUNDY ST,2466 BURGUNDY ST
778.type,Short Term Rental Resiedntial Owner,Short Term Rental Residential Owner
106.locationvalue,"(29.9605816137577, -90.0892762017721)","(29.9790585780278, -90.0963903685695)"
2377.expirationdate,08/02/0223 11:59:59 PM,08/02/2023 11:59:59 PM
1789.namevalue,3085 Constance St,3805 Constance St
1507.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9624548921361, -90.0118438279988)"
567.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9649581420138, -90.0393203094523)"
1153.locationvalue,"(29.9327284399725, -90.0726833232675)","(29.9547236526666, -90.071935751179)"
681.type,Short Term Rental Commcercial Owner,Short Term Rental Commercial Owner
1989.namevalue,ROYeAL PALMS MOTEL,ROYAL PALMS MOTEL
1418.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.968025104864, -90.0922310379987)"
2405.x,3680163.68,3680096.68
1350.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9638247117507, -90.0730780537121)"
1326.locationvalue,"(29.9453933043394, -90.049996322177)","(29.9607743098676, -90.0613535721913)"
595.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9319934698995, -90.0746904373375)"
923.namevalue,2545 BAYOUROAD,2545 BAYOU ROAD
1265.type,Short Term Rental Residenital Owner,Short Term Rental Residential Owner
1000.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9356787665689, -90.0813383264914)"
591.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.979763545545, -90.0784324308595)"
1586.address,711 S Peters St Pnet 402,711 S Peters St Pent 402
1649.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9507511704119, -90.0701086204368)"
2715.locationvalue,"(29.9715019217653, -a90.0736935407586)","(29.9715019217653, -90.0736935407586)"
1624.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9631040034846, -90.0575847720349)"
1423.type,Short Term Rental Commrcial Owner,Short Term Rental Commercial Owner
1753.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9738795311551, -90.0952342603009)"
1104.locationvalue,"(28.0988907068706, -101.517799134252)","(29.9459217456996, -90.0660774923283)"
1026.type,Short Term Rental Residentia Owner,Short Term Rental Residential Owner
2755.y,525138.03,525122.03
921.type,Short Term Rental Residentil Owner,Short Term Rental Residential Owner
1472.locationvalue,"(29.9295658135833, -90.1043947464636)","(29.9636817598292, -90.0362061130832)"
1064.locationvalue,"(29.9614736430167, -90.0345747956616)","(29.9680940906139, -90.0624735102331)"
57.locationvalue,"(29.9580154964913, -90.0871467011987)","(29.9764028434338, -90.1113335966288)"
132.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9718858107843, -90.1142422770472)"
569.locationvalue,"(30.0946255291455, -89.7670573024888)","(29.9726690375001, -90.0845254358618)"
2098.type,Shrt Term Rental Residential Owner,Short Term Rental Residential Owner
876.locationvalue,"(29.9663236986569, -90.0626983550869)","(29.9746231719249, -90.0970557987469)"
92.locationvalue,"(29.9298147625628, -90.0924066302005)","(29.9398852584073, -90.0781733071033)"
1181.locationvalue,"(29.9436221825203, -90.0784593414273)","(29.9584033948198, -90.0667506755799)"
1387.namevalue,MAISON ROYcAL,MAISON ROYAL
1931.type,4701 - HOTELS (EXC CASINO HOTELS) & wMOTELS,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS
1774.locationvalue,"(29.9452594846043, -90.0747577308854)","(29.9636184104163, -90.0544306621132)"
401.locationvalue,"(29.9409105746801, -90.0673505685156)","(29.9656632340657, -90.066078047934)"
797.type,Sort Term Rental Residential Owner,Short Term Rental Residential Owner
