namevalue,address,type,bedroomlimit(double precision),guestlimit(double precision),expirationdate,locationvalue,x(double precision),y(double precision)
1410 Erato St,1410 Erato St,Short Term Rental Commercial Owner,2.0,4.0,04/03/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3680078.86,525664.25
339 Carondelet St Apt 4F,339 Carondelet St Apt 4F,Short Term Rental Commercial Owner,1.0,2.0,11/14/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3680361.61,529922.53
334 Carondelet St Unit 211,334 Carondelet St Unit 211,Short Term Rental Commercial Owner,1.0,2.0,11/02/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3680475.6,529805.66
420 S Bernadotte St,420 S Bernadotte St,Short Term Rental Residential Owner,1.0,2.0,02/22/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3667996.72,538927.04
2226 Columbus St,2226 Columbus St,Short Term Rental Residential Owner,2.0,4.0,02/21/2023 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3679832.56,538598.42
336 Olivier St,336 Olivier St,Short Term Rental Residential Owner,2.0,4.0,05/05/2023 11:59:59 PM,"(29.9717143374146, -90.0884046281747)",3687288.42,530468.32
505 Frenchmen St,505 Frenchmen St,Short Term Rental Commercial Owner,1.0,2.0,05/02/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3684821.85,534209.51
3529 St Claude Ave,3529 St Claude Ave,Short Term Rental Commercial Owner,2.0,4.0,08/07/2023 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3690716.8,535691.11
"SONDER USA, INC.",201 N RAMPART ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9314269620729, -90.0734543476571)",3680252.24763,531998.461507
4114 Erato St,1414 Erato St,Short Term Rental Commercial Owner,2.0,4.0,04/03/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3680046.49,525683.81
1429 N Claiborne Ave Apt H,1429 N Claiborne Ave Apt H,Shordt Term Rental Commercial Owner,1.0,2.0,11/15/2023 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3681266.38,536901.86
2819 Grand Route St John St,2819 Grand Route St John St,Short Term Rental Residential Owner,1.0,2.0,10/13/2023 09:13:47 AM,"(29.9436221825203, -90.0784593414273)",3678122.15,540308.63
401 Baronne St,401 Baronne St,Short Term Rental Commercial Owner,3.0,6.0,04/03/2023 11:59:59 PM,"(29.9477103063624, -90.0733695134786)",3679969.9,529861.48
2826e St Louis St,2826 St Louis St,Short Term Rental Commercial Onwer,2.0,4.0,04/05/2023 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3675510.69,536673.7
1416 Erato St,1416 Erato St,Short Term Rental Commercial Owner,2.0,4.0,04/03/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3680035.11,525690.41
1919 Sophie Wright Pl Unit 3,1919 Sophie Wright Pl Unit 3,Short Term Rental Commercial Owner,2.0,4.0,04/08/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3679497.59,522950.65
1738 Henriette Delille St Apt G,1738 Henriette Delille St Apt G,Short Term Rental Commecial Owner,1.0,2.0,04/07/2023 11:59:59 PM,"(28.0988907068706, -101.517799134252)",3683254.37,536085.17
339 Carondelet St Apt 4E,339 Carondelet St Apt 4E,Short Term Rental Commercial Owner,1.0,2.0,04/03/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3680368.42,529920.17
4106 Duplessis St,4106 Dupelssis St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9295658135833, -90.1043947464636)",3678296.51,547330.68
1130 Kerlerec St,1130 Kerlerec St,Short Term hRental Commercial Owner,3.0,6.0,11/02/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3682895.37,535721.93
1479 N rPieur St,1479 N Prieur St,Short Term Rental Residential Owner,1.0,2.0,04/07/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3680808.29,537809.2
3029 Lafitte Ave,3029 Lafitte Ave,Short Term Rental Commercial Owner,2.0,4.0,03/31/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3675119.67,537270.91
3808 Bienville Ave,3808 Bienville Ave,Short Term Rental Commercial Owner,2.0,4.0,04/06/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3672446.22,538226.23
606 Iberville St Apt 3A,606 Iberville St Apt 3A,Short Term Rental Commercial uOwner,2.0,4.0,03/09/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3681635.1,530809.41
2131 Pauger St,2131 Pauger St,Short Term Rental Residential Owner,3.0,6.0,04/07/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3683792.57,537580.34
140 Millaudon St,140 Millaudon St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9295658135833, -90.1043947464636)",3660857.5,523528.87
2202 Royal St,2202 Royal St,Short Term Rental Commercial Owner,5.0,10.0,02/08/2023 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3685259.28,534852.26
1022 Race St Apt 1,1022 Race St Apt 1,Short Term Rental Commercial Owner,1.0,2.0,05/26/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3680354.62,523751.29
3229G rand Route St John St,3229 Grand Route St John St,Short Term Rental Residential Owner,3.0,6.0,05/24/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3675758.71,540378.62
4317 S Miro St,4317 S Miro St,Short Term Rental Residential Owner,4.0,8.0,05/23/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3670373.91,527898.25
CHATEAU ESPLANADE,1261 ESPLANADE AVE,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9436221825203, -90.0784593414273)",3682245.88655,535893.628039
1453 N Rocheblave St,1453 N Rocheblave St,Short Term Rental Residential Owner,2.0,4.0,05/25/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3679327.88,538797.2
7001 Bellair Dr,7001 Bellaire Dr,Short Term Rental Residential Owner,2.0,4.0,06/15/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3664758.51,554334.24
2623 Penison St,2623 Peniston St,Short Term Rental Residential Owner,3.0,6.0,06/14/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3672035.01,524777.66
2529 Marengo St,2529 Marengo St,Short Term Rental Residential Owner,2.0,4.0,06/16/2023 11:59:59 PM,"(29.9362238388348, -90.0993604988315)",3671667.3,524403.98
4216 N Robertson St Apt B,4216 N Robertson St Apt B,Short Termi Rental Residential Owner,3.0,6.0,06/14/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3692926.09,536562.5
1412 Lesseps St,1412 Lesseps St,Short Term Rental Residential Owner,2.0,4.0,06/16/2023 11:59:59 PM,"(29.9627907980921, -90.0576065708806)",3692962.43,536324.98
2260 N Roman St,2260 N Roman St,Short Term Rental Residential Owner,3.0,6.0,07/04/2023 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3685435.4,538903.03
600 Canal St Apt 300,600 Canal St Apt 300,Short Term Rental Commercial Owner,2.0,4.0,07/13/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3681382.72,530418.02
2122 Adams St,2122 Adams St,Short Term Rental Residential Owner,3.0,6.0,05/25/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3665277.88,529896.25
1034 Napoleon Ave,1034 Napoleon Ave,Short Term Rental Residential Owner,3.0,6.0,05/10/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3670894.01,519442.13
738 Jackson Ave,738 Jackson Ave,Short Term Rental Residential Owner,3.0,6.0,05/24/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3679510.93,521140.96
3937 Camp St Apt 1,3937 Camp St Apt 1,Short Term Rental Residential Owner,3.0,6.0,05/24/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3672682.42,519388.51
1022 Race St Apt 2,1022 Race St Apt 2,Short Term Rental Commercial Owner,2.0,4.0,05/26/2023 11:59:59 PM,"(29.9477103063624, -90.0733695134786)",3680351.89,523742.28
3416 Franklin Ave,3416 Franklin Ave,Short Term Rental Residential vOwner,2.0,4.0,05/24/2203 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3687107.56,545651.33
1014 Canal St Apt g203,1014 Canal St Apt 203,Short Term Rental Commercial Owner,2.0,4.0,05/25/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3680127.99,531337.68
822 Valence St***,822 Valence St,Short Term Rental Residential Owner,1.0,2.0,05/24/2023 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3669915.2,518488.32
3726 Baudin St,3726 Baudin St,Short Term Rental Residential Owner,2.0,4.0,05/26/2023 11:59:59 PM,"(29.9687139909187, -90.1005070615226)",3671177.05,536214.72
2310 Soniat St,2310 Soniat St,Short Term Rental Commercial Owner,3.0,6.0,05/24/2023 11:59:59 PM,"(29.9397085402145, -90.0769715356914)",3668458.0,524036.32
1419 Constance St,1419 Constance St,Short Term Rental Residential Owner,3.0,6.0,05/25/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3680654.13,524280.73
2213 Chartres St,2213 Chartres St,Short Term Rental Commercial wOner,1.0,2.0,12/15/2022 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3685325.55,534552.36
1022 Race St Apt 5,1022 Race St Apt 5,ShortTerm Rental Commercial Owner,2.0,4.0,05/26/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3680345.34,523716.35
1476 N Claiborne Ave,1476 N Claiborne Ave,Short Term Rental Commercial Owner,3.0,6.0,03/06/2023 11:59:59 PM,"(29.935070719781, -90.1066658406292)",3681770.05,537048.4
1520 Leda St,1520 Leda St,Short Term Rental Residential Owner,3.0,6.0,05/25/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3675700.39,541598.33
433 S Solomon St,433 S Solomon St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(30.0946255291455, -89.7670573024888)",3669653.86,537555.0
1835 Elysian Fields Ave,1835 Elysian Fields Ave,Short Term Rental Commercial Owner,5.0,10.0,04/11/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3684895.74,539168.95
2510 Jenpa St Apt B,2510 Jena St Apt B,Short Term Rental Commercial Owner,2.0,4.0,04/10/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3670060.7,524104.28
2019 Calhoun St,2019 Calhoun St,Short Term Rental Residential Owner,2.0,4.0,04/10/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3665623.13,524574.71
1000 Clouet St,1000 Clouet St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9580154964913, -90.0871467011987)",3688877.73,535606.33
2406 St Bernard Ave,246 St Bernard Ave,Short Term Rental Commercial Owner,2.0,4.0,09/15/2023 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3680659.05,540593.12
300 33Rd St,300 s33Rd St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9605816137577, -90.0892762017721)",3665241.48,550925.7
2w120 Oretha Castle Haley Blvd,2120 Oretha Castle Haley Blvd,Short Term Rental Commercial Owner,4.0,8.0,12/13/2022 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3676999.69,524817.49
1906 Josephine St,1906 Josephine St,Short Term Rental Commercial Owner,2.0,4.0,12/12/2022 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3677037.61,525024.69
26300 Chef Menteur Hwy,26300 Chef Menteur Hwy,Short Term Rental Commercial Owner,3.0,6.0,12/14/2022 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3785088.67,603920.71
628 S Tonti St,628 S Tonti St,Short Term Rental Commercial Owner,5.0,10.0,12/15/2022 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3675128.21,532488.56
5016 Freret St Apt B,5016 Freret St Apt B,Short Term Rental Commercial Owner,2.0,4.0,05/24/2023 11:59:59 PM,"(29.9314269620729, -90.0734543476571)",3668648.32,523878.15
1014 Canal St Apt 201,1014 Canal St Apt 201,Short Term Rental Commercial Owner,2.0,4.0,05/25/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3680135.8,531347.31
2526 Bienville Ave,2526 Bienville Ave,Short Term Rental Residential Owner,3.0,6.0,05/10/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3676383.71,535203.8
426 Gravier St Apt 301,426 Gravier St Apt 301,Short Term Rental Commercial Ownre,4.0,8.0,12/08/2022 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3681759.7,529596.88
710 Octavia St,710 Octavia St,Short Term Rental Residential Owner,2.0,4.0,04/41/2023 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3666341.2,518589.9
916 St Ferdinand St A,916 St Ferdinand St A,Short Term ental Residential Owner,2.0,4.0,04/08/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3687508.82,535680.91
2350 Magazine St,2350 Magazine St,Short Term Rental Residential Owner,2.0,4.0,05/22/2023 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3678230.97,521558.96
3019 Lafitte Ave,3019 Lafitte Ave,Short Term Rental Residential Owner,1.0,2.0,05/25/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3675174.96,537231.55
642 S Rocheblave St,642 S Rocheblave St,Short Term Rental Commercial Owner,5.0,10.0,04/1/12023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3674729.36,532587.11
4136 Baudin St,4136 Baudin St,Short Term Rental Residential Owner,2.0,4.0,04/14/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3669684.01,537337.51
MAZANT HOLDING,906 MAZANT ST,4703 - BED & BREAKFAST INNS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9605816137577, -90.0892762017721)",3691892.60329,534543.874757
2323 Dauphine St,2323 Dauphine St,Short Term Rental Residential Owner,2.0,4.0,50/25/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3685685.01,535361.03
211 S Solomon St,211 S Solomon St,Short Term Rental Residential Owner,1.0,2.0,05/26/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3670240.67,538334.23
608 Iberville St Apt 2A,608 Iberville St Apt 2A,Short Term Rental Commercial Ownr,2.0,4.0,05/25/2023 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3681624.75,530828.0
334 Carondelet St Unit 301,334 Carondelet St Unit 301,Short Term Rental Commercial Owner,3.0,6.0,04/10u/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3680522.9,529887.64
5523 S Rocheblave St,5523 S Rocheblave St,Short Term Rental Residential Owner,2.0,4.0,04/13/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3668353.21,528472.39
1630 N Broad St,1630 N Broad St,Short Term Rental Residential Owner,3.0,6.0,04/13/2023 11:59:59 PM,"(29.9797552672736, -90.0746251213215)",3679327.49,540318.84
3900 Delachaise St,3900 Delachaise St,Short Term Rental Residential Owner,2.0,4.0,04/10/2023 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3670964.06,528973.96
"1626 Martin Luther King, Jr Blvd","1626 Martin Luther King, Jr Blvd",Short Term Rental Commercial Owner,5.0,10.0,04/11/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3678966.38,525637.44
2470 Royal St,2470 Royal St,Short Term Rental Residential Owner,3.0,6.0,04/28/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3686475.99,534949.96
5525 S Saratoga St,5525 S Saratoga St,Short Term Rental Residential Owner,2.0,4.0,05/23/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3667088.14,522770.93
606 Iberville St Apt 2A,606 Iberville St Apt 2A,Short Term Rental Commercial Owner,2.0,4.0,03/09/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3681640.81,530817.65
3014 St Ann St,3014 St Ann St,Short Term Rental Residential Owner,2.0,4.0,05/24/202 311:59:59 PM,"(29.9614736430167, -90.0345747956616)",3675802.02,538027.11
5128 Freret St,5128 Freret St,Short Term Rental Commercial Owner,4.0,8.0,05/25/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3668300.22,523886.84
2856 Dryades St,2856 Dryades St,Short Term Rental Residential Owner,2.0,4.0,05/25/2023 11:59:59 PM,"(29.9614736430167, -90.0345747956616)",3674949.23,523155.48
3330 Iberville St,3330 Iberville St,Short Term Rental Residential Owner,1.0,2.0,05/26/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3673619.58,536848.51
608 Iberville St Apt 3A,608 Iberville St Apt A3,Short Term Rental Commercial Owner,2.0,4.0,05/25/2023 11:59:59 PM,"(29.9337663755801, -90.0882303310459)",3681616.09,530820.4
840 Valence St,840 Valenc St,Short Term Rental Commercial Owner,3.0,6.0,04/14/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3669897.02,518634.81
2420 Laurel St,2420 Laurel St,Short Term Rental Residential Owner,2.0,4.0,04/11/2023 11:59:59 PM,"(29.9744625699782, -90.0501922802849)",3678342.3,520758.84
1115 Margaret Pl Unit 203,1115 Mrgaret Pl Unit 203,Short Term Rental Commercial Owner,2.0,4.0,04/12/2023 11:59:59 PM,"(29.94521586214, -90.0748345709834)",3680207.67,526292.53
5608 Camp St,5608 Cam pSt,Short Term Rental Residential Owner,1.0,2.0,04/10/2023 11:59:59 PM,"(29.9327405195896, -90.0727472007548)",3666091.11,519203.22
640 S Rocheblave St,640 S Rocheblave St,Short Term Rental Commercial Owner,5.0,10.0,04/11/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3674736.56,532596.88
628 Baronne St Apt 302,628 Baronne St Apt 302,Short Term Rental Commercial Owner,2.0,4.0,11/02/2023 11:59:5 PM,"(29.9662728133743, -90.0590256023681)",3679848.45,528856.49
2241 aVlence St,2241 Valence St,Short Term Rental Residential Owner,1.0,2.0,04/10/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3669589.67,523206.22
1816 Dumaine St,1816 Dumaine St,Short Term Rental Residential Owner,3.0,6.0,04/14/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3679769.18,535465.25
151 Magazine St,1451 Magazine St,Short Term Rental Residential Owner,1.0,2.0,05/25/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3680228.32,524113.38
1624 Govenor Nicholls St,1624 Governor Nicholls St,Short Term Rental Commcercial Owner,5.0,10.0,04/12/2023 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3681053.66,535996.99
538 Jackson Ave,538 Jackson Ave,Short Term Rental Commercial Owner,2.0,4.0,04/11/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3679978.28,520524.06
944 Felicity St,944 Felicity tS,Short Term Rental Residential Owner,1.0,2.0,04/11/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3680238.79,522736.44
2908 Louisiana Ave,2908 Louisianna Ave,Short Term Rental Commercial Owner,3.0,6.0,04/12/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3672265.44,525811.37
38 Fnotainebleau Dr,38 Fontainebleau Dr,Short Term Rental Residential Owner,2.0,4.0,05/23/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3666030.71,531351.18
628 Kerlerec St,628 Kerlerec St,Short Term Rental Residential Owner,2.0,4.0,04/11/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3684308.25,534512.75
925 COMMON,925 COMMON ST,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9684668112717, -90.074357136476)",3679946.17397,530891.414786
840 Bartholomew St,840 Bartholomew St,Short Term Rental Commercial Owner,5.0,10.0,05/24/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3691554.25,534442.76
4616 Cleveland ve,4616 Cleveland Ave,Short Term Rental Residential Owner,2.0,4.0,06/12/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3669003.98,539360.67
1910 Josephine St,1910 Josephine St,Short Term Rental Commercial Owner,2.0,4.0,12/12/2022 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3677030.2,525035.27
TRIDENT INN AND SUITES,12340 I -10 SERVICE RD,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,2.0,4.0,03/01/2023 12:00:00 AM,"(28.0988907068706, -101.517799134252)",60.0,-1.0
2316 Bienville Ave,2316 Bienville Ave,Short Term Rental Residential Owner,1.0,2.0,3/01/2023 12:00:00 AM,"(29.9452594846043, -90.0747577308854)",3677011.05,534742.64
526 S Dorgenois St,526 S Dorgenois St,Short Term Rental Commercial Owner,4.0,8.0,12/14/2022 11:59:59 PM,"(29.9327284399725, -90.0726833232675)",3674728.87,533251.0
4913 St Bernard Ave,4913 St Bernard Ave,Short Term Rental Residential Owner,3.0,6.0,03/01/2023 12:00:00 AM,"(29.9714405956674, -90.0641104592225)",3676817.21,550335.2
853 Olga St,853 Olga St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9580154964913, -90.0871467011987)",3673310.02,540188.06
339 Carondelet St Apt 2A,339 Carondelet St Apt 2A,Short Term Rental Commercial Owner,1.0,2.0,11/03/2023 11:95:59 PM,"(28.0988907068706, -101.517799134252)",3680390.29,529889.13
4153 State Street Dr,4153 State Street Dr,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9327284399725, -90.0726833232675)",3668475.64,530976.59
2620 Magazine St Unit A,2620 Magazine St Unit A,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9327405195896, -90.0727472007548)",3677427.09,521010.61
2334 Laurel St,2334 Laurel St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9436221825203, -90.0784593414273)",3678771.31,521039.1
524 S Dorgenois St,524 S Dorgenois St,Short Term Rental Commercial Owner,4.0,8.0,12/14/2022 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3674737.26,533260.62
2211 Chartres St,2211 Chartres St,Short Term Rental Commercial Owner,1.0,2.0,12/15/2022 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3685312.44,534550.33
7736 Nelson St,7736 Nelson St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9409105746801, -90.0673505685156)",3665957.29,531021.16
2901 Lepage St Apt 1,2901 Lepage St Apt 1,Short Term Rental Residential Owner,4.0,8.0,03/01/2023 12:00:00 AM,"(29.9327357007606, -90.0727235818619)",3677207.21,539981.59
1416 Carondelet St Unit C,1416 Carondelet St Unit C,Short Term Rental Commercial Owner,2.0,4.0,11/01/223 11:59:59 PM,"(29.9605816137577, -90.0892762017721)",3678958.92,525866.62
2122 Oretha Castle Haley Blvd,2122 Oretha Castle Haley Blvd,Short Trm Rental Commercial Owner,4.0,8.0,12/13/2022 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3676989.54,524811.99
1645 Lesseps St,1645 Lesseps St,Short Term Rental Commercial Owner,3.0,6.0,12/15/2022 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3693282.64,537276.69
3102 tS Ann St,3102 St Ann St,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9663236986569, -90.0626983550869)",3675409.57,538330.66
1937 Almonaster Ave,1937 Almonaster Ave,Short Term Rental Commercial Owner,2.0,4.0,12/13/2022 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3687995.31,539737.09
5926 St Claude Ave,5926 St Claude Ave,Short Term Rental Commercial Owner,2.0,4.0,11/02/2023 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3699112.63,533414.57
637 S Dupre St,637 S Dupre St,Short Term Rental Commercial Owner,5.0,10.0,12/10/2022 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3673244.25,533944.14
1935 Almonaster Ave,1935 Almonaster Ave,Short Term Rental Commercial Owner,2.0,4.0,12/13/2022 11:59:59 PM,"(29.9436221825203, -90.0784593414273)",3687992.73,539727.67
628 Baronne St Apt 301,628 Baronne St Apt 301,Short Term Rental Commercial Owner,2.0,4.0,12/12/2022 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3679840.95,528858.16
2435 Gravier St,2435 Gravier St,Short Term Rental Commercial Owner,3.0,6.0,11/01/2023 11:59:59 PM,"(29.9295658135833, -90.1043947464636)",3674981.13,532876.48
711 S Peters St Apt 306,711 S Peters St Apt 306,Short Term Rental Commercial Owner,2.0,4.0,01/25/2023 12:00:00 AM,"(29.9342046282006, -90.0904361083713)",3682171.29,528005.59
1109 Governor Nicholls St Apt B,1109 Governor Nicholls St Apt B,Short Term Rental Commercial Owner,2.0,4.0,02/01/2023 11:59:59 PM,"(29.9606030466068, -90.0892656704537)",3682444.78,534943.79
2239 Laurel St,2239 Laurel St,Short Term Rental Residential Owner,2.0,4.0,01/30/2023 11:59:59 PM,"(29.9327357007606, -90.0727235818619)",3679015.76,521309.15
1214 Felicity St,1214 Felicity St,Short Term Rental Residential Owner,4.0,8.0,01/30/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3679563.96,523437.47
900 Bartholomew St Unit 411,900 Bartholomew St Unit 411,Short Term Rental Commercial Owner,2.0,4.0,07/06/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3691538.85,534605.75
1902 Burgnudy St,1902 Burgundy St,Short Term Rental Residentila Owner,1.0,2.0,07/07/2023 11:59:59 PM,"(29.9663236986569, -90.0626983550869)",3683982.38,535466.03
3470 Annunciation St,3470 Annunciation St,Short Term Rental Residential Owner,2.0,4.0,02/23/2023 11:59:59 PM,"(29.9452594846043, -90.0747577308854)",3674900.12,518347.92
2601 Marais St,2601 Marais St,Short Term Rental Commercial Owner,5.0,10.0,02/24/2023 11:59:59 PM,"(29.9699506312954, -90.0496908172654)",3687261.05,536841.08
532 S Miro St,532 S Miro St,Short Term Rental Commercial Owner,3.0,6.0,02/22/2023 1:59:59 PM,"(29.9327284399725, -90.0726833232675)",3675699.37,532696.32
512 Robert St,512 Robert St,Short Term Rental Commercial Owner,3.0,6.0,07/06/202k3 11:59:59 PM,"(29.9409105746801, -90.0673505685156)",3668568.8,517336.89
3537 Timber Bluff Ln,3537 Timber Bluff Ln,Short Term Rental Residential Owner,2.0,4.0,07/07/2023 11:59:59 PM,"(29.9580154964913, -90.0871467011987)",3704196.03,511288.03
189 Arts St,1829 Arts St,Short Term Rental Residential Owner,1.0,2.0,07/04/2023 11:59:59 PM,"(29.9298147625628, -90.0924066302005)",3687010.1,539300.51
12e27 Franklin Ave Apt A,1227 Franklin Ave Apt A,Short Term Rental Commerfcial Owner,2.0,4.0,04/19/2023 11:59:59 PM,"(29.9453933043394, -90.049996322177)",3687308.61,537025.54
722 N Claiborne Ave,722 N Claiborne Ave,Short Term Rental Commercial Owner,2.0,4.0,03/0/2023 11:59:59 PM,"(30.0946255291455, -89.7670573024888)",3679996.33,534725.6
1139 St AndrewSt,1139 St Andrew St,Short Term Rental Residential Owner,2.0,4.0,03/01/2023 12:00:00 AM,"(29.9605816137577, -90.0892762017721)",3679356.38,522929.28
754 City Park Ave Unit A,754 City Park Ave Unit A,Short Term Rental Residential Owner,1.0,2.0,03/01/2023 12:00:00 AM,"(29.9606030466068, -90.0892656704537)",3670888.22,541657.88
1606 Frenchmen St,1606 Frenchmen St,Short Term Rental Commercial Owner,4.0,8.0,07/06/2023 11:59:59 PM,"(29.9662728133743, -90.0590256023681)",3684401.68,538187.35
