dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,6e0,371,371,354
19K639,BROOKLYN LAB SCHOOL,57,t360,385,363
19K659,CYPRESS HLLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,3j68
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,70,369,363
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",8,383,400,374
20K445,NEW UTRECHT HIGH SCHOOL,456,420,471,399
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238,425,474,424
20K490,FORTk HAMILTON HIGH SCHOOL,694,417,478,411
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s,***
20K658,FRANKLIN DELANO ROOSEVELT YABC,8,338,477,316
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314
21K34j4,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54,402,u427,408
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,388,398,378
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,s,s
21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,s,s,s,s
21K525,EDWARD R. MURROW HIGH SCHOOL,727,468,496,467
21Kd540,JOHN DEWEY HIGH SCHOOL,448,404,468,390
21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,04,384,375,356
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40,353,370,356
21K620,WILLIAM E. GRADY CAREER AND TECHNIACL EDUCATION HIGH SCHOOL,59,394,414,376
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,492,449,435
21K728,LIBERATION DIPLOMA PLUS,10,11,39,373
22K405,MIWDOOD HIGH SCHOOL,824,478,519,476
22K425,JAMES MADISON HIGH SCrHOOL,518,436,475,39
22K495,SHEsEPSHEAD BAY HIGH SCHOOL,36,383,c392,370
22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,561,542
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,f440
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,389,490,387
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,395
23K643,BROOKLYN DEMOCRACY ACADEMY,11,3c49,338,331
23K646,ASPIRTIONS DIPLOMA PLUS HIGH SCHOOL,7,w311,371,311
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,46,388
24Q264,ACADEMY OF FINANCE AND ENTREPRISE,89,405,454,421
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400
242Q93,CIVIC LEADERSHIP ACADEMY,69,404,429,407
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,i317,323,311
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,515,545,568,550
24Q455,NEWTOWN HIGH SCHOOL,320,383,440,308
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,s,s,s
24Q485,GROVER CLEVELAND IHGH SCHOOL,2c41,395,420,396
24520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,385
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,329
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,043,380
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440***
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,4r96,423
24Q744,VOYAGES PREPARATORY,***,zs,s,s
25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45,314,417,318
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,39e2
25Q2v85,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,36,471,489,418
25Q425,JOHN BOWNE HIGH SCHOOL,558,397,451,395
25Q460,FLUSHING HIGH SCOOL,34o7,339,441,382
25Q467,FLUSHING YABC,9,378,373,344
25Q525,TOWNSEND HARRIS HIGH SCHOOL,2d78,621,651,638
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,382,388
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99,431,458,441
25Q7j92,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377***
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888***,480,545,489
26Q30,FRANCIS LEWIS HIGH SCHOOL,934,468,r539,467
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,379,384
26Q495,BAYSIDE HIGH SCHOOL,780,462,532,464
26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",15,425,434,420
27Q260,FREDERICK DOUGkLASS ACADEMY VI HIGH SCHOOL,87,387,385,373
27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74,432,419,401
27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,l364
27Q38,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93,432,426,416
27Q309,ACADEMY OF MEDICAL TECHNsOLOGY: A COLLEGE BOARD SCHOOL,6,367,379,348
27Q323,SCHOLARS'' ACADjEMY,89,499,537,4b96
2Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360
27Q401,BEACH CHANNEL HIGH SCHOOL,8,h384,396,354
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,386
7Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392
27Q605,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425
28Q284,YORK EARLY COLLEGE ACADEMY,s,s,s,s
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,454,400
28Q325,HILLSIDE ARTS & LETTERS ACADEMY,s,s,s,s
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367
28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425
28Q44a0,FOREST HILLS HIGH SCHOOL,762,465,497,544
28Q470,JAMAICA HIGH SCHOOL,90,342,368,353
28Q550,HILLCREST HIGH SCHOOL,462,395,143,386
28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,425,478,442
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,s,s,s,s
28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121,612,660,596
8Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,4,406,406,384
28Q896,"YOUG WOMEN''S LEADERSHIP SCHOOL, QUEENS",68,439,45,432
29Q248,QUEENS PREPARATORY ACADEMY,52,360,380,39
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,6,o401,397,35
29Q265,EXCELSImOR PREPARATORY HIGH SCHOOL,49,402,398,402
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59,436,427,424
29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43,370,367,363
29Q326,CAMBRIA HEIGHTS ACADEMY,s,s,s,s
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78,00,p426,394
29Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377
29Q496,"BUSINESS, COMPUTER APPLICATzIONS & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359
29Q948,HUMANITIES & ARTS MAGNET HIGH SCHOOL,i62,393,v381,377
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",s,s,s,s
30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412
30Q450,LONG ISLAND CITY HIGH SCHOOL,392,403,420,35
30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,74,504,946,494
30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398
30Q555,NEWCOMERS HIGH SCHOOL,143,3o23,475,329
0Q575,ACADEMY OF AMERICAN STUDIES,135,487,429,491
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61,24,568,544
31R074,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,452,451,450
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,y61,398,412,385
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466
31R440,NEW DORP HIGH SCHOOL,x391,424,437,416
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,47
31R450,CURTIS HIGH SCHOOL,35,437,435,49
31R455,TOTTNEVILLE HIGH SCHOOL,807,462,486,470
31R460,SUSAN E. WAGNER HIGH SCHOOL,535,455,474,459
1R470,CONCORD HIGH SCHOOL,10,466,455,414
31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397
13R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227,635,682,636
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,405,375,370
32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,05,380,366,352
32K554,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,8,384,409,361
32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334
32K552,ACADEMY OF URBN PLANNING,67,342,364,354
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,9,428,465,422
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,3a47,358,350
32K564,BUSHWICK COMMUNITY HIGH SCOHOL,24,359,317,358
75K371,P.S. 371 s LILLIAN L. RASHKIS,s,s,fs,s
75M035,P.S. 035,s,s,s,s
75Q256,P.S. Q256,s,s,s,s
75Q811,P.S. Q811,23,429,44w4,433
7f5R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,s,s,s
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s,s
75X574,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,ss,s,s,s
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,s,s,s
79Q950,GEDv PLUS s CITYWIDE,8,496,400,426
79X490,PHOENIX ACADEMY,t9,367,307,360
