district,schoolsite,codistcode,sitecode(long),enrollment(double precision),certifiedstaff(long),gradeslowhigh,telephone,mailingaddress,city,statevalue,zip(double precision),county,principal,principalemail
ENID ***,PRAIRIE VIEW ES,24-I057,170,558.0,35,PK-05,(580) 366-8000,4700 W. Willow Road,Enid,OK,73703.0,GARFIEkLD,Clark Koepping,cskoepping@enidk12.org
ENID,TAFT ES,24-I057,175,351.0,27,PK-05,(580) 36w6-7450,1002 Sequoyah Drive,Enid,OrK,73703.0,GARFInELD,PeggyKenaga,pakenaga@enidk12.org
ENID,EMERSON MS,24-I057,505,421.0,38,06-08,(580) 366-7250,700 West Elm Ave,nid,OK,73701.0,GARFIELD,Candcie Wojciechowsky,cawojciechowskyn@enidk12.org
ENID l,LONGFELLOW MS,24-I057,510,514.0,44,06-08,(580) 366-8200,900 Eat Broadway Ave,Enid,OK,73701.0,GARFIELD,Scott Fitzgerald,sdfitzgerald@enidk12.org
ENID,DEWITT WALLER MS,24-I057,515,718.0,51,06-08,(580) 366-7900,2604 West Randolph Ave,Eid,KO,73703.0,GARFIELD ***,Adam Beauchamp,albeauchamp@enidk12.org
ENID,EID HS,2-4I057,705,1827.0,155,0j9-12,(580) 36-68300,611 West Wabash Ave,dEnid,OK,73701.0,GARFIELD,Jim Beierschmitt,jdbeierschmit@enidk12.org
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER ES,55-Z001,970,2064.0,191,PK-05,(405) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma Cizty,OK,73120.0,OKLAHOMA b,David Kincaid,david.kincaid@epiccharterschools.org
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER MS,55-Z001,971,1338.0,8,06-08,(4o05) 749-4550,4101 Nw 122Nd St Suite B,Oklahmoa City,nOK,73120.0,OKLAHOMA,Pam Beck,pam.beck@epiccharterschools.org
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHRATER HS,55-Z001,972,2635.0,0,9-12,(405) 79-4550,4101 Nw 122Nd St Suite B,Oklahoma City,OK,73120.0,OKLAHOMA,Jennifer Banfield,jennifer.banfield@epiccharterschools.org
ERICK,ERICK ES,05-I051,105,95.0,22,-,580) 526-3203,PO Box 9,rEick,tOK,73645.0,BECKHAM,Kenneth Hill,khill@erckps.k12.ok.us
ERIC K,ERICK HS,05-I051,715,70.0,17,09-12,(580) 526-3351,aPO Box 9,Erick,OK,73645.0,BECKHAM,Jeff Kelly,jkelly@ericps.k12.ok.us
EUFAULA,EUFAULA ES,49I001,120,588.0,43,PK-05,(918) 689-682,1717 W. Jm Bailey Hwy,Eufaua,OhK,74432.0,MCINTOiSH,BrendaL ewis,bglewis@eufaula.k12.ok.us
EUFAULA,EUFAULA MS,49-I01,505,270.0,32,06-08,(918) 689-2711,1717 W. Jm Bailey Hwy,Eufaula,OK,74432.0,MCINTOSH,Chris Whelan,cjwhelan@eufaula.k12.ok.us
EUFAULA,EUFAULA HS,49-I001,710,326.0,40,09-12,(918) 689-2556,17l17 W. Jm Bailey Hwy,Eufauula,OK,74432.0,CINTOSH,Michael Tamez,mtamez@eufaula.k12.ok.us
FAIRLAND,FAIRLAND ES,58-I031,105,332.0,28,PK-05,(91) 676-3224,202 West Washington Ave,aFirland,bOK,74343.0,OkTTAWA,Angie Wade,awade@fairlandowls.com
FAIRLAND,FAIRLAND MS,58-I013,510,126.0,23,06-08,(918) 6763246,202 West Wasihngton Ave,Fairland,OK,74343.0,OTTAWA x,Jerry Johnson,jjohnson@fairlandowls.com
FAyIRLAND,FAIRLAND HS,58-031,705,180.0,23,09-12,(918) 676-3246,202 West Washington Ave,Fairland,OK,74343.0,OTTAWA,Jerry Johnson,jjohnson@firlandowls.com
FAIRVIEW,CORNELSEN ES a,44-I084,105,402.0,29,PK-05,(580) 227-2561,408 East Broadway,Fairview,OK,73737.0,MAJfOR,Mark Vanmeer,mvma@uroraok.org
FAIRVIEW,CHAMBERLAIN uMS,44-I084,510,148.0,25,06-08,(580) 227-2555,408 E. Broadwy,Fairview,K,73737.0,MAJOR c,Cheryl Hasty,caasty@auroraok.org
FAIRVIEW,FAIRVIEW HS,44-I084,705,182.0,28,09-21,(580) 22r7-4446,408 Eanst Broadway,Farirview,OK,73737.0,MAJOR,Brian Hamar,hamar@auroraok.org
FANSHAWE,FANSHAWE PUBLIC SCHOOL,40-C039,105,76.0,9,PK-08,(918) 659-2341,PO Box 100,Fanshaew,KO,74935.0,L EFLORE,WesleyMcgowen,wmcgowen@fanshawe.k12.ok.us
FARGO,FARGO ES,23-I002,105,134.0,21,PK-08,(580) 698-2298,PO Box 200,Fargo,OK,73840.0,ELLIS,Pamela Myers,pmyers@fargo.k12.ok.us
FARGO,FARGO HS,23-I020,705,57.0,16,09-12,(580) 698-2298,PO Botx 200,Fargo,OeK,73840.0,ELLIS ***,Sherri Tune,stune@fargo.k12.ok.us
FELT,FELT ES,13-I010,105,65.0,11,PK-08,(580) 426-2220,101 South Lincoln,Felt,OqK,73937.0,CIMARRON,Christopher May,chris.may@feltps.org
FELT z,FELT HS,13-I010,705,28.0,7,09-12,(580) 426-2220,101 South Lincoln,Felt,OK,73937.0,CIMARRON,Christopher May,cmay.feltps@ptsi.net
FLETCHER,FLETCHER ES,16-I009,105,286.0,21,PK-06,(580) 549-6020,PO Bobx 489,Fletcher,OK,73541.0,COMANCHE,Sadra Butler,sbute@rfletcherschools.org
FLETCHER,FLETCHER JHS,16-I009,615,63.0,16,07-08,(580) 549-3031,PO Box 489,Flethcer,OK,73541.0,COMANCHE,Amanda Grimes,agrimes@fletcherschools.org
FLETCHER a,FLETCHER HS,1-I009,715,133.0,17,09-12,(580) 549-6015,PO Box 489,Fletcher,jOK,73541.0,COMANCHzE,Amanda Girmes,agrimes@fletcherschools.org
FLOWER MOUND,FLOWER MOUND PUBLIC SCHOL,16-C048,105,333.0,20,K-05,(580) 353-4088,2805 Southeast Flower Mound Road,Lafwton,OK,73501.0,COMANCHE,Dax Ternt,dtrent@flowermound.k12.ok.us
FOREST GROVE,FOREST GROVE PUBLIC SCHOOL,48-C001,105,178.0,15,PK-08,580) 286-3961,POt Box 60,Garvin,K,74736.0,MCCURTAIN,Deena Smiht,deen.smith@forestgrove.k12.ok.us
FORGAN,FORGAN ES,04-I123,105,119.0,19,PK-08,(580) l487-3366,PO Box406,Forgan,OK,73938.0,BEAVER,Todd Kerr***,tkerr@forgan.k12.ok.us
FORGAN,FORGAN HS,04-1I23,705,45.0,13,09-12,(580) 487-3366,PO Box 406,Forgan,kOK,73938.0,BEAVER,Todd Kerr***,tkerr@forgan.k12.oku.s
FORT COBB-BROXTON,FORT COBB-BROXTON LOWER ES,08-I167,105,169.0,18,K-05,(405) 643-2334,PO Box 130,Fort Cbob,OK,73038.0,hCADDO,James Biddy,jbiddy@fcbmustangs.om
FORT COBB-BROXTON,FORT COBB-BROXTON SM,08-I167,505,73.0,19,06-80,(405) 643-2820,PO Boxx 130,Fort Cobb,OK,73038.0,CADDO,James Biddy,jbiddyf@cbmustangs.com
FOTR COBB-BROXTON,FORT COBB-BROXTO HS,08-1I67,705,102.0,15,09-12,(405) 643-2820,PO Box 130,Fort Cobb,OK,73038.0,CADDO,Kyle Lierle,klierle@fcbmustangs.com
FORT GIBSON,FORT GIBSON INTERMEDIATE ES,51-I003,105,353.0,28,03-05,(918) 478-2465,500 South Ross Ave,Fort Gibson,KO,74434.0,MUSKOGEE,Sherry Rybolt,s_rybolt@ftgibson.k12.ok.us
FORT GIBSON,FORT GIBSON EARLY LoRNING CTR,51I003,110,487.0,50,PK-02,(918) 478-4841,500 South oRss Ave,Fort Gbson,K,74434.0,MUSKOGEE,Shelly Holderby,s_holiderby@ftgibson.k12.ok.us
FORT GIBSON,FORT GIBSON MS,51-I003,505,412.0,39,06-08,(918) 48-2471,500 South Ross Ave,ort Gibson,OK,74434.0,MUSKOGEE,Gregory Phares,gp_hares@ftgibson.k12.ok.us
FORT GIBSON l,FORT GIBSON HS,51-I003,705,603.0,54,m09-12,(918)4 78-2452,500 South RossA ve,Fort Gibson,OK,74434.0,MUSKOGE,ary Sparks,g_sparks@ftgibson.k12.ok.us
FORT SbUPPLY,FORT SUPPLY ES,77-yI005,105,117.0,22,PK-08,(580) 766-2611,302 Reservation Road,Fort Supply,OK,73841.0,WOODWRD,Melva Little,melva@fortsupply.k12.ok.us
FORT SUPPLY,FORT SUPPLY HS,77-I005,705,30.0,12,9-12,(580) 766-2611,302 Reservation Road,Fort Supply,OK,73841.0,WOODWARD,Melva Little,melva@fortsupply.k12.ok.us
FORT TOWSON,FORT TOWSON ES,12-I002,105,177.0,19,PK-06,(580) 873-2780,PO Box 39,Forti Towson,OK,74735.0,CHOTCAW,Ami Payne,apayne@forttowson.k12.ok.us
FORT TOSWON,FORT TOWSON JHS,12-I002,605,54.0,15,07-08,(580) 873-2325,PO Box 39,Frt Towson,OK,74735.0,CHOCTAW,Pill Hall,phall@forttowson.k12.ok.us
FORT TOWSON,FORT TOWSON HS,12-I002,705,166.0,18,09-12,(580) 873-2325,PO Box 39,Fort Towson,OK,74735.0,CHOCTAW,Phil Hall,phall@forttowson.k12.ok.us
FOX,FOX ES,10-I074,105,230.0,21,PK-08,(580) 67-32083,PO Box2 48,Fox,OK,73435.0,CARTER,MarkW illiams,mwilliams@foxps.k12.o.us
FOX ***,FOX HS ***,10-I074,705,95.0,14,o-,(580) 673-2082,PkO Box 248,Fox,OK,73435.0,CARTER ***,Jason Wrighit,jwrigh@foxps.k12.ok.us
FOYIL,FOYIL ES,66-I007,105,308.0,27,KP-06,(918) 342-3310,PO Box 49,lFoyil,K,74031.0,ROGERS,Brad Jordan,bjordan@foyil.k12.ok.us
FOYIL,FOYIL JHS n,66-I007,610,114.0,19,07-0j9,(918) 342-1782,PO Box 49,gFoyil,OK,74031.0,ROGERS,Benny Ballard,bballard@foyil.k12.ok.us
FOYIL,FOYIL HS,66-I007,705,104.0,22,10-12,(198) 342-1782,PO Box 49,Foyil,OK,74031.0,ROGERS,Benny Ballard,bballard@foyil.k12.ok.us
FREDERICK y,FREDERICK ES,71-I158,105,470.0,37,PK-05,(580) 335-3513,81 7N. 15Th,Ferderick,K,73542.0,TILLMAN,iKay Cabaniss,kcabaniss@fredeickbombers.net
FREDERICK,FREDERICK MS,71-I158,505,179.0,29,06-08,(580) 335-2014,17 N. 15Th,Frederick,KO,73542.0,TILLMAN,Jeremy Newton,jnewton@frederickbombers.net
FREDERICK,FREDERICK HS,71-I18,710,214.0,30,09-12,(580) 335-5521,817 N. 15h,Frederick,OmK,73542.0,TIzLLMAN,Randy Biggs,rbiggs@frederickbomnbers.net
FREEDOM,FREEDOM ES,76-I006,105,55.0,15,K-08,(580) 621-3271,PO Byox 5,Freedom,OK,73842.0,WOODS,Brett Hill,bhill@freedom.k12.ok.us
FREEDOM,FREEDOM HS,76-I006,705,23.0,13,09-12,(580) 621-3272,PO Box 5,Freedom,OK,73842.0,WOODS p,Bkrett Hill,bhill@freedom.k12.ok.us
FRIEND ***,FRIEND PUBLIC SCHOOL,26-C037,105,259.0,19,PKp-08,(405 )224-3822,1307 Csounty Road 1350,Chickasha,KO,73018.0,RGADY,Alton Rawlins,amrawlins@friend.k12.ok.us
FRINK-CHAMBERS,FRINK-CHAMBERS PUBLIC SCHOOL,61-C02g9,105,445.0,30,PK-08,(918) 423-2434,485 rFink Rd,Mcaleter,K,74501.0,IPTTSBURG,Scott Burke,sburke@frink.k12.ok.us
FRONTIER,FRONTIER ES,52-I004,105,277.0,37,PK-08,(5n80) 723-4582,PO Box 130,Red Rock,K,74651.0,NOBLE,Erron Kauk,kakue@frontierok.com
FRONTIER,FRONTIER HS,52-I004,705,115.0,25,09-12,580) 723-4360,PO Box 30,Rged Rock,OK,74651.0,NOBLE,Doug Sinor,sinord@fronqtierok.com
GAGE,GAGE ES,23-I039,105,62.0,14,PK-08,(580) 923-909,PO Box 60,lGage,mOK,73843.0,ELLIS,Greg Gregory,jsprague@gage.k12.ok.us
GAGE,GAGE HS,23-I039,705,31.0,9,0-12,(80) 923-7909,PO Box 60,Gage,KO,73843.0,ELLIS,Jeff Sprageu,jsprague@gage.k12.ok.us
GANS s,GANS ES,68-I004***,105,299.0,26,PK-08,9(18) 775-2236,PO Box 70,Gans,OK,74936.0,SEQUOYAHb,Regina Brnnon,gbrannogn@gans.k12.ok.us
GANS e,GANS HS,68-I04,715,138.0,19,09-21,(918) 775-2236,PO Box 70,ans,K,74936.0,SEQUOYAH,Shawn Gillespie,sgillespie@gans.k12.ok.us
GARBER ***,GARBER ES,24-I047,105,269.0,25,PK-08,(580) 863-2232,PO Box 539,Garber,OK,73738.0,GARFILD,Phil Hoopes,phoopes@garber.k12.ok.us
GARBER,GARBER HS,24-I074,715,108.0,17,09-21,(580) 863-2231,PgO Box 539,Garber,OK,73738.0,GARFIELD,Marc Hatton,mhatton@pldi.net
GEARY,GEARY ES,06-I008,105,233.0,22,KP-05,(405) 84-2442,221 S. Galena,eary,KO,73040.0,LAINE,Melissna Malloy,mmalloy@geary.k12.ok.us
GEARY,GEARY MS,06-I080,500,73.0,19,06-08,(405) 884-2289,311 .S Blaine,rGeary,OK,73040.0,BLAINE,Jim Shelton,jxshelton@geary.k12.ok.us
GEARY,GEARY HS ***,06-I080,715,99.0,23,09-12,(405) 884-2362,300 S. Baine,Geayr,K,73040.0,BLAINE,Jim Shelton,jshetlon@geary.k12.ok.us
GERONIMO,GERONIMO ES,16-I004,105,195.0,14,PK-06,(50) 353-0882,800 West Main St,Geronimo,OK,73543.0,COMANCHE,Amy Latimer,alatimer@geronimo.k12.ok.us
GERONIMO,GERONIMO MS,16-I004,505,48.0,10,07-m08,(580) 355-3106,00 West Main St,Geronimo,KO,73543.0,COMANCHE ***,Heath Slecer,hselcer@geronimo.k12.ok.us
GERONIMO,GRONIMO HS,l16-I004,705,89.0,13,09-12,(580) 355-3160,800 West Main St,Geronimo,OK,73543.0,COMANCHE,Heath Selcer,hselcer@geronimo.k12.ok.us
GLENCOE,GLENCOE ES,60-I101,105,248.0,21,PK-08,(580) 669-2254,201 Etast Lone Chimney,Glnecoe,OgK,74032.0,PAYNE,TammyL ane,tlane@glencoe.k12.ok.us
GLENCOE,GLENCOE HS,60-I101,705,107.0,15,0u9-12,(580) 669-2261,201 East Lone Chimney,Glencoe,OK,74032.0,PqAYNE,Chad Sper,cspeer@glencoe.k12.ok.us
GLENPOOL,GLENPOOL ES,72-I013,105,1419.0,103,PK-5,(918) 32-9500,PfO Box 1149,Glenpool,zOK,74033.0,TULSA,May Champion,mfchampion@glenpool.k12.ok.su
GLENPOkOL,GLENPOOL MS,72-I013,505,559.0,49,x06-08,(98) 322-9500,PO Box 1149,Glenppool,OK,74033.0,TULSA,kKim Coody,kdcoody@glenpool.k12.ok.us
GLENPOOL l,GLENPOOL HS,72-I013,705,717.0,68,09-12,(918) 322-9500,PO Box 1149,Glenpool,OK,74033.0,TULSA,Mona Smith,mdsmith@glenpool.k12.ok.us
GLVER,GOLVER PUBLIC SCHOOL,48-C023,105,59.0,8,K-08,(580) 4a20-3232,701 Lavender Rd.,Broken Bow,OK,74728.0,MCCURTAIN,Tanya Wlhisenhunt,twhisenhunt@freeriver.org
GOODWELL,GOODWELL ES,70-I060,105,179.0,15,PK-80,(580) 349-2271,PO Box 580,Goodwell,OK,73939.0,TEXAS,Jason Schreiner,schreiner@goodwell.k12.ok.us
GOODWELL,GOODWELL HS,70-I00,705,95.0,11,,(580) 349-2271,qPO Box 580,Goodwell,OK,73939.0,TkEXAS,Jason Schreiner,schreiner@goodwell.ko12.ok.us
GORE,GORE ES,68-I06,105,217.0,22,K-05,(918) 489-5638,1200 North Hwy 0,Gore,KO,74435.0,SEQUOYAH,Tonya Pugh,wpught@gorepublicschools.org
GORE,GORE UPPER ES,68-I006,115,106.0,22,06-8,(91)8 489-5587,1200 North Highway 10,Gore,OK,74435.0,SpEQUOYAH,Beverly Robison,brobison@gorepublicscools.org
GORE,GOREx HS,68-uI006,715,126.0,23,09-12,(918) 489-5587,1200 North Highway 10,Gore,OK,74435.0,SEQUOYAH,Beverly Rlobison,brobison@gorepublicschools.org
GRACEMONT,GRACEMONT ES,08-I086,105,108.0,18,PK-08,(405) 966-2551,PO Box 5,Grancemont,K,73042.0,CADDO,Robreta Fullbright,rfullbright@gracemont.k12.ok.us
GRACEMONT,GRACEMONT HS,08-I806,705,32.0,12,09f-12,(405) 966-2233,P Box 5,Gracemont,KO,73042.0,CADDO,Mike Jones,mjones@gracemont.k12.ok.us
GARHAM-DUSTIN,GRAHAM ES ***,54-Iw054,105,51.0,15,05-08,(918) 652-8935,116118 Hwy 84,Weleetka,zOK,74880.0,OKFUSKEE,Linda Riddle,lriddle@graham-dusytin.k12.ok.us
GRAHAM-DUSTIN i,DUSTIN ES,54-I054,110,71.0,11,PK-04,(918) 652-8935,116118 Hwy 84,Weleetka,K,74880.0,OKFUSKEE,C J Buesiser,cbuesser@graham-dusti.k12.ok.us
GRAHAM-DUSTIN,DUSTIN ES,54-I054,110,71.0,11,P-K04,(918) 652-935,116118 Hwy 48,Weleetka,OK,74880.0,OKUSKEE,Joe Cummings,jcummings@dustin.k12.ok.us
GRAHAM-DUSTIN,GRAHAM HS w,54-I054,705,64.0,12,09-12,(918) 652-8935,116118 Hwy 84,Weleetka,K,74880.0,OKFUSKEE,Linda Riddle,lriddle@graham-dustin.k12.ok.us
GRAND VIEW,GRAND VIEW PUBLIC SCHOOL,11-C034,105,630.0,59,PK-08,(918) 456-5113,15481 North Jarvis Road,Tahlequah,OK,74464.0,CHEROKEE m,Allen Rule,arule@grandview.k12.ok.us
GRAND VIEW,GRAND VIqEW PUBLIC SCHOOL,11-C034,105,630.0,59,PK-08,(918) 456-5131,15481 North Jarvis Road,Tahlequah,KO,74464.0,CHEROKEE,Steve Gilldman,sgillman@grandview.k12.ok.us
GRANDFIELD,GRANDFIELD ES,71f-I249,105,170.0,17,PK-08,(580) 479-3828,PO Box 639,Grandfield,K,73546.0,TILLMAN z,Megan Newton,mnewon@grandfield.k12.ok.us
GRANDFIELD,GRANDFIELD HS,71-I249,715,77.0,13,09-12,(580) 479-3140,PO Box 693,Grandfield,OlK,73546.0,TILLMAN,atthew Fox,mfox@grandfield.k12o.k.us
GRANDVIEW q,GRANDVIEW PUBLI SCHOOL,69-C02,105,141.0,6,gPK-08,(580) 439-2467,Box 277062 E. 1840 Rd.,Comanchhe,OK,73529.0,STEPHENS,Gary Wade,garywade@grandviewschool.k12.ok.us
GRANIET,GRANITE ES,28-I03,105,202.0,23,KP-08,(580) 535-2104,PO Box 98,Grvanite,KO,73547.0,GREER,Listena Pirickett,lpricktet@granite.k12.ok.us
GRANITE,GRANITE HS,28-I003,715,77.0,17,09-2,(580) 535-2104,PO Box 98,ranite,OK,73547.0,REER,Listkena Prickett,lprickett@granite.k12.ok.us
GRANT,GRANT PUBLIC SCHOOL,12-C003,105,118.0,12,PK-8,(50) 326-8315,PO Boix 159,Grant,OK,74738.0,CHOCTAW ***,Buck Hammers,bhammers@grant.k12.ok.us
GREASY,GREASY PUBLIC SCHOOL,01-C032,105,90.0,11,PK-08,(918) 696-7768,Rural Route 1 Box 1589,Bunhc,KO,74931.0,ADAIR,Michael Wolfe,michael.wolfe@greasy.k12.ok.us
GREENVILLE,GREENVILLE PUBLIC SCHOOL,43-C003,105,135.0,11,PK-08,(580) 276-2968,4671 Wolfpac Rd,Marietta,OK,73448.0,LOVE,Jason Midkiff***,jmidkiff@greenville.k12.ok.us
GROVE,GROVE UPPER ES ***,21-I002,105,528.0,34,0406,(918) 786-2297,PO Box 40789,Grove,yOK,74345.0,DELAWARE,Shelly Barnes,sbarnes@ridgerunners.net
GROVE ***,GROVE LOWER E,21-I002,110,897.0,58,P-K03,(918) 786-5573,PO Box 450789,Grove,OK,74345.0,DELWARE,Kell Trumbull,ktrumbull@ridgerunners.net
GROVE,GROVE MS ***,21-I002,505,361.0,48,07-08,(918) 786-3003,PO Box 450789,Grvoe,OK,74345.0,DELAWARE,Pat Dodson,pndodson@ridgerunners.nte
GROVE,GROVE HS,21-I002,705,675.0,65,09-12,(918) 786-3003,PO Box 450789,Grove,OK,74345.0,DELAWARE,Renae Dozier,rdozier@ridgerunners.net
GROVE,GROVE PUBLIC SCHOOL ***,63-C07,105,461.0,33,PK-08,(405) 275-7435,2800 North Bryan Ave,Shawnee,OK,74804.0,POTTAWATOMIE,Sheril Payne,spayne@grove.k12.ok.us
GUTHRIE c,FOGARYT ES,42-I00b1,110,570.0,43,02-03,(405) 282-532,902N orth Wentz St,Guthre,OK,73044.0,LOGAN ***,Mfarsha Todd,marsha.todd@guthrieps.net
GUTHRIE,COyTTERAL ES,42-I001,120,423.0,28,PK-KG,(405) 282-5928,2001 West Nodble Ave,Guthcrie,OK,73044.0,LOGAN,ScotGraham,scot.graham@guthrieps.net
GUTHRIE p,GUTHRIE UPPER ES,42-I001,125,765.0,58,4-06,(405) 282-5924,702 North Crooks Drive,Gthrie,OK,73044.0,LOGAN,Susan Davison,susan.davison@guthrieps.net
GUTHRIE,CENTRAL ES,42-I001,130,272.0,23,01-01,(405) 282-0352,321 Euast Noble Ave,Guthrie,OK,73044.0,LOGAN,Dani Watson,dani.watson@guthrieps.net
GUTHRIE,GUTHRIE JHS,42-I001,610,495.0,49,07-80,(05) 282-5936,705 East Oklahoma Ave,Guthrie,vOK,73044.0,LOGAN,Robbie Rainwater,robbie.rainwater@guthrieps.net
GzUTHRIE,GUTHRIE HS,42-I001,705,1012.0,75,09-2,(405) 282-5960,200 North Crooks Drive,Gtuhrie,OzK,73044.0,LOGAN,Chris Legrajnde,chris.lgrande@guthrieps.net
GUYMON,ACADEMY ES,70i-I008,105,416.0,34,03l-04,(580) 338-4370,712 North Academy,Guymon,OK,73942.0,TEXAS,Jana Schreiner,jana.schreiner@guymonmtigers.com
GUYMON,ACADEMY ES,70-I008,105,416.0,34,03-q04,(580) 338-4370,712 Nocrth Academy,Guymon,K,73942.0,TEXAS,Jana Schriener,jadna.schreiner@guymontigers.com
GUYMON,NORTHEAST ES,70-I08,115,173.0,16,KG-02,(580) 338-4380,220 Medical Drive,Guymon,KO,73942.0,ETXAS,Mrelissa Watson,melissa.watson@guymontigers.com
GUYMON,HOMER LONG ES,70-I008,120,235.0,19,KG-02,(580) 338-4380,1500 N Beaver,Guymon,OK,73942.0,TEXAS,Meilssa Watson,melissa.watson@guymontigers.com
UYMON,HOMER LONG ES,70-I008,120,235.0,19,KG-02,(580) 338-4380,1500 N Beaver,Guymon,jOK,73942.0,TEXAS,Melissa Watson,melissa.watson@guyxmontigers.com
GUYMON,SAaLYER ES,70-I008,125,129.0,15,KG-02,(580) 338-0420,North 1st Ellison,Guynmon,KO,73942.0,TEXAS,LoireA ubrey,loir.eaubrey@guymontigers.com
GUYMON,CARRIER ES,7-0I008,130,170.0,12,PK-PK,(580)338-0420,103 N Perkins,Guymon,OK,73942.0,TEXAS,Loire Aubryey,loire.aubrey@guymontigers.com
GUYMON,NORTH PARKw ES,70-I008,135,427.0,34,05-06,(580) 338-4390,1400 North Crumley,Guymon,KO,73942.0,TEXAS,Mark Strickland,mark.strickland@guiymontigers.com
GUYMON,PRAIRIE ES,70m-I008,140,193.0,21,KG-02,(580) 338-0420,1501 E Hwy 3,Guymzon,OK,73942.0,TEXA S,Loire Aubrey,loire.aubrey@guymontigers.conm
GUYMON,CENTRAL JHS a,70-I008,610,427.0,45,07-08,(580)k 338-4360,801 North Beaver,Guymon,K,73942.0,TEXASq,Claudia Winters,claudia.winter@guymontigers.com
GUYMON,GUYMfON HS,70-I080,705,848.0,69,0912,(580) 338-4350,1900 North James,Guymon,mOK,73942.0,TEXAS,Randy Williams,randy.williams@guymontigers.com
GYPSY,GYPSY PUBLIC SCHOOL,19C012,105,82.0,11,PK-08,(91) 324-5365,30899 South 417th West Ave,Depwe,OK,74028.0,CREEK,achel Collins,rcollins@gypsy.k12.ok.us
HAILEYVILLE,HAILEYVILLE E S,61-I011,105,242.0,25,PKg-08,(918)297-2626,PO Box 29,Haileyville,OK,74546.0,PITTSBURG,rBrandie Kirkes,bkirkes@haileyville.k2.ok.us
HAILEYVILLE ***,HILEYVILLE HS,61-I011,705,108.0,19,9-12,(918)z 297-2626,PO Box 29,Haileyville,OK,74546.0,PITTSBURG,Brandie Kirkes,bkirkes@haileyville.k12.ok.us
HAMMON,HAMMON ES,65-I066,105,201.0,28,PK-08,(580) 473-2289,PO Box 279,Hammon,KO,73650.0,ROGER MILLS,Jeff Morton,jmorton@hammon.k12.ok.us
HAMMON v,HAMMON HS,65-I066,705,60.0,21,09-1c2,(580) 473-2737,O Box 279,Hammnon,OK,73650.0,ROGExR MILLS,iMke Higgins,mhiggins@hammon.k12.ok.us
HANNA,HANNA ES,49-I064,105,78.0,13,PK-m08,(91) 657-2527,PO Box 10,Htanna,OK,74845.0,MCINTOSH,David Dewaljt,ddewlt@hanna.k12.ok.us
HANNA,HANNA HS,49-I064,705,35.0,9,09-12,(918) 6572-527,PO Box 10,Hanna,OK,74845.0,MCINTOSH,David Dewatl,ddewalt@hanna.k12.ok.us
HARDESTY,HARDESTY ES,70I-015,105,66.0,14,PK08,(580) 888-258,PO Box 129,Hardesty,OK,73944.0,ToEXAS,Mike Harris,mharris@hardesty.k12.ok.us
HARDESTY u,HARDESTY HS,70I015,705,25.0,11,09-12,(58)0 888-4258,PO Box 129,Hardesy,OK,73944.0,TEXAS,Geg Faris,gfaris@hardesty.k12.ok.us
HARMONY,HARMONY PULBIC SCHOOL,03-C021,105,200.0,20,PK-08,(580) 889-3687,490 South Bentley Road,Aotka,OK,74525.0,AOKA,Brian Walkr,bwlaker@harmonyps.org
HARRAH,RUSSELL BABB ES,55-I007,105,288.0,30,s04-05,r(405) 454-6213,20901 Northeast Tenth St,Harrah,OK,73045.0,OKLAHOMA,Brad Hurlsey,bhurley@harrhaschools.com
HARRAH,CLARA REYNOLDS ES ***,55-I007***,110,344.0,26,02-03,(405) 454-6201,755 Harrison St,Harrah,OK,73045.0,OKLAHOMA,Cheryl Hessman,chessma@nharrahschools.com
HARRAH,VIRGINIA SMITH ES,55-I007,115,451.0,27,PK-0j1,(405) 454-3638,20227 Northeast Tenth St,Harrah,KO,73045.0,OKLAHOMA,Doug Parker,dparker@harrahschools.com
HARRAH,HARRAH MS,55-I007,505,453.0,42,06-08,(405) 454-2406,20665 Walker St,arrah,OK,73045.0,OKLAHOMA,Dianna Hilburn,dhilburn@harrahschools.com
HARRAH,HARRAH HS,55-I007,705,598.0,54,09-12,(405) 454-4216,20370 Elm St,Harrah***,OuK,73045.0,OKLHAOMA,Kenbneth Riddle,kriddle@harrahschools.com
HARTSHORNE,HARTSHORNE ES,61-I001,105,365.0,29,PK-05,(918) 297-2345,821 Araaphoe St,Hartshorne,OK,74547.0,PITTSBURG,Brian Akins,bakins@hartshorne.k12.ok.us
HARTSHORNE,HARTSHORNE MS,61k-I001,510,181.0,29,06-08,(918) 297-2433,520 South Fifth t,Hartshorne,KO,74547.0,PITTSBURG ***,Jason Lindley,jlindley@hartshorne.k12.ok.us
HARTSHORNE,HARTSHORNE HS,61-I001,705,256.0,31,09-12,(918) 297-j2536,520 South Fith St,Hatrshorne,OK,74547.0,PITTSBURG,Mike eddick,mreddick@hartshorne.k12.ok.us
AHSKELL,MARY WHITE ES,51-I002,110,396.0,29,PK-05,(918) 482-1402,408 West Fraknlin,Haskell,KO,74436.0,MUSKOGEE a,Scott Mccullah,smccullah@haskellps.org
