1624.mailingaddress,b3101 West Edison St,3101 West Edison St
1303.city,Povteau,Poteau
1060.telephone,(045) 366-5948,(405) 366-5948
1590.district,TULSA                         ***,TULSA                         
1438.principal,Terry Cnder,Terry Conder
462.principal,Lias Crosslin,Lisa Crosslin
1345.gradeslowhigh,06-0a8,06-08
1661.principalemail,rcriner@twihills.k12.ok.us,rcriner@twinhills.k12.ok.us
1468.gradeslowhigh,PK-0d8,PK-08
130.codistcode,47-I209,47-I029
302.county,MAJOR       ***,MAJOR       
398.district,DEER CREEK                   ,DEER CREEK                    
1184.city,Oklahoa City,Oklahoma City
884.schoolsite,MCLOUD HS                     ***,MCLOUD HS                     
605.mailingaddress,PO Box 40789,PO Box 450789
936.gradeslowhigh,PKx-08,PK-08
970.county,CLEVELAND   ***,CLEVELAND   
1126.schoolsite,HILLCRSET ES                  ,HILLCREST ES                  
667.schoolsite,HILLDALE HS                  ,HILLDALE HS                   
605.statevalue,yOK,OK
345.gradeslowhigh,9-12,09-12
613.mailingaddress,321 Euast Noble Ave,321 East Noble Ave
44.county,CADDO   l    ,CADDO       
1789.principalemail,debbie.white@wisterschoolsi.org,debbie.white@wisterschools.org
1564.statevalue,KO,OK
1692.city,Vemla,Velma
768.codistcode,24-I18,24-I018
782.principal,Donna Catln,Donna Catlin
1668.city,uTlsa,Tulsa
391.gradeslowhigh,aPK-03,PK-03
1581.codistcode,72I001,72-I001
1752.mailingaddress,POBox 278,PO Box 278
1282.mailingaddress,603 East ryor Ave,603 East Pryor Ave
1355.schoolsite,RATTAN JHS       x             ,RATTAN JHS                    
1649.schoolsite,TURKEY FORD PBLIC SCHOOL     ,TURKEY FORD PUBLIC SCHOOL     
195.telephone,(580 )735-2448,(580) 735-2448
1041.district,NORMAN                       ,NORMAN                        
71.statevalue,K,OK
498.statevalue,KO,OK
291.district,CHOCTAW-NICOMAo PARK           ,CHOCTAW-NICOMA PARK           
1825.schoolsite,LAKEVIEW ES                  ,LAKEVIEW ES                   
655.schoolsite,HELADTON HS                   ,HEALDTON HS                   
322.principalemail,pwilkenson@coalgateswchools.org,pwilkenson@coalgateschools.org
183.city,Broken Arrwo,Broken Arrow
1221.district,OWASSO            s            ,OWASSO                        
974.city,Morrsi,Morris
116.schoolsite,BISHOP PUBLIC SCHOL          ,BISHOP PUBLIC SCHOOL          
612.district,GUTHRIE                p       ,GUTHRIE                       
818.schoolsite,LITTLE AXE ESx                 ,LITTLE AXE ES                 
21.mailingaddress,PO Bxo 188,PO Box 188
4.schoolsite,ACHILLE HS       z             ,ACHILLE HS                    
125.county,KYA         ,KAY         
680.district,HOLLIS                       ,HOLLIS                        
381.principal,y Wilkins,Ky Wilkins
1546.principal,Kal Pierce,Kale Pierce
1414.codistcode,61-I003,61-I030
20.codistcode,26y-I056,26-I056
1500.schoolsite,STRATFORD MS                y  ,STRATFORD MS                  
678.district,HOzLLIS                        ,HOLLIS                        
8.telephone,(580) 310m-7250,(580) 310-7250
949.telephone,(405 )735-4440,(405) 735-4440
388.county,MURARY      ,MURRAY      
1287.mailingaddress,815 Eas tHighland Ave,815 East Highland Ave
1742.principal,San Buchanan,Sean Buchanan
307.district,CLAREMORE                     ***,CLAREMORE                     
1431.principalemail,barry.bulman@seqruoyaheagles.net,barry.bulman@sequoyaheagles.net
536.city,Lafwton,Lawton
1706.schoolsite,EWING ALSELL MS              ,EWING HALSELL MS              
1638.county,TULSA      ,TULSA       
641.statevalue,OuK,OK
1259.statevalue,lOK,OK
1175.statevalue,OmK,OK
1397.principal,Jaes Roberts,James Roberts
1633.county,TULSA      x ,TULSA       
1301.schoolsite,POTEAU UPEPR ES               ,POTEAU UPPER ES               
1676.statevalue,K,OK
534.city,Flethcer,Fletcher
1236.statevalue,KO,OK
36.codistcode,76-I010,76-I001
1565.county,TULuSA       ,TULSA       
933.county,RGADY       ,GRADY       
1644.principal,Andrew Mcrea,Andrew Mcrae
1773.district,WEWOKA                        ***,WEWOKA                        
1243.gradeslowhigh,01s-03,01-03
1820.statevalue,KO,OK
417.schoolsite,DICKSON HS                   ,DICKSON HS                    
555.schoolsite,FOYIL JHS     n                ,FOYIL JHS                     
1591.principalemail,kenntjo@tulsaschools.org,kennetjo@tulsaschools.org
859.telephone,(58) 276-3204,(580) 276-3204
866.mailingaddress,PO ox 130,PO Box 130
1803.principalemail,mconvrese@wcisd.org,mconverse@wcisd.org
942.statevalue,OxK,OK
1267.gradeslowhigh,5-06,05-06
1544.city,Thoas,Thomas
887.principal,Mike Mcaefee,Mike Mcafee
1767.telephone,(918)s 723-3432,(918) 723-3432
1248.county,SOAGE       ,OSAGE       
1178.county,OKLAOHMA    ,OKLAHOMA    
656.codistcode,40-I03,40-I003
1732.telephone,(80) 758-3245,(580) 758-3245
367.district,CcROOKED OAK                   ,CROOKED OAK                   
752.principalemail,bshelley@kildar.k12.ok.us,bshelley@kildare.k12.ok.us
273.principalemail,richmondr@cherokee.k12.ok.s,richmondr@cherokee.k12.ok.us
1145.statevalue,lOK,OK
577.codistcode,l16-I004,16-I004
1483.district,STILLWTAER                    ,STILLWATER                    
675.telephone,(450) 379-6618,(405) 379-6618
1672.mailingaddress,5806 E 61 St,8506 E 61 St
1569.codistcode,c72-I001,72-I001
331.principalemail,james.millerj@coleman.k12.ok.us,james.miller@coleman.k12.ok.us
94.city,eBggs,Beggs
947.principal,Charla jUhles,Charla Uhles
1268.city,Piedmonrt,Piedmont
911.mailingaddress,9021 Se 15ht St,9021 Se 15th St
1744.county,CUSTER    a  ,CUSTER      
1706.city,Vqinita,Vinita
1517.mailingaddress,PO Buox 73,PO Box 73
356.statevalue,KO,OK
208.statevalue,K,OK
857.schoolsite,MARIETTA ES          z         ,MARIETTA ES                   
1113.mailingaddress,9101 Northeast 13th St,1901 Northeast 13th St
997.telephone,(918) 648-3840,(918) 684-3840
1058.telephone,405) 366-5941,(405) 366-5941
343.district,COMMERCE                      ***,COMMERCE                      
212.district,CACHtE                         ,CACHE                         
886.schoolsite,MEDFORD HS                    ***,MEDFORD HS                    
966.principal,Tammyz Baker,Tammy Baker
988.gradeslowhigh,PK-0x4,PK-04
500.city,nid,Enid
425.mailingaddress,51 South Skinner Ave,510 South Skinner Ave
1215.principalemail,cara.jones@doologah.k12.ok.us,cara.jones@oologah.k12.ok.us
1274.codistcode,1-I063,61-I063
1310.gradeslowhigh,K-08,PK-08
1308.principal,assie Holleman,Cassie Holleman
829.principal,Richar Mckee,Richard Mckee
1800.codistcode,77I001,77-I001
870.district,MCALESTER              b       ,MCALESTER                     
779.statevalue,cOK,OK
1689.county,EMINOLE    ,SEMINOLE    
1098.codistcode,06-I090,06-I009
275.codistcode,0c2-I046,02-I046
52.mailingaddress,aPO Box 160,PO Box 160
1326.principal,art Daniel,Bart Daniel
977.principal,Crhisty Williams,Christy Williams
730.city,Claermore,Claremore
1398.gradeslowhigh,60-08,06-08
1597.gradeslowhigh,PKf-06,PK-06
1711.county,WAGONEfR     ,WAGONER     
771.district,LANGSTON HUHGES ACAD ARTS-TECH,LANGSTON HUGHES ACAD ARTS-TECH
1339.schoolsite,WILL ROGERS mES                ,WILL ROGERS ES                
157.mailingaddress,2209 East Sooenr Road,2209 East Sooner Road
352.county,WAGONER   i  ,WAGONER     
1465.codistcode,53-Ir051,53-I051
1664.telephone,(98) 357-4334,(918) 357-4334
248.district,CATOOSA       t                ,CATOOSA                       
1366.gradeslowhigh,90-12,09-12
1343.statevalue,OqK,OK
1392.schoolsite,ASND SPRINGS EC CTR           ,SAND SPRINGS EC CTR           
95.county,OKMULGkEE    ,OKMULGEE    
220.principal,Cuck Hood,Chuck Hood
1703.schoolsite,VICI HS       o                ,VICI HS                       
1703.city,ici,Vici
1690.principal,Shnnon Williams,Shannon Williams
457.codistcode,55-I102,55-I012
265.gradeslowhigh,0-12,09-12
1525.principalemail,carden@talihiana.k12.ok.us,carden@talihina.k12.ok.us
822.city,Locst Grove,Locust Grove
782.district,LAWTON                    z    ,LAWTON                        
745.mailingaddress,PO Boxb 47,PO Box 47
1016.mailingaddress, 906 jS. Heights Drive, 906 S. Heights Drive
660.city,Henessey,Hennessey
1385.mailingaddress,PO Box9 8,PO Box 98
1620.district,TULSA                         ***,TULSA                         
1511.district,SULPHUR                      ,SULPHUR                       
706.county,PITTBURG   ,PITTSBURG   
1257.district,PERKINS-RYON                 ,PERKINS-TRYON                 
357.codistcode,73-I07,73-I017
278.principalemail,whityney.moore@cheyenne.k12.ok.us,whitney.moore@cheyenne.k12.ok.us
1254.codistcode,n36-C027,36-C027
1641.codistcode,72-E17,72-E017
1007.county,CANADIANz    ,CANADIAN    
375.mailingaddress,1700 East Walnut Sht,1700 East Walnut St
799.principal,Beverly Mattinglyy,Beverly Mattingly
383.district,DARLINGTON                   ,DARLINGTON                    
1674.telephone,(918) 3574-337,(918) 357-4337
679.gradeslowhigh,06-p08,06-08
1195.statevalue,OsK,OK
450.county,OkKLAHOMA    ,OKLAHOMA    
435.codistcode,6-I001,69-I001
173.codistcode,72-003,72-I003
1815.statevalue,K,OK
369.codistcode,61-I28,61-I028
328.county,DELAWARE   y ,DELAWARE    
987.telephone,(580) 98-6951,(580) 298-6951
1463.principal,Toya Scott,Tonya Scott
1088.telephone,(405) 571-1774,(405) 751-1774
968.principalemail,mikecoyle@moopreschools.com,mikecoyle@mooreschools.com
925.mailingaddress,213 E Elim St,213 E Elm St
1069.codistcode,5-I040,53-I040
1735.gradeslowhigh,09w-12,09-12
1614.statevalue,K,OK
1622.principal,Nicolette xDennis,Nicolette Dennis
1195.district,OKLAHOMA CONNECTONS ACADEMY  ,OKLAHOMA CONNECTIONS ACADEMY  
45.statevalue,KO,OK
544.codistcode,51I003,51-I003
1600.codistcode,72-I001***,72-I001
208.county,PONTkOTOC    ,PONTOTOC    
1598.codistcode,72-I01,72-I001
981.telephone,(405)379-7251,(405) 379-7251
528.city,Fanshaew,Fanshawe
778.gradeslowhigh,iPK-05,PK-05
1609.codistcode,7-2I001,72-I001
480.gradeslowhigh,yPK-08,PK-08
519.principal,BrendaL ewis,Brenda Lewis
104.principal,Timt Haws,Tim Haws
1627.district,TULSA                        ,TULSA                         
1307.city,Prauge,Prague
826.telephone,(405) 729-42x81,(405) 729-4281
1045.schoolsite,KENNED ES                    ,KENNEDY ES                    
885.telephone,(580) 95-2392,(580) 395-2392
68.gradeslowhigh,0l9-12,09-12
478.district,EL RENsO                       ,EL RENO                       
496.county,STEPHENS   f ,STEPHENS    
253.district,CEMENT     w                   ,CEMENT                        
1725.principalemail,dcrabbe@washignton.k12.ok.us,dcrabbe@washington.k12.ok.us
1061.codistcode,14-I02f9,14-I029
572.county,LAINE      ,BLAINE      
1589.statevalue,OpK,OK
1404.schoolsite,SANTA FE SOUTH ES (uCHARTER)   ,SANTA FE SOUTH ES (CHARTER)   
1287.statevalue,K,OK
596.statevalue,KO,OK
1766.schoolsite,sWESTVILLE ES                  ,WESTVILLE ES                  
168.principalemail,dkmosburgb@aschools.org,dkmosburg@baschools.org
96.statevalue,KO,OK
528.county,L EFLORE    ,LE FLORE    
1376.statevalue,uOK,OK
1497.mailingaddress,600South Highschool,600 South Highschool
1815.schoolsite,YARBROUGH ES                  ***,YARBROUGH ES                  
1152.mailingaddress,351 7South Linn Ave,3517 South Linn Ave
1191.district,OKLAHOMA ITY                 ,OKLAHOMA CITY                 
1301.county,LE FLOpRE    ,LE FLORE    
310.mailingaddress,304 N. 1st Stf.,304 N. 1st St.
997.principalemail,kim.fleak@mpsi2.0org,kim.fleak@mpsi20.org
1189.county,OKLAHOAM    ,OKLAHOMA    
526.schoolsite,CHAMBERLAIN uMS                ,CHAMBERLAIN MS                
124.statevalue,fOK,OK
227.telephone,(580) 89-6966,(580) 889-6966
1675.codistcode,72I009,72-I009
1117.telephone,(405) 587-5700***,(405) 587-5700
725.schoolsite,JOHN W REX CHARTER ELEMENTAR Y,JOHN W REX CHARTER ELEMENTARY 
304.city,laremore,Claremore
963.principalemail,markarcher@mooreshcools.com,markarcher@mooreschools.com
464.schoolsite,FRONTIER ES    t               ,FRONTIER ES                   
127.city,qBlair,Blair
1011.principal,Molly Wilson***,Molly Wilson
614.telephone,(05) 282-5936,(405) 282-5936
1542.statevalue,OwK,OK
1090.principalemail,tmcdaniel@kippeach.org,tmcdaniel@kippreach.org
1494.county,AzDAIR       ,ADAIR       
1823.county,CANbADIAN    ,CANADIAN    
1240.codistcode,5-I005,25-I005
1459.statevalue,K,OK
598.statevalue,OlK,OK
1496.schoolsite,MCLISH MS                    ,MCLISH MS                     
933.codistcode,26-mI002,26-I002
1411.district,APULPA                       ,SAPULPA                       
1349.city,uapaw,Quapaw
1547.telephone,580) 852-3281,(580) 852-3281
1228.gradeslowhigh,KP-05,PK-05
675.schoolsite,ETHELv REED ES                 ,ETHEL REED ES                 
106.principal,Don Wenroth,Don Wentroth
996.principal,Jstin Walker,Justin Walker
174.statevalue,KO,OK
312.codistcode,95-I006,59-I006
1596.codistcode,72-Io001,72-I001
979.county,DEhLAWARE    ,DELAWARE    
1051.codistcode,14-I0h29,14-I029
317.principal,ason Bengs,Jason Bengs
606.county,DELWARE    ,DELAWARE    
1240.telephone,(405 484-7231,(405) 484-7231
840.gradeslowhigh,091-2,09-12
1780.gradeslowhigh,09-e12,09-12
802.principal,RodE lam,Rod Elam
1097.city,Okene,Okeene
875.mailingaddress,PO Box 107,PO Box 1027
1811.mailingaddress,OP Box 700,PO Box 700
1221.city,Oawsso,Owasso
682.schoolsite,HORACE MANN ES                ***,HORACE MANN ES                
1358.county,LATIMERh     ,LATIMER     
1173.mailingaddress,1901 Norht Ellison Ave,1901 North Ellison Ave
635.principal,Geg Faris,Greg Faris
1127.principal,Mitch Ruzzohli,Mitch Ruzzoli
1255.codistcode,11-C03l1,11-C031
1369.principalemail,dgparner@riverside.k12.ok.us,dgarner@riverside.k12.ok.us
777.gradeslowhigh,e-,-
1157.codistcode,m55-I089,55-I089
563.city,Mcaleter,Mcalester
474.city,E lReno,El Reno
270.principal,Zenmda Willcut,Zenda Willcut
1314.mailingaddress,O Box 548,PO Box 548
238.statevalue,K,OK
1528.schoolsite,TALOGA HS                    ,TALOGA HS                     
1681.mailingaddress,.O.Box 279,P.O.Box 279
1209.county,MUSKOGEE   ,MUSKOGEE    
1816.statevalue,KO,OK
1266.schoolsite,NORTHWOODE S                  ,NORTHWOOD ES                  
706.city,Inianola,Indianola
1624.codistcode,7-I001,72-I001
1526.mailingaddress,PO oBox 38,PO Box 38
1337.district,PTNAM CITY                   ,PUTNAM CITY                   
939.gradeslowhigh,KP-06,PK-06
71.telephone,(58a0) 889-3361,(580) 889-3361
59.gradeslowhigh,9-12,09-12
787.city,Lawotn,Lawton
1797.schoolsite,WOODWARD C CTR               ,WOODWARD EC CTR               
1604.principalemail,baconre@tulasschools.org,baconre@tulsaschools.org
1472.statevalue,K,OK
1518.codistcode,11-035,11-I035
1803.schoolsite,WRIGHT CITY HS p               ,WRIGHT CITY HS                
1252.county,PAWNEE     f ,PAWNEE      
1556.telephone,(918h) 833-8760,(918) 833-8760
610.district,GUTHRIE                      c ,GUTHRIE                       
1561.district,TULSA               v          ,TULSA                         
1608.principal,Heather Newtn,Heather Newton
834.mailingaddress,37 West Sickles Ave.,307 West Sickles Ave.
955.schoolsite,EASTLAKE ES                  ,EASTLAKE ES                   
1163.gradeslowhigh,0-708,07-08
644.mailingaddress,520 South Fith St,520 South Fifth St
48.gradeslowhigh,PK-60,PK-06
618.statevalue,KO,OK
684.statevalue,KO,OK
1769.schoolsite,WoETUMKA ES                    ,WETUMKA ES                    
1176.schoolsite,U. .S GRANT HS                ,U. S. GRANT HS                
550.principal,Pill Hall,Phill Hall
418.principal,aMureen Brown,Maureen Brown
224.telephone,(918) i654-3224,(918) 654-3224
618.principal,Mrelissa Watson,Melissa Watson
403.principalemail,jlarremoren@depew.k12.ok.us,jlarremore@depew.k12.ok.us
1154.codistcode,55-0I89,55-I089
135.county,vCRAIG       ,CRAIG       
565.county,NOBLE      ,NOBLE       
1135.county,OKLAzHOMA    ,OKLAHOMA    
1718.principalemail,smcneely@wanette.uk12.ok.us,smcneely@wanette.k12.ok.us
682.district,HOMINY                       ,HOMINY                        
1401.statevalue,KO,OK
685.mailingaddress,200 South Ptetit Ave,200 South Pettit Ave
679.principal,Maty Webb,Marty Webb
866.statevalue,KO,OK
1332.statevalue,K,OK
786.statevalue,K,OK
277.city,Cehyenne,Cheyenne
524.district,FAyIRLAND                      ,FAIRLAND                      
484.principal,Curtis Loraah,Curtis Lorah
1074.city,aks,Oaks
1199.codistcode,5-3I003,53-I003
44.district,NADARKO                      ,ANADARKO                      
1778.principalemail,sshephyerd@whitefield.k12.ok.us,sshepherd@whitefield.k12.ok.us
1785.codistcode,01-I043,10-I043
340.city,Comancche,Comanche
49.city,Antelrs,Antlers
1507.gradeslowhigh,0k6-08,06-08
150.principalemail,nhinkle@bowringps.k12.oko.us,nhinkle@bowringps.k12.ok.us
722.gradeslowhigh,7-08,07-08
1272.principalemail,tbetchan@ppv.1k2.ok.us,tbetchan@ppv.k12.ok.us
1339.telephone,(405) 72i2-9797,(405) 722-9797
1069.district,NOWATA          m              ,NOWATA                        
794.statevalue,K,OK
1296.district,POND CREEK-HwUNTER             ,POND CREEK-HUNTER             
188.schoolsite,BROKEN ARROW H S              ,BROKEN ARROW HS               
916.telephone,(45) 794-4703,(405) 794-4703
610.mailingaddress,902N orth Wentz St,902 North Wentz St
565.telephone,580) 723-4360,(580) 723-4360
209.district,CACHE                    e     ,CACHE                         
244.county,KINGIFSHER  ,KINGFISHER  
943.district,MOORE           s              ,MOORE                         
948.telephone,(405) 735-4100***,(405) 735-4100
362.gradeslowhigh,PK0-5,PK-05
528.principal,WesleyMcgowen,Wesley Mcgowen
1471.county,TULSA    p   ,TULSA       
717.principal,Ryan Glaez,Ryan Glaze
240.principalemail,aodonnell@carne.k12.ok.us,aodonnell@carney.k12.ok.us
1457.codistcode,48-I01h4,48-I014
367.county,OKLAHOMA   ,OKLAHOMA    
689.telephone,918) 658-3368,(918) 658-3368
1631.mailingaddress,1514 East Zon St,1514 East Zion St
617.mailingaddress,712 Nocrth Academy,712 North Academy
681.mailingaddress,401 Holly Creek Roead,401 Holly Creek Road
655.statevalue,KO,OK
879.principalemail,bbraden@mccord.k12.ko.us,bbraden@mccord.k12.ok.us
1343.telephone,(i405) 721-2411,(405) 721-2411
1255.county,CHkEROKEE    ,CHEROKEE    
1246.district,PAULS VALLEY                  ***,PAULS VALLEY                  
1743.codistcode,20-Ik026,20-I026
994.statevalue,KO,OK
55.mailingaddress,PO Bomx 1709,PO Box 1709
1357.mailingaddress,PO Box 299***,PO Box 299
471.city,Emond,Edmond
274.principal,Jeemy Hickman,Jeremy Hickman
1111.principal,Brett Meissa,Brett Melissa
141.principal,Jzohn Speir,John Speir
52.principalemail,southall@harapaho.k12.ok.us,southall@arapaho.k12.ok.us
558.mailingaddress,17 N. 15Th,817 N. 15Th
750.schoolsite,RONEY MS                     ,RONGEY MS                     
86.principalemail,eidsonje@bp-sok.org,eidsonje@bps-ok.org
951.principal,Kathy Massye,Kathy Massey
109.principal,eJremy Stewart,Jeremy Stewart
830.telephone,(580) 657-333,(580) 657-3133
1310.schoolsite,PyRETTY WATER PUBLIC SCHOOL    ,PRETTY WATER PUBLIC SCHOOL    
610.codistcode,42-I00b1,42-I001
774.schoolsite,ATTA HS                      ,LATTA HS                      
1601.principal,Cynthia Watsn,Cynthia Watson
1795.gradeslowhigh,02-5,02-05
320.district,CLINTzON                       ,CLINTON                       
889.statevalue,vOK,OK
12.principalemail,brogers@adairschool.org,brogers@adairschools.org
1602.schoolsite,SEQUOYAH ES                  ,SEQUOYAH ES                   
576.gradeslowhigh,07-m08,07-08
634.county,ToEXAS       ,TEXAS       
474.mailingaddress,PO Box 508,PO Box 580
245.city,Caotosa,Catoosa
166.district,BROKEN ARROW                  ***,BROKEN ARROW                  
612.gradeslowhigh,4-06,04-06
71.district,ATOKA                  x       ,ATOKA                         
128.principalemail,jsmith@blairschoolo.rg,jsmith@blairschool.org
675.gradeslowhigh,PK-0q3,PK-03
1095.schoolsite,JUSTICE A.W. SEEWsORTH ACADEMY ,JUSTICE A.W. SEEWORTH ACADEMY 
1181.telephone,(405 )587-9600,(405) 587-9600
1455.schoolsite,NEWMAN MS                    ,NEWMAN MS                     
1713.county,MUSKGEE    ,MUSKOGEE    
554.city,lFoyil,Foyil
31.telephone,(580 )481-2151,(580) 481-2151
1798.schoolsite,HIGHLAND PARK ES             ,HIGHLAND PARK ES              
1324.schoolsite,CENTRAL ES    l                ,CENTRAL ES                    
109.district,BETHEL         x               ,BETHEL                        
754.district,KNGFISHER                    ,KINGFISHER                    
191.codistcode,4v8-I074,48-I074
67.codistcode,55-G004***,55-G004
1427.county,SEMNOLE    ,SEMINOLE    
846.codistcode,28-Ir001,28-I001
1230.principal,Kira elsey,Kira Kelsey
1265.telephone,(405)l 373-4227,(405) 373-4227
1107.principal,Ronda Hmilton,Ronda Hamilton
740.gradeslowhigh,091-2,09-12
1569.schoolsite,ECDC REED                    ,ECDC REED                     
699.schoolsite,HYDRO-EAKLY HS               ,HYDRO-EAKLY HS                
1386.gradeslowhigh,06k-08,06-08
355.gradeslowhigh,04-60,04-06
1602.district,TULSA                         ***,TULSA                         
471.principal,Jutsin Coffelt,Justin Coffelt
547.codistcode,77-yI005,77-I005
1684.principalemail,drobbersokn@vpsd.org,drobberson@vpsd.org
822.mailingaddress,POBox 399,PO Box 399
1379.district,RUSH SPRINGSx                  ,RUSH SPRINGS                  
1429.gradeslowhigh,0-912,09-12
1388.gradeslowhigh,PKd-02,PK-02
793.county,COMANCE    ,COMANCHE    
1503.mailingaddress,POB ox 130,PO Box 130
1261.district,ERRY                         ,PERRY                         
1026.county,MCCLAI     ,MCCLAIN     
5.principalemail,cloarr@adapss.com***,cloarr@adapss.com
100.county,TLUSA       ,TULSA       
1753.principal,Rust yJohnson,Rusty Johnson
1672.schoolsite,JARMAN S                     ,JARMAN ES                     
11.statevalue,OvK,OK
70.county,ATKA       ,ATOKA       
507.county,GARFILD    ,GARFIELD    
998.mailingaddress,u301 N. 54th St.,301 N. 54th St.
625.telephone,(580)k 338-4360,(580) 338-4360
1559.gradeslowhigh,PK-0y6,PK-06
788.telephone,(580) 355-4i799,(580) 355-4799
985.city,oMuntain View,Mountain View
1704.county,RCAIG       ,CRAIG       
346.city,Codrell,Cordell
1632.city,ulsa,Tulsa
1398.principalemail,nancy.ogle@sbandites.org,nancy.ogle@sandites.org
1645.principal,Jamila aMcarthur,Jamila Macarthur
693.city,Huog,Hugo
864.principal,Richard Williams***,Richard Williams
29.schoolsite,SUNSET ES               s      ,SUNSET ES                     
535.county,COMANCHzE    ,COMANCHE    
285.schoolsite,CHISHOLM MS                  ,CHISHOLM MS                   
691.city,Hugdo,Hugo
76.schoolsite,BARNSDALL ES       r           ,BARNSDALL ES                  
741.city,Ktchum,Ketchum
1716.codistcode,17-I001***,17-I001
1789.schoolsite,WISTER ES                     ***,WISTER ES                     
807.telephone,(850) 488-3377,(580) 488-3377
209.city,Cachce,Cache
283.county,GRADY o      ,GRADY       
845.principalemail,agower@madillok.lcom,agower@madillok.com
331.principal,ames Miller,James Miller
119.county,TLUSA       ,TULSA       
255.city,Salilsaw,Sallisaw
695.gradeslowhigh,r-,-
75.codistcode,90-C031,09-C031
1037.schoolsite,JOHN K. HUBBARD ES           ,JOHN K. HUBBARD ES            
763.principalemail,rslsawson@kiowa.k12.ok.us,rslawson@kiowa.k12.ok.us
1134.gradeslowhigh,K-06,PK-06
268.statevalue,KO,OK
1098.telephone,(58)0 822-3219,(580) 822-3219
437.county,BRYAN  t     ,BRYAN       
1011.principalemail,wilsonmo@mustangpsorg,wilsonmo@mustangps.org
928.statevalue,KO,OK
882.county,POTTAWyATOMIE,POTTAWATOMIE
863.principal,Rohnda Brown,Rhonda Brown
1634.telephone,918) 925-1360,(918) 925-1360
1754.telephone,(405) 3562-256,(405) 356-2256
245.schoolsite,J. W. SAM ES         o         ,J. W. SAM ES                  
1285.county,KYA         ,KAY         
818.principalemail,brian.tucpper@littleaxepss.org,brian.tupper@littleaxepss.org
452.mailingaddress,901 East Wyne St,901 East Wayne St
125.mailingaddress,1041 South Fist St,1041 South First St
83.city,Bartlesvlile,Bartlesville
99.mailingaddress,729 North Perryq St,729 North Perry St
1627.statevalue,K,OK
1568.codistcode,2-I001,72-I001
1556.district,TULSA                        ,TULSA                         
1260.mailingaddress,1303 North 15thS t,1303 North 15th St
465.schoolsite,HERITAGEE S                   ,HERITAGE ES                   
321.county,COAL      s  ,COAL        
965.mailingaddress,9400 South Pennsylvania Avce,9400 South Pennsylvania Ave
1720.statevalue,dOK,OK
1080.city,karche,Okarche
1129.schoolsite,JOHNSON ES                    ***,JOHNSON ES                    
1465.district,OSUTH COFFEYVILLE             ,SOUTH COFFEYVILLE             
1404.county,KLAHOMA    ,OKLAHOMA    
754.county,KINaGFISHER  ,KINGFISHER  
1562.mailingaddress,1740 NorthHarvard Ave,1740 North Harvard Ave
697.schoolsite,HYDRO-EAKLYj ES                ,HYDRO-EAKLY ES                
1421.codistcode,22-0I08,22-I008
1706.statevalue,hOK,OK
1605.mailingaddress,1202 Wbest Easton St,1202 West Easton St
905.codistcode,55-I025,55-I052
1201.statevalue,OzK,OK
1658.telephone,(405) 3q81-2368,(405) 381-2368
1329.schoolsite,HARVEST HILLS ES              ***,HARVEST HILLS ES              
1531.telephone,(405 )598-2967,(405) 598-2967
682.gradeslowhigh,01-0c5,01-05
410.codistcode,7i4-I007,74-I007
1749.county,CRAIG      ,CRAIG       
862.statevalue,K,OK
1208.statevalue,sOK,OK
1217.telephone,(918)443-6211,(918) 443-6211
205.city,Ayda,Ada
1622.county,TUSA       ,TULSA       
1437.gradeslowhigh,PK08,PK-08
1605.principal,Robret Wilson,Robert Wilson
207.county,PONTOTOC  w  ,PONTOTOC    
86.gradeslowhigh,06-8,06-08
375.telephone,(981) 225-6622,(918) 225-6622
581.telephone,(98) 322-9500,(918) 322-9500
933.schoolsite,MINCO MS                     ,MINCO MS                      
1248.principal,Byon Cowan,Bryon Cowan
1178.principalemail,tlsandersv@okcps.org,tlsanders@okcps.org
928.principal,Lrinda Chancellor,Lorinda Chancellor
1109.principalemail,lemorris@okcps.orag,lemorris@okcps.org
1336.codistcode,55-I01,55-I001
1378.county,SEQUOYAHk    ,SEQUOYAH    
62.principal,Cyal vWalden,Cyal Walden
1095.mailingaddress,2600 N Kelley Ave.,12600 N Kelley Ave.
1210.county,CREEK u      ,CREEK       
349.gradeslowhigh,KP-08,PK-08
651.principalemail,bwxall@haworth.k12.ok.us,bwall@haworth.k12.ok.us
1738.mailingaddress,212 South Seifrid St,212 South Seifried St
1386.telephone,(918) 434-3511,(918) 434-5311
1719.codistcode,35-037,35-I037
136.statevalue,KO,OK
1375.city,off,Roff
1090.codistcode,55-yE012,55-E012
1029.telephone,(580) 835-2191,(580) 385-2191
340.principal,Steven uDnham,Steven Dunham
492.gradeslowhigh,P-K06,PK-06
626.gradeslowhigh,0912,09-12
142.city,Apaoche,Apache
1050.county,CLEVELAND  ,CLEVELAND   
1139.telephone,(405) 87-4400,(405) 587-4400
1739.county,qWOODS       ,WOODS       
1447.district,SHIDLER                       ***,SHIDLER                       
1095.telephone,(405) 475-6040,(405) 475-6400
704.statevalue,K,OK
1483.city,Setillwater,Stillwater
1516.gradeslowhigh,9-12,09-12
801.principal,Regina Dleoach,Regina Deloach
306.county,ROGER S     ,ROGERS      
1784.gradeslowhigh,09-2,09-12
429.codistcode,69-I01,69-I001
576.mailingaddress,00 West Main St,800 West Main St
1710.city,Wgaoner,Wagoner
