district,schoolsite,codistcode,sitecode,enrollment,certifiedstaff,gradeslowhigh,telephone,mailingaddress,city,statevalue,zip,county,principal,principalemail
EARLSBORO,EARLSBORO ES,63-I005,105,174.0,14,PK-08,(405) 997-5312,PO Box 10,Earlsboro,OK,74840.0,POTTAWATOMIE,Mike Goats,mgoats@earlsboro.k12.ok.us
EARLSBORO,EARLSBORO ES,63-I005,105,174.0,14,PK-08,(405) 997-5312,PO Box 10,Earlsboro,OK,74840.0,POTTAWATOMIE,Robert Calder,rcalder@earlsboro.k12.ok.us
EARLSBORO,EARLSBORO HS,63-I005,705,76.0,11,09-12,(405) 997-5252,PO Box 10,Earlsboro,OK,74840.0,POTTAWATOMIE,Mark Maloy,mmaloy@earlsboro.k12.ok.us
EARLSBORO,EARLSBORO HS,63-I005,705,76.0,11,09-12,(405) 997-5252,PO Box 10,Earlsboro,OK,74840.0,POTTAWATOMIE,Ryan Friend,rfriend@earlsboro.k12.ok.us
EDMOND,CLEGERN ES,55-I012,105,397.0,42,PK-05,(405) 340-2955,601 South Jackson St,Edmond,OK,73034.0,OKLAHOMA,Teri Cowden-Draper,teri.draper@edmondschools.net
EDMOND,RUSSELL DOUGHERTY ES,55-I012,110,311.0,27,PK-05,(405) 340-2985,19 North Blvd,Edmond,OK,73003.0,OKLAHOMA,Penny Dilg,penny.dilg@edmondschools.net
EDMOND,IDA FREEMAN ES,55-I012,115,497.0,44,PK-05,(405) 340-2965,501 West Hurd St,Edmond,OK,73003.0,OKLAHOMA,Keith Pautler,keith.pautler@edmondschools.net
EDMOND,NORTHERN HILLS ES,55-I012,122,711.0,50,PK-05,(405) 340-2975,901 East Wayne St,Edmond,OK,73034.0,OKLAHOMA,Michele Milner,michele.milner@edmondschools.net
EDMOND,ORVIS RISNER ES,55-I012,125,587.0,50,PK-05,(405) 340-2984,2801 South Rankin St,Edmond,OK,73013.0,OKLAHOMA,Penny Gooch,penny.gooch@edmondschools.net
EDMOND,SUNSET ES,55-I012,130,697.0,51,PK-05,(405) 340-2990,400 West Eighth St,Edmond,OK,73003.0,OKLAHOMA,Kartina Mcdaniel,kartina.mcdaniel@edmondschools.net
EDMOND,WILL ROGERS ES,55-I012,135,690.0,51,PK-05,(405) 340-2995,1215 East Ninth St,Edmond,OK,73034.0,OKLAHOMA,Sheron House,sheron.house@edmondschools.net
EDMOND,CHISHOLM ES,55-I012,140,823.0,59,PK-05,(405) 340-2950,2300 Southeast 33rd St,Edmond,OK,73013.0,OKLAHOMA,Thomas Higdon,thomas.higdon@edmondschools.net
EDMOND,JOHN ROSS ES,55-I012,145,858.0,56,PK-05,(405) 340-2970,1901 Thomas Drive,Edmond,OK,73003.0,OKLAHOMA,Christa Ellis,christa.ellis@edmondschools.net
EDMOND,CHARLES HASKELL ES,55-I012,150,828.0,58,PK-05,(405) 340-2945,1701 Northwest 150th St,Edmond,OK,73013.0,OKLAHOMA,Dayna Hamilton,dayna.hamilton@edmondschools.net
EDMOND,CROSS TIMBERS ES,55-I012,155,869.0,55,PK-05,(405) 340-2200,4800 North Kelly Ave,Edmond,OK,73025.0,OKLAHOMA,Jamila Crawford,jamila.crawford@edmondschools.net
EDMOND,WASHINGTON IRVING ES,55-I012,160,762.0,52,PK-05,(405) 340-2210,18101 North Western Ave,Edmond,OK,73012.0,OKLAHOMA,Kinberly Frank,kimberly.frank@edmondschools.net
EDMOND,ANGIE DEBO ES,55-I012,165,918.0,65,PK-05,(405) 340-2270,16060 North May Ave,Edmond,OK,73013.0,OKLAHOMA,Candice Delcamp,candice.delcamp@edmondschools.net
EDMOND,WEST FIELD ES,55-I012,170,850.0,53,PK-05,(405) 340-2285,17601 North Pennsylvania,Edmond,OK,73012.0,OKLAHOMA,Lisa Crosslin,lisa.crosslin@edmondschools.net
EDMOND,CENTENNIAL ES,55-I012,175,811.0,53,PK-05,(405) 340-2275,4400 North Coltrane,Edmond,OK,73034.0,OKLAHOMA,Jessele Miller,jessele.miller@edmondschools.net
EDMOND,FRONTIER ES,55-I012,180,647.0,46,PK-05,(405) 340-2211,4901 Explorer Dr,Edmond,OK,73003.0,OKLAHOMA,Cara Jernigan,cara.jernigan@edmondschools.net
EDMOND,HERITAGE ES,55-I012,185,518.0,38,PK-05,(405) 340-2800,400 E Sorghum Mill Rd,Edmond,OK,73034.0,OKLAHOMA,Cathey Bugg,cathey.bugg@edmondschools.net
EDMOND,CIMARRON MS,55-I012,505,803.0,60,06-08,(405) 340-2935,3701 South Bryant Ave,Edmond,OK,73013.0,OKLAHOMA,Cordell Ehrich,cordell.ehrich@edmondschools.net
EDMOND,CHEYENNE MS,55-I012,510,986.0,71,06-08,(405) 330-7380,1271 West Covell Road,Edmond,OK,73003.0,OKLAHOMA,Susie Schinnerer,susie.schinnerer@edmondschools.net
EDMOND,SEQUOYAH MS,55-I012,515,1344.0,86,06-08,(405) 340-2900,1125 East Danforth Road,Edmond,OK,73034.0,OKLAHOMA,Jason Galloway,jason.galloway@edmondschools.net
EDMOND,SUMMIT MS,55-I012,520,1231.0,81,06-08,(405) 340-2920,1703 Northwest 150th St,Edmond,OK,73013.0,OKLAHOMA,Shana Perry,shana.perry@edmondschools.net
EDMOND,CENTRAL MS,55-I012,525,836.0,67,06-08,(405) 340-2890,500 East Ninth St,Edmond,OK,73034.0,OKLAHOMA,Dana Renner,dana.renner@edmondschools.net
EDMOND,MEMORIAL HS,55-I012,705,2155.0,138,09-12,(405) 340-2850,1000 East 15th St,Edmond,OK,73013.0,OKLAHOMA,Justin Coffelt,juastin.coffelt@edmondschools.net
EDMOND,NORTH HS,55-I012,715,2644.0,150,09-12,(405) 340-2875,215 West Danforth Road,Edmond,OK,73003.0,OKLAHOMA,Jason Pittenger,jason.pittenger@edmondschools.net
EDMOND,SANTA FE HS,55-I012,720,2220.0,158,09-12,(405) 340-2230,1901 West 15th St,Edmond,OK,73013.0,OKLAHOMA,Jason Hayes,jason.hayes@edmondschools.net
EL RENO,HILLCREST ES,09-I034,110,328.0,25,PK-KG,(405) 262-2396,PO Box 580,El Reno,OK,73036.0,CANADIAN,Jenifer Posey,jposey@elrenops.org
EL RENO,LINCOLN LEARNING CTR,09-I034,120,380.0,36,03-04,(405) 262-1941,PO Box 580,El Reno,OK,73036.0,CANADIAN,Joel Read,jread@elrenops.org
EL RENO,ROSE WITCHER ES,09-I034,135,412.0,31,01-02,(405) 262-5592,PO Box 580,El Reno,OK,73036.0,CANADIAN,Tiffani Patrick,tpatrick@elrenops.org
EL RENO,LESLIE F ROBLYER LEARNING CTR,09-I034,510,328.0,32,05-06,(405) 262-2700,PO Box 580,El Reno,OK,73036.0,CANADIAN,Monica Brower,mbrower@elrenops.org
EL RENO,ETTA DALE JHS,09-I034,610,347.0,43,07-08,(405) 262-3253,PO Box 580,El Reno,OK,73036.0,CANADIAN,Kim Landers,klanders@elrenops.org
EL RENO,EL RENO HS,09-I034,705,840.0,73,09-12,(405) 262-3254,PO Box 580,El Reno,OK,73036.0,CANADIAN,Pat Liticker,pliticker@elrenops.org
ELDORADO,ELDORADO ES,33-I025,105,49.0,15,PK-08,(580) 633-2219,PO Box J,Eldorado,OK,73537.0,JACKSON,Chrystal Bryant,cbryant@eldorado.k12.ok.us
ELDORADO,ELDORADO HS,33-I025,705,25.0,11,09-12,(580) 633-2219,PO Box J,Eldorado,OK,73537.0,JACKSON,Chrystal Bryant,cbryant@eldorado.k12.ok.us
ELGIN,ELGIN ES,16-I016,105,924.0,59,PK-04,(580) 492-3680,PO Box 369,Elgin,OK,73538.0,COMANCHE,Doug Garland,dgarland@elginps.org
ELGIN,ELGIN MS,16-I016,505,670.0,49,05-08,(580) 492-3655,PO Box 369,Elgin,OK,73538.0,COMANCHE,Melissa Hitt,mhitt@elginps.org
ELGIN,ELGIN HS,16-I016,705,673.0,55,09-12,(580) 492-3670,PO Box 369,Elgin,OK,73538.0,COMANCHE,Curtis Lorah,clorah@elginps.org
ELK CITY,FAIRVIEW ES,05-I006,105,315.0,23,03-04,(580) 225-2590,222 West Broadway Ave,Elk City,OK,73644.0,BECKHAM,Pam Joy,joy.pam@elkcityschools.com
ELK CITY,PIONEER ES,05-I006,110,319.0,23,PK-KG,(580) 225-7722,222 West Broadway Ave,Elk City,OK,73644.0,BECKHAM,Amanda Friesen,friesen.amanda@elkcityschools.com
ELK CITY,GRANDVIEW 5TH/6TH GRADE CTR,05-I006,115,328.0,30,05-06,(580) 225-2687,222 West Broadway Ave,Elk City,OK,73644.0,BECKHAM,Randy Turney,turney.randy@elkcityschools.com
ELK CITY,NORTHEAST ES,05-I006,120,336.0,25,01-02,(580) 225-0194,222 West Broadway Ave,Elk City,OK,73644.0,BECKHAM,Dee Wilhelm,wilhelm.dee@elkcityschools.com
ELK CITY,OPENS 2017-18 EARLY CHILDHOOD,05-I006,125,95.0,0,-,(580) 225-2229,222 West Broadway Ave,Elk City,OK,73644.0,BECKHAM,Cindy Buckmaster,buckmaster.cindy@elkcityschools.com
ELK CITY,8TH AND 9TH GRADE CTR,05-I006,610,431.0,57,07-09,(580) 225-0476,222 West Broadway Ave,Elk City,OK,73644.0,BECKHAM,Tammy Russell,russell.tammy@elkcityschools.com
ELK CITY,ELK CITY HS,05-I006,705,418.0,55,10-12,(580) 225-0105,222 West Broadway Ave,Elk City,OK,73644.0,BECKHAM,Jeff Lewallen,lewallen.jeff@elkcityschools.com
ELMORE CITY-PERNELL,ELMORE CITY-PERNELL ES,25-I072,105,314.0,24,PK-06,(580) 788-2869,100 North Muse Ave,Elmore City,OK,73433.0,GARVIN,Sheila Riddle,sriddle@ecphs.k12.ok.us
ELMORE CITY-PERNELL,ELMORE CITY JHS,25-I072,605,61.0,18,07-08,(580) 788-2566,100 North Muse Ave,Elmore City,OK,73433.0,GARVIN,Jackie Sadler,jsadler@ecphs.k12.ok.us
ELMORE CITY-PERNELL,SENIOR HS,25-I072,715,145.0,21,09-12,(580) 788-2565,100 North Muse Ave,Elmore City,OK,73433.0,GARVIN,Jackie Sadler,jsadler@ecphs.k12.ok.us
EMPIRE,EMPIRE ES,69-I021,105,307.0,26,PK-06,(580) 255-4150,276803 E. 1760 Road,Duncan,OK,73533.0,STEPHENS,Josh Skiles,jskiles@empireschools.org
EMPIRE,EMPIRE JHS,69-I021,605,70.0,20,07-08,(580) 255-7515,276803 E. 1760 Road,Duncan,OK,73533.0,STEPHENS,Jodie Roberts,jroberts@empireschools.org
EMPIRE,EMPIRE HS,69-I021,715,95.0,19,-,(580) 255-7515,276803 E. 1760 Road,Duncan,OK,73533.0,STEPHENS,Jodie Roberts,jroberts@empireschool.org
ENID,ADAMS ES,24-I057,105,346.0,35,KG-05,(580) 366-7600,2200 East Randolph Ave,Enid,OK,73701.0,GARFIELD,Beverly James,bjjames@enidk12.org
ENID,CARVER EARLY CHILDHOOD CTR,24-I057,115,172.0,13,PK-PK,(580) 366-8601,815 South 5th St,Enid,OK,73701.0,GARFIELD,Chris Smith,cmsmith@enidk12.org
ENID,COOLIDGE ES,24-I057,120,537.0,39,PK-05,(580) 366-7550,1515 East Ash Ave,Enid,OK,73701.0,GARFIELD,Jennifer Cruz,jrcruz@enidk12.org
ENID,EISENHOWER ES,24-I057,125,161.0,14,PK-05,(580) 366-8100,1301 Fox Drive,Enid,OK,73703.0,GARFIELD,Polly Maxwell,pemaxwell@enidk12.org
ENID,GARFIELD ES,24-I057,130,623.0,47,PK-05,(580) 366-7700,400 N. 7th St,Enid,OK,73701.0,GARFIELD,Jane Johnson,jmjohnson@enidk12.org
ENID,GLENWOOD ES,24-I057,132,488.0,38,PK-05,(580) 366-7800,824 North Oakwood Road,Enid,OK,73703.0,GARFIELD,James Rainey,jbrainey@enidk12.org
ENID,HAYES ES,24-I057,137,308.0,23,PK-05,(580) 366-7650,2102 Beverly Drive,Enid,OK,73703.0,GARFIELD,Lyntel Murphy,lamurphy@enidk12.org
ENID,HOOVER ES,24-I057,140,329.0,30,PK-05,(580) 366-7350,2800 West Maine Ave,Enid,OK,73703.0,GARFIELD,Karen Heizer,kkheizer@enidk12.org
ENID,MCKINLEY ES,24-I057,160,310.0,24,PK-05,(580) 366-7400,1701 West Broadway Ave,Enid,OK,73703.0,GARFIELD,Kay Kiner,klkiner@enidk12.org
ENID,MONROE ES,24-I057,165,415.0,36,PK-05,(580) 366-7500,400 West Cottonwood Ave,Enid,OK,73701.0,GARFIELD,M. Scott Allen,msallen@enidk12.org
ENID,PRAIRIE VIEW ES,24-I057,170,558.0,35,PK-05,(580) 366-8000,4700 W. Willow Road,Enid,OK,73703.0,GARFIELD,Clark Koepping,cskoepping@enidk12.org
ENID,TAFT ES,24-I057,175,351.0,27,PK-05,(580) 366-7450,1002 Sequoyah Drive,Enid,OK,73703.0,GARFIELD,Peggy Kenaga,pakenaga@enidk12.org
ENID,EMERSON MS,24-I057,505,421.0,38,06-08,(580) 366-7250,700 West Elm Ave,Enid,OK,73701.0,GARFIELD,Candice Wojciechowsky,cawojciechowsky@enidk12.org
ENID,LONGFELLOW MS,24-I057,510,514.0,44,06-08,(580) 366-8200,900 East Broadway Ave,Enid,OK,73701.0,GARFIELD,Scott Fitzgerald,sdfitzgerald@enidk12.org
ENID,DEWITT WALLER MS,24-I057,515,718.0,51,06-08,(580) 366-7900,2604 West Randolph Ave,Enid,OK,73703.0,GARFIELD,Adam Beauchamp,albeauchamp@enidk12.org
ENID,ENID HS,24-I057,705,1827.0,155,09-12,(580) 366-8300,611 West Wabash Ave,Enid,OK,73701.0,GARFIELD,Jim Beierschmitt,jdbeierschmitt@enidk12.org
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER ES,55-Z001,970,2064.0,191,PK-05,(405) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma City,OK,73120.0,OKLAHOMA,David Kincaid,david.kincaid@epiccharterschools.org
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER MS,55-Z001,971,1338.0,8,06-08,(405) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma City,OK,73120.0,OKLAHOMA,Pam Beck,pam.beck@epiccharterschools.org
EPIC ONE ON ONE CHARTER SCHOOL,EPIC ONE ON ONE CHARTER HS,55-Z001,972,2635.0,0,09-12,(405) 749-4550,4101 Nw 122Nd St Suite B,Oklahoma City,OK,73120.0,OKLAHOMA,Jennifer Banfield,jennifer.banfield@epiccharterschools.org
ERICK,ERICK ES,05-I051,105,95.0,22,-,(580) 526-3203,PO Box 9,Erick,OK,73645.0,BECKHAM,Kenneth Hill,khill@erickps.k12.ok.us
ERICK,ERICK HS,05-I051,715,70.0,17,09-12,(580) 526-3351,PO Box 9,Erick,OK,73645.0,BECKHAM,Jeff Kelly,jkelly@erickps.k12.ok.us
EUFAULA,EUFAULA ES,49-I001,120,588.0,43,PK-05,(918) 689-2682,1717 W. Jm Bailey Hwy,Eufaula,OK,74432.0,MCINTOSH,Brenda Lewis,bglewis@eufaula.k12.ok.us
EUFAULA,EUFAULA MS,49-I001,505,270.0,32,06-08,(918) 689-2711,1717 W. Jm Bailey Hwy,Eufaula,OK,74432.0,MCINTOSH,Chris Whelan,cjwhelan@eufaula.k12.ok.us
EUFAULA,EUFAULA HS,49-I001,710,326.0,40,09-12,(918) 689-2556,1717 W. Jm Bailey Hwy,Eufaula,OK,74432.0,MCINTOSH,Michael Tamez,mtamez@eufaula.k12.ok.us
FAIRLAND,FAIRLAND ES,58-I031,105,332.0,28,PK-05,(918) 676-3224,202 West Washington Ave,Fairland,OK,74343.0,OTTAWA,Angie Wade,awade@fairlandowls.com
FAIRLAND,FAIRLAND MS,58-I031,510,126.0,23,06-08,(918) 676-3246,202 West Washington Ave,Fairland,OK,74343.0,OTTAWA,Jerry Johnson,jjohnson@fairlandowls.com
FAIRLAND,FAIRLAND HS,58-I031,705,180.0,23,09-12,(918) 676-3246,202 West Washington Ave,Fairland,OK,74343.0,OTTAWA,Jerry Johnson,jjohnson@fairlandowls.com
FAIRVIEW,CORNELSEN ES,44-I084,105,402.0,29,PK-05,(580) 227-2561,408 East Broadway,Fairview,OK,73737.0,MAJOR,Mark Vanmeter,mvm@auroraok.org
FAIRVIEW,CHAMBERLAIN MS,44-I084,510,148.0,25,06-08,(580) 227-2555,408 E. Broadway,Fairview,OK,73737.0,MAJOR,Cheryl Hasty,cahasty@auroraok.org
FAIRVIEW,FAIRVIEW HS,44-I084,705,182.0,28,09-12,(580) 227-4446,408 East Broadway,Fairview,OK,73737.0,MAJOR,Brian Hamar,hamar@auroraok.org
FANSHAWE,FANSHAWE PUBLIC SCHOOL,40-C039,105,76.0,9,PK-08,(918) 659-2341,PO Box 100,Fanshawe,OK,74935.0,LE FLORE,Wesley Mcgowen,wmcgowen@fanshawe.k12.ok.us
FARGO,FARGO ES,23-I002,105,134.0,21,PK-08,(580) 698-2298,PO Box 200,Fargo,OK,73840.0,ELLIS,Pamela Myers,pmyers@fargo.k12.ok.us
FARGO,FARGO HS,23-I002,705,57.0,16,09-12,(580) 698-2298,PO Box 200,Fargo,OK,73840.0,ELLIS,Sherri Tune,stune@fargo.k12.ok.us
FELT,FELT ES,13-I010,105,65.0,11,PK-08,(580) 426-2220,101 South Lincoln,Felt,OK,73937.0,CIMARRON,Christopher May,chris.may@feltps.org
FELT,FELT HS,13-I010,705,28.0,7,09-12,(580) 426-2220,101 South Lincoln,Felt,OK,73937.0,CIMARRON,Christopher May,cmay.feltps@ptsi.net
FLETCHER,FLETCHER ES,16-I009,105,286.0,21,PK-06,(580) 549-6020,PO Box 489,Fletcher,OK,73541.0,COMANCHE,Sandra Butler,sbuter@fletcherschools.org
FLETCHER,FLETCHER JHS,16-I009,615,63.0,16,07-08,(580) 549-3031,PO Box 489,Fletcher,OK,73541.0,COMANCHE,Amanda Grimes,agrimes@fletcherschools.org
FLETCHER,FLETCHER HS,16-I009,715,133.0,17,09-12,(580) 549-6015,PO Box 489,Fletcher,OK,73541.0,COMANCHE,Amanda Grimes,agrimes@fletcherschools.org
FLOWER MOUND,FLOWER MOUND PUBLIC SCHOOL,16-C048,105,333.0,20,PK-05,(580) 353-4088,2805 Southeast Flower Mound Road,Lawton,OK,73501.0,COMANCHE,Dax Trent,dtrent@flowermound.k12.ok.us
FOREST GROVE,FOREST GROVE PUBLIC SCHOOL,48-C001,105,178.0,15,PK-08,(580) 286-3961,PO Box 60,Garvin,OK,74736.0,MCCURTAIN,Deena Smith,deena.smith@forestgrove.k12.ok.us
FORGAN,FORGAN ES,04-I123,105,119.0,19,PK-08,(580) 487-3366,PO Box 406,Forgan,OK,73938.0,BEAVER,Todd Kerr,tkerr@forgan.k12.ok.us
FORGAN,FORGAN HS,04-I123,705,45.0,13,09-12,(580) 487-3366,PO Box 406,Forgan,OK,73938.0,BEAVER,Todd Kerr,tkerr@forgan.k12.ok.us
FORT COBB-BROXTON,FORT COBB-BROXTON LOWER ES,08-I167,105,169.0,18,PK-05,(405) 643-2334,PO Box 130,Fort Cobb,OK,73038.0,CADDO,James Biddy,jbiddy@fcbmustangs.com
FORT COBB-BROXTON,FORT COBB-BROXTON MS,08-I167,505,73.0,19,06-08,(405) 643-2820,PO Box 130,Fort Cobb,OK,73038.0,CADDO,James Biddy,jbiddy@fcbmustangs.com
FORT COBB-BROXTON,FORT COBB-BROXTON HS,08-I167,705,102.0,15,09-12,(405) 643-2820,PO Box 130,Fort Cobb,OK,73038.0,CADDO,Kyle Lierle,klierle@fcbmustangs.com
FORT GIBSON,FORT GIBSON INTERMEDIATE ES,51-I003,105,353.0,28,03-05,(918) 478-2465,500 South Ross Ave,Fort Gibson,OK,74434.0,MUSKOGEE,Sherry Rybolt,s_rybolt@ftgibson.k12.ok.us
FORT GIBSON,FORT GIBSON EARLY LRNING CTR,51-I003,110,487.0,50,PK-02,(918) 478-4841,500 South Ross Ave,Fort Gibson,OK,74434.0,MUSKOGEE,Shelly Holderby,s_holderby@ftgibson.k12.ok.us
FORT GIBSON,FORT GIBSON MS,51-I003,505,412.0,39,06-08,(918) 478-2471,500 South Ross Ave,Fort Gibson,OK,74434.0,MUSKOGEE,Gregory Phares,g_phares@ftgibson.k12.ok.us
FORT GIBSON,FORT GIBSON HS,51-I003,705,603.0,54,09-12,(918) 478-2452,500 South Ross Ave,Fort Gibson,OK,74434.0,MUSKOGEE,Gary Sparks,g_sparks@ftgibson.k12.ok.us
FORT SUPPLY,FORT SUPPLY ES,77-I005,105,117.0,22,PK-08,(580) 766-2611,302 Reservation Road,Fort Supply,OK,73841.0,WOODWARD,Melva Little,melva@fortsupply.k12.ok.us
FORT SUPPLY,FORT SUPPLY HS,77-I005,705,30.0,12,09-12,(580) 766-2611,302 Reservation Road,Fort Supply,OK,73841.0,WOODWARD,Melva Little,melva@fortsupply.k12.ok.us
FORT TOWSON,FORT TOWSON ES,12-I002,105,177.0,19,PK-06,(580) 873-2780,PO Box 39,Fort Towson,OK,74735.0,CHOCTAW,Ami Payne,apayne@forttowson.k12.ok.us
FORT TOWSON,FORT TOWSON JHS,12-I002,605,54.0,15,07-08,(580) 873-2325,PO Box 39,Fort Towson,OK,74735.0,CHOCTAW,Phill Hall,phall@forttowson.k12.ok.us
FORT TOWSON,FORT TOWSON HS,12-I002,705,166.0,18,09-12,(580) 873-2325,PO Box 39,Fort Towson,OK,74735.0,CHOCTAW,Phil Hall,phall@forttowson.k12.ok.us
FOX,FOX ES,10-I074,105,230.0,21,PK-08,(580) 673-2083,PO Box 248,Fox,OK,73435.0,CARTER,Mark Williams,mwilliams@foxps.k12.ok.us
FOX,FOX HS,10-I074,705,95.0,14,-,(580) 673-2082,PO Box 248,Fox,OK,73435.0,CARTER,Jason Wright,jwright@foxps.k12.ok.us
FOYIL,FOYIL ES,66-I007,105,308.0,27,PK-06,(918) 342-3310,PO Box 49,Foyil,OK,74031.0,ROGERS,Brad Jordan,bjordan@foyil.k12.ok.us
FOYIL,FOYIL JHS,66-I007,610,114.0,19,07-09,(918) 342-1782,PO Box 49,Foyil,OK,74031.0,ROGERS,Benny Ballard,bballard@foyil.k12.ok.us
FOYIL,FOYIL HS,66-I007,705,104.0,22,10-12,(918) 342-1782,PO Box 49,Foyil,OK,74031.0,ROGERS,Benny Ballard,bballard@foyil.k12.ok.us
FREDERICK,FREDERICK ES,71-I158,105,470.0,37,PK-05,(580) 335-3513,817 N. 15Th,Frederick,OK,73542.0,TILLMAN,Kay Cabaniss,kcabaniss@frederickbombers.net
FREDERICK,FREDERICK MS,71-I158,505,179.0,29,06-08,(580) 335-2014,817 N. 15Th,Frederick,OK,73542.0,TILLMAN,Jeremy Newton,jnewton@frederickbombers.net
FREDERICK,FREDERICK HS,71-I158,710,214.0,30,09-12,(580) 335-5521,817 N. 15th,Frederick,OK,73542.0,TILLMAN,Randy Biggs,rbiggs@frederickbombers.net
FREEDOM,FREEDOM ES,76-I006,105,55.0,15,PK-08,(580) 621-3271,PO Box 5,Freedom,OK,73842.0,WOODS,Brett Hill,bhill@freedom.k12.ok.us
FREEDOM,FREEDOM HS,76-I006,705,23.0,13,09-12,(580) 621-3272,PO Box 5,Freedom,OK,73842.0,WOODS,Brett Hill,bhill@freedom.k12.ok.us
FRIEND,FRIEND PUBLIC SCHOOL,26-C037,105,259.0,19,PK-08,(405) 224-3822,1307 County Road 1350,Chickasha,OK,73018.0,GRADY,Alton Rawlins,amrawlins@friend.k12.ok.us
FRINK-CHAMBERS,FRINK-CHAMBERS PUBLIC SCHOOL,61-C029,105,445.0,30,PK-08,(918) 423-2434,485 Frink Rd,Mcalester,OK,74501.0,PITTSBURG,Scott Burke,sburke@frink.k12.ok.us
FRONTIER,FRONTIER ES,52-I004,105,277.0,37,PK-08,(580) 723-4582,PO Box 130,Red Rock,OK,74651.0,NOBLE,Erron Kauk,kauke@frontierok.com
FRONTIER,FRONTIER HS,52-I004,705,115.0,25,09-12,(580) 723-4360,PO Box 130,Red Rock,OK,74651.0,NOBLE,Doug Sinor,sinord@frontierok.com
GAGE,GAGE ES,23-I039,105,62.0,14,PK-08,(580) 923-7909,PO Box 60,Gage,OK,73843.0,ELLIS,Greg Gregory,jsprague@gage.k12.ok.us
GAGE,GAGE HS,23-I039,705,31.0,9,09-12,(580) 923-7909,PO Box 60,Gage,OK,73843.0,ELLIS,Jeff Sprague,jsprague@gage.k12.ok.us
GANS,GANS ES,68-I004,105,299.0,26,PK-08,(918) 775-2236,PO Box 70,Gans,OK,74936.0,SEQUOYAH,Regina Brannon,gbrannon@gans.k12.ok.us
GANS,GANS HS,68-I004,715,138.0,19,09-12,(918) 775-2236,PO Box 70,Gans,OK,74936.0,SEQUOYAH,Shawn Gillespie,sgillespie@gans.k12.ok.us
GARBER,GARBER ES,24-I047,105,269.0,25,PK-08,(580) 863-2232,PO Box 539,Garber,OK,73738.0,GARFIELD,Phil Hoopes,phoopes@garber.k12.ok.us
GARBER,GARBER HS,24-I047,715,108.0,17,09-12,(580) 863-2231,PO Box 539,Garber,OK,73738.0,GARFIELD,Marc Hatton,mhatton@pldi.net
GEARY,GEARY ES,06-I080,105,233.0,22,PK-05,(405) 884-2442,221 S. Galena,Geary,OK,73040.0,BLAINE,Melissa Malloy,mmalloy@geary.k12.ok.us
GEARY,GEARY MS,06-I080,500,73.0,19,06-08,(405) 884-2289,311 S. Blaine,Geary,OK,73040.0,BLAINE,Jim Shelton,jshelton@geary.k12.ok.us
GEARY,GEARY HS,06-I080,715,99.0,23,09-12,(405) 884-2362,300 S. Blaine,Geary,OK,73040.0,BLAINE,Jim Shelton,jshelton@geary.k12.ok.us
GERONIMO,GERONIMO ES,16-I004,105,195.0,14,PK-06,(580) 353-0882,800 West Main St,Geronimo,OK,73543.0,COMANCHE,Amy Latimer,alatimer@geronimo.k12.ok.us
GERONIMO,GERONIMO MS,16-I004,505,48.0,10,07-08,(580) 355-3160,800 West Main St,Geronimo,OK,73543.0,COMANCHE,Heath Selcer,hselcer@geronimo.k12.ok.us
GERONIMO,GERONIMO HS,16-I004,705,89.0,13,09-12,(580) 355-3160,800 West Main St,Geronimo,OK,73543.0,COMANCHE,Heath Selcer,hselcer@geronimo.k12.ok.us
GLENCOE,GLENCOE ES,60-I101,105,248.0,21,PK-08,(580) 669-2254,201 East Lone Chimney,Glencoe,OK,74032.0,PAYNE,Tammy Lane,tlane@glencoe.k12.ok.us
GLENCOE,GLENCOE HS,60-I101,705,107.0,15,09-12,(580) 669-2261,201 East Lone Chimney,Glencoe,OK,74032.0,PAYNE,Chad Speer,cspeer@glencoe.k12.ok.us
GLENPOOL,GLENPOOL ES,72-I013,105,1419.0,103,PK-05,(918) 322-9500,PO Box 1149,Glenpool,OK,74033.0,TULSA,Mary Champion,mfchampion@glenpool.k12.ok.us
GLENPOOL,GLENPOOL MS,72-I013,505,559.0,49,06-08,(918) 322-9500,PO Box 1149,Glenpool,OK,74033.0,TULSA,Kim Coody,kdcoody@glenpool.k12.ok.us
GLENPOOL,GLENPOOL HS,72-I013,705,717.0,68,09-12,(918) 322-9500,PO Box 1149,Glenpool,OK,74033.0,TULSA,Mona Smith,mdsmith@glenpool.k12.ok.us
GLOVER,GLOVER PUBLIC SCHOOL,48-C023,105,59.0,8,PK-08,(580) 420-3232,701 Lavender Rd.,Broken Bow,OK,74728.0,MCCURTAIN,Tanya Whisenhunt,twhisenhunt@freeriver.org
GOODWELL,GOODWELL ES,70-I060,105,179.0,15,PK-08,(580) 349-2271,PO Box 580,Goodwell,OK,73939.0,TEXAS,Jason Schreiner,schreiner@goodwell.k12.ok.us
GOODWELL,GOODWELL HS,70-I060,705,95.0,11,-,(580) 349-2271,PO Box 580,Goodwell,OK,73939.0,TEXAS,Jason Schreiner,schreiner@goodwell.k12.ok.us
