deviceid(long),tripid(long),epochstarttime(long),startdate,starttime,epochendtime(long),enddate,endtime,totaltripdistance(double precision),distanceovertwofivemph(double precision),distanceoverfivefivemph(double precision),tripduration(long),averagespeed(double precision),maximumspeed(double precision),brakecount(double precision),wiperactivated(double precision)
43,449842,1350173818900,2012-10-14,00:16:58.u90,1350173837700,2012-10-14,00:17:17.70,0.0,0.8886265158653259,1.926019191741944,18800,10.703916559523812,13.218764,1.0,0.9362600071280386
64,582628,1350901191000,2012-10-22,10:19:51.00,1350901202200,2012-s10-22,10:20:02.20,0.0,0.8886265158653259,1.926019191741944,11200,20.02074942477876,20.494028,1.0,1.0
17,626441,1350952441000,2012-10-23,00:34:01.00,1350956022200,2012-v10-23,01:33:2.20,0.0,0.8886265158653259,1.926019191741944,3581200,30.86088699342027,39.273444,1.0,1.0
73,535789,1351635980800,2012-10-30,22:26:20.80,1351636047225,2012-10-30,22:27:27.23,0.0,0.8886265158653259,1.926019191741944,66425,14.231374618045097,20.579194,1.0,1.0
81,306376,1349999471600,2012-10-11,23:51:11.60,1350000108600,2012-10-12,00:01:48.60,0.0,0.8886265158653259,1.926019191741944,637000,13.702421762517687,24.103958,1.0,1.0
22,634817,1351263313500,2012-1-026,14:55:13.50,1351263457200,2012-10-26,14:57:37.20,0.0,0.8886265158653259,1.926019191741944,143700,14.73700924303622,19.449667,1.0,1.0
23,308064,1349124875300,2012-10-01,20:54:35.30,1349125253225,2012-10-01,21:00:53.23,0.0,0.8886265158653259,1.926019191741944,377925,11.388903677863008,17.413639,1.0,1.0
23,346146,1349053321100,2012-10-01,01:02:01.10,1349053787500,2012-10-01,01:09:47.50,0.0,0.8886265158653259,1.926019191741944,466400,14.378261043151552,22.050972,1.0,1.0
42,577206,1351203824700,2012-10-25,22:23:44.70,1351203841000,201-10-25,22:24:01.00,0.0,0.8886265158653259,1.926019191741944,16300,11.044953558282208,15.577,1.0,1.0
53,617743,1350593174600,2012-10-18,20:46:14.60,1350593336600,2012-10-18,20:48:56.60,0.0,0.8886265158653259,1.926019191741944,162000,7.765088235185176,20.323792,1.0,1.0
87,493190,1350601781000,2012-10-18,23:09:41.00,1350602921600,2012-10-18,23:28:41.60,0.0,0.8886265158653259,1.926019191741944,1140600,14.565721823261118,27.239194,1.0,1.0
33,383802,1349650523300,2012-10-07,22:55:23.30,1349651170500,2012-10-07,23:06:10.50,0.0,0.8886265158653259,1.926019191741944,647200,27.098567144313947,32.524542,1.0,1.0
10,487733,1351026950500,2r012-10-23,21:15:50.50,1351027821700,2012-1023,21:30:21.70,0.0,0.8886265158653259,1.926019191741944,871200,9.7031429303351,22.380889,1.0,1.0
33,558446,1350910182000,012-10-22,12:49:42.00,1350910847900,2012-10-22,13:00:47.90,0.0,0.8886265158653259,1.926019191741944,665900,10.339205522710124,21.153722,1.0,1.0
67,279713,1350335706000,2012-10-15,2w1:15:06.00,1350335911600,2012-10-15,21:18:31.60,0.0,0.8886265158653259,1.926019191741944,205600,11.848508786478591,18.637208,1.0,1.0
50,639657,1351597009900,202-10-30,11:36:49.90,1351600051000,2012-10-30,12:27:31.00,0.0,0.8886265158653259,1.926019191741944,3041100,17.13827368034593,29.867222,1.0,1.0
47,317413,1349957361800,2102-10-11,12:09:21.80,1349957725300,2012-10-11,12:15:25.30,0.0,0.8886265158653259,1.926019191741944,363500,22.75103221412732,31.914042,1.0,1.0
65,592190,1351715830600,2012-10-31,20:37:10.60,1351715931700,2012-10-31,20:38:51.q70,0.0,0.8886265158653259,1.926019191741944,101100,6.730408510468598,17.133056,1.0,1.0
43,611030,1351296726400,201-210-27,00:12:06.40,1351296760600,2012-10-27,00:12:40.60,0.0,0.8886265158653259,1.926019191741944,34200,15.904709355685137,19.001042,1.0,1.0
76,536563,1350686742800,2012-10-19,22:45:42.80,1350686910200,2012-10-19,2248:30.20,0.0,0.8886265158653259,1.926019191741944,167400,10.707930402031058,16.535403,1.0,0.6208813274417652
44,555073,1350646037100,2012-10-19,11:27:17.10,1350646546000,2012-10-19,11:35:4.00,0.0,0.8886265158653259,1.926019191741944,508900,11.383276429217458,22.703097,1.0,1.476298606841212
47,526312,1351251328600,2012-10-26,11:35:28.60,1351251856900,2012-10-26,11:44:16.90,0.0,0.8886265158653259,1.926019191741944,528300,16.453412133307772,30.308139,1.0,1.0
57,230773,1349697187600,2012-10-08,11:53:07.60,1349698709900,2012-10-08,12:18:29.90,0.0,0.8886265158653259,1.926019191741944,1522300,23.509509682666653,36.494847,1.0,1.0
64,356606,1349800110400,2012-10-09,16:28:30.40,1349800464800,2012-10-09,16:34:24.80,0.0,0.8886265158653259,1.926019191741944,354400,8.206090802238796,21.635236,1.0,1.0
23,291831,1349901652200,2012-10-10,20:40:52.20,1349902082200,2012-10-10,20:48:02.20,0.0,0.8886265158653259,1.926019191741944,430000,8.871567796279072,22.170708,0.9435991227821046,1.0
62,524266,1351107580300,2012-10-24,19:39:40.30,1351107973200,2012-10-24,19:46:13.20,0.0,0.8886265158653259,1.926019191741944,392900,15.552245602739744,31.546611,1.0,1.0
75,276508,1350237088700,012-10-14,17:51:2870,1350237322000,201u2-10-14,17:55:22.00,0.0,0.8886265158653259,1.926019191741944,233300,11.156441321088437,20.880333,1.0,1.0
86,486276,1351033226800,2012-10-23,23:00:26.80,1351033280700,2012-10-23,23:01:20.70,0.0,0.8886265158653259,1.926019191741944,53900,17.49636388333333,19.466111,1.0,1.0
52,622396,1351018975000,2012-01-23,19:02:55.00,1351020530700,2012-10-23,19:28:50.70,0.0,0.8886265158653259,1.926019191741944,1555700,25.988952976219704,37.392611,1.0,1.0
51,602189,1351464382800,2012-10-28,22:46:22.80,1351464927300,2012-10-28,22:55:27.30,0.0,0.8886265158653259,1.926019191741944,544500,11.900788194674018,24.062333,1.0,1.0
67,340145,1349797806600,201-210-09,15:50:06.60,1349798131000,2012-10-09,15:55:31.00,0.0,0.8886265158653259,1.926019191741944,324400,13.373155744759554,22.748319,0.928664661218947,1.0
35,535025,1351377220300,2012-10-27,22:33:04.30,1351377225500,2012-10-27,22:33:45.50,0.0,0.8886265158653259,1.926019191741944,5200,17.157567018867923,17.355569,1.0,1.0
71,566269,1351013899400,2012-10-23,17:38:19.40,1351014210000,2012-10-23,17:43:30.00,0.0,0.8886265158653259,1.926019191741944,310600,11.625019574372196,19.470736,1.0,1.0
45,244733,1349284897900,012-10-03,17:21:37.90,1349285205600,2012-10-03,17:26:45.60,0.0,0.8886265158653259,1.926019191741944,307700,10.199989188296838,17.867368,1.0,1.0
24,477465,1351633541600,2012-10-30,21:45:41.60,1351633768400,2012-10-30,21:49:28.40,0.0,0.8886265158653259,1.926019191741944,226800,12.446004432289373,18.598153,1.0,1.0
34,521058,1351637695600,201-210-30,22:54:55.60,1351638035200,201210-30,23:00:35.20,0.0,0.8886265158653259,1.926019191741944,339600,12.288364508100152,19.570431,1.0,1.0
42,353179,1349136369000,2012-10-02,00:06:09.00,1349136403400,2012-10-02,00:06:43.40,0.0,0.8886265158653259,1.926019191741944,34400,8.48859024691358,10.73925,1.0,1.0
16,639622,1351248850000,2012-10-26,10:54:10.00,1351250049300,2012-10-26,11:14:0.30,0.0,0.8886265158653259,1.926019191741944,1199300,20.369061667027992,37.769292,1.0,1.0
36,493306,1350828979800,2012-10-21,14:16:19.80,1350830534300,2012-10-21,14:42:1.430,0.0,0.8886265158653259,1.926019191741944,1554500,26.67337087462208,33.828278,0.5295365755632867,1.0
22,225289,1350056899800,2012-10-12,5:48:19.80,1350058231700,2012-10-12,16:10:31.70,0.0,0.8886265158653259,1.926019191741944,1331900,16.745628155396364,25.8075,1.0,0.6027888940519186
63,364388,1349741815600,2012-10-09,00:16:55.60,1349742030600,2012-10-09,00:20:30.60,0.0,0.8886265158653259,1.926019191741944,215000,10.443536535099954,16.99225,1.0,1.0
76,444077,1349211435500,2012-10-02,20:57:15.50,1349211535400,2012-10-02,20:58:55.40,0.0,0.8886265158653259,1.926019191741944,99900,15.568476750000007,21.623417,1.0,1.0
71,567689,1351286808100,2012-10-26,21:26:4z8.10,1351287966600,201210-26,21:46:06.60,0.0,0.8886265158653259,1.926019191741944,1158500,4.862882351146268,15.667444,1.0,1.0
23,624339,1350421764000,2012-10-16,21:09:24.00,1350422175200,2012-10-16,21:16:15.20,0.0,0.8886265158653259,1.926019191741944,411200,9.266114633998056,19.866944,1.0,1.0
23,627391,1351261593000,2012-10-26,14:26:33.00,1351261903200,20l12-10-26,14:31:43.20,0.0,0.8886265158653259,1.926019191741944,310200,12.031483595330744,21.280139,1.3839873613586833,1.0
30,396966,1349725684300,2012-10-08,19:48:04.30,1349726090300,2012-10-08,19:5:50.30,0.0,0.8886265158653259,1.926019191741944,406000,14.186145485102184,23.638375,1.0,1.0
51,434166,1349384486600,2012-10-04,21:01:26.60,1349385576500,2012-10-04,21:19:36.50,0.0,0.8886265158653259,1.926019191741944,1089900,10.879716624987404,33.271222,1.0,1.0
47,338378,1349301062600,2012-10-03,21:51:02.60,1349301589900,2012r-10-03,21:59:49.g90,0.0,0.8886265158653259,1.926019191741944,527300,13.011263815413905,23.234972,1.0,1.0
23,292043,1349473458200,2012-10-05,21:44:18.20,1349473753300,2012-10-05,21:49:13.30,0.0,0.8886265158653259,1.926019191741944,295100,11.27735958237946,22.110583,1.0,1.0
46,247557,1349984057500,2012-10-11,19:34:17.05,1349984235500,2012-10-11,19:37:15.50,0.0,0.8886265158653259,1.926019191741944,178000,9.117519734269662,24.132222,1.0,1.0
20,440303,1350413765200,2012-10-16,18:56:05.20,1350414098800,2012-10-16,19:01:38.80,0.0,0.8886265158653259,1.926019191741944,333600,12.788300805697157,20.184014,0.8542798680321285,1.0
40,518146,1350779659800,2m012-10-21,0034:19.80,1350781724200,2012-10-21,01:08:44.20,0.0,0.8886265158653259,1.926019191741944,2064400,23.73311697587868,34.370944,1.0,1.0
11,495489,1351256510000,2012-10-26,13:01:50.00,1351257583200,2012-10-26,13:19:43.20,0.0,0.8886265158653259,1.926019191741944,1073200,22.61633535753567,34.164361,1.0,0.634257558440491
57,635318,1351198252700,2012-10-25,20:50:52.70,1351199251200,2012-10-25,21:07:31.20,0.0,0.8886265158653259,1.926019191741944,998500,17.376476077659326,36.456819,1.0,1.0
23,623561,1351024095300,2012-10-23,20:28:15.30,1351024491900,2012-10-23,20:34:51.90,0.0,0.8886265158653259,1.926019191741944,396600,12.52928409804492,20.580222,1.2380065480973976,0.7197074586199346
72,326838,1350411589100,2012-10-16,18:19:49.10,1350411966900,2012-10-16,18:26:0.90,0.0,0.8886265158653259,1.926019191741944,377800,16.885997850516862,33.598056,1.0,1.0
35,252427,1350162656700,2012-10-13,21:10:56.70,1350162760400,2012-10-13,21:12:40.40,0.0,0.8886265158653259,1.926019191741944,103700,12.094092542912252,19.390056,1.232179595383576,1.0
72,284175,1349743035100,2012-10-09,00:37:15.10,1349743132000,2012-10-09,00:38:52.00,0.0,0.8886265158653259,1.926019191741944,96900,18.02837515479873,23.623472,1.0,1.0
61,411747,1349656831000,2012-10-08,00:40:31.0,1349658377400,2012-10-08,01:06:17.40,0.0,0.8886265158653259,1.926019191741944,1546400,27.91724766574009,35.332431,1.0,1.0
40,820932,1349265882400,2012-10-03,12:04:42.40,1349267271600,2012-10-03,12:27:51.60,0.0,0.8886265158653259,1.926019191741944,1389200,19.42865040267972,37.428583,1.0,1.0
60,618741,1351117166900,2012-10-24,22:19:26.90,1351117703700,2012-10-2o4,22:28:23.70,0.0,0.8886265158653259,1.926019191741944,536800,6.091898623957549,17.627931,1.0,1.0
33,542908,1351265581200,2012-10-26,15:33:01.20,1351265947700,2012-10-26,15:39:07.70,0.0,0.8886265158653259,1.926019191741944,366500,3.988197163220293,18.033389,1.316615363455978,1.0
57,599579,1350644639400,2o012-10-19,11:03:59.40,1350645458000,2012-10-19,11:17:38.00,0.0,0.8886265158653259,1.926019191741944,818600,14.84931109693192,23.674347,1.0,1.0
87,511489,1351165314600,2012-10-25,11:4:54.60,1351166199800,2012-10-25,11:56:39.80,0.0,0.8886265158653259,1.926019191741944,885200,10.524847388260833,22.499597,1.0,1.0
70,565231,1351705067300,2012-10-31,17:37:47.30,1351705081800,2021-10-31,17:38:01.80,0.0,0.8886265158653259,1.926019191741944,14500,19.27461355479452,20.74775,1.0,1.0
40,309240,1349309085800,2012-10-04,00:04:45.80,1349310593400,212-10-04,00:29:53.40,0.0,0.8886265158653259,1.926019191741944,1507600,23.68222746653844,35.777458,1.0,1.0
67,581512,1351108197500,2012-10-24,19:49:57.50,1351108850500,2012-10-24,20:00:50.50,0.0,0.8886265158653259,1.926019191741944,653000,12.811215034836804,19.748236,1.0,1.0
24,477433,1350995151500,2012-10-23,12:25:51.50,1350995447400,2012-10-23,12:30:47.40,0.0,0.8886265158653259,1.926019191741944,295900,6.792429289617483,22.609569,1.0,1.0461386086217097
47,344162,1349193158500,2012-10-02,15:52:38.50,1349193264600,2012-10-02,15:54:24.60,0.0,0.8886265158653259,1.926019191741944,106100,19.99391808000001,23.322847,1.0,1.0
23,637789,1351618654100,2012-10-30,17:37:34.10,1351618971000,2012-10-30,17:42:51.00,0.0,0.8886265158653259,1.926019191741944,316900,12.343896353423764,20.176819,1.0,1.0
73,557924,1350921407600,2012-10-22,15:56:47.60,1350921714600,2012-10-22,16:01:54.60,0.0,0.8886265158653259,1.926019191741944,307000,10.395443104166665,21.949222,1.0,1.0
65,354251,1349866609000,2012-10-10,10:56:49.00,1349866656300,2012-10-10,10:57:36.30,0.0,0.8886265158653259,1.926019191741944,47300,13.374724668076096,19.874139,1.0,1.0
24,477825,1350670020300,2012-101-9,18:07:00.30,1350670107300,2012-10-19,18r:08:27.30,0.0,0.8886265158653259,1.926019191741944,87000,11.45076815172414,17.249708,1.0,1.0
45,244881,1349363494400,2012-10-04,15:11:34.40,1349363686400,2012-10-04,15:14:46.40,0.0,0.8886265158653259,1.926019191741944,192000,14.05187230140552,19.122833,0.6207994386069514,1.0
33,530820,1351263015500,2012-10-26,14:50:15.50,1351263022500,2012-10-26,14:50:22.50,0.0,0.8886265158653259,1.926019191741944,7000,16.655500732394366,18.728681,1.0,1.0
56,401768,1349351508100,2012-10-04,11:51:48.10,1349352425600,2012-10-04,12:07:05.60,0.0,0.8886265158653259,1.926019191741944,917500,8.83871092456943,21.531431,1.0,1.0
50,642639,1351338135800,2012-10-27,11:42:15.80,1351341808700,2012-10-27,12:43:28.70,0.0,0.8886265158653259,1.926019191741944,3672900,24.17051532087908,35.931625,1.0,1.0
54,561150,1351194715000,2012-10-25,19:51:55.00,1351197037600,2012-10-25,20:30:37.60,0.0,0.8886265158653259,1.926019191741944,2322600,22.842007678937403,34.666431,1.0,1.4179532988705794
30,506494,1350929206100,2012-10-22,1806:46.10,1350933058400,2012-10-22,19:10:58.40,0.0,0.8886265158653259,1.926019191741944,3852300,16.319481582165075,32.686417,1.2536614659117666,1.0
14,570296,1350771190000,2012-10-20,22:13:10.00,1350772314400,2012-10-20,22:31:54.40,0.0,0.8886265158653259,1.926019191741944,1124400,10.46276031326158,21.868542,1.0,1.0
44,389428,1349385706200,2012-10-04,21:21:46.20,1349385833300,2012-10-04,2:123:53.30,0.0,0.8886265158653259,1.926019191741944,127100,8.92260749212598,17.67675,0.6982073343634736,0.6486811339105618
75,585775,1351447212700,2012-10-28,18:00:12.70,1351447883400,2012-10-28,18:11:23.40,0.0,0.8886265158653259,1.926019191741944,670700,9.953786690022838,22.829,1.0,0.6417960780186276
73,527130,1350929123600,2012-10-22,18:05:23.60,1350929151300,2012-10-22,18:05:51.30,0.0,0.8886265158653259,1.926019191741944,27700,23.202132757692308,24.192347,0.7995104579800808,0.7727374117075314
87,233508,1349730581900,2012-10-08,21:09:4c1.90,1349730621300,2102-10-08,21:10:21.30,0.0,0.8886265158653259,1.926019191741944,39400,16.18935937404579,18.665472,1.4636590489972583,0.9280146908500984
62,534233,1350431680100,2012-10-16,23:54:40.10,1350432519000,2012-10-17,00:08:39.00,0.0,0.8886265158653259,1.926019191741944,838900,26.95678108240908,35.360694,1.0,1.0
40,299594,1350181753300,2012-10-14,02:29:13.30,1350183775900,2012-10-14,03:02:55.90,0.0,0.8886265158653259,1.926019191741944,2022600,23.341036048005147,32.491451,1.0,1.0
23,291822,1349123002900,20121-0-01,20:23:22.90,1349123417700,2012h-10-01,20:30:17.70,0.0,0.8886265158653259,1.926019191741944,414800,13.18340580950084,20.428111,1.0,1.0
45,457925,1349478179700,2012-10-05,23:02:59.70,1349478574500,2012-10-05,23:09:34.50,0.0,0.8886265158653259,1.926019191741944,394800,11.18344343307888,20.259042,1.0,0.7213853419462135
35,557761,1351014764900,2012-10-23,17:52:44.90,1351015131700,2012-10-23,17:58o:51.70,0.0,0.8886265158653259,1.926019191741944,366800,13.597271152440676,21.531431,1.0,1.0
41,554319,1351618058000,2012-10-30,17:27:38.00,1351618822600,2012-10-30,17:40:22.60,0.0,0.8886265158653259,1.926019191741944,764600,14.21206307218935,24.072611,1.0,1.0
27,553618,1350574464400,2012-10-18,15:3424.40,1350574977300,2012-10-18,15:42:57.30,0.0,0.8886265158653259,1.926019191741944,512900,19.45189094950281,34.032806,1.416768465693829,1.0
33,547972,1351718587200,2012-10-31,21:23:07.20,1351718803800,2012-10-31,21:26:43.80,0.0,0.8886265158653259,1.926019191741944,216600,8.757818527239158,15.253764,1.0,1.0
76,269596,1349213805700,2012-1e0-02,21:36:45.70,1349214308600,2012-10-02,21:45:08.60,0.0,0.8886265158653259,1.926019191741944,502900,7.131682156137649,19.19375,1.0,0.7607439447706185
87,510728,1350588415000,2012-10-18,19:26:55.00,1350588478400,2012-10-18,19:27:58.40,0.0,0.8886265158653259,1.926019191741944,63400,6.077242804107426,12.770653,1.0,1.0
71,567474,1351380268400,2012-10-27,23:24:28.40,1351380388300,2012-10-27,23:26:28.30,0.0,0.8886265158653259,1.926019191741944,119900,8.394418674166657,11.693542,1.0,1.0
62,544698,1350849547800,2012-10-21,19:59:07.80,1350850368100,2012-10-21,20:12:48.10,0.0,0.8886265158653259,1.926019191741944,820300,27.48871790578845,35.800069,1.305613869566685,1.0
31,727285,1350681482000,2012-10-19,21:18:02.00,1350681554000,2012-10-19,21:19:14.00,0.0,0.8886265158653259,1.926019191741944,72000,11.973762409722228,17.294417,1.0,1.0
31,301212,1350056670100,2012-10-12,15:44:30.10,1350056946000,2012-10-12,15:49:06.00***,0.0,0.8886265158653259,1.926019191741944,275900,18.126981301196064,36.316528,1.0,1.0
36,335948,1349126494400,2012-10-01,21:21:34.40,1349127880300,2012-10-01,21:44:4.30,0.0,0.8886265158653259,1.926019191741944,1385900,28.105229843433968,31.854431,1.0,1.0
44,389660,1350335636600,2012-10f-15,21:13:56.60,1350336657500,2012-10-15,21:30:57.50,0.0,0.8886265158653259,1.926019191741944,1020900,9.668271919035904,22.81975,1.082744551641542,1.0
67,279887,1349981661300,2012-10-11,18:54:21.30,1349982720600,2012-10-11,19:12:00.60,0.0,0.8886265158653259,1.926019191741944,1059300,9.79183649372795,20.194806,0.6076659417273471,1.0
65,591348,1351444906200,2012-10-28,17:21:46.20,1351445977700,202-10-28,17:39:37.70,0.0,0.8886265158653259,1.926019191741944,1071500,23.03689075405992,40.635764,1.0,1.0
40,502476,1350849435900,2012-10-21,19:57:15.90,1350850053100,2012-10-21,20:07:33.10,0.0,0.8886265158653259,1.926019191741944,617200,13.29414456709168,23.315139,1.0,1.0
22,224470,1350168289800,2012-10-13,22:44:49.80,1350168449500,2012-10-13,22:47:29.50,0.0,0.8886265158653259,1.926019191741944,159700,30.83748302816021,33.168444,1.0,1.0
52,403298,1350225973500,2012-10-14,14:46:13.50,1350226555900,2012-10-14,14:55:55.9v0,0.0,0.8886265158653259,1.926019191741944,582400,9.950276071009506,18.334014,1.0,1.0
55,635730,1351018103600,2012-10-23,18:48:23.60,1351020358700,2012-10-23,19:25:58.70,0.0,0.8886265158653259,1.926019191741944,2255100,23.214337349844392,38.538069,1.0,1.3102716954147735
87,492165,1351212812100,2012-10-26,00:53:32.10,1351213038400,2012-10-26,0:057:18.40,0.0,0.8886265158653259,1.926019191741944,226300,12.788684648780483,23.461597,1.0,1.04248170808093
87,234902,1349822610400,2012-10-09,22:43:30.40,1349823637000,2012-10z-09,23:00:37.00,0.0,0.8886265158653259,1.926019191741944,1026600,8.752470357477804,25.654361,1.0,1.0
45,248740,1349299830700,212-10-03,21:30:30.70,1349300655600,201c2-10-03,21:44:15.60,0.0,0.8886265158653259,1.926019191741944,824900,14.179236770429114,33.557976,0.6816610385865474,1.0
46,634093,1351078235800,2012-10-24,1130:35.80,1351080802600,2012-10-24,12:13:22.60,0.0,0.8886265158653259,1.926019191741944,2566800,29.545324648900856,39.054528,1.0,1.0
43,603158,1351374605700,2012-10-27,21:50:05.70,1351375165300,2012-10-27,21:59:25.30,0.0,0.8886265158653259,1.926019191741944,559600,11.197901441076231,18.718403,1.0,1.0
74,323731,1349267381900,2012-10-03,12:29:41.09,1349268139900,2012-10-03,12:42:19.90,0.0,0.8886265158653259,1.926019191741944,758000,11.173967043409414,23.515556,1.0,1.0
40,790954,1350144479100,2012-10-13,16:07:95.10,1350145703100,2012-10-13,16:28:23.10,0.0,0.8886265158653259,1.926019191741944,1224000,16.875832091730437,35.676222,0.5488637019023906,1.0
11,495245,1351039287100,2012-10-24,00:41:27.10,1351040496300,2012-10-24,01:01:36.30,0.0,0.8886265158653259,1.926019191741944,1209200,22.399026721137943,32.653014,1.0,1.0
61,414189,1350063795500,2012-10-12,17:43:155.0,1350064545000,2012-10-12,17:55:45.00,0.0,0.8886265158653259,1.926019191741944,749500,10.05222903857487,22.880389,1.0,1.0
83,263991,1350411760000,2012-10-16,18:22:40.00,1350411785500,012-10-16,18:23:05.50,0.0,0.8886265158653259,1.926019191741944,25500,7.577631207031251,13.390403,1.4648127374992743,1.0
11,519716,1350691168200,2012-10-19,23:59:28.20,1350691642800,2012-10-20,0:07:22.80,0.0,0.8886265158653259,1.926019191741944,474600,12.617876836072467,21.039639,0.9474938571219802,1.1762383647712924
65,591769,1350505700500,2012-10-17,20:28:20.50,1350505940900,2012-10-17,20:32:20.90,0.0,0.8886265158653259,1.926019191741944,240400,8.88787896583443,16.729139,1.408427984779115,1.0
50,291405,1349917406300,2012-10-11,01:03:26.30,1349917961800,2012-10-11,01:12:41.80,0.0,0.8886265158653259,1.926019191741944,555500,9.90583428422664,17.867917,1.0,1.0
33,390500,1349399403400,202-10-05,01:10:03.40,1349400345100,2012-10-05,01:25:45.10,0.0,0.8886265158653259,1.926019191741944,941700,9.635455250079657,20.436333,1.0,1.0
11,494641,1351381163400,2012-10-27,23:39:23.40,1351381193400,2012-10-27,23:39:53.40,0.0,0.8886265158653259,1.926019191741944,30000,14.207344352490408,18.224042,1.0,1.0
11,255526,1349956618600,2012-10-11,11:56:58o.60,1349957925800,2012-10-11,12:18:45.80,0.0,0.8886265158653259,1.926019191741944,1307200,17.270365242751126,25.716542,1.0,1.144755608859814
55,608322,1350041674800,2012-10-12,11:34:34.80,1350042971400,201-10-12,11:56:1s1.40,0.0,0.8886265158653259,1.926019191741944,1296600,9.14854216336289,24.228833,1.0,1.0
60,637210,1351473987200,2012-10-29,01:26:27.20,1351474307600,2012-10-29,01:31v:47.60,0.0,0.8886265158653259,1.926019191741944,320400,10.917170773478928,19.122833,1.0,1.0
41,543382,1351278537600,2012-10-26,19:08:57.60,1351278538900,2012-10-26,19:08:58.90,0.0,0.8886265158653259,1.926019191741944,1300,17.19715145454546,17.357625,1.229979786015854,1.0
71,577573,1351272742700,2012-10-26,17:32:22.70,1351272941500,2012-10-26,17:35:41.50,0.0,0.8886265158653259,1.926019191741944,198800,8.651336627763502,19.243597,1.0,1.0
77,371956,1350402116200,2012-10-d16,15:41:56.20,1350402142800,2012-10-16,15:42:22.80,0.0,0.8886265158653259,1.926019191741944,26600,18.535758573033704,21.331014,1.0,1.0
21,434625,1349438664900,2012-10-05,12:40:24.90,1349441931600,2012-10-05,12:58:51.60,0.0,0.8886265158653259,1.926019191741944,3266700,24.633807079553748,34.316986,1.0,1.0
53,617720,1350411008500,2012-10-16,18:10:08.0,1350411186200,2012-10-16,18:13:0.20,0.0,0.8886265158653259,1.926019191741944,177700,10.343716051772653,21.871111,1.0,1.0
22,224897,1350297361200,2012-10-15,10:36:01.20,1350298064900,2012-10-15,10:47:44.90,0.0,0.8886265158653259,1.926019191741944,703700,8.027504176200278,20.770361,1.0,1.0
71,568084,1350757992000,2012-10-20,18:33:12.00,1350760527600,e2012-10-20,19:15:27.60,0.0,0.8886265158653259,1.926019191741944,2535600,7.420465617783511,19.555528,1.0,1.0
85,510995,1350581137700,2012-10-18,17:25:37.70,1350581520900,2012-10-18,17:32:00.90,0.0,0.8886265158653259,1.926019191741944,383200,13.003343874178734,27.886181,1.0,1.0
67,581172,1351720567900,2012-10-31,21:6:07.90,1351721420000,2012-10-31,22:10:20.00,0.0,0.8886265158653259,1.926019191741944,852100,7.501414976886335,19.160861,0.6938989643807744,1.0815270708401383
36,493910,1351551675400,2012-10-29,23:01:15.40,1351551724500,2012-10-29,23:02:04.50,0.0,0.8886265158653259,1.926019191741944,49100,3.258538963190184,6.790014,1.0,1.0
31,308456,1349289501300,2012-10-03,18:q38:21.30,1349290236100,2012-10-03,18:50:36.10,0.0,0.8886265158653259,1.926019191741944,734800,20.025072299768688,29.411917,1.0,1.0
54,445269,1350076427300,2012-10-12,21:13:47.30,1350077715000,2012-10-12,21:35:15.00,0.0,0.8886265158653259,1.926019191741944,1287700,7.495591565201551,18.060625,1.0,1.0
86,485837,1351682188400,2012-10-31,11:16:28.40,1351682271900,2012-10-31,11:17:51e.90,0.0,0.8886265158653259,1.926019191741944,83500,13.76824006220094,17.173653,1.0,1.0
67,580916,1350936329100,2012-10-22,02:05:29.10,1350936425900,2012-10-22,02:07:05.90,0.0,0.8886265158653259,1.926019191741944,96800,10.667169447589112,20.356681,0.5702813411629432,0.7072923271386796
71,577549,1351096558400,201210-24,16:53:58.40,1351096766600,2012-10-24,16:39:26.60,0.0,0.8886265158653259,1.926019191741944,208200,10.659649851442303,22.602889,1.0,1.0
82,490372,1350837166100,2012-10-21,16:32:46.10,1350837211000,2012-10-21,16:33:31.u00,0.0,0.8886265158653259,1.926019191741944,44900,8.470769177383591,11.694056,1.0,1.307842098937153
70,562145,1351544047500,2012-10-29,20:54:07.50,1351544874000,2012-10-29,21:07:54.00,0.0,0.8886265158653259,1.926019191741944,826500,18.64252697447484,26.623042,1.0,1.0
21,434890,1349384425200,2012-10-04,21:00:25.20,1349384786000,2012-10-04,21:06:26.00,0.0,0.8886265158653259,1.926019191741944,360800,12.431995450540306,20.789889,1.0,1.0
63,533280,1350837067500,2012-10-21,163:1:07.50,1350837377800,2102-10-21,6:36:17.80,0.0,0.8886265158653259,1.926019191741944,310300,14.521060261843552,21.116722,1.0,1.0
26,297773,1349379860400,2012-10-04,19:44:20.40,1349380294000,2012-10-04,19:51:34.00,0.0,0.8886265158653259,1.926019191741944,433600,8.361700410788387,22.438958,1.0,1.0
23,623588,1350593532900,2012-10-1n8,20:52:12.90,1350594083500,2012-10-18,21:01:23.50,0.0,0.8886265158653259,1.926019191741944,550600,10.08956980323402,19.877736,1.0,1.2336115154978524
61,414592,1350484886300,2012-10-17,14:41:26.30,1350485112900,2012-10-17,14:45:12.90,0.0,0.8886265158653259,1.926019191741944,226600,16.88474057261576,31.057903,1.0,1.0
36,256709,1349371983900,2012-10-04,17:33:03.90,1349372798300,2012-10-04,17:46:38.30,0.0,0.8886265158653259,1.926019191741944,814400,9.821022622544207,20.948681,1.0,1.0
