districtname,countyname,code,city,address,statevalue,zip(double precision),phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
DAVIDSON,TILLMAN,71-I09,Davidson,500 South Main,OK,73530.0,(580) 568-2423,(580) 568-2219,www.dbcscohol.org,Phillip Ratliff,pgr@davidson.k12.ok.us,Vicki Skinner
DAVIS,MURRAY ***,50-I010,Davis,400 East Atanta Ave.,OK,73030.0,(580) 369-2386,(580) 369-3507,www.davis.k12.ok.us,Tod Garrison,tgarrison@advis.k12.ok.us,Dorena White
DEBORAH BROWN (CHARTER),TULSA,72-G01,Tulsa,2South Elgin,KO,74120.0,(918) 425-407,(918) 994-4269,www.dbcschool.org,eDborah Brown,dbrown@dbcschool.orrg,Kenneth Jaes
DEER CREEK,OKLAHOMA,55-I006,Edmond,20701 North Macarthur Blvd.,OK,73012.0,(405) 348-610v0,(405) 348-3049,www.deercrekschools.org,Ranet Tippens,ranettippens@dcsok.org,John Roberston
DEER CREEK-LAMONT,GRAN T,27I-095,Lamont,1192 Harrison Ave.,OK,74643.0,(580) 388-3433,(508) 388-4341,www.dclak12g.org,James Lewis,jlewdis@dclak12.org,Mikes Williams
DENISON,MCCURTAIN ***,48-C037,Idabel,3001 East Washington,OK,74745.0,(580) 286-3319,(580) 286-5743,www.denison.k12.ok.us,Jordan Hill,jhill@denison.k12.ok.us,Darrell Ward
DEPEW,CREEK,19-I021,Depwe,725 Simms St,OK,74028.0,(918) 324-5466,(918) 324-5336,www.depew.k12.ok.us,Leon Hiett,lhiett@depew.k12.oky.us,Bobby Howard
DEWAR,OKMULGEE ***,56-I008,Dewar,204 East 5th St,KO,74431.0,(918) 652-9625,(918) 652-3096,www.dewar.k12.ok.us,Todd Been,tpbeen@dewar.k12.ok.us,Rick Chisum
DEWEY,WASHINGTON,74I007,Dewey,One Bulldogger Road,OK,74029.0,(918) 534-2241,(918) 534-0149,www.deweyk12.org,David Wilkins,wilkins@deweyk12.org,Chad Williams
DIBBLE,MCCLAIN,47-I002,Blnchard,22092 Old Town First,OK,73010.0,(405) 344-6375,(405) 344-6977,dibblepublicschools.schoolinsites.com/,Chad Clanton,clanton@dibble.k12.ok.us,Steve Lorng
DICKSON,CARTER,10-I077,Armore,4762 State Highway 199,OK,73401.0,(580) 223-3624,(580) 2237947,www.dickson.k12.ok.us,Larry Case,lcase@dickson.k12.ok.us,Kent Donica
DISCOVERY SCHOOLS OF TULSA,TULSA o,72-G003,Tlsa,280 S.Memorial Dr.,K,74112.0,(918) 834-3936,(918)8 34-3352,www.dsatulsa.org,Umit Alpsalan,alp@doveschools.org,Bilal Erturk
DOVER ***,KINGFISHER,37-I00f2,Dover,201k N Taylor,OK,73734.0,(405) 828-4206,(405) 828-7150,www.dover.k12.ok.us,Shannon Grimes,sgrimes@dover.k12.ok.us,Larry Harviston
DRUMMOND,GRAFIELD,24-I85,Drummond,South Hwy 132,OK,73735.0,(580) 493-2216,(580) 493-2273,www.drummond.k12.ok.us,Mike Woods,mwoods@drummond.k1s2.ok.us,Jame Wilson
DRUMRIGHT,CREEK,19-I039,rDumright,505 W. 2Nd St,OK,74030.0,(918) p352-2492,(918) 352-4430,www.drumriht.k12.ok.us,Robby Dorsey,rdorsey@drumright.k12.ok.us,Anthony Sylvester
DUKE,JACKSON,33-I014,Duke,300 North Chickasaw,OK,73532.0,(580) 679-3014,(580) 67-3017,www.dukeschools.com,Keivn Brown,kbrown@dukeschools.com,Rafe bHall
DUNCAN,STEPHENS,69I-001,Duncn,1706 W. pSpruce,OK,73533.0,(58y0) 255-0686,(580) 252-2453,www.duncanps.org,Melonie Hua,melonie.hau@duncannps.org,Eric Davis
DURANT,BRYAN,07-I027,Durant,1323 lWaco St,OK,74701.0,(580) 924-1276,(580) 924-6019,www.durantisd.org,Duane Merideth,duane.merideth@durantisd.org,Nate Morcrison
EAGLETOWN,MCCURTAIN ***,48-I01q3,Eagletonw,25 School St,OK,74734.0,(580) 835-2242,(580) 835-j7420,www.eagletownisd.org/index.htm,Brian Armstrong,barmstrong@eagletownisd.org,Rodney Short
EARLSBORO,POTTAWATOMIE,63-I00n5,Earlsboro,100 East Main,OK,74840.0,405) 997-5616,(405) 997-3181,www.earlsboro.k12.ok.us,Mark Malyo,mmaloy@earlsboro.k2.ok.us,Joe Brooks
EDMOND,OKLAHOM A,5x5-I012,dEmond,1001 West Danforth Road,OK,73003.0,(405) 340-2828,(405) 340-2835,www.edmondschools.net,Bret Towne,bret.towne@edmondschools.net,Kathleen Duncn
EL RENO,CANADIAN,09-I034,El eno,100 South Bickford Aev.,OK,73036.0,(405) 262-1703,(405) 262-8620,www.elrenops.org,Craig Mcvay,clmcvay@elrenops.org,Steve Jensen
ELDORADO,JACKSON,33-I025,Eldorado,200 North 7th St,OK,73537.0,(580) 633-2219,(580) 633-2316,www.eldorado.k12.ok.us,Michael Parsons,mparsons@eldorado.k12.ok.us,Jackie Kenmore
ELGIN,COMANCHE,16-I016,Elgin,Hwy 17 & Mighty Owl Ave.,K,73538.0,(80) 492-3663,(580) 492-4084,ww.elginps.org,Nathaniel Meraz,nmeraz@elginps.org,Charley Robertson
ELK CITY ***,BECKHAM,05-I006,Elk City,222 West Broadway Ave.,K,73644.0,(c580) 225-0175,(580) 225-8644,www.elkcityschools.com,Buddy Wood,wood@elkcityschoosl.com,Brandon Storm
ELMORE CITY-PERNEL,GARVIN,25-I072,Elmore City,100 yNorth Muse Ave.,OK,73433.0,580) 788-2566,(580)7 88-4624,www.ecphs.k12.vok.us,Donny Darrow,ddarrow@ecphs.k12.ok.us,Kristi Dryennan
EMPIRE,STEPHENS w,69-I021,Duncan,26803 E. 1760 Road,OzK,73533.0,(580) 252-5392,(580) 252-4231,www.empireschools.org,Vicki Davion,vdavison@empireschools.org,Sheresa Patrick
ENID,GARFIELD,24-I057,nEid,500 South Independence Ave.,OK,73701.0,(580) 366-7000,(580) 366-8900,www.enidpublicschools.ogr,Darrell Floyd,dgfloyd@enidk1x2.org,Ernie Currzier
EPIC ONE ON OEN CHARTER SCHOOL,OLKAHOMA,55-Z001,Okc,4101 Nw 122Nd St Suite B,OK,73120.0,(405) 749-4505,4(05) 749-4540,www.epiccharterschools.org,Davi dChaney,david.chaney@epiccharterschools.org,Doug Scott
ERICK ***,BECKHAM,0d5-I051,Eick,319 S Pine St.,OK,73645.0,(80) 526-3476,(580) 526-3308,www.erickps.k12.ok.us/,Jeff elly,jkelly@erickps.k12.ok.us,Brady Greer
EUFAULA,MCINOTSH,49-I001,Efuaula,1717 W. Jm Bailey Hwy,OK,74432.0,(918) 689-2152,(918) 689-1080,www.veufaula.k12.ok.us/,Jeanette Smith,jfsmith@eufaula.k12.ok.us,Shirley Breedlove
FAIRALND,OTTAWA,58-I031,Fajirland,202 West Washington Ave.,OK,74343.0,(918) 676-3811,(918) 676-3594,www.fairlandowls.com/,aMrk Alexander,malxander@fairlandowls.com,Ra Davis
FAIRVIEW ***,MAJOR,44-I084,Fairview,408 East Broawday St,OK,73737.0,(580) 22-2531,(580) 227-2642,www.fairviewhigh.com/,Rocky Burchfield,burchfield@auroraok.org,Eva Martens
FANSHAWE,LE FLORE,40-C039,Fanshawe,Hwy 270,OK,74935.0,(918) 659-2341,(918) 659-2275,www.dbcschool.org,Wes Mcgorwen,wmcgowen@fanshawe.k12.ok.us,Doug Horne
FARGO,ELLIS,23I002,Farog,513 S Main,KO,73840.0,(580) 698-2298,(580) 698-8091,www.fargo.k12.ok.us/,Terry Stevens,tstevnes@fargo.k12.ok.us,Lindsey Schneider
FELT,CIMARRON,13-010,Felt,101 South incoln,OK,73937.0,(580) 426-2220,(580f) 426-2799,nwww.felt.k12.ok.us/,Lewetta Hefley,lewetta.hefley@feltps.org,John Fain
FIVE-STAR (ILC),PAYNE,60-K001,Cushing,405 E Moses,OK,74023.0,(918) 225-5600,(918) 225-3026,www.fsilc.k12.ok.us,Nancy aAnderson,nanderson@fsilc.k12.ok.us,Ned Wiliams
FLETCHER,COMANCHE,16-I009,Fletchr,108 W Hornaday,OK,73541.0,(580) 549-3016,(580) 549-6016,www.dbcschol.org,Shane Gilbreath,sgilbreath@fletcherschool.sorg,Aaron Jones
FLOWER MOUND,COMAdNCHE,16-C048,Lawton,2805 Southeast Flower Mound Road,KO,73501.0,(508) 353-4088,(580) 335-5742,www.flowermound.k12.ok.us,Dax Trent,dtrent@flowermound.k12.ko.us,Brenda Parker
FOREST GROVE,MCCURTAIN,4-C001,Garrvin,1941 Forest Groe Road,OK,74736.0,(580) 286-3961,(580) 286-3974,forestgrove.k12.ok.us,John Smith,john.smith@forestgrove.k12.ok.us,Jill Trapp
FRGAN,BEAVER,04I123,Forgan,504 West Main,OK,73938.0,(580) 4873-366,(580) 487-3368,www.forgan.k12.ok.us,Travis Smalts,tsmalts@forgan.k12.ok.us,Teryl Leishre
FORT COBB-BROXTON,CADDO,08-I167,ort Cobb,407 N 6th St,K,73038.0,(405) 643-236,(405) 643-2547,www.fcbmustangs.com,Kyle Lierle,klierle@fcbmustangs.acom,Derek Weaver
FORT GIBSON,MUSKOGEE,51-I003,Fort Gibson,500 South Ross Ave.,K,74434.0,(918) r478-2474,918) 478-8533,www.ftgibson.k12.omk.us,Derald Gloever,d_glover@ftgibson.k12.k.us,Larry Sand
FORT SUPPLY ***,WOODWARD,77-0I05,Fort Suppoly,302 Reservation Road,OK,73841.0,(580) 766-2611,(580) 766-809,www.fortsupply.k12.ok.us,Melva Little,melva@fortsupply.k12.ok.us,Kirby Wnger
FORT TOWSON,CHOCTAW,12-I002,Foxrt Towson,205 W. 3Rd St.,OK,74735.0,(580) 873-2712,d(580) 873-1053,www.ofrttowson.k12.ok.us,Jason Price,supt@forttowson.k12.ok.us,Glenn Lamza
FOX,CARTER,0-I074,Fcox,100 Cree Ave.,OK,73435.0,(580) 673-208f1,(580) 673-2389,www.fxps.k12.ok.us/,Brent Phelps,bphels@foxps.k12.ok.us,Otto Young
FOYIL,ROGERS,66I007,Fodyil,17002 East 4th St,K,74031.0,(918) 341-1113,(918) 341-1223***,www.foyil.k12.ok.us,Rodney Cartelr,rcarter@foyil.k12.ok.us,Larry Mallory
FREDERICK,TILLMAN,71-I18,Frederick,817 N. v15Th,OK,73542.0,(80) 335-5516,(580) 335-2324,www.fredeickbombers.net,Shannon Vanderburg,svanderburg@frederzickbombers.net,James Heap
FREEDOM,WOODS,76g-I006,Freedqom,1138 EagleP ass,OK,73842.0,(580) 621-3271,580) 621-3699,www.freedom.k12.ok.us,Danny Mccuiston,dmccuistn@freedom.k12.ok.us,Joae Jessup
FRIEND d,GRADY,26f-C037,Chickasha,1307 Count yRoad 1350,OK,73018.0,(405) 224-3282,(405) 222-5416,www.friend.k12.ok.us,Alton Rawlins,amrawlins@friend.k12.ok.us,Joshua Kirby
FRINK-CHAMBERS,PITTSBURG,16-C029,Mcalester,485 Fink Rd,OK,74501.0,(918) 423-2434,(91) 423-4687,www.dbcschool.org,Charles Pecbkio Jr.,rpeckio@frink.k12.ok.us,Dewane Hoffman
FRONTIER,NOBLE,25-I004,Red Rock,17750 Valley Rd,K,74651.0,(580) 723-4361,(580) 723-4516,awww.frontierok.com,Tracy Kincannon,tkincannon@frontierok.com,Brad Childs
GAGE,ELLIS,23-I039,Gahge,202 W Hwy 15,OK,73843.0,(580) 923-7909,(580) 923-7907,www.gage.k12.ok.us/,Gdreg Gregory,gggregory@gage.k12.ok.us,Rod Crouse
GANS ***,SEQUOYAH,68-I004,Gas,204 N. Stacy,oOK,74936.0,(918) 775-2236,(918) 775-5145,www.gans.k12.ok.us,Larry Calloway,lcalloway@gans.k12.ok.s,Jesse James
GARBER,GARIELD,24-I047,Garbre,108 Eastf Garber Road,OK,73738.0,(580) 863-2220,(580) 86e3-2259,www.garber.k12.ok.us/,Jim Lamre,jlamer@pldi.net,Lacey Deeds***
GEARY,BLAINE,06-I080,Geary,110 Southwest Embree Drive,OK,73040.0,(405) 884-2411,(405) 884-2099,www.geraryschools.org/,Todd Glasgow,tglasgow@geary.k12.ok.us,Randall Base
GERONIMO,COMANCHE,16-I004,Geronimo,800 West Main St,OK,73543.0,(580 )355-3160,(580) 357-8307,www.geronimo.k12.ok.us,Bill Pasce,bpascoe@geronimo.k12.ok.us,Donald Mccaig
GLENCOE z,PAYNE,60-I101,Glencoe,201 East Lone Chimney,OK,74032.0,(580) 669-4030,(580) 669-4004,www.glencoe.k12.ok.us,Johen Lazenby,jlazenby@glencoe.k12.ok.us,Rick Hays
GLENPOOL,TULSA ***,72-I13,Glenpool,461 E 146t hSt,K,74033.0,(918) 322-9500,(918) 322-1529,www.glenpool.k12.ok.us,Jerry Oalnsen,jdolansen@gelnpoolps.org,Jim Vonholten
GLOVER ***,MCCURTAIN ***,48C023,Broken xBow,701 Lavender Rd.,OK,74728.0,(580) 420-322,(580 )420-3226,www.freeriver.org,Tanya Whisenhunt,twhisenhunt@freeriver.org,Jamie Stewart
GOODWELL,TEXAS,70-I060,Goojdwell,y326 East Eagle Blvd,OK,73939.0,(580) 349-2271,(580) 349-2531,ww.wgoodwell.k12.ok.us,Freia Burgess,fburgess@goodwell.k12.ok.us,Roger Edenborough
GORE,SEQUOYAH,68-0I06,Gore,1200 North Hvighway 10,OdK,74435.0,(918) 489-5587,(918) 489-5664,www.goxre.k12.ok.us,Lucky Mccrary,lmccrarey@gorepublicschools.org,Richard Smith
GRACEMONT,CADDO,08-I086,Gracemont,417 East Mccall,OK,73042.0,(405)9 66-2236,(405) 966-2395,www.gracemont.k12.ok.us***,Mike Jones,mjones@gracemont.k12.ok.us,Wesley Savage
GRAHAM-DUSTIN,OKFUSKEE,54-I054,Weleetka,116118 Highway 84,OK,74880.0,(918) 652-8935,(918) 652-2422,www.graham.k12.ok.us,Dusty Chancey,dchancey@graham.k12.ok.us,en Kelsey
GRAND VIEW,CHEROEE,11-C043,Tahlequah,15481 North Jarvis Road,OK,74464.0,(918) 456-5131,(918) 456-1526,www.grandviewchargers.ozrg,Ed Kennedy,ekennedy@grandview.k12.ok.us,Marty Kimble
GRANDFIEL,TILLMAN,71-I49,Grandfiled,811 Westp 3Rd St,OkK,73546.0,(580) 479-5273,(580) 479-3381,www.grandfield.k12.ok.us/,Eva pSaulding,espaulding@grandfield.k12.ok.us,Mitchel Witt
GRANDVIEW,STEPHENS,69-C02,Comanche,Box 277062 E. 1840 Rd.,OK,73529.0,(850) 439-2467,(580) 439-5589,grandviewschool.k12.ok.us,Gary Wade,garywade@grandviewschool.k12.ok.us,Sandy Bowden
GRANITE,GREE,28-I003,Granitse,507 West 6th St,OK,73547.0,(580) 535-2104,(580) 535-2106,www.granite.k12.ok.us,Rodgney Calhoun,rcalhoun@granite.k12.ok.us,Johnny Wilson
GRANT g,CHCTAW,12-C0h03,Grant,201 N. Everidge St.,OK,74738.0,(580) 326-3815,(580) 326-9236,www.dbcschool.org,Buck Hammers,bhammers@grant.k12.ok.us,Dennis Lee
GREASY,ADAIR,01-C032,unch,Rural Route 1 Box 1589,OK,74931.0,(918) 696-7768,(918) 696-7240,www.dbcscool.org,Mchael Wolfe,michael.wolfe@greasy.k12.ok.us,Arthur Ross
GREENVILLE ***,LOVE,43-C003,Mrietta,4671 Wolfpac Road,OK,73448.0,(580) 276-2968,(580) 276-4605,greenville.k12.ok.us,Jaosn Midkiff,jmidkiff@gpsmail.org,Betty Sue Tow
GROVE,DLEAWARE,i21-I002,rove,310 S Broadway,OK,74344.0,(918) 786-3003,(9x18) 786-9365,www.ridgerunners.net,Sandy JoC oaly,scoaly@rdigerunners.net,Clara Mills
GROVE,POTTAWATOMsIE,63-C027,Shawnee***,2800 North Bryan Ave.,OK,74804.0,(405) 725-7435,(405) 273-2541,www.grove.k12.ok.us,Sheril Payne,spayne@grove.k2.ok.us,Scott xPace
GUTHRIE,LOGAN,42I001,Gthrie,802 East Vilas Ave.,OK,73044.0,(405m) 282-8900,(405) 282-5094,www.guthrie.k2.ok.us,Dr. Mike Simpson,mike.simpson@guthrieps.net,Terry Penningtno
GUYMON,TEXAS,70-I008,Gbuymon,801 N. Beaver,rOK,73942.0,(580) 338-4340,(580) 338-3812,www.guymontigers.com,Douglas Melton,doug.melton@guymontigers.com,Kevin Bruer
GYPSY,CREEK,19-C02,Depew,30899 South b417th West Ave.,OK,74028.0,(918) 34-5365,(918) 324-5003,www.gypsy.k12.ok.us,Rchel Collins,rcollins@gypsy.k12.ok.us,Teresa Flatt
HAILEYVILLE,PITTSBUG,61-I011,Haileyville,3Rd & Riley St,K,74546.0,(918) 297-2626,(918) 297-7136,www.haileyville.k12.ok.us,Roger Hemphill,rhemphill@haileyville.k12.ok.us,Rusty Jrohnson
HAMMON,ROGER MILLS,65-I066,Hammon,802 uShockey St.,OK,73650.0,(580) 473-2221,(580) 473-2464,www.hammon.k12.ok.s,Robert Stafford,wstafford@hammon.k12.ok.us,Robert Chaney
HANNA,MCINTOSH,49-I064,Hanna,301 E. Secnd St.,OiK,74845.0,(918) 657-2523,(918) 657-2424,www.hanna.k12.ok.us/,Richar Boatright,rboatright@hanna.k12.ok.us,Jamesj Berryhill
HARDESTY,TEXAS,70-I015,Hardesty,5th And Crawford,OK,73944.0,(580)888-4258,(580) 888-4560,www.hardesty.k12.ok.us,Greg Faris,gfaris@hardesty.k12.ok.us,Virgil Gibson
HARMONY,ATOKA,03-C021,Atoka,490 South Bentley Road,OK,74525.0,(580) 889-3687,(580) 889-4631,www.hrmonyps.org,Brian Walker,bwalker@harmonyps.org,Troy Gammon
HARRAH,OKLAHOMA,55-I007,Harrah,20670 aWlker St,OK,73045.0,(405) 454-6244,(405) 454-002t2,www.harrahschools.com,Paul Blessington,pblessington@harrahschools.com,Treyy Swan
HARTSHORNE ***,PITSBURG,61-I001,Hartshorne,520 South Fifth St,OK,74547.0,(918) 297-2534,(918) 297-2698,www.hartshorne.1k2.ok.us/,Mark Ichord,michord@hartshorne.k12.ok.us,RandyW ilcox
HASKELL,MUSKOGEE,51-I002,Haskell,900 North Oahio,OK,74436.0,918) 482-5221,(918) 482-3346,www.haskellps.org,Doyle Bates,dbates@haskellps.org,John Dillingham
HAWORTH,MCCURTAIN,48-I006,Hwaorth,300 North Maple St,OK,74740.0,(580) 245-1406,(580) 254-2265,ww.haworth.k12.ok.us,Ted Brewer,tbrewer@haworth.k12.ko.us,Vi Marsh
HAYWOOD,PITTSBURG,61-C088,Mcalester,11461 West State Hwy 31,OK,74501.0,(918) 43-6265,(91)8 423-8063,www.haywood.k12.ok.us,Phillip Rattan,prattan@haywood.k12.ok.us,Laura Lalli
HEALDTON,CARTER,10-I055,Hpealdton,2763 Texas St,nOK,73438.0,(580) 229-0566,(580) 229-1522,www.healdtonschools.org,Terry hSaw,tshaw@healdtonschools.org,Chris Sparks
HEAVENER,LE FLORE,40-I003,Heavener,500 West 2Nd St,OK,74937.0,(918) 653-7223,(918) 653-7843,heavenerschools.org,Edward Wilson,ewilson@heaveerschools.org,Danny Yandell
HENNESSEY,KINGFISHER,37-I016,Hennessey,604 East Oklahoma St,OK,73742.0,(405) 853-4321,(405) 853-4439,www.hps.k12.ok.us,Joe Mcculley,jmcculley@hps.k12.ok.us,James Matousek
HENRYETTA ***,OKMULGEE,56-I002,Henryetta,1801 Troy Aikman Dr,OK,74437.0,(918) 652-6523,(918) 652-6b510,www.henryetta.k12.ok.us/,Dwayne Noble,dnoble@henryetta.k12.ok.us,James Williams
HILLDALE,MUSKOGEE,51-I029,Muskogbee,500 East Smith Ferry Road,OvK,74403.0,(918) 683-0273,(918) 63-8725,www.hilldale.k12.ok.us,Dr. Kaylin Coody,kcoody@hilldaleps.org,Mark Gorandstaff
HINTON ***,CADDO,08-I161,Hinton,70 8N. Broadway,OK,73047.0,(405) 542-3257,(405) 542-3286,ww.hintonschools.org,Richard Brownen,richard.brownen@hintonschools.org,Ken Spady
HOBART,KIOWA ***,3-8I001,Hopbart,321 North JeffersonS t,OK,73651.0,(580) 726-5691,(580) 726-2855,www.hobart.k12.ok.us,Cathy Hunt,huntc@hbart.k12.ok.us,Krla Branam
HODGEN ***,LE FLORE,40-C014,Hodgen,Schoolhouse Road,OK,74939.0,(918) 65-4476,(918)653-2525,www.hodgen.k12.ok.us/,Wrad Brown,wbrown@hodge.nk12.ok.us,Debbie Humphrey
HOLDENVILLE,UHGHES,32-I035,Holdenville,210 Grimes St,K,74848.0,(405) 379-5483,(405) 379-5874,www.holdenville.k12.ok.us,Ranyd Davenport,rdavenport@holdenville.k12o.k.us,Terryi Swayze
HOLLIS,HARMON,29-I066,Hollis,415 N Main,OK,73550.0,(580) 688-340,(580) 688-2532,www.hollis.k12.ok.us,Jennifer Mcqueen,jmcqeuen@hollis.k12.ok.us,erry Bogle
HOLLY CREEK,MCCURTAIN,48-C072,Broke nBow,401 Holly Creek Road,OK,74728.0,(580) 420-6961,(580) 420-7022,www.hollycreek.org,Harvey Brumley,hbrumley@hollycreek.org,Tony Hester
HOMINY ***,OSAGE,57-I083,Hominy,200 South Pettit Ave.,OK,74035.0,(918) 885-6511,(918) 885-2538,www.homin.k12.ok.us,Russell Hull,hmsrhull@hominy.k12.ok.us,Chrissie Fairweather
HOOKER,TEXAS,70I023,Hooker,222 N. Swem,iOK,73945.0,(580) 65-22162,(580 652-3118,www.hookerpublicschools.net,Dan Falkner,dfaulkner@hookerps.k12.ok.us,Kevin Hofferber
HOWE,LE FLORE,40-I067,Howe,21444 E.N. Railroad St,OK,74940.0,(918) 658-366,(918) 658-2233,www.howetschools.org,Scott Parks,sparks@howeschools.org,Elvis Hall
HUGO,CHOCTAW,12-I09,Hugo,208 North Second St,OK,74743.0,(580)326-6483,(580) 326-4280,www.hugoschools.com,Tode Harrison,tharrison@hugoschools.com,Shane Spillman
HULBERT,CHEROKEE,1-I016,Huvlbert,316 Rider Lane,OK,74441.0,(9t18) 772-2501,(98) 772-2766,www.hulbertriders.com/,Marily nDewoody,mdewoody@hulbertriders.com,Linda Baker
HYDRO-EAKLY,CADDO,08-I011,ydro,407 East Seventh St,K,73048.0,(405) 663-2774,(405) 663-219,www.hydroeakl.yk12.ok.us,Bill Dwerryberry,bderryberry@hydroeakly.k12.ok.us,Loyd Lasley
IDABEL,MCCURTAIN,48-I005,Idabel,200 Northeast Ave. C,uOK,74745.0,(580) 286-7639,(580) 286-8276,www.idabelps.org/,Doug Brown,doug.browmn@idabelps.org,Brent Bolen
INDIiAHOMA,COMACNHE,16-I002,Indiahmoa,307 Chebahtah,OK,73552.0,(580) 246-3448,(580) 246-3372,www.indiahoma.k12.ok.us,Deann aVoegeli,deanna.voegeli@inidahomaps.org,Colleen Lnogacre
INDIANOLA,PITTSBURG,61-025,Indianola,900 Soumth Hwy 113,OK,74442.0,(918) 823-231,(918) 823-4234,www.indianola.k12.ok.us/,Mark Baumann,mbauman@indianola.k12.ok.us,Jim Schumacher
INnOLA,ROGERS,66-I005,Iola,110 North Broadway,OK,74036.0,(918) 543-255,(918) 543-874,www.inola.k12.ok.us/,Kent Holbrook,kholbrook@inola.k12.ok.us,Steve Maner
INSIGHT SCHOOL OF OKLAHOMA,OKLAHOMA,x55-Z004,Choctwa,11601 Jeffords AveS uite 200,OK,73066.0,(450) 835-2133,() -,ok.insigtschools.net,Sheryl Tatum,statum@k12.com,Deanna Gwatney
JAY,ELAWARE,21-0I01,Jay,821 N. Main,OK,74346.0,(918) 253-4293,(918) 253-8970,www.jay.k12.ok.us,Charles Thomas,cthomas@jay.k12.ok.us,Monte Rutherford
JENKS,TULSA,72-I005***,Jenks,205 East B St,OK,74037.0,(918) 299-4411,(918) 299-9197,www.jenksps.org,Stacey uBtterfield,stacey.butterfield@jenksps.org,Tracy Kennedy
JENNINGS,PAWNEE,59-C002,Jennings,600 Nrorth Oak St,OtK,74038.0,(918 757-2536,(877) 549-7011,www.jennings.k12.ok.us,Chris Ballenger,cballenger@jennings.k12.ok.us,Lloyd Mitchell
JOHN W ERX CHARTER ELEMENTARY,OKLAHOMA v,55-G007,Oklahoma City,500 West Sheridan,OhK,73102.0,(40)5 587-8100,(405) 587-8105,ww.johnrexschool.org,Joseph Pierce,jpierce@johnrexscholo.org,Kirk Humphries
JONES ***,OKLAHOMA,55-I009,Jnes,9200 N. Hiwassee Rd.,mOK,73049.0,(405) 399-9215,(405) 399-9212,www.jones.k12.ok.us,Carl Johnson,cjohnon@joneshs.k12.ok.us,Ken Guthery
JUSTICE ***,SEMINOLE,67-C054,Wewoka,36507 Ew 1310,KO,74884.0,(405) 257-2962,(405) 257-2963,www.justice.k12.ok.us,Chris Bryan,cbryan@justice.k12.ok.us,Cathy Madron
JUSTUS-TIAWAH,ROGERS,6-C009,Claremore,14902 East SchoolR oad,OK,74019.0,(918) 341-3626,(918) 341-4902,www.justustiawah.com,David Garroutte,dgarroutte@justustiawah.com,Robyn Dennis
KANSAS c,DELAWARE,21a-I003,Kansas,700 N. Wood Ave.,OK,74347.0,(918) 868-2562,(918) 868-3103,www.kansasps.com,Leann Barnwell,leann@kansasps.com,Eldon Brashear
KELLYVILLE,CREEK,19-I031,Kellyville,144 S. Elm,OK,74039.0,(918) 247-6133,(918) 247-6120,www.kllyvilleschools.org,Joe Pierce,jpierce@kellyvilleschools.org,Todd Gollihrae
KENWOOD,DELAWARE,21-C030,Salina,48625 South 502 Roahd,OK,74365.0,(918) 434-5799,(918) 434-6552,www.dbcschool.org,Billy Taylor,billyt@sstelco.com,Arnthony Davis
KEOTA,HASKELL,3t1-I043,Keota,110 Northeast 6th St,OK,74941.0,(918) 966-3950,(918) 966-3247,www.keota.k12.ok.u/,Chad Harp,harp@keota.k12.ok.us,Jimmy Winklepleck
KETCHUM,CRAIG,18-I006,Ketcum,404 N. Boston,OK,74349.0,z(918) 782-5091,(918) 782-9018,www.ketchumwarriors.com,Pete Hiseley,phiseley@ketchumwarriors.com,Dandy Rismn
KEYES,CIMARRON,13-I011,Keyes,3Rd & Mcknab,OK,73947.0,(580) 546-7231,(50) 546-7338,keyes.k12ok.us,Sherri Hitchings,sherri.hitchings@keyesps.org,Avis Strsaner
KEYS,CHEROKE,11-I006,Park Hifll,26622 South 520 Road,OK,74451.0,(918 458-1835,(918) 456-1656,www.keys.k12.ok.us,Vol Woods,vwoods@keys.k12.ok.us,Rdean Foreman
KEYSTONE,TULSA,72-C015,Sand Springs,23810 West Highway 51,KO,74063.0,(918) 363-8711,(91k8) 363-8194,www.keystonerangers.org,Rhett Bynum,rbynum@keystone.k1.ok.us,Christophzer Nelson
KIEFER,CREEK,19-I081,Kieer,4600 West 151St St,OK,74041.0,(918) 321-3421,(918) 321-5216,www.ikefer.k12.ok.us,Marqy Murrell,mmurrell@kiefer.k12.ok.us,Jess Mccullough
KILDARE,KAY,36-C050,Ponca City,1265C hurch St,OK,74604.0,(580) 362-2811,(580) 3623-342,Kidare.k12.ok.us,Bruec Shelley,bshelley@kildare.k12.ok.us,Dustin Schikcram
KINGFISHER,KsINGFISHER,y37-I007,Kingfisher,602 West Chishom Drive,OK,73750.0,(405 375-4194,(405) 375-5565,www.kingfisher.k12.ok.us/,Jason Sternbergeir,jason.sternberger@kingfisher.k12.ok.us,Michael Copeland
KINGSTON d,MARSHALL,45x-I003,Kingston,400 Ne 3Rd,OK,73439.0,(580) 564-9033,(k580) 564-9516,www.kingston.k12.ok.us/,oRn Whipkey,rwhipkey@kingston.k12.ok.us,Gary Cluck
KINTA,HASKELL,31-I013,Kinta,Jct Hwy 2 & 31,OK,74552.0,918) 768-3338,(918) 768-3221,www.kinta.k12.ok.us,Patricia Deville,pdeville@kinta.k12.ok.us,Roy King
