districtname,countyname,code,city,address,statevalue,zip,phone,fax,websiteurl,superintendent,superintendentemail,boardpresident
DEBORAH BROWN (CHARTER),TULSA,72-G001,Tulsa,2 South Elgin,OK,74120.0,(918) 425-1407,(918) 949-4269,www.dbcschool.org,Deborah Brown,dbrown@dbcschool.org,Kenneth James
DEER CREEK,OKLAHOMA,55-I006,Edmond,20701 North Macarthur Blvd.,OK,73012.0,(405) 348-6100,(405) 348-3049,www.deercreekschools.org,Ranet Tippens,ranettippens@dcsok.org,John Robertson
DEER CREEK-LAMONT,GRANT,27-I095,Lamont,1192 Harrison Ave.,OK,74643.0,(580) 388-4333,(580) 388-4341,www.dclak12.org,James Lewis,jlewis@dclak12.org,Mike Williams
DENISON,MCCURTAIN,48-C037,Idabel,3001 East Washington,OK,74745.0,(580) 286-3319,(580) 286-5743,www.denison.k12.ok.us,Jordan Hill,jhill@denison.k12.ok.us,Darrell Ward
DEPEW,CREEK,19-I021,Depew,725 Simms St,OK,74028.0,(918) 324-5466,(918) 324-5336,www.depew.k12.ok.us,Leon Hiett,lhiett@depew.k12.ok.us,Bobby Howard
DEWAR,OKMULGEE,56-I008,Dewar,204 East 5th St,OK,74431.0,(918) 652-9625,(918) 652-3096,www.dewar.k12.ok.us,Todd Been,tpbeen@dewar.k12.ok.us,Rick Chisum
DEWEY,WASHINGTON,74-I007,Dewey,One Bulldogger Road,OK,74029.0,(918) 534-2241,(918) 534-0149,www.deweyk12.org,David Wilkins,wilkins@deweyk12.org,Chad Williams
DIBBLE,MCCLAIN,47-I002,Blanchard,22092 Old Town First,OK,73010.0,(405) 344-6375,(405) 344-6977,dibblepublicschools.schoolinsites.com/,Chad Clanton,clanton@dibble.k12.ok.us,Steve Long
DICKSON,CARTER,10-I077,Ardmore,4762 State Highway 199,OK,73401.0,(580) 223-3624,(580) 223-7947,www.dickson.k12.ok.us,Larry Case,lcase@dickson.k12.ok.us,Kent Donica
DISCOVERY SCHOOLS OF TULSA,TULSA,72-G003,Tulsa,280 S.Memorial Dr.,OK,74112.0,(918) 834-3936,(918) 834-3352,www.dsatulsa.org,Umit Alpaslan,alp@doveschools.org,Bilal Erturk
DOVER,KINGFISHER,37-I002,Dover,201 N Taylor,OK,73734.0,(405) 828-4206,(405) 828-7150,www.dover.k12.ok.us,Shannon Grimes,sgrimes@dover.k12.ok.us,Larry Harviston
DRUMMOND,GARFIELD,24-I085,Drummond,South Hwy 132,OK,73735.0,(580) 493-2216,(580) 493-2273,www.drummond.k12.ok.us,Mike Woods,mwoods@drummond.k12.ok.us,James Wilson
DRUMRIGHT,CREEK,19-I039,Drumright,505 W. 2Nd St,OK,74030.0,(918) 352-2492,(918) 352-4430,www.drumright.k12.ok.us,Robby Dorsey,rdorsey@drumright.k12.ok.us,Anthony Sylvester
DUKE,JACKSON,33-I014,Duke,300 North Chickasaw,OK,73532.0,(580) 679-3014,(580) 679-3017,www.dukeschools.com,Kevin Brown,kbrown@dukeschools.com,Rafe Hall
DUNCAN,STEPHENS,69-I001,Duncan,1706 W. Spruce,OK,73533.0,(580) 255-0686,(580) 252-2453,www.duncanps.org,Melonie Hau,melonie.hau@duncanps.org,Eric Davis
DURANT,BRYAN,07-I072,Durant,1323 Waco St,OK,74701.0,(580) 924-1276,(580) 924-6019,www.durantisd.org,Duane Merideth,duane.merideth@durantisd.org,Nate Morrison
EAGLETOWN,MCCURTAIN,48-I013,Eagletown,25 School St,OK,74734.0,(580) 835-2242,(580) 835-7420,www.eagletownisd.org/index.htm,Brian Armstrong,barmstrong@eagletownisd.org,Rodney Short
EARLSBORO,POTTAWATOMIE,63-I005,Earlsboro,100 East Main,OK,74840.0,(405) 997-5616,(405) 997-3181,www.earlsboro.k12.ok.us,Mark Maloy,mmaloy@earlsboro.k12.ok.us,Joe Brooks
EDMOND,OKLAHOMA,55-I012,Edmond,1001 West Danforth Road,OK,73003.0,(405) 340-2828,(405) 340-2835,www.edmondschools.net,Bret Towne,bret.towne@edmondschools.net,Kathleen Duncan
EL RENO,CANADIAN,09-I034,El Reno,100 South Bickford Ave.,OK,73036.0,(405) 262-1703,(405) 262-8620,www.elrenops.org,Craig Mcvay,cmcvay@elrenops.org,Steve Jensen
ELDORADO,JACKSON,33-I025,Eldorado,200 North 7th St,OK,73537.0,(580) 633-2219,(580) 633-2316,www.eldorado.k12.ok.us,Michael Parsons,mparsons@eldorado.k12.ok.us,Jackie Kenmore
ELGIN,COMANCHE,16-I016,Elgin,Hwy 17 & Mighty Owl Ave.,OK,73538.0,(580) 492-3663,(580) 492-4084,www.elginps.org,Nathaniel Meraz,nmeraz@elginps.org,Charley Robertson
ELK CITY,BECKHAM,05-I006,Elk City,222 West Broadway Ave.,OK,73644.0,(580) 225-0175,(580) 225-8644,www.elkcityschools.com,Buddy Wood,wood@elkcityschools.com,Brandon Storm
ELMORE CITY-PERNELL,GARVIN,25-I072,Elmore City,100 North Muse Ave.,OK,73433.0,(580) 788-2566,(580) 788-4624,www.ecphs.k12.ok.us,Donny Darrow,ddarrow@ecphs.k12.ok.us,Kristi Drennan
EMPIRE,STEPHENS,69-I021,Duncan,276803 E. 1760 Road,OK,73533.0,(580) 252-5392,(580) 252-4231,www.empireschools.org,Vicki Davison,vdavison@empireschools.org,Sheresa Patrick
ENID,GARFIELD,24-I057,Enid,500 South Independence Ave.,OK,73701.0,(580) 366-7000,(580) 366-8900,www.enidpublicschools.org,Darrell Floyd,dgfloyd@enidk12.org,Ernie Currier
EPIC ONE ON ONE CHARTER SCHOOL,OKLAHOMA,55-Z001,Okc,4101 Nw 122Nd St Suite B,OK,73120.0,(405) 749-4550,(405) 749-4540,www.epiccharterschools.org,David Chaney,david.chaney@epiccharterschools.org,Doug Scott
ERICK,BECKHAM,05-I051,Erick,319 S. Pine St.,OK,73645.0,(580) 526-3476,(580) 526-3308,www.erickps.k12.ok.us/,Jeff Kelly,jkelly@erickps.k12.ok.us,Brady Greer
EUFAULA,MCINTOSH,49-I001,Eufaula,1717 W. Jm Bailey Hwy,OK,74432.0,(918) 689-2152,(918) 689-1080,www.eufaula.k12.ok.us/,Jeanette Smith,jfsmith@eufaula.k12.ok.us,Shirley Breedlove
FAIRLAND,OTTAWA,58-I031,Fairland,202 West Washington Ave.,OK,74343.0,(918) 676-3811,(918) 676-3594,www.fairlandowls.com/,Mark Alexander,malexander@fairlandowls.com,Ray Davis
FAIRVIEW,MAJOR,44-I084,Fairview,408 East Broadway St,OK,73737.0,(580) 227-2531,(580) 227-2642,www.fairviewhigh.com/,Rocky Burchfield,burchfield@auroraok.org,Eva Martens
FANSHAWE,LE FLORE,40-C039,Fanshawe,Hwy 270,OK,74935.0,(918) 659-2341,(918) 659-2275,www.dbcschool.org,Wes Mcgowen,wmcgowen@fanshawe.k12.ok.us,Doug Horne
FARGO,ELLIS,23-I002,Fargo,513 S Main,OK,73840.0,(580) 698-2298,(580) 698-8019,www.fargo.k12.ok.us/,Terry Stevens,tstevens@fargo.k12.ok.us,Lindsey Schneider
FELT,CIMARRON,13-I010,Felt,101 South Lincoln,OK,73937.0,(580) 426-2220,(580) 426-2799,www.felt.k12.ok.us/,Lewetta Hefley,lewetta.hefley@feltps.org,John Fain
FIVE-STAR (ILC),PAYNE,60-K001,Cushing,1405 E Moses,OK,74023.0,(918) 225-5600,(918) 225-3026,www.fsilc.k12.ok.us,Nancy Anderson,nanderson@fsilc.k12.ok.us,Ned Williams
FLETCHER,COMANCHE,16-I009,Fletcher,108 W Hornaday,OK,73541.0,(580) 549-3016,(580) 549-6016,www.dbcschool.org,Shane Gilbreath,sgilbreath@fletcherschools.org,Aaron Jones
FLOWER MOUND,COMANCHE,16-C048,Lawton,2805 Southeast Flower Mound Road,OK,73501.0,(580) 353-4088,(580) 353-5742,www.flowermound.k12.ok.us,Dax Trent,dtrent@flowermound.k12.ok.us,Brenda Parker
FOREST GROVE,MCCURTAIN,48-C001,Garvin,1941 Forest Grove Road,OK,74736.0,(580) 286-3961,(580) 286-3974,forestgrove.k12.ok.us,John Smith,john.smith@forestgrove.k12.ok.us,Jill Trapp
FORGAN,BEAVER,04-I123,Forgan,504 West Main,OK,73938.0,(580) 487-3366,(580) 487-3368,www.forgan.k12.ok.us,Travis Smalts,tsmalts@forgan.k12.ok.us,Teryl Leisher
FORT COBB-BROXTON,CADDO,08-I167,Fort Cobb,407 N 6th St,OK,73038.0,(405) 643-2336,(405) 643-2547,www.fcbmustangs.com,Kyle Lierle,klierle@fcbmustangs.com,Derek Weaver
FORT GIBSON,MUSKOGEE,51-I003,Fort Gibson,500 South Ross Ave.,OK,74434.0,(918) 478-2474,(918) 478-8533,www.ftgibson.k12.ok.us,Derald Glover,d_glover@ftgibson.k12.ok.us,Larry Sand
FORT SUPPLY,WOODWARD,77-I005,Fort Supply,302 Reservation Road,OK,73841.0,(580) 766-2611,(580) 766-8019,www.fortsupply.k12.ok.us,Melva Little,melva@fortsupply.k12.ok.us,Kirby Wanger
FORT TOWSON,CHOCTAW,12-I002,Fort Towson,205 W. 3Rd St.,OK,74735.0,(580) 873-2712,(580) 873-1053,www.forttowson.k12.ok.us,Jason Price,supt@forttowson.k12.ok.us,Glenn Lamza
FOX,CARTER,10-I074,Fox,100 Creek Ave.,OK,73435.0,(580) 673-2081,(580) 673-2389,www.foxps.k12.ok.us/,Brent Phelps,bphelps@foxps.k12.ok.us,Otto Young
FOYIL,ROGERS,66-I007,Foyil,17002 East 4th St,OK,74031.0,(918) 341-1113,(918) 341-1223,www.foyil.k12.ok.us,Rodney Carter,rcarter@foyil.k12.ok.us,Larry Mallory
FREDERICK,TILLMAN,71-I158,Frederick,817 N. 15Th,OK,73542.0,(580) 335-5516,(580) 335-2324,www.frederickbombers.net,Shannon Vanderburg,svanderburg@frederickbombers.net,James Heap
FREEDOM,WOODS,76-I006,Freedom,1138 Eagle Pass,OK,73842.0,(580) 621-3271,(580) 621-3699,www.freedom.k12.ok.us,Danny Mccuiston,dmccuiston@freedom.k12.ok.us,Joe Jessup
FRIEND,GRADY,26-C037,Chickasha,1307 County Road 1350,OK,73018.0,(405) 224-3822,(405) 222-5416,www.friend.k12.ok.us,Alton Rawlins,amrawlins@friend.k12.ok.us,Joshua Kirby
FRINK-CHAMBERS,PITTSBURG,61-C029,Mcalester,485 Frink Rd,OK,74501.0,(918) 423-2434,(918) 423-4687,www.dbcschool.org,Charles Peckio Jr.,rpeckio@frink.k12.ok.us,Dewane Hoffman
FRONTIER,NOBLE,52-I004,Red Rock,17750 Valley Rd,OK,74651.0,(580) 723-4361,(580) 723-4516,www.frontierok.com,Tracy Kincannon,tkincannon@frontierok.com,Brad Childs
GAGE,ELLIS,23-I039,Gage,202 W Hwy 15,OK,73843.0,(580) 923-7909,(580) 923-7907,www.gage.k12.ok.us/,Greg Gregory,ggregory@gage.k12.ok.us,Rod Crouse
GANS,SEQUOYAH,68-I004,Gans,204 N. Stacy,OK,74936.0,(918) 775-2236,(918) 775-5145,www.gans.k12.ok.us,Larry Calloway,lcalloway@gans.k12.ok.us,Jesse James
GARBER,GARFIELD,24-I047,Garber,108 East Garber Road,OK,73738.0,(580) 863-2220,(580) 863-2259,www.garber.k12.ok.us/,Jim Lamer,jlamer@pldi.net,Lacey Deeds
GEARY,BLAINE,06-I080,Geary,110 Southwest Embree Drive,OK,73040.0,(405) 884-2411,(405) 884-2099,www.gearyschools.org/,Todd Glasgow,tglasgow@geary.k12.ok.us,Randall Base
GERONIMO,COMANCHE,16-I004,Geronimo,800 West Main St,OK,73543.0,(580) 355-3160,(580) 357-8307,www.geronimo.k12.ok.us,Bill Pascoe,bpascoe@geronimo.k12.ok.us,Donald Mccaig
GLENCOE,PAYNE,60-I101,Glencoe,201 East Lone Chimney,OK,74032.0,(580) 669-4003,(580) 669-4004,www.glencoe.k12.ok.us,John Lazenby,jlazenby@glencoe.k12.ok.us,Rick Hays
GLENPOOL,TULSA,72-I013,Glenpool,461 E 146th St,OK,74033.0,(918) 322-9500,(918) 322-1529,www.glenpool.k12.ok.us,Jerry Olansen,jdolansen@glenpoolps.org,Jim Vonholten
GLOVER,MCCURTAIN,48-C023,Broken Bow,701 Lavender Rd.,OK,74728.0,(580) 420-3232,(580) 420-3226,www.freeriver.org,Tanya Whisenhunt,twhisenhunt@freeriver.org,Jamie Stewart
GOODWELL,TEXAS,70-I060,Goodwell,326 East Eagle Blvd,OK,73939.0,(580) 349-2271,(580) 349-2531,www.goodwell.k12.ok.us,Freida Burgess,fburgess@goodwell.k12.ok.us,Roger Edenborough
GORE,SEQUOYAH,68-I006,Gore,1200 North Highway 10,OK,74435.0,(918) 489-5587,(918) 489-5664,www.gore.k12.ok.us,Lucky Mccrary,lmccrary@gorepublicschools.org,Richard Smith
GRACEMONT,CADDO,08-I086,Gracemont,417 East Mccall,OK,73042.0,(405) 966-2236,(405) 966-2395,www.gracemont.k12.ok.us,Mike Jones,mjones@gracemont.k12.ok.us,Wesley Savage
GRAHAM-DUSTIN,OKFUSKEE,54-I054,Weleetka,116118 Highway 84,OK,74880.0,(918) 652-8935,(918) 652-2422,www.graham.k12.ok.us,Dusty Chancey,dchancey@graham.k12.ok.us,Ken Kelsey
GRAND VIEW,CHEROKEE,11-C034,Tahlequah,15481 North Jarvis Road,OK,74464.0,(918) 456-5131,(918) 456-1526,www.grandviewchargers.org,Ed Kennedy,ekennedy@grandview.k12.ok.us,Marty Kimble
GRANDFIELD,TILLMAN,71-I249,Grandfield,811 West 3Rd St,OK,73546.0,(580) 479-5237,(580) 479-3381,www.grandfield.k12.ok.us/,Eva Spaulding,espaulding@grandfield.k12.ok.us,Mitchel Witt
GRANDVIEW,STEPHENS,69-C082,Comanche,Box 277062 E. 1840 Rd.,OK,73529.0,(580) 439-2467,(580) 439-5589,grandviewschool.k12.ok.us,Gary Wade,garywade@grandviewschool.k12.ok.us,Sandy Bowden
GRANITE,GREER,28-I003,Granite,507 West 6th St,OK,73547.0,(580) 535-2104,(580) 535-2106,www.granite.k12.ok.us,Rodney Calhoun,rcalhoun@granite.k12.ok.us,Johnny Wilson
GRANT,CHOCTAW,12-C003,Grant,201 N. Everidge St.,OK,74738.0,(580) 326-8315,(580) 326-9236,www.dbcschool.org,Buck Hammers,bhammers@grant.k12.ok.us,Dennis Lee
GREASY,ADAIR,01-C032,Bunch,Rural Route 1 Box 1589,OK,74931.0,(918) 696-7768,(918) 696-7240,www.dbcschool.org,Michael Wolfe,michael.wolfe@greasy.k12.ok.us,Arthur Ross
GREENVILLE,LOVE,43-C003,Marietta,4671 Wolfpac Road,OK,73448.0,(580) 276-2968,(580) 276-4605,greenville.k12.ok.us,Jason Midkiff,jmidkiff@gpsmail.org,Betty Sue Tow
GROVE,DELAWARE,21-I002,Grove,310 S Broadway,OK,74344.0,(918) 786-3003,(918) 786-9365,www.ridgerunners.net,Sandy Jo Coaly,scoaly@ridgerunners.net,Clara Mills
GROVE,POTTAWATOMIE,63-C027,Shawnee,2800 North Bryan Ave.,OK,74804.0,(405) 275-7435,(405) 273-2541,www.grove.k12.ok.us,Sheril Payne,spayne@grove.k12.ok.us,Scott Pace
GUTHRIE,LOGAN,42-I001,Guthrie,802 East Vilas Ave.,OK,73044.0,(405) 282-8900,(405) 282-5904,www.guthrie.k12.ok.us,Dr. Mike Simpson,mike.simpson@guthrieps.net,Terry Pennington
GUYMON,TEXAS,70-I008,Guymon,801 N. Beaver,OK,73942.0,(580) 338-4340,(580) 338-3812,www.guymontigers.com,Douglas Melton,doug.melton@guymontigers.com,Kevin Bruer
GYPSY,CREEK,19-C012,Depew,30899 South 417th West Ave.,OK,74028.0,(918) 324-5365,(918) 324-5003,www.gypsy.k12.ok.us,Rachel Collins,rcollins@gypsy.k12.ok.us,Teresa Flatt
HAILEYVILLE,PITTSBURG,61-I011,Haileyville,3Rd & Riley St,OK,74546.0,(918) 297-2626,(918) 297-7136,www.haileyville.k12.ok.us,Roger Hemphill,rhemphill@haileyville.k12.ok.us,Rusty Johnson
HAMMON,ROGER MILLS,65-I066,Hammon,802 Shockey St.,OK,73650.0,(580) 473-2221,(580) 473-2464,www.hammon.k12.ok.us,Robert Stafford,wstafford@hammon.k12.ok.us,Robert Chaney
HANNA,MCINTOSH,49-I064,Hanna,301 E. Second St.,OK,74845.0,(918) 657-2523,(918) 657-2424,www.hanna.k12.ok.us/,Richard Boatright,rboatright@hanna.k12.ok.us,James Berryhill
HARDESTY,TEXAS,70-I015,Hardesty,5th And Crawford,OK,73944.0,(580) 888-4258,(580) 888-4560,www.hardesty.k12.ok.us,Greg Faris,gfaris@hardesty.k12.ok.us,Virgil Gibson
HARMONY,ATOKA,03-C021,Atoka,490 South Bentley Road,OK,74525.0,(580) 889-3687,(580) 889-4631,www.harmonyps.org,Brian Walker,bwalker@harmonyps.org,Troy Gammon
HARRAH,OKLAHOMA,55-I007,Harrah,20670 Walker St,OK,73045.0,(405) 454-6244,(405) 454-0022,www.harrahschools.com,Paul Blessington,pblessington@harrahschools.com,Trey Swan
HARTSHORNE,PITTSBURG,61-I001,Hartshorne,520 South Fifth St,OK,74547.0,(918) 297-2534,(918) 297-2698,www.hartshorne.k12.ok.us/,Mark Ichord,michord@hartshorne.k12.ok.us,Randy Wilcox
HASKELL,MUSKOGEE,51-I002,Haskell,900 North Ohio,OK,74436.0,(918) 482-5221,(918) 482-3346,www.haskellps.org,Doyle Bates,dbates@haskellps.org,John Dillingham
HAWORTH,MCCURTAIN,48-I006,Haworth,300 North Maple St,OK,74740.0,(580) 245-1406,(580) 245-2265,www.haworth.k12.ok.us,Ted Brewer,tbrewer@haworth.k12.ok.us,Vic Marsh
HAYWOOD,PITTSBURG,61-C088,Mcalester,11461 West State Hwy 31,OK,74501.0,(918) 423-6265,(918) 423-8063,www.haywood.k12.ok.us,Phillip Rattan,prattan@haywood.k12.ok.us,Laura Lalli
HEALDTON,CARTER,10-I055,Healdton,2763 Texas St,OK,73438.0,(580) 229-0566,(580) 229-1522,www.healdtonschools.org,Terry Shaw,tshaw@healdtonschools.org,Chris Sparks
HEAVENER,LE FLORE,40-I003,Heavener,500 West 2Nd St,OK,74937.0,(918) 653-7223,(918) 653-7843,heavenerschools.org,Edward Wilson,ewilson@heavenerschools.org,Danny Yandell
HENNESSEY,KINGFISHER,37-I016,Hennessey,604 East Oklahoma St,OK,73742.0,(405) 853-4321,(405) 853-4439,www.hps.k12.ok.us,Joe Mcculley,jmcculley@hps.k12.ok.us,James Matousek
HENRYETTA,OKMULGEE,56-I002,Henryetta,1801 Troy Aikman Dr,OK,74437.0,(918) 652-6523,(918) 652-6510,www.henryetta.k12.ok.us/,Dwayne Noble,dnoble@henryetta.k12.ok.us,James Williams
HILLDALE,MUSKOGEE,51-I029,Muskogee,500 East Smith Ferry Road,OK,74403.0,(918) 683-0273,(918) 683-8725,www.hilldale.k12.ok.us,Dr. Kaylin Coody,kcoody@hilldaleps.org,Mark Grandstaff
HINTON,CADDO,08-I161,Hinton,708 N. Broadway,OK,73047.0,(405) 542-3257,(405) 542-3286,www.hintonschools.org,Richard Brownen,richard.brownen@hintonschools.org,Ken Spady
HOBART,KIOWA,38-I001,Hobart,321 North Jefferson St,OK,73651.0,(580) 726-5691,(580) 726-2855,www.hobart.k12.ok.us,Cathy Hunt,huntc@hobart.k12.ok.us,Karla Branam
HODGEN,LE FLORE,40-C014,Hodgen,Schoolhouse Road,OK,74939.0,(918) 653-4476,(918) 653-2525,www.hodgen.k12.ok.us/,Ward Brown,wbrown@hodgen.k12.ok.us,Debbie Humphrey
HOLDENVILLE,HUGHES,32-I035,Holdenville,210 Grimes St,OK,74848.0,(405) 379-5483,(405) 379-5874,www.holdenville.k12.ok.us,Randy Davenport,rdavenport@holdenville.k12.ok.us,Terry Swayze
HOLLIS,HARMON,29-I066,Hollis,415 N Main,OK,73550.0,(580) 688-3450,(580) 688-2532,www.hollis.k12.ok.us,Jennifer Mcqueen,jmcqueen@hollis.k12.ok.us,Terry Bogle
HOLLY CREEK,MCCURTAIN,48-C072,Broken Bow,401 Holly Creek Road,OK,74728.0,(580) 420-6961,(580) 420-7022,www.hollycreek.org,Harvey Brumley,hbrumley@hollycreek.org,Tony Hester
HOMINY,OSAGE,57-I038,Hominy,200 South Pettit Ave.,OK,74035.0,(918) 885-6511,(918) 885-2538,www.hominy.k12.ok.us,Russell Hull,hmsrhull@hominy.k12.ok.us,Chrissie Fairweather
HOOKER,TEXAS,70-I023,Hooker,222 N. Swem,OK,73945.0,(580) 652-2162,(580) 652-3118,www.hookerpublicschools.net,Dan Faulkner,dfaulkner@hookerps.k12.ok.us,Kevin Hofferber
HOWE,LE FLORE,40-I067,Howe,21444 E.N. Railroad St,OK,74940.0,(918) 658-3666,(918) 658-2233,www.howeschools.org,Scott Parks,sparks@howeschools.org,Elvis Hall
HUGO,CHOCTAW,12-I039,Hugo,208 North Second St,OK,74743.0,(580) 326-6483,(580) 326-2480,www.hugoschools.com,Tod Harrison,tharrison@hugoschools.com,Shane Spillman
HULBERT,CHEROKEE,11-I016,Hulbert,316 Rider Lane,OK,74441.0,(918) 772-2501,(918) 772-2766,www.hulbertriders.com/,Marilyn Dewoody,mdewoody@hulbertriders.com,Linda Baker
HYDRO-EAKLY,CADDO,08-I011,Hydro,407 East Seventh St,OK,73048.0,(405) 663-2774,(405) 663-2139,www.hydroeakly.k12.ok.us,Bill Derryberry,bderryberry@hydroeakly.k12.ok.us,Loyd Lasley
IDABEL,MCCURTAIN,48-I005,Idabel,200 Northeast Ave. C,OK,74745.0,(580) 286-7639,(580) 286-8276,www.idabelps.org/,Doug Brown,doug.brown@idabelps.org,Brent Bolen
INDIAHOMA,COMANCHE,16-I002,Indiahoma,307 Chebahtah,OK,73552.0,(580) 246-3448,(580) 246-3372,www.indiahoma.k12.ok.us,Deanna Voegeli,deanna.voegeli@indiahomaps.org,Colleen Longacre
INDIANOLA,PITTSBURG,61-I025,Indianola,900 South Hwy 113,OK,74442.0,(918) 823-4231,(918) 823-4234,www.indianola.k12.ok.us/,Mark Baumann,mbaumann@indianola.k12.ok.us,Jim Schumacher
INOLA,ROGERS,66-I005,Inola,110 North Broadway,OK,74036.0,(918) 543-2255,(918) 543-8754,www.inola.k12.ok.us/,Kent Holbrook,kholbrook@inola.k12.ok.us,Steve Maner
INSIGHT SCHOOL OF OKLAHOMA,OKLAHOMA,55-Z004,Choctaw,11601 Jeffords Ave Suite 200,OK,73066.0,(405) 835-2133,() -,ok.insightschools.net,Sheryl Tatum,statum@k12.com,Deanna Gwatney
JAY,DELAWARE,21-I001,Jay,821 N. Main,OK,74346.0,(918) 253-4293,(918) 253-8970,www.jay.k12.ok.us,Charles Thomas,cthomas@jay.k12.ok.us,Monte Rutherford
JENKS,TULSA,72-I005,Jenks,205 East B St,OK,74037.0,(918) 299-4411,(918) 299-9197,www.jenksps.org,Stacey Butterfield,stacey.butterfield@jenksps.org,Tracy Kennedy
JENNINGS,PAWNEE,59-C002,Jennings,600 North Oak St,OK,74038.0,(918) 757-2536,(877) 549-7011,www.jennings.k12.ok.us,Chris Ballenger,cballenger@jennings.k12.ok.us,Lloyd Mitchell
JOHN W REX CHARTER ELEMENTARY,OKLAHOMA,55-G007,Oklahoma City,500 West Sheridan,OK,73102.0,(405) 587-8100,(405) 587-8105,www.johnrexschool.org,Joseph Pierce,jpierce@johnrexschool.org,Kirk Humphries
JONES,OKLAHOMA,55-I009,Jones,9200 N. Hiwassee Rd.,OK,73049.0,(405) 399-9215,(405) 399-9212,www.jones.k12.ok.us,Carl Johnson,cjohnson@joneshs.k12.ok.us,Ken Guthery
JUSTICE,SEMINOLE,67-C054,Wewoka,36507 Ew 1310,OK,74884.0,(405) 257-2962,(405) 257-2963,www.justice.k12.ok.us,Chris Bryan,cbryan@justice.k12.ok.us,Cathy Madron
JUSTUS-TIAWAH,ROGERS,66-C009,Claremore,14902 East School Road,OK,74019.0,(918) 341-3626,(918) 341-4920,www.justustiawah.com,David Garroutte,dgarroutte@justustiawah.com,Robyn Dennis
KANSAS,DELAWARE,21-I003,Kansas,700 N. Wood Ave.,OK,74347.0,(918) 868-2562,(918) 868-3103,www.kansasps.com,Leann Barnwell,leann@kansasps.com,Eldon Brashear
KELLYVILLE,CREEK,19-I031,Kellyville,144 S. Elm,OK,74039.0,(918) 247-6133,(918) 247-6120,www.kellyvilleschools.org,Joe Pierce,jpierce@kellyvilleschools.org,Todd Gollihare
KENWOOD,DELAWARE,21-C030,Salina,48625 South 502 Road,OK,74365.0,(918) 434-5799,(918) 434-6552,www.dbcschool.org,Billy Taylor,billyt@sstelco.com,Anthony Davis
KEOTA,HASKELL,31-I043,Keota,110 Northeast 6th St,OK,74941.0,(918) 966-3950,(918) 966-3247,www.keota.k12.ok.us/,Chad Harp,charp@keota.k12.ok.us,Jimmy Winklepleck
KETCHUM,CRAIG,18-I006,Ketchum,404 N. Boston,OK,74349.0,(918) 782-5091,(918) 782-9018,www.ketchumwarriors.com,Pete Hiseley,phiseley@ketchumwarriors.com,Dandy Risman
KEYES,CIMARRON,13-I011,Keyes,3Rd & Mcknab,OK,73947.0,(580) 546-7231,(580) 546-7338,keyes.k12.ok.us,Sherri Hitchings,sherri.hitchings@keyesps.org,Avis Strasner
KEYS,CHEROKEE,11-I006,Park Hill,26622 South 520 Road,OK,74451.0,(918) 458-1835,(918) 456-1656,www.keys.k12.ok.us,Vol Woods,vwoods@keys.k12.ok.us,Radean Foreman
KEYSTONE,TULSA,72-C015,Sand Springs,23810 West Highway 51,OK,74063.0,(918) 363-8711,(918) 363-8194,www.keystonerangers.org,Rhett Bynum,rbynum@keystone.k12.ok.us,Christopher Nelson
KIEFER,CREEK,19-I018,Kiefer,4600 West 151St St,OK,74041.0,(918) 321-3421,(918) 321-5216,www.kiefer.k12.ok.us,Mary Murrell,mmurrell@kiefer.k12.ok.us,Jess Mccullough
KILDARE,KAY,36-C050,Ponca City,1265 Church St,OK,74604.0,(580) 362-2811,(580) 362-3342,Kidare.k12.ok.us,Bruce Shelley,bshelley@kildare.k12.ok.us,Dustin Schickram
KINGFISHER,KINGFISHER,37-I007,Kingfisher,602 West Chisholm Drive,OK,73750.0,(405) 375-4194,(405) 375-5565,www.kingfisher.k12.ok.us/,Jason Sternberger,jason.sternberger@kingfisher.k12.ok.us,Michael Copeland
KINGSTON,MARSHALL,45-I003,Kingston,400 Ne 3Rd,OK,73439.0,(580) 564-9033,(580) 564-9516,www.kingston.k12.ok.us/,Ron Whipkey,rwhipkey@kingston.k12.ok.us,Gary Cluck
KINTA,HASKELL,31-I013,Kinta,Jct Hwy 2 & 31,OK,74552.0,(918) 768-3338,(918) 768-3221,www.kinta.k12.ok.us,Patricia Deville,pdeville@kinta.k12.ok.us,Roy King
KIOWA,PITTSBURG,61-I014,Kiowa,406 East 8th St,OK,74553.0,(918) 432-5631,(918) 432-5683,www.kiowa.k12.ok.us,Rick Pool,rpool@kiowa.k12.ok.us,Greg Shores
KONAWA,SEMINOLE,67-I004,Konawa,701 West South St,OK,74849.0,(580) 925-3244,(580) 925-2146,konawa.k12.ok.us/,Andy Gower,andygower@konawa.k12.ok.us,Robert Coats
KREBS,PITTSBURG,61-C009,Krebs,20 Southwest Fifth St,OK,74554.0,(918) 426-4700,(918) 423-2909,krebs.k12.ok.us,Patrick Turner,pturner@krebs.k12.ok.us,Bill Pemberton
KREMLIN-HILLSDALE,GARFIELD,24-I018,Kremlin,705 Fifth,OK,73753.0,(580) 874-2284,(580) 874-4488,www.kremlin.k12.ok.us,Jim Patton,pattonj@kremlin.k12.ok.us,Dusty Bittle
