OBJECTID,CYCLE,ASSESSMENT_UNIT_ID,ASSESSMENT_UNIT_NAME,LOCATION_DESCRIPTION,WATER_TYPE_NAME,WATER_SIZE,UNITS,CLASS_ID,USE_CLASS_NAME,LIS_BASIN,LIS_ZONE,ISLAND,BEACH,Segment_ID,CT2022_AQL_USE_NAME,CT2022_AQL_USE_ATTAINMENT,CT2022_REC_USE_NAME,CT2022_REC_USE_ATTAINMENT,CT2022_FISHCON_USE_NAME,CT2022_FISHCON_USE_ATTAINMENT,CT2022_SHLFSH_USE_NAME,CT2022_SHLFSH_USE_ATTAINMENT,Impaired,SHAPE_Length,SHAPE_Area
44,2022,CT-E4_004,LIS EB Offshore - Old Saybrook,See Map for Boundaries.  Eastern portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,9.44,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Offshore,False,False,CT-E4_004,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Use Not Viable,Not Evaluated,No,74588.3286828901,263184372.445871
45,2022,CT-C3_007,"LIS CB Midshore - Sachem Head Harbor, Guilford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Sachem Head), out to 50 ft contour, Guilford.",ESTUARY,7.089,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,CT-C3_007,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Fully Supporting,No,65504.9847170054,197621763.160976
46,2022,CT-W2_011,"LIS WB Shore - Canfield Island, Westport","See Map for Boundaries.  Western portion of LIS from just west of Canfield Island to Saugatuck Shores area (includes Canfiled Island, Saugatuck Shores, Seymour Point) out approximately 1000 ft offshore, Westport.",ESTUARY,0.43,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,False,CT-W2_011,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,52718.8457352264,11976498.4582671
47,2022,CT-W1_001-SB,"LIS WB Inner - Bridgeport Harbor, Bridgeport","See Map for Boundaries.  Western portion of LIS from SA/SB water quality line at mouth at Pleasure Beach area, US to saltwater limit in Pequonnock River and Lewis Gut (includes Yellow Mill Channel, Johnsons Creek, all SB water of Harbor area), Bridgeport.",ESTUARY,1.434,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,False,False,CT-W1_001-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,199178.427272333,39982017.9477789
48,2022,CT-W1_018-SB,"LIS WB Inner - Stamford Harbor (Inner), Stamford","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from Cook Road and across to Yacht Club, US to saltwater limit in both the West (Route 137 crossing above I95 crossing) and East (Jefferson Street) Branches of Harbor, Stamford.",ESTUARY,0.318,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Western,Inner Estuary,True,False,CT-W1_018-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Assessed,Yes,49916.2431344272,8865824.75693325
49,2022,CT-W1_009,"LIS WB Inner - Grays Creek, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from SA/SB water quality line at mouth on Saugatuck River Estuary, US to saltwater limit at Compo Road, Westport.",ESTUARY,0.036,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_009,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,14199.499641636,1006460.25132272
50,2022,CT-E1_006,"LIS EB Inner - Inner Quiambaug Cove, Stonington","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Quiambaug Cove from RR crossing, US to Saltwater limit, above Route 1 crossing, adjacent to Cove Road, Stonington.",ESTUARY,0.114,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_006,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,20584.359403294,3165409.62045516
51,2022,CT-E1_010,"LIS EB Inner - Palmer Cove (Inner), Groton","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Inner Palmer Cove waters from North side of Groton Long Point Road crossing, past RR crossings to saltwater limit, Groton.",ESTUARY,0.113,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_010,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,17689.4423605944,3149840.36585975
52,2022,CT-E1_019,"LIS EB Inner - Jordan Cove, Waterford","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Jordan Cove from outlet at Pleasure Beach, US past RR crossing, to Saltwater limit at outlet dam of Jordan Mill Pond, adjacent to Route 156, Waterford.",ESTUARY,0.191,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_019,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,32641.230842191,5329055.27311996
53,2022,CT-E1_023,"LIS EB Inner - Fourmile River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Fourmile River from outlet at RR crossing, Western end of Rocky Neck State Park Beach, US to saltwater limit at Route 156 crossing, Old Lyme.",ESTUARY,0.031,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Inner Estuary,False,False,CT-E1_023,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,10331.9964637195,864108.868579571
54,2022,CT-W1_005,"LIS WB Inner - Southport Harbor, Fairfield","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth parallel to Willow Street, US to Harbor Road crossing, Fairfield.",ESTUARY,0.072,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_005,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,13931.7434392543,2016457.98698027
55,2022,CT-E1_016-SB,"LIS EB Inner - Thames River (Upper), Norwich","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Thames River from just below outlet of Poquetanuck Cove (near Walden Island), adjacent to Route 12 at Cardinal Lane intersection, US to first dams in Yantic and Shetucket Rivers, Norwich.",ESTUARY,1.555,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,True,False,CT-E1_016-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,152946.582019049,43355803.5615809
56,2022,CT-E1_027-SB,"LIS EB Inner - Duck River, Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Duck River from RR crossing near Route 156 crossing, US to saltwater limit at Elm Street, Old Lyme.",ESTUARY,0.007,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,False,False,CT-E1_027-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,7220.30823167854,183157.772196225
57,2022,CT-E1_024-SB,"LIS EB Inner - Connecticut River (mouth), Old Lyme","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from outlet at Griswold Point, US to I 95 crossing (Includes North and South Coves, lower Lieutenant River and waters around Great Island upto RR crossings), Old Lyme.",ESTUARY,3.284,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,True,False,CT-E1_024-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Not Supporting,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,187381.763210123,91545858.8730836
58,2022,CT-C2_019-SB,"LIS CB Shore - New Haven Harbor (West), Milford","See Map for Boundaries.  Central portion of LIS from Merwin Point to Oyster River Point area (includes Woodmont Beach, Oyster River outlet), out approximately 1000 ft offshore, Milford.",ESTUARY,0.295,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Shore,False,True,CT-C2_019-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Fully Supporting,No,18686.6867463042,8217102.09775337
59,2022,CT-W1_019,"LIS WB Inner - Cos Cob Harbor (upper), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from RR crossing, US to saltwater limit at Mianus River Dam, Route 1 crossing (includes I95 bridge crossing), Greenwich.",ESTUARY,0.132,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,False,False,CT-W1_019,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,No,18741.7910472614,3667618.56309681
60,2022,CT-W1_008,"LIS WB Inner - Sherwood Millpond, Westport","See Map for Boundaries.  Western portion of LIS, Inner Estuary, from mouth at Compo Cove, US to saltwater limit south of RR and I95 (includes Mill Creek, Grove Point, and all of Greens Farm Brook surrounding Sherwood Island State Park), Westport.",ESTUARY,0.168,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,True,False,CT-W1_008,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,50701.3364762648,4679287.04699399
61,2022,CT-C3_020,"LIS CB Midshore - Milford Point, Milford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (SA water surrounding SB water, outer mouth of Housatonic River), out to 50 ft contour, Milford.",ESTUARY,10.663,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,CT-C3_020,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,86565.9644430666,297277705.79631
62,2022,CT-C3_017,LIS CB Midshore - Milford,"See Map for Boundaries.  Central portion of LIS, SA water from SA/SB water boundary along outer New Haven Harbor, out to 50 ft contour, Milford.",ESTUARY,8.095,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,CT-C3_017,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,63748.8134522544,225669935.931587
63,2022,CT-E3_007,"LIS EB Midshore - East Lyme, Rocky Neck","See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Hatchett Point to Black Point, East Lyme, out to 50 ft contour (offshore of mouths of Fourmile and Pattagasett Rivers).",ESTUARY,2.93,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,True,False,CT-E3_007,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Fully Supporting,No,53108.9529703063,81687630.5787037
64,2022,CT-C3_019-I,"LIS CB Midshore - Outer Silver Sand Beach, Milford","See Map for Boundaries.  Central portion of LIS from SA/SB water quality line along beach, out to Island (THE GULF SA water inside of Island at Silver Sands State Park Beach), Milford.",ESTUARY,0.573,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,CT-C3_019-I,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,17949.3805112461,15972018.4315758
65,2022,CT-C3_018,"LIS CB Midshore - Fort Trumbull, Milford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Silver Sands State Park area, water beyond Island), out to 50 ft contour, Milford.",ESTUARY,11.311,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,False,False,CT-C3_018,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Fully Supporting,Yes,79956.74412669,315335913.110471
66,2022,CT-C1_011,"LIS CB Inner - Farm River, East Haven","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SA water from SA/SB water quality line at Route 142 (Short Beach Road), US to saltwater limit above RR crossing and near Route 1, East Haven/Branford.",ESTUARY,0.066,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,True,False,CT-C1_011,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,Yes,45781.0219088525,1844745.66682275
67,2022,CT-C1_007,"LIS CB Inner - West River, Guilford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth of West River at outlet into Guilford Harbor, US to saltwater limit at Route 1 crossing, Guilford.",ESTUARY,0.047,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,CT-C1_007,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,26350.7315293489,1317364.32839152
68,2022,CT-C1_020-SB,"LIS CB Inner - Housatonic River (lower), Milford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from Route 1 crossing, US to Route 15 crossing (includes Peacock, Carting, Long, Popes, and Fowler Islands, and mouth of Pumpkin Ground Brook) Milford/Stratford.",ESTUARY,0.741,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,True,False,CT-C1_020-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Assessed,No,85798.6565892212,20655639.3579372
69,2022,CT-E1_029-SB,"LIS EB Inner - Connecticut River (Lower), Essex","See Map for Boundaries.  Eastern portion of LIS, Inner Estuary, Connecticut River from I95 crossing, US to area just above Brockway Island, Essex.",ESTUARY,3.182,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Eastern,Inner Estuary,True,False,CT-E1_029-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Not Supporting,Commercial Shellfish Harvesting Where Authorized,Not Assessed,Yes,247663.829781432,88707618.375856
70,2022,CT-C1_008,"LIS CB Inner - Joshua Cove, Beattie Pond, Guilford","See Map for Boundaries.  Central portion of LIS, Inner Estuary, from mouth at outlet into Joshua Cove, US to saltwater limit above Route 146 and RR crossing (includes Beattie Pond), Guilford.",ESTUARY,0.104,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,CT-C1_008,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,No,24560.9029499239,2905991.46438415
71,2022,CT-E2_005,"LIS EB Shore - Mouth Mystic River, Stonington","See Map for Boundaries.  Eastern portion of LIS from western most tip of Mason Island along SB/SA water quality boundary to eastern most tip of Mason Island, out approximately 1000 ft offshore.",ESTUARY,0.35,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,False,CT-E2_005,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,29178.2386357076,9744571.94522925
72,2022,CT-E2_013,"LIS EB Shore - Niantic Bay (East), Waterford","See Map for Boundaries.  Eastern portion of LIS from Smith Avenue at junction with Route 156 to Millstone Point, out approximately 1000 ft offshore.  Waters adjacent to Millstone Power Plant.",ESTUARY,0.444,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Shore,False,False,CT-E2_013,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,27604.1661395995,12386349.3606052
73,2022,CT-E3_011,"LIS EB Midshore - Old Saybrook, Indian Harbor","See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point, to Guardhouse Point, Old Saybrook, (outer Indiantown Harbor and Plum Bank), out to 50 ft contour.",ESTUARY,5.639,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,CT-E3_011,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,57646.7166726261,157218608.931288
74,2022,CT-C3_001,"LIS CB Midshore - Westbrook Harbor, Westbrook","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Westbrook Harbor), out to 50 ft contour and basin boundary separating Eastern/Central.",ESTUARY,2.692,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,CT-C3_001,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,40337.5174447492,75045739.0451791
75,2022,CT-E3_012,LIS EB Midshore - Westbrook,"See Map for Boundaries.  Eastern portion of LIS from approximately 1000 ft offshore Old Kelsey Point (outer Westbrook Harbor), out to 50 ft contour. Odd shape due to 50 ft contour.",ESTUARY,7.407,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Midshore,False,False,CT-E3_012,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,88773.6682578699,206495230.394368
76,2022,CT-C2_011,"LIS CB Shore - Stony Creek (East), Branford","See Map for Boundaries.  Central portion of LIS from Flying Point to Clark Point area (includes Hoadley Neck, Narrows Island), out approximately 1000 ft offshore, Branford/Guilford.",ESTUARY,0.546,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,True,False,CT-C2_011,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,52267.5214991965,15221554.6687621
77,2022,CT-C3_009-I,"LIS CB Midshore - Thimble Islands, Branford","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Thimble Islands), out to 50 ft contour, Branford.",ESTUARY,1.457,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,CT-C3_009-I,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,75470.3197500749,40614880.4899732
78,2022,CT-C2_012,"LIS CB Shore - Stony Creek (West), Branford","See Map for Boundaries.  Central portion of LIS from Brown Point to Flying Point area (includes Stony Creek Beach, Saint Helena Island, Juniper Point, Pleasant Point), out approximately 1000 ft offshore, Branford.",ESTUARY,0.379,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Shore,True,True,CT-C2_012,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,39606.805607261,10555102.7738397
79,2022,CT-W1_020,"LIS WB Inner - Indian Harbor (upper), Greenwich","See Map for Boundaries.  Western portion of LIS, Inner Estuary, upper Indian Harbor (lower portion of Greenwich Creek) from Davis Avenue crossing, US to saltwater limit at West Brother Drive crossing (includes I95 crossing), Greenwich.",ESTUARY,0.025,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Inner Estuary,True,False,CT-W1_020,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Assessed,Yes,9582.32452348792,685988.438871483
80,2022,CT-W2_023,"LIS WB Shore - Smith Cove, Indian Hrbr, Greenwich","See Map for Boundaries.  Western portion of LIS from Field Point to Tweed Island (includes Round Island, Tweed Island, Smith Cove, Indian Harbor) out approximately 1000 ft offshore, Greenwich.",ESTUARY,0.374,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,True,False,CT-W2_023,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,36286.0095426858,10435117.5662644
81,2022,CT-C2_024-SB,"LIS CB Shore - Housatonic River mouth, Stratford","See Map for Boundaries.  Central portion of LIS from SA/SB WQ line at Stratford Point to SA/SB WQ line at Milford Point area (includes Short Beach, entire mouth of Housatonic River) all SB waters out approximately 1000-4000 ft offshore, Stratford.",ESTUARY,0.64,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Shore,False,True,CT-C2_024-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,28860.212929491,17852314.4109618
82,2022,CT-C4_001,LIS CB Offshore - Madison,See Map for Boundaries.  Central portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,37.978,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Offshore,False,False,CT-C4_001,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Use Not Viable,Not Evaluated,No,175785.920501051,1058769377.8743
83,2022,CT-E4_005,LIS EB Offshore - Westbrook,See Map for Boundaries.  Eastern portion of LIS from 50ft contour to CT/NY State line.,ESTUARY,6.07,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Eastern,Offshore,False,False,CT-E4_005,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Use Not Viable,Not Evaluated,No,75530.3433872666,169230569.818359
84,2022,CT-C3_003,"LIS CB Midshore - Outer Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS from approximately 1000 ft offshore (Clinton Harbor), out to 50 ft contour, Clinton.",ESTUARY,2.524,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Midshore,True,False,CT-C3_003,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,38711.6403275611,70372699.9240908
85,2022,CT-C1_002-SB,"LIS CB Inner - Inner Clinton Harbor, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, SB water of inner Clinton Harbor, including mouths of Hammonasset, Indian, Hammock Rivers, and Dudley Creek (includes Esposito Beach), Clinton.",ESTUARY,0.372,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,True,CT-C1_002-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Fully Supporting,Yes,21148.1794158666,10377399.7058145
86,2022,CT-C1_003-SB,"LIS CB Inner - Hammonasset River, Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, Hammonasset River SB water from mouth at inner Clinton Harbor, US to SA/SB water quality line between Currycross Road and RR track, Clinton.",ESTUARY,0.072,Square Miles,52,COASTAL AND MARINE SURFACE WATERS CLASS SB,Central,Inner Estuary,False,False,CT-C1_003-SB,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Commercial Shellfish Harvesting Where Authorized,Not Supporting,Yes,26163.4200852147,2004912.58104265
87,2022,CT-C1_005,"LIS CB Inner - Clinton Harbor (SA Inputs), Clinton","See Map for Boundaries.  Central portion of LIS, Inner Estuary, (DISCONTINUOUS SEGMENT) SA water of upper Hammonasset, Indian, Hammock Rivers, Dudley Creek and other small tributaries, from SA/SB water quality line, US to saltwater limits, Clinton.",ESTUARY,0.138,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Central,Inner Estuary,False,False,CT-C1_005,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,98107.7573017659,3842627.11534597
88,2022,CT-W2_003,"LIS WB Shore - Seaside Park Beach, Bridgeport","See Map for Boundaries.  Western portion of LIS from tip of Fayerweather Island to SA/SB WQ line at Bridgeport Harbor area (includes Seaside Park Beach, SB water is Bridgeport Harbor) out approximately 1000 ft offshore, Bridgeport.",ESTUARY,0.492,Square Miles,51,COASTAL AND MARINE SURFACE WATERS CLASS SA,Western,Shore,False,True,CT-W2_003,"Habitat for Marine Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Shellfish Harvesting for Direct Consumption Where Authorized,Not Supporting,Yes,30076.785638492,13719018.5935333
