114.premiseaddress,5401 qLOWERFIELD DR,5401 LOWERFIELD DR
476.facilitytypedescription,SIWMMING AREA,SWIMMING AREA
162.premisestate,YK,KY
63.facilitytypedescription,SWIMMING ARAE,SWIMMING AREA
69.openingdate,19o91/11/19 00:00:00,1991/11/19 00:00:00
269.premisecity,LwOUISVILLE,LOUISVILLE
182.premisename,BIG SPRIGN COUNTRY CLUB,BIG SPRING COUNTRY CLUB
407.subtypedescription,WAETRSLIDE,WATERSLIDE
353.openingdate,2000/1/029 00:00:00,2000/10/29 00:00:00
421.premisename,KYKINGDOM - DEEPWATER DIVE/WAVE RUNNER,KY KINGDOM - DEEPWATER DIVE/WAVE RUNNER
241.premisename,THE RESIENCES AT OMNI  - LEVEL 16 POOL,THE RESIDENCES AT OMNI  - LEVEL 16 POOL
239.premiseaddress,400 S. 2N DSTREET,400 S. 2ND STREET
487.openingdate,2018/06/14 00:000:0,2018/06/14 00:00:00
14.premiseaddress,2050 STONYBROOK DRIVE,2050 STONEYBROOK DRIVE
61.subtypedescription,PA,SPA
323.premisestate,YK,KY
228.openingdate,1997/08/14 0:00:00,1997/08/14 00:00:00
213.openingdate,1997/06/20 00:0z0:00,1997/06/20 00:00:00
493.premisecity,PROSPECmT,PROSPECT
31.subtypedescription,SWIMMIkNG POOL,SWIMMING POOL
369.premiseaddress,14600 LANDbIS LAKES DR,14600 LANDIS LAKES DR
165.premisecity,LOUIVSILLE,LOUISVILLE
231.subtypedescription,SWIMMINGPOOL,SWIMMING POOL
432.subtypedescription,SWIMMING PbOOL,SWIMMING POOL
301.facilitytypedescription,SWIyMMING AREA,SWIMMING AREA
379.openingdate,t2003/07/23 00:00:00,2003/07/23 00:00:00
280.subtypedescription,SWIMMING POLO,SWIMMING POOL
384.premisecity,LOUISVILEL,LOUISVILLE
207.subtypedescription,SWIMIMNG POOL,SWIMMING POOL
122.subtypedescription,SWIMMING POL,SWIMMING POOL
222.openingdate,2018/s05/22 00:00:00,2018/05/22 00:00:00
48.premisename,WdOODS OF ST THOMAS,WOODS OF ST THOMAS
125.subtypedescription,SWIMMING POL,SWIMMING POOL
433.subtypedescription,SWIMMING POOL***,SWIMMING POOL
9.premisecity,LOUISVILEL,LOUISVILLE
534.facilitytypedescription,SWIMMINGAREA,SWIMMING AREA
455.premiseaddress,333 WHISPERING ROOK DR,333 WHISPERING BROOK DR
238.facilitytypedescription,WSIMMING AREA,SWIMMING AREA
440.premisestate,YK,KY
244.premisecity,LOUISVILEL,LOUISVILLE
45.openingdate,1988/09/29 n00:00:00,1988/09/29 00:00:00
22.openingdate,2012/10/18 00:000:0,2012/10/18 00:00:00
375.premisename,ASBUR YPARK,ASBURY PARK
306.openingdate,19880/6/07 00:00:00,1988/06/07 00:00:00
469.premisecity,OUISVILLE,LOUISVILLE
198.premiseaddress,1400 WILLOW AEV,1400 WILLOW AVE
7.subtypedescription,SWIMMIN / DIVING POOL,SWIMMING / DIVING POOL
370.facilitytypedescription,SWIMMING AEA,SWIMMING AREA
293.premiseaddress,201 FLANDERSCT,201 FLANDERS CT
44.openingdate,198/09/29 00:00:00,1988/09/29 00:00:00
225.openingdate,2090/04/30 00:00:00,2009/04/30 00:00:00
439.premisename,FOREST SPRINGSS UBDIVISION,FOREST SPRINGS SUBDIVISION
494.premisecity,jLOUISVILLE,LOUISVILLE
269.subtypedescription,SPASH PAD,SPLASH PAD
288.premisecity,LOUISVhILLE,LOUISVILLE
68.facilitytypedescription,SWIMMING AReEA,SWIMMING AREA
131.premisename,HILTO GARDEN INN,HILTON GARDEN INN
432.facilitytypedescription,SWIMMNG AREA,SWIMMING AREA
33.facilitytypedescription,SWIMMINGl AREA,SWIMMING AREA
236.premiseaddress,740 ZRN AVE,740 ZORN AVE
194.premisestate,Y,KY
366.openingdate,2f001/11/07 00:00:00,2001/11/07 00:00:00
26.facilitytypedescription,SWIMMING AREA***,SWIMMING AREA
320.premiseaddress,10670 HOBBS STATION ROAD,10607 HOBBS STATION ROAD
48.openingdate,998/02/12 00:00:00,1998/02/12 00:00:00
345.premisestate,Y,KY
52.facilitytypedescription,SWIMfMING AREA,SWIMMING AREA
19.premisecity,LOUIVILLE,LOUISVILLE
497.facilitytypedescription,WSIMMING AREA,SWIMMING AREA
103.facilitytypedescription,SWImMMING AREA,SWIMMING AREA
240.subtypedescription,SWIMMIG POOL,SWIMMING POOL
46.premisecity,LOUSVILLE,LOUISVILLE
307.premisename,MARY T. MEdAGHER AQUATIC CENTER,MARY T. MEAGHER AQUATIC CENTER
374.facilitytypedescription,SWMMING AREA,SWIMMING AREA
467.premiseaddress,400 SHEoRBURN LANE,400 SHERBURN LANE
311.openingdate,1988/06/07 00:00:0u0,1988/06/07 00:00:00
435.facilitytypedescription,SWgIMMING AREA,SWIMMING AREA
65.premisename,SOUTH PARK COnUNTRY CLUB,SOUTH PARK COUNTRY CLUB
394.openingdate,200508/19 00:00:00,2005/08/19 00:00:00
214.premisecity,LOUISIVLLE,LOUISVILLE
511.facilitytypedescription,SWIMMING ARAE,SWIMMING AREA
457.premisecity,LUOISVILLE,LOUISVILLE
224.premisestate,KpY,KY
190.subtypedescription,SWIMMINGPOOL,SWIMMING POOL
146.premisestate,eKY,KY
107.premisename,U OF L p- SOCCER COMPLEX #1,U OF L - SOCCER COMPLEX #1
37.subtypedescription,ySWIMMING POOL,SWIMMING POOL
121.openingdate,2015/06/16 00:00:0,2015/06/16 00:00:00
117.premisename,THE CLUBHUSE,THE CLUBHOUSE
200.premiseaddress,2730 ROWNSBORO RD,2730 BROWNSBORO RD
446.subtypedescription,SWIMIMNG POOL,SWIMMING POOL
85.premiseaddress,6600 OUTE RLOOP,6600 OUTER LOOP
337.openingdate,2000v/06/05 00:00:00,2000/06/05 00:00:00
306.premiseaddress,1900 BSAHFORD MANOR LN,1900 BASHFORD MANOR LN
425.premisecity,LUOISVILLE,LOUISVILLE
154.subtypedescription,SWIMMING OPOL,SWIMMING POOL
196.premisename,METRO PARKS WYANDOTTE PARK SPRAYGROUDN,METRO PARKS WYANDOTTE PARK SPRAYGROUND
381.openingdate,200/04/12 00:00:00,2004/04/12 00:00:00
406.premisename,RSEIDENCE INN,RESIDENCE INN
441.premisecity,PROSPETC,PROSPECT
