2661.county,Coreyll ,Coryell 
438.statevalue,A,GA
2128.statevalue,HO,OH
3183.statevalue,WzV,WV
2446.countytwo,Spartanbugr ,Spartanburg 
642.county,Sotry ,Story 
1856.countytwo,Gtreeley ,Greeley 
676.county,Ellmore ,Elmore 
1323.statevalue,N,MN
2523.statecounty,TN_Campbel,TN_Campbell
2758.statevalue,TuX,TX
2987.fipstwo,f5113r7,f51137
3149.county,Vils ,Vilas 
750.county,LaSall ,LaSalle 
785.statecounty,IL_cott,IL_Scott
3152.fipstwo,f5513a1,f55131
2906.fipstwo,f5019,f51019
533.countytwo,Tgroup ,Troup 
1820.statecounty,NE_Arthru,NE_Arthur
1463.fipstwo,2f9111,f29111
1859.county,Hralan ,Harlan 
262.countytwo,Costillja ,Costilla 
1189.county,Fraklin ,Franklin 
125.statecounty,AR_Hemvpstead,AR_Hempstead
2691.county,Franlin ,Franklin 
1425.countytwo,Carte r,Carter 
1650.countytwo,Richlad ,Richland 
100.county,Bentona ,Benton 
2181.statecounty,OK_e Flore,OK_Le Flore
1264.fipstwo,f260f53,f26053
654.statevalue,A,IA
1613.statevalue,cMT,MT
2258.fipstwo,f4i2007,f42007
984.fipstwo,20179,f20179
2739.statevalue,X,TX
1575.county,Montgomeryr ,Montgomery 
1898.county,rSheridan ,Sheridan 
819.statevalue,NI,IN
306.countytwo,an Juan ,San Juan 
941.county,Keany ,Kearny 
2365.statecounty,PR_Las Piedras Muniipio,PR_Las Piedras Municipio
1305.countytwo,Oscod a,Oscoda 
75.fipstwo,f01019,f01091
72.fipstwo,f01w085,f01085
2131.countytwo,Trumbul ,Trumbull 
1118.statevalue,Y,KY
302.statevalue,OC,CO
1854.statevalue,bNE,NE
416.county,Charlto ,Charlton 
2604.statecounty,TN_Van Bruen,TN_Van Buren
60.statecounty,AL_Gaeneva,AL_Geneva
2512.statecounty,SD_Truner,SD_Turner
1729.statecounty,NC_Ne wHanover,NC_New Hanover
1514.countytwo,aney ,Taney 
2254.statevalue,RO,OR
2603.countytwo,nUion ,Union 
3179.statevalue,V,WV
526.statecounty,GA_Tlefair,GA_Telfair
182.statevalue,ZA,AZ
971.fipstwo,vf20153,f20153
390.county,Wyakulla ,Wakulla 
82.statevalue,uAL,AL
966.county,Onttawa ,Ottawa 
670.county,Canyo n,Canyon 
427.statevalue,AG,GA
1038.fipstwo,f2177,f21077
228.fipstwo,f060o73,f06073
182.statecounty,AZ_Greenele,AZ_Greenlee
1034.county,lFeming ,Fleming 
1265.statevalue,MhI,MI
1391.fipstwo,f2143,f27143
2140.statecounty,pOH_Wood,OH_Wood
1964.countytwo,Rooseveltv ,Roosevelt 
801.fipstwo,f17a201,f17201
2514.fipstwo,f4612l9,f46129
110.statevalue,RA,AR
2032.statecounty,NY_Quens,NY_Queens
1138.county,East Felciana Parish,East Feliciana Parish
490.fipstwo,13191,f13191
430.countytwo,Cooweta ,Coweta 
1759.fipstwo,37189,f37189
2118.countytwo,Pickawa y,Pickaway 
1798.countytwo,Pepmbina ,Pembina 
1400.fipstwo,f2715g9,f27159
1777.statevalue,NbD,ND
1360.county,Le Seur ,Le Sueur 
3150.statevalue,I,WI
2526.statevalue,N,TN
1107.statevalue,KwY,KY
502.statecounty,bGA_Paulding,GA_Paulding
1257.countytwo,iCrawford ,Crawford 
16.statevalue,K,AK
181.county,Garham ,Graham 
338.county,DetSoto ,DeSoto 
1499.statevalue,OM,MO
993.fipstwo,f2097,f20197
209.fipstwo,0f6035,f06035
275.fipstwo,f0849,f08049
2381.statevalue,RP,PR
1705.statevalue,CN,NC
2099.statecounty,gOH_Logan,OH_Logan
1708.county,Haywood ***,Haywood 
1974.county,Vralencia ,Valencia 
3104.statecounty,eWI_Florence,WI_Florence
2299.statevalue,PrA,PA
1961.statecounty,N_Otero,NM_Otero
2560.county,Jakson ,Jackson 
982.statevalue,oKS,KS
737.county,Hecnry ,Henry 
1195.countytwo,Plymoth ,Plymouth 
2465.statevalue,DS,SD
1973.fipstwo,f3059,f35059
2165.fipstwo,f40n047,f40047
2555.statevalue,zTN,TN
1248.fipstwo,26021,f26021
2125.statecounty,OHv_Sandusky,OH_Sandusky
2207.fipstwo,f4u0131,f40131
2987.statevalue,AV,VA
1463.statevalue,OM,MO
2810.county,ockwall ,Rockwall 
3018.county,Ssussex ,Sussex 
2421.county,Dilln ,Dillon 
1437.countytwo,Dallias ,Dallas 
1803.fipstwo,38077,f38077
2073.statevalue,OhH,OH
618.statevalue,IwA,IA
490.statecounty,GA_McIntohs,GA_McIntosh
1882.countytwo,Nucklls ,Nuckolls 
1649.statecounty,MT_tRavalli,MT_Ravalli
23.statecounty,AK_Skagwayg Municipality,AK_Skagway Municipality
1338.statevalue,NM,MN
401.countytwo,Be Hill ,Ben Hill 
318.county,New Have ,New Haven 
2707.county,all ,Hall 
1823.statecounty,NE_oone,NE_Boone
734.fipstwo,f1706p7,f17067
2250.statecounty,OR_Walloaw,OR_Wallowa
1179.county,Webster Paish,Webster Parish
278.fipstwo,0f8055,f08055
124.fipstwo,f0555,f05055
4.county,Bethel Census Aera,Bethel Census Area
3089.countytwo,Bayfiedl ,Bayfield 
1353.statecounty,MN_Kasnabec,MN_Kanabec
565.county,Boon e,Boone 
1762.county,ilson ,Wilson 
673.fipstwo,f16033***,f16033
1157.county,Plaquemines Pairsh,Plaquemines Parish
2612.fipstwo,48001,f48001
291.county,Mofaft ,Moffat 
1411.countytwo,Audrai n,Audrain 
5.statevalue,pAK,AK
1714.countytwo,Jackso ,Jackson 
2011.county,Green ,Greene 
3215.fipstwo,f5605,f56005
274.statecounty,COu_Gilpin,CO_Gilpin
786.countytwo,Shleby ,Shelby 
3106.county,Froest ,Forest 
216.fipstwo,f06094,f06049
2.statecounty,K_Aleutians West Census Area,AK_Aleutians West Census Area
27.fipstwo,f02257,f02275
73.fipstwo,yf01087,f01087
3231.county,Sweetwtater ,Sweetwater 
897.statecounty,KS_tAchison,KS_Atchison
592.fipstwo,f19096,f19069
1615.statevalue,T,MT
102.fipstwo,05011,f05011
1965.countytwo,an Juan ,San Juan 
1209.statevalue,mMD,MD
3232.statevalue,WzY,WY
3029.fipstwo,51199,f51199
918.statevalue,S,KS
2411.statecounty,SCr_Beaufort,SC_Beaufort
3078.statecounty,WA_Sqpokane,WA_Spokane
605.fipstwo,f19905,f19095
80.county,zMontgomery ,Montgomery 
810.statevalue,N,IN
2788.fipstwo,f4853,f48353
1294.countytwo,issaukee ,Missaukee 
346.county,lGades ,Glades 
2186.fipstwo,f04095,f40095
1073.countytwo,Magoffihn ,Magoffin 
1271.county,Iona ,Ionia 
2683.fipstwo,f48q143,f48143
751.fipstwo,f71101,f17101
2497.countytwo,Mellett e,Mellette 
1622.countytwo,Ferqgus ,Fergus 
2933.county,Esusex ,Essex 
2038.statevalue,Y,NY
1430.countytwo,Cark ,Clark 
2697.fipstwo,48171,f48171
3178.county,Lewkis ,Lewis 
2237.statecounty,RO_Lake,OR_Lake
1194.countytwo,Norfol ,Norfolk 
3181.countytwo,Marioon ,Marion 
3006.county,Rockingam ,Rockingham 
3191.countytwo,Niholas ,Nicholas 
2238.county,Lan e,Lane 
2369.fipstwo,fg72093,f72093
2450.fipstwo,f450m91,f45091
2484.fipstwo,f460w69,f46069
1525.county,Saipan uMnicipality,Saipan Municipality
2538.countytwo,Dickso n,Dickson 
2023.statevalue,NqY,NY
2120.statecounty,H_Portage,OH_Portage
2243.county,Mormrow ,Morrow 
757.fipstwo,f17e119,f17119
436.statecounty,GA_eDKalb,GA_DeKalb
1518.statevalue,OM,MO
1811.statevalue,D,ND
1274.fipstwo,f2673,f26073
667.county,Boundmary ,Boundary 
3012.statecounty,A_Southampton,VA_Southampton
214.countytwo,qMendocino ,Mendocino 
920.statevalue,SK,KS
798.statecounty,L_Whiteside,IL_Whiteside
2740.statecounty,TX_Kafman,TX_Kaufman
2084.statevalue,HO,OH
919.county,El k,Elk 
2774.countytwo,Mednia ,Medina 
1019.county,Carilsle ,Carlisle 
2064.statevalue,H,OH
499.statevalue,AG,GA
3081.countytwo,Wahkikaum ,Wahkiakum 
1629.statecounty,MT_Hil,MT_Hill
564.fipstwo,f1913,f19013
1108.fipstwo,2f1217,f21217
3121.countytwo,Manitwoc ,Manitowoc 
1807.statevalue,D,ND
860.countytwo,Oqhio ,Ohio 
2975.countytwo,Mahews ,Mathews 
1514.statevalue,OM,MO
2457.countytwo,Brul e,Brule 
2467.countytwo,Dvison ,Davison 
1241.countytwo,lpena ,Alpena 
563.statevalue,iIA,IA
703.fipstwo,f1705,f17005
2381.statecounty,PR_Rincon Municiipio,PR_Rincon Municipio
548.countytwo,Wilcxo ,Wilcox 
1395.fipstwo,xf27149,f27149
2453.county,eBnnett ,Bennett 
3194.countytwo,Pleaants ,Pleasants 
2190.countytwo,McIntsh ,McIntosh 
2418.statevalue,CS,SC
2499.fipstwo,f4q6099,f46099
389.countytwo,Voulsia ,Volusia 
788.countytwo,Star k,Stark 
3140.countytwo,Ruskv ,Rusk 
2573.statevalue,N,TN
1760.fipstwo,f31791,f37191
389.statevalue,LF,FL
2958.fipstwo,f5170,f51670
768.county,Montogmery ,Montgomery 
1407.statevalue,NM,MN
316.statecounty,CT_Litchfild,CT_Litchfield
332.county,Calhon ,Calhoun 
804.statevalue,IlN,IN
910.countytwo,dCoffey ,Coffey 
2168.fipstwo,40053,f40053
1515.countytwo,Teas ,Texas 
321.countytwo,Windhajm ,Windham 
2139.countytwo,Willams ,Williams 
2718.fipstwo,f48123,f48213
1801.county,Ranso ,Ransom 
2658.county,Comanceh ,Comanche 
1550.county,Harrinson ,Harrison 
2376.fipstwo,7f2107,f72107
2054.fipstwo,f39010,f39001
3162.statecounty,WV_Broke,WV_Brooke
2060.county,Belmon t,Belmont 
89.statevalue,L,AL
947.fipstwo,f2015,f20105
1296.statevalue,oMI,MI
3092.statecounty,WI_uBrnett,WI_Burnett
2261.countytwo,Bair ,Blair 
3107.fipstwo,f5043,f55043
524.countytwo,Tatntnall ,Tattnall 
3150.statecounty,I_Walworth,WI_Walworth
1250.statevalue,MlI,MI
3027.fipstwo,f51195***,f51195
2630.fipstwo,f40837,f48037
47.fipstwo,f0p1035,f01035
574.statevalue,AI,IA
2965.countytwo,Leze ,Lee 
1676.county,Burk e,Burke 
1047.countytwo,uHarlan ,Harlan 
2333.county,CaboRojo Municipio,Cabo Rojo Municipio
1801.fipstwo,f8073,f38073
2974.statevalue,A,VA
1108.countytwo,Tayolor ,Taylor 
1605.countytwo,Wilkijnson ,Wilkinson 
496.statevalue,A,GA
1809.county,Stairk ,Stark 
2963.county,King Williamu ,King William 
2186.countytwo,Marshll ,Marshall 
478.countytwo,Laknier ,Lanier 
1579.county,Oktibbeh a,Oktibbeha 
2037.statecounty,YN_Schenectady,NY_Schenectady
2120.county,ortage ,Portage 
2912.fipstwo,if51027,f51027
2347.statevalue,cPR,PR
1033.statevalue,pKY,KY
453.countytwo,Gimler ,Gilmer 
1120.statevalue,AL,LA
348.county,Hamilto ,Hamilton 
906.fipstwo,f2003,f20023
3045.statecounty,VT_Windhapm,VT_Windham
1470.county,Mabrion ,Marion 
200.statevalue,gCA,CA
2828.statecounty,TXS_tonewall,TX_Stonewall
2922.fipstwo,51041,f51041
34.statecounty,ALi_Blount,AL_Blount
332.fipstwo,f21013,f12013
371.statecounty,F_LOkaloosa,FL_Okaloosa
1712.statecounty,NmC_Hyde,NC_Hyde
1229.countytwo,iLncoln ,Lincoln 
2557.statecounty,TN_Hicknman,TN_Hickman
2130.countytwo,Smumit ,Summit 
2592.county,Scott ***,Scott 
2069.statecounty,OH_Cosahocton,OH_Coshocton
327.countytwo,Bkaer ,Baker 
958.statevalue,KgS,KS
1778.statevalue,D,ND
636.statevalue,AI,IA
963.statevalue,KpS,KS
775.county,tPike ,Pike 
1498.statecounty,MOf_Ripley,MO_Ripley
1184.statevalue,A,MA
2258.statecounty,PA_Befaver,PA_Beaver
1609.fipstwo,f300b01,f30001
468.county,Huston ,Houston 
552.county,Gam,Guam
1525.fipstwo,6f9110,f69110
750.fipstwo,17099,f17099
1540.statevalue,fMS,MS
2614.statevalue,TnX,TX
2822.fipstwo,f48412,f48421
2860.statevalue,XT,TX
2549.statevalue,NT,TN
2988.county,aPge ,Page 
3179.county,mLincoln ,Lincoln 
2894.statecounty,UT_qWayne,UT_Wayne
2051.fipstwo,lf36119,f36119
748.county,Konx ,Knox 
2289.countytwo,Lackawannad ,Lackawanna 
2282.county,Frnklin ,Franklin 
2633.countytwo,Brewste r,Brewster 
1602.statecounty,MS_Washintgon,MS_Washington
3116.statecounty,WI_Kewkaunee,WI_Kewaunee
1878.fipstwo,kf31121,f31121
2323.county,Aguada Municoipio,Aguada Municipio
1654.fipstwo,f3091,f30091
1394.statecounty,MN_Setele,MN_Steele
2326.countytwo,AibonitoM unicipio,Aibonito Municipio
78.statecounty,zAL_Mobile,AL_Mobile
375.fipstwo,f1099,f12099
2474.county,Falk ,Faulk 
654.fipstwo,19193,f19193
741.county,efferson ,Jefferson 
1867.county,earney ,Kearney 
815.fipstwo,f1f8025,f18025
318.fipstwo,f00909,f09009
1595.county,Tat ,Tate 
1202.fipstwo,f4009,f24009
737.countytwo,Henryf ,Henry 
311.statecounty,CO_Wabshington,CO_Washington
17.statevalue,K,AK
527.county,errell ,Terrell 
1691.statevalue,CN,NC
1982.countytwo,Humbolt ,Humboldt 
2192.statecounty,OK_Musogee,OK_Muskogee
2422.county,Dorchseter ,Dorchester 
578.fipstwo,f91041,f19041
2001.countytwo,Clinkton ,Clinton 
1530.fipstwo,f28070,f28007
2224.countytwo,Cos ,Coos 
2764.fipstwo,4f8305,f48305
161.statevalue,RA,AR
1465.county,Lin ,Linn 
1752.fipstwo,f3775,f37175
241.county,Staislaus ,Stanislaus 
173.fipstwo,6f0020,f60020
820.countytwo,Delawar e,Delaware 
2423.countytwo,Edgefild ,Edgefield 
3120.statecounty,WIL_incoln,WI_Lincoln
2813.countytwo,Sabne ,Sabine 
677.countytwo,Frankli n,Franklin 
1459.countytwo,Kox ,Knox 
1713.county,Iredfell ,Iredell 
500.statevalue,uGA,GA
2373.fipstwo,f7211,f72101
1924.fipstwo,f34070,f34007
1888.county,Patte ,Platte 
1003.statecounty,KY_Ballajrd,KY_Ballard
761.county,Mascsac ,Massac 
1318.statecounty,MI_Washteaw,MI_Washtenaw
1000.county,Adai ,Adair 
18.statecounty,AK_Norteh Slope Borough,AK_North Slope Borough
829.county,rant ,Grant 
2701.countytwo,Gary ,Gray 
498.fipstwo,f132l15,f13215
744.fipstwo,f17078,f17087
360.fipstwo,12071,f12071
1106.fipstwo,21213,f21213
2322.county,Adjuntas Municipoi,Adjuntas Municipio
3017.countytwo,Surry ***,Surry 
2753.statevalue,XT,TX
2454.statevalue,StD,SD
2403.countytwo,Parovidence ,Providence 
39.countytwo,Cheroke e,Cherokee 
14.fipstwo,02150,f02150
2002.statecounty,N_YColumbia,NY_Columbia
965.fipstwo,2f0141,f20141
1693.statecounty,NC_Davisdon,NC_Davidson
2607.countytwo,Wanye ,Wayne 
1084.fipstwo,f2o1169,f21169
878.statevalue,eIN,IN
2045.fipstwo,tf36107,f36107
2429.statevalue,CS,SC
1945.statecounty,NM_Ciboa,NM_Cibola
1292.statevalue,IM,MI
783.statevalue,eIL,IL
2801.county,Rainsq ,Rains 
3012.statevalue,rVA,VA
319.statecounty,T_New London,CT_New London
2967.countytwo,oLudoun ,Loudoun 
2023.county,Nagara ,Niagara 
599.county,Harodin ,Hardin 
1537.fipstwo,f28d021,f28021
3050.fipstwo,f5d3007,f53007
1747.county,Sciotland ,Scotland 
777.county,Puliaski ,Pulaski 
1985.fipstwo,f32091,f32019
2493.countytwo,Mrashall ,Marshall 
2088.statecounty,H_Henry,OH_Henry
1725.county,Mitchell ***,Mitchell 
702.countytwo,Aexander ,Alexander 
642.statevalue,A,IA
595.countytwo,Gruny ,Grundy 
1387.statecounty,MN_Roczk,MN_Rock
2494.statevalue,DS,SD
2525.county,Caprroll ,Carroll 
2700.county,Gontzales ,Gonzales 
2443.statevalue,wSC,SC
1041.statevalue,Y,KY
2989.county,Patrck ,Patrick 
14.county,Kodiak Islnd Borough,Kodiak Island Borough
1837.countytwo,Cumineg ,Cuming 
588.countytwo,Dubuuqe ,Dubuque 
369.statecounty,FL_Monreo,FL_Monroe
1082.statevalue,YK,KY
2184.fipstwo,f4z0085,f40085
3136.statevalue,mWI,WI
1602.statevalue,S,MS
92.fipstwo,01125,f01125
70.countytwo,Le e,Lee 
451.statecounty,GA_Franklni,GA_Franklin
1223.statevalue,EM,ME
171.statevalue,AsR,AR
1856.county,Greeleuy ,Greeley 
2670.fipstwo,f481b17,f48117
2997.fipstwo,f5113,f51153
1305.fipstwo,sf26135,f26135
2164.statevalue,dOK,OK
515.county,chley ,Schley 
2711.county,Harodin ,Hardin 
1491.countytwo,Plk ,Polk 
1890.fipstwo,f31145***,f31145
183.statecounty,AZ_La Pz,AZ_La Paz
2128.countytwo,Shtelby ,Shelby 
919.statevalue,S,KS
1861.fipstwo,df31087,f31087
2380.fipstwo,f72k115,f72115
2252.statevalue,RO,OR
1493.statevalue,OM,MO
2429.statecounty,SC_aHmpton,SC_Hampton
2710.fipstwo,48197,f48197
229.fipstwo,0f6075,f06075
2437.county,Marionx ,Marion 
3098.countytwo,Davne ,Dane 
2928.countytwo,Cumbelrand ,Cumberland 
3043.county,Rutladn ,Rutland 
3112.county,ackson ,Jackson 
486.fipstwo,f13913,f13193
1713.statecounty,NC_Iredel,NC_Iredell
3020.fipstwo,f51l810,f51810
2745.countytwo,Kible ,Kimble 
1869.county,Keya Pah a,Keya Paha 
495.statecounty,GA_Mntgomery,GA_Montgomery
3185.countytwo,ercer ,Mercer 
1401.statecounty,MN_Waesca,MN_Waseca
2463.statecounty,SD_Cly,SD_Clay
2113.county,Muskgingum ,Muskingum 
697.fipstwo,f6081,f16081
1949.countytwo,Dna Ana ,Dona Ana 
2898.fipstwo,fy51510,f51510
2641.statecounty,TX_Cavllahan,TX_Callahan
20.statecounty,AK_Petesburg Census Area,AK_Petersburg Census Area
3206.statecounty,V_Upshur,WV_Upshur
2292.fipstwo,f4275,f42075
635.statevalue,mIA,IA
2759.statecounty,TX_uLipscomb,TX_Lipscomb
931.statecounty,KS_Greenwwood,KS_Greenwood
2607.county,Wayn e,Wayne 
2494.fipstwo,mf46087,f46087
104.countytwo,Carrol ,Carroll 
1602.countytwo,ashington ,Washington 
2820.statevalue,XT,TX
1811.county,Stustman ,Stutsman 
829.statecounty,ING_rant,IN_Grant
520.statecounty,GkA_Stewart,GA_Stewart
750.countytwo,LaSall e,LaSalle 
2471.statevalue,zSD,SD
3126.statecounty,WIy_Milwaukee,WI_Milwaukee
2589.statevalue,NT,TN
2129.statevalue,OxH,OH
2820.statecounty,TX_Shackelfrod,TX_Shackelford
2563.countytwo,Konx ,Knox 
3211.statevalue,V,WV
1481.statecounty,MO_Nodawya,MO_Nodaway
867.county,Pgosey ,Posey 
519.statevalue,GfA,GA
2809.statecounty,TX_Roebrtson,TX_Robertson
3221.statevalue,WdY,WY
623.statecounty,IA_Miftchell,IA_Mitchell
1945.fipstwo,f350c06,f35006
559.statecounty,IA_Adasm,IA_Adams
2480.county,Hansonn ,Hanson 
1306.countytwo,Otqsego ,Otsego 
1267.fipstwo,f62059,f26059
2415.countytwo,Caherokee ,Cherokee 
3074.countytwo,mSan Juan ,San Juan 
1334.countytwo,Cxlay ,Clay 
595.county,Gurndy ,Grundy 
442.countytwo,Echos ,Echols 
2018.countytwo,Mdaison ,Madison 
1565.statevalue,SM,MS
1754.statecounty,NC_nUion,NC_Union
2005.countytwo,Dgutchess ,Dutchess 
2346.statevalue,sPR,PR
1107.county,Spenzcer ,Spencer 
1628.county,Grnaite ,Granite 
1215.statecounty,MD_Queen Annes',MD_Queen Anne's
3233.countytwo,jUinta ,Uinta 
972.fipstwo,20155,f20155
990.statevalue,KwS,KS
551.county,Wortyh ,Worth 
2179.county,Kiow a,Kiowa 
63.county,Henr y,Henry 
1119.statevalue,iKY,KY
2674.statecounty,TX_Dilckens,TX_Dickens
2553.statecounty,TdN_Hawkins,TN_Hawkins
858.county,Newto ,Newton 
2094.county,Jefferosn ,Jefferson 
1359.countytwo,Lak eof the Woods ,Lake of the Woods 
1164.statecounty,LA_tS. Charles,LA_St. Charles
1044.fipstwo,f210x89,f21089
1548.fipstwo,2f8043,f28043
3200.statevalue,V,WV
159.fipstwo,f5127,f05127
1702.statevalue,C,NC
2471.fipstwo,f4d6043,f46043
983.countytwo,Shanee ,Shawnee 
2586.statevalue,N,TN
474.statevalue,AG,GA
975.county,Rliey ,Riley 
2139.fipstwo,f9171,f39171
1903.county,Thomaos ,Thomas 
829.statevalue,gIN,IN
2627.fipstwo,f4031,f48031
779.countytwo,Radnolph ,Randolph 
1944.countytwo,hCaves ,Chaves 
3115.countytwo,enosha ,Kenosha 
2502.fipstwo,fm46105,f46105
2268.statecounty,PA_Cetnre,PA_Centre
1370.county,Mwer ,Mower 
2081.county,Geuaga ,Geauga 
3119.fipstwo,f55j067,f55067
3130.fipstwo,f5087,f55087
2953.county,Hanoover ,Hanover 
653.statecounty,IA_Winneshike,IA_Winneshiek
881.county,Tpipecanoe ,Tippecanoe 
248.countytwo,Yool ,Yolo 
3071.county,Pacifvic ,Pacific 
1197.statevalue,AM,MA
2711.statecounty,TX_Hardn,TX_Hardin
1687.countytwo,lCeveland ,Cleveland 
2700.countytwo,oGnzales ,Gonzales 
474.countytwo,Jenkns ,Jenkins 
1784.statevalue,DN,ND
1365.statecounty,MNMartin,MN_Martin
198.statecounty,CA_ContraCosta,CA_Contra Costa
1995.fipstwo,f3607,f36007
2914.statevalue,A,VA
2377.fipstwo,f71209,f72109
543.statecounty,GA_Wayen,GA_Wayne
2465.county,oCrson ,Corson 
1111.fipstwo,f1223,f21223
1001.statecounty,KY_lAlen,KY_Allen
150.county,Philxlips ,Phillips 
824.countytwo,Fljoyd ,Floyd 
1568.statevalue,S,MS
2692.statevalue,TsX,TX
3007.statevalue,VvA,VA
2402.countytwo,Newpzort ,Newport 
1377.countytwo,Pennignton ,Pennington 
1400.statevalue,N,MN
2147.county,Bliane ,Blaine 
2712.statevalue,TiX,TX
198.fipstwo,f0613,f06013
2188.county,xMcClain ,McClain 
2295.statevalue,bPA,PA
905.countytwo,Chemrokee ,Cherokee 
1562.county,Lfaayette ,Lafayette 
2500.county,Moodyd ,Moody 
2122.statecounty,OcH_Putnam,OH_Putnam
2431.statevalue,SjC,SC
787.county,t. Clair ,St. Clair 
2760.county,Lgive Oak ,Live Oak 
805.countytwo,Brartholomew ,Bartholomew 
1852.statevalue,EN,NE
804.fipstwo,f1803,f18003
1373.statecounty,NM_Nobles,MN_Nobles
626.statecounty,IA_ontgomery,IA_Montgomery
184.fipstwo,f040g13,f04013
2868.countytwo,Box Eldre ,Box Elder 
162.statevalue,lAR,AR
1874.statevalue,jNE,NE
2399.county,Yaco Municipio,Yauco Municipio
263.countytwo,Croley ,Crowley 
2175.statecounty,OK_Jeferson,OK_Jefferson
471.county,Jsaper ,Jasper 
2315.fipstwo,f4211,f42121
1476.statecounty,O_Monroe,MO_Monroe
29.statevalue,sAK,AK
254.fipstwo,f0800q9,f08009
3131.statevalue,I,WI
159.statecounty,AR_Scott***,AR_Scott
2664.countytwo,Crckett ,Crockett 
1729.fipstwo,f371d29,f37129
3149.fipstwo,f55152,f55125
1068.county,Licoln ,Lincoln 
2234.countytwo,Jeffezrson ,Jefferson 
1760.county,Wazyne ,Wayne 
274.county,iGlpin ,Gilpin 
2027.county,range ,Orange 
2916.fipstwo,f5103,f51033
1449.statecounty,MO_Hentry,MO_Henry
2213.countytwo,ulsa ,Tulsa 
550.countytwo,Wlkinson ,Wilkinson 
948.statecounty,KS_Lisnn,KS_Linn
905.county,Cherorkee ,Cherokee 
817.county,Dearborrn ,Dearborn 
2561.statecounty,TN_efferson,TN_Jefferson
2247.statevalue,RO,OR
762.fipstwo,f171a09,f17109
2120.fipstwo,f3133,f39133
2623.fipstwo,f84023,f48023
816.countytwo,Dviess ,Daviess 
2703.countytwo,Greigg ,Gregg 
19.statevalue,ApK,AK
2495.statecounty,D_McPherson,SD_McPherson
1937.fipstwo,f3403d3,f34033
374.county,Osceoa ,Osceola 
1832.county,Case ,Chase 
927.county,Grahma ,Graham 
2344.county,ComerioM unicipio,Comerio Municipio
206.countytwo,Kernv ,Kern 
200.statecounty,CA_El Doraydo,CA_El Dorado
1719.county,Linoln ,Lincoln 
1675.fipstwo,f73021,f37021
856.countytwo,Montgomeyr ,Montgomery 
1088.statecounty,Y_Muhlenberg,KY_Muhlenberg
2084.countytwo,Hamiltn ,Hamilton 
3102.county,uDnn ,Dunn 
1264.county,Gogeic ,Gogebic 
2314.statevalue,zPA,PA
1818.statevalue,EN,NE
1913.county,hCeshire ,Cheshire 
1689.fipstwo,f3704a9,f37049
2444.countytwo,Richlnad ,Richland 
3057.countytwo,Frankiln ,Franklin 
1864.statecounty,E_Howard,NE_Howard
3141.county,aSuk ,Sauk 
2847.county,Wlker ,Walker 
1618.statevalue,T,MT
523.countytwo,zTaliaferro ,Taliaferro 
2406.county,Aken ,Aiken 
752.fipstwo,f17130,f17103
2059.countytwo,jAuglaize ,Auglaize 
3196.fipstwo,f54077***,f54077
1830.fipstwo,f13025,f31025
3204.fipstwo,54093,f54093
2713.fipstwo,f84203,f48203
2151.countytwo,Carte r,Carter 
118.countytwo,Dre w,Drew 
843.county,Johnsoqn ,Johnson 
805.statevalue,N,IN
1956.countytwo,Linoln ,Lincoln 
1385.statevalue,NM,MN
1123.statevalue,A,LA
2837.statevalue,ToX,TX
2009.statecounty,NY_Fultqon,NY_Fulton
617.countytwo,Loyn ,Lyon 
24.fipstwo,f02420,f02240
1873.fipstwo,lf31111,f31111
1076.county,artin ,Martin 
2399.countytwo,Ydauco Municipio,Yauco Municipio
1642.statevalue,T,MT
1299.statevalue,I,MI
513.statecounty,GA_Ricmond,GA_Richmond
993.statecounty,xKS_Wabaunsee,KS_Wabaunsee
54.statevalue,L,AL
3180.statevalue,VW,WV
636.countytwo,Poeshiek ,Poweshiek 
21.countytwo,Pricne of Wales-Hyder Census Area,Prince of Wales-Hyder Census Area
1484.fipstwo,f2913,f29153
2808.statecounty,TXa_Roberts,TX_Roberts
1728.statecounty,CN_Nash,NC_Nash
2771.county,McCuolloch ,McCulloch 
872.countytwo,eRush ,Rush 
2668.county,Dalla ,Dallas 
1411.statecounty,MO_Axudrain,MO_Audrain
1793.statecounty,ND_Mercier,ND_Mercer
2556.fipstwo,4f7079,f47079
2627.county,Blanc o,Blanco 
8.statevalue,AsK,AK
3040.statecounty,TV_Lamoille,VT_Lamoille
1684.fipstwo,f7039,f37039
864.statecounty,NI_Perry,IN_Perry
2191.county,urray ,Murray 
1910.countytwo,Yrk ,York 
2510.statevalue,iSD,SD
747.statevalue,LI,IL
83.county,Pikcens ,Pickens 
117.fipstwo,f0041,f05041
1709.statecounty,NC_Hendexrson,NC_Henderson
435.statevalue,vGA,GA
2442.countytwo,Orangebrg ,Orangeburg 
1709.statevalue,CN,NC
1749.countytwo,Stoks ,Stokes 
2390.fipstwo,fi72135,f72135
2380.statecounty,PR_Quebradillas Municiio,PR_Quebradillas Municipio
1448.countytwo,Harison ,Harrison 
2315.countytwo,enango ,Venango 
153.county,Polpk ,Polk 
1603.fipstwo,f8153,f28153
1098.statevalue,Y,KY
1276.fipstwo,f2p6077,f26077
473.statecounty,GA_Jzefferson,GA_Jefferson
1438.statecounty,O_Daviess,MO_Daviess
1811.statecounty,ND_Stusman,ND_Stutsman
2689.county,Foar d,Foard 
1545.countytwo,Frankllin ,Franklin 
