2432.namelsad,Census Tact 1104.01,Census Tract 1104.01
4491.namelsad,Census Tractq 4817.13,Census Tract 4817.13
1834.mtfcc,yG5020,G5020
394.namelsad,nCensus Tract 90.06,Census Tract 90.06
4105.mtfcc,G020,G5020
2353.funcstat,,S
4018.namelsad,Census Trajct 5732.01,Census Tract 5732.01
4501.li_cor_dac,oth,Both
1929.funcstat,oS,S
406.li_cor_dac,Btoh,Both
2256.li_cor_dac,nLIC,LIC
587.li_cor_dac,IC,LIC
1368.funcstat,***,S
1549.namelsad,Census Trcat 5407,Census Tract 5407
3903.mtfcc,G020,G5020
1923.mtfcc,G5002,G5020
2515.funcstat,***,S
4115.li_cor_dac,oth,Both
2500.namelsad,Cesus Tract 5,Census Tract 5
1746.namelsad,ensus Tract 107.01,Census Tract 107.01
960.funcstat,***,S
556.funcstat,eS,S
2413.mtfcc,G5002,G5020
2521.li_cor_dac,LCI,LIC
4720.li_cor_dac,oth,Both
4481.mtfcc,dG5020,G5020
4631.namelsad,Cnesus Tract 3720,Census Tract 3720
1716.namelsad,Censs Tract 2292,Census Tract 2292
3090.mtfcc,G500,G5020
3881.namelsad,Census Tract 1276.e06,Census Tract 1276.06
1931.namelsad,Census Tract 993v.05,Census Tract 993.05
410.funcstat,,S
510.funcstat,***,S
948.funcstat,***,S
4385.mtfcc,G502q0,G5020
321.mtfcc,G5002,G5020
2853.namelsad,Census Tractw 11,Census Tract 11
1418.funcstat,***,S
2032.funcstat,aS,S
592.mtfcc,mG5020,G5020
4621.mtfcc,G520,G5020
3285.li_cor_dac,LaIC,LIC
1943.funcstat,tS,S
1458.li_cor_dac,LCI,LIC
4376.namelsad,Censu sTract 414.11,Census Tract 414.11
2189.namelsad,Census rTact 3551.08,Census Tract 3551.08
963.li_cor_dac,Bth,Both
2053.funcstat,,S
1440.namelsad,Census Trct 113,Census Tract 113
4247.namelsad,CensusTract 5316.02,Census Tract 5316.02
3914.li_cor_dac,vBoth,Both
1608.funcstat,***,S
4425.mtfcc,5G020,G5020
3135.funcstat,iS,S
856.funcstat,,S
2259.mtfcc,G5002,G5020
1541.li_cor_dac,Boht,Both
4377.funcstat,mS,S
2174.funcstat,mS,S
2421.funcstat,,S
3558.li_cor_dac,LC,LIC
284.funcstat,oS,S
1094.mtfcc,G520,G5020
635.mtfcc,5020,G5020
2104.funcstat,***,S
2248.namelsad,Census Tract 122.121,Census Tract 1221.21
3602.funcstat,,S
2457.funcstat,,S
1319.mtfcc,5G020,G5020
3795.namelsad,Census Tract 0453.01,Census Tract 4053.01
939.mtfcc,G50w20,G5020
2523.li_cor_dac,IC,LIC
954.li_cor_dac,LjIC,LIC
2664.mtfcc,G502r0,G5020
1283.funcstat,bS,S
2798.li_cor_dac,LCI,LIC
4161.li_cor_dac,IC,LIC
2232.mtfcc,G020,G5020
2316.li_cor_dac,AC,DAC
508.funcstat,,S
4583.mtfcc,G5200,G5020
4079.funcstat,***,S
977.funcstat,dS,S
4006.namelsad,Census Tract 552001,Census Tract 5520.01
4164.namelsad,Cnesus Tract 6026,Census Tract 6026
1856.namelsad,Census Tract 12.302,Census Tract 123.02
3154.namelsad,Cnsus Tract 4375,Census Tract 4375
4165.funcstat,***,S
52.funcstat,***,S
2966.li_cor_dac,Boh,Both
4170.namelsad,Census bTract 36.06,Census Tract 36.06
104.li_cor_dac,Bozth,Both
2076.li_cor_dac,IC,LIC
3323.namelsad,Census Trat 94,Census Tract 94
76.mtfcc,G020,G5020
2796.namelsad,eCnsus Tract 5017,Census Tract 5017
92.namelsad,iCensus Tract 133.12,Census Tract 133.12
2839.namelsad,Census Tract 5031.50,Census Tract 5031.05
3149.mtfcc,G520,G5020
1123.funcstat,,S
1707.li_cor_dac,oBth,Both
1477.namelsad,Censuws Tract 5358.02,Census Tract 5358.02
334.funcstat,,S
1868.li_cor_dac,Bhoth,Both
1086.li_cor_dac,IC,LIC
2823.funcstat,***,S
4268.li_cor_dac,ILC,LIC
2782.mtfcc,5020,G5020
314.funcstat,***,S
1089.namelsad,Cenuss Tract 1522.02,Census Tract 1522.02
353.li_cor_dac,Bojth,Both
276.li_cor_dac,Boht,Both
934.mtfcc,5020,G5020
126.mtfcc,G5002,G5020
4707.mtfcc,G0520,G5020
3701.namelsad,CensusTract 5433.06,Census Tract 5433.06
2209.namelsad,Census Tract 874m.03,Census Tract 874.03
3269.namelsad,Census Tact 9100.02,Census Tract 9100.02
4329.funcstat,,S
527.mtfcc,G520,G5020
1169.li_cor_dac,oBth,Both
3198.funcstat,,S
2937.funcstat,,S
2275.li_cor_dac,IC,LIC
2330.namelsad,Censu Tract 16.03,Census Tract 16.03
3230.mtfcc,G5200,G5020
2112.mtfcc,G50j20,G5020
547.mtfcc,G502h0,G5020
2120.funcstat,tS,S
801.mtfcc,G5b020,G5020
2389.funcstat,***,S
2722.namelsad,Census ract 2015.04,Census Tract 2015.04
3220.mtfcc,G5s020,G5020
3709.funcstat,jS,S
1742.li_cor_dac,Btoh,Both
4651.namelsad,Census Tract k3740,Census Tract 3740
530.namelsad,Census Tract 43z61,Census Tract 4361
4295.namelsad,Census Trzact 3132.04,Census Tract 3132.04
2161.funcstat,tS,S
2377.mtfcc,G020,G5020
1117.funcstat,***,S
1220.namelsad,Census Tract 128o2.20,Census Tract 1282.20
718.li_cor_dac,LIgC,LIC
1929.namelsad,Census Tract 106020,Census Tract 1060.20
1336.li_cor_dac,Bth,Both
169.mtfcc,G50t20,G5020
3553.li_cor_dac,LrIC,LIC
1716.mtfcc,G5002,G5020
1481.namelsad,Censs Tract 5359.01,Census Tract 5359.01
986.namelsad,Cnesus Tract 1273,Census Tract 1273
3275.li_cor_dac,oth,Both
2949.funcstat,,S
4224.namelsad,Census Tractb 6119,Census Tract 6119
1249.funcstat,yS,S
2466.funcstat,bS,S
3969.mtfcc,G5200,G5020
1949.mtfcc,G5v020,G5020
740.li_cor_dac,LCI,LIC
1396.funcstat,***,S
4294.li_cor_dac,Boh,Both
1970.li_cor_dac,LCI,LIC
1776.li_cor_dac,cLIC,LIC
47.mtfcc,G502r0,G5020
821.funcstat,gS,S
2931.funcstat,***,S
1242.li_cor_dac,xLIC,LIC
3480.namelsad,Census Trct 2946.10,Census Tract 2946.10
3.li_cor_dac,tBoth,Both
4070.funcstat,,S
4317.li_cor_dac,uBoth,Both
685.li_cor_dac,oth,Both
739.li_cor_dac,ILC,LIC
85.funcstat,,S
26.namelsad,Cnesus Tract 5527,Census Tract 5527
4211.mtfcc,G0520,G5020
1019.funcstat,,S
834.namelsad,Census Tract 503.17,Census Tract 5031.17
2457.li_cor_dac,LIiC,LIC
2639.mtfcc,G0520,G5020
1709.mtfcc,G5200,G5020
1573.funcstat,,S
609.li_cor_dac,LIfC,LIC
2690.li_cor_dac,oth,Both
4497.mtfcc,5020,G5020
4388.li_cor_dac,Boh,Both
1122.namelsad,Census Tratc 2123.05,Census Tract 2123.05
4724.li_cor_dac,IC,LIC
1019.namelsad,Csensus Tract 1233.04,Census Tract 1233.04
182.namelsad,Census ract 2211.10,Census Tract 2211.10
3199.namelsad,Census Traact 1041.01,Census Tract 1041.01
3392.mtfcc,G50g20,G5020
4538.li_cor_dac,Bth,Both
4170.li_cor_dac,oth,Both
4435.li_cor_dac,oth,Both
2420.mtfcc,G5w020,G5020
4117.mtfcc,G5u020,G5020
3219.namelsad,Cesus Tract 192.03,Census Tract 192.03
3171.funcstat,uS,S
3001.funcstat,***,S
3505.namelsad,Census Tract 44***,Census Tract 44
3557.li_cor_dac,ILC,LIC
2441.namelsad,Censu sTract 755.07,Census Tract 755.07
2769.li_cor_dac,oth,Both
3192.namelsad,Cenus Tract 1012,Census Tract 1012
1104.namelsad,Census Tact 9105.05,Census Tract 9105.05
2507.li_cor_dac,IC,LIC
2778.namelsad,Census Tract 1903.10,Census Tract 1903.01
4390.mtfcc,G5002,G5020
2553.funcstat,hS,S
2616.mtfcc,pG5020,G5020
1875.li_cor_dac,LIcC,LIC
2373.li_cor_dac,DC,DAC
584.mtfcc,5G020,G5020
732.li_cor_dac,DApC,DAC
1317.funcstat,,S
4110.namelsad,Censusn Tract 21.07,Census Tract 21.07
649.li_cor_dac,AC,DAC
684.li_cor_dac,Btoh,Both
2518.namelsad,Census Tact 9200.31,Census Tract 9200.31
3907.namelsad,Censu sTract 44.01,Census Tract 44.01
4299.namelsad,Censs Tract 461.01,Census Tract 461.01
2236.li_cor_dac,LInC,LIC
339.li_cor_dac,Btoh,Both
3566.funcstat,,S
1475.funcstat,tS,S
3117.li_cor_dac,xBoth,Both
2421.mtfcc,5020,G5020
170.mtfcc,5G020,G5020
3573.namelsad,Census Trakct 2264.20,Census Tract 2264.20
3001.namelsad,Cesnus Tract 42,Census Tract 42
1859.mtfcc,5020,G5020
1169.mtfcc,bG5020,G5020
2317.li_cor_dac,Boith,Both
1585.namelsad,Census ract 123.01,Census Tract 123.01
2864.mtfcc,G5200,G5020
2886.namelsad,Census Tract5.07,Census Tract 5.07
3097.funcstat,***,S
4177.mtfcc,G0520,G5020
3747.mtfcc,G502u0,G5020
3376.namelsad,Census Tract166.17,Census Tract 166.17
1600.mtfcc,G0520,G5020
3724.funcstat,***,S
3246.funcstat,***,S
4053.li_cor_dac,DC,DAC
1013.funcstat,hS,S
4257.mtfcc,5020,G5020
2355.namelsad,Census Tact 9106.03,Census Tract 9106.03
2277.funcstat,,S
592.li_cor_dac,Boh,Both
3915.mtfcc,5G020,G5020
103.namelsad,Censsu Tract 3.01,Census Tract 3.01
3904.namelsad,Census Tract 6700.0p3,Census Tract 6700.03
2336.mtfcc,G500,G5020
3967.funcstat,***,S
2194.funcstat,bS,S
3344.mtfcc,G020,G5020
3876.mtfcc,wG5020,G5020
2338.mtfcc,yG5020,G5020
3003.li_cor_dac,cBoth,Both
2622.mtfcc,G5200,G5020
4049.mtfcc,5020,G5020
3618.funcstat,,S
1179.namelsad,Census Trac 4024.02,Census Tract 4024.02
908.namelsad,Census Trac t3032.05,Census Tract 3032.05
554.namelsad,Census Tract 438l4,Census Tract 4384
3771.namelsad,Census Tract 10640.5,Census Tract 1064.05
3172.namelsad,Censu Tract 315.04,Census Tract 315.04
287.namelsad,CensusTract 16.01,Census Tract 16.01
998.namelsad,ensus Tract 1041.08,Census Tract 1041.08
1322.mtfcc,G020,G5020
3326.namelsad,Cenus Tract 21,Census Tract 21
3973.li_cor_dac,LCI,LIC
810.namelsad,Census ract 4049.03,Census Tract 4049.03
3905.namelsad,Cesnus Tract 6701,Census Tract 6701
4129.mtfcc,5020,G5020
3740.namelsad,Census Traxct 42.16,Census Tract 42.16
324.namelsad,iCensus Tract 138,Census Tract 138
3108.mtfcc,G500,G5020
613.funcstat,***,S
4422.funcstat,***,S
4111.funcstat,***,S
210.funcstat,,S
1739.funcstat,***,S
2217.namelsad,Censs Tract 2410.02,Census Tract 2410.02
3766.li_cor_dac,DoAC,DAC
3576.namelsad,Census Trac t2190.10,Census Tract 2190.10
1283.namelsad,CensusT ract 4825.03,Census Tract 4825.03
2231.namelsad,Census ract 887.02,Census Tract 887.02
308.namelsad,Censush Tract 3,Census Tract 3
164.li_cor_dac,LCI,LIC
4457.li_cor_dac,Boht,Both
1761.funcstat,mS,S
649.funcstat,,S
3768.funcstat,bS,S
2840.namelsad,Census Tract 99.33,Census Tract 992.33
3996.mtfcc,5G020,G5020
2707.mtfcc,G500,G5020
4023.li_cor_dac,Boh,Both
119.funcstat,***,S
2671.funcstat,***,S
2393.namelsad,ensus Tract 891.04,Census Tract 891.04
4606.namelsad,nCensus Tract 5542.01,Census Tract 5542.01
573.funcstat,,S
539.namelsad,Census rTact 4373,Census Tract 4373
4006.mtfcc,5020,G5020
4553.li_cor_dac,Bth,Both
3574.li_cor_dac,Btoh,Both
3366.li_cor_dac,LIxC,LIC
1814.li_cor_dac,LIdC,LIC
1638.funcstat,***,S
859.namelsad,Census Tract 4086.a26,Census Tract 4086.26
1885.funcstat,tS,S
3008.namelsad,Censu sTract 135.03,Census Tract 135.03
3380.namelsad,Cesus Tract 4088,Census Tract 4088
1575.mtfcc,5G020,G5020
3699.mtfcc,G5200,G5020
4659.mtfcc,G50b20,G5020
4172.mtfcc,G0520,G5020
881.mtfcc,G520,G5020
2382.funcstat,,S
3621.funcstat,,S
3412.funcstat,,S
1782.mtfcc,G0520,G5020
4668.mtfcc,Gv5020,G5020
788.namelsad,Census Tract 404d4.01,Census Tract 4044.01
2660.funcstat,,S
1769.funcstat,,S
2360.li_cor_dac,ILC,LIC
4367.mtfcc,G020,G5020
2496.funcstat,***,S
2254.li_cor_dac,LIwC,LIC
2232.funcstat,,S
3402.li_cor_dac,Boht,Both
693.li_cor_dac,LIvC,LIC
3008.funcstat,,S
3321.li_cor_dac,LiIC,LIC
276.namelsad,Census Tract 533.603,Census Tract 5336.03
2259.funcstat,rS,S
2566.namelsad,Census Tact 7018.02,Census Tract 7018.02
1723.mtfcc,G5200,G5020
3733.namelsad,CensusT ract 1411.01,Census Tract 1411.01
1185.li_cor_dac,Boht,Both
3397.li_cor_dac,LCI,LIC
2099.funcstat,yS,S
1419.li_cor_dac,Bth,Both
4408.funcstat,gS,S
3131.mtfcc,5020,G5020
1293.funcstat,***,S
1028.namelsad,CensusTract 125,Census Tract 125
930.li_cor_dac,LIrC,LIC
642.li_cor_dac,LIdC,LIC
4167.li_cor_dac,Botbh,Both
2266.li_cor_dac,Botbh,Both
435.li_cor_dac,Btoh,Both
3575.funcstat,rS,S
2606.mtfcc,G500,G5020
2260.namelsad,CensusTract 456.09,Census Tract 456.09
1873.namelsad,Census Trcat 163.01,Census Tract 163.01
3894.namelsad,Census Trpact 15.04,Census Tract 15.04
4101.namelsad,Census Trcat 4105,Census Tract 4105
350.funcstat,kS,S
1858.funcstat,***,S
2524.funcstat,,S
451.namelsad,Census ract 1221,Census Tract 1221
3739.li_cor_dac,LsIC,LIC
4099.li_cor_dac,ADC,DAC
2866.li_cor_dac,IC,LIC
1932.funcstat,***,S
1270.mtfcc,5G020,G5020
415.funcstat,hS,S
860.namelsad,CensusT ract 4323,Census Tract 4323
386.li_cor_dac,Broth,Both
2216.namelsad,Census Tract6025.04,Census Tract 6025.04
4271.funcstat,***,S
1641.funcstat,,S
2597.li_cor_dac,Btoh,Both
3635.namelsad,Census Tract 2943.20,Census Tract 2943.02
3470.namelsad,Cenus Tract 1.01,Census Tract 1.01
973.mtfcc,G020,G5020
2431.funcstat,,S
4362.funcstat,,S
929.namelsad,Ceansus Tract 2397.01,Census Tract 2397.01
966.mtfcc,G020,G5020
1901.mtfcc,G020,G5020
2618.mtfcc,G020,G5020
259.mtfcc,gG5020,G5020
1966.namelsad,Census Tarct 4104,Census Tract 4104
3244.mtfcc,G502z0,G5020
2747.funcstat,,S
892.mtfcc,G5200,G5020
1930.mtfcc,G502x0,G5020
1733.li_cor_dac,Bth,Both
3792.funcstat,,S
4225.li_cor_dac,Bhoth,Both
3077.namelsad,Census Tract 063.05,Census Tract 5063.05
2047.li_cor_dac,oth,Both
4047.namelsad,Census Tract 5342.20,Census Tract 5342.02
1690.funcstat,***,S
4310.mtfcc,Gf5020,G5020
4726.mtfcc,5G020,G5020
573.li_cor_dac,ILC,LIC
4507.funcstat,,S
4513.mtfcc,G0520,G5020
2755.mtfcc,5020,G5020
4449.mtfcc,5020,G5020
4372.funcstat,***,S
1330.funcstat,,S
225.mtfcc,mG5020,G5020
3152.namelsad,Census Tract 3s200,Census Tract 3200
2356.funcstat,,S
3609.li_cor_dac,LCI,LIC
1874.mtfcc,G50f20,G5020
3096.li_cor_dac,qBoth,Both
1130.mtfcc,5020,G5020
328.namelsad,Census Tract .03,Census Tract 1.03
4074.li_cor_dac,Botch,Both
4102.namelsad,Census Trac t4251.04,Census Tract 4251.04
1161.funcstat,***,S
4071.li_cor_dac,pDAC,DAC
1631.namelsad,Census Tract 21b11.20,Census Tract 2111.20
2271.li_cor_dac,ILC,LIC
4306.namelsad,Census Tract 4514i.04,Census Tract 4514.04
2924.namelsad,Census Trct 3080.01,Census Tract 3080.01
368.li_cor_dac,LC,LIC
1268.li_cor_dac,LIyC,LIC
1046.li_cor_dac,Baoth,Both
386.namelsad,Censusq Tract 305.01,Census Tract 305.01
4566.funcstat,lS,S
1330.li_cor_dac,Boh,Both
565.namelsad,Census Trac 4079,Census Tract 4079
2791.namelsad,Census Tnract 1917.10,Census Tract 1917.10
1879.li_cor_dac,LCI,LIC
344.funcstat,,S
341.namelsad,Census Tract 17h.01,Census Tract 17.01
490.funcstat,***,S
2657.mtfcc,G50g20,G5020
2959.li_cor_dac,IC,LIC
2149.namelsad,Census Tract 5035.80,Census Tract 5035.08
4236.li_cor_dac,IC,LIC
3497.mtfcc,G5200,G5020
1944.namelsad,Census Tract 999.h04,Census Tract 999.04
160.namelsad,Ckensus Tract 157.01,Census Tract 157.01
2293.namelsad,Census ract 26.05,Census Tract 26.05
2427.li_cor_dac,Baoth,Both
3244.funcstat,bS,S
1959.li_cor_dac,pLIC,LIC
3221.namelsad,Census Trac 185.13,Census Tract 185.13
2056.li_cor_dac,Bth,Both
4599.li_cor_dac,Bmoth,Both
4085.li_cor_dac,DCA,DAC
4179.mtfcc,G520,G5020
1697.funcstat,,S
3311.li_cor_dac,Bth,Both
1048.mtfcc,G5002,G5020
3437.namelsad,zCensus Tract 105.01,Census Tract 105.01
1748.namelsad,Cnsus Tract 433.08,Census Tract 433.08
3291.mtfcc,5020,G5020
1424.mtfcc,G50c20,G5020
3009.mtfcc,G502r0,G5020
1418.mtfcc,5020,G5020
770.namelsad,Census Tract 445.81,Census Tract 445.18
1174.funcstat,***,S
1807.mtfcc,G50j20,G5020
240.mtfcc,Gd5020,G5020
1838.funcstat,,S
25.mtfcc,G020,G5020
827.mtfcc,G5q020,G5020
2522.mtfcc,5020,G5020
4509.namelsad,Census Trat 4814.02,Census Tract 4814.02
1517.funcstat,fS,S
1615.funcstat,,S
4503.mtfcc,G5l020,G5020
798.mtfcc,G5002,G5020
3089.mtfcc,G500,G5020
2417.namelsad,Census Tract 533501,Census Tract 5335.01
3333.li_cor_dac,LCI,LIC
3939.funcstat,tS,S
845.mtfcc,G020,G5020
634.mtfcc,G020,G5020
4309.funcstat,***,S
2064.li_cor_dac,mBoth,Both
2824.mtfcc,G5b020,G5020
2369.funcstat,,S
1614.funcstat,,S
96.funcstat,,S
1412.namelsad,Censsu Tract 427.40,Census Tract 427.40
3873.li_cor_dac,Boht,Both
1198.li_cor_dac,LC,LIC
151.funcstat,***,S
3857.namelsad,Chensus Tract 3020.04,Census Tract 3020.04
795.li_cor_dac,LCI,LIC
2796.mtfcc,G5002,G5020
236.namelsad,Census Tract 27,Census Tract 127
3321.namelsad,Census Tract 168.70,Census Tract 168.07
3195.funcstat,,S
431.mtfcc,G020,G5020
2096.namelsad,Censuhs Tract 114,Census Tract 114
4664.funcstat,kS,S
3998.li_cor_dac,oth,Both
3863.mtfcc,5G020,G5020
4349.namelsad,Census Tract 43.09,Census Tract 34.09
196.namelsad,Census Tract 2913,Census Tract 2193
858.funcstat,***,S
4009.mtfcc,5G020,G5020
2055.namelsad,Census Tract 104w.15,Census Tract 104.15
1236.funcstat,***,S
1969.namelsad,Censu sTract 870.02,Census Tract 870.02
2861.li_cor_dac,IC,LIC
1436.mtfcc,G502i0,G5020
4529.mtfcc,G520,G5020
2698.funcstat,***,S
3218.mtfcc,G520,G5020
4668.li_cor_dac,Boh,Both
2623.mtfcc,G0520,G5020
734.mtfcc,G0520,G5020
3928.namelsad,Census Ttract 2091.03,Census Tract 2091.03
240.namelsad,Censs Tract 4061,Census Tract 4061
3934.li_cor_dac,oth,Both
4132.namelsad,Census Tract 1q0,Census Tract 10
2769.namelsad,Census Tract 20k80,Census Tract 2080
530.funcstat,jS,S
4079.mtfcc,G020,G5020
169.namelsad,Census rTact 2372.01,Census Tract 2372.01
4152.funcstat,,S
3443.li_cor_dac,Boht,Both
1697.li_cor_dac,oth,Both
2621.li_cor_dac,Boht,Both
3704.mtfcc,G502v0,G5020
1715.namelsad,Cfensus Tract 81.43,Census Tract 81.43
1038.li_cor_dac,IC,LIC
2146.funcstat,sS,S
2165.li_cor_dac,Boh,Both
9.mtfcc,G5002,G5020
4552.mtfcc,G50t20,G5020
3798.namelsad,ensus Tract 48.02,Census Tract 48.02
3143.mtfcc,aG5020,G5020
605.namelsad,Census rTact 4027.03,Census Tract 4027.03
3501.mtfcc,G5200,G5020
2249.funcstat,***,S
215.namelsad,Census Tract1393.03,Census Tract 1393.03
289.funcstat,,S
4414.funcstat,eS,S
1375.li_cor_dac,Bjoth,Both
2428.li_cor_dac,IC,LIC
3841.namelsad,Census Tract 3561.03,Census Tract 5361.03
622.namelsad,Census Tract b9.09,Census Tract 9.09
542.mtfcc,G50v20,G5020
3914.mtfcc,G5002,G5020
902.mtfcc,G500,G5020
267.funcstat,cS,S
3401.li_cor_dac,IC,LIC
1543.funcstat,pS,S
1349.funcstat,uS,S
4531.namelsad,Census Tract 5026o.01,Census Tract 5026.01
2809.mtfcc,5G020,G5020
4154.namelsad,Census Trac t31.02,Census Tract 31.02
3499.namelsad,Census Tract 185q.09,Census Tract 185.09
1574.funcstat,yS,S
428.funcstat,***,S
2980.funcstat,***,S
672.namelsad,Census Tract 7c6,Census Tract 76
213.li_cor_dac,Btoh,Both
3842.li_cor_dac,DC,DAC
2788.mtfcc,5020,G5020
2499.namelsad,Census Tract7 8,Census Tract 78
2972.namelsad,Census Tract 1.03,Census Tract 31.03
46.namelsad,Census Trac 6021.04,Census Tract 6021.04
672.funcstat,,S
2547.mtfcc,G5y020,G5020
1674.li_cor_dac,IC,LIC
2648.funcstat,,S
51.li_cor_dac,Botfh,Both
3041.namelsad,Census Teract 28.17,Census Tract 28.17
2131.li_cor_dac,LC,LIC
4417.mtfcc,G5002,G5020
4386.mtfcc,G50i20,G5020
4419.namelsad,Census Trcat 27.05,Census Tract 27.05
4437.funcstat,,S
2439.funcstat,,S
4283.namelsad,ensus Tract 412.03,Census Tract 412.03
1072.mtfcc,G520,G5020
3.funcstat,,S
4221.funcstat,,S
2311.namelsad,CensusTract 753.01,Census Tract 753.01
3437.mtfcc,5020,G5020
4363.mtfcc,G5002,G5020
1845.funcstat,,S
60.li_cor_dac,ILC,LIC
1612.namelsad,Censu Tract 2653.03,Census Tract 2653.03
3278.funcstat,fS,S
3340.namelsad,Census Trcat 189.06,Census Tract 189.06
2516.li_cor_dac,LCI,LIC
1112.funcstat,***,S
982.mtfcc,G520,G5020
1761.li_cor_dac,Botih,Both
4656.li_cor_dac,Btoh,Both
2416.funcstat,***,S
3315.li_cor_dac,IC,LIC
1663.mtfcc,rG5020,G5020
217.mtfcc,G5002,G5020
3997.namelsad,Cpensus Tract 5315.03,Census Tract 5315.03
2390.namelsad,Censums Tract 890.04,Census Tract 890.04
3690.li_cor_dac,Boht,Both
4045.li_cor_dac,Btoh,Both
3802.li_cor_dac,kLIC,LIC
4083.funcstat,kS,S
1188.li_cor_dac,Bothh,Both
4400.mtfcc,hG5020,G5020
2787.funcstat,***,S
2452.funcstat,,S
4452.mtfcc,G5002,G5020
4581.namelsad,Census Trct 5317.01,Census Tract 5317.01
2629.li_cor_dac,qLIC,LIC
2258.funcstat,***,S
717.funcstat,,S
365.funcstat,,S
3726.li_cor_dac,DeAC,DAC
4292.funcstat,,S
1003.namelsad,Census Tract 109.01,Census Tract 1096.01
2508.funcstat,,S
3071.li_cor_dac,Botph,Both
1934.funcstat,,S
2309.funcstat,mS,S
198.mtfcc,cG5020,G5020
4735.li_cor_dac,Boht,Both
2542.li_cor_dac,Boh,Both
91.mtfcc,5G020,G5020
4124.li_cor_dac,Boht,Both
1090.li_cor_dac,LIoC,LIC
1075.li_cor_dac,oth,Both
3956.li_cor_dac,Boht,Both
3084.funcstat,***,S
3148.mtfcc,G5002,G5020
2953.li_cor_dac,LCI,LIC
597.mtfcc,G0520,G5020
1316.li_cor_dac,IC,LIC
440.funcstat,,S
1187.funcstat,vS,S
2041.namelsad,Censups Tract 74.03,Census Tract 74.03
1591.namelsad,Census Trac 406.05,Census Tract 406.05
3024.funcstat,***,S
3326.funcstat,***,S
4463.mtfcc,G50k20,G5020
3254.li_cor_dac,DCA,DAC
1617.li_cor_dac,Btoh,Both
3907.funcstat,,S
1496.namelsad,Censu Tract 5518,Census Tract 5518
3410.namelsad,Censsu Tract 510,Census Tract 510
2543.mtfcc,G5002,G5020
4511.mtfcc,G5002,G5020
1627.funcstat,gS,S
612.namelsad,Cesus Tract 1924.20,Census Tract 1924.20
1547.funcstat,,S
1063.funcstat,fS,S
3742.namelsad,Census Tract 1s4.11,Census Tract 14.11
3647.li_cor_dac,IC,LIC
3026.funcstat,,S
275.funcstat,***,S
278.funcstat,,S
1538.li_cor_dac,Boht,Both
567.namelsad,Census Tracbt 4310.01,Census Tract 4310.01
3947.li_cor_dac,oBth,Both
419.namelsad,Chensus Tract 2198,Census Tract 2198
757.mtfcc,G0520,G5020
3265.mtfcc,5020,G5020
4734.mtfcc,Gz5020,G5020
2037.funcstat,iS,S
1532.namelsad,Census Tract1 05.05,Census Tract 105.05
3526.li_cor_dac,Boht,Both
2573.funcstat,yS,S
3687.li_cor_dac,ILC,LIC
2090.funcstat,,S
2820.namelsad,Census Tract 252502,Census Tract 2525.02
4226.funcstat,xS,S
2526.funcstat,***,S
1422.mtfcc,5020,G5020
4604.mtfcc,Gc5020,G5020
1112.li_cor_dac,IC,LIC
4058.mtfcc,G5u020,G5020
3367.funcstat,uS,S
2341.funcstat,***,S
347.namelsad,ensus Tract 1977,Census Tract 1977
370.funcstat,iS,S
1260.funcstat,,S
669.namelsad,Census Tarct 6,Census Tract 6
1886.funcstat,***,S
3322.li_cor_dac,LCI,LIC
3122.namelsad,Census rTact 115.01,Census Tract 115.01
4402.li_cor_dac,LIlC,LIC
902.funcstat,***,S
3477.funcstat,qS,S
1371.li_cor_dac,LrIC,LIC
1487.li_cor_dac,Btoh,Both
1806.li_cor_dac,pBoth,Both
1453.li_cor_dac,Boht,Both
447.namelsad,Census Trac t444.03,Census Tract 444.03
2751.li_cor_dac,tBoth,Both
2473.mtfcc,5G020,G5020
1702.funcstat,jS,S
3673.funcstat,yS,S
515.funcstat,***,S
2362.li_cor_dac,ILC,LIC
1418.namelsad,Census ract 5508,Census Tract 5508
882.namelsad,Censs Tract 489.02,Census Tract 489.02
2120.mtfcc,G020,G5020
963.funcstat,,S
2334.li_cor_dac,LCI,LIC
3967.li_cor_dac,LC,LIC
3930.funcstat,,S
1009.namelsad,Census Trct 4081.41,Census Tract 4081.41
3188.mtfcc,G500,G5020
112.funcstat,***,S
4326.li_cor_dac,LtIC,LIC
169.li_cor_dac,Btoh,Both
1367.namelsad,Census Tract 18u32.22,Census Tract 1832.22
3524.li_cor_dac,oth,Both
3915.namelsad,Ceinsus Tract 4331.02,Census Tract 4331.02
3121.li_cor_dac,mLIC,LIC
2991.funcstat,hS,S
1539.funcstat,,S
985.namelsad,Census Tract1 272.20,Census Tract 1272.20
137.li_cor_dac,Broth,Both
211.funcstat,,S
136.namelsad,Census Tracrt 30.02,Census Tract 30.02
387.namelsad,Cesnus Tract 402,Census Tract 402
228.li_cor_dac,LCI,LIC
3268.li_cor_dac,Btoh,Both
2652.funcstat,***,S
1686.funcstat,eS,S
4693.li_cor_dac,LcIC,LIC
1759.namelsad,CensusTract 109.01,Census Tract 109.01
2316.namelsad,Census Trct 874.01,Census Tract 874.01
3238.li_cor_dac,Booth,Both
3194.funcstat,***,S
1130.funcstat,nS,S
353.funcstat,kS,S
4530.mtfcc,G5002,G5020
2376.namelsad,Census Tarct 416,Census Tract 416
1041.funcstat,,S
3506.li_cor_dac,IC,LIC
3050.li_cor_dac,LInC,LIC
