1537.statecounty,MS_lCaiborne,MS_Claiborne
1954.fipstwo,35023,f35023
334.fips,2016.0,12017
2055.statecounty,OH_Alln,OH_Allen
110.fips,2016.0,5027
2377.county,Patillas Municiio,Patillas Municipio
315.statecounty,AL_Jefferson,CT_Hartford
1065.county,Lesllie ,Leslie 
1686.fipstwo,f3743,f37043
2420.county,aDarlington ,Darlington 
2627.countytwo,Blnco ,Blanco 
243.statefips,2.0,6
643.statefips,62,19
3133.statecounty,WI_Perce,WI_Pierce
193.fips,2198.0,6003
269.county,Denali Borough,Eagle 
370.fips,2164.0,12089
29.fips,2090.0,2290
457.statecounty,G_AGrady,GA_Grady
302.fipstwo,f02068,f08103
2924.county,ColonialHeights city,Colonial Heights city
219.statevalue,AC,CA
2128.county,zShelby ,Shelby 
203.statevalue,AC,CA
2959.fipstwo,f51e093,f51093
1130.statecounty,LA_Caldwll,LA_Caldwell
533.statevalue,AG,GA
1464.countytwo,Lincon ,Lincoln 
2312.statecounty,PA_uSsquehanna,PA_Susquehanna
112.fips,2060.0,5031
1124.statecounty,LA_Avoyleles,LA_Avoyelles
27.statevalue,K,AK
223.statefips,2.0,6
2871.statevalue,T,UT
71.fips,2070.0,1083
2839.statecounty,TX_rinity,TX_Trinity
2615.statevalue,X,TX
3056.countytwo,Fery ,Ferry 
529.statefips,47,13
720.county,DeKal b,DeKalb 
2959.statevalue,AV,VA
802.countytwo,Woodeford ,Woodford 
1671.countytwo,Beaufjort ,Beaufort 
118.county,kDrew ,Drew 
236.fips,5013.0,6089
2055.statevalue,H,OH
205.statefips,2.0,6
318.fips,1063.0,9009
395.statecounty,AL_Covington,GA_Bacon
2637.countytwo,Burlesno ,Burleson 
3167.countytwo,Fayettek ,Fayette 
3103.statecounty,WI_Eauk Claire,WI_Eau Claire
795.county,Washingtn ,Washington 
3092.fipstwo,5f5013,f55013
428.countytwo,fColumbia ,Columbia 
2046.fipstwo,f3e6109,f36109
1095.fipstwo,f21m191,f21191
406.statecounty,AL_Houston,GA_Brooks
3095.statecounty,WI_Clakr,WI_Clark
421.statevalue,hGA,GA
2378.statecounty,PR_Penuelas Municipaio,PR_Penuelas Municipio
2230.countytwo,Gran t,Grant 
31.fips,2050.0,1003
1505.county,tS. Charles ,St. Charles 
224.fipstwo,f02105,f06065
794.statecounty,IL_aWrren,IL_Warren
343.fips,2185.0,12037
1437.countytwo,Dalls ,Dallas 
2293.county,Lehihg ,Lehigh 
60.fips,2105.0,1061
192.fips,2016.0,6001
464.statefips,37,13
1153.statecounty,AL_Morehouse,LA_Morehouse
2524.county,Cnnon ,Cannon 
397.statefips,108,13
2836.statevalue,XT,TX
824.countytwo,loyd ,Floyd 
330.fips,2060.0,12009
2862.statevalue,XT,TX
1094.countytwo,Owslye ,Owsley 
48.statefips,2.0,1
1551.statecounty,MS_Hbinds,MS_Hinds
343.statecounty,AK_Anchorage Municipality,FL_Franklin
2362.countytwo,Lajas Muincipio,Lajas Municipio
2431.statecounty,SC_Jaspr,SC_Jasper
78.statecounty,AK_Hoonah-Angoon Census Area,AL_Mobile
710.statecounty,I_Champaign,IL_Champaign
106.statefips,2.0,5
2748.county,Klheberg ,Kleberg 
303.fips,2170.0,8105
2851.county,Web ,Webb 
3214.county,Big eHorn ,Big Horn 
2584.statevalue,ToN,TN
280.statefips,2.0,8
2495.statecounty,SD_McPherxson,SD_McPherson
2688.fipstwo,f4153,f48153
242.fips,5013.0,6101
275.fips,2090.0,8049
420.statefips,67,13
1051.statecounty,KYh_Henry,KY_Henry
1794.statecounty,D_Morton,ND_Morton
521.statefips,75,13
885.fipstwo,f1z8165,f18165
1487.county,Petis ,Pettis 
1593.county,Sunflowe r,Sunflower 
872.statecounty,IN_Rqush,IN_Rush
2441.statevalue,C,SC
2791.fipstwo,f43859,f48359
288.statefips,2.0,8
58.fipstwo,f02130,f01057
144.statefips,2.0,5
866.fipstwo,f81127,f18127
4.county,Hoonah-Angoon Census Area,Bethel Census Area
28.fips,2122.0,2282
3072.statevalue,kWA,WA
2166.county,Garvinx ,Garvin 
125.fips,2070.0,5057
1325.statecounty,N_Benton,MN_Benton
219.county,Aleutians East Borough,Napa 
3026.statevalue,mVA,VA
2323.statevalue,RP,PR
435.statevalue,AG,GA
565.statefips,38,19
1154.statecounty,LA_Natchitochs,LA_Natchitoches
161.fipstwo,f02150,f05131
2939.county,Fluvana ,Fluvanna 
86.statefips,2.0,1
2312.county,Susquehann a,Susquehanna 
269.statefips,2.0,8
115.fipstwo,f02050,f05037
141.fips,2164.0,5089
163.statefips,2.0,5
52.fips,2060.0,1045
299.county,gPitkin ,Pitkin 
1142.statecounty,A_Iberia,LA_Iberia
813.countytwo,Cmlay ,Clay 
2544.statevalue,yTN,TN
958.countytwo,Morrs ,Morris 
947.county,Lincomln ,Lincoln 
207.fips,2060.0,6031
1601.county,aWrren ,Warren 
398.fips,6075.0,13011
1933.fipstwo,f34205,f34025
2031.countytwo,Putnapm ,Putnam 
576.statefips,41,19
3014.county,Staffor ,Stafford 
1723.statevalue,NeC,NC
659.countytwo,Bannck ,Bannock 
1546.fipstwo,f28x039,f28039
200.fips,2050.0,6017
1628.statevalue,T,MT
2921.statecounty,VA_hesapeake city,VA_Chesapeake city
3129.county,Oneia ,Oneida 
147.fipstwo,f02130,f05101
1931.countytwo,Mrcer ,Mercer 
208.county,Lake and Peninsula Borough,Lake 
150.statecounty,AK_Kenai Peninsula Borough,AR_Phillips
701.fipstwo,f10701,f17001
980.county,Sctot ,Scott 
1029.fipstwo,f2109,f21059
23.statecounty,AK_Bristol Bay Borough,AK_Skagway Municipality
168.fipstwo,f01039,f05143
385.statevalue,dFL,FL
3020.statecounty,VA_Virginiaa Beach city,VA_Virginia Beach city
1857.statecounty,NE_aHll,NE_Hall
2553.county,Hakwins ,Hawkins 
72.statefips,2.0,1
2274.countytwo,Crawfod ,Crawford 
2226.county,Curry ***,Curry 
531.statecounty,GA_owns,GA_Towns
2893.county,Washinton ,Washington 
2731.fipstwo,f4239,f48239
88.fips,2020.0,1115
333.fips,2164.0,12015
105.statefips,2.0,5
2757.county,Libertyy ,Liberty 
431.statefips,44,13
375.statevalue,LF,FL
2062.countytwo,Butlerj ,Butler 
82.fipstwo,f02016,f01105
2988.countytwo,Pag e,Page 
353.statecounty,AK_Dillingham Census Area,FL_Hillsborough
3030.statecounty,VI_St. Crix Island,VI_St. Croix Island
341.fips,2105.0,12033
842.statecounty,IN_Jenqnings,IN_Jennings
283.county,Bristol Bay Borough,La Plata 
2417.fipstwo,f45n025,f45025
784.statecounty,IL_Schuyelr,IL_Schuyler
280.statecounty,AK_Matanuska-Susitna Borough,CO_Jefferson
288.statecounty,AK_Wade Hampton Census Area,CO_Logan
2380.countytwo,Quebradillas Municipio***,Quebradillas Municipio
312.statevalue,O,CO
50.fips,2050.0,1041
2917.fipstwo,f5g1035,f51035
1500.county,Scuyler ,Schuyler 
1357.countytwo,Lac qui Parfle ,Lac qui Parle 
2885.statevalue,fUT,UT
978.statecounty,KS_Russell***,KS_Russell
247.fips,2105.0,6111
459.statecounty,GA_Giwnnett,GA_Gwinnett
1947.county,Cury ,Curry 
47.statefips,2.0,1
276.statecounty,AK_Kenai Peninsula Borough,CO_Gunnison
1095.county,endleton ,Pendleton 
474.fipstwo,f1315,f13165
2757.fipstwo,4f8291,f48291
743.statevalue,IeL,IL
2860.statecounty,TX_iWse,TX_Wise
1705.countytwo,Guilfordi ,Guilford 
3203.statecounty,WVT_aylor,WV_Taylor
477.statevalue,AG,GA
3046.statecounty,V_Windsor,VT_Windsor
2834.county,Terory ,Terry 
44.fipstwo,f02122,f01029
1098.county,Powelln ,Powell 
1308.fipstwo,f6141,f26141
414.statecounty,AK_Valdez-Cordova Census Area,GA_Carroll
1639.fipstwo,ft30061,f30061
1566.countytwo,Leae ,Leake 
221.county,Lake and Peninsula Borough,Orange 
2806.fipstwo,kf48389,f48389
1387.statecounty,M_NRock,MN_Rock
40.fipstwo,f02170,f01021
132.county,Anchorage Municipality,Johnson 
320.fipstwo,f02060,f09013
109.fips,2050.0,5025
474.statefips,28,13
277.county,Kenai Peninsula Borough,Hinsdale 
1179.statecounty,LA_Webtser,LA_Webster
1622.fipstwo,f3027,f30027
157.fipstwo,f01041,f05121
2911.countytwo,Brnuswick ,Brunswick 
144.fipstwo,f02240,f05095
365.statecounty,AK_Bethel Census Area,FL_Manatee
47.fipstwo,f02270,f01035
592.statevalue,A,IA
66.statefips,2.0,1
128.fips,2150.0,5063
462.statevalue,A,GA
241.fipstwo,f02060,f06099
2621.county,Banderaw ,Bandera 
935.county,Haskel l,Haskell 
477.county,Laar ,Lamar 
479.statevalue,A,GA
1333.statecounty,MNc_Chisago,MN_Chisago
914.fipstwo,f2t0039,f20039
1717.statecounty,NC_Lee***,NC_Lee
620.statefips,57,19
2157.county,oCmanche ,Comanche 
2156.statecounty,OK_Cola,OK_Coal
279.statefips,2.0,8
940.county,Johonson ,Johnson 
508.statefips,51,13
789.fipstwo,f17177***,f17177
70.county,Kodiak Island Borough,Lee 
207.statecounty,AK_Northwest Arctic Borough,CA_Kings
285.county,Aleutians East Borough,Larimer 
453.statefips,60,13
1970.county,Soocrro ,Socorro 
23.county,Matanuska-Susitna Borough,Skagway Municipality
340.fips,2070.0,12031
1314.countytwo,tSt. Clair ,St. Clair 
496.statefips,69,13
2121.fipstwo,f39153,f39135
330.statecounty,AK_Matanuska-Susitna Borough,FL_Brevard
2146.countytwo,Begckham ,Beckham 
2568.countytwo,Lincolnl ,Lincoln 
325.county,uSssex ,Sussex 
928.statecounty,KfS_Grant,KS_Grant
206.fips,2105.0,6029
403.statecounty,AL_Lamar,GA_Bibb
495.statefips,37,13
198.statecounty,AK_Bristol Bay Borough,CA_Contra Costa
619.statefips,119,19
2557.statevalue,nTN,TN
268.fips,5067.0,8035
642.statefips,79,19
2635.statecounty,TXc_Brooks,TX_Brooks
2194.fipstwo,f40i105,f40105
2681.countytwo,El aso ,El Paso 
257.county,Lake and Peninsula Borough,Broomfield 
1700.county,aGston ,Gaston 
1797.fipstwo,f3865,f38065
1594.statevalue,SM,MS
1424.fipstwo,f2903e3,f29033
1207.statecounty,DM_Dorchester,MD_Dorchester
997.statecounty,KSq_Wilson,KS_Wilson
1336.statecounty,MN_Coko,MN_Cook
329.statecounty,AL_Clay,FL_Bradford
148.fipstwo,f02240,f05103
2279.countytwo,Eriem ,Erie 
223.fips,2020.0,6063
2260.fipstwo,f420v11,f42011
2424.countytwo,Fairfizeld ,Fairfield 
2370.countytwo,Maunabo Municipsio,Maunabo Municipio
854.county,Mami ,Miami 
2220.statevalue,R,OR
3053.countytwo,Columia ,Columbia 
25.fips,2198.0,2261
1957.statevalue,NzM,NM
862.county,Own ,Owen 
103.statecounty,AK_Juneau City and Borough,AR_Calhoun
827.fipstwo,f1809,f18049
344.fips,11001.0,12039
2186.fipstwo,f04095,f40095
296.fips,2050.0,8091
263.county,Kodiak Island Borough,Crowley 
2566.countytwo,awrence ,Lawrence 
2664.countytwo,rCockett ,Crockett 
1284.statevalue,dMI,MI
2430.statevalue,CS,SC
281.statecounty,AK_Ketchikan Gateway Borough,CO_Kiowa
751.countytwo,Lawrenec ,Lawrence 
1926.county,Cumbeprland ,Cumberland 
3173.statecounty,WV_aHrdy,WV_Hardy
187.fipstwo,f02016,f04019
255.statecounty,AK_Dillingham Census Area,CO_Bent
714.county,Clintkon ,Clinton 
452.statevalue,tGA,GA
1674.fipstwo,f37091,f37019
348.county,Hoonah-Angoon Census Area,Hamilton 
467.statevalue,bGA,GA
2860.statevalue,X,TX
282.county,Lake and Peninsula Borough,Kit Carson 
947.statecounty,KS_incoln,KS_Lincoln
1179.county,Webster Parih,Webster Parish
416.statecounty,AK_Anchorage Municipality,GA_Charlton
1271.statevalue,I,MI
53.statevalue,L,AL
151.statefips,2.0,5
1333.statevalue,N,MN
271.fips,2170.0,8039
2015.fipstwo,f36u047,f36047
175.fips,2070.0,60040
355.fips,2105.0,12061
1065.fipstwo,fb21131,f21131
335.fipstwo,f05051,f12019
2348.county,Fajardo Mnicipio,Fajardo Municipio
138.fips,2150.0,5083
1737.statecounty,NC_Pferson,NC_Person
139.fips,2020.0,5085
85.statefips,2.0,1
2524.statecounty,TN_Cannojn,TN_Cannon
1301.statecounty,MI_Oceaa,MI_Oceana
2172.county,Hafskell ,Haskell 
1997.countytwo,aCyuga ,Cayuga 
430.statefips,49,13
272.statevalue,eCO,CO
196.county,Aleutians West Census Area,Calaveras 
91.statefips,2.0,1
124.statefips,2.0,5
475.statefips,96,13
560.statefips,98,19
367.fipstwo,f04023,f12085
93.statefips,2.0,1
258.statecounty,AR_Sevier,CO_Chaffee
2553.countytwo,Hawkns ,Hawkins 
242.fipstwo,f01071,f06101
855.county,Monroje ,Monroe 
1413.statevalue,OM,MO
1975.county,Carson Ciyt,Carson City
26.county,Aleutians West Census Area,Wade Hampton Census Area
1396.statecounty,MNt_Swift,MN_Swift
2273.countytwo,Colubia ,Columbia 
1119.fipstwo,f22139,f21239
121.fips,2016.0,5049
337.statevalue,LF,FL
257.fips,2105.0,8014
1705.statevalue,C,NC
1686.countytwo,lay ,Clay 
2695.statecounty,bTX_Galveston,TX_Galveston
1781.fipstwo,f3833,f38033
2967.statecounty,VA_Loudun,VA_Loudoun
350.statecounty,AK_Lake and Peninsula Borough,FL_Hendry
960.statecounty,K_Nemaha,KS_Nemaha
2311.fipstwo,42113,f42113
2690.countytwo,Fort Ben d,Fort Bend 
3166.statecounty,WV_oDddridge,WV_Doddridge
111.statefips,2.0,5
823.fipstwo,f18014,f18041
1315.statecounty,MI_St. Josehp,MI_St. Joseph
1885.statecounty,NEPerkins,NE_Perkins
1359.countytwo,Laek of the Woods ,Lake of the Woods 
211.statefips,2.0,6
372.statefips,66,12
218.county,Juneau City and Borough,Monterey 
3074.countytwo,San Jun ,San Juan 
120.statevalue,AK,AR
744.countytwo,Johnso n,Johnson 
1855.statevalue,NzE,NE
2358.county,Isabela Muicipio,Isabela Municipio
104.statecounty,AK_Dillingham Census Area,AR_Carroll
213.statefips,2.0,6
1520.countytwo,Webste ,Webster 
143.statefips,2.0,5
197.fipstwo,f02050,f06011
1206.fipstwo,24017,f24017
270.fips,2060.0,8041
3105.fipstwo,5f5039,f55039
2542.fipstwo,f74051,f47051
2880.fipstwo,f4927,f49027
1616.countytwo,Couteau ,Chouteau 
1360.fipstwo,fr27079,f27079
330.statevalue,FtL,FL
2677.countytwo,Dvual ,Duval 
1360.statevalue,N,MN
1205.countytwo,Cecila ,Cecil 
1396.statevalue,N,MN
356.statevalue,LF,FL
1485.county,Pemijscot ,Pemiscot 
2558.fipstwo,47083,f47083
3192.county,Ohito ,Ohio 
215.fips,2164.0,6047
816.statevalue,NI,IN
1174.fipstwo,f22t109,f22109
836.countytwo,Howanrd ,Howard 
2513.fipstwo,rf46127,f46127
2459.fipstwo,wf46019,f46019
289.county,Aleutians East Borough,Mesa 
1465.statevalue,MmO,MO
186.fips,2150.0,4017
1182.county,West Felicinaa Parish,West Feliciana Parish
2150.countytwo,Candaian ,Canadian 
1809.countytwo,Star k,Stark 
158.fips,2164.0,5125
594.countytwo,Greene ***,Greene 
1489.statecounty,MO_Pie,MO_Pike
1700.statecounty,NC_aGston,NC_Gaston
70.statefips,2.0,1
536.fipstwo,f3291,f13291
559.statefips,110,19
2295.fipstwo,f42h081,f42081
328.fips,2180.0,12005
113.statecounty,AK_Southeast Fairbanks Census Area,AR_Crawford
22.fipstwo,f01003,f02220
646.statefips,119,19
880.countytwo,Switzerlzand ,Switzerland 
265.statecounty,AL_Lawrence,CO_Delta
814.statevalue,NI,IN
820.countytwo,Delaawre ,Delaware 
2656.statevalue,X,TX
1066.fipstwo,f21313,f21133
199.countytwo,DelNorte ,Del Norte 
1757.statecounty,kNC_Warren,NC_Warren
2386.countytwo,San Jun Municipio,San Juan Municipio
2955.statevalue,A,VA
2874.statevalue,UsT,UT
399.fips,12051.0,13013
250.fips,2180.0,8001
1605.county,Wiklinson ,Wilkinson 
174.fipstwo,f02290,f60030
2151.statecounty,OK_Cawrter,OK_Carter
253.fipstwo,f02240,f08007
1886.statecounty,NE_Phelsp,NE_Phelps
213.county,Dillingham Census Area,Mariposa 
290.county,Anchorage Municipality,Mineral 
2667.county,Dllam ,Dallam 
2007.statecounty,NY_Esex,NY_Essex
1951.countytwo,Grahnt ,Grant 
3073.fipstwo,f53m053,f53053
114.county,Aleutians East Borough,Crittenden 
911.statevalue,tKS,KS
2157.countytwo,omanche ,Comanche 
2318.statecounty,PAWayne,PA_Wayne
407.statecounty,AK_Fairbanks North Star Borough,GA_Bryan
2751.statecounty,TX_Lmar,TX_Lamar
169.statevalue,RA,AR
2734.county,Jeffreson ,Jefferson 
1611.countytwo,laine ,Blaine 
1038.countytwo,Galvlatin ,Gallatin 
2994.countytwo,Powhatfan ,Powhatan 
1938.county,Somrset ,Somerset 
3042.county,Orleanns ,Orleans 
77.fips,2150.0,1095
73.fips,2060.0,1087
2016.statevalue,Y,NY
3219.countytwo,Frehmont ,Fremont 
74.statefips,2.0,1
540.statefips,41,13
1699.countytwo,Frankli n,Franklin 
459.statefips,106,13
2748.statevalue,qTX,TX
64.fips,2020.0,1069
113.statefips,2.0,5
2033.county,Resselaer ,Rensselaer 
1818.countytwo,Adoams ,Adams 
1325.fipstwo,f27009***,f27009
2977.statecounty,VA_iMddlesex,VA_Middlesex
597.statefips,84,19
2500.statevalue,D,SD
1554.countytwo,Issaquena ***,Issaquena 
369.statecounty,AK_Denali Borough,FL_Monroe
556.county,Kauaih ,Kauai 
18.statecounty,AK_Bethel Census Area,AK_North Slope Borough
1451.county,Hot ,Holt 
2735.statecounty,TXl_Jim Hogg,TX_Jim Hogg
1520.fipstwo,f29s225,f29225
2503.countytwo,Pottr ,Potter 
1779.fipstwo,f3n8029,f38029
1677.countytwo,Cabarrus ***,Cabarrus 
2955.statecounty,VA_Henricao,VA_Henrico
2919.county,qCharlotte ,Charlotte 
222.fips,2070.0,6061
223.county,Nome Census Area,Plumas 
38.fipstwo,f02070,f01017
2387.statecounty,PR_San LorenzoM unicipio,PR_San Lorenzo Municipio
262.fips,2013.0,8023
370.statecounty,AL_Clay,FL_Nassau
678.statecounty,I_Fremont,ID_Fremont
2350.statecounty,PR_Guanica Mnicipio,PR_Guanica Municipio
2715.county,Haskepll ,Haskell 
2019.statevalue,Y,NY
2519.countytwo,Bentcon ,Benton 
156.fips,2060.0,5119
132.statefips,2.0,5
1026.countytwo,Clinotn ,Clinton 
1668.statevalue,CN,NC
2106.statevalue,H,OH
2593.statecounty,TN_nSequatchie,TN_Sequatchie
1952.countytwo,Gbuadalupe ,Guadalupe 
359.fips,11001.0,12069
586.statefips,117,19
66.fips,2110.0,1073
641.statefips,75,19
2686.countytwo,Fayeytte ,Fayette 
868.statevalue,N,IN
1703.statecounty,NC_ranville,NC_Granville
35.fips,2185.0,1011
2572.statevalue,NT,TN
2974.county,Martinsivlle city,Martinsville city
537.countytwo,Uson ,Upson 
473.statefips,90,13
466.statevalue,AG,GA
1479.statevalue,O,MO
107.fips,2164.0,5021
102.county,Hoonah-Angoon Census Area,Bradley 
1598.statevalue,SM,MS
1759.statecounty,NC_Watuaga,NC_Watauga
3027.statevalue,A,VA
1963.fipstwo,f35309,f35039
1399.countytwo,Wabash ,Wabasha 
3142.countytwo,Sawyeir ,Sawyer 
1536.statecounty,MSChoctaw,MS_Choctaw
2621.statecounty,TXBandera,TX_Bandera
77.county,Aleutians West Census Area,Marshall 
481.statecounty,GA_iberty,GA_Liberty
2170.statevalue,K,OK
451.statefips,85,13
156.county,Haines Borough,Pulaski 
279.county,Denali Borough,Jackson 
2819.countytwo,Sucrry ,Scurry 
105.fips,2122.0,5017
575.countytwo,Ctherokee ,Cherokee 
132.fips,1017.0,5071
1829.statevalue,tNE,NE
89.fips,2090.0,1119
1404.county,Wilkiny ,Wilkin 
301.fips,2090.0,8101
80.statefips,2.0,1
2283.statevalue,A,PA
1027.statevalue,YK,KY
2892.statecounty,UT_Wasaftch,UT_Wasatch
371.county,Aleutians East Borough,Okaloosa 
1804.statevalue,nND,ND
1529.county,Aite ,Amite 
641.fipstwo,f19f167,f19167
1941.fipstwo,34041,f34041
240.statefips,2.0,6
598.countytwo,Hamncock ,Hancock 
336.statevalue,pFL,FL
1863.statevalue,E,NE
335.fips,1129.0,12019
729.statevalue,L,IL
3087.countytwo,Ashluand ,Ashland 
373.fips,5013.0,12095
1276.statevalue,mMI,MI
1809.statecounty,DN_Stark,ND_Stark
217.fips,2122.0,6051
348.fips,1037.0,12047
3017.statecounty,VA_Surrky,VA_Surry
346.fipstwo,f08059,f12043
967.statevalue,S,KS
1480.statecounty,MO_Newon,MO_Newton
486.statecounty,GlA_Macon,GA_Macon
19.fips,2016.0,2188
1810.fipstwo,3f8091,f38091
1794.county,Mortron ,Morton 
583.countytwo,Davism ,Davis 
95.fips,2090.0,1131
2079.countytwo,ulton ,Fulton 
384.fipstwo,f04011,f12111
382.county,Seminol e,Seminole 
678.county,Fremnt ,Fremont 
927.county,rGaham ,Graham 
375.fipstwo,f06035,f12099
704.countytwo,Boon e,Boone 
240.fips,2060.0,6097
1038.statevalue,Y,KY
2478.statevalue,DS,SD
3039.statevalue,TV,VT
259.fipstwo,f02020,f08017
3044.statevalue,T,VT
1617.county,Cuter ,Custer 
52.fipstwo,f02016,f01045
1832.countytwo,Chsae ,Chase 
451.statecounty,G_AFranklin,GA_Franklin
2871.countytwo,Daggtt ,Daggett 
1228.countytwo,nox ,Knox 
3119.fipstwo,f5507,f55067
2400.statecounty,RI_Bristoql,RI_Bristol
481.statefips,74,13
2526.countytwo,aCrter ,Carter 
2751.county,amar ,Lamar 
2019.fipstwo,f36055***,f36055
409.fips,2060.0,13033
524.fipstwo,f1326t7,f13267
2224.statecounty,ORCoos,OR_Coos
408.statefips,74,13
272.county,Haines Borough,Fremont 
2454.county,Bon Home ,Bon Homme 
3209.fipstwo,f51403,f54103
423.fips,12051.0,13063
1699.statecounty,NC_Franlin,NC_Franklin
2719.countytwo,Hidalgor ,Hidalgo 
673.fipstwo,f10633,f16033
233.county,Aleutians West Census Area,Santa Barbara 
2169.countytwo,Grueer ,Greer 
281.fips,2016.0,8061
1900.fipstwo,3f1165,f31165
2044.countytwo,Sullvan ,Sullivan 
62.fips,2013.0,1065
340.statevalue,L,FL
3149.statevalue,IW,WI
2648.statevalue,X,TX
1277.county,Klkaska ,Kalkaska 
1985.fipstwo,f32091,f32019
2352.countytwo,Guaqyanilla Municipio,Guayanilla Municipio
2829.statecounty,TX_Suttno,TX_Sutton
378.statevalue,FqL,FL
475.fipstwo,f3167,f13167
1917.statevalue,sNH,NH
1814.countytwo,alsh ,Walsh 
1991.fipstwo,3f2033,f32033
1443.fipstwo,f2971,f29071
2494.statevalue,DS,SD
3000.statevalue,AV,VA
603.countytwo,Humblodt ,Humboldt 
345.fips,2105.0,12041
2744.county,Kmerr ,Kerr 
2086.statevalue,H,OH
1049.statecounty,K_YHart,KY_Hart
1371.county,Murrayu ,Murray 
159.fips,2016.0,5127
1753.statecounty,NC_Tyrrell***,NC_Tyrrell
2865.county,avala ,Zavala 
576.countytwo,Chikcasaw ,Chickasaw 
256.county,Kodiak Island Borough,Boulder 
2194.statecounty,OK_Noawta,OK_Nowata
455.county,Glynn ***,Glynn 
1275.countytwo,Jbackson ,Jackson 
1751.statevalue,C,NC
753.countytwo,Livington ,Livingston 
2459.countytwo,utte ,Butte 
1449.countytwo,Henrya ,Henry 
232.statevalue,A,CA
1557.fipstwo,f28s061,f28061
2555.countytwo,Hnederson ,Henderson 
112.countytwo,Craiwghead ,Craighead 
596.statefips,52,19
1302.countytwo,Ogema w,Ogemaw 
886.countytwo,aVigo ,Vigo 
1866.statevalue,E,NE
48.fipstwo,f02122,f01037
2817.countytwo,San pSaba ,San Saba 
1436.county,ade ,Dade 
365.fips,2070.0,12081
248.statevalue,CrA,CA
1777.countytwo,unn ,Dunn 
37.statefips,2.0,1
1096.statevalue,YK,KY
1289.statecounty,MI_aMrquette,MI_Marquette
3106.statevalue,WzI,WI
3098.fipstwo,f5525,f55025
1214.county,PrinceG eorge's ,Prince George's 
767.countytwo,Monreo ,Monroe 
2217.countytwo,Woodst ,Woods 
763.statecounty,IL_MHcenry,IL_McHenry
1678.fipstwo,f37072,f37027
244.fipstwo,f02290,f06105
314.fipstwo,f02013,f09001
1391.county,Sbiley ,Sibley 
1031.statevalue,KmY,KY
2765.countytwo,Madiosn ,Madison 
589.statecounty,IA_Emmejt,IA_Emmet
2645.countytwo,Cass ***,Cass 
2375.county,Naranjito Municipiro,Naranjito Municipio
2807.statevalue,yTX,TX
172.fips,2013.0,60010
319.statevalue,TC,CT
2815.statecounty,TX_aSn Jacinto,TX_San Jacinto
647.county,Waipello ,Wapello 
150.fips,2150.0,5107
2251.county,asco ,Wasco 
130.statevalue,R,AR
300.statecounty,AK_Yukon-Koyukuk Census Area,CO_Prowers
145.fips,2122.0,5097
317.statecounty,AK_Hoonah-Angoon Census Area,CT_Middlesex
1772.statecounty,ND_urleigh,ND_Burleigh
82.statefips,2.0,1
406.fips,2110.0,13027
1758.countytwo,Washingtnon ,Washington 
373.county,Kodiak Island Borough,Orange 
310.fips,2070.0,8119
373.statevalue,L,FL
1003.statevalue,Y,KY
160.statefips,2.0,5
748.fipstwo,fq17095,f17095
341.statecounty,AK_Dillingham Census Area,FL_Escambia
541.statevalue,A,GA
1252.countytwo,Chalevoix ,Charlevoix 
2046.statevalue,Y,NY
2855.statevalue,cTX,TX
2554.statevalue,TbN,TN
287.statecounty,AK_Anchorage Municipality,CO_Lincoln
733.countytwo,Haamilton ,Hamilton 
45.fipstwo,f02105,f01031
2681.statecounty,X_El Paso,TX_El Paso
830.statecounty,IN_reene,IN_Greene
115.county,Bristol Bay Borough,Cross 
298.statevalue,OC,CO
1182.statevalue,AL,LA
1897.countytwo,kSeward ,Seward 
181.county,Haines Borough,Graham 
585.statefips,98,19
2395.fipstwo,f7215,f72145
2144.countytwo,Aetoka ,Atoka 
1998.statecounty,NY_Cphautauqua,NY_Chautauqua
41.fipstwo,f02150,f01023
2113.county,Muskiungum ,Muskingum 
379.statevalue,LF,FL
260.fips,2150.0,8019
3165.countytwo,Cay ,Clay 
224.county,Lake and Peninsula Borough,Riverside 
955.statevalue,gKS,KS
1353.countytwo,Kananbec ,Kanabec 
1336.countytwo,Cookr ,Cook 
1234.statevalue,EM,ME
140.statefips,2.0,5
2587.countytwo,uPtnam ,Putnam 
3228.statecounty,WY_latte,WY_Platte
852.fipstwo,18099,f18099
2710.statecounty,TX_ardeman,TX_Hardeman
121.statefips,2.0,5
1925.county,Cape Maly ,Cape May 
1033.countytwo,Fayett e,Fayette 
650.statefips,63,19
98.fipstwo,f01039,f05003
1018.fipstwo,f210g37,f21037
271.fipstwo,f02050,f08039
1434.statevalue,OM,MO
460.statefips,82,13
1150.statevalue,A,LA
540.fipstwo,f13299***,f13299
78.fips,2016.0,1097
2560.county,Jacson ,Jackson 
2680.countytwo,rEdwards ,Edwards 
2905.fipstwo,f510y17,f51017
2917.statevalue,VoA,VA
316.fips,2070.0,9005
221.statefips,2.0,6
297.statevalue,O,CO
402.fips,2110.0,13019
916.statevalue,SK,KS
3058.countytwo,arfield ,Garfield 
939.statevalue,KrS,KS
3022.countytwo,Washingtoln ,Washington 
1734.county,Pasquotan ,Pasquotank 
3012.statecounty,VA_Soutahmpton,VA_Southampton
58.fips,2020.0,1057
779.countytwo,Radnolph ,Randolph 
2457.countytwo,Brul ,Brule 
63.statefips,2.0,1
2358.fipstwo,if72071,f72071
68.fips,1031.0,1077
2310.statevalue,AP,PA
