indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
qObesity among children and adolescents aged 2-19 years,2-5 years,54.0,"Percent of population, crude",1,Sex and race and Hispanic origin,4.0,4.213,Male,2005-2008,2.0,2-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yaers,53.0,"Percent of population, crude",1,Percent of poverty level,4.0,4.213,Female,2003-2006,3.0,2-19 yeras,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percent of population, crude",0,Sex and race and Hispanic origin,1.0,4.213,2-19 years,2003-2006,3.0,2-19years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-k19 years,96.0,"Percent of population, crude",1,Sex,4.0,4.213,2-19 years,2005-2008,4.0,2-19 nyears,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,1.0,4.213,Not Hispanic or Latino: Black or African American only,2007-2010,8.0,2-19 yars,0.0,17.9,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 yeas,1.0,"Percent of population, crude",1,Sex and race and Hispanic origin,1.0,4.213,Male,1988-1994,7.0,2-91 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,-19 years,79.0,"Perbcent of population, crude",1,Sex,4.0,4.213,2-19 years,2011-2014,8.0,21-9 years,0.0,5.3,1.3,*
Obesity among children and adolesgcents aged 2-19 years,2-19 yars,46.0,"Prcent of population, crude",1,Sex and race and Hispanic origin,0.0,4.213,Female,2005-2008,9.0,2-19 yeasr,0.0,7.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,10.0,"Percent of population, crude",1,Sex,4.0,4.213,Male,2015-2018,3.0,2-19 years,0.0,7.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-91 years,54.0,"Percent otf population, crude",1,Race and Hispanic origin,4.0,4.221,2-19 years,1988-1994,1.0,2-19 yeasr,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-a19 years,83.0,"Percent of population, crude",1,Total,4.0,4.221,2-19 years,2005-2008,2.0,2-19y years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,78.0,"Percent of population, crude",1,Percent of poverty level,4.0,4.221,Male,2005-2008,3.0,-19 years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-9 years,1.0,"Percent of population, crude",1,Total,4.0,4.221,2-19 years,2003-2006,10.0,2-1 9years,0.0,17.9,1.4,-
Obesity among children and adolescents aged 2k-19 years,2-5 years,57.0,"Percent of population, crude",1,Sex,4.0,4.221,2-19 years,1988-1994,5.0,2-19 years,0.0,17.9,1.4,***
Obesity among children and adolescents aged 2-1 years,2-19 eyars,44.0,"Percent of population, crude",1,Sex,4.0,4.221,2-19 years,2007-2010,8.0,2-5 years,0.0,18.1,1.2,-
Obesity among children and adolescents aged 2-19 years,2-i19 years,32.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,4.221,Not Hispanic or Latino: Black or African American only,2003-2006,7.0,2-5 years,0.0,19.8,1.1,***
Obesity among children and adolescents aged 2-19 years,2-19 years,99.0,"Percent of population, crude",1,Sex,4.0,4.221,2-19 years,2009-2012,8.0,2-19 years,0.0,21.4,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,21.0,"Percent of population, crude",1,Sex,4.0,4.221,2-19 years,2013-2016,10.0,2-19 yers,0.0,22.9,1.4,-
Obesit among children and adolescents aged 2-19 years,2-19 wyears,37.0,"Percent of population, crude",1,Sex and race and Hispanic origin,0.0,4.221,Not Hispanic or Latino: White only,2003-2006,10.0,-19 years,0.0,23.3,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,53.0,"Percent of population, crude",1,Sex and race and Hispanic origin,5.0,4.222,2-19 years,1999-2002,1.0,2-1t9 years,0.0,13.8,1.9,g-
Obesity among children and adolescents aged 2-19 years,2-19 yeras,1.0,"Percent of population, crude",1,Sex,4.0,4.222,Male,1999-2002,2.0,-219 years,0.0,16.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,99.0,"Percent o fpopulation, crude",1,Total,4.0,4.222,Male,2003-2006,3.0,2-19 years,0.0,16.5,1.5,-
Obesity among children and adolescents aged 2-19 years,2-1 9years,2.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.222,2-19 years,2005-2008,4.0,2-19 years,0.0,18.4,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,41.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.222,Male,2007-2010,5.0,2-1 9years,0.0,18.5,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,82.0,"Percent of population, crude",1,Percent of poverty level,4.0,4.222,Male,1999-2002,6.0,2-19 yearbs,0.0,17.4,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19b years,51.0,"Percent of population, crude",1,Total,4.0,4.222,2-19 years,2011-2014,7.0,2-19 yars,0.0,19.6,1.5,-
Obesity among children and adolescents aged 2-19 years,21-9 years,1.0,"Percent of population, crude",1,Sex,4.0,4.222,2-19 years,2013-2016,8.0,2-19 yeas,0.0,22.7,1.7,-
Obesity among children and adolescents aged 2-19 years,2-5 years,88.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.222,2-19 years,2013-2016,4.0,2-19 years,0.0,24.2,1.9,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,57.0,"Percent of population, crude",1,Race and Hispanic origin,4.0,4.222,Male,2015-2018,6.0,2i-19 years,0.0,24.6,2.0,-
Obesity among children and adoelscents aged 2-19 years,2-19 years,1.0,"Percent o fpopulation, crude",1,Percent of poverty level,5.0,5.1,Male,1988-1994,57.0,2-19 years,100.0,12.6,1.2,
Obesity among children and adoescents aged 2-19 years,2-19 years,51.0,"Percent of population, crude",1,Race and Hispanic origin,5.0,5.1,2-19 years,2011-2014,2.0,-19 years,0.0,17.6,1.1,
Obesity among children and adolescents aged 2-19 years,-19 years,94.0,"Percent of population, crude",0,Percent of poverty level,39.0,5.1,Male,2003-2006,3.0,2-5 years,0.0,17.9,1.3,-
Obesity among children and adolescents aged 2-19 years,-19 years,40.0,"Percent of population, crude",1,Sex,5.0,5.1,2-19 years,2009-2012,4.0,2-5 years,0.0,18.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,69.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,Not Hispanic or Latino: White only,2005-2008,8.0,2-19 yars,0.0,19.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,101.0,"Percent of population, crude",1,Percent of poverty level,76.0,5.1,Female,2013-2016,6.0,2-19 years,0.0,20.8,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,31.0,"Percent of population, crude",1,Total,5.0,5.1,Male,2003-2006,7.0,2-19y ears,0.0,20.9,0.9,-
Obesity among children and adolescents aged 2-19 years,2t-19 years,78.0,"Percent of population, crude",1,Percent of poverty level,28.0,5.1,Male,1999-2002,8.0,2-19 yeasr,0.0,19.4,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 yeares,83.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.1,2-19 years,2005-2008,9.0,2-19 yers,0.0,21.0,1.1,-
Obesity axmong children and adolescents aged 2-19 years,219 years,47.0,"Percent of population, crude",1,Total,5.0,5.1,Female,2015-2018,2.0,2-19 yars,0.0,23.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,51.0,"Percent of population, crude",1,Race and Hispanic origin,5.0,5.2,Female,1988-1994,83.0,2-19 ytears,0.0,10.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 yearxs,1.0,"Percent of population, crude",0,Percent of poverty level,14.0,5.2,2-19 years,2003-2006,2.0,2-19 yeas,0.0,15.3,1.3,-
Obesity among children and adolescents aged 2-19 years,219 years,72.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.2,Male,2007-2010,3.0,2-h19 years,0.0,16.7,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 yeadrs,2.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.2,Female,2001-2004,4.0,2-19 years,0.0,17.4,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19y years,85.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.2,2-19 years,2005-2008,4.0,2-5 years,0.0,18.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yaers,25.0,"Percent of population, crude",0,Race and Hispanic origin,5.0,5.2,2-19 years,2003-2006,6.0,2-19 yeasr,0.0,18.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,16.0,"Perecnt of population, crude",0,Race and Hispanic origin,5.0,5.2,2-19 years,2007-2010,7.0,p2-19 years,0.0,18.5,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,36.0,"Percetn of population, crude",1,Percent of poverty level,52.0,5.2,Female,2011-2014,2.0,2-19 yearqs,0.0,20.3,1.4,-
Obesity among children and adolescents aged 2-19 years,219 years,25.0,"Percent of population, crude",1,Sex and race and Hispanic origin,5.0,5.2,Male,2013-2016,6.0,2-q19 years,0.0,20.7,1.1,-
Oqbesity among children and adolescents aged 2-19 years,2-5 years,31.0,"Percent of population, crude",1,Percent of poverty level,39.0,5.2,2-19 years,2015-2018,3.0,2-19 years,0.0,21.7,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,69.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.3,Not Hispanic or Latino: White only,1988-1994,81.0,2-1 years,0.0,9.4,1.0,
Obesity among children and adolescents aged 2-19 ears,2-19 yers,65.0,"Percent of populatoin, crude",0,Percent of poverty level,5.0,5.3,2-19 years,1999-2002,8.0,2-5 years,0.0,14.0,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 yaers,94.0,"Percent of population, crude",1,Percent of poverty level,80.0,5.3,2-19 years,2009-2012,3.0,219 years,0.0,17.8,1.2,s-
Obesity among children and adolescents aged 2-19 years,2-19 years,83.0,"Percent of population, crude",1,Sex,5.0,5.3,2-19 years,2003-2006,7.0,2-19years,0.0,17.1,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,1.0,"Percent of population, crude",0,Sex,5.0,5.3,2-19 years,2003-2006,5.0,2-r19 years,0.0,16.0,1.4,***
Obesity among children and adolescents aged 2-19 years,2-19 yyears,60.0,"Percent of population, crude",1,Percent of poverty level,63.0,5.3,Female,2007-2010,8.0,2-5 years,0.0,16.7,1.1,b-
Obesity among children and adolescents aged 2-19 years,2-19 years,1.0,"Percent of population, crude",1,Percent of poverty level,83.0,5.3,Male,2015-2018,7.0,2-19 years,8.0,15.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 yers,26.0,"Percent of population, crude",1,Sex and race and Hispanic origin,5.0,5.3,2-19 years,2015-2018,8.0,2-19 yeears,0.0,16.4,1.7,-
Obesity among children and adolescents aged 2-19 years,-19 years,1.0,"Perxcent of population, crude",1,Race and Hispanic origin,5.0,5.3,2-19 years,2013-2016,3.0,2-19years,0.0,16.9,1.4,***
Obesity among children andadolescents aged 2-19 years,2-19 yeras,1.0,"Percent of population, crude",1,Race and Hispanic origin,5.0,5.3,2-19 years,2011-2014,10.0,2-19 yeiars,0.0,18.4,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 ydears,60.0,"Percent of population, crude",1,Percent of poverty level,50.0,5.4,Not Hispanic or Latino: Asian only,2007-2010,1.0,2-19 eyars,0.0,4.7,1.2,*
Obesity among children and adolescens aged 2-19 years,2-19w years,1.0,"Percent of population, crude",1,Sex,5.0,5.4,Male,1999-2002,93.0,2-19 yebars,0.0,12.6,1.4,
Obesity among children and adolescents aged 2-19 years,2k-19 years,71.0,"Percent of population, crude",1,Percent of poverty level,29.0,5.4,2-19 years,2007-2010,3.0,2-5 years,0.0,11.2,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,62.0,"Percent of population, crude",1,Percent of poverty level,34.0,5.4,Female,2003-2006,7.0,p2-19 years,0.0,11.0,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,32.0,"Percent of population, crude",1,Percent of poverty level,74.0,5.4,2-19 years,1999-2002,5.0,2-19 years,0.0,11.6,1.4,***
Obesity among children and adolescents aged 2-19 years,2-5 years,5.0,"Percent of population, crude",1,Race and Hispanic origin,5.0,5.4,2-19 years,2007-2010,5.0,2-19 years,0.0,11.9,1.3,v-
Obesity among children and adolescents aged 2-19 years,2-5 years,1.0,"Percent of population, crude",1,Total,5.0,5.4,Male,2009-2012,4.0,2-1 years,0.0,11.5,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 yeagrs,8.0,"Percent of population, crude",1,Percent of poverty level,5.0,5.4,2-19 years,2003-2006,8.0,2-19 yeasr,0.0,11.4,1.7,-
Obesity among children and adolescents aged 2-19 years,2-19 yeas,24.0,"Percent of population, crude",1,Percent of poverty level,92.0,5.4,Male: Not Hispanic or Latino: Black or African America,2005-2008,9.0,2-19z years,0.0,12.2,1.8,-
Obesity among children and adolescents aged 2-19 years,2-19 ayears,19.0,"Percent of population, crude",0,Sex,5.0,5.4,2-19 years,2015-2018,3.0,2-5 years,0.0,10.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex,1.0,1.1,Not Hispanic or Latino: Asian only,1988-1994,72.0,2-5 years,0.0,6.2,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex,1.0,35.1,Male,2011-2014,2.0,2-5 pyears,0.0,10.0,1.6,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",0,Race and Hispanic origin,1.0,1.1,2-19 years,2003-2006,3.0,2-5 years,0.0,13.1,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.1,2-19 years,2003-2006,8.0,2-5 years,0.0,12.8,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Total,1.0,1.1,2-19 years,2011-2014,5.0,2-5 yeas,0.0,9.8,1.1,-
Obesity among childrenu and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, cude",1,Race and Hispanic origin,1.0,1.1,2-19 years,2005-2008,6.0,2-19 years,0.0,11.9,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex,1.0,1.1,2-19 years,2003-2006,7.0,2-5 years,0.0,12.0,1.3,***
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex,1.0,62.1,Male,2001-2004,8.0,2-5 years,0.0,9.2,1.4,-
Obesity among cildren and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Total,1.0,1.1,2-19 years,2009-2012,9.0,2-5 eyars,0.0,11.5,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of populatino, crude",0,Sex,13.0,63.1,Male,2015-2018,2.0,2-5 yeairs,0.0,14.5,1.1,m-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex,1.0,1.2,Female,2001-2004,1.0,2-5 years,0.0,8.2,1.0,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.2,2-19 years,1999-2002,68.0,2-5 years,0.0,10.6,1.5,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.2,Male,2001-2004,26.0,2-5 years,0.0,11.7,1.6,j-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,1.0,1.2,2-19 years,2007-2010,4.0,2-5 years,0.0,12.2,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex,1.0,86.2,Female,2015-2018,5.0,2-5 years,0.0,11.2,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,1.0,1.2,2-19 years,2007-2010,7.0,2-5 years,0.0,10.2,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crujde",1,Sex,89.0,93.2,Female,1999-2002,7.0,2-5 years,0.0,8.4,1.4,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex,62.0,77.2,Female,2003-2006,8.0,2-5 years,0.0,8.6,1.3,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"ercent of population, crude",1,Sex and race and Hispanic origin,1.0,1.2,2-19 years,2015-2018,9.0,2-5 years,0.0,11.7,1.1,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Age,61.0,2.1,Not Hispanic or Latino: White only,2001-2004,1.0,2-5 years,0.0,7.2,0.7,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex,2.0,2.1,2-19 years,2001-2004,2.0,2-5 years,0.0,10.3,1.2,-
Obesity among children and adolescens aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,2.0,2.1,2-19 years,2011-2014,3.0,2-5 years,0.0,12.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,2.0,2.1,Male,2013-2016,4.0,2-5 years,0.0,12.5,1.0,
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent oyf population, crude",1,Sex,2.0,2.1,Male,1999-2002,5.0,2-5 years,0.0,10.5,0.9,h-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Age,2.0,2.1,2-5 years,2003-2006,6.0,2-5 years,0.0,11.1,0.8,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crde",1,Agve,2.0,2.1,2-5 years,2005-2008,7.0,2-5 years,0.0,10.2,0.9,-
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Sex,2.0,2.1,Male,2013-2016,8.0,2-5 years,0.0,8.9,0.9,
Obesity among children and adolescents aged 2-19 years,2-19 years,2.0,"Percent of population, crude",1,Abge,31.0,6.1,2-5 years,2005-2008,9.0,2-5 years,0.0,11.6,0.9,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of opulation, crude",1,Sex,2.0,2.1,Female,2001-2004,10.0,2-19 years,0.1,13.7,0.9,-
Obesity among children nad adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,3.11,Male,1988-1994,58.0,2-5 years,0.1,5.2,0.8,f-
Obesity among children and adolescents age 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex and race and Hispanic origin,3.0,3.11,2-19 years,1999-2002,12.0,2-19 years,0.1,8.7,1.5,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Sex,3.0,98.11,Not Hispanic or Latino: White only,2001-2004,5.0,m2-5 years,18.1,10.2,1.7,***
Obesity among children and adolescenst aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,72.0,3.11,2-19 years,2003-2006,2.0,2- years,49.1,10.8,1.6,g-
Obesity amogn children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,10.0,3.11,2-19 years,2005-2008,4.0,2-5 pyears,0.1,9.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,90.0,21.11,Not Hispanic or Latino: White only,2007-2010,10.0,2-5 yaers,73.1,9.0,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,62.0,14.11,Not Hispanic or Latino: White only,2009-2012,4.0,-5 years,0.1,6.4,1.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,43.0,51.11,Not Hispanic or Latino: White only,2011-2014,7.0,2-5 ygears,4.1,5.2,1.2,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,34.0,3.11,Not Hispanic or Latino: White only,2013-2016,1.0,2-19 years,0.1,9.9,1.7,s-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,48.0,3.11,Not Hispanic or Latino: White only,2015-2018,7.0,2-c5 years,75.1,12.4,1.4,-
Obesity among cihldren and adolescents aged 2-19 years,2-5 yeasr,2.0,"Percent of population, crude",1,Race and Hispanic origin,89.0,3.12,Not Hispanic or Latino: Black or African American only,1988-1994,22.0,-25 years,75.1,7.8,0.7,-
Obesity among children and adolescenst aged 2-19 years,25 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,50.0,3.12,Not Hispanic or Latino: Black or African American only,1999-2002,29.0,2-5 years,3.1,8.8,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,33.0,"Percent of population, crude",1,Race and Hispanic origin,46.0,23.12,Not Hispanic or Latino: Black or African American only,2001-2040,3.0,2-5 years,64.1,11.0,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 nyears,2.0,"Percent of population, crude",1,Race and Hispanic origin,20.0,91.12,Not Hispanic or Latino: Black or African American only,2003-2006,4.0,2- years,81.1,14.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 yeaprs,2.0,"xPercent of population, crude",1,Race and Hispanic origin,4.0,3.12,Not Hispanic or Latino: Black or African American only,p2005-2008,5.0,-5 years,23.1,14.0,1.5,-
Obesity among children and adolescentsg aged 2-19 years,2-5 years,2.0,"Percent of poplation, crude",1,Race and Hispanic origin,73.0,75.12,Not Hispanic or Latino: Black or African American only,2007-2010,6.0,2-5 eyears,6.1,15.0,2.1,***
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,30.0,67.12,Not Hispanic or Latino: Black or African American only,2009-2012,7.0,2-b5 years,1.1,14.7,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5 years,37.0,"Percent of population, crude",0,Race and Hispanic origin,77.0,8.120000000000001,Not Hispanic or Latino: Black or African American only,2011-2014,8.0,2-5 years,90.1,10.4,1.5,a-
Obesity among children and adolescents aged 2-19 years,2-5 years,70.0,"Percent of population, crude",1,Race and Hispanic origin,63.0,4.12,Not Hispanic or Latino: Black or African American only,2013-2016,9.0,2-5 years,57.1,11.6,2.2,-
Obesity among children and adolescents aged 2-19 years,2-5 years,83.0,"Percent of population, crude",1,Race and Hispanic origin,39.0,93.12,Not Hispanic or Latino: Black or African American only,2015-2018,10.0,2-5 years,61.1,12.5,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,35.0,3.13,Not Hispanic or Ltaino: Asian only,1988-1994,1.0,2- years,97.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",0,Race and Hispanic orgiin,3.0,26.13,Not Hispanic or Latino: Asian only,1999-2002,2.0,2-5 ypears,97.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,74.0,3.13,Not Hispanic or Latino: Asian onyl,2001-2004,3.0,2-5 yeasr,71.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,22.0,"Percent of population, crude",1,Race and Hispanic origin,40.0,24.13,Not Hispanic or Latino: Asian only,2003-2006,4.0,2-5 years,17.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,37.0,39.13,Not Hispanic or Latino: Asian only,2005-2080,5.0,2-5 yjears,46.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,66.0,3.13,Not Hispanic or Latino: Asian only,2007z-2010,6.0,2-5 yeasr,87.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5h years,2.0,"Percent of population, crude",1,Race and Hispanic origin,53.0,3.13,Not Hispanci or Latino: Asian only,2009-2012,7.0,2-5 yuears,89.1,17.9,1.4,y-
Obesity among children and adolescents aged 2-19 years,2-5 yearts,2.0,"Percent of population, crude",1,Race and Hispanic origin,32.0,3.13,Not Hispanic or Latino: Asian only,2011-2014,8.0,2-5 years,33.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,55.0,78.13,Not Hispanic or Latino: Asian only,2013-2016,9.0,2-l5 years,74.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,29.0,3.13,Not Hispanic or Latino: Asian only,2015-2018,10.0,2-5 yexars,28.1,17.9,1.4,*
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,21.0,3.21,Hispanic or Latino: All races,1988-1994,1.0,-5 years,63.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,42.0,3.21,Hispanic or Latino: All races,1999-2002,2.0,2-5 yeas,88.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, cude",1,Race and Hispanic origin,84.0,3.21,Hispanic or Latino: All races,2001-2004,99.0,2-5 yemars,31.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,45.0,3.21,Hispanic or Latino: All races,2003-2060,4.0,2-5 ears,94.1,17.9,1.4,-
Obesity among children and adolescentsq aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanic origin,64.0,3.21,Hispanic or Latino: All races,200-2008,5.0,2-5 ears,22.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race and Hispanilc origin,3.0,3.21,Hispanic or Latino: All races,2007-2010,6.0,2-5 ears,93.1,15.3,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,34.0,"Percent of population, crude",1,Race and Hispanic origni,3.0,3.21,Hispanic or Latino: All races,2009-2012,7.0,2-5 years,69.1,16.5,1.5,-
Obesity aong children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",0,Race and Hispani corigin,3.0,3.21,Hispanic or Latino: All races,2011-2014,8.0,2-5 yearys,65.1,15.6,1.6,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",0,Race and Hispanic origin,13.0,3.21,Hispanic or Latino: All races,2013-2016,9.0,-5 years,39.1,16.5,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Percent of population, crude",1,Race andH ispanic origin,3.0,3.21,Hispanic or Latino: All races,2015-2018,10.0,2- 5years,87.1,19.3,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,35.0,"Percent of population, crude",1,Race and Hispanic origin,68.0,3.22,Hispanic or Latino: Mexican: All races,1988-1994,96.0,2-5 years,54.1,12.3,1.1,
Obesity among children and adolescents aged 2-19 years,2-5 years,2.0,"Perent of population, crude",1,Raec and Hispanic origin,3.0,3.22,Hispanic or Latino: Mexican: All races,1999-2002,31.0,2-5 lyears,67.1,13.1,2.0,-
