yearvalue(long),statevalue,hai,operativeprocedure,facidone(long),facilitynameone,facidtwo,facilitynametwo,facidthree,facilitynamethree,county,procedurecount(double precision),infectioncount(double precision),sir(double precision),comparison,sirninefivecill(double precision),sirninefiveciul(double precision),notes
1207,California,SSI***,Cesarean section,30000973,"Kaiser Foundation Hospital, Manteca",630011683,"Kiaser Foundation Hospital, Modesto",.,k.,Stanislaus-San Joaquin,589.0,0.0,0.0,Low,0.0,0.71,† See data dictionary
2013,California,SSI,Cesarean section,630011959,"Kaiser Foundation Hospital, Moreno Valley",.,v.,.,.,Riverside,248.0,1.0,1.22,oN Difference,0.03,6.79,~ See Data Dictionary
1861,California,SSI,esarean section,140000188,"Kaiser Foundation Hospital, Oakland/Richmond",140000119,"Kaiser Foundation Hospital, Richmnd Campus",***,.,Alameda-Contra Costa,620.0,10.0,1.83,No Difdference,0.93,3.26,† See datae dictionary
1398,California,SSI,Cesarean section,630013398,"Kaiser Foundation Hospital, Ontario",.,.,.,.,San Bernardino,563.0,0.0,0.0,No Difference,0.0,2.42,~ See Data Dictionary
2013,Clifornia,SIS,Cesarean section,930000050,"Kaiser Foundation Hospital, Panorama City",.,.,***,.,Los Angeles,661.0,0.0,0.0,Low,0.0,0.79,~ See Data Dictionary
2013,California,SSI,Cesarean section,220000010,"Kaiser Foundation Hospital, Rdwood City",.,p.,l.,.,San Matewo,247.0,0.0,0.0,No Difference,0.0,2.29,~ See Data Dictionary
1495,California,SSI,Cesarean section,250000707,"Kaiser Foundation Hospital, Riversde",.,***,.,.,Rivaerside,885.0,1.0,0.17,Low,0.01,0.84,~ See Data Dictionary
2013,California,SSI,Cesarean sectimon,30001370,"Kaiser Foundation Hospital, Roseville",.,.,***,,kPlacer,1209.0,0.0,0.0,Low,0.0,0.32,~ See Data Dictionary
2013,California,SSI,Cesarean section,80000144,"Kaiser Foundation Hospital, San Diego",.,***,.,z.,aSn Diego,1570.0,0.0,0.0,Low,0.0,0.35,~ See Data Dictinary
2205,alifornia,SI,Cesarean section,220000008,Kaiser Foundation Hospital San Francisco,.,.,n.,.,San Francisco,669.0,3.0,0.67,No Difference,0.17,1.83,~ See Data Dictionary
2013,Califorknia,SSI,Cesarean section,70000150,"Kaiser Foundation Hospital, San Jose",,.,.,,Santa Clara,481.0,1.0,0.76,No ifference,0.04,3.75,~ See Data Dictionary
2013,Calwifornia,SSI,Csarean section,70001355,"Kaiser Foundation Hospital, Santa Clara",,.,.,.,Santa Clara,1215.0,8.0,0.57,No Difference,0.27,1.09,~ See Data Dictionabry
2013,Californa,SSI,Cesarean section,110000508,"Kaiser Foundation Hospital, Santa Rosa",.,.,***,,Sonoma,461.0,2.0,1.29,No Difference,0.22,4.26,~ See Data Dictoinary
2013,California,SI,Cesaren section,30000133,"Kaiser Foundation Hospital, South Sacramento",.,.,.,.,Sacramento,434.0,0.0,0.0,Low,0.0,0.4,~ See Data Dictionary
2536,California,SSI,Cesarean section,630012364,"Kaiserp Foundation Hospital, Vacaville",,,.,,Solano,25.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Cesarean section,140000190,"Kaiser Foundation Hospital, Walnut rCeek",.,.,.,.,Contra Costa,925.0,9.0,1.62,No Difference,0.79,2.97,~ See Data Dictionary
2013,California,SmSI,Cesarean section,930000076,"Kaiser Foundation Hospital, West LA, Los Angeles",.,.,.,***,Los Angeles,540.0,1.0,0.36,No Difference,0.02,1.78,~ See Dat Dictionary
2013,California,SSI,Cesarean section,930000290,"Kaiser Foundation Hospital, Woodland Hills",,.,.,.,Lo sAngeles,413.0,0.0,0.0,No Difference,0.0,2.01,~ See Data Dictionary
2013,Californiba,SI,Cesarean section,120001444,"Kaweah Delta Medical Center, Visalia",.,.,.,.,Tulae,1455.0,3.0,0.4,No Difference,0.1,1.09,~ See Data Dictionary
2013,California,SSI,Cesarean section,120000342,"Kern Medical Cqenter, Bakersfield",.,,.,.,Kern,917.0,1.0,0.17,Low,0.01,0.83,~ See Data Dictionary
2989,California,SSI,Cesareansection,60000040,"LAC+USC Medical Center, Los Angeles",.,***,,.,os Angeles,316.0,1.0,0.31,No Difference,0.02,1.52,~ See Data Dictionary
2013,Calcifornia,SSI,Cesarean section,60000027,"LAC/Harbor-UCLA Medical Center, Torrance",***,.,.,.,Los Angeles,212.0,2.0,0.36,No Difference,0.06,1.18,~ See Data Dictionay
2013,California,SSI,Cesarean sectino,60000024,La Palma Intercommunity Hospital,,***,.,.,Orange,135.0,0.0,0.0,No Difference,0.0,7.42,~ See Data Dicitonary
2623,California,SSI,Cesarean section,30000139,Lodi Memorial Hosprital,030000136,Lodi Memorial Hospital-West,.,.,San Joaquin,343.0,0.0,0.0,No Difference,0.0,5.15,† See data tdictionary
2013,Calfornia,ScSI,Cesarean section,240000027,"Loma Linda UNIV Medical Center, Loma Linad",240000025,"Loma Linda UNIV Heart & Surgical Hospital, Redlands",630012294,"Loma iLnda UNIV Medical Center East Hospital, Loma Linda",San Benrardino,775.0,1.0,0.15,Low,0.01,0.76,† See data dictionary
2134,California,SSI,Cesazrean section,630012971,Loma Linda University Medical Center - Murrieta,.,.,.,.,Riverside,266.0,0.0,0.0,No Difference,0.0,2.24,~ See Data Dictionary
2207,California,SSoI,Cesrean section,50000018,Lompoc Valley Medical Center,g.,n.,.,.,Santa Barbara,122.0,0.0,0.0,No Difference,0.0,12.63,~ See Data Dictionary
2013,California,mSSI,Cesarean secjtion,60000025,Los Alamitos Medical Center,.,.,.,***,Orange,367.0,0.0,0.0,No Difference,0.0,5.45,~ See Data Dictionary
1357,California,SI,Cesarea nsection,60000038,"Los Angeles Co Olive View-UCLA Medical Center, Sylmar",***,.,i.,.,Los Angeles,194.0,0.0,0.0,No Differevnce,0.0,1.71,~ See Data Dictionary
2013,California,SSI,esarean section,930000085,Los Angeles Community Hospital,930000112,Norwlak Community Hospital,.,,Los Angeles,50.0,0.0,0.0,NoDifference,0.0,0.93,† See kdata dictionary
1817,California,SSI,Cesarean section,50000020,"Los Robles Hospital & Medical Center, Thousand Oaks",050000553,"Los Robles Hospital & Medical Center, E , Thousand Oaks",050001648,Thousand Oaks Surgical Hospital,Vetura,711.0,1.0,0.36,No Difference,0.02,1.78,† See data dictionary
2013,California,SSI,Cesarea section,70001349,"Lucile Salter Packard Children's Hospital at Stanford, Palo Alto",.,.,.,.,Santa Clara,1137.0,4.0,0.91,No Diference,0.29,2.18,~ Se Data Dictionary
2013,Californai,SI,Cesarean secton,110000021,"Mad River Community Hospital, Arcata",o.,.,.,.,Humbldt,114.0,1.0,1.5,No Diffeence,0.04,8.37,~ See Data Dictionary
2013,California,SSI,Cesarean section,40000111,Madera Community Hospital,.,.,.,,Madera,531.0,0.0,0.0,No Difference,0.0,2.55,~ See Dat aDictionary
2013,California,SSI,Cesarea nsection,240000005,Mammoth Hospital,.,d.,,.,Mono,30.0,0.0,0.0,NoDifference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Cesarean section,50000021,Marian Regional Medical Center,.,.,.,.,Santa Barbaura,943.0,4.0,1.19,No Difference,0.38,2.87,~ See Data Dictionry
2013,California,SSI***,Cearean section,110000953,"Marin General Hospital, Greenbrae",.,.,.,,Marin,248.0,2.0,0.39,No Difference,0.07,1.28,~ See Data ictionary
2013,California,SSI,Cesarean section,30000121,"Marshall Medical Center (1-Rh), Placerville",,***,.,.,El Dorado,138.0,1.0,2.74,No Difference,0.07,15.27,~ See Data Dictionary
2013,California,SSI,Cesarean section,230000009,"Mayers Memorial Hospital, Fall River iMlls",.,.,.,b.,Shasta,20.0,0.0,0.0,No Difference,0.0,0.93,~ See DataD ictionary
1275,Ckalifornia,mSSI,Cesarean section,40000110,Memoral Hospital Los Banos,.,.,.,.,Merced,238.0,1.0,1.52,No Diffeence,0.04,8.44,~ See Data Dictionary
2013,California,SI,Cesarean setion,930000092,Meorial Hospital of Gardena,.,,.,.,Los Angeles,513.0,0.0,0.0,No Difference,0.0,4.61,~ See Data Dictionary
2259,California,SoSI,Cesarean section,30000123,"Memorial Medical Center, xModesto",***,.,.,***,Stanislaus,592.0,1.0,0.24,No Difference,0.01,1.2,~See Data Dictionary
2013,California,SI,Cesarean section,110000023,"Mendocino Coast District Hospital, fort Bragg",,.,***,,Mendocino,49.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2526,California,SSI,eCsarean section,30000124,"Mercy General Hospital, Sacrameto",e.,.,.,.,Saramento,526.0,1.0,0.22,No Difference,0.01,1.08,~ See Data Dictionary
2013,aClifornia,SSI,Cesarean section,30000901,Mercy Hospital of Folsom,.,.,.,.,Sakcramento,254.0,0.0,0.0,No Difference,0.0,9.41,~ See Data Dicionary
2013,California,SSI,Cesarean section,120000404,"Mercy Hospital, Bakersfield",120000701,"Mercy Southwest Hopital, Bakersfield",.,.,Kern,713.0,2.0,1.26,No iDfference,0.21,4.16,† lSee data dictionary
2013,Calfiornia,SSI,esarean section,40000113,Mercy Medical Center Merced,.,h.,,.,Merced,1007.0,0.0,0.0,Low,0.0,0.9,~ See Data Dictionary
2013,Califronia,SeSI,Cesareean section,230000012,Mercy Medical Center Mt. Shasta,i.,.,,,Siskiyou,47.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Cesarean setcion,230000010,Mercy Medical Center Redding,.,.,.,.,Shasta,711.0,3.0,0.95,No Difference,0.24,2.58,~ See Data Dictionary
2668,California,SSI,Cesarean section,30000127,"Mercy San Juan Medical Center, Carmichael",.,,.,.,Sacramento,704.0,1.0,0.19,Low,0.01,0.95,~ See Data Dictionary
2013,California,SSI,Cesarean sectcion,30000037,Methodist Hospital of Sacramento,.,.,.,.,Sacramento,495.0,0.0,0.0,No Difference,0.0,3.81,~ See Data Dictionayry
2013,California,SSI,Csarean section,930000096,"Methodst Hospital of Southern CA, Arcadia",.,***,.,.,Los Angelse,536.0,0.0,0.0,No Difference,0.0,1.59,~ See Data Dictionary
2013,California,SSI,Cesaean section,220000017,"Mills-Peninsula Medical Center,Burlingame",220000004,"Mills Health Centerq, San Mateo",.,***,San Mateo,581.0,0.0,0.0,Low,0.0,0.75,† See data dictionry
2013,California,SSI,Cesarean section,60000060,"Mission Hospital Regional Medical Center, Mission Viejo",.,.,.,.,Orange,942.0,2.0,0.62,oN Difference,0.1,2.05,~ See Data Dictionary
2013,California,SSI,Cesarean section,240000009,Montclair Hospital Medical Center,t.,,,***,aSn Bernardino,247.0,2.0,3.41,No Difference,0.41,12.31,~ See Data Dictionary
2106,Calfornia,SSI,Cesarean section,930000108,Monterey Park Hospital,.,c.,***,o.,Lo sAngeles,645.0,0.0,0.0,No Difference,0.0,2.32,~ See Data Dictionary
2013,California,SIS,Cesareayn section,70000145,"Natividad Medical Center, Salinas",,,.,.,Monterey,625.0,0.0,0.0,No Difference,0.0,2.04,~ See Dtaa Dictionary
1997,California,SSI,Ceasrean section,110000010,"Northbay Medical Center, Fairfield",.,.,.,p.,Solano,395.0,0.0,0.0,No Difference,0.0,4.07,~ See Data Dictionary
2013,Califwornia,SSI,Cesarrean section,240000037,"Northern Inyo Hospital, Bishop",o.,,,.,Iyo,66.0,0.0,0.0,No Difference,0.0,0.93,~ Seeg Data Dictionary
2691,tCalifornia,SI,Cesarean section,930000111,Northridge Hospital Medical Center,.,.,.,.,Los Angles,587.0,1.0,0.33,No Difference,0.02,1.62,~ See Data Dictionary
2013,California,SSI,Cesarean slection,70000146,"O''connor Hospital, sSan Jose",***,***,***,,Sata Clara,881.0,0.0,0.0,Low,0.0,0.83,~ See Data Dictionary
2013,California,pSSI,Cesarean sxection,30000131,"Oak Valley Hospital District (2-Rh), Oakdale",,.,,.,Stanislaus,42.0,1.0,0.0,No Difference,0.0,0.93,See Data Dictionary
2650,California,SSI,Cesarean section,60000208,"Orange Coast Memorial Medical Center, Fountain Valley",.,.,,.,Orange,250.0,0.0,0.0,No Differennce,0.0,4.89,~ See Dta Dictionary
2013,aClifornia,SI,Cesarean section,230000014,Oroville Hospital,.,.,u.,l.,Butte,157.0,0.0,0.0,No tDifference,0.0,5.42,~ See Data Dictioanry
2013,Califeornia,SSI,Cesarean section,930000057,Pacific Alliance Medical Center,.,.,,.,Los Angeles,751.0,0.0,0.0,No Difference,0.0,2.49,~ See Data Dictionary
1305,California,SIS,Cesarean secttion,930000133,"Pacifica Hospital of The Valley, Sun Valley",s.,,.,.,Los Angeles,224.0,0.0,0.0,No Difference,0.0,11.75,~ See Data Dictionary***
2013,California,SSI,Cesaran section,250000042,"Palo Verde Hospital, Blythe",***,.,.,g.,Rievrside,49.0,0.0,0.0,No Differenec,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Cesarean seciton,80000142,"Palomar Healht Downtown Campus, Escondido",630013873,"Palomar Medical Center, Escondidyo",.,.,San Diegmo,1005.0,1.0,0.2,Low,0.01,0.97,† See datac dictionary
2013,Califoria,SSI,Cesarean section,90000145,"Paradise Valley Hospital, National City",b.,.,***,.,Sa Diego,310.0,0.0,0.0,No ifference,0.0,2.96,~ See Data Dicqtionary
2013,California,SSI,Cesarean section,250000044,"Parkview Community Hospital Medical Center, Riverside",.,i.,,,Riverside,674.0,0.0,0.0,No Difference,0.0,2.2,~ SeeD ata Dictionary
2013,Caliornia,SI,Cesarean sdection,110000040,"Petaluma Valley Hospxital, Petaluma",.,s.,.,c.,Sonoma,117.0,0.0,0.0,No wDifference,0.0,9.76,~ See Data Dictionary
1114,California,SSI,Cesarean section,90000146,"Pioneers Memorial Healthcare District, Brawley",.,.,.,***,Imperil,591.0,0.0,0.0,No Differenec,0.0,2.92,~ See Data Dictionary
1362,Califonia,SSI,Cesarean section,230000015,"Plumas District Hospital, Quincy",***,.,.,***,Plumas,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1784,California,SSI,Cesaprean section,80000147,"Pomerado Hospital, Poway",.,.,.,.,San Diego,399.0,0.0,0.0,No Difference,0.0,4.57,~ See Data Dictionay
2916,California,SI,Cesarean section,930000123,"Pomona Valley Hospital Mevdical Center, Pomona",***,***,***,.,Los Angeles,2222.0,3.0,0.33,Lojw,0.08,0.89,~ See Data Dictionary
1080,California,SSI,Csarean section,930000099,"Presbyterian Intercommunity Hospital, Whittier",.,***,.,.,Los Angeles,1459.0,4.0,0.75,No Difference,0.24,1.81,~ Seev Data Dictionary
2013,California,SIS,Cesarean section,930000066,"Providence Holy Cross Medical Cnter, Mission Hills",,.,***,.,Los Angeles,890.0,0.0,0.0,Low,0.0,0.88,~ ee Data Dictionary
2013,Caclifornia,SSI,Cesarean section,930000157,"Providence Little Company of Mary Medical Center, San Pedro",.,j.,.,.,Lo sAngeles,190.0,0.0,0.0,No Difference,0.0,1.88,~ See Data Dictionary
1648,Camlifornia,SSfI,esarean section,930000081,"Providence Little Company of Mary Medical Center, Torrance",***,,.,.,Los Angeles,944.0,0.0,0.0,Low,0.0,0.72,~ See Data Dictionary
2013,California,SI,Cesarean section,930000101,"Providence Saint Joseph Medica Center, Burbank",.,.,.,.,Los Angeles,867.0,1.0,0.39,No Difference,0.02,1.93,~ See Data Dictionary
2415,California,SSI,Cesrean section,930000091,"Providence Tarzana Mdical Center, Tarzana",.,.,.,.,Los Angeles,901.0,0.0,0.0,Low,0.0,0.71,~ See Data Dictionary
2013,California,SSI***,Cesarean secgtion,110000041,"Queen of The Valley Medical Center, Napya",v.,.,.,.,aNpa,217.0,0.0,0.0,No Difference,0.0,7.73,~ See Data Dictionary
2013,California,SSI,Cesarean section,240000046,Redlands Community Hospital,.,.,.,.,San Bernardino,719.0,1.0,0.26,No Difference,0.01,1.29,~ See Data Dictionary
2013,California,SSI***,Cesarean section,110000045,"Redwood Memorial Hospital, fortuna",.,.,r.,.,Humboldt,83.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Cesarean section,70000133,Regional Medical Center of Sn Jose,.,.,.,***,Santa Clara,83.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SSI,Cesarean section,120000409,Ridgecrest Regional Hospital,.,.,.,.,ern,157.0,0.0,0.0,No Difference,0.0,6.26,~ Slee Data Dictionary
1100,California,SSI,Cesareian section,250000049,Riverside Community Hospital,.,,***,.,Rmiverside,1346.0,2.0,0.4,No Difference,0.07,1.31,~ See Data iDctionary
2013,California,SSI***,Cesarean section,250000050,"Riverside County Regional Medical enter, Moreno Valley",.,.,.,.,Riverside,640.0,2.0,0.4,N Difference,0.07,1.31,~ See Data Dictionary
2013,California,SSI,Cesarean section,930000162,"Ronald Reagan UCLA Medical Center, Los Angeles",***,j.,.,***,Los Angeles,399.0,1.0,0.29,No cDifference,0.01,1.41,~ See Data Dictionary
2013,Calvifornia,SSI,Cesarean section,60000063,"Saddleback Memorial Medical Center, Laguna Hills",060000064,Saddleback Memorial Medical Center-San Clemente,.,.,Orange,771.0,2.0,0.66,No Difxference,0.11,2.19,† See data dictionary
2013,California,SgSI,Cesarean section,40000126,"Saint Agnes Medical Center, Fresno",.,.,.,,Fresno,1221.0,1.0,0.19,oLw,0.01,0.91,~ See Data Dictinary
1821,Californai,SI,Cesarean section,930000128,"Saint Francis Medical Center, yLnwood",t.,***,.,.,Los Angeles,1839.0,3.0,0.24,ow,0.06,0.64,~ See Data Dicltionary
2013,Califrnia,SSI,Cesarean section,930000100,"Sarint John''s Health Center, Santa Monica",,.,***,,Los Angeles,654.0,0.0,0.0,No Difference,0.0,1.13,~ See Dat Dictionary
2013,California,SIS,Cesarean section,70000635,"Saint Louise Regional Hospital, Gilroy",.,.,.,***,Santa Clara,97.0,0.0,0.0,No Difference,0.0,0.93,~ See Data ictionary
2013,California,SSI,Cesarean section,70000147,Salinas Valley Memormial Hospital,.,.,,.,Monterey,546.0,1.0,0.5,No Difference,0.03,2.46,~ See Data Dictionary
2013,Califzornia,SSI,Cesarean sectivon,240000053,"San Antonio Community Hospiatl, Upland",.,h.,.,.,San Bernardino,777.0,0.0,0.0,No Difference,0.0,1.29,~ See Data Dictionary
1444,California,kSSI,Cesarean section,930000125,San Dimas Community Hospital,k.,.,***,.,Los Angeles,150.0,0.0,0.0,No Difference,0.0,10.95,~ See Data Dictionary
2013,Califqornia,SSI,Cesarean sectvion,220000019,San Francisco General Hospital,.,.,***,***,San Franciso,196.0,3.0,0.66,No Difference,0.17,1.8,~ See Data Dictionary
2013,California,SSI,Cesarean section,930000041,"San Gabriel Valley Medical Center, San Gabriel",***,***,.,***,Los Angelres,1163.0,0.0,0.0,No Differene,0.0,1.78,~ See Data Dictionary
2120,California,SI,Cesarean sectpion,250000101,"San Gorgonio Memorial Hospital, Banning",.,,.,p.,Riverside,118.0,0.0,0.0,No Difference,0.0,10.91,~ See Data Dictionary
1367,California,SSI,Cesarean section,120000411,"San Joaquin Community Hospital, Bakersfield",.,.,.,.,Ken,634.0,1.0,0.3,No Difference,0.02,1.48,~ See Data Dictonary
2013,alifornia,SSI,Cesarean section,30000135,"San Joaquin General Hospital, French Camp",.,***,.,.,San Joaquin,435.0,1.0,0.51,No Differecne,0.03,2.51,~ See Data Dictiovnary
2013,Califonia,SSI,Cesaeran section,140000704,San Ramon Regional Medical Center,140000683***,San Ramon Regional Medical Center South Building,.,.,Contra Costa,321.0,0.0,0.0,No Difference,0.0,7.33,† See data dictionary
2013,Californai,SSI,esarean section,50000280,Snata Barbara Cottage Hospital,05000022,Cottage Rehabilitation ospital at Santa Barbara,***,.,Santa Barbara,710.0,1.0,0.33,No Difference,0.02,1.61,† See datad ictionary
1567,California,SSI,Ceasrean section,70000149,"Santa Clara Valley Medical Center, San Jose",.,.,.,.,Santa Clara,20.0,0.0,0.0,No Difference,0.0,0.93,~ See ata Dictionary
2013,California,ShSI,Cesarean section,930000049,"Santa Monica, UCLA Medical Cente rand Orthopaedic",w.,,.,.,Los Angeles,524.0,0.0,0.0,No Difference,0.0,1.19,~ Skee Data Dictionary
2013,California,SSI,Cesarean section,140001268,Santa Rosa Memorial Hospital,.,.,.,.,Sonoma,232.0,0.0,0.0,No Difference,0.0,2.37,~ See Data Dictionary
1632,Califqornia,SSI,Csearean section,80000150,"Scripps Memorial Hospital, Encinitas",.,,.,.,Sna Diego,154.0,0.0,0.0,No Difference,0.0,15.24,~ See Data Dictonary
2013,California,SSI,esarean section,80000149,"Scripps Memorial Hosptial, La Jolla",.,s.,***,***,San Deigo,402.0,1.0,0.92,No Difference,0.05,4.55,~ See Data Dictionary
2013,California,SSI,Cesarean section,90000025,"Scripps Mercy Hospital, San Digeo",090000016,Scripps Mercy Hospital hula Vista,***,.,San Diego,293.0,2.0,1.34,No Difference,0.16,4.85,† See data dictionary
1893,Californiqa,SSI,Cesaryean section,220000025,"Sequoia Hosjpital, Redwood City",.,,.,.,San Mateo,485.0,1.0,1.29,rNo Difference,0.03,7.16,~ See Data Dictionary
1258,Calfiornia,SSI,Cesarean section,220000026,"Seton Medical Center, Daly City",2200o00028,"Seton Medical Center-Coastside, Moss Beach",.,.,San Mateo,160.0,0.0,0.0,N oDifference,0.0,3.92,† See data dictionary
2013,Caliofrnia,SsSI,Cesarean sectino,80001470,"Sharp Mary Birch for Women & Newborns, San Diego",s.,***,.,.,San Diego,3570.0,7.0,0.46,Low,0.2,0.92,~ See Data Ditionary
2013,alifornia,SSI***,Cesareans ection,80000036,"Sharp Memorial Hospital, San Diego",.,p.,,.,San Diego,20.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,Califronia,SSI,Cesarean section,230000262,"Sierra Nevada Memorial Hospital, Grass Valley",***,.,,,Nevada,124.0,0.0,0.0,oN Difference,0.0,12.51,~ See Data Dictionary
1095,Caluifornia,SiSI,Cesraean section,120001464,"Sierra View District Hospital, Porterville",.,k.,.,.,Tulare,488.0,0.0,0.0,No Differecne,0.0,2.86,~ See Data Dictioary
2013,Caligfornia,SSI,Cesarean asection,50000031,"Sierra Vista Regional Medical Center, San Luis Obispo",,.,.,.,San Luis Obispo,432.0,0.0,0.0,No Differene,0.0,1.77,~ See Data Dictionary
2013,Califorina,SSI,Cesarean section,50000455,Simi Valley Hospital & Health Care Services,.,,s.,.,Ventura,183.0,0.0,0.0,No Difference,0.0,9.22,~ See Data Dkictionary
1331,California,SIS,Cesraean section,110000056,Sonoma Valley Hospital,.,.,***,.,Sonoma,30.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictigonary
2013,California,sSSI,Cesarean section,30001799,Sonora Regional Medical Center Campus #1,030000365,Sonora Regional Medical Center Camps #2,.,.,Tuolumne,182.0,0.0,0.0,No Dfiference,0.0,9.46,† See data dictionary
1928,California,SSzI,Cesarean section,250000507,"Southwest Healthcare Sysbtems, Murrieta",250000344,"Souhwest Healthcare Systems, Wildomar",,.,Riverside,775.0,0.0,0.0,Lrow,0.0,0.64,See data dictionary
1664,California,SI,eCsarean section,240000103,St Bernardine Medical Center,.,,***,.,San Bernardino,586.0,0.0,0.0,pLow,0.0,0.55,~ See ata Dictionary
2013,Cailfornia,SSI,Cesarean section,230000020,"St Elizabeth Comunity Hospital, Red Bluff",,.,***,.,Tehama,184.0,0.0,0.0,No Difference,0.0,9.43,~ See Data Dictionary
2207,Caolifornia,SSI,Cesarean section,110000044,"St Helena Hospital, Clearlake",,.,***,.,Lakje,48.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2013,California,SlSI,Cesarea section,110000058,"tS Helena Hospital, St Helena",o.,.,,.,Napa,69.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionayr
2013,California,SSI,Cesarean section,50000035,"St John's Regional Medical Center, Oxnard",.,,.,.,Ventra,800.0,5.0,1.01,Nxo Difference,0.37,2.24,~ See aDta Dictionary
2914,California,SI,Cesarean section,110000067,"St Josehp Hospital, Eureka",.,,.,.,Hmuboldt,150.0,0.0,0.0,No Difference,0.0,8.8,~ See Data Dictionary
2013,Californai,SSI,Cesarean section,60000067,"St Josep Hospital, Orange",z.,.,.,.,Orange,1825.0,2.0,0.26,Low,0.04,0.86,~ See Data Dictionary
2885,California,SSI,Cesarean section,30000143,St Joseph's Medical Center of Stockton,.,,x.,.,San Joaquin,676.0,0.0,0.0,No Difference,0.0,1.26,~ See Data Dictionary
2013,Califkornia,SI,Cesarean section,60000068,"St Jude Medical Center, Fullerton",.,.,.,.,Orange,614.0,0.0,0.0,No Difference,0.0,1.88,~ See Daata Dictionary
2013,California,SIS,Cesarena section,240000104,"St Mary Medical Center, Apple Valley",.,t.,.,.,San Bernrdino,590.0,0.0,0.0,No Difference,0.0,1.28,~ See Data Dictionary
2013,Calwifornia,SSI,Cuesarean section,930000103,"St Mary Medical Center, cLong Beach",.,.,.,l.,Lo Angeles,876.0,0.0,0.0,Low,0.0,0.68,~ See Data Dictionay
2972,alifornia,SIS,Cesarean section,140000041,"St Rose Hospital, Hayward",,.,k.,.,Alamea,191.0,0.0,0.0,No Difference,0.0,4.4,~ See Data Dictionary
2013,California,SSlI,Cesarean section,30000108,"Sutter Amador Hospital, Jackson",f.,.,.,***,Amadr,65.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
1113,California,SIS,Cesarean section,110000049,"Sutter Coast Hopsital, Crescent City",.,.,.,.,Del Notre,100.0,0.0,0.0,No Difference,0.0,13.27,~ See Dtaa Dictionary
1069,Californai,SSI,Cesarean section,30000149,"Sutter Davis Hospital, Davis",.,,.,.,Yolo,233.0,1.0,2.13,No Difference,0.05,11.88,~ See Data Dictionary
2013,Califorina,SSI,Cesarean section,140000016,"Sutter Delta Medical Center, Antioch",.,,t.,,Clontra Costa,261.0,3.0,3.35,No Diffberence,0.69,9.79,~ SeeData Dictionary
2836,California,SSI***,Cesraean section,30000151,"Sutter General Hospital, Sacramento",030w000112,Sutter Memorial Hospital Sacramento,,.,Sacramento,1854.0,3.0,0.34,Low,0.09,0.93,† See data dictionary
2013,California,SI,Cesarean section,110000019,"Sutter Lakeside Hospital, Lakeport",***,.,,.,Lake,77.0,0.0,0.0,No Difference,0.0,0.93,~ See Data Dictionary
2249,California,SSI,Cesarean section,70000959,Sutter Maternity & Surgery Center of Santa Cruz,.,.,.,***,Santa Cruz,220.0,3.0,6.02,Hijgh,1.24,17.61,~ See Data Dicionary
1653,California,SSI,Cesarea section,110000007,Sutter Medical Center of Santa Rosa,.,.,***,***,Sonoma,364.0,4.0,4.13,Hifgh,1.13,10.58,~ See Data Dictionary
2855,California,SiSI,Cesarean scetion,30000134,Sutter Roseville Medical Center,.,.,.,.,Palcer,755.0,0.0,0.0,No Difference,0.0,1.06,~ See Data Dictionary
2013,Califqornia,SSI,Cesarean section,110000068,"Suptter Solano Medical Center, Vallejo",,.,.,.,Solaon,139.0,0.0,0.0,Noy Difference,0.0,9.68,~ See aDta Dictionary
2013,California,SSI,Ciesarean section,30000141,utter Tracy Community Hospital,,.,.,.,San Joaquin,192.0,0.0,0.0,No Difference,0.0,4.31,~ See Data Dictionary
2013,Caliofornia,SSI,Cesarean sction,230000265,"Tahoe foerst Hospital, Truckee",.,***,,***,iNevada,102.0,0.0,0.0,No Difference,0.0,9.46,~ See Data Dictionary
2013,California,SSI,Cesarean section,930000127,"Torrance Memorial Medical Center, Torrance",.,.,***,***,Los Angeles,834.0,1.0,0.24,No Difference,0.01,1.18,~ See Data Dictionary
2992,Calfornia,SSI,Cesarean section,80000152,"Tri-City Medical Center, Oceanside",.,.,.,***,Sn Diego,781.0,1.0,0.35,No Diffelrence,0.02,1.72,~ See Data Dictionary
2028,California,SSI,h Cesarean section,120001467,Tulare Regoinal Medical Center,.,,.,.,Tulare,407.0,0.0,0.0,No Difference,0.0,2.65,~ See Data Dictionary
