full_street_name,street_name,street_type,post_direction
CRAGMONT AVE,CRAGMONT,AVE,NULL
CRAGS CT,CRAGS,CT,NULL
CRAIG CT,CRAIG,CT,NULL
CRANE ST,CRANE,ST,NULL
CRANLEIGH DR,CRANLEIGH,DR,NULL
CRAUT ST,CRAUT,ST,NULL
CRESCENT AVE,CRESCENT,AVE,NULL
CRESCENT CT,CRESCENT,CT,NULL
CRESCENT WAY,CRESCENT,WAY,NULL
CRESCIO CT,CRESCIO,CT,NULL
CRESPI DR,CRESPI,DR,NULL
CRESTA VISTA DR,CRESTA VISTA,DR,NULL
CRESTLAKE DR,CRESTLAKE,DR,NULL
CRESTLINE DR,CRESTLINE,DR,NULL
CRESTMONT DR,CRESTMONT,DR,NULL
CRESTWELL WALK,CRESTWELL,WALK,NULL
CRISP RD,CRISP,RD,NULL
CRISSY FIELD AVE,CRISSY FIELD,AVE,NULL
CROAKER CT,CROAKER,CT,NULL
CROOK ST,CROOK,ST,NULL
CROSS ST,CROSS,ST,NULL
CROSSOVER DR,CROSSOVER,DR,NULL
CROWN CT,CROWN,CT,NULL
CROWN TER,CROWN,TER,NULL
CRYSTAL ST,CRYSTAL,ST,NULL
CUBA ALY,CUBA,ALY,NULL
CUESTA CT,CUESTA,CT,NULL
CULEBRA TER,CULEBRA,TER,NULL
CUMBERLAND ST,CUMBERLAND,ST,NULL
CUNNINGHAM PL,CUNNINGHAM,PL,NULL
CURTIS ST,CURTIS,ST,NULL
CUSHMAN ST,CUSHMAN,ST,NULL
CUSTER AVE,CUSTER,AVE,NULL
CUSTOM HOUSE PL,CUSTOM HOUSE,PL,NULL
CUTLER AVE,CUTLER,AVE,NULL
CUVIER ST,CUVIER,ST,NULL
CYPRESS ST,CYPRESS,ST,NULL
CYRIL MAGNIN ST,CYRIL MAGNIN,ST,NULL
CYRUS PL,CYRUS,PL,NULL
D ST,D,ST,NULL
DAGGETT ST,DAGGETT,ST,NULL
DAKOTA ST,DAKOTA,ST,NULL
DALEWOOD WAY,DALEWOOD,WAY,NULL
DANIEL BURNHAM CT,DANIEL BURNHAM,CT,NULL
DANTON ST,DANTON,ST,NULL
DANVERS ST,DANVERS,ST,NULL
DARIEN WAY,DARIEN,WAY,NULL
DARRELL PL,DARRELL,PL,NULL
DARTMOUTH ST,DARTMOUTH,ST,NULL
DASHIELL HAMMETT ST,DASHIELL HAMMETT,ST,NULL
DAVENPORT LN,DAVENPORT,LN,NULL
DAVIDSON AVE,DAVIDSON,AVE,NULL
DAVIS CT,DAVIS,CT,NULL
DAVIS ST,DAVIS,ST,NULL
DAWNVIEW WAY,DAWNVIEW,WAY,NULL
DAWSON PL,DAWSON,PL,NULL
DAY ST,DAY,ST,NULL
DE BOOM ST,DE BOOM,ST,NULL
DE FOREST WAY,DE FOREST,WAY,NULL
DE HARO ST,DE HARO,ST,NULL
DE LONG ST,DE LONG,ST,NULL
DE MONTFORT AVE,DE MONTFORT,AVE,NULL
DE SOTO ST,DE SOTO,ST,NULL
DE WOLF ST,DE WOLF,ST,NULL
DEARBORN ST,DEARBORN,ST,NULL
DECATUR ST,DECATUR,ST,NULL
DECKER ALY,DECKER,ALY,NULL
DEDMAN CT,DEDMAN,CT,NULL
DEEMS RD,DEEMS,RD,NULL
DEHON ST,DEHON,ST,NULL
DEL MONTE ST,DEL MONTE,ST,NULL
DEL SUR AVE,DEL SUR,AVE,NULL
DEL VALE AVE,DEL VALE,AVE,NULL
DELANCEY ST,DELANCEY,ST,NULL
DELANO AVE,DELANO,AVE,NULL
DELAWARE ST,DELAWARE,ST,NULL
DELGADO PL,DELGADO,PL,NULL
DELLBROOK AVE,DELLBROOK,AVE,NULL
DELMAR ST,DELMAR,ST,NULL
DELTA ST,DELTA,ST,NULL
DEMING ST,DEMING,ST,NULL
DENSLOWE DR,DENSLOWE,DR,NULL
DERBY ST,DERBY,ST,NULL
DESMOND ST,DESMOND,ST,NULL
DETROIT ST,DETROIT,ST,NULL
DEVONSHIRE WAY,DEVONSHIRE,WAY,NULL
DEWEY BLVD,DEWEY,BLVD,NULL
DEWITT RD,DEWITT,RD,NULL
DIAMOND ST,DIAMOND,ST,NULL
DIAMOND COVE TER,DIAMOND COVE,TER,NULL
DIAMOND HEIGHTS BLVD,DIAMOND HEIGHTS,BLVD,NULL
DIANA ST,DIANA,ST,NULL
DIAZ AVE,DIAZ,AVE,NULL
DICHA ALY,DICHA,ALY,NULL
DICHIERA CT,DICHIERA,CT,NULL
DICKINSON ST,DICKINSON,ST,NULL
DIGBY ST,DIGBY,ST,NULL
DIRK DIRKSEN PL,DIRK DIRKSEN,PL,NULL
DIVISADERO ST,DIVISADERO,ST,NULL
DIVISION ST,DIVISION,ST,NULL
DIXIE ALY,DIXIE,ALY,NULL
DOCK ST,DOCK,ST,NULL
DODGE ST,DODGE,ST,NULL
DOLORES ST,DOLORES,ST,NULL
DOLORES TER,DOLORES,TER,NULL
DOLPHIN CT,DOLPHIN,CT,NULL
DON CHEE WAY,DON CHEE,WAY,NULL
DONAHUE ST,DONAHUE,ST,NULL
DONNER AVE,DONNER,AVE,NULL
DORADO TER,DORADO,TER,NULL
DORANTES AVE,DORANTES,AVE,NULL
DORCAS WAY,DORCAS,WAY,NULL
DORCHESTER WAY,DORCHESTER,WAY,NULL
DORE ST,DORE,ST,NULL
DORIC ALY,DORIC,ALY,NULL
DORLAND ST,DORLAND,ST,NULL
DORMAN AVE,DORMAN,AVE,NULL
DORMITORY RD,DORMITORY,RD,NULL
DOUBLE ROCK ST,DOUBLE ROCK,ST,NULL
DOUGLASS ST,DOUGLASS,ST,NULL
DOVE LOOP,DOVE,LOOP,NULL
DOW PL,DOW,PL,NULL
DOWNEY ST,DOWNEY,ST,NULL
DR CARLTON B GOODLETT PL,DR CARLTON B GOODLETT,PL,NULL
DRAKE ST,DRAKE,ST,NULL
DRUMM ST,DRUMM,ST,NULL
DRUMMOND ALY,DRUMMOND,ALY,NULL
DUBLIN ST,DUBLIN,ST,NULL
DUBOCE AVE,DUBOCE,AVE,NULL
DUDLEY RD,DUDLEY,RD,NULL
DUKES CT,DUKES,CT,NULL
DUNCAN ST,DUNCAN,ST,NULL
DUNCOMBE ALY,DUNCOMBE,ALY,NULL
DUNNES ALY,DUNNES,ALY,NULL
DUNSHEE ST,DUNSHEE,ST,NULL
DUNSMUIR ST,DUNSMUIR,ST,NULL
DUTCH WINDMILL ACCESS RD,DUTCH WINDMILL ACCESS,RD,NULL
DWIGHT ST,DWIGHT,ST,NULL
E ST,E,ST,NULL
EAGLE ST,EAGLE,ST,NULL
EARL ST,EARL,ST,NULL
EASEMENT,EASEMENT,NULL,NULL
EAST RD,EAST,RD,NULL
EAST BEACH RD,EAST BEACH,RD,NULL
EAST CRYSTAL COVE TER,EAST CRYSTAL COVE,TER,NULL
EAST FORT MILEY RD,EAST FORT MILEY,RD,NULL
EASTMAN ST,EASTMAN,ST,NULL
EASTWOOD DR,EASTWOOD,DR,NULL
EATON PL,EATON,PL,NULL
ECKER ST,ECKER,ST,NULL
EDDY ST,EDDY,ST,NULL
EDGAR AVE,EDGAR,AVE,NULL
EDGARDO PL,EDGARDO,PL,NULL
EDGEHILL WAY,EDGEHILL,WAY,NULL
EDGEWOOD AVE,EDGEWOOD,AVE,NULL
EDIE RD,EDIE,RD,NULL
EDINBURGH ST,EDINBURGH,ST,NULL
EDITH ST,EDITH,ST,NULL
EDNA ST,EDNA,ST,NULL
EDWARD ST,EDWARD,ST,NULL
EGBERT AVE,EGBERT,AVE,NULL
EL CAMINO DEL MAR,EL CAMINO DEL MAR,NULL,NULL
EL DORADO ST,EL DORADO,ST,NULL
EL MIRASOL PL,EL MIRASOL,PL,NULL
EL PLAZUELA WAY,EL PLAZUELA,WAY,NULL
EL POLIN LOOP,EL POLIN,LOOP,NULL
EL SERENO CT,EL SERENO,CT,NULL
EL VERANO WAY,EL VERANO,WAY,NULL
ELDRIDGE ST,ELDRIDGE,ST,NULL
ELGIN PARK,ELGIN,PARK,NULL
ELIM ALY,ELIM,ALY,NULL
ELIZABETH ST,ELIZABETH,ST,NULL
ELK ST,ELK,ST,NULL
ELLERT ST,ELLERT,ST,NULL
ELLINGTON AVE,ELLINGTON,AVE,NULL
ELLIOT ST,ELLIOT,ST,NULL
ELLIS ST,ELLIS,ST,NULL
ELLSWORTH ST,ELLSWORTH,ST,NULL
ELM ST,ELM,ST,NULL
ELMHURST DR,ELMHURST,DR,NULL
ELMIRA ST,ELMIRA,ST,NULL
ELMWOOD WAY,ELMWOOD,WAY,NULL
ELSIE ST,ELSIE,ST,NULL
ELWOOD ST,ELWOOD,ST,NULL
EMERALD LN,EMERALD,LN,NULL
EMERALD COVE WAY,EMERALD COVE,WAY,NULL
EMERSON ST,EMERSON,ST,NULL
EMERY LN,EMERY,LN,NULL
EMIL LN,EMIL,LN,NULL
EMMA ST,EMMA,ST,NULL
EMMETT CT,EMMETT,CT,NULL
ENCANTO AVE,ENCANTO,AVE,NULL
ENCINAL WALK,ENCINAL,WALK,NULL
ENCLINE CT,ENCLINE,CT,NULL
ENGLISH ST,ENGLISH,ST,NULL
ENTERPRISE ST,ENTERPRISE,ST,NULL
ENTRADA CT,ENTRADA,CT,NULL
ERIE ST,ERIE,ST,NULL
ERKSON CT,ERKSON,CT,NULL
ERVINE ST,ERVINE,ST,NULL
ESCOLTA WAY,ESCOLTA,WAY,NULL
ESCONDIDO AVE,ESCONDIDO,AVE,NULL
ESMERALDA AVE,ESMERALDA,AVE,NULL
ESPANOLA ST,ESPANOLA,ST,NULL
ESQUINA DR,ESQUINA,DR,NULL
ESSEX ST,ESSEX,ST,NULL
ESTERO AVE,ESTERO,AVE,NULL
EUCALYPTUS DR,EUCALYPTUS,DR,NULL
EUCLID AVE,EUCLID,AVE,NULL
EUGENIA AVE,EUGENIA,AVE,NULL
EUREKA ST,EUREKA,ST,NULL
EVANS AVE,EVANS,AVE,NULL
EVE ST,EVE,ST,NULL
EVELYN WAY,EVELYN,WAY,NULL
EVERGLADE DR,EVERGLADE,DR,NULL
EVERSON ST,EVERSON,ST,NULL
EWER PL,EWER,PL,NULL
EWING TER,EWING,TER,NULL
EXCELSIOR AVE,EXCELSIOR,AVE,NULL
EXCHANGE PL,EXCHANGE,PL,NULL
EXECUTIVE PARK BLVD,EXECUTIVE PARK,BLVD,NULL
EXETER ST,EXETER,ST,NULL
EXPOSITION DR,EXPOSITION,DR,NULL
FAIR AVE,FAIR,AVE,NULL
FAIR OAKS ST,FAIR OAKS,ST,NULL
FAIRBANKS ST,FAIRBANKS,ST,NULL
FAIRFAX AVE,FAIRFAX,AVE,NULL
FAIRFIELD WAY,FAIRFIELD,WAY,NULL
FAIRMOUNT ST,FAIRMOUNT,ST,NULL
FAITH ST,FAITH,ST,NULL
FALLON PL,FALLON,PL,NULL
FALMOUTH ST,FALMOUTH,ST,NULL
FANNING WAY,FANNING,WAY,NULL
FARALLONES ST,FARALLONES,ST,NULL
FARGO PL,FARGO,PL,NULL
FARNSWORTH LN,FARNSWORTH,LN,NULL
FARNUM ST,FARNUM,ST,NULL
FARRAGUT AVE,FARRAGUT,AVE,NULL
FARVIEW CT,FARVIEW,CT,NULL
FAUNTLEROY LN,FAUNTLEROY,LN,NULL
FAXON AVE,FAXON,AVE,NULL
FEDERAL ST,FEDERAL,ST,NULL
FELIX AVE,FELIX,AVE,NULL
FELL ST,FELL,ST,NULL
FELL ACCESS RD,FELL ACCESS,RD,NULL
FELLA PL,FELLA,PL,NULL
FELTON ST,FELTON,ST,NULL
FENTON LN,FENTON,LN,NULL
FERN ST,FERN,ST,NULL
FERNANDEZ ST,FERNANDEZ,ST,NULL
FERNWOOD DR,FERNWOOD,DR,NULL
FIELDING ST,FIELDING,ST,NULL
MEADOW DR,MEADOW,DR,NULL
FILBERT ST,FILBERT,ST,NULL
FILLMORE ST,FILLMORE,ST,NULL
FINLEY RD,FINLEY,RD,NULL
01ST TI ST,01ST TI,ST,NULL
HOLLAND CT,HOLLAND,CT,NULL
FISHER ALY,FISHER,ALY,NULL
FISHER AVE,FISHER,AVE,NULL
FISHER LOOP,FISHER,LOOP,NULL
FITCH ST,FITCH,ST,NULL
FITZGERALD AVE,FITZGERALD,AVE,NULL
FLINT ST,FLINT,ST,NULL
FLOOD AVE,FLOOD,AVE,NULL
FLORA ST,FLORA,ST,NULL
FLORENCE ST,FLORENCE,ST,NULL
FLORENTINE AVE,FLORENTINE,AVE,NULL
FLORIDA ST,FLORIDA,ST,NULL
FLOUNDER CT,FLOUNDER,CT,NULL
FLOURNOY ST,FLOURNOY,ST,NULL
FLOWER ST,FLOWER,ST,NULL
FOERSTER ST,FOERSTER,ST,NULL
FOLSOM ST,FOLSOM,ST,NULL
FONT BLVD,FONT,BLVD,NULL
FONTINELLA TER,FONTINELLA,TER,NULL
FOOTE AVE,FOOTE,AVE,NULL
FORD ST,FORD,ST,NULL
FOREST RD,FOREST,RD,NULL
FOREST HILL PATH,FOREST HILL,PATH,NULL
FOREST KNOLLS DR,FOREST KNOLLS,DR,NULL
FOREST SIDE AVE,FOREST SIDE,AVE,NULL
FOREST VIEW DR,FOREST VIEW,DR,NULL
FORSYTH LN,FORSYTH,LN,NULL
FORT FUNSTON RD,FORT FUNSTON,RD,NULL
FORT MASON 10,FORT MASON 10,NULL,NULL
FORT MASON 12,FORT MASON 12,NULL,NULL
FORT MASON 13,FORT MASON 13,NULL,NULL
FORT MASON 15,FORT MASON 15,NULL,NULL
FORT MASON 16,FORT MASON 16,NULL,NULL
FORT MASON 17,FORT MASON 17,NULL,NULL
FORT MASON 18,FORT MASON 18,NULL,NULL
FORT MASON 19,FORT MASON 19,NULL,NULL
FORT MASON 20,FORT MASON 20,NULL,NULL
FORT MASON 21,FORT MASON 21,NULL,NULL
FORT MASON 8,FORT MASON 8,NULL,NULL
FORT MASON 9,FORT MASON 9,NULL,NULL
FORT MILEY 3,FORT MILEY 3,NULL,NULL
FORT MILEY 5,FORT MILEY 5,NULL,NULL
FORT MILEY 6,FORT MILEY 6,NULL,NULL
FORT MILEY 7,FORT MILEY 7,NULL,NULL
FORTUNA AVE,FORTUNA,AVE,NULL
FOUNTAIN ST,FOUNTAIN,ST,NULL
FOWLER AVE,FOWLER,AVE,NULL
FRANCE AVE,FRANCE,AVE,NULL
FRANCIS ST,FRANCIS,ST,NULL
FRANCISCO ST,FRANCISCO,ST,NULL
FRANCONIA ST,FRANCONIA,ST,NULL
FRANK NORRIS ST,FRANK NORRIS,ST,NULL
FRANKLIN ST,FRANKLIN,ST,NULL
FRATESSA CT,FRATESSA,CT,NULL
FREDELA LN,FREDELA,LN,NULL
FREDERICK ST,FREDERICK,ST,NULL
FREDSON CT,FREDSON,CT,NULL
FREELON ST,FREELON,ST,NULL
FREEMAN CT,FREEMAN,CT,NULL
FREMONT ST,FREMONT,ST,NULL
FRENCH CT,FRENCH,CT,NULL
FRESNEL WAY,FRESNEL,WAY,NULL
FRESNO ST,FRESNO,ST,NULL
FRIEDELL ST,FRIEDELL,ST,NULL
FRIENDSHIP CT,FRIENDSHIP,CT,NULL
FRONT ST,FRONT,ST,NULL
FUENTE AVE,FUENTE,AVE,NULL
FULTON ST,FULTON,ST,NULL
FUNSTON AVE,FUNSTON,AVE,NULL
FUNSTON RD,FUNSTON,RD,NULL
GABILAN WAY,GABILAN,WAY,NULL
GAISER CT,GAISER,CT,NULL
GALEWOOD CIR,GALEWOOD,CIR,NULL
GALILEE LN,GALILEE,LN,NULL
GALINDO AVE,GALINDO,AVE,NULL
GALLAGHER LN,GALLAGHER,LN,NULL
GALVEZ AVE,GALVEZ,AVE,NULL
GAMBIER ST,GAMBIER,ST,NULL
GARCES DR,GARCES,DR,NULL
GARCIA AVE,GARCIA,AVE,NULL
GARDEN ST,GARDEN,ST,NULL
GARDEN WAY,GARDEN,WAY,NULL
GARDENER RD,GARDENER,RD,NULL
GARDENSIDE DR,GARDENSIDE,DR,NULL
GARFIELD ST,GARFIELD,ST,NULL
GARLINGTON CT,GARLINGTON,CT,NULL
GARNETT TER,GARNETT,TER,NULL
GARRISON AVE,GARRISON,AVE,NULL
GATES ST,GATES,ST,NULL
GATEVIEW AVE,GATEVIEW,AVE,NULL
GATEVIEW CT,GATEVIEW,CT,NULL
GATEVIEW 1 CT,GATEVIEW 1,CT,NULL
GATEVIEW 2 CT,GATEVIEW 2,CT,NULL
GATEVIEW 3 CT,GATEVIEW 3,CT,NULL
GATUN ALY,GATUN,ALY,NULL
GAVEN ST,GAVEN,ST,NULL
GAVIOTA WAY,GAVIOTA,WAY,NULL
GEARY BLVD,GEARY,BLVD,NULL
GEARY ST,GEARY,ST,NULL
GELLERT DR,GELLERT,DR,NULL
COHEN PL,COHEN,PL,NULL
GENEBERN WAY,GENEBERN,WAY,NULL
GENERAL KENNEDY AVE,GENERAL KENNEDY,AVE,NULL
GENEVA AVE,GENEVA,AVE,NULL
GENNESSEE ST,GENNESSEE,ST,NULL
GENOA PL,GENOA,PL,NULL
GEORGE CT,GEORGE,CT,NULL
GEORGIA ST,GEORGIA,ST,NULL
GERKE ALY,GERKE,ALY,NULL
GERMANIA ST,GERMANIA,ST,NULL
GETZ ST,GETZ,ST,NULL
GGP ACCESS ROAD,GGP ACCESS ROAD,NULL,NULL
GIANTS DR,GIANTS,DR,NULL
GIBB ST,GIBB,ST,NULL
GIBBON CT,GIBBON,CT,NULL
GIBBON LN,GIBBON,LN,NULL
GIBSON RD,GIBSON,RD,NULL
GILBERT ST,GILBERT,ST,NULL
GILLETTE AVE,GILLETTE,AVE,NULL
GILMAN AVE,GILMAN,AVE,NULL
GILROY ST,GILROY,ST,NULL
GIRARD RD,GIRARD,RD,NULL
GIRARD ST,GIRARD,ST,NULL
GLADEVIEW WAY,GLADEVIEW,WAY,NULL
GLADIOLUS LN,GLADIOLUS,LN,NULL
GLADSTONE DR,GLADSTONE,DR,NULL
GLADYS ST,GLADYS,ST,NULL
GLEN CT,GLEN,CT,NULL
GLENBROOK AVE,GLENBROOK,AVE,NULL
GLENDALE ST,GLENDALE,ST,NULL
GLENHAVEN LN,GLENHAVEN,LN,NULL
GLENVIEW DR,GLENVIEW,DR,NULL
GLOBE ALY,GLOBE,ALY,NULL
GLORIA CT,GLORIA,CT,NULL
GLOVER ST,GLOVER,ST,NULL
GODEUS ST,GODEUS,ST,NULL
GOETHE ST,GOETHE,ST,NULL
GOETTINGEN ST,GOETTINGEN,ST,NULL
GOLD ST,GOLD,ST,NULL
GOLD MINE DR,GOLD MINE,DR,NULL
GOLDBERG LN,GOLDBERG,LN,NULL
GOLDEN CT,GOLDEN,CT,NULL
GOLDEN GATE AVE,GOLDEN GATE,AVE,NULL
GOLDING LN,GOLDING,LN,NULL
GOLETA AVE,GOLETA,AVE,NULL
GOLF COURSE ACCESS RD,GOLF COURSE ACCESS,RD,NULL
GONZALEZ DR,GONZALEZ,DR,NULL
GORDON ST,GORDON,ST,NULL
GORGAS AVE,GORGAS,AVE,NULL
GORHAM ST,GORHAM,ST,NULL
GOUGH ST,GOUGH,ST,NULL
GOULD ST,GOULD,ST,NULL
GRACE ST,GRACE,ST,NULL
GRAFTON AVE,GRAFTON,AVE,NULL
GRAHAM ST,GRAHAM,ST,NULL
GRANADA AVE,GRANADA,AVE,NULL
GRAND VIEW AVE,GRAND VIEW,AVE,NULL
GRAND VIEW TER,GRAND VIEW,TER,NULL
GRANT AVE,GRANT,AVE,NULL
GRANVILLE WAY,GRANVILLE,WAY,NULL
GRATTAN ST,GRATTAN,ST,NULL
GRAYSTONE TER,GRAYSTONE,TER,NULL
GREAT HWY,GREAT,HWY,NULL
GREELY CT,GREELY,CT,NULL
GREEN ST,GREEN,ST,NULL
GREENOUGH AVE,GREENOUGH,AVE,NULL
GREENVIEW CT,GREENVIEW,CT,NULL
GREENWICH CT,GREENWICH,CT,NULL
GREENWICH ST,GREENWICH,ST,NULL
GREENWOOD AVE,GREENWOOD,AVE,NULL
GRENARD TER,GRENARD,TER,NULL
GRIFFITH ST,GRIFFITH,ST,NULL
GRIJALVA DR,GRIJALVA,DR,NULL
GROTE PL,GROTE,PL,NULL
GROVE ST,GROVE,ST,NULL
GUERRERO ST,GUERRERO,ST,NULL
GUTTENBERG ST,GUTTENBERG,ST,NULL
GUY PL,GUY,PL,NULL
H ST,H,ST,NULL
HABITAT TER,HABITAT,TER,NULL
HAGIWARA TEA GARDEN DR,HAGIWARA TEA GARDEN,DR,NULL
HAHN ST,HAHN,ST,NULL
HAIGHT ST,HAIGHT,ST,NULL
HALE ST,HALE,ST,NULL
HALIBUT CT,HALIBUT,CT,NULL
HALLAM ST,HALLAM,ST,NULL
HALLECK ST,HALLECK,ST,NULL
HALYBURTON CT,HALYBURTON,CT,NULL
HAMERTON AVE,HAMERTON,AVE,NULL
HAMILTON ST,HAMILTON,ST,NULL
HAMLIN ST,HAMLIN,ST,NULL
HAMPSHIRE ST,HAMPSHIRE,ST,NULL
HANCOCK ST,HANCOCK,ST,NULL
HANGAH ST,HANGAH,ST,NULL
HANOVER ST,HANOVER,ST,NULL
HARBOR RD,HARBOR,RD,NULL
HARDIE AVE,HARDIE,AVE,NULL
HARDIE PL,HARDIE,PL,NULL
HARDING RD,HARDING,RD,NULL
HARE ST,HARE,ST,NULL
HARKNESS AVE,HARKNESS,AVE,NULL
HARLAN PL,HARLAN,PL,NULL
HARLEM ALY,HARLEM,ALY,NULL
HARLOW ST,HARLOW,ST,NULL
HARNEY WAY,HARNEY,WAY,NULL
HAROLD AVE,HAROLD,AVE,NULL
HARPER ST,HARPER,ST,NULL
HARRIET LN,HARRIET,LN,NULL
HARRIET ST,HARRIET,ST,NULL
HARRINGTON ST,HARRINGTON,ST,NULL
HARRIS PL,HARRIS,PL,NULL
HARRISON BLVD,HARRISON,BLVD,NULL
HARRISON ST,HARRISON,ST,NULL
HARRY ST,HARRY,ST,NULL
HARTFORD ST,HARTFORD,ST,NULL
HARVARD ST,HARVARD,ST,NULL
HASTINGS TER,HASTINGS,TER,NULL
HATTIE ST,HATTIE,ST,NULL
HAVELOCK ST,HAVELOCK,ST,NULL
HAVENS ST,HAVENS,ST,NULL
HAVENSIDE DR,HAVENSIDE,DR,NULL
HAWES ST,HAWES,ST,NULL
HAWKINS LN,HAWKINS,LN,NULL
HAWTHORNE ST,HAWTHORNE,ST,NULL
HAYES ST,HAYES,ST,NULL
HAYS ST,HAYS,ST,NULL
HAYWARD ST,HAYWARD,ST,NULL
HAZELWOOD AVE,HAZELWOOD,AVE,NULL
HEAD ST,HEAD,ST,NULL
HEALY AVE,HEALY,AVE,NULL
HEARST AVE,HEARST,AVE,NULL
HEATHER AVE,HEATHER,AVE,NULL
HELEN ST,HELEN,ST,NULL
HELENA ST,HELENA,ST,NULL
HEMLOCK ST,HEMLOCK,ST,NULL
HEMWAY TER,HEMWAY,TER,NULL
HENRY ST,HENRY,ST,NULL
HENRY ADAMS ST,HENRY ADAMS,ST,NULL
HERITAGE LN,HERITAGE,LN,NULL
HERMANN ST,HERMANN,ST,NULL
HERNANDEZ AVE,HERNANDEZ,AVE,NULL
HERON ST,HERON,ST,NULL
HESTER AVE,HESTER,AVE,NULL
HEYMAN AVE,HEYMAN,AVE,NULL
HICKORY ST,HICKORY,ST,NULL
HICKS RD,HICKS,RD,NULL
HIDALGO TER,HIDALGO,TER,NULL
HIGH ST,HIGH,ST,NULL
HIGHLAND AVE,HIGHLAND,AVE,NULL
HIGUERA AVE,HIGUERA,AVE,NULL
HILIRITAS AVE,HILIRITAS,AVE,NULL
HILL DR,HILL,DR,NULL
HILL ST,HILL,ST,NULL
HILL POINT AVE,HILL POINT,AVE,NULL
HILLCREST CT,HILLCREST,CT,NULL
HILLCREST RD,HILLCREST,RD,NULL
HILLSIDE LN,HILLSIDE,LN,NULL
HILLVIEW CT,HILLVIEW,CT,NULL
HILLWAY AVE,HILLWAY,AVE,NULL
HILTON ST,HILTON,ST,NULL
HIMMELMANN PL,HIMMELMANN,PL,NULL
HITCHCOCK LN,HITCHCOCK,LN,NULL
HITCHCOCK ST,HITCHCOCK,ST,NULL
HOBART ALY,HOBART,ALY,NULL
HODGES ALY,HODGES,ALY,NULL
HOFF ST,HOFF,ST,NULL
HOFFMAN AVE,HOFFMAN,AVE,NULL
HOFFMAN ST,HOFFMAN,ST,NULL
HOLLADAY AVE,HOLLADAY,AVE,NULL
HOLLIS ST,HOLLIS,ST,NULL
HOLLISTER AVE,HOLLISTER,AVE,NULL
HOLLOWAY AVE,HOLLOWAY,AVE,NULL
HOLLY PARK CIR,HOLLY PARK,CIR,NULL
HOLLYWOOD CT,HOLLYWOOD,CT,NULL
HOLYOKE ST,HOLYOKE,ST,NULL
HOMER ST,HOMER,ST,NULL
HOMESTEAD ST,HOMESTEAD,ST,NULL
HOMEWOOD CT,HOMEWOOD,CT,NULL
HOOKER ALY,HOOKER,ALY,NULL
HOOPER ST,HOOPER,ST,NULL
HOPKINS AVE,HOPKINS,AVE,NULL
HORACE ST,HORACE,ST,NULL
HORNE AVE,HORNE,AVE,NULL
HOTALING PL,HOTALING,PL,NULL
HOUSTON ST,HOUSTON,ST,NULL
HOWARD CT,HOWARD,CT,NULL
HOWARD RD,HOWARD,RD,NULL
HOWARD ST,HOWARD,ST,NULL
HOWTH ST,HOWTH,ST,NULL
HUBBELL ST,HUBBELL,ST,NULL
HUDSON AVE,HUDSON,AVE,NULL
HUGO ST,HUGO,ST,NULL
HULBERT ALY,HULBERT,ALY,NULL
HUMBOLDT ST,HUMBOLDT,ST,NULL
HUNT ST,HUNT,ST,NULL
HUNTER RD,HUNTER,RD,NULL
HUNTER ST,HUNTER,ST,NULL
HUNTERS POINT BLVD,HUNTERS POINT,BLVD,NULL
HUNTERS POINT EXPY,HUNTERS POINT,EXPY,NULL
HUNTINGTON DR,HUNTINGTON,DR,NULL
HURON AVE,HURON,AVE,NULL
HUSSEY ST,HUSSEY,ST,NULL
HUTCHINS CT,HUTCHINS,CT,NULL
HWY 1 NORTHBOUND,HWY 1 NORTHBOUND,NULL,NULL
HWY 1 SOUTHBOUND,HWY 1 SOUTHBOUND,NULL,NULL
HWY 1 TO HWY 101 NORTHBOUND RAMP,HWY 1 TO HWY 101 NORTHBOUND,RAMP,NULL
HWY 1 TO HWY 101 SOUTHBOUND RAMP,HWY 1 TO HWY 101 SOUTHBOUND,RAMP,NULL
HWY 101 N OFF RAMP,HWY 101 N OFF,RAMP,NULL
HWY 101 N ON RAMP,HWY 101 N ON,RAMP,NULL
HWY 101 NORTHBOUND,HWY 101 NORTHBOUND,NULL,NULL
HWY 101 NORTHBOUND RAMP,HWY 101 NORTHBOUND,RAMP,NULL
HWY 101 S OFF RAMP,HWY 101 S OFF,RAMP,NULL
HWY 101 S ON RAMP,HWY 101 S ON,RAMP,NULL
HWY 101 SOUTHBOUND,HWY 101 SOUTHBOUND,NULL,NULL
HWY 101 SOUTHBOUND RAMP,HWY 101 SOUTHBOUND,RAMP,NULL
HWY 101 TO HWY 1 RAMP,HWY 101 TO HWY 1,RAMP,NULL
HWY 101 TO I-280 RAMP,HWY 101 TO I-280,RAMP,NULL
HWY 101 TO I-80 RAMP,HWY 101 TO I-80,RAMP,NULL
HYDE ST,HYDE,ST,NULL
I ST,I,ST,NULL
I-280 N OFF RAMP,I-280 N OFF,RAMP,NULL
I-280 N ON RAMP,I-280 N ON,RAMP,NULL
I-280 NORTHBOUND,I-280 NORTHBOUND,NULL,NULL
I-280 S OFF RAMP,I-280 S OFF,RAMP,NULL
I-280 S ON RAMP,I-280 S ON,RAMP,NULL
I-280 SOUTHBOUND,I-280 SOUTHBOUND,NULL,NULL
JUANITA WAY,JUANITA,WAY,NULL
I-280 TO HWY 101 RAMP,I-280 TO HWY 101,RAMP,NULL
