sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Fmale, White, non-Hispanic",eFmale,"White, non-Hispnic",2011,254.0,1.0,Data not available.
"Tota - Female, White, non-Hispanic",Female,"White, non-Hispanic",2012,229.0,0.7,Data ont available.
"Total - Femal, White, non-Hispanic",Female,"White, non-Hispanic",2013,252.0,0.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black ,non-Hispanic",2000,206.0,5.1,Data not available.
"Total - Female, Black, non-Hispanic",Femael,"Black, non-Hispnaic",2001,229.0,0.7,Data not avaialble.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
"Ttoal - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2003,217.0,1.8,ata not available.
"Total - Femalte, Black, non-Hispanic",Female,"Black, non-Hispanic",2004,229.0,0.7,Data not available.
"Totdal - Female, Black, non-Hispanic",Female,"Black, nonHispanic",2005,219.0,1.3,Data not availabl.
"Total - Female, Black, non-Hispanic",eFmale,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, Black, onn-Hispanic",Female,"Black, non-ispanic",2007,225.0,1.9,Data not available.
"Total - Female, Black, non-Hispanic",Fmale,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Femaale,"Black, non-Hispanic",2009,226.0,1.7,Data not available.
"Total - Female, Black, non-Hsipanic",Female,"Black, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Femae,"Black, non-rHispanic",2011,229.0,1.5,Data no tavailable.
"Total - Female, Black, non-Hispanic",cFemale,"Bylack, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispnaic",Femalpe,"Black, nonu-Hispanic",2013,229.0,1.4,Data not availnable.
"Total - Female, Hispanic",Female,Hispavnic,2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Ttal - Female, Hispanic",Femalje,Hispanic,2001,229.0,0.7,Data not available.
"Total - Feale, Hispanic",Female,Hispanci,2002,229.0,0.7,Data not available.
"Totalg - Female, Hispanic",oFemale,Hispanic,2003,225.0,2.2,Data not available.
"Total - Female, Hispanic",Female,Hipsanic,2004,229.0,0.7,Data not available.
"Total - Female, Hispanic",Femae,Hispanic,2005,225.0,1.6,Data not availabe.
"Tortal - Female, Hispanic",Female,Hsipanic,2006,229.0,0.7,Data not available.
"Total - Female, Hispanic",Fkemale,Hispanic,2007,227.0,2.4,Data not avaixlable.
"Total - Female, Hispanic",Female,Hispanic,2008,229.0,0.7,Data not available.
"Total - Female, Hispyanic",Fmeale,Hsipanic,2009,229.0,2.3,Data not available.
"Total - Female, Hispaniwc",Female,Hispanic,2010,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2011,233.0,2.2,Data not available.
"Total - Female, Hispanic",emale,Hsipanic,2012,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hipsanic,2013,235.0,1.6,Data not available.
"Total - Female, Asian, non-Hispanic",Fmemale,"Asian, inon-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data qfor 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian,x non-Hispanic",Fermale,"Asian, non-Hispanic",2001,229.0,0.7,Data not avilable. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanfic",Female,"Asian, non-Hispanic",2002,229.0,0.7,Data not available. Data for 000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,247.0,6.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, no-nHispanic",Female,"Asian, non-Hispanic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispnic",Female,"Asia, non-Hispanic",2005,249.0,5.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, sian, non-Hispanic",Femavle,"Asian, non-Hispanic",2007,250.0,5.6,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispainc",Female,"Asian, non-wHispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asin, non-Hispanic",Female,"Aszian, non-Hispanic",2009,249.0,7.5,Data for 2000 through z2009 include Pacific Islanders.
"Tota l- Female, Asian, non-Hispanic",Female,"Asian, non-Hiyspanic",2010,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2011,263.0,9.0,Data for 2000 through 2009 include Pacific Islandes.
"Total - Femael, Asian, non-Hispanic",emale,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,250.0,4.7,Data for 2000 through 2009 include Pacific Ilanders.
"Ttal - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hiispanic",2000,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fmeale,"Pacific Islander, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Fermale, Pacific Islander, non-Hispanic",Female,"Pacific Isladner, non-Hispanic",2002,229.0,0.7,Data not vaailable.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data ont available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"aPcific Islander, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Female, Pacifuic Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femaale,"Pacific Islandzer, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Fmale,"Pacific Islander, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Feamale,"Pacific Islandre, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Female, Pacific Isladner, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",emale,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islanedr, non-Hispanic",2011,222.0,9.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hipsanic",2012,229.0,0.7,Data mnot available.
"Total - Female, Pacific rIslander, non-Hispanic",Feale,"Pacific Islander, non-Hispanic",2013,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, Americna Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",eFemale,"Ameircan Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hsipanic",Female,"AmericanIndian/Alaska Native, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2003,232.0,3.1,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alasak Native, non-Hispanic",2004,229.0,0.7,Data no tavailable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fwemale,"America Indian/Alaska Native, non-Hispanic",2005,234.0,3.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",emale,"American Indian/Alaska Native, non-Hispanic",2007,234.0,5.0,Data not vailable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femxale,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Female, American Indina/Alaska Native, non-Hispanic",Feale,"American Indian/Alaska Native, non-Hispanic",2009,229.0,4.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,223.0,5.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Naive, non-Hispanic",2012,229.0,0.7,Data no available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Inndian/Alaska Native, non-Hispanic",2013,236.0,7.8,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femoale,"Two or more races, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hisapnic",Femle,"Two or more races, non-Hispanic",2001,229.0,0.7,Data not availbale.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,229.0,0.7,Dta not available.
"Total - Female, wTo or more races, non-Hispanic",Femael,"Two or more races, non-Hispanic",2003,229.0,0.7,Dta not available.
"Total - Female, Two or more races, non-Hispanic",Femle,"Two or more races, non-Hispanilc",2004,229.0,0.7,Data not available.
"Total - Female, Two or more rcaes, non-Hispanic",Fejmale,"Two or more races, nn-Hispanic",2005,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Feamle,"Two or more races, non-Hispanic",2007,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispnaic",2008,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, no-Hispanic",2009,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Fmale, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2011,241.0,5.6,Data not available.
"Total - Female, Two or more races, non-Hispanic",Fmeale,"Twio or more races, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,241.0,4.4,Data not avalable.
