OBJECTID,HMA_NAME,HMA_ID,ADMIN_ST,ADM_UNIT_CD,ADMIN_AGCY,HERD_TYPE,OBJECTID_1,HMA_NM,ADMIN_ST_1,HMA_IDENTIFIER,TRANSFER_ACRES,BLM_ACRES,TOTAL_ACRES,HORSE_AML_LOW,HORSE_AML_HIGH,EST_HORSE_POP,PERCENT_AML_HORSE_SYBL_ONLY,BURRO_AML_LOW,BURRO_AML_HIGH,EST_BURRO_POP,POP_INVENTORY_DT,LAST_GATHER_DT,MOST_RECENT_AML_YR,MESSAGE,WEBSITE_URL,PERCENT_AML_HORSE_MAPTIP,PERCENT_AML_BURRO_MAPTIP,PERCENT_AML_BURRO_SYBL_ONLY,SHAPE_Length,SHAPE_Area
79,Jackies Butte,OR0015,OR,ORV00000,BLM,HORSE,,JACKIES BUTTE,,OR0015,0,65211,65251,75,150,90,50,0,0,0,2015/06/01 00:00:00+00,2012/08/01 00:00:00+00,2016,,http://www.blm.gov/or/resources/whb/herd-manage.php,Within AML,,,0.811895399655772,0.0289934530805088
80,Jackson Mountains,NV0208,NV,NVW03000,BLM,HORSE,,JACKSON MOUNTAINS,,NV0208,0,276634,283775,130,217,510,235.023041474654,0,0,0,2012/05/01 00:00:00+00,2012/07/01 00:00:00+00,2007,,Webpage does not exist at this time.,235%,,,1.78745068677943,0.115165579121369
81,Johnnie,NV0510,NV,NVS03000,BLM,BOTH,,JOHNNIE,,NV0510,0,177237,179368,0,0,43,99999,65,108,199,2015/05/01 00:00:00+00,2014/12/01 00:00:00+00,2007,,http://www.blm.gov/style/medialib/blm/nv/field_offices/las_vegas_field_office/wild_horse___burro/las_vegas_herd_management.Par.80251.File.dat/johnnie.pdf,Not designated for horses,184%,184.259259259259,2.07143883952773,0.0731569394898552
82,Kamma Mountains,NV0214,NV,NVW03000,BLM,HORSE,,KAMMA MOUNTAINS ,,NV0214,0,54410,57390,46,77,153,198.701298701299,0,0,0,2015/01/01 00:00:00+00,2013/08/01 00:00:00+00,2006,,Webpage does not exist at this time.,199%,,,0.706796957932029,0.0196636517884167
83,Kiger,OR0010,OR,ORB00000,BLM,HORSE,,KIGER (from OR0020 & OR0038) ,,OR0010,7745,19998,30305,51,82,49,96.078431372549,0,0,0,2015/09/01 00:00:00+00,2015/09/01 00:00:00+00,2016,,http://www.blm.gov/or/resources/whb/herd-manage.php,96%,,,0.932333375683204,0.0135357314430334
84,Kingtop,UT0554,UT,UTW02000,BLM,Horse,,KINGTOP,,UT0554,0,161569,171467,20,40,10,50,0,0,0,2006/02/01 00:00:00+00,,2016,,Webpage does not exist at this time.,Within AML,,,1.08892449920362,0.0720688700165642
85,Lahontan,NV0306,NV,NVC02000,BLM,HORSE,,LAHONTAN,,NV0306,0,6937,9578,7,10,101,1010,0,0,0,2012/05/01 00:00:00+00,2010/11/01 00:00:00+00,2004,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/wild_horse_and_burro/lahontan_hma.html,1010%,,,0.346699117317246,0.00404708273216308
86,Lake Pleasant,AZ0006,AZ,AZP01000,BLM,BURRO,,LAKE PLEASANT,,AZ0006,,60836,103473,0,0,0,,166,208,552,2014/04/01 00:00:00+00,2015/09/01 00:00:00+00,2001,,http://www.blm.gov/az/st/en/prog/whb/hmas/lk_pleasant.html,,265%,265.384615384615,1.13071076206742,0.0408434216742773
87,Lava Beds,NV0215,NV,NVW01000,BLM,BOTH,,LAVA BEDS ,,NV0215,0,232940,233000,89,148,386,260.810810810811,10,16,350,2015/01/01 00:00:00+00,2005/12/01 00:00:00+00,2006,"HMA contains both horses and burros, see other layer for additional population information",Webpage does not exist at this time.,261%,2188%,2187.5,2.07774894738242,0.0922191888293971
88,Lee Flat,CA0652,CA,CAD05000,BLM,BURRO,,LEE FLAT,,CA0652,47171,71964,73380,0,0,0,,12,15,0,2009/10/01 00:00:00+00,2001/10/01 00:00:00+00,2016,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-652.html,,0%,0,0.827012093078654,0.0298097885458212
89,Liggett Table,OR0037,OR,ORP00000,BLM,HORSE,,LIGGETT TABLE,,OR0037,0,28098,28849,10,25,42,168,0,0,0,2009/08/01 00:00:00+00,2009/09/01 00:00:00+00,2013,,http://www.blm.gov/or/resources/whb/herd-manage.php,168%,,,0.534211728921596,0.0130927108789091
90,Little Book Cliffs,CO0766,CO,CON03000,BLM,HORSE,,LITTLE BOOK CLIFFS WILD HORSE RANGE,,CO0766,,35178,36100,90,150,150,100,0,0,0,2016/01/01 00:00:00+00,2013/09/01 00:00:00+00,2016,,http://www.blm.gov/co/st/en/fo/gjfo/recreation/bookcliffs_area_page/little_bookcliffs.html,100%,,,0.862168001705663,0.0151941456701582
91,Little Colorado,WY0039,WY,WYD04000,BLM,HORSE,,LITTLE COLORADO (into WY0003) (6),,WY0039,,525421,630029,69,100,396,396,0,0,0,2015/02/01 00:00:00+00,2011/08/01 00:00:00+00,2013,,http://www.blm.gov/wy/st/en/field_offices/Rock_Springs/wildhorses/litcolo.html,396%,,,3.10863155933145,0.278349515088275
92,Little Fish Lake,NV0614,NV,NVB01000,BLM,HORSE,,LITTLE FISH LAKE,,NV0614,85007,28122,28744,24,39,72,184.615384615385,0,0,0,2014/03/01 00:00:00+00,2015/02/01 00:00:00+00,2006,,Webpage does not exist at this time.,185%,,,0.481204920303814,0.0120781235624184
93,Little Humboldt,NV0102,NV,NVE02000,BLM,HORSE,,LITTLE HUMBOLDT,,NV0102,0,15741,17152,48,80,29,60.4166666666667,0,0,0,2014/09/01 00:00:00+00,2010/07/01 00:00:00+00,2016,,http://www.blm.gov/nv/st/en/fo/elko_field_office/blm_programs/wild_horse_and_burro/hmas/littlehumboldt_hma.html,60%,,,0.409958485942036,0.00747259485783909
94,Little Owyhee,NV0200,NV,NVW01000,UNK,UNK,,LITTLE OWYHEE,,NV0200,0,452518,460284,194,298,1316,441.610738255034,0,0,0,2014/09/01 00:00:00+00,2012/12/01 00:00:00+00,2013,,Webpage does not exist at this time.,442%,,,2.11180440795855,0.2007264307106
95,Lost Creek,WY0035,WY,WYD03000,BLM,HORSE,,"LOST CREEK (from WY0010 & WY0033) (3, 6)",,WY0035,,235968,251013,60,82,250,304.878048780488,0,0,0,2015/04/01 00:00:00+00,2011/11/01 00:00:00+00,2012,,Webpage does not exist at this time.,305%,,,1.90529355490966,0.110849880722993
96,Marietta,NV0316,NV,NVC01000,BLM,BURRO,,MARIETTA WILD BURRO RANGE ,,NV0316,0,64466,66045,0,0,101,99999,78,104,308,2015/05/01 00:00:00+00,1999/08/01 00:00:00+00,2001,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/recreation/marietta.html,Not designated for horses,296%,296.153846153846,0.674676264115933,0.0274984919520477
97,Massacre Lakes,CA0268,CA,CAN07000,BLM,HORSE,,MASSACRE LAKES,,CA0268,0,36084,39942,25,45,222,493.333333333333,0,0,0,2014/06/01 00:00:00+00,1988/10/01 00:00:00+00,1988,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-268.html,493%,,,0.624216975654749,0.0174686214786958
98,Maverick-Medicine,NV0105,NV,NVE03000,BLM,HORSE,,MAVERICK-MEDICINE,,NV0105,0,318760,323562,166,276,1155,418.478260869565,0,0,0,2016/02/01 00:00:00+00,2013/08/01 00:00:00+00,2006,,http://www.blm.gov/nv/st/en/fo/elko_field_office/blm_programs/wild_horse_and_burro/hmas/MaverickMedicine_HMA.html,418%,,,1.96935432874785,0.1386505682161
99,McCullough Peaks,WY0012,WY,WYR02000,BLM,HORSE,,MCCULLOUGH PEAKS,,WY0012,,103804,109721,70,140,152,108.571428571429,0,0,0,2016/04/01 00:00:00+00,2016/01/01 00:00:00+00,2014,,http://www.blm.gov/wy/st/en/field_offices/Cody/wh.html,109%,,,1.28016045545021,0.0553027582566903
100,McGee Mountain,NV0210,NV,NVW01000,BLM,BURRO,,MCGEE MOUNTIAN,,NV0210,0,41160,41160,0,0,0,,25,41,36,2014/07/01 00:00:00+00,2015/09/01 00:00:00+00,2016,,Webpage does not exist at this time.,,Within AML,50,0.515251603823131,0.0149385901425011
101,Montezuma Peak,NV0625,NV,NVB02000,BLM,BOTH,,MONTEZUMA PEAK,,NV0625,0,76437,77876,2,4,64,1600,6,10,112,2015/11/01 00:00:00+00,2010/09/01 00:00:00+00,2001,"HMA contains both horses and burros, see other layer for additional population information",Webpage does not exist at this time.,1600%,1120%,1120,0.760113492148977,0.0322117767944678
102,Montgomery Pass,NV0317,NV,NVC01000,BLM,HORSE,,MONTGOMERY PASS*,,NV0317,30922,49023,50815,64,81,198,244.444444444444,0,0,0,2015/11/01 00:00:00+00,1998/09/01 00:00:00+00,,,Webpage does not exist at this time.,244%,,,1.06511917243627,0.0210926721306619
103,Mt Elinor,UT0446,UT,UTC01000,BLM,Horse,,MOUNT ELINOR (12),,UT0446,0,37383,42640,15,25,52,208,0,0,0,2015/02/01 00:00:00+00,2011/01/01 00:00:00+00,2012,,Webpage does not exist at this time.,208%,,,0.581518044912792,0.0176517018357051
104,Muddy Creek,UT0651,UT,UTG02000,BLM,Horse,,MUDDY CREEK (from UT0652) ,,UT0651,0,252086,283474,75,125,137,109.6,0,0,0,2014/06/01 00:00:00+00,2009/07/01 00:00:00+00,2015,,Webpage does not exist at this time.,110%,,,3.29485404013586,0.118951655209988
105,Muddy Mountains,NV0503,NV,NVS02000,BLM,HORSE,,MUDDY MOUNTAINS,,NV0503,0,77196,78705,0,0,8,99999,0,0,0,2011/03/01 00:00:00+00,2007/03/01 00:00:00+00,2007,,http://www.blm.gov/style/medialib/blm/nv/field_offices/las_vegas_field_office/wild_horse___burro/las_vegas_herd_management.Par.8873.File.dat/muddy2.pdf,Not designated for horses,,,1.02271240735011,0.0319053262220237
106,Murderers Creek,OR0019,OR,ORP00000,BLM,HORSE,,MURDERERS CREEK*,,OR0019,0,34253,67132,13,35,88,251.428571428571,0,0,0,2016/02/01 00:00:00+00,2014/07/01 00:00:00+00,2005,,http://www.blm.gov/or/resources/whb/herd-manage.php,251%,,,1.27255435126162,0.030581519209707
107,Murderers Creek,OR0019,OR,ORP00000,BLM,HORSE,,MURDERERS CREEK*,,OR0019,0,34253,67132,13,35,88,251.428571428571,0,0,0,2016/02/01 00:00:00+00,2014/07/01 00:00:00+00,2005,,http://www.blm.gov/or/resources/whb/herd-manage.php,251%,,,1.27255435126162,0.030581519209707
108,Murderers Creek,OR0019,OR,ORP00000,USFS,HORSE,,MURDERERS CREEK*,,OR0019,0,34253,67132,13,35,88,251.428571428571,0,0,0,2016/02/01 00:00:00+00,2014/07/01 00:00:00+00,2005,,http://www.blm.gov/or/resources/whb/herd-manage.php,251%,,,0.896531021151242,0.0344636380686199
109,Murderers Creek,OR0019,OR,ORP00000,USFS,HORSE,,MURDERERS CREEK*,,OR0019,0,34253,67132,13,35,88,251.428571428571,0,0,0,2016/02/01 00:00:00+00,2014/07/01 00:00:00+00,2005,,http://www.blm.gov/or/resources/whb/herd-manage.php,251%,,,0.896531021151242,0.0344636380686199
110,Muskrat Basin,WY0027,WY,WYR05000,BLM,HORSE,,MUSKRAT BASIN (originally part of Lander) ,,WY0027,,176421,193325,160,250,337,134.8,0,0,0,2012/07/01 00:00:00+00,2012/11/01 00:00:00+00,2014,,http://www.blm.gov/wy/st/en/field_offices/Lander/wh.html,135%,,,1.86576245344353,0.0862068091540308
111,Nevada Wild Horse Range,NV0524,NV,NVS03000,BLM,HORSE,,NEVADA WILD HORSE RANGE,,NV0524,0,0,1301637,300,500,720,144,0,0,52,2014/09/01 00:00:00+00,2008/07/01 00:00:00+00,2013,"HMA contains both horses and burros, see other layer for additional population information",http://www.blm.gov/style/medialib/blm/nv/field_offices/las_vegas_field_office/wild_horse___burro/las_vegas_herd_management.Par.9168.File.dat/NWHR2.pdf,144%,Not designated for burros,99999,3.56386944665145,0.536916674074165
112,New Pass-Ravenswood,NV0602,NV,NVB01000,BLM,HORSE,,NEW PASS-RAVENSWOOD,,NV0602,0,284475,285878,340,566,637,112.544169611307,0,0,0,2015/09/01 00:00:00+00,2011/01/01 00:00:00+00,2013,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/new_pass_ravenswood.html,113%,,,1.70227560270637,0.121703576218804
113,New Ravendale,CA0243,CA,CAN05000,BLM,HORSE,,NEW RAVENDALE,,CA0243,0,23428,32137,10,25,41,164,0,0,0,2015/05/01 00:00:00+00,2009/09/01 00:00:00+00,2012,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-243.html,164%,,,0.375975804600676,0.00642061150227768
114,North Hills,UT0447,UT,UTC01000,USFS,Horse,,NORTH HILLS**,,UT0447,0,50099,60580,12,36,162,450,0,0,0,2014/05/01 00:00:00+00,2010/12/01 00:00:00+00,2012,,http://www.blm.gov/ut/st/en/prog/wild_horse_and_burro/northHillsGather/conger_complex_gather.html,450%,,,0.894806956623534,0.0349588016237893
115,North Monitor,NV0611,NV,NVB01000,BLM,HORSE,,NORTH MONITOR* ,,NV0611,0,11277,11512,6,8,73,912.5,0,0,0,2014/03/01 00:00:00+00,2006/02/01 00:00:00+00,2006,,Webpage does not exist at this time.,913%,,,0.485108472661142,0.00487987350087516
116,North Stillwater,NV0229,NV,NVW01000,BLM,HORSE,,NORTH STILLWATER,,NV0229,0,176800,178927,138,205,528,257.560975609756,0,0,1,2014/05/01 00:00:00+00,2008/07/01 00:00:00+00,2011,"HMA contains both horses and burros, see other layer for additional population information",Webpage does not exist at this time.,258%,Not designated for burros,99999,1.69677427287424,0.0764764078462155
117,Nut Mountain,CA0266,CA,CAN07000,BLM,HORSE,,NUT MOUNTAIN ,,CA0266,0,38396,40245,30,55,86,156.363636363636,0,0,0,2014/06/01 00:00:00+00,2011/10/01 00:00:00+00,2014,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-266.html,156%,,,0.592148759138507,0.0175732048103802
118,Onaqui Mountain,UT0242,UT,UTW01000,BLM,Horse,,ONAQUI MOUNTAIN,,UT0242,0,206878,240153,121,210,381,181.428571428571,0,0,0,2010/02/01 00:00:00+00,2012/02/01 00:00:00+00,2012,,http://www.blm.gov/ut/st/en/fo/salt_lake/wild_horses___burros/onaqui_mountains_hma.html,181%,,,2.34845075278,0.102690762939105
119,Owyhee,NV0101,NV,NVE02000,BLM,HORSE,,OWYHEE,,NV0101,0,336233,339103,139,231,242,104.761904761905,0,0,0,2014/09/01 00:00:00+00,2013/09/01 00:00:00+00,2015,,http://www.blm.gov/nv/st/en/fo/elko_field_office/blm_programs/wild_horse_and_burro/hmas/owyhee_hma.html,105%,,,1.91747524758867,0.14859237473181
120,Paisley Desert,OR0001,OR,ORL00000,BLM,HORSE,,PAISLEY DESERT,,OR0001,0,297552,303718,60,150,430,286.666666666667,0,0,0,2015/08/01 00:00:00+00,2012/08/01 00:00:00+00,2014,,http://www.blm.gov/or/resources/whb/herd-manage.php,287%,,,2.06210183670624,0.135742410859216
121,Palmetto,NV0624,NV,NVB02000,BLM,HORSE,,PALMETTO,,NV0624,0,115359,118273,46,76,7,15.2173913043478,0,0,0,2015/11/01 00:00:00+00,1996/08/06 00:00:00+00,2016,,Webpage does not exist at this time.,15%,,,0.988067700523588,0.04881374926312
122,Palomino Buttes,OR0006,OR,ORB00000,BLM,HORSE,,PALOMINO BUTTES,,OR0006,0,72359,74234,32,64,131,204.6875,0,0,0,2015/06/01 00:00:00+00,2014/10/01 00:00:00+00,2012,,http://www.blm.gov/or/resources/whb/herd-manage.php,205%,,,1.00634652276754,0.0334041912313202
123,Pancake,NV0415,NV,NVL01000,BLM,HORSE,,PANCAKE** (from NV0402 & NV0405) ,,NV0415,0,849613,849922,240,493,1800,365.111561866126,0,0,0,2016/02/01 00:00:00+00,2012/09/01 00:00:00+00,,,Webpage does not exist at this time.,365%,,,4.82310455581711,0.35774006368128
124,Paymaster,NV0621,NV,NVB02000,BLM,HORSE,,PAYMASTER (original name Paymaster-Lone Mountain),,NV0621,0,98810,100590,23,38,25,50,0,0,28,2015/11/01 00:00:00+00,2010/09/01 00:00:00+00,2014,,Webpage does not exist at this time.,Within AML,,,0.790767610670897,0.0417515871064079
125,Piceance-East Douglas,CO0161,CO,CON05000,BLM,HORSE,,PICEANCE-EAST DOUGLAS CREEK,,CO0161,,158332,190016,135,235,382,162.553191489362,0,0,0,2016/02/01 00:00:00+00,2012/09/01 00:00:00+00,2013,,http://www.blm.gov/co/st/en/fo/wrfo/piceance_-_east_douglas.html,163%,,,2.26201961738862,0.0810811690393674
126,Pilot Mountain,NV0314,NV,NVC01000,BLM,HORSE,,PILOT MOUNTAIN (from NV0315 & NV0690) ,,NV0314,0,475440,477133,249,415,576,138.795180722892,0,0,0,2014/10/01 00:00:00+00,2006/07/01 00:00:00+00,2012,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/wild_horse_and_burro/pilot_table_mountain.html,139%,,,2.76528110958817,0.199300945482119
127,Pine Nut Mountains,NV0305,NV,NVC02000,BLM,HORSE,,PINE NUT MOUNTAINS,,NV0305,0,95391,104316,118,179,336,187.709497206704,0,0,0,2014/10/01 00:00:00+00,2014/05/01 00:00:00+00,2011,,http://www.blm.gov/nv/st/en/fo/carson_city_field/blm_programs/wild_horse_and_burro/pine_nut_mountains.html,188%,,,0.985182116552267,0.0439866737240851
128,Piper Mountain,CA0656,CA,CAD05000,BLM,BOTH,,PIPER MOUNTAIN,,CA0656,7740,87909,96261,14,17,0,0,66,82,0,2015/11/01 00:00:00+00,1993/09/01 00:00:00+00,2016,"HMA contains both horses and burros, see other layer for additional population information",http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-656.html,0%,0%,0,0.965889777755075,0.0396179509087701
129,Pokegama,OR0018,OR,ORL00000,BLM,HORSE,,POKEGAMA,,OR0018,0,16279,84963,30,50,85,170,0,0,0,2015/08/01 00:00:00+00,,2015,,http://www.blm.gov/or/resources/whb/herd-manage.php,170%,,,1.1252464777043,0.037421395342851
130,Pryor Mountain Wild Horse Range,MT0251,MT,MT001000,BLM,HORSE,,PRYOR MOUNTAIN WILD HORSE RANGE,,MT0251,,27094,35640,90,120,160,133.333333333333,0,0,0,2015/07/01 00:00:00+00,2015/08/01 00:00:00+00,2009,,http://www.blm.gov/mt/st/en/fo/billings_field_office/wildhorses.html,133%,,,0.867335428120205,0.0168693663293119
131,Range Creek,UT0641,UT,UTG02000,BLM,Horse,,RANGE CREEK,,UT0641,0,43235,55023,75,125,262,209.6,0,0,0,2013/01/01 00:00:00+00,2006/07/01 00:00:00+00,2010,,Webpage does not exist at this time.,210%,,,2.6041225694241,0.0233937092407724
132,Red Rock,NV0504,NV,NVS02000,BLM,BOTH,,RED ROCK** (from NV0525)(original name Red Rock-Bird Springs) ,,NV0504,0,157443,161969,16,27,125,462.962962962963,29,49,70,2015/05/01 00:00:00+00,2012/09/01 00:00:00+00,2007,"HMA contains both horses and burros, see other layer for additional population information",http://www.blm.gov/style/medialib/blm/nv/field_offices/las_vegas_field_office/wild_horse___burro/las_vegas_herd_management.Par.47347.File.dat/red_rock_canyon.pdf,463%,143%,142.857142857143,1.80563901241529,0.0652070872264516
133,Red Rock Lakes,CA0251,CA,CAN02000,BLM,HORSE,,RED ROCK LAKES,,CA0251,0,13413,18541,16,25,41,164,0,0,0,2010/10/01 00:00:00+00,2014/08/01 00:00:00+00,2014,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-251.html,164%,,,0.50477217960294,0.00813972187754017
134,Reveille,NV0619,NV,NVB02000,BLM,HORSE,,REVEILLE,,NV0619,0,104500,105499,82,138,154,111.594202898551,0,0,0,2016/02/01 00:00:00+00,2014/11/01 00:00:00+00,2015,,Webpage does not exist at this time.,112%,,,1.00902215797493,0.0438174433033691
135,Riddle Mountain,OR0009,OR,ORB00000,BLM,HORSE,,RIDDLE MOUNTAIN,,OR0009,47526,28331,32666,33,56,33,58.9285714285714,0,0,0,2015/09/01 00:00:00+00,2015/09/01 00:00:00+00,2016,,http://www.blm.gov/or/resources/whb/herd-manage.php,59%,,,0.85108044203659,0.0146078247630661
136,Roberts Mountain,NV0607,NV,NVB01000,BLM,HORSE,,ROBERTS MOUNTAIN,,NV0607,0,99321,99988,90,150,560,373.333333333333,0,0,0,2015/09/01 00:00:00+00,2008/01/01 00:00:00+00,2008,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/roberts_mountain_hma.html,373%,,,0.928694352434239,0.0425319366015543
137,Rock Creek,NV0103,NV,NVE02000,BLM,HORSE,,ROCK CREEK,,NV0103,0,98185,121434,150,250,457,182.8,0,0,0,2014/09/01 00:00:00+00,2010/07/01 00:00:00+00,2007,,http://www.blm.gov/nv/st/en/fo/elko_field_office/blm_programs/wild_horse_and_burro/hmas/rockcreek_hma.html,183%,,,1.51191417728226,0.0529691478612765
138,Rock Creek,WY0026,WY,WYR05000,BLM,HORSE,,ROCK CREEK MOUNTIAN (originally part of Lander) ,,WY0026,,19107,24584,50,86,85,50,0,0,0,2012/07/01 00:00:00+00,2012/11/01 00:00:00+00,2016,,Webpage does not exist at this time.,Within AML,,,0.623868527589406,0.0109065323196792
139,Rocky Hills,NV0605,NV,NVB01000,BLM,HORSE,,ROCKY HILLS (original name North Simpson Park),,NV0605,0,81435,83988,90,143,243,169.93006993007,0,0,0,2015/09/01 00:00:00+00,2010/12/01 00:00:00+00,2014,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/rocky_hills_hma.html,170%,,,0.819931696273099,0.0358729953588818
140,Round Mountain,CA0252,CA,CAN02000,BLM,HORSE,,ROUND MOUNTAIN ,,CA0252,0,7635,7759,8,10,108,1080,0,0,0,2016/02/01 00:00:00+00,2009/10/01 00:00:00+00,2005,,http://www.blm.gov/ca/st/en/prog/wild_horse_and_burro/hma-main/HMA-CA-252.html,1080%,,,0.351695401380392,0.00339111560265154
141,Salt Wells Creek,WY0001,WY,WYD04000,BLM,HORSE,,"SALT WELLS CREEK (from WY0038; into WY0009) (6)",,WY0001,,687546,1170728,251,365,728,199.452054794521,0,0,0,2015/04/01 00:00:00+00,2014/10/01 00:00:00+00,2015,,http://www.blm.gov/wy/st/en/field_offices/Rock_Springs/wildhorses/saltwells.html,199%,,,4.53673317317862,0.509665233981588
142,Sand Springs,OR0017,OR,ORV00000,BLM,HORSE,,SAND SPRINGS,,OR0017,0,193532,207253,100,200,170,50,0,0,0,2015/06/01 00:00:00+00,2011/09/01 00:00:00+00,2016,,http://www.blm.gov/or/resources/whb/herd-manage.php,Within AML,,,1.70732476980985,0.092595278277245
143,Sand Springs West,NV0630,NV,NVB02000,BLM,HORSE,,SAND SPRINGS WEST,,NV0630,0,152277,152277,29,49,230,469.387755102041,0,0,0,2016/02/01 00:00:00+00,2012/01/01 00:00:00+00,2006,,Webpage does not exist at this time.,469%,,,1.29185343128656,0.0637451088594634
144,Sand Wash,CO0143,CO,CON01000,BLM,HORSE,,SAND WASH BASIN,,CO0143,,151435,156502,163,362,568,156.906077348066,0,0,0,2016/02/01 00:00:00+00,2008/10/01 00:00:00+00,2013,,http://www.blm.gov/co/st/en/fo/lsfo/programs/wild_horse.html,157%,,,1.34997140083822,0.0682028314898167
145,Sands Basin,ID0004,ID,IDB03000,BLM,HORSE,,SAND BASIN,,ID0004,,9392,11724,33,64,6,18.1818181818182,0,0,0,2014/06/01 00:00:00+00,2015/12/01 00:00:00+00,2016,,http://www.blm.gov/id/st/en/prog/wild_horses_/hmas/sands_basin_hma.html,18%,,,0.284077405514168,0.00527647284529142
146,Saulsbury,NV0620,NV,NVB02000,BLM,HORSE,,SAULSBURY** ,,NV0620,0,134508,135081,24,40,253,632.5,0,0,0,2016/02/01 00:00:00+00,2012/02/01 00:00:00+00,2007,,Webpage does not exist at this time.,633%,,,1.6434293539962,0.0562561965946689
147,Saylor Creek,ID0003,ID,IDT01000,BLM,HORSE,,SAYLOR CREEK,,ID0003,,94992,101876,40,50,65,130,0,0,0,2016/02/01 00:00:00+00,2010/08/01 00:00:00+00,2013,,http://www.blm.gov/id/st/en/prog/wild_horses_/hmas/saylor_creek_hma.html,130%,,,1.29129400178779,0.0453533385869911
148,Seven Mile,NV0613,NV,NVB00000,BLM,HORSE,,SEVEN MILE** (original name Antelope (HA)) ,,NV0613,7226,96772,97654,30,50,172,344,0,0,0,2014/04/01 00:00:00+00,2006/02/01 00:00:00+00,2006,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/seven_mile_hma.html,344%,,,1.21786402864726,0.0411598809384254
149,Seven Troughs,NV0216,NV,NVW01000,BLM,BOTH,,SEVEN TROUGHS ,,NV0216,0,131413,148884,94,156,503,322.435897435897,28,46,107,2015/01/01 00:00:00+00,2005/12/01 00:00:00+00,2006,"HMA contains both horses and burros, see other layer for additional population information",Webpage does not exist at this time.,322%,233%,232.608695652174,1.26191375965496,0.0499896073865912
150,Shawave,NV0218,NV,NVW01000,BLM,HORSE,,SHAWAVE MOUNTAINS ,,NV0218,0,177204,139552,82,136,831,611.029411764706,0,0,89,2015/01/01 00:00:00+00,2005/11/01 00:00:00+00,2006,"HMA contains both horses and burros, see other layer for additional population information",Webpage does not exist at this time.,611%,Not designated for burros,99999,1.46705672790428,0.0597064800900089
151,Sheepshead-Heath Creek,OR0016,OR,ORV00000,BLM,HORSE,,SHEEPSHEAD/HEATH CREEK ,,OR0016,0,198848,205275,161,302,402,133.112582781457,0,0,0,2015/06/01 00:00:00+00,2011/09/01 00:00:00+00,2015,,http://www.blm.gov/or/resources/whb/herd-manage.php,133%,,,1.64468902671121,0.0915853009291762
152,Silver King,NV0416,NV,NVL02000,BLM,HORSE,,"SILVER KING (from NV0410, NV0522, & NV0523) (3, 13)",,NV0416,0,574962,575460,60,128,912,712.5,0,0,0,2015/02/01 00:00:00+00,2016/02/01 00:00:00+00,,,Webpage does not exist at this time.,713%,,,4.48429267626515,0.239122685686366
153,Silver Peak,NV0623,NV,NVB02000,BLM,BURRO,,SILVER PEAK,,NV0623,0,239801,242462,0,0,120,99999,4,6,0,2015/11/01 00:00:00+00,2006/10/01 00:00:00+00,2007,,Webpage does not exist at this time.,Not designated for horses,0%,0,1.2632345595452,0.100375943778902
154,Sinbad,UT0652,UT,UTG02000,BLM,Burro,,SINBAD,,UT0652,0,89465,99241,0,0,0,,50,70,234,2016/01/01 00:00:00+00,2008/08/01 00:00:00+00,2008,,Webpage does not exist at this time.,,334%,334.285714285714,1.43552035973594,0.0417552626189903
155,Snowstorm Mountains,NV0201,NV,NVW01000,BLM,HORSE,,SNOWSTORM MOUNTAINS,,NV0201,0,103802,117109,90,140,279,199.285714285714,0,0,0,2014/09/01 00:00:00+00,2006/09/01 00:00:00+00,2006,,Webpage does not exist at this time.,199%,,,1.24938178844911,0.0614972438138179
156,South Shoshone,NV0601,NV,NVB01000,BLM,HORSE,,SOUTH SHOSHONE,,NV0601,0,132401,133093,60,100,560,560,0,0,0,2015/09/01 00:00:00+00,2009/01/01 00:00:00+00,2008,,http://www.blm.gov/nv/st/en/fo/battle_mountain_field/blm_programs/wild_horse_and_burro/battle_mountain_field/south_shoshone_hma.html,560%,,,1.20145740080053,0.0569681444820549
157,South Steens,OR0003,OR,ORB00000,BLM,HORSE,,SOUTH STEENS,,OR0003,1108,127608,134459,159,304,632,207.894736842105,0,0,0,2015/06/01 00:00:00+00,2009/11/01 00:00:00+00,2012,,http://www.blm.gov/or/resources/whb/herd-manage.php,208%,,,1.6154223197682,0.0597447704871017
