1664.fipstwo,f30111***,f30111
2921.statevalue,A,VA
62.statecounty,AK_Valdez-Cordova Census Area,AL_Hale
2177.countytwo,Ka ,Kay 
213.fips,1049.0,6043
1074.statevalue,Y,KY
2598.statevalue,N,TN
2194.countytwo,Nzowata ,Nowata 
1857.statecounty,NE_Hll,NE_Hall
243.statefips,2.0,6
2462.countytwo,lark ,Clark 
1183.county,Winn Pairsh,Winn Parish
188.fipstwo,f02150,f04021
2430.statevalue,C,SC
559.statevalue,IhA,IA
481.countytwo,iLberty ,Liberty 
21.county,Denali Borough,Prince of Wales-Hyder Census Area
856.statecounty,IN_Montgomeyr,IN_Montgomery
38.fips,2020.0,1017
104.fips,2282.0,5015
2905.fipstwo,f510o17,f51017
2255.countytwo,Admas ,Adams 
109.fipstwo,f02060,f05025
812.countytwo,Clrk ,Clark 
58.fips,2070.0,1057
1499.statevalue,MuO,MO
37.statevalue,L,AL
1728.countytwo,Naysh ,Nash 
38.statevalue,L,AL
297.statefips,60,8
196.fips,5013.0,6009
3208.statecounty,WV_Webstepr,WV_Webster
487.statevalue,jGA,GA
286.statefips,80,8
1300.county,Oaklanzd ,Oakland 
1035.fipstwo,f21701,f21071
1585.statevalue,MeS,MS
43.county,Nome Census Area,Clay 
536.fipstwo,f13219,f13291
64.statevalue,LA,AL
104.statevalue,AK,AR
709.fipstwo,f17071,f17017
116.statefips,2.0,5
769.fipstwo,f1737,f17137
2691.statevalue,ThX,TX
195.statecounty,AK_Bristol Bay Borough,CA_Butte
637.statevalue,IbA,IA
289.county,Mes ,Mesa 
1980.countytwo,Esmealda ,Esmeralda 
2790.countytwo,Ochiltre e,Ochiltree 
42.fips,2090.0,1025
2432.fipstwo,f40555,f45055
2358.statecounty,PR_Isabela Mnuicipio,PR_Isabela Municipio
564.statecounty,IA_Blactk Hawk,IA_Black Hawk
2755.fipstwo,f4828y7,f48287
2500.fipstwo,f46110,f46101
66.countytwo,Jefferosn ,Jefferson 
133.fipstwo,f01017,f05073
185.fipstwo,f02270,f04015
2319.county,Westmorelan d,Westmoreland 
2288.statevalue,PfA,PA
1090.countytwo,Nihcolas ,Nicholas 
346.countytwo,Galdes ,Glades 
1106.county,Simpsonr ,Simpson 
32.fips,2290.0,1005
165.fips,2090.0,5137
1208.statecounty,MD_Frederiack,MD_Frederick
58.statefips,2.0,1
84.fips,1003.0,1109
686.statecounty,ID_Lemyhi,ID_Lemhi
1292.county,Meqnominee ,Menominee 
249.statefips,61,6
192.fips,2016.0,6001
425.county,obb ,Cobb 
189.fips,2270.0,4023
1619.county,Dawmson ,Dawson 
267.fipstwo,f06019,f08033
204.fips,1049.0,6025
2876.county,rand ,Grand 
167.fips,2020.0,5141
175.fipstwo,f01003,f60040
48.statefips,2.0,1
119.statecounty,AK_Hoonah-Angoon Census Area,AR_Faulkner
105.statecounty,AK_Haines Borough,AR_Chicot
192.statecounty,AK_Wade Hampton Census Area,CA_Alameda
116.fipstwo,f02013,f05039
3048.county,Asotn ,Asotin 
2386.statevalue,RP,PR
626.county,ontgomery ,Montgomery 
2899.county,Ahlleghany ,Alleghany 
1794.statecounty,D_Morton,ND_Morton
1398.county,Travrese ,Traverse 
3065.statevalue,yWA,WA
1126.countytwo,wBienville ,Bienville 
650.statecounty,IA_Wane,IA_Wayne
2971.countytwo,Mdaison ,Madison 
215.fips,2180.0,6047
36.fips,2068.0,1013
168.fips,2188.0,5143
178.statevalue,AK,AZ
604.fipstwo,f19039,f19093
46.fips,2105.0,1033
3145.statecounty,WI_St. Corix,WI_St. Croix
1116.statecounty,KY_Websrter,KY_Webster
161.fipstwo,f02150,f05131
1903.fipstwo,f3a1171,f31171
3224.statecounty,WY_iLncoln,WY_Lincoln
65.statevalue,ArL,AL
1651.countytwo,Ronosevelt ,Roosevelt 
3179.statevalue,V,WV
2971.statevalue,AV,VA
1384.statevalue,NM,MN
358.county,aLfayette ,Lafayette 
25.county,Northwest Arctic Borough,Valdez-Cordova Census Area
86.statefips,2.0,1
1784.statevalue,NdD,ND
2212.countytwo,Tillma n,Tillman 
941.fipstwo,f0093,f20093
214.statefips,2.0,6
268.fipstwo,f02090,f08035
106.county,Wade Hampton Census Area,Clark 
2977.countytwo,Mihddlesex ,Middlesex 
351.fipstwo,f12a053,f12053
1875.county,qLoup ,Loup 
2795.statecounty,TX_Paorker,TX_Parker
1333.countytwo,Chismago ,Chisago 
111.fips,2180.0,5029
857.county,Morga n,Morgan 
39.fips,2060.0,1019
163.fips,2050.0,5135
2530.county,Cay ,Clay 
59.statevalue,AfL,AL
2803.countytwo,Rkeagan ,Reagan 
1822.countytwo,Baine ,Blaine 
1564.countytwo,Lauderdeale ,Lauderdale 
2564.statecounty,TNr_Lake,TN_Lake
3036.county,Chittbenden ,Chittenden 
406.statecounty,GA_Brgooks,GA_Brooks
123.statevalue,AK,AR
55.statevalue,LA,AL
1602.statecounty,MS_Wasington,MS_Washington
195.fipstwo,f02270,f06007
79.county,Monro e,Monroe 
127.statecounty,AL_Clarke,AR_Howard
631.county,PaloA lto ,Palo Alto 
2472.county,Edmund ,Edmunds 
121.fips,2282.0,5049
237.statefips,32,6
1300.statevalue,IM,MI
2571.statevalue,TjN,TN
141.fipstwo,f02122,f05089
183.fips,2020.0,4012
2363.fipstwo,f2081,f72081
935.fipstwo,f2081,f20081
251.fipstwo,f06065,f08003
3104.statevalue,I,WI
11.statevalue,K,AK
2035.fipstwo,f63087,f36087
148.fips,1117.0,5103
226.statefips,2.0,6
1001.countytwo,lAlen ,Allen 
232.county,uSan Mateo ,San Mateo 
2969.fipstwo,fh51111,f51111
501.fipstwo,fx13221,f13221
177.fips,2090.0,4001
1842.countytwo,euel ,Deuel 
2965.countytwo,Le e,Lee 
1359.statevalue,MqN,MN
2258.countytwo,eBaver ,Beaver 
135.statevalue,AK,AR
124.fips,2261.0,5055
200.fips,6019.0,6017
47.statefips,2.0,1
485.countytwo,Lumpin ,Lumpkin 
284.statefips,21,8
1976.county,Churcihll ,Churchill 
234.fipstwo,f02100,f06085
248.statefips,7,6
94.statecounty,AL_Lawrence,AL_Washington
98.fips,2060.0,5003
1872.statecounty,NE_Lnacaster,NE_Lancaster
2120.countytwo,Portqage ,Portage 
3110.statevalue,WjI,WI
16.statevalue,KA,AK
812.statecounty,I_Clark,IN_Clark
1289.statecounty,MI_Marquete,MI_Marquette
196.fipstwo,f02170,f06009
104.fipstwo,f02110,f05015
1776.fipstwo,f3c8023,f38023
63.county,Bristol Bay Borough,Henry 
1415.fipstwo,f29y015,f29015
93.statevalue,AbL,AL
2047.statecounty,NY_Uster,NY_Ulster
359.statevalue,fFL,FL
2133.statevalue,H,OH
108.fips,2060.0,5023
2028.statecounty,NY_Orleuans,NY_Orleans
2736.fipstwo,f4k8249,f48249
209.fips,2270.0,6035
911.statevalue,SK,KS
1423.fipstwo,f29013,f29031
2053.countytwo,Yatels ,Yates 
2996.fipstwo,f51419,f51149
90.fips,2105.0,1121
155.fipstwo,f02130,f05117
1766.county,Barnels ,Barnes 
3217.statevalue,Y,WY
599.fipstwo,19083,f19083
2502.statevalue,D,SD
2591.county,Rutherfrod ,Rutherford 
1034.countytwo,Flemingm ,Fleming 
239.countytwo,Solaon ,Solano 
1921.statecounty,NJ_Atlntic,NJ_Atlantic
975.fipstwo,f20611,f20161
3118.county,Lafyette ,Lafayette 
106.statecounty,AK_Hoonah-Angoon Census Area,AR_Clark
124.statecounty,AL_Lawrence,AR_Greene
2570.fipstwo,f47111***,f47111
749.statecounty,gIL_Lake,IL_Lake
263.statefips,80,8
98.statecounty,AK_Bethel Census Area,AR_Ashley
1686.county,Cly ,Clay 
202.fips,2105.0,6021
259.fipstwo,f02068,f08017
945.fipstwo,f0101,f20101
2176.countytwo,Johsnton ,Johnston 
2687.countytwo,Fsisher ,Fisher 
2023.county,Niagaraz ,Niagara 
3094.countytwo,Chipepwa ,Chippewa 
2188.county,McClan ,McClain 
139.statecounty,AK_Fairbanks North Star Borough,AR_Lonoke
246.countytwo,Tuolumn e,Tuolumne 
209.fipstwo,f01025,f06035
2920.countytwo,Chalrottesville city,Charlottesville city
2892.county,Wasacth ,Wasatch 
2399.county,YaucoMunicipio,Yauco Municipio
151.fips,2270.0,5109
2064.countytwo,Cahmpaign ,Champaign 
52.fips,2185.0,1045
2162.statecounty,OK_Dealware,OK_Delaware
144.fipstwo,f02290,f05095
3164.countytwo,Calhuon ,Calhoun 
1339.statecounty,MN_Daota,MN_Dakota
522.countytwo,Talbotl ,Talbot 
114.statevalue,AK,AR
592.countytwo,Franlin ,Franklin 
231.fipstwo,f02050,f06079
120.fips,2261.0,5047
193.fips,2016.0,6003
2421.statevalue,cSC,SC
1243.statecounty,MI_Arnac,MI_Arenac
207.statefips,2.0,6
1125.statecounty,LA_Bauregard,LA_Beauregard
170.statefips,2.0,5
592.fipstwo,f190z69,f19069
2879.countytwo,Kan e,Kane 
1791.statevalue,dND,ND
1759.countytwo,Wnatauga ,Watauga 
1800.countytwo,Ramesy ,Ramsey 
1328.countytwo,jBrown ,Brown 
59.statecounty,AK_Anchorage Municipality,AL_Franklin
1591.statecounty,SM_Smith,MS_Smith
166.fips,2180.0,5139
123.fips,2164.0,5053
2219.countytwo,bBaker ,Baker 
901.countytwo,Brow n,Brown 
3150.statecounty,WI_Wlworth,WI_Walworth
3015.county,tSaunton city,Staunton city
2280.countytwo,Fayete ,Fayette 
2087.fipstwo,39067,f39067
215.statefips,50,6
225.county,Sacarmento ,Sacramento 
237.county,iSerra ,Sierra 
838.fipstwo,f1801,f18071
398.county,anks ,Banks 
47.fips,2020.0,1035
1764.county,Yancxey ,Yancey 
408.statevalue,A,GA
2869.county,Cacmhe ,Cache 
145.statecounty,AK_Bethel Census Area,AR_Montgomery
2798.fipstwo,48373,f48373
183.statefips,2.0,4
2894.countytwo,Waynge ,Wayne 
95.fipstwo,f02110,f01131
27.county,Kenai Peninsula Borough,Wrangell City and Borough
181.statevalue,AK,AZ
82.statevalue,rAL,AL
2147.fipstwo,f4c0011,f40011
2787.fipstwo,f84351,f48351
201.statecounty,AK_Bristol Bay Borough,CA_Fresno
1713.statecounty,NC_Idredell,NC_Iredell
694.fipstwo,f1605,f16075
586.countytwo,zDes Moines ,Des Moines 
173.statevalue,AK,AS
1909.statevalue,EN,NE
1446.statevalue,MpO,MO
1166.statecounty,L_ASt. James,LA_St. James
207.fips,5107.0,6031
743.statecounty,IL_Jo Davess,IL_Jo Daviess
2942.fipstwo,f510w69,f51069
951.countytwo,Marin ,Marion 
185.statefips,2.0,4
1498.statevalue,O,MO
2707.fipstwo,f84191,f48191
247.statefips,2.0,6
668.countytwo,Butte ***,Butte 
1117.statevalue,xKY,KY
1605.statevalue,S,MS
139.fips,2020.0,5085
239.fipstwo,f02068,f06095
166.fipstwo,f02060,f05139
920.statevalue,SK,KS
3109.countytwo,Gnreen Lake ,Green Lake 
206.fips,2016.0,6029
286.county,Las Anihmas ,Las Animas 
381.fipstwo,f1215,f12115
1759.statevalue,CN,NC
220.statefips,82,6
245.statefips,2.0,6
2659.countytwo,oncho ,Concho 
2920.statevalue,eVA,VA
257.fipstwo,f02261,f08014
1720.fipstwo,f3113,f37113
1343.countytwo,Fillmoer ,Fillmore 
1298.fipstwo,2f6121,f26121
978.fipstwo,20167,f20167
1091.statevalue,YK,KY
69.statevalue,LA,AL
454.county,Gwlascock ,Glascock 
1905.countytwo,Valleyr ,Valley 
2004.countytwo,Delware ,Delaware 
3215.countytwo,Capbell ,Campbell 
221.fipstwo,f02068,f06059
2994.statevalue,A,VA
879.countytwo,Sullivn ,Sullivan 
2273.countytwo,Columbi a,Columbia 
2328.statecounty,PR_Arecibo Municipizo,PR_Arecibo Municipio
1409.countytwo,Andrwe ,Andrew 
166.statefips,2.0,5
142.county,Nome Census Area,Miller 
159.fipstwo,f02180,f05127
1717.fipstwo,37105,f37105
2201.countytwo,Paynve ,Payne 
32.statefips,2.0,1
2640.statecounty,TX_Clhoun,TX_Calhoun
1156.statevalue,mLA,LA
208.fipstwo,f02013,f06033
2080.statevalue,HO,OH
1681.statevalue,C,NC
199.statefips,96,6
19.statevalue,AcK,AK
2865.fipstwo,f4850b7,f48507
1834.countytwo,Cheyenn e,Cheyenne 
1583.fipstwo,f2811c3,f28113
2449.countytwo,Williambsurg ,Williamsburg 
2056.statevalue,OsH,OH
152.fipstwo,f02050,f05111
1589.statecounty,MS_Shareky,MS_Sharkey
190.fips,2122.0,4025
257.statefips,26,8
1477.fipstwo,f9139,f29139
2446.statecounty,SC_Spartanbudrg,SC_Spartanburg
2262.countytwo,Bxradford ,Bradford 
835.county,Heonry ,Henry 
2437.county,Maion ,Marion 
230.statefips,2.0,6
230.fipstwo,f06093,f06077
56.statevalue,LA,AL
3151.county,Wqashburn ,Washburn 
1796.fipstwo,f38036,f38063
2594.countytwo,eSevier ,Sevier 
141.statevalue,AL,AR
176.fipstwo,f02060,f60050
33.statecounty,AK_Aleutians West Census Area,AL_Bibb
132.statecounty,AK_Juneau City and Borough,AR_Johnson
129.statevalue,rAR,AR
428.fipstwo,1f3073,f13073
968.statevalue,bKS,KS
114.fips,2105.0,5035
792.county,Vermpilion ,Vermilion 
740.statecounty,IL_aJsper,IL_Jasper
1179.statevalue,AL,LA
1801.countytwo,Rasnom ,Ransom 
175.statevalue,AL,AS
2821.statecounty,TX_Shebly,TX_Shelby
31.county,Nome Census Area,Baldwin 
264.statefips,13,8
2012.county,Hamiltn ,Hamilton 
571.fipstwo,f19207,f19027
1413.countytwo,Baron ,Barton 
1620.statevalue,MmT,MT
1543.fipstwo,f28303,f28033
218.fips,5013.0,6053
2357.countytwo,Humaao Municipio,Humacao Municipio
251.statecounty,CiO_Alamosa,CO_Alamosa
2448.countytwo,Uinon ,Union 
283.statefips,65,8
2267.fipstwo,4f2025,f42025
2598.statecounty,TN_Sullvian,TN_Sullivan
1918.fipstwo,3f3015,f33015
217.fips,2020.0,6051
2762.statevalue,XT,TX
649.fipstwo,fc19183,f19183
1974.county,alencia ,Valencia 
2906.statevalue,A,VA
265.fipstwo,f02060,f08029
2741.statecounty,TX_Kendall***,TX_Kendall
60.statevalue,L,AL
1652.countytwo,Roebud ,Rosebud 
1771.county,Burk e,Burke 
119.county,Aleutians West Census Area,Faulkner 
265.statefips,86,8
1307.fipstwo,f2r6139,f26139
43.statevalue,LA,AL
16.fips,2060.0,2170
300.statefips,20,8
2596.countytwo,mith ,Smith 
118.county,Bethel Census Area,Drew 
290.statefips,16,8
228.fipstwo,f02188,f06073
222.statefips,72,6
129.statecounty,AL_Barbour,AR_Izard
187.fipstwo,f02090,f04019
827.county,Fbulton ,Fulton 
1085.statecounty,KY_Mdonroe,KY_Monroe
724.countytwo,Edwars ,Edwards 
53.fips,2100.0,1047
94.fips,2188.0,1129
512.fipstwo,f13m243,f13243
1913.countytwo,Cheshre ,Cheshire 
2617.statevalue,TtX,TX
2158.statecounty,OK_otton,OK_Cotton
868.statecounty,N_Pulaski,IN_Pulaski
915.county,Dickinon ,Dickinson 
1062.statevalue,YK,KY
784.fipstwo,17169,f17169
2214.statecounty,O_KWagoner,OK_Wagoner
27.statevalue,xAK,AK
2016.statevalue,Y,NY
165.fipstwo,f02105,f05137
431.fipstwo,f1307f9,f13079
2102.county,Mdison ,Madison 
1648.county,Prairei ,Prairie 
2981.countytwo,Newport jNews city,Newport News city
2166.countytwo,Gravin ,Garvin 
95.fips,2188.0,1131
1628.countytwo,Ghranite ,Granite 
2311.statevalue,A,PA
736.county,Henderso ,Henderson 
2966.statecounty,VAq_Lexington city,VA_Lexington city
159.fips,1041.0,5127
3220.countytwo,Goshe n,Goshen 
1009.fipstwo,f210w19,f21019
962.fipstwo,2f0135,f20135
82.county,Kenai Peninsula Borough,Perry 
2202.statecounty,OK_Pittsbrug,OK_Pittsburg
1794.county,Moton ,Morton 
830.countytwo,Grreene ,Greene 
1058.fipstwo,fv21117,f21117
641.county,Siuox ,Sioux 
179.fipstwo,f02122,f04005
162.statevalue,AK,AR
179.fips,2164.0,4005
586.county,De Moines ,Des Moines 
2116.county,Pauldingn ,Paulding 
596.statecounty,IA_Guthrei,IA_Guthrie
1019.countytwo,Carlsle ,Carlisle 
63.fips,2068.0,1067
109.fips,2122.0,5025
240.statefips,94,6
1449.fipstwo,f290y83,f29083
951.fipstwo,f02115,f20115
2350.statecounty,PR_Guanica Mnicipio,PR_Guanica Municipio
1068.fipstwo,f21y137,f21137
101.statevalue,AfR,AR
110.statevalue,RA,AR
103.statevalue,R,AR
1389.fipstwo,fu27139,f27139
2992.statecounty,VA_Poquosonc ity,VA_Poquoson city
954.statevalue,tKS,KS
913.statevalue,SK,KS
493.statevalue,A,GA
79.fipstwo,f02090,f01099
2974.statecounty,VA_Martinsville ciaty,VA_Martinsville city
212.fipstwo,f01025,f06041
143.statevalue,mAR,AR
1562.fipstwo,f20871,f28071
10.statevalue,K,AK
3016.countytwo,Suffolk cty,Suffolk city
2626.statecounty,TX_qBexar,TX_Bexar
1165.fipstwo,af22091,f22091
142.statevalue,R,AR
3047.countytwo,hAdams ,Adams 
2519.countytwo,Bnton ,Benton 
1468.county,adison ,Madison 
1093.statecounty,KgY_Owen,KY_Owen
292.countytwo,Montezeuma ,Montezuma 
2264.countytwo,Btler ,Butler 
156.statefips,2.0,5
34.county,Bethel Census Area,Blount 
2218.countytwo,Wooddward ,Woodward 
1438.statevalue,OM,MO
1097.statevalue,xKY,KY
89.fips,2090.0,1119
303.statefips,64,8
264.fipstwo,f02290,f08027
733.statecounty,ILH_amilton,IL_Hamilton
79.statefips,2.0,1
44.statecounty,AK_Kenai Peninsula Borough,AL_Cleburne
71.fipstwo,f02050,f01083
2688.fipstwo,f481w53,f48153
340.county,Duavl ,Duval 
174.fipstwo,f02261,f60030
137.statefips,2.0,5
1710.fipstwo,37091,f37091
96.statevalue,AlL,AL
2592.statevalue,NT,TN
3130.statevalue,I,WI
29.statevalue,K,AK
2585.statevalue,NT,TN
149.fips,2068.0,5105
1032.fipstwo,f21p065,f21065
301.fipstwo,f0v8101,f08101
2030.fipstwo,f3607,f36077
2054.countytwo,Adakms ,Adams 
123.county,Aleutians East Borough,Grant 
65.fips,1003.0,1071
167.statevalue,AL,AR
42.statevalue,AjL,AL
1624.countytwo,Gallati n,Gallatin 
792.statevalue,LI,IL
53.statecounty,AK_Denali Borough,AL_Dallas
411.statevalue,pGA,GA
185.fips,2013.0,4015
2532.statecounty,TNCoffee,TN_Coffee
206.fipstwo,f01039,f06029
73.fips,2016.0,1087
609.countytwo,Johsnon ,Johnson 
379.statecounty,FL_Putanm,FL_Putnam
2969.county,Lunebnurg ,Lunenburg 
68.fipstwo,f02185,f01077
168.fipstwo,f02275,f05143
808.countytwo,Bonoe ,Boone 
377.statevalue,L,FL
441.county,Eary ,Early 
192.fipstwo,f02100,f06001
1702.fipstwo,nf37075,f37075
74.statecounty,AK_Fairbanks North Star Borough,AL_Madison
2583.statevalue,gTN,TN
2309.statecounty,PA_Snyjder,PA_Snyder
236.statefips,17,6
708.countytwo,Carroll ***,Carroll 
242.countytwo,Suytter ,Sutter 
2624.fipstwo,48025,f48025
1422.statevalue,MaO,MO
103.statecounty,AK_Denali Borough,AR_Calhoun
2634.statecounty,TX_Brsicoe,TX_Briscoe
756.statevalue,LI,IL
1881.countytwo,Neaha ,Nemaha 
983.statevalue,S,KS
203.statefips,2.0,6
172.fips,2016.0,60010
2595.fipstwo,f41757,f47157
181.fipstwo,f02290,f04009
221.statefips,80,6
2744.county,err ,Kerr 
956.statecounty,KS_Mitchell***,KS_Mitchell
147.fips,2164.0,5101
1084.fipstwo,f12169,f21169
1445.countytwo,Genrty ,Gentry 
258.statefips,52,8
244.fipstwo,f02261,f06105
1653.countytwo,Saonders ,Sanders 
157.fipstwo,f05017,f05121
23.fips,2068.0,2230
64.statecounty,AK_Bristol Bay Borough,AL_Houston
2786.statevalue,XT,TX
1691.countytwo,Currituck ***,Currituck 
574.statevalue,A,IA
122.fips,5107.0,5051
145.county,Dillingham Census Area,Montgomery 
839.countytwo,Jsper ,Jasper 
2529.fipstwo,f4z7025,f47025
218.statefips,10,6
1192.statevalue,A,MA
111.statecounty,AK_Ketchikan Gateway Borough,AR_Conway
1789.county,McHenr y,McHenry 
1252.countytwo,Charlevmoix ,Charlevoix 
191.fips,1055.0,4027
829.statevalue,bIN,IN
602.statecounty,IA_Hwoard,IA_Howard
832.county,Hanocck ,Hancock 
3171.fipstwo,f54j027,f54027
923.fipstwo,f200b57,f20057
65.statecounty,AL_Clarke,AL_Jackson
216.fips,2090.0,6049
550.statevalue,A,GA
2721.county,Hockcley ,Hockley 
319.statecounty,CuT_New London,CT_New London
1135.countytwo,e Soto ,De Soto 
2118.county,vPickaway ,Pickaway 
1830.fipstwo,f3125,f31025
81.statecounty,AL_Blount,AL_Morgan
115.fipstwo,f02164,f05037
2270.countytwo,lCarion ,Clarion 
147.fipstwo,f02230,f05101
54.fipstwo,f02185,f01049
112.fips,2100.0,5031
1602.statevalue,S,MS
2473.fipstwo,f64047,f46047
70.statecounty,AL_Covington,AL_Lee
287.statefips,15,8
182.fipstwo,f02020,f04011
69.county,Barbour ,Lawrence 
2324.statecounty,PR_Aguadilal Municipio,PR_Aguadilla Municipio
2743.statevalue,X,TX
2985.statecounty,VA_Norton ctiy,VA_Norton city
1316.county,Tucola ,Tuscola 
167.fipstwo,f02090,f05141
1916.fipstwo,33011,f33011
2243.fipstwo,f41409,f41049
1712.countytwo,aHyde ,Hyde 
1708.fipstwo,f3708r7,f37087
1655.statecounty,M_Silver Bow,MT_Silver Bow
1037.countytwo,Fluton ,Fulton 
261.statefips,21,8
3216.statevalue,Y,WY
2124.statecounty,OH_Rss,OH_Ross
667.countytwo,Bundary ,Boundary 
1906.fipstwo,f31177***,f31177
37.statecounty,AL_Chambers,AL_Calhoun
108.fipstwo,f02188,f05023
1660.statevalue,MbT,MT
198.statefips,72,6
1315.fipstwo,f26194,f26149
1285.fipstwo,f2z6095,f26095
3069.statevalue,WrA,WA
1455.county,Jackosn ,Jackson 
149.statefips,2.0,5
1255.statecounty,MI_Claer,MI_Clare
3142.statecounty,IW_Sawyer,WI_Sawyer
199.fipstwo,f01031,f06015
1608.county,Yazooa ,Yazoo 
2714.fipstwo,f4805,f48205
1346.fipstwo,f20751,f27051
2693.statevalue,X,TX
2065.countytwo,Clar k,Clark 
494.statevalue,GwA,GA
216.statefips,2.0,6
2689.statevalue,X,TX
1747.statecounty,NC_Sotland,NC_Scotland
2641.fipstwo,f8059,f48059
145.fips,2122.0,5097
194.fipstwo,f02050,f06005
2285.county,Hntingdon ,Huntingdon 
2531.countytwo,ocke ,Cocke 
125.statecounty,AK_Ketchikan Gateway Borough,AR_Hempstead
1829.fipstwo,f3103,f31023
81.county,Bristol Bay Borough,Morgan 
1581.countytwo,Pedarl River ,Pearl River 
332.statecounty,FL_Cralhoun,FL_Calhoun
2415.statevalue,bSC,SC
57.statevalue,L,AL
160.statefips,2.0,5
714.county,Clginton ,Clinton 
3092.statevalue,WjI,WI
439.countytwo,Doughety ,Dougherty 
124.county,Aleutians West Census Area,Greene 
1754.county,Unioin ,Union 
2189.statevalue,OeK,OK
1163.countytwo,St. Benrard ,St. Bernard 
3004.countytwo,Roanoek city,Roanoke city
248.fipstwo,f02060,f06113
689.statevalue,DI,ID
1546.countytwo,hGeorge ,George 
1466.fipstwo,f29171,f29117
229.fipstwo,f06067,f06075
266.statefips,49,8
99.fipstwo,f02013,f05005
141.fips,2068.0,5089
70.county,Aleutians East Borough,Lee 
670.countytwo,anyon ,Canyon 
92.statevalue,AcL,AL
933.fipstwo,f2007n7,f20077
2029.fipstwo,f3675,f36075
1684.countytwo,Cherokexe ,Cherokee 
1140.county,kFranklin Parish,Franklin Parish
203.fipstwo,f02090,f06023
1621.statecounty,MT_Fakllon,MT_Fallon
662.county,fBingham ,Bingham 
1578.countytwo,Noxubeje ,Noxubee 
199.fips,2050.0,6015
698.countytwo,Twian Falls ,Twin Falls 
833.countytwo,Hrarison ,Harrison 
138.fips,2060.0,5083
1572.statecounty,MSMarion,MS_Marion
73.statecounty,AK_Bethel Census Area,AL_Macon
769.county,Mogran ,Morgan 
1461.county,Lafagyette ,Lafayette 
2691.countytwo,Frankli ,Franklin 
99.county,Bethel Census Area,Baxter 
119.statevalue,AL,AR
145.statevalue,AK,AR
317.county,iMddlesex ,Middlesex 
1812.fipstwo,fg38095,f38095
2640.countytwo,tCalhoun ,Calhoun 
2590.statecounty,TNx_Robertson,TN_Robertson
2130.county,Summmit ,Summit 
117.county,Fairbanks North Star Borough,Desha 
1236.statecounty,ME_Wshington,ME_Washington
122.county,Northwest Arctic Borough,Garland 
1986.county,Mienral ,Mineral 
121.statefips,2.0,5
963.county,Notron ,Norton 
2241.countytwo,Malheurm ,Malheur 
1165.statecounty,LA_St. Helean,LA_St. Helena
3089.statecounty,WI_Baywfield,WI_Bayfield
101.statecounty,AK_Aleutians East Borough,AR_Boone
111.statevalue,AL,AR
146.fips,2016.0,5099
233.statefips,9,6
2303.statevalue,AP,PA
22.fips,2185.0,2220
2206.countytwo,oRger Mills ,Roger Mills 
1434.statevalue,OM,MO
442.statecounty,GA_Echosl,GA_Echols
1548.fipstwo,2f8043,f28043
2702.countytwo,Grayon ,Grayson 
1893.statevalue,EN,NE
1812.countytwo,Tonwner ,Towner 
281.statefips,51,8
2017.fipstwo,f36015,f36051
115.county,Aleutians West Census Area,Cross 
3173.fipstwo,f50431,f54031
337.statecounty,FL_Columbiia,FL_Columbia
2550.county,Hncock ,Hancock 
678.county,Fdremont ,Fremont 
1363.fipstwo,f270r87,f27087
137.statecounty,AL_Conecuh,AR_Little River
164.statevalue,AL,AR
3130.countytwo,uOtagamie ,Outagamie 
165.statevalue,AL,AR
43.statecounty,AK_Dillingham Census Area,AL_Clay
1874.countytwo,Logaun ,Logan 
1537.countytwo,Claibrone ,Claiborne 
94.statevalue,uAL,AL
91.fips,2180.0,1123
2768.county,Mson ,Mason 
1939.county,Sumssex ,Sussex 
41.county,Choctatw ,Choctaw 
2106.county,Meigsj ,Meigs 
171.fipstwo,f01009,f05149
1623.statecounty,MT_uFlathead,MT_Flathead
3021.county,Wparren ,Warren 
130.statevalue,AK,AR
63.statefips,2.0,1
100.fipstwo,f02060,f05007
2317.county,Washigton ,Washington 
270.statefips,103,8
1832.countytwo,hase ,Chase 
3054.countytwo,Cowlitcz ,Cowlitz 
3078.statevalue,AW,WA
1676.countytwo,Brke ,Burke 
183.fipstwo,f02105,f04012
2222.statevalue,R,OR
1480.countytwo,Newotn ,Newton 
633.county,Pocahnotas ,Pocahontas 
1174.countytwo,Terrerbonne ,Terrebonne 
184.statevalue,AL,AZ
846.fipstwo,f1887,f18087
286.fipstwo,f8071,f08071
120.statevalue,R,AR
1162.countytwo,fSabine ,Sabine 
87.fipstwo,f02050,f01117
1419.statevalue,O,MO
618.fipstwo,f1v9121,f19121
1965.statecounty,NM_San Juna,NM_San Juan
560.fipstwo,f1005,f19005
299.statefips,33,8
3033.countytwo,Addipson ,Addison 
83.statefips,2.0,1
2768.statecounty,TX_Masn,TX_Mason
1584.statevalue,S,MS
812.fipstwo,fj18019,f18019
1739.fipstwo,3f7149,f37149
1746.county,Sampso n,Sampson 
630.statevalue,AI,IA
169.fipstwo,f02020,f05145
1208.statevalue,D,MD
1146.countytwo,Jeffreson Davis ,Jefferson Davis 
680.countytwo,Goodingd ,Gooding 
60.statecounty,AL_Covington,AL_Geneva
242.fipstwo,f02261,f06101
1073.countytwo,Magoffi n,Magoffin 
2144.county,Atok a,Atoka 
81.statefips,2.0,1
2923.statecounty,V_AClarke,VA_Clarke
217.statefips,2.0,6
138.county,Aleutians West Census Area,Logan 
