540.code,74-Im030,74-I030
316.websiteurl,mwww.mpsi20.org,www.mpsi20.org
264.city,Crescetn,Crescent
492.code,69-I05,69-I015
44.city,aCrnegie,Carnegie
467.superintendent,Torrey Gainaes,Torrey Gaines
540.statevalue,K,OK
521.code,72-I02,72-I002
357.phone,(405)350-3410,(405) 350-3410
531.websiteurl,http://www.glenmpool.k12.ok.us,http://www.glenpool.k12.ok.us
241.statevalue,KO,OK
376.superintendent,Todd een,Todd Been
65.statevalue,K,OK
153.countyname,GARFIELD   ,GARFIELD    
278.superintendentsemail,dpullen@osageeleemntary.com,dpullen@osageelementary.com
151.superintendentsemail,tkincannon@arnett.k12.ok.su,tkincannon@arnett.k12.ok.us
398.code,u59-I001,59-I001
405.code,60-I011,60-I101
72.districtname,LOWREY                       ,LOWREY                        
53.phone,(045) 262-0598,(405) 262-0598
367.websiteurl,k.insightschools.net,ok.insightschools.net
169.statevalue,K,OK
99.fax,(58b0) 927-2694,(580) 927-2694
501.fax,(5u80) 652-3118,(580) 652-3118
457.districtname,CLAREMORE                     ***,CLAREMORE                     
111.boardpresident,Brent Peterns,Brent Peters
535.phone,(98) 485-4046,(918) 485-4046
456.boardpresident,Robyn Dennsi,Robyn Dennis
247.boardpresident,Max arver,Max Carver
471.city,Seminoel,Seminole
225.districtname,HENNEySSEY                     ,HENNESSEY                     
489.boardpresident,Demtera Cox,Demetra Cox
131.address,144 S. iElm,144 S. Elm
307.city,Council nHill,Council Hill
471.websiteurl,ww.varnum.k12.ok.us,www.varnum.k12.ok.us
279.address,405m Sw 1St St.,405 Sw 1St St.
401.districtname,RIPLEY                   p     ,RIPLEY                        
143.phone,(918) 786-3030,(918) 786-3003
514.superintendent,lsie Urueta,Elsie Urueta
202.code,33-I018***,33-I018
233.address,404 N. Maijn,404 N. Main
201.boardpresident,MichaelMilner,Michael Milner
35.statevalue,KO,OK
112.statevalue,K,OK
495.websiteurl,http://www.braydoyle.k12.o.kus/,http://www.braydoyle.k12.ok.us/
304.countyname,MCINTOSHr    ,MCINTOSH    
102.websiteurl,www.Bishp.K12.ok.us,www.Bishop.K12.ok.us
272.countyname,AJOR       ,MAJOR       
501.superintendentsemail,dfaukner@hookerpublicschools.net,dfaulkner@hookerpublicschools.net
333.websiteurl,www.weleetka.k12.ok.ums,www.weleetka.k12.ok.us
385.code,57v-I030,57-I030
38.superintendent,erald Parks,Gerald Parks
2.superintendent,iLori Means,Lori Means
190.superintendent,Scott Shephedr,Scott Shepherd
13.phone,(580)852-3307,(580) 852-3307
277.districtname,WICKLIFFE                     ***,WICKLIFFE                     
2.superintendentsemail,lmeans@maryetta.k12.ko.us,lmeans@maryetta.k12.ok.us
242.fax,(98) 436-2437,(918) 436-2437
131.websiteurl,www.kellyvlileschools.org,www.kellyvilleschools.org
437.code,63-I04,63-I004
101.countyname,COANCHE    ,COMANCHE    
333.countyname,OKFUSKE    ,OKFUSKEE    
117.phone,(918)7 88-3129,(918) 788-3129
8.fax,(918) 72-33042,(918) 723-3042
215.superintendentsemail,jromines@tupelo.k12ok.us,jromines@tupelo.k12.ok.us
482.city,ian,Vian
7.address,616 6Th Sreet,616 6Th Street
237.superintendentsemail,klarosa@nmonroe.k12.ok.us,klarosa@monroe.k12.ok.us
2.city,Stilwll,Stilwell
261.websiteurl,www.carne.k12.ok.us,www.carney.k12.ok.us
138.superintendent,Keny Guthrie,Kenny Guthrie
332.superintendent,Ton Dean,Tony Dean
73.code,11n-C014,11-C014
344.websiteurl,www.sntafesouth.org,www.santafesouth.org
528.websiteurl,http://www.unionp.sorg/,http://www.unionps.org/
532.city,Mounsd,Mounds
350.phone,(4v05) 277-3233,(405) 277-3233
87.boardpresident,Angella Dnacer,Angella Dancer
391.city,Wyandotte***,Wyandotte
423.boardpresident,Reobert Hammonds,Robert Hammonds
312.code,5-1I002,51-I002
400.countyname,AYNE       ,PAYNE       
303.code,49-C030,49-C003
422.city,Mcaleter,Mcalester
356.address,6724 North Martin Lutwher King Avenue,6724 North Martin Luther King Avenue
264.statevalue,K,OK
23.code,04-1I28,04-I128
153.fax,(80) 758-3834,(580) 758-3834
12.websiteurl,ttp://cherokee.k12.ok.us/,http://cherokee.k12.ok.us/
218.fax,(58)0 363-5513,(580) 363-5513
73.countyname,CHREOKEE    ,CHEROKEE    
237.websiteurl,www.mhonroe.k12.ok.us,www.monroe.k12.ok.us
40.countyname,BRYAN       ***,BRYAN       
132.districtname,SAPULPA                      ,SAPULPA                       
281.address,212 E Feryr St,212 E Ferry St
435.fax,(405) 9c64-5559,(405) 964-5559
42.boardpresident,oTmmy House,Tommy House
92.websiteurl,www.robinhillscnhool.org,www.robinhillschool.org
260.countyname,LINCOL N    ,LINCOLN     
229.countyname,KIOWA    s   ,KIOWA       
279.websiteurl,www.pbryorschools.org,www.pryorschools.org
492.address,901 Mai nStreet,901 Main Street
201.code,33-I041,33-I014
231.city,Mt. Pakr,Mt. Park
388.districtname,WOODLAN                      ,WOODLAND                      
96.fax,405) 527-9517,(405) 527-9517
404.fax,(918) 225a-5256,(918) 225-5256
102.code,16C049,16-C049
356.superintendentsemail,crobinson@millwoodpso.rg,crobinson@millwoodps.org
335.fax,(405) 717-5220,(405) 771-5220
82.statevalue,OcK,OK
445.address,165269 N 356 Rd,165269 N 4356 Rd
389.city,ominy,Hominy
537.address,52p7 Hornet Lane,527 Hornet Lane
491.websiteurl,www.marlow.k12.ok.us***,www.marlow.k12.ok.us
77.districtname,GRAND VIEW                    ***,GRAND VIEW                    
339.city,Okahoma City,Oklahoma City
85.boardpresident,John Krer,John Kerr
291.statevalue,K,OK
72.city,Tahequah,Tahlequah
511.city,Tlsa,Tulsa
397.superintendent,errick Meador,Derrick Meador
336.code,5l5-C074,55-C074
73.superintendent,Diana Garnaz,Diana Garnatz
394.phone,918) 542-8455,(918) 542-8455
394.code,58-I02r3,58-I023
214.superintendentsemail,jojhn.sheridan@coleman.k12.ok.us,john.sheridan@coleman.k12.ok.us
194.superintendentsemail,tmorris@keota.k12ok.us,tmorris@keota.k12.ok.us
24.code,05w-I002,05-I002
451.superintendent,Rusyt Puffinbarger,Rusty Puffinbarger
146.address,375 W. Main,357 W. Main
237.city,oMnroe,Monroe
58.districtname,EL RENO              z         ,EL RENO                       
140.superintendent,Billy Tayjlor,Billy Taylor
93.countyname,sCLEVELAND   ,CLEVELAND   
352.superintendent,Ranet Tippesn,Ranet Tippens
253.city,Arkoam,Arkoma
302.boardpresident,Timc Moyer,Tim Moyer
115.districtname,WHITE OAK                     ***,WHITE OAK                     
547.address,1138Eagle Pass,1138 Eagle Pass
211.countyname,OHNSTON    ,JOHNSTON    
170.superintendentsemail,jread@middeberg.k12.ok.us,jread@middleberg.k12.ok.us
479.city,Muldrotw,Muldrow
29.districtname,WATONGA                      ,WATONGA                       
335.phone,(045) 771-3373,(405) 771-3373
496.superintendent,Freid Burgess,Freida Burgess
202.countyname,JACKSNO     ,JACKSON     
300.boardpresident,Ryandy Watkins,Randy Watkins
46.boardpresident,Delbelrt Mccurley,Delbert Mccurley
451.districtname,LEEDEY                       ,LEEDEY                        
59.boardpresident,Jobhn Everett,John Everett
312.phone,(918) 82-5221,(918) 482-5221
357.city,OklahomaC ity,Oklahoma City
7.superintendentsemail,lwevaer@WATTSSCHOOL.COM,lweaver@WATTSSCHOOL.COM
12.phone,(580) 56-3391,(580) 596-3391
7.websiteurl,wattschool.com,wattsschool.com
263.superintendentsemail,mike.simpson@guthrips.net,mike.simpson@guthrieps.net
322.phone,(508) 336-4511,(580) 336-4511
472.statevalue,KO,OK
437.fax,(405) 598-804s1,(405) 598-8041
425.superintendentsemail,ctodd.crabtree@byngschools.org,todd.crabtree@byngschools.org
286.fax,(405) 28-6214,(405) 288-6214
363.statevalue,OlK,OK
428.city,Stonewalxl,Stonewall
27.superintendentsemail,JKELLY@ERICKPS.K12.O.US,JKELLY@ERICKPS.K12.OK.US
389.districtname,ILC) OSAGE COUNTY            ,(ILC) OSAGE COUNTY            
67.superintendentsemail,esmith@wilon.k12.ok.us,esmith@wilson.k12.ok.us
164.city,Maysvlle,Maysville
332.districtname,OKEMAH                        ***,OKEMAH                        
91.superintendentsemail,sherri.hitchings@kexyesps.org,sherri.hitchings@keyesps.org
394.fax,(918) 542-m1236,(918) 542-1236
205.fax,(580) 43-2246,(580) 437-2246
451.fax,5(80) 488-3428,(580) 488-3428
42.phone,(405)4 57-6623,(405) 457-6623
36.countyname,BRYAN       ***,BRYAN       
493.fax,(580) 252-4321,(580) 252-4231
271.districtname,RpINGWOOD                      ,RINGWOOD                      
293.city,Idaebl,Idabel
136.city,Wpeatherford,Weatherford
41.boardpresident,Wnston Barnett,Winston Barnett
421.phone,(918) 423-5062,(918) 432-5062
353.fax,(n405) 347-2849,(405) 347-2849
496.superintendentsemail,optimapublicschool@gmaifl.com,optimapublicschool@gmail.com
503.superintendentsemail,jbirdsong@goodwell.k12.oku.s,jbirdsong@goodwell.k12.ok.us
495.superintendentsemail,d.eads@braydoyle.ok12.ok.us,d.eads@braydoyle.k12.ok.us
351.statevalue,K,OK
435.phone,r(405) 964-5558,(405) 964-5558
344.address,4825 S Shiedls Blvd,4825 S Shields Blvd
337.boardpresident,rBent Warma,Brent Warma
198.boardpresident,James Simmos,James Simmons
61.superintendentsemail,keldon@chs.k12.ok.us,kweldon@chs.k12.ok.us
397.fax,(877) 549-7011***,(877) 549-7011
331.fax,(405) 93q2-4132,(405) 932-4132
263.superintendent,Dr. Micke Simpson,Dr. Mike Simpson
357.statevalue,K,OK
336.countyname,OKLAHOMA   ,OKLAHOMA    
46.fax,(58) 464-2445,(580) 464-2445
548.statevalue,KO,OK
188.boardpresident,Dr. Rcik Olson,Dr. Rick Olson
101.statevalue,zOK,OK
292.code,48C023,48-C023
388.websiteurl,http://www.owodland.k12.ok.us/,http://www.woodland.k12.ok.us/
109.address,108 W Hronaday,108 W Hornaday
545.districtname,ALVA      j                    ,ALVA                          
119.code,18-I056,18-I065
338.countyname,OKLAHOM    ,OKLAHOMA    
289.superintendentsemail,drbeckham@blanchrad.k12.ok.us,drbeckham@blanchard.k12.ok.us
53.superintendent,Lagrry York,Larry York
9.websiteurl,http://wwws.tilwellk12.org,http://www.stilwellk12.org
55.websiteurl,www.mapleschool.ucs,www.mapleschool.us
300.address,601 Scool Street,601 School Street
381.fax,(580)765-8552,(580) 765-8552
532.superintendent,Jim ilmartin,Jim Gilmartin
152.boardpresident,oCdy Rehder,Cody Rehder
487.phone,(918) 775-552w5,(918) 775-5525
284.superintendent,Tony O'brifen,Tony O'brien
50.countyname,CADD       ,CADDO       
67.countyname,CARTER      ***,CARTER      
222.statevalue,K,OK
270.websiteurl,http://www.maiettaisd.org,http://www.mariettaisd.org
488.code,69-Cd082,69-C082
281.phone,(918) q434-5091,(918) 434-5091
21.phone,(580) 646-338j5,(580) 646-3385
71.districtname,(IL)C TRI-COUNTY              ,(ILC) TRI-COUNTY              
273.address,408 East BroadwayS treet,408 East Broadway Street
316.districtname,MUSKOGEE                     ,MUSKOGEE                      
33.code,70-I002,07-I002
269.districtname,TURNER                       ,TURNER                        
297.districtname,VALLIANT                      ***,VALLIANT                      
299.districtname,SMITHVILLE                    ***,SMITHVILLE                    
13.address,601 . Main,601 N. Main
341.superintendentsemail,mmiller@hardingcharterperp.org,mmiller@hardingcharterprep.org
195.countyname,HUGHE      ,HUGHES      
508.city,Grandfiedl,Grandfield
208.boardpresident,Kimberly Gholsxon,Kimberly Gholson
309.websiteurl,www.sulphurk2.org,www.sulphurk12.org
11.city,Burlingtotn,Burlington
157.websiteurl,www.ppv.k12.ok.su,www.ppv.k12.ok.us
317.districtname,HILLDALE                     ,HILLDALE                      
495.address,1205 South Books Road,1205 South Brooks Road
480.boardpresident,Sylvester Caroilna,Sylvester Carolina
176.websiteurl,http://www.rushpsrings.k12.ok.us/,http://www.rushsprings.k12.ok.us/
88.boardpresident,Shan Spillman,Shane Spillman
176.address,610 West Blakley,601 West Blakley
358.code,55-Ix052,55-I052
383.superintendentsemail,benvwest@shidlerps.org,benwest@shidlerps.org
456.superintendent,Davibd Garroutte,David Garroutte
370.address,1801 Tmroy Aikman Dr,1801 Troy Aikman Dr
93.code,14-I002***,14-I002
526.superintendent,RickT homas,Rick Thomas
182.superintendentsemail,jquinn@pondcreek-hunter.kh12.ok.us,jquinn@pondcreek-hunter.k12.ok.us
373.websiteurl,http://www.preston.k12.okj.us/,http://www.preston.k12.ok.us/
363.countyname,OKLAHOMA   q ,OKLAHOMA    
320.statevalue,OnK,OK
159.statevalue,kOK,OK
44.code,08-I33,08-I033
294.superintendent,Harey Brumley,Harvey Brumley
229.districtname,LONE WOLF               h      ,LONE WOLF                     
485.websiteurl,www.rolandscholos.org,www.rolandschools.org
200.address,15695 South County oad 210,15695 South County Road 210
178.boardpresident,Tiim Hogland,Tim Hogland
163.address,410 Stewart Street iWest,410 Stewart Street West
100.city,Tupelio,Tupelo
10.websiteurl,www.cahvesprings.k12.ok.us,www.cavesprings.k12.ok.us
390.countyname,OTTAWA    o  ,OTTAWA      
241.districtname,HEAVENER                     ,HEAVENER                      
193.statevalue,KO,OK
273.code,44-I84,44-I084
87.superintendentsemail,soperschool@slive.com,soperschool@live.com
146.statevalue,K,OK
433.districtname,SOUTH uROCK CREEK              ,SOUTH ROCK CREEK              
442.districtname,WANETTE                      ,WANETTE                       
388.city,Firfax,Fairfax
536.city,Portker,Porter
415.code,b61-I011,61-I011
88.city,Hgo,Hugo
326.boardpresident,rEic Epperson,Eric Epperson
365.statevalue,nOK,OK
478.superintendentsemail,greynolds@brushy.k12.o.kus,greynolds@brushy.k12.ok.us
378.code,57-C007***,57-C007
515.boardpresident,Grecgory Shaw,Gregory Shaw
45.countyname,CDADO       ,CADDO       
124.superintendentsemail,cshleton@bristow.k12.ok.us,cshelton@bristow.k12.ok.us
420.fax,(918) 548-836,(918) 548-3836
312.countyname,MUSKOGE E   ,MUSKOGEE    
205.superintendentsemail,gfouse@terral.k12.ko.us,gfouse@terral.k12.ok.us
284.boardpresident,Doug Harrymjan,Doug Harryman
425.code,62-016,62-I016
165.districtname,LINDSAY                      ,LINDSAY                       
456.districtname,JUSTUS-TIAWAH                 ***,JUSTUS-TIAWAH                 
236.address,2838 Wheelus ,22838 Wheelus 
311.phone,(918) 474-384,(918) 474-3484
128.statevalue,cOK,OK
322.address,900 Fir tSreet,900 Fir Street
371.superintendentsemail,ckrch@morrisschools.net,ckarch@morrisschools.net
457.code,66-I010,66-I001
1.code,10-C019,01-C019
248.fax,(918)l 647-9357,(918) 647-9357
100.countyname,COAL        ***,COAL        
197.code,32-Io035,32-I035
63.boardpresident,James Foremne,James Foremen
455.phone,(z580) 473-2221,(580) 473-2221
354.superintendent,Carl oJhnson,Carl Johnson
409.fax,(918 )423-4687,(918) 423-4687
527.superintendentsemail,bbeagles@sperry.12.ok.us,bbeagles@sperry.k12.ok.us
447.fax,(580) 587-000,(580) 587-4000
544.code,75i-I078,75-I078
488.address,Box 27762 E. 1840 Rd.,Box 277062 E. 1840 Rd.
180.address,401 Eats Main Street,401 East Main Street
30.superintendentsemail,tglasgo@wgeary.k12.ok.us,tglasgow@geary.k12.ok.us
116.superintendent,Joy Tayolor,Joy Taylor
170.statevalue,K,OK
32.phone,(580) 924-7l000,(580) 924-7000
401.websiteurl,www.ripleyy.k12.ok.us,www.ripley.k12.ok.us
474.code,6-I015,67-I015
245.boardpresident,Gary Hofmfan,Gary Hoffman
131.districtname,KELLYVLILE                    ,KELLYVILLE                    
179.superintendentsemail,ddavidson@verdnenschools.org,ddavidson@verdenschools.org
219.phone,(580 767-8000,(580) 767-8000
332.fax,918) 623-1203,(918) 623-1203
91.address,Rd & Mcknab,3Rd & Mcknab
49.superintendent,RichardB rownen,Richard Brownen
26.superintendent,Danny Crab,Danny Crabb
380.code,5l7-C052,57-C052
358.superintendent,Rick oCbb,Rick Cobb
273.countyname,MAJOR       ***,MAJOR       
157.superintendent,Bent Koontz,Brent Koontz
114.superintendent,rDanny Mccuiston,Danny Mccuiston
501.superintendent,Dan aFulkner,Dan Faulkner
253.websiteurl,https://sites.google.com/ste/arkomak12/,https://sites.google.com/site/arkomak12/
103.websiteurl,www.caceps.org,www.cacheps.org
367.countyname,OKiLAHOMA    ,OKLAHOMA    
219.websiteurl,ww.wpcps.us,www.pcps.us
165.boardpresident,Krris Cummins,Kris Cummins
248.superintendent,Don Sjboerg,Don Sjoberg
60.address,906 South Heights rDive,906 South Heights Drive
343.boardpresident,Gary Jonse,Gary Jones
518.statevalue,sOK,OK
21.countyname,BEAVER     ,BEAVER      
272.statevalue,KO,OK
538.city,Dewye,Dewey
352.statevalue,K,OK
289.boardpresident,Ti Sluder,Tim Sluder
256.districtname,DAVEPORT                     ,DAVENPORT                     
181.countyname,GRANT  j     ,GRANT       
213.statevalue,KO,OK
4.boardpresident,Robert Patetrson,Robert Patterson
213.superintendent,Joey Mcbdride,Joey Mcbride
108.phone,(580) 357-900,(580) 357-6900
270.districtname,MARIETT                      ,MARIETTA                      
328.countyname,NwOWATA      ,NOWATA      
541.boardpresident,usty Shields,Rusty Shields
54.boardpresident,eforest Tallbear,Deforest Tallbear
230.fax,(5y80) 347-2869,(580) 347-2869
121.websiteurl,http://www.gypsy.k12.ok.su,http://www.gypsy.k12.ok.us
147.city,Vcii,Vici
94.address,131 South lood Avenue,131 South Flood Avenue
550.websiteurl,www.smps.k12.oku.s,www.smps.k12.ok.us
310.city,aDvis,Davis
149.boardpresident,Gusscie Drain,Gussie Drain
328.address,60 0E. 5Th ,600 E. 5Th 
502.countyname,TEXASu       ,TEXAS       
524.statevalue,KO,OK
521.countyname,TULSA      ,TULSA       
283.websiteurl,http://www.chouteauwildcatsc.om/,http://www.chouteauwildcats.com/
348.code,55-008,55-G008
31.districtname,CANTON                        ***,CANTON                        
433.code,3-C032,63-C032
134.countyname,CUSTER     ,CUSTER      
209.countyname,JnOHNSTON    ,JOHNSTON    
122.code,1-C034,19-C034
294.superintendentsemail,hbrumleyhollycreek.org,hbrumley@hollycreek.org
491.fax,(580) 658-c6455,(580) 658-6455
67.websiteurl,www.wilson.k12.ok.us***,www.wilson.k12.ok.us
28.websiteurl,http://nokeene.k12.ok.us/,http://okeene.k12.ok.us/
477.superintendent,Blil London,Bill London
552.districtname,BOKOSHE        v               ,BOKOSHE                       
118.superintendent,ShellieBaker,Shellie Baker
533.statevalue,K,OK
174.superintendentsemail,tbuncch@ninnekah.k12.ok.us,tbunch@ninnekah.k12.ok.us
442.code,6-I115,63-I115
419.districtname,ROWDER                       ,CROWDER                       
408.superintendentsemail,fpturner@krebs.k12.ok.us,pturner@krebs.k12.ok.us
36.websiteurl,www.caddoisd.rog,www.caddoisd.org
252.boardpresident,Elvisp Hall,Elvis Hall
507.code,71-158,71-I158
59.phone,(405) 48m3-3531,(405) 483-3531
300.superintendentsemail,dhakwins@wcisd.org,dhawkins@wcisd.org
160.address,400e E Maine,400 E Maine
364.superintendent,Davdi Chaney,David Chaney
338.phone,(405) 475-640,(405) 475-6400
403.phone,(405) 54t7-5703,(405) 547-5703
416.superintendentsemail,rpool@kiowka.k12.ok.us,rpool@kiowa.k12.ok.us
253.phone,918) 875-3353,(918) 875-3353
135.phone,(580) 661-327,(580) 661-3527
479.code,68-C0w50,68-C050
455.statevalue,KO,OK
504.superintendentsemail,tom.schroedertexhoma61.net,tom.schroeder@texhoma61.net
223.address,18319 N 700 Rd,18319 N 2700 Rd
525.fax,f(918) 371-4285,(918) 371-4285
544.boardpresident,Jm Price,Jim Price
223.city,Omea,Omega
34.address,101 N 5hT Ave,101 N 5Th Ave
341.websiteurl,ewww.hardingcharterprep.org,www.hardingcharterprep.org
219.city,Ponc aCity,Ponca City
531.superintendent,Jerry Olansn,Jerry Olansen
425.superintendent,Todd Crabtee,Todd Crabtree
250.boardpresident,Brian Holladn,Brian Holland
393.districtname,COMMERCE                     ,COMMERCE                      
442.countyname,PnOTTAWATOMIE,POTTAWATOMIE
169.address,130 County Road 1350,1307 County Road 1350
545.phone,(5w80) 327-4823,(580) 327-4823
412.districtname,CARLTON LANDINyG ACADEMY       ,CARLTON LANDING ACADEMY       
156.city,Garebr,Garber
516.superintendent,Deborah rBrown,Deborah Brown
379.statevalue,OdK,OK
134.city,Arapdaho,Arapaho
266.address,70 0S Cottingham,700 S Cottingham
105.boardpresident,Jon Ktvala,Jon Katvala
541.statevalue,OgK,OK
60.city,Msutang,Mustang
99.address,2 West Cedasr,2 West Cedar
205.code,34-C03,34-C003
454.superintendentsemail,creed@sweetwater.k1.2ok.us,creed@sweetwater.k12.ok.us
361.boardpresident,Puala Lewis,Paula Lewis
328.districtname,SOUTH COFFYEVILLE             ,SOUTH COFFEYVILLE             
302.districtname,ROKEN BOW                    ,BROKEN BOW                    
260.superintendentsemail,vfelmtan@prague.k12.ok.us,vfeltman@prague.k12.ok.us
453.countyname,OGER MILLS ,ROGER MILLS 
417.statevalue,K,OK
274.countyname,MAJO       ,MAJOR       
361.city,Oklahoma Cpity,Oklahoma City
57.phone,(405) 354-2578,(405) 354-2587
203.fax,(580)6 48-2501,(580) 648-2501
129.superintendentsemail,mposey@oilton.k12.k.us,mposey@oilton.k12.ok.us
223.countyname,KNGFISHER  ,KINGFISHER  
23.fax,(580) i778-3179,(580) 778-3179
263.statevalue,KO,OK
286.address,10 East Kerby,101 East Kerby
224.fax,(405) 35-5565,(405) 375-5565
322.code,52-Il001,52-I001
235.districtname,PANOLA                    c    ,PANOLA                        
163.fax,(405) 4847268,(405) 484-7268
80.websiteurl,www.keys.k2.ok.us,www.keys.k12.ok.us
525.countyname,TULSA      ,TULSA       
367.districtname,INSGHT SCHOOL OF OKLAHOMA    ,INSIGHT SCHOOL OF OKLAHOMA    
61.boardpresident,Kirk Kenney,Kirk Kennedy
363.address,30201 Chicgkasaw Street,30201 Chickasaw Street
355.phone,(c405) 340-2828,(405) 340-2828
528.fax,(918) 3576012,(918) 357-6012
324.websiteurl,www.frontierk.com,www.frontierok.com
54.superintendent,iLoren Tackett,Loren Tackett
210.superintendent,Davd Duncan,David Duncan
132.address,511 ast Lee,511 East Lee
75.countyname,CHEORKEE    ,CHEROKEE    
378.superintendentsemail,nhinkle@bohwringps.k12.ok.us,nhinkle@bowringps.k12.ok.us
153.statevalue,oOK,OK
216.city,dNewkirk,Newkirk
534.superintendent,eff Holmes,Jeff Holmes
288.superintendent,Jason Midkkiff,Jason Midkiff
255.code,41-I00x1,41-I001
298.city,Eaglettown,Eagletown
223.code,37-I030,37-I003
431.superintendent,aMrk Bowlan,Mark Bowlan
87.countyname,CHOhCTAW     ,CHOCTAW     
336.address,2401 North Air Depot Boulesvard,2401 North Air Depot Boulevard
60.phone,4(05) 376-2461,(405) 376-2461
468.websiteurl,ww.bowlegs.k12.ok.us,www.bowlegs.k12.ok.us
421.city,Pittsubrg,Pittsburg
275.websiteurl,www.madilloik.com,www.madillok.com
541.address,708 E. Washingon,708 E. Washington
263.countyname,LGOAN       ,LOGAN       
315.districtname,OKTAHA      p                  ,OKTAHA                        
376.districtname,DEWAR                 l        ,DEWAR                         
110.districtname,ELGIN                         ***,ELGIN                         
357.superintendent,Joe iKtchens,Joe Kitchens
308.phone,(918) 657-2532,(918) 657-2523
142.websiteurl,www.jay.k12ok.us,www.jay.k12.ok.us
93.superintendentsemail,robertromies@mooreschools.com,robertromines@mooreschools.com
319.phone,(918)4 87-5265,(918) 487-5265
46.statevalue,K,OK
548.websiteurl,www.woodwarpds.net,www.woodwardps.net
506.superintendent,ShaneB oothe,Shane Boothe
472.city,Spasakwa,Sasakwa
425.countyname,PONTOTO C   ,PONTOTOC    
542.boardpresident,Jimmy Piervcey,Jimmy Piercey
192.boardpresident,Susan Whte,Susan White
371.boardpresident,James Allerd***,James Allerd
256.statevalue,K,OK
432.code,63-C09,63-C029
505.districtname,DAVIDSON                      ***,DAVIDSON                      
508.statevalue,K,OK
116.boardpresident,Dandy Rismna,Dandy Risman
424.phone,(580) 759-2521,(580) 759-2251
380.address,2195 Anderson oad,2195 Anderson Road
480.superintendent,Jimxmie Owens,Jimmie Owens
295.address,200 Northeast Avenu C,200 Northeast Avenue C
136.phone,(580) 7y72-3327,(580) 772-3327
357.districtname,WSETERN HEIGHTS               ,WESTERN HEIGHTS               
368.statevalue,KO,OK
252.superintendentsemail,sparks@howeschoolso.rg,sparks@howeschools.org
410.phone,918) 423-6393,(918) 423-6393
232.superintendentsemail,trice.butlier@wilburtondiggers.org,trice.butler@wilburtondiggers.org
99.countyname,COAL  z      ,COAL        
329.superintendentsemail,ddeere@bearden.k12.ok.us***,ddeere@bearden.k12.ok.us
124.code,9-I002,19-I002
200.city,Alhtus,Altus
345.phone,(405) 605-02u01,(405) 605-0201
490.boardpresident,Cuhck Dunlap,Chuck Dunlap
27.address,325 S. Phine St.,325 S. Pine St.
319.websiteurl,www.braggs.k12q.ok.us,www.braggs.k12.ok.us
249.statevalue,KO,OK
121.superintendentsemail,rrcollins@gypsy.k12.ok.us,rcollins@gypsy.k12.ok.us
102.fax,(580) 35u3-4879,(580) 353-4879
426.countyname,PONTOTO C   ,PONTOTOC    
92.superintendentsemail,bvoss@robinhill.k21.ok.us,bvoss@robinhill.k12.ok.us
334.address,11611u8 Highway 84,116118 Highway 84
200.statevalue,K,OK
285.countyname,MCLAIN     ,MCCLAIN     
260.statevalue,K,OK
15.phone,(580) 889-2743***,(580) 889-2743
215.code,35-fI037,35-I037
415.fax,(918)x 297-7136,(918) 297-7136
234.boardpresident,Rusmsell Shaw,Russell Shaw
48.phone,(405)o 489-3216,(405) 489-3216
446.code,64-rC015,64-C015
368.districtname,TWoIN HILLS                    ,TWIN HILLS                    
80.boardpresident,Radean Fodreman,Radean Foreman
227.countyname,KINGFIHSER  ,KINGFISHER  
353.code,c55-I007,55-I007
548.city,Woodard,Woodward
400.code,06-C104,60-C104
209.phone,(580) 37-12892,(580) 371-2892
247.statevalue,yOK,OK
398.address,61i5 Denver Street,615 Denver Street
227.superintendentsemail,friesenr@okarche.k12ok.us,friesenr@okarche.k12.ok.us
5.code,10-C029,01-C029
372.address,1201 West Nnth Street,1201 West Ninth Street
307.code,4-I027,49-I027
542.countyname,rWASHITA     ,WASHITA     
397.address,4g75 North Oak Street,475 North Oak Street
445.districtname,TUSKAHgOMA                     ,TUSKAHOMA                     
41.city,ydro,Hydro
488.websiteurl,grpandviewschool.k12.ok.us,grandviewschool.k12.ok.us
147.phone,(580) 995-4744***,(580) 995-4744
214.fax,(v580) 937-4615,(580) 937-4615
463.address,1700g2 East 4Th Street,17002 East 4Th Street
459.code,66-I030,66-I003
542.statevalue,KO,OK
493.address,276803 E. 1760 Roda,276803 E. 1760 Road
148.districtname,SEILING                     x  ,SEILING                       
369.city,Okmulgee***,Okmulgee
437.statevalue,K,OK
340.address,3333 N Sharte Ave,3333 N Shartel Ave
400.address,8409 East Ninth treet,8409 East Ninth Street
52.city,l Reno,El Reno
516.city,Tuylsa,Tulsa
81.address,316 Rider Laen,316 Rider Lane
155.statevalue,KO,OK
270.address,800 S T4h Avenue,800 S 4Th Avenue
387.districtname,PRUE                          ***,PRUE                          
446.boardpresident,etty Fuller,Betty Fuller
123.city,ulsa,Tulsa
46.countyname,CAkDDO       ,CADDO       
506.city,Tiptno,Tipton
432.statevalue,OxK,OK
176.countyname,GRADY       ***,GRADY       
168.statevalue,K,OK
370.phone,(918) 652-y6523,(918) 652-6523
501.boardpresident,R EH olbert,R E Holbert
202.statevalue,KO,OK
161.boardpresident,Ed Tillery***,Ed Tillery
168.address,100 Nort Muse Avenue,100 North Muse Avenue
392.superintendent,Randy arr,Randy Darr
79.code,11-Ci066,11-C066
33.statevalue,KO,OK
