sexandraceethnicity,sex,raceethnicity,yearvalue(long),score(double precision),standarderroronscore(double precision),noteonscore
"Total - Female, Whie, non-Hispanic",Fmeale,"White, onn-Hispanic",2013,252.0,0.8,Data not avaialble.
"Total - Female, Blak, non-Hispanic",Female,"Black,non-Hispanic",2000,206.0,5.1,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black,n on-Hispanic",2001,229.0,0.7,Data not available.
"Total - Female, Black, non-iHspanic",Female,"Black, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, nono-Hispanic",2003,217.0,1.8,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-ispanic",2004,229.0,0.7,Data not avaailable.
"Total - Female, Black, non-Hispanic",Fmale,"Black, non-Hispanic",2005,219.0,1.3,Data not available.
"Total - Female, Black, non-Hispanic",Femae,"Black, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Fsemale, Black, non-Hispanic",Femael,"Black, non-Hispanic",2007,225.0,1.9,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2008,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2009,226.0,1.7,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2010,229.0,0.7,Data not available.
"Totla - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2011,229.0,1.5,Data not available.
"Total - Female, Black, non-Hispanic",Female,"Black, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Female, Black, non-Hispanic",Femle,"Black, non-Hispanic",2013,229.0,1.4,Data not available.
"Total - Female, Hispanic",emale,Hispanic,2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variatiopn (CV) is 50 percent or greater.
"Total - Female, Hispanic",Female,ispanic,2001,229.0,0.7,Data not availbale.
"Total -Female, Hispanic",Female,Hispanic,2002,229.0,0.7,Data not available.
"Total - Feamle, Hispanic",Feale,Hispanic,2003,225.0,2.2,Data not avialable.
"Total - Female, Hispanic",Female,Hispanic,2004,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2005,225.0,1.6,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2006,229.0,0.7,Data nost available.
"Total - Female, Hispanic",Female,Hispanic,2007,227.0,2.4,Data not available.
"Total - Female, Hispanic",Female,Hispanic,2008,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispaic,2009,229.0,2.3,Data not availabl.e
"Total - Female, Hispanic",Female,Hispanic,2010,229.0,0.7,Data not available.
"Total - Female, Hispanic",Female,Hispanioc,2011,233.0,2.2,Data not available.
"Total - Female, Hispanic",Femael,iHspanic,2012,229.0,0.7,Data not available.
"Total - Femael, Hispanic",Femael,Hcispanic,2013,235.0,1.6,Data not available.
"Total - Female, Asian, non-Hispanfic",Femael,"Asian, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Fqemale,"Asian, non-Hispanic",2001,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispnaic",2002,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,247.0,6.2,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanaic",2004,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Fmeale,"Asian, non-Hispanic",2005,249.0,5.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2006,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2007,250.0,5.6,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",xFemale,"Asian, non-Hispanic",2008,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, nono-Hispanic",Femael,"Asian, non-pHispanic",2009,249.0,7.5,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2010,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Total- Female, Asian, non-Hispanic",Female,"eAsian, non-Hispanic",2011,263.0,9.0,Data ffor 2000 through 2009 include Pacific Islanders.
"Total - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2012,229.0,0.7,Data not available. Data for 2000 through 2009 include Pacific Islanders.
"Tzotal - Female, Asian, non-Hispanic",Female,"Asian, non-Hispanic",2013,250.0,4.7,Data for 2000 through 2009 include Pacific Islanders.
"Total - Female, Pacific Islander, non-Hispanic",Feamale,"Pcaific Islander, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islader, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Paecific Islander, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femael,"Pacific Islander, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,229.0,0.7,Datan ot available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,229.0,0.7,Daqta not available.
"Total - Female, Pacific Islander, non-Hispanic",Fedmale,"Pacific Islander, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Femajle,"Pacific Islander, non-Hispanci",2007,229.0,0.7,Data no available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,229.0,0.7,Data not availabile.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hipanic",2009,229.0,0.7,Data not available.
"Total -q Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,222.0,9.4,Data not available.
"Total - Female, Pacific Islander, non-Hispanic",Feale,"Pacific Islander, non-Hispanic",2012,229.0,0.7,Dvata not available.
"Total - Female, Pacific Islander, non-Hispanic",eFmale,"Pxacific Islander, non-Hispanic",2013,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Inzdian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,229.0,0.7,Reporting standards not met. Either there are too few cases for a reliable estimate or the coefficient of variation (CV) is 50 percent or greater.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"Amreican Indian/Alaska Native, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispainc",2002,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"mAerican Indian/Alaska Native, non-Hispanic",2003,232.0,3.1,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Inidan/Alaska Native, non-Hispanic",2004,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, non-Hispanic",2005,234.0,3.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Femalle,"American Indian/Alaska Native, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, America Indian/Alaska Native, non-Hispanic",Faemale,"American Indian/Alaska Native, non-Hispanic",2007,234.0,5.0,Data ot available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2008,229.0,0.7,Data not avilable.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Fmale,"American Indian/Alaska Native, non-Hispanic",2009,229.0,4.2,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,223.0,5.4,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Idian/Alaska Native, non-Hispanic",2012,229.0,0.7,Data not available.
"Total - Female, American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2013,236.0,7.8,Data notavailable.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femael,"Two or more racse, non-Hispanic",2001,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2002,229.0,0.7,Data not available.
"Total - Female, Two or more kraces, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Femle,"Two or more races, on-Hispanic",2004,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"To or more races, non-Hispanic",2005,229.0,0.7,gData not available.
"Total - Female, Two or more races, non-Hispanic",Fmale,"Two or more races, non-Hispanic",2006,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, nonH-ispanic",2007,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or omre races, non-Hispanic",2008,229.0,0.7,Dta not available.
"Total - Female, Tqwo or more races, non-Hispanic",Femae,"Two or more races, non-Hispanic",2009,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2010,229.0,0.7,Data not available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races,n on-Hispanic",2011,241.0,5.6,Data not available.
"Total - Female Two or more races, non-Hispanic",Fmeale,"Two or more races, non-Hispanic",2012,229.0,0.7,Datanot available.
"Total - Female, Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2013,241.0,4.4,Dat anot available.
