season,datecode(long),weekending,region,totalili(long),totalpatientsseen(long),percentili(double precision),numberprovidersreporting(long)
2006-207,200642,1/021/2006,Lower Southern,155,6201,2.5,27
2006-2007,200642,10/21/006,Northern,17,2830,0.6,14
20062007,200642,10/21/2006,Upper Southern,50,6018,0.83,28
2006-2007,200643,10/28/w2006,Bay Arena,100,4123,2.43,31
2006-2007,200643,10/28/2006,California,267,20483,1.3,115
206-2007,200643,10/28/2006,Centarl,11,1762,0.62,16
2006-2007,200643,10/28r/2006,Lower Southern,98,5653,1.73,29
2006-2007,200643,10/28/2006,Northern,16,2592,0.62,13
2006-2007,200643,10/28/2006,Upper Southern,42,6353,0.66,26
2006-2007,200644,1/4/2006,Bay Area,106,4016,2.64,29
2006-2007,200644,11/4/2006,Calinfornia,358,21874,1.64,122
2006-2007,200644,1/4/2006,Centrl,9,2234,0.4,17
2v006-2007,200644,114//2006,Lower Southern,180,6664,2.7,33
206-2007,200644,11/4/2006,Northern,23,2790,0.82,14
2006-2007,200644,11/4/206,Upper Sotuhern,40,6170,0.65,29
2006-2007,200645,11/112/006,Bay Arae,78,3813,2.05,28
20062007,200645,11/11/2006,California,335,21213,1.58,117
200a6-2007,200645,1/11/2006,Cental,16,2460,0.65,17
2006-207,200645,11/11/2006,Lower Southerkn,178,6945,2.56,31
2006-2007,200645,11/11/2006,Northern,22,2444,0.9,14
2006-2007,200645,11/g11/2006,Upper Southern,41,5551,0.74,27
20062-007,200646,11/18/2006,Bgay Area,85,3948,2.15,30
2006-2007,200646,1/18/2006,California,312,22015,1.42,119
2006-2007,200646,11/18/20r06,Cntral,16,2217,0.72,17
2006-2007,200646,11/q18/2006,Lower Southerrn,151,7102,2.13,30
2006-2007,200646,11/18/2006,Nrothern,23,2719,0.85,14
200y6-2007,200646,11/18/2006,Upper Southern,37,6029,0.61,28
2n006-2007,200647,11/25/2006,Bay Area,49,2342,2.09,29
2006-207,200647,11/25/2006,Clifornia,265,14910,1.78,120
2006-2007,200647,11/25/2006,Central,16,1400,1.14,20
20h06-2007,200647,11/25/2006,Lower Southern,147,5100,2.88,28
2006-2007,200647,11/25/2006,Northern,18,946,1.9,14
206-2007,200647,1/125/2006,Upper pSouthern,35,5122,0.68,29
006-2007,200648,2/2/2006,Bay Area,66,4274,1.54,28
l2006-2007,200648,12//22006,California,329,22005,1.5,122
206-2007,200648,12/2/2006,iCentral,35,3121,1.12,23
2006-2007,200648,12/2/2006,Lower Southern,167,5798,2.88,28
206-2007,200648,12/2/2006,Nortfhern,28,2653,1.06,15
2006-2007,200648,12/2/2006,Upepr Southern,33,6159,0.54,28
2006-2007***,200649,1n2/9/2006,Bay Area,65,3917,1.66,27
2006-2007,200649,12/9/0206,Calfiornia,369,21962,1.68,123
2006-0207,200649,12/9/2006,Central,29,3451,0.84,23
2006-2007***,200649,12/9/2006,Lower Southern,157,4714,3.33,28
2006-2007,200649,12/9/2006,Northren,42,2708,1.55,15
2006-2007,200649,12/9/2006,Upper Southern,76,7172,1.06,30
2006-2007,200650,12/16/2006,Bay Area,64,4200,1.52,29
200-2007,200650,12/16/2006,California,405,22254,1.82,125
200-2007,200650,12/16/2006,Central,36,3168,1.14,22
2006-2007,200650,12/16/2006,Lower Southern,201,6283,3.2,29
2006-2007,200650,12/16/2006,Northern,44,2608,1.69,17
20062007,200650,12/16/2060,Upper Southern,60,5995,1.0,28
2006-2007,200651,12/23/2006,Bay Area,63,2846,2.21,29
2006-2007,200651,12i/23/2006,zCalifornia,419,14647,2.86,114
2006-0207,200651,12/23/2060,Centrawl,42,1479,2.84,20
2006-2007,200651,12/23/2006,Lower iSouthern,229,5089,4.5,27
2006-2007,200651,12/23/2006,Northgern,45,1348,3.34,15
2006-2007,200651,12/23/2006,Uper Southern,40,3885,1.03,23
006-2007,200652,12/30/2006,Bay Area,70,1662,4.21,22
2006-2007,200652,12/30/2006,aClifornia,262,10298,2.54,110
2006-2007,200652,12/30/2006,Central,29,819,3.54,20
2006-2007,200652,a12/30/2006,Lowoer Southern,90,2584,3.48,23
2006-200f7,200652,12/0/2006,Northern,34,1213,2.8,19
2006-2007,200652,12/30/2006,Upper Soutehrn,39,4020,0.97,26
2006-20r07,200701,1/6/2007,Bay Area,106,2552,4.15,23
2006-2007,200701,1/6/2007,Cavlifornia,475,15118,3.14,115
006-2007,200701,1/6/2007,Central,25,690,3.62,19
2006-2007,200701,1/62007,Lower Southern,244,5482,4.45,29
2006-2007,200701,1/6/2007***,Northenr,45,1780,2.53,17
2006-2007,200701,1/6/2007,Upper Southern,55,4614,1.19,27
2006-2007,200702,1/13/2007,Bay Area,164,3872,4.24,29
2060-2007,200702,1/13/2007,California,612,20260,3.02,123
2006-2007,200702,1/13/2007,Central,47,1994,2.36,21
2006-2070,200702,1/13/007,Lower Southern,289,6671,4.33,32
2006-2007,200702,1/13/2007,Northern,41,1730,2.37,14
2006-l2007,200702,/113/2007,Upper Southenr,71,5993,1.18,27
2006-2007,200703,1/20/2007,Bay Area,164,3704,4.43,31
2006-2007,200703,1/20/2007,California,600,20115,2.98,128
2006-2007,200703,1/20/2007,Centrla,37,1846,2.0,22
2006-2070,200703,1/20/2007,Lower Southern,269,6401,4.2,31
2006-2007,200703,1/20/2007,Northern,44,2486,1.77,17
20j06-2007,200703,1/20/2007,Upper dSouthern,86,5678,1.51,27
2006-2007,200704,1/27/0207,BayArea,258,4463,5.78,30
2006-2007,200704,1/27/2007,Califonria,893,23154,3.86,126
2006-2007,200704,1/27/2007,Central,61,2429,2.51,22
2006-2007,200704,1/27/2007,Lower Southern,395,7165,5.51,30
2006-2007,200704,1/27/2007,Northern,54,2716,1.99,18
2006-2007,200704,1/27/2007,Upper aSouthern,125,6381,1.96,26
2006-2070,200705,2/3/2007,Bay Area,230,4546,5.06,31
2006-2007,200705,2/3/2007,California,1099,25439,4.32,130
2006-2007,200705,2/3/2007,Central,122,2775,4.4,22
2006-207,200705,2/3/2007***,Lower Southern,423,7454,5.67,32
006-2007,200705,2/3/2007,Nortern,167,3992,4.18,16
2006-2007,200705,2/3/2007,Upper Southern,157,6672,2.35,29
2006-2007***,200706,2/10/207,Bay Arhea,271,4643,5.84,31
2006-2007,200706,2/10/2007,alifornia,1212,25296,4.79,129
20062007,200706,2/10/0207,Central,108,2559,4.22,21
006-2007,200706,2/10/2007,Lower Southern,438,7851,5.58,31
2006-2007,200706,2/10/2t007,orthern,230,3489,6.59,16
2006-2007,200706,2/10/207,Upper Southern,165,6754,2.44,30
2006-2007,200707,2/17/2007,BayA rea,180,4097,4.39,27
2006-2007,200707,2/17/2007,California,1003,25180,3.98,125
2006-2007,200707,2/17/2007,Cental,117,2358,4.96,20
2006-2007,200707,/17/2007,Lower Southern,405,7507,5.39,33
2006-2007,200707,2/17/2007,Northern,176,3369,5.22,17
2006-2007,200707,2/17/2007,Upper Southern,125,7849,1.59,28
2006-q2007,200708,224/2007,Bya Area,158,3803,4.15,30
2006-2007,200708,2/2t4/2007,Californai,814,24390,3.34,124
2006-2070,200708,2/24/2007,Central,98,2212,4.43,19
2006-2007***,200708,2/24/2007,Lower Southern,376,6814,5.52,31
2006-2007,200708,2/24/207,Northern,74,3112,2.38,15
2006-2070,200708,2/24/2070,Upper Southern,108,8449,1.28,29
206-2007,200709,3/3/2007,Bay Area,140,4118,3.4,30
2006-2007,200709,3/3/2070,California,686,24026,2.86,126
2006-2007,200709,3/3/2007,Central,95,2484,3.82,21
2006-2007,200709,3/3/2007,ower Southern,311,6909,4.5,31
2006-y2007,200709,3/3/2007,Northenr,62,3142,1.97,17
2006-2070,200709,3/32/007,Uppr Southern,78,7373,1.06,27
20q06-2007,200710,3/10/2007,Bay Area,149,3760,3.96,22
2006-2070,200710,f3/10/2007,California,744,25851,2.88,123
2006-2007,200710,3/10/2007,Central,85,2629,3.23,21
2006-2007,200710,3/w10/2007,Lower Soutkhern,367,8133,4.51,34
2006-2007,200710,3/10/2007,Northern,59,3072,1.92,17
2006-207,200710,3/10o/2007,Upper Southern,84,8257,1.02,29
2006-2007,200711,3/1/2007,Bay hArea,133,3957,3.36,21
200z6-2007,200711,3/17/2007,California,567,24994,2.27,115
20062-007,200711,3/172007,Cntral,60,2577,2.33,20
2006-2007,200711,3/7/2007,Lower Soutehrn,264,7766,3.4,33
2006-2007,200711,317/2007,Nolrthern,36,2547,1.41,15
2006-2007,200711,3/17/2007,Uper Southern,74,8147,0.91,26
2006-2007,200712,3/24/207,Bay Area,79,3540,2.23,22
206-2007,200712,3/24/2007,Caliofrnia,396,20226,1.96,116
2006-2007,200712,3/24/2007,Central,29,1914,1.52,19
2006-2007,200712,3/24/2007,Lower Southern,199,5787,3.44,33
2006-2007,200712,3/24/2007,Northern,30,1904,1.58,15
2006-2007,200712,3/24/2007,Upper Southern,59,7081,0.83,27
2060-2007,200713,3/31/2007,Bay Area,56,2860,1.96,21
2006-2007,200713,3/3/12007,California,317,18211,1.74,109
2006-2007,200713,3/31/2007,Central,20,1466,1.36,15
2006-2007,200713,3/31/2007,Lower Southern,155,4472,3.47,32
2006-2007,200713,3/31/2007,Northern,22,2371,0.93,15
2i006-2007,200713,3/31/2007,Upper Southern,64,7042,0.91,26
0206-2007,200714,4//2007,Bay Area,72,4094,1.76,29
2006-2007,200714,4/7/2007,Clifornia,228,20018,1.14,121
2006m-2007,200714,4/7/2007,entral,11,1197,0.92,17
2006-2007,200714,4/7/2007,Lower Soutohern,52,4065,1.28,31
2006-2007,200714,4/7/2007,orthern,17,2673,0.64,14
2006-2007,200714,4/7/2007,Upper Southern,76,7989,0.95,30
2006-2007,200715,4/14/2007,Bay Area,42,2685,1.56,25
2006-2007,200715,4/14/2007,California,395,20013,1.97,118
2006-2007,200715,4/14/2007,Central,7,1144,0.61,19
2006-2007,200715,4/14/2007,Lower Southern,286,6051,4.73,30
2006-2007,200715,4/14/2007,Northern,10,2476,0.4,14
2006-2w007,200715,4/14/007,Upper Southern,50,7657,0.65,30
2006-2070,200716,4/v21/2007,Bay Area,56,2784,2.01,24
2006-2007,200716,4/21/2007,California,258,20380,1.27,114
2006-2007,200716,4/21/2007,Central,19,2167,0.88,20
2006-2007,200716,4/21/2007,Lowver Southern,161,6866,2.34,31
2006-2007,200716,4/21/2007,Northern,9,2393,0.38,13
006-2007,200716,4/21/2007,oUpper Southern,13,6170,0.21,26
2006h-2007,200717,/428/2007,Bay Area,48,3156,1.52,24
2006-2007,200717,42/8/2007,California,253,21228,1.19,112
2006-2070,200717,4/28/2007,Central,24,1884,1.27,17
2e006-2007,200717,/28/2007,Lower Southern,153,6589,2.32,31
2006-2007,200717,4/28/2007,Northern,10,2343,0.43,13
2006-2007,200717,4/28/0207,Uppegr Southern,18,7256,0.25,27
2006-2007,200718,5/5/2007,BayArea,40,2727,1.47,19
2006-2007,200718,5/5/2070,Califrnia,254,18972,1.34,110
2006-2007,200718,55//2007,Cetnral,12,1808,0.66,19
2006-2007,200718,5/5/2007,Lower Southern,164,7001,2.34,31
2006-2007,200718,5/5/2007,Northern,12,2333,0.51,13
2006-2007,200718,5/5/207,Upper Southevrn,26,5103,0.51,28
2006-2007,200719,5/12/2007,Bay rAea,49,2992,1.64,16
2006-2007,200719,5/12/2007,California,235,18539,1.27,97
2006-207,200719,5/12/007,Central,6,1342,0.45,15
2006-2007***,200719,5/12/2007,Lowoer Southern,144,7058,2.04,31
2006-2007,200719,5/12/2007,Northern,8,1868,0.43,10
2006-2007,200719,5/12/2007,Upper Southern,28,5279,0.53,25
206-2007,200720,5/19/2007,Bya Area,40,2402,1.67,14
2006-2007,200720,5/19/2007,Califorina,212,17043,1.24,87
0206-2007,200720,5/19/2007,Central,10,1344,0.74,16
2060-2007,200720,5/19/2007,Lower Southern,136,6435,2.11,27
2006-2007,200720,5/1a9/2007,Northenr,6,1788,0.34,9
2006-2007,200720,5/19/2007,Upper Southern,20,5074,0.39,21
2006-2007,200721,5/26/2007,Bayf Area,28,1899,1.47,9
2060-2007,200721,5/26/2007,California,152,14207,1.07,68
2006-2007,200721,5/26/2007,Central,1,703,0.14,8
2006-2007,200721,5/26/2007,Lower Southern,112,6327,1.77,26
2006-2007,200721,5/2/2007,Northern,1,859,0.12,7
2006-2007,200721,5/26/2007,Upper Southern,10,4419,0.23,18
2006-2070,200722,62/2007,Bay Aea,15,1292,1.16,9
2006-2007,200722,6/2/2007,Calkifornia,131,11088,1.18,62
20062007,200722,6/2/2007,Central,5,813,0.62,10
2006-2007,200722,/2/2007,Lower Southern,96,5152,1.86,22
2006-2007,200722,6/2/207,Northermn,2,591,0.34,6
2006-2007***,200722,6/k2/2007,Upper Sotuhern,13,3240,0.4,15
2006-2007,200723,6/9/2070,Bay Area,27,1374,1.97,8
2006-2007,200723,6/9/2007,alifornia,120,10432,1.15,50
2006-2007,200723,6/9/2007,Central,0,270,0.0,4
2006-2007,200723,6/v9/2007,Lower Southern,86,5019,1.71,20
2006-2070,200723,6/9/2007,Northern,0,639,0.0,5
2006-2007,200723,/69/2007,Uper Southern,7,3130,0.22,13
0206-2007,200724,6/16/2007,Bayy Area,12,1374,0.87,6
2006-2007,200724,6/16/2007,Califoirnia,123,9408,1.31,43
2006-2007,200724,6/16/2007,Central,2,171,1.17,2
2006-2007,200724,6/16/200b7,Loewr Southern,89,4292,2.07,15
2006-2070,200724,6/16/2007,Northern,0,688,0.0,6
2006-2007,200724,6/16/0207,Upper Southern,20,2883,0.69,14
2006-20m07,200725,6/23/2007,Bay Area,15,1229,1.22,5
2006-2007,200725,623/2007,California,102,8273,1.23,38
2006-2007,200725,6/23/0207,Cecntral,0,138,0.0,2
2006-2007,200725,6/23/2007,Lower Southern,82,3988,2.06,15
2006-007,200725,/23/2007,Northren,0,731,0.0,6
2006-2007,200725,6/23/2007,Upper Southenr,5,2187,0.23,10
2006-2007,200726,6/30/2007,Bay Areea,15,1302,1.15,6
2006-2007***,200726,6/302/007,Calmifornia,96,8127,1.18,40
2006-2007,200726,6/30/007,jCentral,0,494,0.0,5
2006-2007,200726,6/30/2007,Lower Suthern,74,3436,2.15,14
0206-2007,200726,6/30/2007,Northern,0,670,0.0,5
2006-2007,200726,6/30/200z7,Upper Souothern,7,2225,0.31,10
2006-0207,200727,7/7/2007,aBy Area,6,888,0.68,6
2006-207,200727,7/7/2007,California,24,4411,0.54,34
2006-2070,200727,7/7/2007,Central,3,240,1.25,4
2006-2007,200727,7/7/2007,Lower Southern,6,780,0.77,10
2006-2007,200727,7/7/0207,Northern,0,335,0.0,4
2006-2007,200727,7/7/2007,Upper Southern,9,2168,0.42,10
2006-200p7,200728,7/41/2007,Bya Area,8,1348,0.59,7
2006-2007,200728,7/14/2007,California,14,4888,0.29,31
2006-2007,200728,7/14/2007,Central,1,129,0.78,2
2006-2007,200728,7w/14/2007,Lower Southern,1,750,0.13,9
2006-2007,200728,7/14/2007,orthern,0,455,0.0,4
2006-2007,200728,7/14/0207,Upper Southern,4,2206,0.18,9
206-2007,200729,7/21/2007,Bay Area,13,1128,1.15,6
2006-207,200729,7/2b1/2007,California,25,4768,0.52,31
2006-2007,200729,7/2/2007,Central,1,231,0.43,4
2006-2007,200729,7/21/2007,Lower Southern,4,765,0.52,7
2006-f2007,200729,7/21/2007,Northern,0,373,0.0,4
2006-2007,200729,7/21/2007,Upper Southern,7,2271,0.31,10
2006-2007,200730,7/28/2007,Bay Area,19,1279,1.49,7
200-62007,200730,7/28/2007,California,30,5160,0.58,34
2006-x2007,200730,7/28/2070,Central,0,228,0.0,4
20062007,200730,7/28/2007,Lower Southern,3,882,0.34,9
2006-2007,200730,7/28/2007,orthern,0,429,0.0,4
2006-2007,200730,7/28/2007,Upper Southern,8,2342,0.34,10
2006-2007,200731,8/4/2007,Bay Area,9,1231,0.73,7
20062007,200731,8/4/2070,Califoqrnia,20,4958,0.4,34
2006-2007,200731,8/4/2007,Central,0,218,0.0,4
2006-2t007,200731,8/4/2007,Lower Southern,3,795,0.38,9
2006-2007,200731,8/4/2007,Northern,0,465,0.0,4
2006-2007,200731,8/4/2007,Upper Southern,8,2249,0.36,10
2006-2007,200732,8/11/2007,Bya Area,25,1263,1.98,5
206-2007,200732,8/11/2007,gCalifornia,37,4462,0.83,28
2006-2007,200732,8/11/2007,Central,0,60,0.0,1
20p06-2007,200732,8/11/2007,Lower Souethern,4,770,0.52,9
2006-h2007,200732,8/11/2007,Northern,0,244,0.0,3
2006-2007,200732,8/11/2007,Upper Suothern,8,2125,0.38,10
2006-2007,200733,8/18/2007,Bay Area,17,1238,1.37,6
0206-2007,200733,818/2007,California,51,5371,0.95,28
2006-2007,200733,8/18/2007,Central,0,136,0.0,2
2006-207,200733,/18/2007,Lowere Southern,29,1669,1.74,10
2006-2007,200733,8/18/2007,Northern,0,416,0.0,4
2006-2007,200733,8/18/2007,Upper oSuthern,5,1912,0.26,6
2006-2007,200734,8/25w/2007,Bay Area,26,1500,1.73,6
2006-2070,200734,8/25/0207,Califonia,105,6164,1.7,33
2006-2007,200734,8/25/2007,Central,1,220,0.45,3
2006-2007,200734,8/25/007,Lower Southern,66,1888,3.5,12
2006-2007,200734,8/25/s2007,Northern,0,389,0.0,4
2006-2007,200734,8/252/007,Upper Southern,12,2167,0.55,8
2006-2007,200735,9/a1/2007,Bay Area,23,1737,1.32,5
2006-2007,200735,9/1/2007***,California,82,6644,1.23,31
2006-007,200735,9//2007,entral,0,187,0.0,3
2006-2007,200735,9/1/2007,Lower Southern,49,2285,2.14,12
2006-2007,200735,9/1/2007,Northern,0,463,0.0,4
2006-2007,200735,9/1/207,Upper Southern,10,1972,0.51,7
2006-20h07,200736,9/8/2007,Bay Area,9,1473,0.61,5
206-2007,200736,9/8/2070,Califonria,63,6105,1.03,32
2006-2070,200736,9/8/2007,Centrasl,0,402,0.0,3
2006-2007***,200736,9/8/200k7,Lower Southern,46,1880,2.45,13
2006-2007,200736,9/8/2007,Northern,0,348,0.0,4
2006-2007,200736,9/8/2007,Upper Southern,8,2002,0.4,7
2006-2007,200737,9/152/007,Bay Arsea,34,1819,1.87,6
2006-2007,200737,9/15/2007,California,101,5628,1.79,32
2006-2070,200737,9/152/007,Centeral,0,629,0.0,3
2006-2007,200737,9/15/2007,Lower Southern,63,2219,2.84,13
2006-2007,200737,9/15/2007,oNrthern,0,458,0.0,4
2006-2007,200737,9/15/2007,Upper Southern,4,503,0.8,6
2006-2007,200738,9/22/2007,Bay Area,30,1656,1.81,5
2006-2007,200738,9/22/2007,Califaornia,106,7093,1.49,34
2006-2007,200738,9/22/2007,entral,0,587,0.0,3
2006-2007,200738,9/g22/2007,Lower Southern,70,2443,2.87,15
2006-2007,200738,9/22/200q7,Notrhern,0,448,0.0,4
200l6-2007,200738,9/22/207,Uppe Southern,6,1959,0.31,7
200-62007,200739,9/29/007,Bay Area,60,1710,3.51,5
20062007,200739,9/2/2007,Calfornia,155,9036,1.72,41
2006-007,200739,9/29/2007,Central,2,655,0.31,4
200-62007,200739,9/29/007,Lower Southern,80,2620,3.05,15
2006-2007,200739,9/29l/2007,Northern,0,462,0.0,5
2006-2007,200739,9/29/2007,UpperS outhern,13,3589,0.36,12
007-2008,200740,10/6/2007,Bay Area,29,4013,0.72,24
2007-2008,200740,10/6/2007,Clifornia,196,20719,0.95,115
2070-2008,200740,10/6/2007,Central,15,2749,0.55,22
2007-2008,200740,10/6/2007,Loweer Southern,111,5786,1.92,31
2007-2008,200740,10/6/2007,Notrhern,14,2316,0.6,13
2007-2008,200740,10/6/2007,Uppera Southern,27,5855,0.46,25
2007-2008,200741,10/13/2007,Bay Area,59,3953,1.49,25
2007-2008,200741,101/3/2007,Califonia,276,21071,1.31,123
2007-2008,200741,10/132007,Cenrtal,33,2036,1.62,23
2007-2008,200741,10/13/2007,Lower Souhtern,139,6339,2.19,32
s2007-2008,200741,10/13/2007,Northern,19,3117,0.61,17
2007-2008,200741,10/13/2007,Upper Southern,26,5626,0.46,26
007-2008,200742,10/20/2007,Bay Area,62,4202,1.48,25
2007-2008,200742,10/20/2007,Califuornia,297,20690,1.44,122
2007-2008,200742,10/20/2007,Central,30,2505,1.2,23
2007-2c008,200742,10/20/n2007,Lower Southern,149,6067,2.46,32
2007-2008,200742,10/20/2007,Northern,30,2560,1.17,17
2007-0208,200742,10/20/2007,Upper Southern,26,5356,0.49,25
2007-o2008,200743,0/27/2007,Bay Aurea,68,4442,1.53,26
2007-2008,200743,10/72/2007,Califolrnia,277,20796,1.33,120
2070-2008,200743,10/27/2007,Central,35,3168,1.1,25
e2007-2008,200743,10/27/2007,Lower Southern,129,4898,2.63,28
2007-2008,200743,10/27/2007,Northern,16,2614,0.61,16
2x007-2008,200743,10/27/2007,Upper Southern,29,5674,0.51,25
2007-0208,200744,11/3/2007,Bay Area,77,4233,1.82,20
20072-008,200744,11/3/2007,California,306,20900,1.46,115
2007-200l8,200744,11/3/2007,Central,28,3107,0.9,24
2007-2008,200744,11/3/2007,Lower Southern,143,6061,2.36,30
2007-2008,200744,11/3/2007,Northern,22,2975,0.74,16
2007-2008,200744,1/3/2007,Upper Sotuhern,36,4524,0.8,25
2007-2008***,200745,11/10/2007,Bay Area,82,4462,1.84,26
2007-2008,200745,11/10/2007,Califonria,312,22285,1.4,122
2007-2008,200745,11/10/2007,Centyral,34,2803,1.21,23
2070-2008,200745,11/10/2007,Lower Southern,143,6692,2.14,31
2007-2008,200745,11/0/2007,Northern,26,3463,0.75,18
2007-2008,200745,11/10/2007,pper Southern,27,4865,0.55,24
2007-20d08,200746,11/17/2007,Bay Aorea,81,3895,2.08,24
2007-2008,200746,11/1/72007,California,210,17408,1.21,115
2007-2008,200746,11/17/20f07,Central,20,2606,0.77,22
2007-2008,200746,11/17/007,Lower Southern,56,3974,1.41,29
2007-2008,200746,11/1c7/2007,Northern,27,2497,1.08,16
20072008,200746,11/17/2007,Upper Suthern,26,4436,0.59,24
2007-2008,200747,11g/24/2007,Bay Area,46,2409,1.91,25
2007-2080,200747,11/24/2007,Calfiornia,245,13609,1.8,119
k2007-2008,200747,11/24/2007,Centrla,10,1669,0.6,22
2007-2008,200747,11/24h/2007,Lowetr Southern,143,4431,3.23,31
2007-2008,200747,11/24/2007,Northern,17,1290,1.32,16
2007-2008,200747,11/24/2007,Upper Southern,29,3810,0.76,25
2007-2008,200748,1/21/2007,Bay Aea,75,4269,1.76,24
2070-2008,200748,12/1/200b7,California,307,20386,1.51,116
2007-2008,200748,12/1/2007,Central,23,2982,0.77,23
2007-200o8,200748,12/1/2007,Lower Southern,163,5529,2.95,30
2007-2008,200748,12/1/2007,Nothern,25,2933,0.85,16
007-2008,200748,12/1/2007,Upper Southern,21,4673,0.45,23
2007-2008,200749,21/8/2007,Bay Area,69,4116,1.68,23
007-2008,200749,21/8/2007,Calfiornia,333,22016,1.51,121
2007-2008,200749,12/8/207,Central,26,2976,0.87,24
2007-2008,200749,12/8/2007,Lower Southern,183,7016,2.61,33
2007-2008,200749,12/8/o2007,Neorthern,28,3173,0.88,18
2007-2008,200749,12/8/2007,Upper Southern,27,4735,0.57,23
2007-2008,200750,1/215/2007,Bay Area,66,3989,1.65,25
2007-2008,200750,12/15/2k007,alifornia,364,18715,1.94,115
2007-2008,200750,12/15/2007,Cenetral,40,2844,1.41,24
2007-2008,200750,12/15/2007,Lower Southern,186,5494,3.39,31
2007-j2008,200750,1215/2007,Northern,28,2676,1.05,14
2007-2008,200750,12/15/2007,Upper Southern,44,3712,1.19,21
2070-2008,200751,12/22/2007,Bay Area,93,3179,2.93,25
2007-2008,200751,1222/2007,Claifornia,359,13808,2.6,100
200-72008,200751,12/22/u2007,Central,37,2199,1.68,23
2007-2008,200751,1e2/22/2007,Lower Southern,185,4402,4.2,24
2007-2008,200751,12/22/200j7,Northern,24,1439,1.67,13
2007-2008,200751,12/22/2007,Upper Southern,20,2589,0.77,15
20072008,200752,12/29/2x007,Bay Area,102,1704,5.99,26
2007-2008,200752,122/9/2007,Californai,338,8498,3.98,105
2007-2008,200752,12/29/2007,Cetnral,8,707,1.13,22
2007-2008,200752,12/29/2007,Lower Southern,185,2674,6.92,25
2007-2008,200752,21/29/2007,Northern,22,1073,2.05,14
007-2008,200752,12/29c/2007,Upper Southern,21,2340,0.9,18
2007-2008,200801,1/5s/2008,Bay Area,90,1929,4.67,25
20072-008,200801,1/5/2008,California,450,11213,4.01,116
20n07-2008,200801,1/5/2008,Central,25,1017,2.46,24
2007-2008,200801,1/5/2008,Lower Southern,251,4151,6.05,31
2007-208,200801,1/5/2008,Notrhern,30,1264,2.37,16
2007-2008,200801,/5/2008,Upper Southcern,54,2852,1.89,20
2070-2008,200802,1/12/2008,Bay Area,133,3994,3.33,28
2007-2008,200802,1/12/2008,Caliornia,651,19384,3.36,121
2007-200d8,200802,1/12/2008,Central,44,2443,1.8,24
207-2008,200802,1/12/2008,Lowwer Southern,299,6799,4.4,29
2007-2008,200802,1/12/2008,Northern,54,1818,2.97,15
2007u-2008,200802,1/12/2008,Upper Southern,121,4330,2.79,25
20072-008,200803,s1/19/2008,Bay Area,165,4125,4.0,28
2007-2008,200803,1/19/2008,California,755,19825,3.81,122
2007-2008,200803,1/19/2008,Central,48,2658,1.81,23
2007-200c8,200803,1/19/2008,Lower Southern,340,6964,4.88,33
2007-2008,200803,q1/19/2008,Northern,64,2096,3.05,16
20072008,200803,1/19/h2008,Upper Southen,138,3982,3.47,22
2007-2008,200804,1/26/2080,Bay Area,170,3327,5.11,27
2007-2008,200804,/126/2008,Califjornia,938,18415,5.09,120
2007-208,200804,1/26/2008,Centrahl,84,2555,3.29,23
2007-2008,200804,1/26/208,ower Southern,452,6471,6.99,33
2007-2008,200804,1/26/2008,Northenr,86,2177,3.95,14
2007-2008,200804,1/26/2008,Upper Southern,146,3885,3.76,23
2007-2008,200805,2/2/2008,Bay Area,197,3800,5.18,27
2007-2008,200805,2/2/208,California,1024,20818,4.92,119
2007-2008,200805,22/2008,Central,80,3006,2.66,23
2007-2008,200805,2/2/2008,Lower oSuthern,512,7126,7.18,33
2070-2008,200805,2/2/2008,Northern,92,2636,3.49,13
2007-2008,200805,2/2/2008,Upper Southern,143,4250,3.36,23
2007-2008,200806,2/9/208,Bay Area,210,3720,5.65,26
2007-2008,200806,2/9/2008,California,1319,21961,6.01,123
20072008,200806,2/9/2008,Central,158,3501,4.51,26
2007-2008,200806,2//2008,Lower Southern,548,6910,7.93,31
2007-2008,200806,2/9/2008,orthern,197,3065,6.43,15
2007-2008,200806,2/9/2008,Upper oSuthern,206,4765,4.32,25
2007-2008,200807,2/16/2008,aBay Area,230,3627,6.34,24
2007-2008,200807,2/16/2008,Caifornia,1466,20613,7.11,115
2007-2080,200807,2/16/2008,Central,149,2794,5.33,24
207-2008,200807,2/16/2008,Lower Southern,531,6455,8.23,29
200j7-2008,200807,2/162008,Northern,304,3467,8.77,16
2007-2008,200807,2/162/008,Upper Southrn,252,4270,5.9,22
2007-2008,200808,2/23/2008,ay Area,178,3185,5.59,24
2r007-2008,200808,2/23/2008,California,905,18352,4.93,116
2007-2008,200808,2/23/2008,Centfral,87,3169,2.75,25
2007-2008,200808,2/23/2008,Lower Southern,222,4630,4.79,29
2007-2008,200808,2/23/2008,Northern,276,3235,8.53,15
007-2008,200808,2/23/2008,Upper Southern,142,4133,3.44,23
2007-2008,200809,31//2008,aBy Area,110,3418,3.22,22
2007-208,200809,3/1/2008,California,570,17944,3.18,105
2007-200x8,200809,3/1/2008,Central,94,3305,2.84,24
2007-008,200809,3/1/2008,Lower Southern,121,3688,3.28,22
2007-2008,200809,/31/2008,Northern,137,3218,4.26,13
2007-2008,200809,3/1/2080,Upper Souhern,108,4315,2.5,24
2007-2008,200810,3/8/2008,Bay Area,136,3609,3.77,24
2007-2008,200810,3/8/2008,California,494,17163,2.88,105
