year_start,year_end,location_abbr,location_desc,datasource,class,topic,question,data_value_unit,data_value_type,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,low_confidence_limit,high_confidence_limit,sample_size,total,poverty_level,ageyears,birth_order,education,gender,marital_status,metropolitan,race_ethnicity,wic_participation,geo_location,class_id,topic_id,question_id,data_value_type_id,location_id,stratification_category_one,stratification_one,stratification_category_id_one,stratification_id_one
2008,2008,DC,District of Columbia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,30.0,30.0,,,24.4,36.2,415.0,Total,,,,,,,,,,"(38.89037138500049, -77.03196112699965)",BF,BF1,Q003,VALUE,11,Total,Total,OVR,OVERALL
2012,2012,RI,Rhode Island,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,41.3,41.3,,,33.8,49.3,229.0,Total,,,,,,,,,,"(41.70828019300046, -71.52247031399963)",BF,BF1,Q005,VALUE,44,Total,Total,OVR,OVERALL
2012,2012,WI,Wisconsin,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,53.0,53.0,,,44.6,61.3,212.0,Total,,,,,,,,,,"(44.39319117400049, -89.81637074199966)",BF,BF1,Q005,VALUE,55,Total,Total,OVR,OVERALL
2008,2008,NE,Nebraska,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,41.5,41.5,,,35.7,47.5,340.0,Total,,,,,,,,,,"(41.6410409880005, -99.36572062299967)",BF,BF1,Q007,VALUE,31,Total,Total,OVR,OVERALL
2007,2007,ID,Idaho,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,54.1,54.1,,,47.6,60.4,306.0,Total,,,,,,,,,,"(43.682630005000476, -114.3637300419997)",BF,BF1,Q005,VALUE,16,Total,Total,OVR,OVERALL
2006,2006,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,69.5,69.5,,,67.8,71.2,8204.0,,,20 - 29,,,,,,,,,BF,BF1,Q006,VALUE,59,Age (years),20 - 29,AGEYR,AGEYR2029
2007,2007,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,47.9,47.9,,,42.3,53.5,845.0,,,,,Less than high school,,,,,,,BF,BF1,Q002,VALUE,59,Education,Less than high school,EDU,EDUHS
2010,2010,LA,Louisiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,32.5,32.5,,,23.1,43.6,109.0,Total,,,,,,,,,,"(31.31266064400046, -92.44568007099969)",BF,BF1,Q002,VALUE,22,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,32.2,32.2,,,29.8,34.8,6562.0,,,,Not first born,,,,,,,,BF,BF1,Q002,VALUE,59,Birth Order,Not first born,BO,BONOT1
2007,2007,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,18.3,18.3,,,17.2,19.4,12790.0,,,,,,,,,,Ineligible,,BF,BF1,Q008,VALUE,59,WIC Participation,Ineligible,WIC,WICINELG
2013,2013,OK,Oklahoma,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,37.8,37.8,,,27.0,49.9,99.0,Total,,,,,,,,,,"(35.47203135600046, -97.52107021399968)",BF,BF1,Q002,VALUE,40,Total,Total,OVR,OVERALL
2012,2012,WV,West Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,62.3,62.3,,,54.2,69.7,250.0,Total,,,,,,,,,,"(38.66551020200046, -80.71264013499967)",BF,BF1,Q006,VALUE,54,Total,Total,OVR,OVERALL
2008,2008,AR,Arkansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,29.4,29.4,,,24.6,34.7,441.0,Total,,,,,,,,,,"(34.74865012400045, -92.27449074299966)",BF,BF1,Q007,VALUE,5,Total,Total,OVR,OVERALL
2011,2011,FL,Florida,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,48.7,48.7,,,41.0,56.4,250.0,Total,,,,,,,,,,"(28.932040377000476, -81.92896053899966)",BF,BF1,Q005,VALUE,12,Total,Total,OVR,OVERALL
2010,2010,WA,Washington,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,34.0,34.0,,,27.1,41.5,239.0,Total,,,,,,,,,,"(47.52227862900048, -120.47001078999972)",BF,BF1,Q004,VALUE,53,Total,Total,OVR,OVERALL
2007,2007,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,49.1,49.1,,,45.0,53.3,1792.0,,Less than 100,,,,,,,,,,BF,BF1,Q002,VALUE,59,% Poverty Level,Less than 100,POV,POV0099
2009,2009,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,45.6,45.6,,,41.4,49.7,1854.0,,,,,,,Unmarried,,,,,BF,BF1,Q002,VALUE,59,Marital Status,Unmarried,MARSTAT,UNMARRIED
2009,2009,ME,Maine,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,27.2,27.2,,,20.0,35.8,219.0,Total,,,,,,,,,,"(45.254228894000505, -68.98503133599962)",BF,BF1,Q001,VALUE,23,Total,Total,OVR,OVERALL
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,79.7,79.7,,,78.0,81.3,7744.0,,,,,,Male,,,,,,BF,BF1,Q006,VALUE,59,Gender,Male,GEN,MALE
2011,2011,LA,Louisiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,56.9,56.9,,,49.9,63.6,285.0,Total,,,,,,,,,,"(31.31266064400046, -92.44568007099969)",BF,BF1,Q006,VALUE,22,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,16.2,16.2,,,14.7,17.8,6029.0,,,,First born,,,,,,,,BF,BF1,Q003,VALUE,59,Birth Order,First born,BO,BOFIRST
2014,2014,ID,Idaho,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,93.2,93.0,,,88.5,96.1,221.0,Total,,,,,,,,,,"(43.682630005000476, -114.3637300419997)",BF,BF1,Q006,VALUE,16,Total,Total,OVR,OVERALL
2004,2004,AR,Arkansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,18.5,18.5,,,12.8,26.0,244.0,Total,,,,,,,,,,"(34.74865012400045, -92.27449074299966)",BF,BF1,Q003,VALUE,5,Total,Total,OVR,OVERALL
2012,2012,TX,Texas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,23.1,23.1,,,18.9,27.8,1015.0,Total,,,,,,,,,,"(31.827240407000488, -99.42677020599967)",BF,BF1,Q003,VALUE,48,Total,Total,OVR,OVERALL
2008,2008,NY,New York,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,29.4,29.4,,,25.9,33.2,799.0,Total,,,,,,,,,,"(42.82700103200045, -75.54397042699964)",BF,BF1,Q004,VALUE,36,Total,Total,OVR,OVERALL
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,36.4,36.4,,,33.4,39.5,4028.0,,200 - 399,,,,,,,,,,BF,BF1,Q004,VALUE,59,% Poverty Level,200 - 399,POV,POV200399
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,28.3,28.3,,,26.0,30.8,6972.0,,,,,College graduate,,,,,,,BF,BF1,Q001,VALUE,59,Education,College graduate,EDU,EDUCOGRAD
2007,2007,NY,New York,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,27.6,27.6,,,24.1,31.3,758.0,Total,,,,,,,,,,"(42.82700103200045, -75.54397042699964)",BF,BF1,Q004,VALUE,36,Total,Total,OVR,OVERALL
2011,2011,CA,California,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,12.7,12.7,,,8.1,19.4,299.0,Total,,,,,,,,,,"(37.63864012300047, -120.99999953799971)",BF,BF1,Q003,VALUE,6,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,12.5,12.5,,,11.6,13.5,14504.0,,,,First born,,,,,,,,BF,BF1,Q008,VALUE,59,Birth Order,First born,BO,BOFIRST
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,87.9,87.9,,,86.1,89.4,4528.0,,200 - 399,,,,,,,,,,BF,BF1,Q006,VALUE,59,% Poverty Level,200 - 399,POV,POV200399
2011,2011,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,35.7,35.7,,,31.5,40.1,1405.0,,100 - 199,,,,,,,,,,BF,BF1,Q002,VALUE,59,% Poverty Level,100 - 199,POV,POV100199
2011,2011,KY,Kentucky,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,31.5,31.5,,,24.7,39.3,204.0,Total,,,,,,,,,,"(37.645970271000465, -84.77497104799966)",BF,BF1,Q005,VALUE,21,Total,Total,OVR,OVERALL
2013,2013,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,11.2,11.2,,,7.9,15.7,606.0,,,,,,,,Non-metropolitan,,,,BF,BF1,Q003,VALUE,59,Metropolitan,Non-metropolitan,METRO,METRONO
2006,2006,GA,Georgia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,36.4,36.4,,,30.7,42.5,387.0,Total,,,,,,,,,,"(32.83968109300048, -83.62758034599966)",BF,BF1,Q005,VALUE,13,Total,Total,OVR,OVERALL
2016,2016,CO,Colorado,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,89.7,89.7,,,83.8,93.6,290.0,Total,,,,,,,,,,"(38.843840757000464, -106.13361092099967)",BF,BF1,Q006,VALUE,8,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,37.0,37.0,,,35.2,38.9,8935.0,,,,First born,,,,,,,,BF,BF1,Q001,VALUE,59,Birth Order,First born,BO,BOFIRST
2010,2010,AK,Alaska,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,24.2,24.2,,,19.0,30.2,277.0,Total,,,,,,,,,,"(64.84507995700051, -147.72205903599973)",BF,BF1,Q008,VALUE,2,Total,Total,OVR,OVERALL
2015,2015,KS,Kansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,83.6,83.6,,,76.3,88.9,219.0,Total,,,,,,,,,,"(38.34774030000045, -98.20078122699965)",BF,BF1,Q006,VALUE,20,Total,Total,OVR,OVERALL
2010,2010,OH,Ohio,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,17.8,17.8,,,11.9,25.7,180.0,Total,,,,,,,,,,"(40.06021014100048, -82.40426005599966)",BF,BF1,Q003,VALUE,39,Total,Total,OVR,OVERALL
2011,2011,NE,Nebraska,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,20.3,20.3,,,13.5,29.3,146.0,Total,,,,,,,,,,"(41.6410409880005, -99.36572062299967)",BF,BF1,Q001,VALUE,31,Total,Total,OVR,OVERALL
2015,2015,AK,Alaska,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,93.1,93.1,,,89.1,95.7,281.0,Total,,,,,,,,,,"(64.84507995700051, -147.72205903599973)",BF,BF1,Q006,VALUE,2,Total,Total,OVR,OVERALL
2004,2004,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,25.2,25.2,,,23.1,27.5,3811.0,,,,,High school graduate,,,,,,,BF,BF1,Q003,VALUE,59,Education,High school graduate,EDU,EDUHSGRAD
2014,2014,PR,Puerto Rico,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,25.5,26.0,,,19.9,32.1,318.0,Total,,,,,,,,,,"(18.220833, -66.590149)",BF,BF1,Q001,VALUE,72,Total,Total,OVR,OVERALL
2007,2007,AR,Arkansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,63.2,63.2,,,56.9,69.1,474.0,Total,,,,,,,,,,"(34.74865012400045, -92.27449074299966)",BF,BF1,Q006,VALUE,5,Total,Total,OVR,OVERALL
2004,2004,MO,Missouri,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,18.0,18.0,,,12.8,24.8,268.0,Total,,,,,,,,,,"(38.635790776000476, -92.56630005299968)",BF,BF1,Q003,VALUE,29,Total,Total,OVR,OVERALL
2009,2009,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,46.8,46.8,,,22.9,72.3,59.0,,,,,,,,,Hawaiian/Pacific Islander,,,BF,BF1,Q002,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2009,2009,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,33.9,33.9,,,29.9,38.1,1504.0,,,,,,,,,,"No, but eligible",,BF,BF1,Q004,VALUE,59,WIC Participation,"No, but eligible",WIC,WICNO
2006,2006,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,46.1,46.1,,,44.6,47.6,13012.0,,,,First born,,,,,,,,BF,BF1,Q005,VALUE,59,Birth Order,First born,BO,BOFIRST
2009,2009,MD,Maryland,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,49.5,49.5,,,44.0,55.0,721.0,Total,,,,,,,,,,"(39.29058096400047, -76.60926011099963)",BF,BF1,Q005,VALUE,24,Total,Total,OVR,OVERALL
2006,2006,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,24.2,24.2,,,23.1,25.3,18987.0,Total,,,,,,,,,,,BF,BF1,Q003,VALUE,59,Total,Total,OVR,OVERALL
2008,2008,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,82.1,82.1,,,81.0,83.0,18510.0,,,,,,,Married,,,,,BF,BF1,Q006,VALUE,59,Marital Status,Married,MARSTAT,MARRIED
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,34.9,34.9,,,32.1,37.7,5153.0,,,,First born,,,,,,,,BF,BF1,Q002,VALUE,59,Birth Order,First born,BO,BOFIRST
2012,2012,MO,Missouri,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,31.8,31.8,,,25.0,39.6,259.0,Total,,,,,,,,,,"(38.635790776000476, -92.56630005299968)",BF,BF1,Q007,VALUE,29,Total,Total,OVR,OVERALL
2014,2014,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,34.7,35.0,,,32.1,37.4,4773.0,,,,,,,Unmarried,,,,,BF,BF1,Q007,VALUE,59,Marital Status,Unmarried,MARSTAT,UNMARRIED
2008,2008,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,40.8,40.8,,,39.2,42.4,10480.0,,,,Not first born,,,,,,,,BF,BF1,Q005,VALUE,59,Birth Order,Not first born,BO,BONOT1
2011,2011,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,37.6,37.6,,,32.3,43.3,870.0,,,,,,,,Non-metropolitan,,,,BF,BF1,Q007,VALUE,59,Metropolitan,Non-metropolitan,METRO,METRONO
2013,2013,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,34.1,34.1,,,31.7,36.6,4844.0,,,,,,,Unmarried,,,,,BF,BF1,Q005,VALUE,59,Marital Status,Unmarried,MARSTAT,UNMARRIED
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,21.3,21.3,,,9.4,41.3,86.0,,,,,,,,,Hawaiian/Pacific Islander,,,BF,BF1,Q008,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2004,2004,VA,Virginia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,39.2,39.2,,,32.9,46.0,286.0,Total,,,,,,,,,,"(37.54268067400045, -78.45789046299967)",BF,BF1,Q001,VALUE,51,Total,Total,OVR,OVERALL
2010,2010,NH,New Hampshire,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,14.6,14.6,,,9.9,21.1,207.0,Total,,,,,,,,,,"(43.65595011300047, -71.50036091999965)",BF,BF1,Q003,VALUE,33,Total,Total,OVR,OVERALL
2006,2006,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,43.8,43.8,,,42.3,45.3,12032.0,,,,,,Female,,,,,,BF,BF1,Q005,VALUE,59,Gender,Female,GEN,FEMALE
2001,2001,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,38.2,38.2,,,36.3,40.1,14062.0,,,,,,Female,,,,,,BF,BF1,Q005,VALUE,59,Gender,Female,GEN,FEMALE
2011,2011,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,38.7,38.7,,,33.7,44.0,1249.0,,600 or greater,,,,,,,,,,BF,BF1,Q002,VALUE,59,% Poverty Level,600 or greater,POV,POV600PLUS
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were ever breastfed,,Value,69.1,69.1,,,65.1,72.8,1575.0,,,,,Less than high school,,,,,,,BF,BF1,Q006,VALUE,59,Education,Less than high school,EDU,EDUHS
2005,2005,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,6.7,6.7,,,5.4,8.3,2449.0,,,,,,,,,Non-Hispanic Black,,,BF,BF1,Q008,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2013,2013,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,20.0,20.0,,,11.7,31.9,87.0,,,,,,,,,Hawaiian/Pacific Islander,,,BF,BF1,Q008,VALUE,59,Race/Ethnicity,Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,65.6,65.6,,,57.6,72.8,683.0,,,,,,,,,Asian,,,BF,BF1,Q005,VALUE,59,Race/Ethnicity,Asian,RACE,RACEASN
2008,2008,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,44.3,44.3,,,40.9,47.8,2582.0,,Less than 100,,,,,,,,,,BF,BF1,Q001,VALUE,59,% Poverty Level,Less than 100,POV,POV0099
2006,2006,NH,New Hampshire,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,31.5,31.5,,,24.6,39.2,207.0,Total,,,,,,,,,,"(43.65595011300047, -71.50036091999965)",BF,BF1,Q001,VALUE,33,Total,Total,OVR,OVERALL
2005,2005,AZ,Arizona,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,44.1,44.1,,,37.0,51.5,272.0,Total,,,,,,,,,,"(34.865970280000454, -111.76381127699972)",BF,BF1,Q001,VALUE,4,Total,Total,OVR,OVERALL
2006,2006,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,35.4,35.4,,,33.4,37.3,8035.0,,,,First born,,,,,,,,BF,BF1,Q001,VALUE,59,Birth Order,First born,BO,BOFIRST
2004,2004,TX,Texas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,7.5,7.5,,,6.0,9.4,1951.0,Total,,,,,,,,,,"(31.827240407000488, -99.42677020599967)",BF,BF1,Q008,VALUE,48,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,23.9,23.9,,,13.8,38.2,125.0,,,Under 20,,,,,,,,,BF,BF1,Q001,VALUE,59,Age (years),Under 20,AGEYR,AGEYR0019
2008,2008,MS,Mississippi,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,34.8,34.8,,,26.6,44.0,168.0,Total,,,,,,,,,,"(32.745510099000455, -89.53803082499968)",BF,BF1,Q001,VALUE,28,Total,Total,OVR,OVERALL
2006,2006,SD,South Dakota,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,20.7,20.7,,,15.4,27.2,282.0,Total,,,,,,,,,,"(44.353130053000484, -100.3735306369997)",BF,BF1,Q003,VALUE,46,Total,Total,OVR,OVERALL
2011,2011,IN,Indiana,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,38.6,38.6,,,32.0,45.6,259.0,Total,,,,,,,,,,"(39.766910452000445, -86.14996019399968)",BF,BF1,Q005,VALUE,18,Total,Total,OVR,OVERALL
2011,2011,WI,Wisconsin,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 6 months,,Value,35.9,35.9,,,27.0,46.0,126.0,Total,,,,,,,,,,"(44.39319117400049, -89.81637074199966)",BF,BF1,Q002,VALUE,55,Total,Total,OVR,OVERALL
2012,2012,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,13.9,13.9,,,11.2,17.1,1460.0,,,,,,,,,Non-Hispanic Black,,,BF,BF1,Q008,VALUE,59,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK
2011,2011,AR,Arkansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,10.3,10.3,,,6.7,15.3,215.0,Total,,,,,,,,,,"(34.74865012400045, -92.27449074299966)",BF,BF1,Q008,VALUE,5,Total,Total,OVR,OVERALL
2016,2016,NH,New Hampshire,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,21.0,21.0,,,15.4,28.0,199.0,Total,,,,,,,,,,"(43.65595011300047, -71.50036091999965)",BF,BF1,Q001,VALUE,33,Total,Total,OVR,OVERALL
2008,2008,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 3 months,,Value,45.1,45.1,,,43.6,46.6,12686.0,,,,,,,,,,Ineligible,,BF,BF1,Q007,VALUE,59,WIC Participation,Ineligible,WIC,WICINELG
2004,2004,KS,Kansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 6 months,,Value,42.3,42.3,,,37.3,47.5,610.0,Total,,,,,,,,,,"(38.34774030000045, -98.20078122699965)",BF,BF1,Q005,VALUE,20,Total,Total,OVR,OVERALL
2010,2010,NC,North Carolina,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,19.1,19.1,,,13.5,26.4,261.0,Total,,,,,,,,,,"(35.466220975000454, -79.15925046299964)",BF,BF1,Q008,VALUE,37,Total,Total,OVR,OVERALL
2011,2011,KS,Kansas,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were exclusively breastfed through 6 months,,Value,11.4,11.4,,,7.6,16.6,204.0,Total,,,,,,,,,,"(38.34774030000045, -98.20078122699965)",BF,BF1,Q008,VALUE,20,Total,Total,OVR,OVERALL
2006,2006,GA,Georgia,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,17.9,17.9,,,13.9,22.7,387.0,Total,,,,,,,,,,"(32.83968109300048, -83.62758034599966)",BF,BF1,Q004,VALUE,13,Total,Total,OVR,OVERALL
2016,2016,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula before 3 months,,Value,27.8,27.8,,,24.7,31.2,2548.0,,600 or greater,,,,,,,,,,BF,BF1,Q001,VALUE,59,% Poverty Level,600 or greater,POV,POV600PLUS
2009,2009,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of infants who were breastfed at 12 months,,Value,28.3,28.3,,,26.3,30.3,6207.0,,200 - 399,,,,,,,,,,BF,BF1,Q004,VALUE,59,% Poverty Level,200 - 399,POV,POV200399
2005,2005,TN,Tennessee,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,26.1,26.1,,,19.5,34.0,262.0,Total,,,,,,,,,,"(35.68094058000048, -85.77449091399967)",BF,BF1,Q003,VALUE,47,Total,Total,OVR,OVERALL
2011,2011,US,National,National Immunization Survey,Breastfeeding,Breastfeeding - Behavior,Percent of breastfed infants who were supplemented with infant formula within 2 days of life,,Value,20.7,20.7,,,18.6,22.9,4644.0,,,,Not first born,,,,,,,,BF,BF1,Q003,VALUE,59,Birth Order,Not first born,BO,BONOT1
