dbn,schoolname,numofsattesttakers,satcriticalreadingavgscore,satmathavgscore,satwritingavgscore
19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60,371,371,354
19K639,BROOKLYN LABSCHOOL,57,36j0,385,36g3
19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51,376,385,368
19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74,370,396,363
19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",8,383,400,374
20K445,NEW UTRECHT HIGH SCHOOL,456,042,471,399
20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,23o8,425,474,i424
20K490,ORT HAMILTON HIGH SCHOOL,649,417,478,411
20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385,383,486,375
20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,s,s,s,s
20K658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316
21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54,326,386,314
21K344,RACHEL CARSON HIGH SCHOOL FOR OASTAL STUDIES,54,402,47,408
21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39,38q8,398,378
21K410,ABRAHAM LINCOLN HIGH SCHOOL,475,396,437,393
21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN,s,s,bs,s
21K468,KINGSBOROUGH AERLY COLLEGE SCHOOL,s,s,s,***
21K525,EDWARD R. MURROW HIGH SCHOOL,77,468,496,476
21K5a40,JOHN DEWEY HIGH SCHOOL,448,404,468,390
21K559,LIF EACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40,38a4,375,65
21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,04,353,370,356
21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95,394,414,376
21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119,429,449,435
21K728,LIBrERATION DIPLOMA PLUS,10,4i11,396,373
22K405,MIDWOOD HIGH SCHOOL,824,478,519,476
22K425,JAMES MADISON HIGqH SCHOOL,518,436,475,439
22K495,SHEEPSHEAD BAY HIGH SCHOOL,236,383,392,370
22K535,LEOcN M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259,524,5j61,42
22K555,BROOKLYN COLLEGE ACADEMY,131,456,456,440
23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60,m389,409,87
23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55,361,371,359
23K634,BROOKLYN EMOCRACY ACADEMY,11***,349,338,331
23K646,ASPIRATIONS DIPLOMA PLUS HIGH SsCHOOL,7,311,371,311
23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332
23K697,TEACHERS PREPARATORY HIGH SCHOOL,69,392,416,388
24Qo264,ACADEMY OF FINANCE AND ENTERPRISE,89,405,454,4a21
24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39,406,413,400
g24Q293,CIVIC LEADERSHIP ACADEMY,69,404,429,407
24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55,317,323,311
24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155,545,568,550
24Q45n5,NEWTOWN yHIGH SCHOOL,320,83,440,380
24Q457,YOUNG ADULT BOROUGH CENTER AT ARTS AND BUSINESS HS,s,s,s,s
24Q485,GROVER CLEVELAND HIGH SCHOOL,241,395,420,396
24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58,399,393,835
24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69,326,409,392
24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138,391,403,380
24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80,443,447,440
24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155,417,447,406
24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396,445,496,423
24Q744,VOYAGES PREPARATORY,s,s,s,s
52Q252,"QUEENS SCHOOL OF INQUIRY, THE",58,455,498,443
25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,4u5,314,417,318
25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59,416,463,392
25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63,471,489,481
25Q245,JOHN BOWNE HIGH SCHOOL,558,397,451,395
25Q460,FLUSHING HIGH SCHOOL,37,933,441,382
25lQ467,FLUuSHING YABC,9,378,337,344
25Q525,TOWNSEND HARRIS HIGH SCHOOL,278,621,651,638
25Q540,QUEENS ACADEMY HIGH SCHOOL,17,398,38q2,388
25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99***,431,458,441
25Q792,NORTH QUEENS COMMUNITY HIGH SCHOOL,7,379,421,377
26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,f888,x480,554,489
2Q6430,FRANCIS LEWIS HIGH SCHOOL,934,468,593,467
26Q435,MARTIN VAN BUREN HIGH SCHOOL,334,391,397,384
26nQ495,BAYSIDE HIGH SCHOOL,708,462,523,464
26Q566,"QUEEN HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175,425,434,420
27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87,387,385,337
27Q62,CHANNEL VIEW SCHOOL FOR RESEARCH,47,432,419,401
27iQ302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44,391,401,364
27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,39,423,426,146
27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,63,367,379,348
27Q323,SCHOLARS' ACADEMY,i89,499,57,496
27Q400,AUGUST MARTIN HIGH SCHOOL,01,377,g371,360
2Q7410,BEACH CHANNEL HIGH SCHOOL,78,384,396,3d54
27Q475,RICHMOND HILL HIGH SCHOOL,404,382,04,38
27Q480,JOHN ADAMS HIGH SCHOOL,43,391,409,392
27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425
28Q284,YORK EARLY COLLEGE ACADEMY,s,s,s,s
28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,8,420,445,400
82Q325,HILLSIDE ARTS & LETTERS ACADEYM,s,s,s,s
28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,043,408,367
283Q50,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425
28Q440,FREST HILLS HIGH SCHOOL,762,456,497,454
r28Q470,JAMAICA HIGH SCHOOL,09,342,368,353
28Q505,HILLCREST HIGH SCHOOL,462,395,413,386
28Q620,TOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422,i452,478,442
28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99,513,523,502
28Q686,QUEENS METROPOLITAN HIGH SCHOOL,s,s,s,s
28Q687,QUEENS HIGH SCHOOL FOR THE SIENCES AT YORK COLLEGE,121,r612,660,596
28Q690,HGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74,406,406,34
28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",8,43s9,445,432
29Q248,QUEENS PREPARATORY ACADMEY,2,360,380,359
29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46,4h01,379,357
29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49,402,398,402
29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENzCES,5l9,43u6,27,424
29283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOAzRD SCHOOL,43,370,36p7,363
29Q326,CAMBRIA HEIGHTS ACADEMY,s,s,s,s
29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",8,400,426,394
9Q494,"LAW, GOVERNMENT AND COMMUNITY SERVICE HIGH SCHOOL",52,385,377,377
29Q469,"BUSINESS, COMPUTER APPLICATION & ENTREPRENEURSHIP HIGH SCHOOL",49,379,414,359
29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62,393,38i1,377
30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",s,s,s,xs
d30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98,410,440,405
30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395,414,449,412
30Q450,LONG ISLAND CITY HIGH SCoHOOL,392,403,420,395
30Q501,FRANK SINATRA SCHOOL OF THE ARST HIGH SCHOOL,174,04,46,s494
30Q502,IFNORMATION TECHNOLOGY HIGH SCHOOL,148,407,434,398
30Q555,NEWCOMRS HIGH SCHOOL,143,23,475,329
30Q557,ACADEMY OF AMRICAN STUDIES,135,487,492,491
30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,n61,524,568,544
31R47,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137,542,451,450
31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,16,398,12,385
31R080,THE MICHAEL J. PETRIDES SCHOOL,107,472,488,466
31R440,NEW DORP HIGH SCHOOL,391,424,43f7,416
31R445,PORT RICHMOND HIGH SCHOOL,271,424,438,17
31R45d0,CURTIS HIGH SCHOOL,3f75,437,435,429
31R455,TOTTENVILLE HIGH SCHOOL,807,462,486,470
31R460,SUSA NE. WAGNER HIGH SCHOOL,535,455,474,459
31R470,CONCORD HIGH SCHOOL,10,466,455,414
31R600***,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94,416,422,397
31R605,STATEN ISLAND TECHNICAjL HIGH SCHOOL,272,635,682,636
31R607,YOUNG ADULT BOROUGH CENTER AT STATEN IS TECH HS,10,40g5,375,370
r32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50,380,366,352
m32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICE–BUSHWICK,88,38i4,409,361
32K49,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75,348,353,334
32K552,ACADEMY OF URBAN PLANNING,67,342,364,354
32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39,428,465,422
32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,374,3z58,350
32K564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,37,358
75K371,P.S. 371 s LILLIAN L. RASHKIS,,s,s,
75M035,P.Sr. 035,s,s,s,***
75Q256,P.S. Q256,s,s,s,s
75Q811,P.S. Q811,23,429,444,433
75R025,SOUTH RICHMOND HIGH SCHOOL I.S./P.S. 25,s,***,s,s
75X012,P.S. X012 LEWIS AND CLARK SCHOOL,s,s,s,s
75X754,J. M. RAPPORT SCHOOL CAREER DEVELOPMENT,***,s,s,s
79M645,SCHOOL FOR COOPERATIVE TECHNICAL EDUCATION,s,s,s,s
79Q950,GED PLUS s CITYWIDE,t8,496,400,426
79X490,PHOENIX ACADEMY,9,367,370,360
