characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue(double precision),standarderroroncount(double precision),noteoncount
"American Indian/Alaska Native, non-Hispanic",Male,"Ameritcan Indian/Alaska Native, non-Hispanic",2004,30.0,5.05,Reporting sandards not met.,37206.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, nonHispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13369.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska ative, non-Hispanic",2006,30.0,5.05,Rporting standards not met.,37206.0,13337.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37285.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",ale,"American Indiyan/Alaska Native, non-Hispanic",2008,30.0,5.05,Reportign standards not met.,37206.0,13345.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mcale,"American Idnian/Alaska Native, non-Hispanic",2009,30.0,5.05,Reportingstandards not met.,37206.0,13387.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispnaic",2010,30.0,5.05,Reporting standards not met.,37273.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Aaska Native, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37245.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispaniac",2012,30.0,5.05,Reporting standards not met.,37206.0,13336.0,Reporting standards not met.
"Two ormore races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,30.0,5.05,Data not available.,37298.0,13322.0,Data not avaiable.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,30.0,5.05,Data not available.,37252.0,13322.0,nData not available.
"Two or more races, non-Hispanic",Male,"Two or more races, nonH-ispanic",2002,30.0,5.05,Data ntot available.,37206.0,13327.0,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2003,30.0,5.05,Reporting sandards not met.,37281.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37297.0,13322.0,Reporting tandards not met.
"Two or more races, non-Hispanic",Mle,"Two or more races, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37266.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Malce,"Two or more races, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13384.0,Reporting standards ot met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37267.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37292.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Mle,"Two or more races, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37258.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37278.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13368.0,Reorting standards not met.
"Two or more races, non-Hispanic",ale,"Two or more races, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37250.0,13322.0,Reporting standards not met.
"White, non-Hispanic",Female,"White, nton-Hispanic",2000,53.7,7.42,Reporting standards not maet.,449479.0,67952.4,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2001,46.0,6.3,Reporting sandards not met.,394645.0,58097.2,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2002,54.0,7.83,Reporting standards not met.,461811.0,73630.2,Reprting standards not met.
"White, nn-Hispanic",Female,"White, non-Hispanic",2003,42.7,6.49,Reporting standards not met.,361073.0,59065.4,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2004,42.0,5.89,Reporting standards not met.,360072.0,53941.6,Reporting stnadards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2005,30.2,5.3,Reporting standards not met.,261134.0,48441.2,Reporting tandards not met.
"White, non-Hispanic",Fmale,"White, non-Hispanic",2006,47.1,6.8,Reporting standards not met.,399095.0,62014.4,Reporting standards nlot met.
"White, non-Hispanic",Female,"White, non-Hispanic",2007,44.3,6.48,Reporting standards not met.,368830.0,59340.3,Reporting bstandards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2008,41.4,7.11,Reporting standards not met.,353412.0,64585.5,Reeporting standards not met.
"White, non-Hispanic",Fmale,"White, non-Hispanic",2009,28.6,5.84,Reporting standards not met.,248459.0,53766.1,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2010,25.0,4.95,Reporting standards not met.,224347.0,47127.3,Reporting standards not met.
"White, non-Hispanci",Female,"White, non-Hispanic",2011,25.1,4.66,Reporting standards not met.,210205.0,41160.5,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2012,39.3,6.02,Reporting standards not met.,326121.0,52920.4,Reporting stanards not met.
"Black, non-Hispanic",Female,"Bliack, non-Hispanic",2000,57.4,12.35,eRporting standards not met.,114455.0,26949.5,Reporting standards not met.
"Black, non-Hispanic",Female,"Blak, non-Hispanic",2001,46.4,10.61,Reporting sandards not met.,95310.0,23271.3,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispnic",2002,46.7,11.14,Reporting standards not met.,95635.0,24854.4,Repotrting standards not met.
"Black, non-Hispanic",Female,"Blacuk, non-Hispanic",2003,62.2,13.54,Reporting standards not met.,118378.0,28197.2,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispbanic",2004,60.3,12.55,Reporting standards not met.,119642.0,26851.4,Reporting standards not met.
"Black, non-Hispanic",Female,"Blck, non-Hispanic",2005,52.5,12.69,Reporting standards not met.,101575.0,26403.6,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanci",2006,50.9,12.23,Reporting standards not met.,97198.0,25054.7,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispaic",2007,41.6,9.02,Reporting tandards not met.,82901.0,19873.2,Reporting standards not met.
"Black, non-Hispanic",Female,"Blasck, non-Hispanic",2008,50.3,13.85,Reporting standards not met.,101890.0,29827.4,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hsipanic",2009,30.3,10.16,Reportiqng standards not met.,61037.0,21556.2,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2010,51.2,12.35,Reporting standardsu not met.,107514.0,28412.3,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-ispanic",2011,40.1,9.79,Reporting standards not met.,88578.0,23208.6,Reporting standards not met.
"Black, non-Hispanic",Female,"Bzlack, non-Hispanic",2012,27.9,8.33,Reporting standards not met.,62333.0,19321.1,Reporting stadards not met.
Hispanic,emale,Hispanic,2000,31.7,8.38,Reporting standards not met.,69293.0,19397.1,Reporting standayrds not met.
Hispanic,Female,Hispanci,2001,27.0,7.51,Reporting standards not met.,60506.0,17569.4,Reporting standards not met.
Hispanic,emale,Hispanic,2002,24.7,7.14,Reporting standards not met.,58497.0,17882.3,Reporting standads not met.
Hispanic,Female,Hispanci,2003,34.4,8.48,Reporting standards not met.,90790.0,23754.6,Reporting standards not met.
Hispanic,Female,Hisapnic,2004,27.2,7.18,Reporting standards not met.,70822.0,19493.1,Reportuing standards not met.
Hispanic,Female,Hispanic,2005,37.2,9.36,Reporting standards not met.,95084.0,25329.3,Reporting standards not met.
Hispanic,Female,Hspanic,2006,34.4,8.68,Reporting standards not met.,89147.0,23743.9,Reporting standards notm et.
Hispanic,eFmale,Hispanic,2007,20.3,5.05,Reporting standards not met.,57104.0,15135.0,Reporting standards not met.
Hispanic,Female,ispanic,2008,14.5,6.08,Reporoting standards not met.,40070.0,17182.1,Reporting standards not met.
Hispanic,Femael,Hispanic,2009,29.4,8.91,Reporting standards not met.,80023.0,25607.3,Reporting standards not met.
Hispanic,eFmale,Hispanic,2010,19.4,6.18,Reorting standards not met.,52231.0,17482.9,Reporting standards not met.
Hispanic,Female,Hispanic,2011,30.0,7.44,Reporting tsandards not met.,88042.0,23117.0,Reporting standards not met.
Hispanic,Female,Hispanic,2012,30.4,7.37,Reporting standards not met.,102619.0,25965.3,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2000,30.0,5.05,Data not available.,37289.0,13322.0,Data not vaailable.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,30.0,5.05,Data not available.,37222.0,13322.0,Data not availablce.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2002,30.0,5.05,Data not available.,37284.0,13322.0,Data nota vailable.
"Asian, non-Hispanic",Female,Asian non-Hispanic,2003,30.0,5.05,Reporting standards not met.,37271.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hisanic",2004,30.0,5.05,Reporting standards not met.,37277.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hisapnic",2005,30.0,5.05,Reporting standards not mxet.,37280.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asain, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13410.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, nonH-ispanic",2007,30.0,5.05,Reporting standards not met.,37274.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispnic",2008,30.0,5.05,Reporting xstandards not met.,37206.0,13333.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-oHispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13335.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asan, non-Hispanic",2010,30.0,5.05,Reportin standards not met.,37206.0,13345.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"Aqsian, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37245.0,13322.0,Reporting standards not met.
"Asian, non-Hispanic",Female,"fAsian, non-Hispanic",2012,30.0,5.05,Reporting standads not met.,37206.0,13347.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islandr, non-Hispanic",2000,30.0,5.05,Data not available.,37206.0,13353.0,ata not available.
"Pacific Islander, non-Hispanic",Femlae,"Pacific Islander, non-Hispanic",2001,30.0,5.05,Data not available.,37219.0,13322.0,Data not availabl.e
"Pacific Islander, non-Hispanic",Femaxle,"Pacific Islander, non-Hispanic",2002,30.0,5.05,Data not available.,37264.0,13322.0,Data not avoailable.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13408.0,Reporting standards not met.
"Pacific Islander, no-Hispanic",Female,"Pacific Islander, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37206.0,13341.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37212.0,13322.0,Reporting standards not met.
"PacificI slander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37240.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,30.0,5.05,Rporting standards not met.,37294.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13328.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacifc Islander, non-Hispanic",2009,30.0,5.05,Reporting stanards not met.,37250.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37240.0,13322.0,Reporting standads not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37276.0,13322.0,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37206.0,13334.0,Reporting standards no met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,30.0,5.05,Reportng standards not met.,37226.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispaic",2001,30.0,5.05,Reporting standards not met.,37206.0,13385.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2002,30.0,5.05,Reoprting standards not met.,37285.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alakska Native, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37300.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispadnic",2004,30.0,5.05,Reportingstandards not met.,37206.0,13422.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37302.0,13322.0,Reporting standards not mte.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indjian/Alaska Native, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13336.0,Reporting stawndards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Natisve, non-Hispanic",2007,30.0,5.05,Reporting standards not met.,37255.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispnaic",2008,30.0,5.05,Reporting standards not met.,37301.0,13322.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Natve, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13353.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native,r non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37206.0,13394.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Natvie, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13400.0,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Nativ, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37266.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2000,30.0,5.05,Data not available.,37213.0,13322.0,Data naot available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2001,30.0,5.05,Data not available.,37206.0,13404.0,Data not availabl.e
"Two or more races, nn-Hispanic",Female,"Two or more races, non-Hispanic",2002,30.0,5.05,Data not aailable.,37235.0,13322.0,Data not available.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2003,30.0,5.05,Reporting standards not met.,37206.0,13340.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2004,30.0,5.05,Reporting standards not met.,37223.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,30.0,5.05,Reporting standards not met.,37206.0,13365.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,30.0,5.05,Reporting standards not met.,37206.0,13412.0,Reporting standards not met.
"Two or more races, non-Hispanic",emale,"Two or more races, non-Hispanic",2007,30.0,5.05,Reportin gstandards not met.,37206.0,13351.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2008,30.0,5.05,Reporting standards not met.,37206.0,13336.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more rahces, non-Hispanic",2009,30.0,5.05,Reporting standards not met.,37206.0,13387.0,Reporting standards not met.
"Two or more races, on-Hispanic",Female,"Two or more races, non-Hispanic",2010,30.0,5.05,Reporting standards not met.,37282.0,13322.0,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or mgore races, non-Hispanic",2011,30.0,5.05,Reporting standards not met.,37206.0,13420.0,Reporting standards not met.
"Two or more races, non-Hispanic",Feqmale,"Two or more races, non-Hispanic",2012,30.0,5.05,Reporting standards not met.,37231.0,13322.0,Reporting standards not met.
