rowid,year,location_abbr,location_desc,data_source,priority_area_one,priority_area_two,priority_area_three,priority_area_four,category,topic,indicator,data_value_type,data_value_unit,data_value,data_value_alt,data_value_footnote_symbol,data_value_footnote,confidence_interval_low,confidence_interval_high,break_out_category,break_out,category_id,topic_id,indicator_id,data_value_type_id,break_out_category_id,break_out_id,location_id,geo_location
NHANES~2007-2008~59~NH801~AGE08~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Crude,Percent (%),5.1,5.1,NULL,NULL,3.8,6.9,Age,75+,C2,T15,NH801,Crude,BOC03,AGE08,59,NULL
NHANES~2007-2008~59~NH064~GEN01~Crude,2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Crude,Percent (%),32.3,32.3,NULL,NULL,29.6,35.2,Gender,Male,C2,T10,NH064,Crude,BOC02,GEN01,59,NULL
NHANES~2017-2018~59~NH103~AGE05~Crude,2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Age,45-64,C2,T21,NH103,Crude,BOC03,AGE05,59,NULL
NHANES~2007-2008~59~NH701~GEN02~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Crude,Percent (%),52.9,52.9,NULL,NULL,47.8,57.9,Gender,Female,C2,T14,NH701,Crude,BOC02,GEN02,59,NULL
NHANES~2005-2006~59~NH601~AGE06~Crude,2005-2006,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Crude,Percent (%),30.4,30.4,NULL,NULL,27.5,33.5,Age,65+,C2,T13,NH601,Crude,BOC03,AGE06,59,NULL
NHANES~2003-2004~59~NH005~AGE04~Crude,2003-2004,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Age,25-44,C1,T6,NH005,Crude,BOC03,AGE04,59,NULL
NHANES~2011-2012~59~NH060~AGE03~Crude,2011-2012,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of recommended statin therapy for cholesterol management among US adults (21+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Age,21-24,C2,T10,NH060,Crude,BOC03,AGE03,59,NULL
NHANES~2013-2014~59~NH010~RAC04~Crude,2013-2014,US,United States,NHANES,None,ABCS,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+); NHANES,Crude,Percent (%),50.1,50.1,NULL,NULL,41.7,58.4,Race,Hispanic,C2,T8,NH010,Crude,BOC04,RAC04,59,NULL
NHANES~2017-2018~59~NH074~AGE02~Crude,2017-2018,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (20+); NHANES,Crude,Percent (%),26.2,26.2,NULL,NULL,19.3,34.5,Age,20-24,C2,T15,NH074,Crude,BOC03,AGE02,59,NULL
NHANES~2003-2004~59~NH061~AGE07~Crude,2003-2004,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Age,35+,C2,T10,NH061,Crude,BOC03,AGE07,59,NULL
NHANES~1999-2000~59~NH061~GEN01~Age-Standardized,1999-2000,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Age-Standardized,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Gender,Male,C2,T10,NH061,AgeStdz,BOC02,GEN01,59,NULL
NHANES~2007-2008~59~NH603~GEN02~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of ideal BMI status among US adults (20+); NHANES,Crude,Percent (%),35.7,35.7,NULL,NULL,33.1,38.4,Gender,Female,C2,T13,NH603,Crude,BOC02,GEN02,59,NULL
NHANES~2007-2008~59~NH024~RAC03~Crude,2007-2008,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of prehypertension among US adults (18+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Non-Hispanic Asian,C2,T9,NH024,Crude,BOC04,RAC03,59,NULL
NHANES~2017-2018~59~NH501~RAC04~Crude,2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of poor diet score among US adults (20+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Hispanic,C2,T12,NH501,Crude,BOC04,RAC04,59,NULL
NHANES~2013-2014~59~NH065~RAC07~Age-Standardized,2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Age-Standardized,Percent (%),11.5,11.5,NULL,NULL,7.3,17.6,Race,Other,C2,T10,NH065,AgeStdz,BOC04,RAC07,59,NULL
NHANES~2007-2008~59~NH103~RAC07~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Other,C2,T21,NH103,Crude,BOC04,RAC07,59,NULL
NHANES~2013-2014~59~NH066~RAC03~Crude,2013-2014,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),74.9,74.9,NULL,NULL,70.7,78.6,Race,Non-Hispanic Asian,C2,T10,NH066,Crude,BOC04,RAC03,59,NULL
NHANES~2017-2018~59~NH401~OVR01~Age-Standardized,2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Age-Standardized,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Overall,Overall,C2,T11,NH401,AgeStdz,BOC01,OVR01,59,NULL
NHANES~2017-2018~59~NH071~AGE08~Crude,2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),36.7,36.7,NULL,NULL,31.6,42.1,Age,75+,C2,T13,NH071,Crude,BOC03,AGE08,59,NULL
NHANES~2017-2018~59~NH020~GEN02~Crude,2017-2018,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Crude,Percent (%),33.0,33.0,NULL,NULL,29.9,36.2,Gender,Female,C2,T9,NH020,Crude,BOC02,GEN02,59,NULL
NHANES~2007-2008~59~NH074~AGE04~Crude,2007-2008,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Smoking,Prevalence of current smoking among US adults (20+); NHANES,Crude,Percent (%),33.7,33.7,NULL,NULL,30.3,37.2,Age,25-44,C2,T15,NH074,Crude,BOC03,AGE04,59,NULL
NHANES~2009-2010~59~NH070~RAC02~Age-Standardized,2009-2010,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Age-Standardized,Percent (%),16.9,16.9,NULL,NULL,15.4,18.5,Race,Non-Hispanic Black,C2,T11,NH070,AgeStdz,BOC04,RAC02,59,NULL
NHANES~2015-2016~59~NH403~GEN02~Age-Standardized,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES,Age-Standardized,Percent (%),69.6,69.6,NULL,NULL,66.3,72.6,Gender,Female,C2,T11,NH403,AgeStdz,BOC02,GEN02,59,NULL
NHANES~2007-2008~59~NH801~AGE05~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Crude,Percent (%),23.6,23.6,NULL,NULL,20.3,27.1,Age,45-64,C2,T15,NH801,Crude,BOC03,AGE05,59,NULL
NHANES~2011-2012~59~NH061~AGE06~Crude,2011-2012,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crude,Percent (%),58.8,58.8,NULL,NULL,53.2,64.1,Age,65+,C2,T10,NH061,Crude,BOC03,AGE06,59,NULL
NHANES~2011-2012~59~NH010~AGE05~Crude,2011-2012,US,United States,NHANES,None,ABCS,None,None,Risk Factors,Aspirin use,Prevalence of aspirin use for secondary prevention of ischemic vascular disease among US adults (40+); NHANES,Crude,Percent (%),72.6,72.6,NULL,NULL,57.6,83.8,Age,45-64,C2,T8,NH010,Crude,BOC03,AGE05,59,NULL
NHANES~2009-2010~59~NH301~RAC07~Crude,2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Cholesterol Abnormalities,Prevalence of poor cholesterol status among US adults (20+); NHANES,Crude,Percent (%),12.1,12.1,NULL,NULL,7.0,20.0,Race,Other,C2,T10,NH301,Crude,BOC04,RAC07,59,NULL
NHANES~2005-2006~59~NH803~RAC02~Age-Standardized,2005-2006,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),75.1,75.1,NULL,NULL,71.1,78.8,Race,Non-Hispanic Black,C2,T15,NH803,AgeStdz,BOC04,RAC02,59,NULL
NHANES~2011-2012~59~NH501~AGE08~Crude,2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of poor diet score among US adults (20+); NHANES,Crude,Percent (%),64.9,64.9,NULL,NULL,58.4,70.8,Age,75+,C2,T12,NH501,Crude,BOC03,AGE08,59,NULL
NHANES~2017-2018~59~NH001~AGE05~Crude,2017-2018,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),9.6,9.6,NULL,NULL,7.5,12.2,Age,45-64,C1,T1,NH001,Crude,BOC03,AGE05,59,NULL
NHANES~1999-2000~59~NH004~RAC04~Crude,1999-2000,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Hispanic,C1,T3,NH004,Crude,BOC04,RAC04,59,NULL
NHANES~2005-2006~59~NH060~AGE05~Crude,2005-2006,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of recommended statin therapy for cholesterol management among US adults (21+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Age,45-64,C2,T10,NH060,Crude,BOC03,AGE05,59,NULL
NHANES~2013-2014~59~NH021~GEN01~Crude,2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Hypertension,Prevalence of hypertension awareness among US adults (18+) with hypertension; NHANES,Crude,Percent (%),81.4,81.4,NULL,NULL,77.7,84.7,Gender,Male,C2,T9,NH021,Crude,BOC02,GEN01,59,NULL
NHANES~2015-2016~59~NH203~AGE02~Crude,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),67.4,67.4,NULL,NULL,62.6,71.9,Age,20-24,C2,T9,NH203,Crude,BOC03,AGE02,59,NULL
NHANES~2005-2006~59~NH073~OVR01~Crude,2005-2006,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Nutrition,Mean dietary sodium intake (mg/day) among US adults (18+); NHANES,Crude,Mean (mg/day),3703.0,3703.0,NULL,NULL,3602.0,3804.0,Overall,Overall,C2,T12,NH073,Crude,BOC01,OVR01,59,NULL
NHANES~2007-2008~59~NH070~RAC07~Crude,2007-2008,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),12.6,12.6,NULL,NULL,8.2,18.8,Race,Other,C2,T11,NH070,Crude,BOC04,RAC07,59,NULL
NHANES~2009-2010~59~NH066~GEN01~Crude,2009-2010,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Crude,Percent (%),66.3,66.3,NULL,NULL,63.4,69.1,Gender,Male,C2,T10,NH066,Crude,BOC02,GEN01,59,NULL
NHANES~2005-2006~59~NH004~RAC07~Age-Standardized,2005-2006,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Age-Standardized,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Other,C1,T3,NH004,AgeStdz,BOC04,RAC07,59,NULL
NHANES~2013-2014~59~NH803~AGE04~Crude,2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Crude,Percent (%),73.9,73.9,NULL,NULL,71.3,76.5,Age,25-44,C2,T15,NH803,Crude,BOC03,AGE04,59,NULL
NHANES~2015-2016~59~NH703~RAC07~Age-Standardized,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of ideal physical activity levels among US adults (20+); NHANES,Age-Standardized,Percent (%),38.4,38.4,NULL,NULL,35.9,40.9,Race,Other,C2,T14,NH703,AgeStdz,BOC04,RAC07,59,NULL
NHANES~2011-2012~59~NH001~RAC04~Crude,2011-2012,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Crude,Percent (%),5.0,5.0,NULL,NULL,3.7,6.6,Race,Hispanic,C1,T1,NH001,Crude,BOC04,RAC04,59,NULL
NHANES~2013-2014~59~NH073~AGE05~Crude,2013-2014,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Nutrition,Mean dietary sodium intake (mg/day) among US adults (18+); NHANES,Crude,Mean (mg/day),3495.0,3495.0,NULL,NULL,3345.0,3645.0,Age,45-64,C2,T12,NH073,Crude,BOC03,AGE05,59,NULL
NHANES~2013-2014~59~NH070~AGE08~Crude,2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),28.3,28.3,NULL,NULL,24.1,33.0,Age,75+,C2,T11,NH070,Crude,BOC03,AGE08,59,NULL
NHANES~2013-2014~59~NH070~RAC03~Crude,2013-2014,US,United States,NHANES,None,None,None,None,Risk Factors,Diabetes,Prevalence of diabetes among US adults (18+); NHANES,Crude,Percent (%),15.5,15.5,NULL,NULL,12.6,18.8,Race,Non-Hispanic Asian,C2,T11,NH070,Crude,BOC04,RAC03,59,NULL
NHANES~1999-2000~59~NH065~AGE02~Crude,1999-2000,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of high serum triglycerides among US adults (20+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Age,20-24,C2,T10,NH065,Crude,BOC03,AGE02,59,NULL
NHANES~2013-2014~59~NH703~OVR01~Age-Standardized,2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of ideal physical activity levels among US adults (20+); NHANES,Age-Standardized,Percent (%),42.2,42.2,NULL,NULL,39.9,44.4,Overall,Overall,C2,T14,NH703,AgeStdz,BOC01,OVR01,59,NULL
NHANES~2003-2004~59~NH203~AGE02~Crude,2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Hypertension,Prevalence of ideal blood pressure status among US adults (20+); NHANES,Crude,Percent (%),72.9,72.9,NULL,NULL,68.2,77.1,Age,20-24,C2,T9,NH203,Crude,BOC03,AGE02,59,NULL
NHANES~2015-2016~59~NH071~RAC02~Crude,2015-2016,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Obesity,Prevalence of obesity among US adults (20+); NHANES,Crude,Percent (%),46.8,46.8,NULL,NULL,42.4,51.2,Race,Non-Hispanic Black,C2,T13,NH071,Crude,BOC04,RAC02,59,NULL
NHANES~2007-2008~59~NH701~RAC01~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Crude,Percent (%),46.1,46.1,NULL,NULL,37.8,54.6,Race,Non-Hispanic White,C2,T14,NH701,Crude,BOC04,RAC01,59,NULL
NHANES~2015-2016~59~NH403~RAC04~Age-Standardized,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of ideal HbA1c and fasting glucose status among US adults (20+); NHANES,Age-Standardized,Percent (%),54.3,54.3,NULL,NULL,48.8,59.7,Race,Hispanic,C2,T11,NH403,AgeStdz,BOC04,RAC04,59,NULL
NHANES~2007-2008~59~NH501~AGE02~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of poor diet score among US adults (20+); NHANES,Crude,Percent (%),89.7,89.7,NULL,NULL,83.2,93.9,Age,20-24,C2,T12,NH501,Crude,BOC03,AGE02,59,NULL
NHANES~2005-2006~59~NH004~AGE02~Crude,2005-2006,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Acute Myocardial Infarction (Heart Attack),Prevalence of acute myocardial infarction (heart attack) among US adults (20+); NHANES,Crude,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Age,20-24,C1,T3,NH004,Crude,BOC03,AGE02,59,NULL
NHANES~1999-2000~59~NH001~RAC01~Age-Standardized,1999-2000,US,United States,NHANES,None,None,None,None,Cardiovascular Diseases,Major Cardiovascular Disease,Prevalence of major cardiovascular disease among US adults (20+); NHANES,Age-Standardized,Percent (%),8.0,8.0,NULL,NULL,6.8,9.5,Race,Non-Hispanic White,C1,T1,NH001,AgeStdz,BOC04,RAC01,59,NULL
NHANES~2011-2012~59~NH701~AGE08~Crude,2011-2012,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Physical Inactivity,Prevalence of poor physical activity levels among US adults (20+); NHANES,Crude,Percent (%),68.4,68.4,NULL,NULL,62.1,74.0,Age,75+,C2,T14,NH701,Crude,BOC03,AGE08,59,NULL
NHANES~2015-2016~59~NH801~GEN02~Crude,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Crude,Percent (%),16.3,16.3,NULL,NULL,14.9,17.9,Gender,Female,C2,T15,NH801,Crude,BOC02,GEN02,59,NULL
NHANES~2013-2014~59~NH601~AGE02~Crude,2013-2014,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Obesity,Prevalence of poor BMI status among US adults (20+); NHANES,Crude,Percent (%),25.3,25.3,NULL,NULL,20.9,30.3,Age,20-24,C2,T13,NH601,Crude,BOC03,AGE02,59,NULL
NHANES~1999-2000~59~NH020~RAC03~Age-Standardized,1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Hypertension,Prevalence of hypertension among US adults (18+); NHANES,Age-Standardized,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Non-Hispanic Asian,C2,T9,NH020,AgeStdz,BOC04,RAC03,59,NULL
NHANES~2017-2018~59~NH801~RAC07~Age-Standardized,2017-2018,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of poor smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),16.6,16.6,NULL,NULL,12.8,21.3,Race,Other,C2,T15,NH801,AgeStdz,BOC04,RAC07,59,NULL
NHANES~2017-2018~59~NH005~RAC07~Age-Standardized,2017-2018,US,United States,NHANES,Million Hearts,None,None,None,Cardiovascular Diseases,Stroke,Prevalence of stroke among US adults (20+); NHANES,Age-Standardized,Percent (%),3.0,3.0,NULL,NULL,1.9,4.8,Race,Other,C1,T6,NH005,AgeStdz,BOC04,RAC07,59,NULL
NHANES~2009-2010~59~NH103~RAC07~Age-Standardized,2009-2010,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Major Cardiovascular Disease,Prevalence of ideal Cardiovascular Health among US adults (20+); NHANES,Age-Standardized,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Other,C2,T21,NH103,AgeStdz,BOC04,RAC07,59,NULL
NHANES~2007-2008~59~NH803~AGE08~Crude,2007-2008,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Crude,Percent (%),94.2,94.2,NULL,NULL,92.2,95.7,Age,75+,C2,T15,NH803,Crude,BOC03,AGE08,59,NULL
NHANES~2015-2016~59~NH401~GEN02~Age-Standardized,2015-2016,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Diabetes,Prevalence of poor HbA1c or fasting glucose status among US adults (20+); NHANES,Age-Standardized,Percent (%),16.4,16.4,NULL,NULL,14.0,19.1,Gender,Female,C2,T11,NH401,AgeStdz,BOC02,GEN02,59,NULL
NHANES~2005-2006~59~NH803~RAC03~Age-Standardized,2005-2006,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Smoking,Prevalence of ideal smoking status among US adults (20+); NHANES,Age-Standardized,Percent (%),NULL,-2.0,~,Statistically unstable estimates not presented [unstable by NCHS standards: (means: standard error/estimate>0.30; prevalence: NCHS Data Presentation Standards for Proportions (https://www.cdc.gov/nchs/data/series/sr_02/sr02_175.pdf))],NULL,NULL,Race,Non-Hispanic Asian,C2,T15,NH803,AgeStdz,BOC04,RAC03,59,NULL
NHANES~2013-2014~59~NH061~RAC04~Crude,2013-2014,US,United States,NHANES,Million Hearts,ABCS,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of statin use among US adults (21+) for whom statin therapy is recommended; NHANES,Crude,Percent (%),30.2,30.2,NULL,NULL,24.6,36.4,Race,Hispanic,C2,T10,NH061,Crude,BOC04,RAC04,59,NULL
NHANES~2003-2004~59~NH064~OVR01~Crude,2003-2004,US,United States,NHANES,None,None,None,None,Risk Factors,Cholesterol Abnormalities,Prevalence of low HDL (high-density lipoprotein) cholesterol among US adults (20+); NHANES,Crude,Percent (%),17.1,17.1,NULL,NULL,15.2,19.2,Overall,Overall,C2,T10,NH064,Crude,BOC01,OVR01,59,NULL
NHANES~1999-2000~59~NH066~RAC07~Age-Standardized,1999-2000,US,United States,NHANES,None,None,Healthy People 2020,None,Risk Factors,Cholesterol Abnormalities,Prevalence of cholesterol screening in the past 5 years among US adults (20+); NHANES,Age-Standardized,Percent (%),52.7,52.7,NULL,NULL,47.1,58.3,Race,Other,C2,T10,NH066,AgeStdz,BOC04,RAC07,59,NULL
NHANES~2003-2004~59~NH501~RAC07~Age-Standardized,2003-2004,US,United States,NHANES,None,None,None,AHA 2020 Goals: Cardiovascular Health,Risk Factors,Nutrition,Prevalence of poor diet score among US adults (20+); NHANES,Age-Standardized,Percent (%),73.5,73.5,NULL,NULL,65.8,80.0,Race,Other,C2,T12,NH501,AgeStdz,BOC04,RAC07,59,NULL
