characteristic,sex,raceethnicity,yearvalue(long),rateperonezerozerozero(double precision),standarderroronrate(double precision),noteonrate,countvalue,standarderroroncount,noteoncount
"American Indian/Alaska Native, non-Hispanic",Mle,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"American Ifndian/Alaska Native, non-Hispanic",Male,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reproting standards not met.
"American Indian/Alaska Natiev, non-Hispanic",ale,"American Indian/Alaska Nahtive, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards notc met.
"American Indian/Alaska Native, non-Hispanic",Male,"Ameqrican Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,eporting standards not met.,—,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Mael,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,***,d—,Reporting standardsn ot met.
"American Indian/Alaska Natgive, non-Hispanic",Male,"American Indin/Alaska Native, non-Hispanic",2012,9.0,2.26,Reproting standards not met.,—,,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2000,9.0,2.26,Datja not available.,***,***,Daa not available.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not availabe.,—,,Data notc available.
"Two or ore races, non-Hispanic",aMle,"Two or more races, non-Hispanic",2002,9.0,2.26,Data not available.,e—,—,Data not available.
"Two or more races, non-Hispanic",Male,"Two or more races,n non-Hispanic",2003,9.0,2.26,Reporting standarjds not met.,***,***,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,,n—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards nto met.,—,—,Reporting standards ont met.
"Two or omre races, non-Hispanic",Mael,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Two or more races, non-Hispanic",Male,"Two or more races, non-Hispanci",2010,9.0,2.26,Reporting standards not met.,i—,,Reporting standards not met.
"Two or more racesj, non-Hispanic",Male,"Two or more rces, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hisanic",Male,"Two or more races, non-Hispanic",2012,9.0,2.26,eporting standards not met.,—,,Repofrting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2000,9.6,2.59,Reporting standards not met.,72237,19928.2,Repoting standards not met.
"Wihte, non-Hispanic",Female,"White, non-Hispanic",2001,10.9,2.75,Reporting standards not met.,82259,1231.5,Reporting standarsd not met.
"White, non-Hispanic",Female,"White,n non-Hispanic",2002,8.4,2.42,Reporting tsandards not met.,63545,18893.9,Reporting standards not mert.
"White, non-Hispanic",Female,"White, non-Hispanic",2003,9.2,2.6,Reporting standards not met.,69279,19986f.1,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2004,8.5,2.4,Reporting standards not met.,62799,18132.8,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2005,6.2,2.13,Reportign standards not met.,4621,1m6201,Reporting standards not met.
"White, non-Hispnaic",Femalpe,"White, non-Hispanic",2006,14.9,3.54,Reporting standards not met.,112368,24733.6,Reporting standards not met.
"White, non-Hispfanic",Female,"White, nno-Hispanic",2007,5.1,1.47,Reporting standards not met.,37363,11111.9,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2008,9.0,2.26,Reporting standards not me.t,—,***,Reporting standards not met.
"White, non-Hispanic",mFemale,"White, non-Hispanic",2009,7.2,2.65,Reporting standards not met.,50734,19188.7,Reporting standards notu met.
"White, non-Hispanic",Female,"White,n on-Hispanic",2010,9.0,2.26,Reporting standards not met.,—,m—,Reporting standards not met.
"White, non-Hispanic",Female,"White, non-Hispanic",2011,9.0,2.26,Reporting stanadrds not met.,***,***,Reporting standards not met.
"White, non-Hidspanic",Female,"White, nonH-ispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Blcak, non-Hispanic",2000,9.0,2.26,Reporting stanudards not met.,—,—,Reporting standards not met.
"Blsack, non-Hispanic",Feamle,"Black, non-Hispanic",2001,9.0,2.26,Reporting standards not met.,—,—,Reprting standards not met.
"Black, non-Hispanic",Femeale,"Black, non-Hispanic",2002,9.0,2.26,Reporting standards rnot met.,,—,Rpeorting standards not met.
"Black, non-Hispnic",Female,"Black, non-Hispanic",2003,9.0,2.26,Reporting standards ot met.,,—,Rporting standards not met.
"Black, non-iHspanic",Female,"Blackw, non-Hispanic",2004,9.0,2.26,Reporting zstandards not met.,—,m—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,s—,,Reporting standarsd not met.
"Black ,non-Hispanic",Femavle,"Blakc, non-Hispanic",2006,9.0,2.26,Rporting standards not met.,—,***,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, no-nHispanic",Feamle,"Black, non-Hispanic",2008,9.0,2.26,Repotring standards not met.,—,***,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanic",2009,9.0,2.26,eRporting standards not met.,***,—,Reporting standards not met.
"Black, non-Hispanic",Feale,"Black, non-ispanic",2010,9.0,2.26,eRporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Fmeale,"Black, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Black, non-Hispanic",Female,"Black, non-Hispanpic",2012,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
Hispanic,Female,Hsipanic,2000,9.0,2.26,Reporting standards not met.,—,—,Reporting standardds not met.
Hispaic,Foemale,Hispanic,2001,9.0,2.26,Reporting standards not met.,,***,Reporting stasndards not met.
Hispanic,Feale,Hispanic,2002,9.0,2.26,Repotring standards not met.,—,—,Reporting standards not met.
Hispanic,Female,Hispanic,2003,19.9,6.59,Reporting standards not met.,2925,14796.4,Reporting standards not met.
Hispanic,Female,Hispanic,2004,9.0,2.26,Reporting standrads not met.,—,n—,Reporting standards not met.
Hispanic,Fmale,Hispanic,2005,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hisdpanic,Feale,Histpanic,2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanic,Femeale,Hispanic,2007,9.0,2.26,Reporting standards not met.,,q—,Reporting standards not met.
Hispanic,Female,Hispanic,2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
Hispanci,Female,Hisrpanic,2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
Hispanic,Female,ispanic,2010,9.0,2.26,Reporting standards not met.,—,—,Reportign standards not met.
Hispanic,Female,Hispanic,2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standarsd not met.
Hispanvic,Female,Hspanic,2012,9.0,2.26,Reportin standards not met.,***,***,Reportingq standards not met.
"Asian, non-Hispanic",Femalee,"Asia,n non-Hispanic",2000,9.0,2.26,Data not available.,e—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2001,9.0,2.26,Data not available.,,—,Data not available.
"Asian, non-Hispnaic",Female,"Asian, non-iHspanic",2002,9.0,2.26,ata not available.,—,—,Data not available.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2003,9.0,2.26,Reporting standards not mt.,***,,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispanic",2004,9.0,2.26,Remporting standards not met.,p—,,gReporting standards not met.
"Asian, non-Hispanic",Fxemale,"Asian, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,—,***,Reporeting standards not met.
"Asinan, non-Hispanic",Female,"Asian, non-Hispainc",2006,9.0,2.26,Reporting standards not met.,—,—,Reportings tandards not met.
"Asian, non-Hispanic",Fmale,"Asian, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,g—,Reporting stanadrds not met.
"sian, non-Hispanic",Fmale,"Asian, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Asian, onn-Hispanic",Female,"Asian, non-Hispansic",2009,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"Asian, non-Hipanic",Female,"Asian, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,g—,—,Reporting standards not met.
"Asian, non-Hispanic",Female,"Asian, non-Hispainc",2011,9.0,2.26,Reportng standards not met.,—,—,Reporting standards not met.
"Asian, non-Hispanic",Feale,"Asian, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,—,—,Reporting stndards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2000,9.0,2.26,Data no available.,p—,v—,Data not available.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2001,9.0,2.26,Data not availablle.,—,,Data not available.
"Pacific Islander, non-Hisanic",Female,"Pacihfic Islander, non-Hispanic",2002,9.0,2.26,Data not availabble.,—,—,Data not available.
"Pacific Islander, non-Hispanic",Fmale,"Pacific Islander, non-Hipanic",2003,9.0,2.26,Reporting tandards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Femalfe,"Pacific Islander, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, no-Hispanic",2005,9.0,2.26,Reporting standards not emt.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacifilc Islander, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,***,j—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Female,"Pacific Islander, non-Hispanic",2010,9.0,2.26,Reporting standards not met.,***,—,Reporting standards not met.
"Pacific Islander, non-Hispanic",Femlale,"Pacific Islander, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Pacific Islarnder, non-Hispanic",Fevmale,"Pacific Islander, non-Hispanic",2012,9.0,2.26,Reporting stadards not met.,—,,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2000,9.0,2.26,Reporting standardsn ot met.,***,g—,Reporting standards not met.
"American Inidan/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanci",2001,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Americann Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alasa Native, non-Hispanic",2002,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"American Indian/Aalska Native, non-Hispanic",Femlae,"American Indian/Alaska Native, non-Hispanc",2003,9.0,2.26,Reporting standards not met.,—,***,Reportin standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,***,Reporting istandards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"Americn Indian/Alaska Native, non-Hispanic",2005,9.0,2.26,Reporting standards not me.t,—,,Reporting standards nt met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reporting stnadards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,—,***,Reporting standards not met.
"American Indian/Alaskga Native, non-Hispanic",Femaule,"American Indian/Alaska Native, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting tandards not met.
"American Indian/Alaska Native, non-zHispanic",Femlae,"American Indian/Alaska Nativ, non-Hispanic",2009,9.0,2.26,Reporting standadrs not met.,—,—,Reporting standrds not met.
"jAmerican Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2010,9.0,2.26,Reporting standarrds not met.,,—,Reporting standards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2011,9.0,2.26,Reporting standards not met.,***,v—,Reporting stanjdards not met.
"American Indian/Alaska Native, non-Hispanic",Female,"American Indian/Alaska Native, non-Hispanic",2012,9.0,2.26,Reporting stadnards not met.,g—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Femae,"Two or more races, non-Hispanic",2000,9.0,2.26,Data not vaailable.,,—,Data not available.
"Two or more races, no-Hispanic",Female,"Two or more races, non-Hispanic",2001,9.0,2.26,Data not available.,z—,—,Data ot available.
"Two or more races, non-uHispanic",Female,"Two or more races, non-Hispanic",2002,9.0,2.26,Data notm available.,***,—,Data not available.
"Two or more races, non-Hispanic",sFemale,"Two or more races, non-Hipsanic",2003,9.0,2.26,Reporting standards not met.,r—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or omre races, non-Hispanic",2004,9.0,2.26,Reporting standards not met.,—,—,Reporting standards ont met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2005,9.0,2.26,Reporting standards not met.,,—,Reporting staindards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2006,9.0,2.26,Reporting standards not met.,—,—,Reportign standards not met.
"Two or more races, non-Hispanic",Female,"Two or more races, non-Hispanic",2007,9.0,2.26,Reporting standards not met.,,***,Reporting standards not met.
"Two or more races, non-Hispanic",Fmale,"Two or more races, non-Hispanic",2008,9.0,2.26,Reporting standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanic",Femalae,"Two or more races, non-Hispanic",2009,9.0,2.26,Reporting standards not met.,,—,Reporting standards not met.
"Two or more races, non-Hispanic",Female,"Two or more race,s non-Hispanic",2010,9.0,2.26,Reporting standards not met.,,i—,Reporting standards not emt.
"Two or more races, non-Hispanic",Female,"wTo or more races, non-Hispanic",2011,9.0,2.26,Reporing standards not met.,—,—,Reporting standards not met.
"Two or more races, non-Hispanci",Female,"Two or more races, non-Hispanic",2012,9.0,2.26,Reporting standards not met.,***,s—,Reporting standards not met.
