object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
1340.0,697361.0,2020/05/08 03:59:59+00,ANDERSON WOOD,1368 HEMLOCK ST,40211.0,2020/05/09 03:59:59+00,7,FIELD
1341.0,695057.0,2020/04/08 03:59:59+00,AVAIL VAPOR,4236 SHELBYVILLE RD,40207.0,2020/05/09 03:59:59+00,7,FIELD
1342.0,701041.0,2020/07/11 03:59:59+00,CHILI'S,3623 BARDSTOWN RD,40218.0,2020/07/13 03:59:59+00,7,FIELD
1343.0,697593.0,2020/05/12 03:59:59+00,STAPLES,4170 OUTER LOOP,40219.0,2020/05/13 03:59:59+00,7,FIELD
1344.0,696170.0,2020/04/21 03:59:59+00,BOYS & GIRLS HAVEN #1,2301 GOLDSMITH LN,40218.0,2020/04/22 03:59:59+00,7,FIELD
1345.0,701796.0,2020/07/20 03:59:59+00,CIRCLE K #4700137,6517 PRESTON HWY,40219.0,2020/07/24 03:59:59+00,7,FIELD
1346.0,697449.0,2020/05/11 03:59:59+00,MORTENSON FAMILY DENTAL,10004 TAYLORSVILLE RD,40299.0,2020/05/21 03:59:59+00,7,FIELD
1347.0,695261.0,2020/04/11 03:59:59+00,PIC PAC,6629 SOUTHSIDE DR,40214.0,2020/04/18 03:59:59+00,7,FIELD
1348.0,701075.0,2020/07/13 03:59:59+00,PIC PAC,723 GAGEL AVE,40216.0,2020/07/14 03:59:59+00,7,FIELD
1349.0,697676.0,2020/05/13 03:59:59+00,FAMILY DOLLAR #31504,1234 W BROADWAY,40203.0,2020/05/15 03:59:59+00,7,FIELD
1350.0,696360.0,2020/04/24 03:59:59+00,BACKSIDE LEARNING CENTER GATE 5,700 CENTRAL AVE,40208.0,2020/04/24 03:59:59+00,7,FIELD
1351.0,701889.0,2020/07/22 03:59:59+00,THE FACTORY GYM,4700 ALLMOND AVE,40209.0,2020/08/24 03:59:59+00,7,FIELD
1352.0,697491.0,2020/05/11 03:59:59+00,ST MATTHEWS FEED & SEED,225 CHENOWETH LANE,40207.0,2020/05/14 03:59:59+00,7,FIELD
1353.0,695438.0,2020/04/13 03:59:59+00,LORD'S KITCHEN,1811 STANDARD AVE,40210.0,2020/04/14 03:59:59+00,7,FIELD
1354.0,695439.0,2020/04/13 03:59:59+00,MCDONALD'S #7940,3350 PRESTON HWY,40213.0,2020/04/15 03:59:59+00,7,FIELD
1355.0,695611.0,2020/04/15 03:59:59+00,EMBASSY SUITES BY HILTON,9940 CORPORATE CAMPUS DRIVE,40223.0,2020/04/17 03:59:59+00,7,FIELD
1356.0,695678.0,2020/04/16 03:59:59+00,WALGREENS #15183,3410 W BROADWAY,40211.0,2020/04/16 03:59:59+00,7,FIELD
1357.0,696306.0,2020/04/22 03:59:59+00,DONG PHUONG GROCERY,6705 STRAWBERRY LN,40214.0,2020/04/25 03:59:59+00,7,FIELD
1358.0,696379.0,2020/04/22 03:59:59+00,RESIDENCE,3685 POPLAR LEVEL RD,40213.0,2020/04/23 03:59:59+00,7,FIELD
1359.0,696566.0,2020/04/27 03:59:59+00,SUGAR AND SPICE,5613 BARDSTOWN RD,40219.0,2020/04/28 03:59:59+00,7,FIELD
1360.0,696740.0,2020/04/29 03:59:59+00,PARKLANDS AT FLOYDS FORK,1400 BECKLEY CREEK PKWY,40245.0,2020/05/01 03:59:59+00,7,FIELD
1361.0,696958.0,2020/05/01 03:59:59+00,BURNT BOOT CAMP,230 N HURSTBOURNE PKWY,40222.0,2020/05/05 03:59:59+00,7,FIELD
1362.0,697081.0,2020/04/30 03:59:59+00,RESIDENCE,320 N 18TH ST,40203.0,2020/05/01 03:59:59+00,7,FIELD
1363.0,697179.0,2020/05/05 03:59:59+00,RESIDENT,"750 S CLAY STREET, UNIT 201",40203.0,2020/05/13 03:59:59+00,7,FIELD
1364.0,697272.0,2020/05/06 03:59:59+00,TACO CITY LOUISVILLE,1283 BARDSTOWN RD,40204.0,2020/05/08 03:59:59+00,7,FIELD
1365.0,697277.0,2020/05/06 03:59:59+00,TRACTOR SUPPLY,11250 PRESTON HWY,40229.0,2020/05/07 03:59:59+00,7,FIELD
1366.0,697300.0,2020/05/07 03:59:59+00,STEWARTS PAWN SHOP,1133 W BROADWAY,40203.0,2020/05/09 03:59:59+00,7,FIELD
1367.0,697425.0,2020/05/11 03:59:59+00,KFC Y052-023,1911 W BROADWAY,40203.0,2020/05/13 03:59:59+00,7,FIELD
1368.0,697787.0,2020/05/15 03:59:59+00,COURIER JOURNAL,525 W BROADWAY,40202.0,2020/05/15 03:59:59+00,7,FIELD
1369.0,697959.0,2020/05/19 03:59:59+00,NORTON HEART & RHYTHM CENTER,6420 DUTCHMANS LN STE 200,40205.0,2020/05/22 03:59:59+00,7,FIELD
1370.0,697961.0,2020/05/19 03:59:59+00,VINYL,4508 SHEPHERDSVILLE RD,40218.0,2020/05/19 03:59:59+00,7,FIELD
1371.0,697997.0,2020/05/19 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
1372.0,698100.0,2020/05/20 03:59:59+00,WALMART #3610,7100 RAGGARD RD,40216.0,2020/05/22 03:59:59+00,7,FIELD
1373.0,698156.0,2020/05/21 03:59:59+00,RLS TRANSPORTATION,2006 FERN VALLEY RD,40213.0,2020/06/11 03:59:59+00,7,FIELD
1374.0,698171.0,2020/05/21 03:59:59+00,QDOBA #2029,1500 BARDSTOWN RD,40205.0,2020/05/22 03:59:59+00,7,FIELD
1375.0,698392.0,2020/05/27 03:59:59+00,TWOLAND BARBOUR SHOP,2920 HIKES LN,40218.0,2020/05/28 03:59:59+00,7,FIELD
1376.0,698524.0,2020/05/29 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/06/05 03:59:59+00,7,FIELD
1377.0,698859.0,2020/06/04 03:59:59+00,ANTHONY VINCE NAIL SPA,4251 TOWNE CENTER DR,40241.0,2020/06/04 03:59:59+00,7,FIELD
1378.0,699163.0,2020/06/11 03:59:59+00,MCDONALD'S,6214 OLD SHEPHERDSVILLE RD,40228.0,2020/06/16 03:59:59+00,7,FIELD
1379.0,699379.0,2020/06/16 03:59:59+00,PEDDLER MALL,191 OUTER LOOP,40214.0,2020/06/17 03:59:59+00,7,FIELD
1380.0,699406.0,2020/06/16 03:59:59+00,CHUY'S #22,104 OXMOOR CT,40222.0,2020/06/23 03:59:59+00,7,FIELD
1381.0,699652.0,2020/06/20 03:59:59+00,EL TARASCO #1,5425 NEW CUT RD,40215.0,2020/06/22 03:59:59+00,7,FIELD
1382.0,699713.0,2020/06/22 03:59:59+00,WOMEN'S DILLARD STORE,5000 SHELBYVILLE RD,40207.0,2020/07/08 03:59:59+00,7,FIELD
1383.0,699896.0,2020/06/24 03:59:59+00,SUN TAN CITY,7535 OUTER LOOP,40228.0,2020/08/26 03:59:59+00,7,FIELD
1384.0,700348.0,2020/06/30 03:59:59+00,WALMART #5417,175 OUTER LOOP,40214.0,2020/06/30 03:59:59+00,7,FIELD
1385.0,700677.0,2020/07/07 03:59:59+00,LE RELAIS,2817 TAYLORSVILLE RD,40205.0,2020/07/08 03:59:59+00,7,FIELD
1386.0,700949.0,2020/07/13 03:59:59+00,TALERCIS,5037 PRESTON HWY,40213.0,2020/08/24 03:59:59+00,7,FIELD
1387.0,701029.0,2020/07/13 03:59:59+00,HOME DEPOT,6840 DIXIE HWY,40258.0,2020/08/10 03:59:59+00,7,FIELD
1388.0,701116.0,2020/07/13 03:59:59+00,WALMART #1170,10445 DIXIE HWY,40272.0,2020/07/15 03:59:59+00,7,FIELD
1389.0,701132.0,2020/07/14 03:59:59+00,CLARION INN,1620 ARTHUR ST,40208.0,2020/07/14 03:59:59+00,7,FIELD
1390.0,701157.0,2020/07/14 03:59:59+00,LYNDIA R WILLIS SALON,2850 FRANKFORT AVE,40206.0,2020/08/27 03:59:59+00,7,FIELD
1391.0,701217.0,2020/07/14 03:59:59+00,DOLLAR GENERAL #2044,4207 MEDALLIAN CT,40219.0,2020/07/16 03:59:59+00,7,FIELD
1392.0,701299.0,2020/07/15 03:59:59+00,BARBER SHOP,5000 SHELBYVILLE RD,40207.0,2020/07/20 03:59:59+00,7,FIELD
1393.0,701334.0,2020/07/15 03:59:59+00,KROGER L-376,4501 OUTER LOOP,40219.0,2020/07/23 03:59:59+00,7,FIELD
1394.0,701155.0,2020/07/14 03:59:59+00,PLANET FITNESS,7450 JEFFERSON BLVD,40219.0,2020/08/04 03:59:59+00,7,FIELD
1395.0,701236.0,2020/07/14 03:59:59+00,JOE'S OLDER THAN DIRT,8131 NEW LAGRANGE RD,40222.0,2020/07/15 03:59:59+00,7,FIELD
1396.0,701253.0,2020/07/14 03:59:59+00,CIRCLE K #4703363,12415 TAYLORSVILLE RD,40299.0,2020/07/16 03:59:59+00,7,FIELD
1397.0,697513.0,2020/05/12 03:59:59+00,HIGHLANDS HEALTH & REHAB CNTR,1705 STEVENS AVE,40205.0,2020/05/20 03:59:59+00,7,FIELD
1398.0,701353.0,2020/07/03 03:59:59+00,QDOBA #2937,4921 OUTER LOOP,40219.0,2020/07/03 03:59:59+00,7,FIELD
1399.0,697614.0,2020/05/13 03:59:59+00,TUMBLEWEED #521,3550 SPRINGHURST COMMONS DR,40541.0,2020/05/15 03:59:59+00,7,FIELD
1400.0,701415.0,2020/07/16 03:59:59+00,HOME 2 SUITES,3000 CRITTENDEN DR,40209.0,2020/07/22 03:59:59+00,7,FIELD
1401.0,697704.0,2020/05/14 03:59:59+00,ALIGN YOUR SPINE CHIROPRACTIC STE B,4107 BROWNS LN,40220.0,2020/05/18 03:59:59+00,7,FIELD
1402.0,697710.0,2020/05/14 03:59:59+00,RALLY'S,3455 TAYLOR BLVD,40215.0,2020/05/15 03:59:59+00,7,FIELD
1403.0,701429.0,2020/07/16 03:59:59+00,CIRCLE K #4703246,4701 S 3RD ST,40214.0,2020/07/23 03:59:59+00,7,FIELD
1404.0,697872.0,2020/05/18 03:59:59+00,ZENITH LOGISTICS,2000 NELSON MILLER PKWY,40223.0,2020/05/21 03:59:59+00,7,FIELD
1405.0,697874.0,2020/05/15 03:59:59+00,JUDICIAL CENTER,700 W JEFFERSON STREET,40202.0,2020/05/15 03:59:59+00,7,FIELD
1406.0,701484.0,2020/07/16 03:59:59+00,CIRCLE K #4700111,9200 DIXIE HWY,40272.0,2020/07/20 03:59:59+00,7,FIELD
1407.0,701485.0,2020/07/16 03:59:59+00,KROGER L-739,12450 LAGRANGE RD,40245.0,2020/07/20 03:59:59+00,7,FIELD
1408.0,693404.0,2020/03/24 03:59:59+00,UPS,911 GRADE LANE,40209.0,2020/03/25 03:59:59+00,7,FIELD
1409.0,693593.0,2020/03/25 03:59:59+00,CONSTRUCTION CREW,6611 SHEPHERDSVILLE,40228.0,2020/02/25 05:00:00+00,7,FIELD
1410.0,694633.0,2020/04/04 03:59:59+00,LOWES HOME IMPROVEMENT,6651 DIXIE HWY,40258.0,2020/04/04 03:59:59+00,7,FIELD
1411.0,694715.0,2020/04/06 03:59:59+00,INTERNATIONAL KUTZ,"5215 NEW CUT ROAD, UNIT 102",40214.0,2020/04/07 03:59:59+00,7,FIELD
1412.0,694941.0,2020/04/08 03:59:59+00,Z EXPRESS CAR WASH,13310 SHELBYVILLE RD,40223.0,2020/04/08 03:59:59+00,7,FIELD
1413.0,695266.0,2020/04/11 03:59:59+00,FIREHOUSE SUBS #1191,13301 SHELBYVILLE RD,40223.0,2020/04/11 03:59:59+00,7,FIELD
1414.0,695391.0,2020/04/08 03:59:59+00,RESIDENT,2318 ALLSTON AVE,40210.0,2020/04/10 03:59:59+00,7,FIELD
1415.0,695420.0,2020/04/13 03:59:59+00,GOLF HEADQUARTERS,13110 SHELBYVILLE ROAD,40243.0,2020/04/13 03:59:59+00,7,FIELD
1416.0,695476.0,2020/04/14 03:59:59+00,AIRBNB,808 E WASHINGTON ST,40206.0,2020/04/14 03:59:59+00,7,FIELD
1417.0,695581.0,2020/04/14 03:59:59+00,PAPA JOHN'S #4,1961 BROWNSBORO RD,40206.0,2020/04/15 03:59:59+00,7,FIELD
1418.0,695789.0,2020/04/16 03:59:59+00,RUMPKE,1101 W OAK ST,40210.0,2020/04/17 03:59:59+00,7,FIELD
1419.0,695796.0,2020/04/16 03:59:59+00,OWENS & MINOR,"6201 GLOBAL DISTRIBUTION WAY, UNIT 101",40228.0,2020/04/17 03:59:59+00,7,FIELD
1420.0,695930.0,2020/04/16 03:59:59+00,RESIDENT,1687 HAROLD AVE,40210.0,2020/04/16 03:59:59+00,7,FIELD
1421.0,695956.0,2020/04/20 03:59:59+00,HI-WAY MUFFLER SALES,7119 CANE RUN RD,40258.0,2020/04/22 03:59:59+00,7,FIELD
1422.0,695986.0,2020/04/20 03:59:59+00,KROGER L-350,5533 NEW CUT RD,40214.0,2020/04/20 03:59:59+00,7,FIELD
1423.0,696171.0,2020/04/20 03:59:59+00,UPS,911 GRADE LN,40213.0,2020/04/22 03:59:59+00,7,FIELD
1424.0,696244.0,2020/04/20 03:59:59+00,RESIDENT,1732 S 23RD ST,40210.0,2020/04/22 03:59:59+00,7,FIELD
1425.0,696338.0,2020/04/24 03:59:59+00,LC INDUSTRIES,1900 BROWNSBORO RD,40206.0,2020/05/05 03:59:59+00,7,FIELD
1426.0,696373.0,2020/04/14 03:59:59+00,APARTMENT COMPLEX,2505 BROWNSBORO RD,40206.0,2020/04/22 03:59:59+00,7,FIELD
1427.0,696462.0,2020/04/24 03:59:59+00,TACO BELL,10701 DIXIE HWY,40272.0,2020/04/25 03:59:59+00,7,FIELD
1428.0,696545.0,2020/04/27 03:59:59+00,RESIDENT,1921 ELBA DRIVE,40218.0,2020/04/30 03:59:59+00,7,FIELD
1429.0,696552.0,2020/04/27 03:59:59+00,CAPTAIN D'S #3329,3937 DIXIE HWY,40217.0,2020/04/28 03:59:59+00,7,FIELD
1430.0,696594.0,2020/04/24 03:59:59+00,RESIDENCE,635 CALDWELL ST,40203.0,2020/04/28 03:59:59+00,7,FIELD
1431.0,696613.0,2020/04/28 03:59:59+00,DOLLAR TREE #2410,9206 WESTPORT RD,40242.0,2020/04/28 03:59:59+00,7,FIELD
1432.0,696655.0,2020/04/28 03:59:59+00,THE PLANT KINGDOM,4101 WESTPORT RD,40207.0,2020/04/29 03:59:59+00,7,FIELD
1433.0,696956.0,2020/05/01 03:59:59+00,BB&T,2501 W BROADWAY,40211.0,2020/05/02 03:59:59+00,7,FIELD
1434.0,697054.0,2020/05/04 03:59:59+00,RESIDENT,"6605 STRAWBERRY LANE, UNIT 3",40214.0,2020/05/05 03:59:59+00,7,FIELD
1435.0,701982.0,2020/07/22 03:59:59+00,WHITE CASTLE #28,7200 CEDAR SPRINGS BLVD,40291.0,2020/07/24 03:59:59+00,7,FIELD
1436.0,697892.0,2020/05/18 03:59:59+00,LOWES,4930 NORTON HEALTHCARE BLVD,40241.0,2020/05/19 03:59:59+00,7,FIELD
1437.0,697948.0,2020/05/16 03:59:59+00,DOLLAR TREE,1850 S HURSTBOURNE LN,40220.0,2020/05/18 03:59:59+00,7,FIELD
1438.0,698121.0,2020/05/21 03:59:59+00,RALLY'S,3455 TAYLOR BLVD,40215.0,2020/05/21 03:59:59+00,7,FIELD
1439.0,698173.0,2020/05/21 03:59:59+00,CHICAGO STEAK & LEMONADE,4501 CANE RUN RD,40216.0,2020/05/21 03:59:59+00,7,FIELD
1440.0,698198.0,2020/05/22 03:59:59+00,LOWES,9800 PRESTON CROSSING BLVD,40229.0,2020/06/12 03:59:59+00,7,FIELD
1441.0,698218.0,2020/05/22 03:59:59+00,ALDI #38,3442 PRESTON HWY,40217.0,2020/05/28 03:59:59+00,7,FIELD
1442.0,698874.0,2020/06/04 03:59:59+00,THORNTONS #60,3320 PRESTON HWY,40213.0,2020/06/05 03:59:59+00,7,FIELD
1443.0,699348.0,2020/06/15 03:59:59+00,SUBWAY,4801 OUTER LOOP,40219.0,2020/06/30 03:59:59+00,7,FIELD
1444.0,699780.0,2020/06/23 03:59:59+00,HOME DEPOT,8232 PRESTON HWY,40219.0,2020/07/14 03:59:59+00,7,FIELD
1445.0,699965.0,2020/06/25 03:59:59+00,MCDONALD'S #1,8600 DIXIE HWY,40258.0,2020/06/25 03:59:59+00,7,FIELD
1446.0,700197.0,2020/06/29 03:59:59+00,MIRAGE SALON & SPA,6705 SHEPHERDSVILLE RD,40228.0,2020/08/17 03:59:59+00,7,FIELD
1447.0,701019.0,2020/07/11 03:59:59+00,KROGER L-292,7509 TERRY RD,40258.0,2020/07/14 03:59:59+00,7,FIELD
1448.0,701037.0,2020/07/11 03:59:59+00,KROGER L-346,3039 BRECKENRIDGE LN,40220.0,2020/07/14 03:59:59+00,7,FIELD
1449.0,701084.0,2020/07/13 03:59:59+00,HOME DEPOT,6840 DIXIE HWY,40258.0,2020/08/10 03:59:59+00,7,FIELD
1450.0,701085.0,2020/07/13 03:59:59+00,DOLLAR TREE #1932,5713 PRESTON HWY,40219.0,2020/07/15 03:59:59+00,7,FIELD
1451.0,701153.0,2020/07/14 03:59:59+00,HOME DEPOT,6840 DIXIE HWY,40258.0,2020/08/10 03:59:59+00,7,FIELD
1452.0,701212.0,2020/07/14 03:59:59+00,KROGER L-785,4915 DIXIE HWY,40216.0,2020/07/15 03:59:59+00,7,FIELD
1453.0,701224.0,2020/07/14 03:59:59+00,WALMART #526,3706 DIANN MARIE RD,40241.0,2020/07/15 03:59:59+00,7,FIELD
1454.0,701497.0,2020/07/16 03:59:59+00,KROGER L-743,12611 TAYLORSVILLE RD,40299.0,2020/07/17 03:59:59+00,7,FIELD
1455.0,701514.0,2020/07/17 03:59:59+00,CHEER CENTRAL ATHLETICS,7901 3RD ST RD,40214.0,2020/09/11 03:59:59+00,7,FIELD
1456.0,701674.0,2020/07/17 03:59:59+00,BONNIE & CLYDE'S PIZZA,7611 DIXIE HWY,40258.0,2020/07/21 03:59:59+00,7,FIELD
1457.0,701797.0,2020/07/20 03:59:59+00,WALMART #4524,5360 DIXIE HWY,40216.0,2020/07/22 03:59:59+00,7,FIELD
1458.0,701822.0,2020/07/20 03:59:59+00,CIRCLE K #4703232,13401 DIXIE HWY,40272.0,2020/07/22 03:59:59+00,7,FIELD
1459.0,702128.0,2020/07/25 03:59:59+00,TACO BELL LONG JOHN SILVERS,1805 BLANKENBAKER PKWY,40299.0,2020/07/27 03:59:59+00,7,FIELD
1460.0,702253.0,2020/07/25 03:59:59+00,MY TESTMONIES CHILD DEVELOPMENT CENTER,6210 SHEPHERDSVILLE RD,40228.0,2020/07/28 03:59:59+00,7,FIELD
1461.0,702561.0,2020/07/30 03:59:59+00,KID'S DENTISTREE,5100 OUTER LOOP STE C,40219.0,2020/09/10 03:59:59+00,7,FIELD
1462.0,696391.0,2020/04/24 03:59:59+00,UPS STORE,9462 BROWNSBORO RD,40241.0,2020/04/24 03:59:59+00,7,FIELD
1463.0,702908.0,2020/08/03 03:59:59+00,TEXAS ROADHOUSE,13321 SHELBYVILLE RD,40223.0,2020/08/10 03:59:59+00,7,FIELD
1464.0,693637.0,2020/03/25 03:59:59+00,FAMILY DOLLAR #28696,3036 WILSON AVE,40211.0,2020/03/30 03:59:59+00,7,FIELD
1465.0,693760.0,2020/03/26 03:59:59+00,UNKNOWN,409 E MUHAMMAD ALI BLVD,40202.0,2020/03/27 03:59:59+00,7,FIELD
1466.0,693918.0,2020/03/27 03:59:59+00,DAIRY DEL #2,2607 S 7TH ST,40215.0,2020/03/28 03:59:59+00,7,FIELD
1467.0,693970.0,2020/03/27 03:59:59+00,GE APPLIANCE,4000 BUECHEL BANK RD,40218.0,2020/03/31 03:59:59+00,7,FIELD
1468.0,694655.0,2020/04/02 03:59:59+00,UNKNOWN,2716 DELOR AVE,40217.0,2020/04/03 03:59:59+00,7,FIELD
1469.0,694869.0,2020/04/07 03:59:59+00,VALLEY DAIRY FREEZE INC.,10300 DEERING RD,40272.0,2020/04/09 03:59:59+00,7,FIELD
1470.0,694874.0,2020/04/07 03:59:59+00,SEA FRESH SEAFOOD RESTAURANT,8129 BARDSTOWN RD,40291.0,2020/04/08 03:59:59+00,7,FIELD
1471.0,695110.0,2020/04/08 03:59:59+00,LITTLE CAESARS,3121 S 2ND ST,40208.0,2020/04/09 03:59:59+00,7,FIELD
1472.0,695126.0,2020/04/09 03:59:59+00,UPS,8100 COMMERCE DR,40219.0,2020/04/13 03:59:59+00,7,FIELD
1473.0,695252.0,2020/04/10 03:59:59+00,RENTAL HALL BUSINESS,134 OUTER LOOP,40214.0,2020/04/20 03:59:59+00,7,FIELD
1474.0,695301.0,2020/04/11 03:59:59+00,GRACE TEMPLE,970 PALATKA ROAD,40214.0,2020/04/14 03:59:59+00,7,FIELD
1475.0,695305.0,2020/04/11 03:59:59+00,HOME DEPOT,6840 DIXIE HIGHWAY,40258.0,2020/04/14 03:59:59+00,7,FIELD
1476.0,695377.0,2020/04/08 03:59:59+00,RESIDENT,1753 W HILL ST,40210.0,2020/04/10 03:59:59+00,7,FIELD
1477.0,697915.0,2020/05/18 03:59:59+00,POPEYE'S,7723 BARDSTOWN RD,40291.0,2020/05/19 03:59:59+00,7,FIELD
1478.0,696396.0,2020/04/24 03:59:59+00,THIRSTY HOUND,7207 FEGENBUSH LN,40228.0,2020/05/01 03:59:59+00,7,FIELD
1479.0,696479.0,2020/04/21 03:59:59+00,RESIDENCE,6618 MILLER PARK DR,40258.0,2020/04/27 03:59:59+00,7,FIELD
1480.0,696595.0,2020/04/24 03:59:59+00,BASKETBALL COURT,1256 LOGAN ST,40204.0,2020/04/28 03:59:59+00,7,FIELD
1481.0,696675.0,2020/04/29 03:59:59+00,JOHNSON CONTROL,8401 AIR COMMERCE DRIVE,40219.0,2020/04/29 03:59:59+00,7,FIELD
1482.0,696797.0,2020/04/27 03:59:59+00,LORIE'S PACKAGE LIQUORS,2316 W MARKET ST,40212.0,2020/04/28 03:59:59+00,7,FIELD
1483.0,697021.0,2020/05/04 03:59:59+00,WALMART #5418,2020 BASHFORD MANOR LN,40218.0,2020/05/09 03:59:59+00,7,FIELD
1484.0,697079.0,2020/04/30 03:59:59+00,HOMELESS KIDS,2027 LYTLE ST,40203.0,2020/05/01 03:59:59+00,7,FIELD
1485.0,697085.0,2020/05/05 03:59:59+00,MARYHURST SCHOOL,1015 DORSEY LN,40223.0,2020/05/06 03:59:59+00,7,FIELD
1486.0,697113.0,2020/04/24 03:59:59+00,RESIDENCE,3603 WINTERLEAF DR,40207.0,2020/05/05 03:59:59+00,7,FIELD
1487.0,697137.0,2020/05/05 03:59:59+00,SUBSTANCE USE DISORDER TREATMENT FAC,1700 CARGO CT,40299.0,2020/05/13 03:59:59+00,7,FIELD
1488.0,697207.0,2020/05/04 03:59:59+00,RESIDENCE,8103 CEDAR BROOK DR,40219.0,2020/05/06 03:59:59+00,7,FIELD
1489.0,697274.0,2020/05/06 03:59:59+00,PIZZA HUT #013427,6800 OUTER LOOP,40228.0,2020/05/07 03:59:59+00,7,FIELD
1490.0,697451.0,2020/05/11 03:59:59+00,SCULPT6,4167 WESTPORT RD,40207.0,2020/05/12 03:59:59+00,7,FIELD
1491.0,697514.0,2020/05/06 03:59:59+00,VENDOR,1101 RIVER RD,40206.0,2020/05/11 03:59:59+00,7,FIELD
1492.0,697677.0,2020/05/13 03:59:59+00,IROQUOIS POST OFFICE,4772 ALLMOND AVENUE,40209.0,2020/05/18 03:59:59+00,7,FIELD
1493.0,697889.0,2020/05/18 03:59:59+00,UNION 15,816 KENWOOD DR,40214.0,2020/05/19 03:59:59+00,7,FIELD
1494.0,697916.0,2020/05/18 03:59:59+00,STAR FOOD MART,11701 WESTPORT RD,40245.0,2020/05/19 03:59:59+00,7,FIELD
1495.0,697917.0,2020/05/18 03:59:59+00,DOUBLE DRAGON,1255 GOSS AVE,40217.0,2020/05/19 03:59:59+00,7,FIELD
1496.0,697927.0,2020/05/18 03:59:59+00,QUALITY INN & SUITES,311 E. GAULBERT AVENUE,40208.0,2020/05/26 03:59:59+00,7,FIELD
1497.0,698341.0,2020/05/26 03:59:59+00,DOLLAR GENERAL #12016,3430 TAYLOR BLVD,40208.0,2020/05/27 03:59:59+00,7,FIELD
1498.0,698357.0,2020/05/26 03:59:59+00,SAM'S CLUB #8276,6622 PRESTON HWY,40219.0,2020/06/03 03:59:59+00,7,FIELD
1499.0,698563.0,2020/05/29 03:59:59+00,DAIRY QUEEN,5516 NATIONAL TURNPIKE,40214.0,2020/06/22 03:59:59+00,7,FIELD
1500.0,698655.0,2020/06/01 03:59:59+00,WALMART #5417,175 OUTER LOOP,40214.0,2020/06/03 03:59:59+00,7,FIELD
1501.0,698657.0,2020/06/01 03:59:59+00,WENDYS,8596 DIXIE HWY,40258.0,2020/06/03 03:59:59+00,7,FIELD
1502.0,698733.0,2020/06/01 03:59:59+00,CIRCLE K #4703232,13401 DIXIE HWY,40272.0,2020/06/03 03:59:59+00,7,FIELD
1503.0,698774.0,2020/06/02 03:59:59+00,PIC PAC,6629 SOUTHSIDE DR,40214.0,2020/06/04 03:59:59+00,7,FIELD
1504.0,698798.0,2020/06/03 03:59:59+00,TACO LUCHADOR,938 BAXTER AVE,40204.0,2020/06/04 03:59:59+00,7,FIELD
1505.0,698848.0,2020/05/21 03:59:59+00,RESIDENCE,723 BROOKLINE AVE,40214.0,2020/05/22 03:59:59+00,7,FIELD
1506.0,698961.0,2020/06/08 03:59:59+00,DOLLAR TREE #1354,3923 S 7TH ST,40216.0,2020/06/09 03:59:59+00,7,FIELD
1507.0,699215.0,2020/06/12 03:59:59+00,A & J GENTLY USED APPLICANCE STORE,7300 ST ANDREWS CHURCH RD,40214.0,2020/06/24 03:59:59+00,7,FIELD
1508.0,699380.0,2020/06/16 03:59:59+00,ANYTIME FITNESS MALL,3622 MALL RD,40218.0,2020/06/16 03:59:59+00,7,FIELD
1509.0,699409.0,2020/06/16 03:59:59+00,MESSES,434 S 10TH ST,40203.0,2020/06/19 03:59:59+00,7,FIELD
1510.0,699623.0,2020/06/19 03:59:59+00,JCPENNEY'S,5000 SHELBYVILLE RD,40207.0,2020/07/08 03:59:59+00,7,FIELD
1511.0,699936.0,2020/06/24 03:59:59+00,MEIJER #162,9905 DIXIE HWY,40272.0,2020/06/25 03:59:59+00,7,FIELD
1512.0,700336.0,2020/06/29 03:59:59+00,WENDYS,4312 CANE RUN RD,40216.0,2020/06/30 03:59:59+00,7,FIELD
1513.0,700460.0,2020/07/01 03:59:59+00,WINNER FURNITURE,2350 DIXIE HWY,40216.0,2020/07/27 03:59:59+00,7,FIELD
1514.0,700474.0,2020/07/02 03:59:59+00,OUTBACK STEAKHOUSE #1813,6520 SIGNATURE DR,40213.0,2020/07/08 03:59:59+00,7,FIELD
1515.0,700770.0,2020/07/04 03:59:59+00,CRACKER BARREL #650,11000 DIXIE HWY,40272.0,2020/07/04 03:59:59+00,7,FIELD
1516.0,701013.0,2020/07/11 03:59:59+00,KROGER L-292,7509 TERRY RD,40258.0,2020/07/14 03:59:59+00,7,FIELD
1517.0,701065.0,2020/07/11 03:59:59+00,DRIVERS LICENSE BRANCH,4917 DIXIE HWY,40216.0,2020/07/20 03:59:59+00,7,FIELD
1518.0,701067.0,2020/07/11 03:59:59+00,KENTUCKY KINGDOM,937 PHILLIPS LANE,40209.0,2020/07/16 03:59:59+00,7,FIELD
1519.0,701073.0,2020/07/13 03:59:59+00,KFC Y052-023,1911 W BROADWAY,40203.0,2020/07/15 03:59:59+00,7,FIELD
1520.0,697945.0,2020/05/19 03:59:59+00,LOWE'S,2100 BASHFORD MANOR LN,40218.0,2020/05/18 03:59:59+00,7,FIELD
